en,fr,pt,de,title,speaker,duration,tags
"
											Now, for many years, I thought
this was a story of abject failure,
											but today I see it differently,
											because when I was
attempting the world record,
											I was doing three things.
											I was getting outside my comfort zone,
											I was calling upon my resilience,
											and I was finding confidence in myself
											and my own decisions.
											I didn't know it then,
											but those are not
the attributes of failure.
											Those are the attributes of bravery.
									","
											Durant des années, j'ai vu cela
comme un lamentable échec
											mais aujourd'hui, je le vois différemment
											car en tentant d'établir
le record du monde,
											je faisais trois choses :
											je sortais de ma zone de confort,
											je faisais appel à ma persévérance
											et je trouvais de la confiance en moi
											et en mes propres décisions.
											Je l'ignorais à l'époque
											mais ce ne sont pas
les attributs de l'échec.
											Ce sont les attributs du courage.
									","
											Durante muitos anos, pensei nesta história
como um fracasso miserável,
											mas hoje penso de forma diferente,
											porque quando estava
a tentar bater o recorde,
											estava a fazer três coisas.
											Estava a sair da minha zona de conforto,
											estava a apelar à minha resiliência,
											e estava a encontrar confiança em mim
											e nas minhas decisões.
											Não o sabia na altura,
											mas esses não são
os atributos de um fracasso
											São os atributos da coragem.
									","
											Jahrelang hielt ich das für eine 
Geschichte erbärmlichen Versagens,
											aber heute sehe ich das anders.
											Denn als ich den 
Weltrekordversuch unternahm,
											tat ich drei Dinge.
											Ich verließ meine Wohlfühlzone,
											ich appellierte an meine Belastbarkeit
											und ich fand Vertrauen in mich
											und meine Entscheidungen.
											Ich wusste es noch nicht,
											aber das sind nicht
die Kennzeichen von Versagen.
											Das sind die Kennzeichen von Mut.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											Now, in 1989, at the age of 26,
											I became a San Francisco firefighter,
											and I was the 15th woman
in a department of 1,500 men.
									","
											En 1989, à l'âge de 26 ans,
											je suis devenue pompier à San Francisco
											et la quinzième femme
dans un département de 1 500 hommes.
									","
											Em 1989, com 26 anos,
											tornei-me bombeira em São Francisco.
											Era a 15.º mulher
num quartel com 1500 homens.
									","
											Im Jahr 1989, als ich 26 Jahre alt war,
											wurde ich Feurwehrfrau in San Francisco
											und war die 15. Frau in einer 
Abteilung mit 1500 Männern.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											And as you can imagine, when I arrived
											there were many doubts
about whether we could do the job.
											So even though I was a 5'10"",
150-pound collegiate rower,
											and someone who could endure
12 hours of searing knee pain —
									","
											Vous pouvez l'imaginer, à mon arrivée
											il y a eu des doutes
sur ma capacité à faire le travail.
											Même si j'étais une rameuse universitaire
faisant 1,52 m et 68 kg
											et que je pouvais endurer
12 heures d'intense douleur aux genoux —
									","
											Como podem imaginar,
quando cheguei
											havia muitas dúvidas acerca
das minhas capacidades.
											Apesar de ser uma remadora
colegial com 1,78 m e 68 kg,
											e ser capaz de aguentar 12 horas
com os joelhos em brasa...
									","
											Wie Sie sich denken können,
											zweifelten viele daran, 
dass ich dafür geeignet war.
											Obwohl ich eine 1,77 m große 
68-Kilo-College-Ruderin war
											und irgendwie 12 Stunden stechende 
Knieschmerzen ertragen konnte —
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											I knew I still had to prove
my strength and fitness.
									","
											je savais que je devais prouver
ma force, mon aptitude physique.
									","
											... sabia que ainda tinha
de provar o meu valor.
									","
											musste ich dennoch meine 
Stärke und Fitness beweisen.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											So one day a call came in for a fire,
											and sure enough,
when my engine group pulled up,
											there was black smoke billowing
from a building off an alleyway.
											And I was with a big guy named Skip,
											and he was on the nozzle,
and I was right behind,
											and it was a typical sort of fire.
											It was smoky, it was hot,
											and all of a sudden,
											there was an explosion,
											and Skip and I were blown backwards,
											my mask was knocked sideways,
											and there was this moment of confusion.
											And then I picked myself up,
											I groped for the nozzle,
											and I did what a firefighter
was supposed to do:
											I lunged forward,
											opened up the water
											and I tackled the fire myself.
											The explosion had been caused
by a water heater,
											so nobody was hurt,
and ultimately it was not a big deal,
											but later Skip came up to me and said,
											""Nice job, Caroline,""
											in this surprised sort of voice.
									","
											Un jour, on a reçu un appel pour un feu
											et quand mon groupe est arrivé,
											des volutes de fumées s'élevaient
d'un bâtiment au bout d'une allée.
											J'étais avec un grand mec appelé Skip.
											Il tenait la buse
et j'étais juste derrière,
											c'était un feu typique.
											Il y avait de la fumée, il faisait chaud
											et, tout à coup,
											il y a eu une explosion
											et Skip et moi avons été
envoyés en arrière,
											mon masque était de travers
											et il y a eu un moment de confusion.
											En me relevant,
											j'ai cherché la buse
											et j'ai fait ce qu'un pompier
est censé faire :
											j'ai avancé,
											ouvert l'eau
											et j'ai éteint le feu moi-même.
											L'explosion avait été causée
par un chauffe-eau
											donc personne n'a été blessé
et ce n'était pas très grave,
											mais après, Skip est venu
me voir pour me dire :
											« Bon boulot, Caroline ! »
											d'une voix un peu surprise.
									","
											Então, um dia houve um incêndio.
											Claro, quando o meu grupo chegou,
											havia uma nuvem negra de fumo
a sair de um edifício num beco.
											E eu estava com
um grandalhão chamado Skip.
											Ele estava com a agulheta
e eu estava mesmo atrás.
											Era um incêndio típico.
											Fumarento, quente.
											De repente,
											houve uma explosão.
											O Skip e eu fomos projetados para trás,
											a minha máscara caiu para o lado,
											e houve um momento de confusão.
											Depois, levantei-me,
											agarrei na agulheta
											e fiz o que é suposto
um bombeiro fazer:
											Avancei,
											abri a água
											e ataquei o incêndio.
											A explosão fora causada
por um esquentador.
											Ninguém se magoou,
e acabou por não ser nada de grave.
											Mais tarde o Skip
veio ter comigo e disse-me:
											""Bom trabalho, Caroline,""
											num tom surpreendido.
									","
											Einmal kam ein Feuernotruf rein
											und als meine Gruppe ausrückte,
											quoll dicker schwarzer Rauch 
aus einem Gebäude in einer Gasse.
											Bei mir war ein großer Kerl namens Skip.
											Er führte die Düse
und ich stand direkt dahinter.
											Es war ein ganz typisches Feuer.
											Es war rauchig, es war heiß,
											und ganz plötzlich
											gab es eine Explosion.
											Skip und ich wurden 
nach hinten geschleudert,
											meine Maske wurde zur Seite geschlagen
											und es gab einen Moment der Verwirrung.
											Dann richtete ich mich auf,
											griff nach der Düse
											und tat, was Feuerwehrleute tun sollen:
											Ich stürzte vorwärts,
											öffnete die Wasserdüse
											und kümmerte mich selbst um das Feuer.
											Die Explosion war vom Boiler
verursacht worden,
											es wurde niemand verletzt
und es war keine große Sache,
											aber später kam Skip zu mir und sagte:
											""Gut gemacht, Caroline"",
											in einem eher überraschten Tonfall.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											And I was confused, because
the fire hadn't been difficult physically,
											so why was he looking at me
with something like astonishment?
											And then it became clear:
											Skip, who was by the way a really nice guy
											and an excellent firefighter,
											not only thought
that women could not be strong,
											he thought that they
could not be brave either.
											And he wasn't the only one.
											Friends, acquaintances and strangers,
											men and women throughout my career
											ask me over and over,
											""Caroline, all that fire, all that danger,
											aren't you scared?""
											Honestly, I never heard
a male firefighter asked this.
											And I became curious.
											Why wasn't bravery expected of women?
									","
											J'étais déconcertée car le feu
n'avait pas été dur physiquement,
											alors pourquoi me regardait-il avec
ce qui semblait être de l'étonnement ?
											Puis c'est devenu clair :
											Skip, qui était un mec très sympa
											et un excellent pompier,
											ne pensait pas seulement que les femmes
ne pouvaient pas être fortes,
											il pensait qu'elles ne pouvaient pas
être courageuses non plus.
											Il n'était pas seul.
											Des amis, des connaissances, des inconnus,
											hommes et femmes, au cours de ma carrière,
											m'ont sans cesse demandé :
											« Caroline, tout ce feu, tout ce danger,
											n'as-tu pas peur ? »
											Je n'ai jamais entendu
cette question posée à un homme.
											Je suis devenue curieuse.
											Pourquoi n'attendait-on pas
de courage de la part des femmes ?
									","
											Fiquei confusa, porque
não tinha sido fisicamente difícil.
											Porque é que ele olhava
para mim com tal espanto?
											Então tornou-se claro:
											o Skip — que, já agora,
é um tipo impecável
											e um excelente bombeiro —
											não só pensava que
as mulheres não eram fortes,
											como pensava também
que não podiam ser corajosas.
											Mas não era o único.
											Amigos, conhecidos e estranhos,
											homens e mulheres
durante toda a minha carreira
											perguntam-me vezes sem conta:
											""Caroline, os incêndios, o perigo,
											""não tens medo?""
											Honestamente, nunca ouvi perguntar isso
a nenhum bombeiro.
											E fiquei curiosa.
											Porque é que não se espera
coragem das mulheres?
									","
											Ich war verwirrt, denn das Feuer 
war körperlich nicht schwierig gewesen,
											warum sah er mich dann so erstaunt an?
											Und dann wurde mir klar:
											Skip, der übrigens ein echt netter Kerl
											und ein toller Feuerwehrmann war,
											dachte nicht nur, 
dass Frauen nicht stark sein könnten,
											sondern er dachte auch,
dass sie nicht tapfer sein könnten.
											Und da war er nicht der Einzige.
											Freunde, Bekannte und Fremde,
											Männer und Frauen
fragten mich immer wieder
											während meiner Karriere:
											""Caroline, das ganze Feuer, diese Gefahr,
											hast du da keine Angst?""
											Feuerwehrmänner wurden das, 
soweit ich weiß, nie gefragt.
											Und ich wurde neugierig.
											Warum erwartete man
von Frauen keine Tapferkeit?
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											Now, the answer began to come
											when a friend of mine lamented to me
											that her young daughter
was a big scaredy-cat,
											and so I began to notice,
											and yes, the daughter was anxious,
											but more than that,
the parents were anxious.
											Most of what they said to her
when she was outside began with,
											""Be careful,"" ""Watch out,"" or ""No.""
											Now, my friends were not bad parents.
											They were just doing what most parents do,
											which is cautioning their daughters
much more than they caution their sons.
									","
											Un début de réponse m'est apparu
											quand une amie s'est lamentée
											que sa jeune fille
était une grande peureuse.
											J'ai commencé à le remarquer
											et oui, sa fille était anxieuse,
											mais plus que cela,
ses parents étaient anxieux.
											Quand elle était dehors, ils lui disaient
des choses commençant par :
											« Sois prudente »,
« Fais attention » ou « Non ».
											Mes amis n'étaient pas de mauvais parents.
											Ils faisaient juste
ce que la plupart des parents font :
											mettre en garde leur fille
bien plus que leur fils.
									","
											A resposta começou a formar-se
											quando um amigo meu se lamentou
											que a sua filhinha
era um pouco medricas.
											Então, comecei a observá-la,
											e sim, ela era ansiosa
											mas. mais do que isso,
os pais era ansiosos.
											A maior parte das coisas
que lhe diziam começava com:
											""Tem cuidado"",
""Olha por onde andas"" ou ""Não"".
											Os meus amigos não era maus pais.
											Faziam apenas
o que maioria dos pais fazem,
											que é advertir as filhas muito mais
do que fazem com os filhos.
									","
											Die Antwort bekam ich,
											als eine Freundin mir vorjammerte,
											dass ihre kleine Tochter 
so ein Angsthase war,
											und da bemerkte ich allmählich,
											ja, die Tochter war ängstlich,
											aber mehr noch waren die Eltern ängstlich.
											Das meiste, was sie zu ihr sagten,
wenn sie draußen war, begann mit:
											""Sei vorsichtig"", ""pass auf"" oder ""nein"".
											Meine Freunde waren 
keine schlechten Eltern.
											Sie taten bloß das,
was die meisten Eltern tun:
											Ihre Töchter viel mehr 
zu warnen als ihre Söhne.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											There was a study involving
a playground fire pole, ironically,
											in which researchers saw that little girls
were very likely to be warned
											by both their moms and dads
about the fire pole's risk,
											and if the little girls
still wanted to play on the fire pole,
											a parent was very likely to assist her.
											But the little boys?
											They were encouraged
to play on the fire pole
											despite any trepidations
that they might have,
											and often the parents offered
guidance on how to use it on their own.
											So what message does this send
to both boys and girls?
											Well, that girls are fragile
and more in need of help,
											and that boys can and should
master difficult tasks by themselves.
											It says that girls should be fearful
											and boys should be gutsy.
									","
											Il y a eu une étude comportant,
c'est ironique, une rampe de pompier
											où les rechercheurs ont vu que les filles
seraient probablement averties
											du risque de la rampe de pompier
par leur mère et leur père
											et, si elles décidaient
de jouer sur la rampe de pompier,
											un parent l'aiderait sûrement.
											Mais, et les garçons ?
											On les encourageait
à jouer sur la rampe de pompier
											malgré leur éventuelle inquiétude
											et souvent les parents offraient
des conseils pour qu'ils arrivent seuls.
											Quel message cela envoie-t-il
aux garçons et aux filles ?
											Que les filles sont fragiles
et ont plus besoin d'aide,
											que les garçons peuvent et devraient
accomplir les tâches difficiles seuls,
											les filles être craintives
											et les garçons courageux.
									","
											Ironicamente, houve um estudo envolvendo, 
um varão de bombeiros, num recreio.
											Os investigadores observaram
que as mães e os pais
											chamavam a atenção às filhas
para o perigo do varão,
											e, se elas quisessem
brincar na mesma no varão,
											um dos pais ia ajudá-la.
											E os rapazes?
											Eram encorajados a brincar
no varão de bombeiro
											apesar dos receios que pudessem ter.
											Muitas vezes os pais davam-lhes orientações
de como o podiam fazer sozinhos.
											Qual é a mensagem que passa tanto
para os rapazes como para as raparigas?
											Que as raparigas são frágeis
e precisam de ajuda,
											e que os rapazes podem e devem
dominar tarefas difíceis sozinhos.
											Que as raparigas devem ser receosas
											e o rapazes corajosos.
									","
											Es gab ironischerweise eine Studie 
zu einer Spielplatz-Rutschstange,
											bei der die Forscher merkten, dass 
kleine Mädchen häufig von ihren Eltern
											vor den Gefahren 
der Rutschstange gewarnt wurden
											und wenn die Mädchen trotzdem
an der Stange spielen wollten,
											war es wahrscheinlich, 
dass ihnen ein Elternteil half.
											Aber die kleinen Jungs?
											Sie wurden ermutigt, 
an der Rutschstange zu spielen,
											auch wenn sie vielleicht Angst hatten,
											und oft zeigten die Eltern ihnen,
wie sie sie allein benutzen konnten.
											Welche Botschaft sendet das 
an Jungs und Mädchen?
											Dass Mädchen schwach sind
und mehr Hilfe brauchen
											und dass Jungs schwierige Aufgaben
allein meistern können und sollten.
											Es bedeuet, Mädchen sollten Angst haben
											und Jungs mutig sein.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											Now, the irony is that at this young age,
											girls and boys are actually
very alike physically.
											In fact, girls are often
stronger until puberty,
											and more mature.
											And yet we adults act
											as if girls are more fragile
											and more in need of help,
											and they can't handle as much.
											This is the message
that we absorb as kids,
											and this is the message
that fully permeates as we grow up.
											We women believe it, men believe it,
											and guess what?
											As we become parents,
we pass it on to our children,
											and so it goes.
									","
											L'ironie de la chose
est qu'à ce jeune âge,
											filles et garçons sont
très similaires physiquement.
											Jusqu'à la puberté,
les filles sont souvent plus fortes
											et plus matures.
											Et pourtant les adultes se comportent
											comme si les filles étaient plus fragiles,
											avaient besoin de plus d'aide,
											n'étaient pas autant capables.
											Enfants, c'est le message
que nous absorbons
											et c'est le message qui nous imprègent
alors que nous grandissons.
											Nous, les femmes, y croyons,
les hommes y croient
											et devinez quoi ?
											En devenant parents, nous passons
ce message à nos enfants
											et ainsi de suite.
									","
											A ironia é que, nestas idades,
											rapazes e raparigas são
muito parecidos fisicamente.
											Muitas vezes,
as raparigas são mais fortes,
											e mais maduras, até à puberdade,
											No entanto, nós adultos agimos
											como se as raparigas
fossem mais frágeis
											precisassem de ajuda
											e não consigam
lidar com as coisas.
											Esta é a mensagem que absorvemos
enquanto crianças,
											e é esta mensagem que fica
impregnada em nós enquanto crescemos.
											Nós mulheres acreditamos nela,
os homens acreditam nela,
											e sabem que mais?
											Quando nos tornamos pais
passamos isso aos nossos filhos,
											e por aí fora.
									","
											Die Ironie ist: In diesem frühen Alter
											sind Mädchen und Jungs 
sich körperlich sehr ähnlich.
											Bis zur Pubertät sind Mädchen oft stärker
											und reifer.
											Und doch tun wir Erwachsenen so,
											als seien Mädchen zerbrechlicher,
											bräuchten mehr Hilfe
											und könnten weniger aushalten.
											Diese Botschaft saugen wir als Kinder auf
											und diese Botschaft dringt voll zu uns 
durch, während wir groß werden.
											Wir Frauen glauben sie, 
Männer glauben sie,
											und wissen Sie was?
											Wenn wir Eltern werden, 
vermitteln wir sie an unsere Kinder
											und immer so weiter.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											Well, so now I had my answer.
											This is why women, even firewomen,
											were expected to be scared.
											This is why women often are scared.
									","
											J'avais donc ma réponse.
											C'est pourquoi on s'attendait
à ce que les femmes,
											même sapeurs-pompiers, aient peur.
											C'est pourquoi les femmes
ont souvent peur.
									","
											Agora já tinha a minha resposta.
											É por isso que se espera
que as mulheres, mesmo as bombeiras,
											tenham medo.
											É por isso que as mulheres
muitas vezes têm medo.
									","
											Jetzt hatte ich also meine Antwort.
											Daher erwartet man von Frauen, 
selbst Feuerwehrfrauen,
											dass sie Angst haben.
											Deshalb haben Frauen oft Angst.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
