en,fr,tr,pt,es,de,title,speaker,duration,tags
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											(Laughter)
									","
											(Rires)
									","
											(Kahkaha)
									","
											(Risos)
									","
											(Risas)
									","
											(Gelächter)
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											So I had a unique advantage
											when I started studying this desert.
											So let me tell you guys
a few fantastic examples
											he has found
											on how life has adapted
to live with almost no water at all.
									","
											Ce fut un avantage pour moi
											quand j'ai commencé
à étudier ce désert.
											Laissez-moi vous faire découvrir les
magnifiques trouvailles qu'il a trouvées
											pour permettre à la vie de s'adapter
pour vivre presque sans eau.
									","
											O yüzden bu çölü araştırmaya başladığımda
											eşsiz bir avantajım vardı.
											Şimdi sizinle hayatın neredeyse hiç
su olmadan nasıl devam ettiğine dair,
											onun bulduğu
											harika örnekleri paylaşmak istiyorum.
									","
											Por isso, eu tinha uma vantagem única
											quando comecei a estudar este deserto.
											Deixem-me mostrar-vos 
alguns exemplos fantásticos
											de como ele descobriu
											que a vida se conseguiu adaptar para viver
quase sem água nenhuma.
									","
											Así que tuve una ventaja única
											al comenzar a estudiar este desierto.
											Les daré algunos ejemplos fantásticos
											de cómo allí
											la vida se ha adaptado 
para vivir casi sin agua.
									","
											Also hatte ich einen einmaligen Vorteil,
											als ich diese Wüste zu erforschen begann.
											Ich gebe Ihnen ein paar
fantastische Beispiele,
											die er erkannt hat,
											über wie sich Lebewesen an ein Leben
fast ohne Wasser angepasst haben.
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											One of my first findings
was in the entrance of a cave
											facing the Pacific Ocean.
											In this place, we reported
a new type of microalgae
											that grew only on top of the spiderwebs
that covered the cave entrance.
											Have you ever seen a spiderweb
early in the morning?
											It's covered with dew,
											so this microalgae learned
that in order to carry photosynthesis
											in the coast of the driest
desert on Earth,
											they could use the spiderwebs.
											So here they may access
the water from the fogs
											that regularly cover
these areas in the morning.
									","
											Une de mes découvertes
était à l'entrée d'une cave
											faisant face à l'océan Pacifique.
											A cet endroit, nous avons trouvé
un nouveau type de micro-algue
											qui ne pousse
que sur les toiles d'araignées
											se trouvant à l'entrée de la cave.
											Avez-vous déjà une toile d'araignée 
au petit matin ?
											Elle est recouverte de rosée.
											Cette micro-algue a appris
à utiliser les toiles d'araignées,
											sur la côte du désert le plus sec
sur Terre,
											pour la photosynthèse.
											Comme ça, elles ont accès
à l'eau du brouillard
											qui recouvre souvent
cette région le matin.
									","
											İlk bulgularımdan biri,
											Pasifik Okyanusu'na bakan
bir mağaranın girişindeydi.
											Orada yalnızca mağara girişindeki
örümcek ağları üzerinde yetişen
											yeni bir tür mikroalg fark ettik.
											Sabahın erken saatinde
hiç örümcek ağı gördünüz mü?
											Çiğ ile kaplanmışlardır.
											Bu mikroalg de Dünya'nın en kuru çölünün
kıyısında fotosentez yapabilmek için
											örümcek ağını kullanıyor.
											Genellikle sabah saatlerinde bu
alanları kaplayan sis sayesinde,
											suya erişim sağlayabiliyorlar.
									","
											Uma das minhas primeiras descobertas 
foi na entrada de uma caverna
											virada para o Oceano Pacífico.
											Neste local, descobrimos 
um novo tipo de microalgas
											que apenas cresciam em cima das
teias de aranha que cobriam a entrada.
											Já viram uma teia de aranha de manhã cedo?
											Está coberta de orvalho.
											Então, estas microalgas aprenderam 
que, para fazer a fotossíntese
											na costa do deserto mais seco da Terra,
											podiam usar as teias de aranha.
											Deste modo, elas podem ter acesso
à água das neblinas
											que regularmente cobrem 
estas áreas pela manhã.
									","
											Uno de mis primeros hallazgos 
fue en la entrada de una cueva
											frente al Océano Pacífico.
											En este lugar, informamos 
sobre un nuevo tipo de microalgas
											que creció sobre las telarañas 
que cubrían la entrada de la cueva.
											¿Alguna vez han visto una telaraña 
temprano en la mañana?
											Está cubierta de rocío,
											así esta microalga aprendió 
que para llevar fotosíntesis
											en la costa del desierto 
más seco de la Tierra,
											podrían usar las telarañas.
											Entonces aquí pueden acceder 
al agua de las nieblas
											que regularmente cubren 
estas áreas por la mañana.
									","
											Eine meiner ersten Funde war 
an einem Höhleneingang,
											der in die Richtung 
des pazifischen Ozean zeigt.
											Hier fanden wir eine neue Mikroalgenart,
											die nur auf den Spinnenweben wächst, 
die den Höhleneingang bedecken.
											Haben Sie jemals frühmorgens
ein Spinnennetz betrachtet?
											Es ist mit Tau benetzt,
											also haben die Mikroalgen gelernt, 
die Spinnweben zu nutzen,
											um in der trockensten Wüste der Erde,
											Fotosynthese zu betreiben.
											Hier haben sie Zugang 
zum Wasser des Nebels,
											der morgens regelmäßig 
diese Gegenden bedeckt.
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											In another cave, we found
a different type of microalgae.
											This one is able to use ocean mist
as a source of water,
											and strikingly lives
in the very bottom of a cave,
											so it has adapted to live
with less than 0.1 percent
											of the amount of light
that regular plants need.
											These type of findings
suggest to me that on Mars,
											we may find even
photosynthetic life inside caves.
											And by the way, that's me.
									","
											Dans une autre cave, nous avons trouvé
un différent type d'algue.
											Celle-ci peut utiliser la brume des océans
comme source d'eau,
											et ce qui est étonnant,
c'est qu'elle vit au fond de la cave,
											alors elle doit s'adapter
et vivre avec moins de 0,1 pour cent
											en lumière dont les plantes
ont généralement besoin.
											Ce type de découverte indique
que sur Mars,
											nous trouverons peut-être de la vie
dans des caves.
											Au fait, c'est moi.
									","
											Başka bir mağarada,
farklı bir tür mikroalg bulduk.
											Bu alg okyanus sisini
su kaynağı olarak kullanabiliyor
											ve şaşırtıcı bir şekilde,
bir mağaranın dibinde yaşıyor.
											Yani sıradan bir bitkinin 
gereksinim duyduğu ışığın
											yüzde 0,1'inden daha azı ile
yaşamaya adapte olmuş.
											Bu bulgular bana Mars'ta mağaralar içinde
											fotosentetik yaşam dahi 
bulabileceğimizi gösteriyor.
											Bu arada, bu benim.
									","
											Noutra caverna, encontrámos 
um diferente tipo de microalgas.
											Estas têm a capacidade de usar as 
brumas oceânicas como fonte de água,
											e, curiosamente, vivem 
no fundo de uma caverna,
											tendo-se adaptado a viver 
com menos de 0,1%
											da quantidade de luz que as 
plantas normalmente necessitam.
											Este tipo de descobertas 
sugerem que em Marte,
											poderemos encontrar vida fotossintética 
dentro das cavernas.
											E, já agora, este sou eu.
									","
											En otra cueva, encontramos 
un tipo diferente de microalgas.
											Este es capaz de usar niebla marina 
como fuente de agua,
											y sorprendentemente vive 
en el fondo de una cueva,
											por lo que se ha adaptado 
para vivir con menos del 0,1 %
											de la cantidad de luz que 
necesitan las plantas comunes.
											Este tipo de hallazgos sugieren 
que en Marte,
											podemos encontrar incluso la vida 
fotosintética dentro de las cuevas.
											Y, por cierto, ese soy yo.
									","
											In einer anderen Höhle fanden wir 
eine weitere Art von Mikroalge.
											Diese nutzt den Nebel des Ozeans 
als Wasserquelle,
											sie lebt bemerkenswerterweise 
auf dem Grund der Höhle
											und hat sich an ein Leben 
mit weniger als 0,1 % des Lichts,
											das gewöhnliche Pflanzen 
benötigen, angepasst.
											Diese Funde suggerieren, 
dass wir fotosynthetisches Leben,
											sogar in Höhlen 
auf dem Mars finden könnten.
											Übrigens, das bin ich.
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											(Laughter)
									","
											(Rires)
									","
											(Kahkaha)
									","
											(Risos)
									","
											(Risas)
									","
											(Gelächter)
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											Now, for almost 15 years
this region of Yungay, discovered by NASA,
											was thought to be
the driest place of this desert,
											but I knew that it was not.
											How? You already know the answer.
											Because I was born
and raised in this desert.
											So I remembered that I
usually see fogs in Yungay,
											so after setting sensors
in a number of places,
											where I remember
never seeing fogs or clouds,
											I reported four other sites
much drier than Yungay,
											with this one, María Elena South,
											being the truly driest place on Earth,
											as dry as Mars,
											and amazingly, just a 15-minute ride
											from the small mining town
where I was born.
									","
											On pensait que cette région de Yungay
découverte par la NASA il a presque 15 ans
											était l'endroit le plus sec
de ce désert,
											mais je savais que c'était faux.
											Comment je l'ai su ? 
Vous savez pourquoi.
											Parce que je suis né et 
j'ai été élevé ici.
											Je me souviens avoir vu
du brouillard à Yungay,
											alors après avoir placé des capteurs
											aux endroits où je savais qu'il n'y avait
ni brouillard ni nuages,
											j'ai découvert quatre autres sites
plus secs que Yungay.
											Celui-ci s'appelle Maria Elena South,
											c'est l'endroit le plus sec sur Terre.
											Il est aussi sec que Mars
											et n'est qu'à 15 minutes en voiture
											depuis le petit village minier
où je suis né.
									","
											NASA tarafından keşfedilen
Yungay adlı bu bölge,
											yaklaşık 15 yıldır çölün en kuru
yeri olarak kabul edilmişti;
											ama ben öyle olmadığını biliyordum.
											Nasıl mı? Yanıtı zaten biliyorsunuz.
											Çünkü bu çölde doğudum ve büyüdüm.
											Genellikle Yungay'da 
sis gördüğümü hatırladım.
											Hiç bulut veya sis görmediğim
											birkaç yere sensör kurduktan sonra,
											Yungay'dan daha kuru dört bölge
bulduğumu bildirdim.
											Maria Elena Güney adındaki bu yer,
											Dünya'daki hakikaten en kuru yer oluyor.
											Mars kadar kuru
											ve asıl ilginç olan,
											doğduğum küçük maden kasabasından
yalnızca 15 dk uzaklıkta.
									","
											Durante quase 15 anos,
											esta região de Yungay,
descoberta pela NASA,
											foi considerada o lugar 
mais seco deste deserto,
											mas eu sabia que não era.
											Como? Vocês já sabem a resposta.
											Porque eu nasci e 
fui criado neste deserto.
											Daí eu me lembrar que, habitualmente, 
via nevoeiros em Yungay.
											Então, depois de colocar
sensores em vários sítios,
											onde eu me lembro de nunca 
ter visto nevoeiros ou nuvens,
											eu registei quatro locais 
muito mais secos que Yungay,
											sendo este, o sul de María Elena,
											o local mais seco da Terra,
											tão seco como Marte,
											e incrivelmente, apenas 
a 15 minutos de distância
											da pequena vila mineira onde eu nasci.
									","
											Durante casi 15 años esta región 
de Yungay, descubierta por la NASA,
											se pensó que era el lugar 
más seco de este desierto,
											pero yo sabía que no era así.
											¿Cómo? Uds. ya saben la respuesta.
											Porque nací y crecí en este desierto.
											Así que recordé que generalmente 
veo niebla en Yungay,
											entonces, después de configurar 
los sensores en varios lugares,
											donde recuerdo nunca 
haber visto nieblas o nubes,
											informé de otros cuatro sitios 
mucho más secos que Yungay,
											con esta, María Elena Sur,
											siendo el lugar más seco de la Tierra,
											tan seco como Marte
											y, sorprendentemente, 
a solo 15 minutos de viaje
											de la pequeña ciudad minera donde nací.
									","
											Fast 15 Jahre lang galt
diese Region Yungays, laut NASA,
											als der trockenste Fleck dieser Wüste,
											aber ich wusste, dass das nicht stimmte.
											Woher ich das wusste? 
Sie kennen die Antwort schon.
											Weil ich in dieser Wüste 
geboren und aufgewachsen bin.
											Ich erinnerte mich, Nebel meist 
in Yungay gesehen zu haben,
											also platzierte ich Sensoren 
an verschiedene Stellen,
											an denen ich noch nie Wolken 
oder Nebel gesehen hatte
											und kann von vier Orten berichten, 
die viel trockener sind als Yungay.
											So ist Maria Elena South
											wahrhaftig der trockenste Ort der Erde;
											so trocken wie Mars
											und überraschenderweise 
nur 15 Minuten Fahrzeit
											von der kleinen Bergarbeitersiedlung, 
in der ich zur Welt kam, entfernt.
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											Now, in this search, we were trying
to actually find the dry limit
											for life on Earth,
											a place so dry that nothing
was able to survive in it.
											But even here, well hidden underground,
											we found a number
of different microorganisms,
											which suggested to me
that similarly dry places, like Mars,
											may be inhabited.
											We even have some preliminary evidences
											that these microorganisms
may still be active
											in the desiccated state,
											like walking mummies all around us,
											and that they may be using
UV radiation as a source of energy.
											If confirmed, this would have
a huge impact on our definition of life,
											on how we look for life
elsewhere in the universe.
									","
											Dans cette étude,
nous recherchions l'endroit
											le plus sec pour la vie sur Terre,
											un endroit tellement sec
où rien n'y survivrait.
											Mais ici, bien caché sous Terre,
											nous avons trouvé différents types
de micro-organismes.
											Pour moi, cela veut dire que
des endroits semblables sur Mars
											peuvent être habités.
											Nous avons même un début de preuves
											que ces micro-organismes 
seraient encore en activité
											dans cet endroit desséché.
											Ils errent autour de nous comme des momies
											et semblent utiliser les rayons UV
comme source d'énergie.
											Si ça se confirme, ça pourrait impacter
la définition que nous donnons à la vie,
											mais aussi au regard
qu'on lui porte dans l'univers.
									","
											Bu arayışla aslında Dünya'da
yaşamı mümkün kılan
											kuruluk sınırını
bulmaya çalışıyorduk;
											hiçbir şeyin yaşayamayacağı
çok kuru bir yeri.
											Ancak burada bile,
yerin bu kadar altında,
											çok sayıda farklı
mikroorganizma bulduk.
											Bu da bana Mars gibi kuru bir bölgede de
											canlı olabileceğini gösterdi.
											Hatta bu mikroorganizmaların,
çevremizde gezinen mumyalar gibi,
											kuru bir vaziyette 
hala aktif olabileceğine işaret eden
											başlangıç niteliğinde
kanıtlarımız bile var.
											UV ışınımı, enerji kaynağı
olarak kullanıyor olabilirler.
											Eğer bu doğrulanırsa,
yaşam tanımımıza,
											evrende yaşam bulma çabamıza
dev bir etki yapacak.
									","
											Nesta pesquisa, nós tentámos 
descobrir o limite de secura
											para a vida na Terra,
											um local tão seco, que nada 
conseguisse sobreviver lá.
											Mas mesmo aqui, bem escondidos no subsolo,
											encontrámos vários 
micro-organismos diferentes,
											o que me sugeriu
que locais secos semelhantes,
											como Marte,
											podem ser habitados.
											Nós até encontrámos indícios preliminares
											de que estes microorganismos 
ainda podem estar ativos
											num estado desidratado,
											como múmias ambulantes ao nosso redor,
											e que eles podem estar a usar radiação UV 
como uma fonte de energia.
											Se confirmado, isto teria um 
enorme impacto na nossa definição de vida,
											em como procuramos vida
noutros lugares do universo.
									","
											En esta búsqueda, tratábamos de 
encontrar realmente el límite seco
											para la vida en la Tierra,
											un lugar tan seco que 
nada pudo sobrevivir en él.
											Pero incluso aquí, 
bien escondido bajo tierra,
											encontramos una cantidad 
de microorganismos diversos,
											lo que me sugirió que lugares 
similarmente secos, como Marte,
											pueden estar habitados.
											Incluso tenemos 
algunas evidencias preliminares
											de que estos microorganismos 
aún pueden estar activos
											en el estado desecado,
											como momias que caminan 
a nuestro alrededor,
											y que pueden estar usando 
la radiación UV como fuente de energía.
											Si se confirma, esto tendría gran impacto 
en nuestra definición de vida,
											sobre cómo buscamos 
la vida en otro lugar del universo.
									","
											Auf dieser Expedition suchten wir 
die Trockenheitsobergrenze
											für Leben auf der Erde —
											nach einem Ort, so trocken, 
dass kein Überleben möglich ist.
											Doch sogar hier, tief unter der Erde,
											fanden wir eine Anzahl 
verschiedener Mikroorganismen,
											woraus ich schließe, dass an 
ähnlich trockenen Orten, wie Mars,
											Leben existieren könnte.
											Wir haben sogar ein paar 
vorläufige Beweise dafür,
											dass Mikroorganismen 
im ausgetrockneten Zustand
											weiterhin aktiv sein könnten
											— wie wandelnde Mumien —
											und vielleicht nutzen sie 
die UV-Strahlung als Energiequelle.
											Das hätte eine große Auswirkung 
auf unsere Definition von Leben,
											und wie wir nach Leben 
im Universum suchen.
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
