pt,en,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
											As flautas e a música levaram
a descobertas ainda mais poderosas.
											Há cerca de 1000 anos,
											no auge do Renascimento islâmico,
											três irmão em Bagdade
criaram um aparelho
											que era um órgão automático.
											Chamaram-lhe
""o aparelho que toca sozinho"".
											O instrumento era basicamente
uma caixa de música gigante.
											O órgão podia ser treinado para tocar
várias músicas usando instruções
											codificadas usando pinos
num cilindro rotativo.
											Se quiséssemos que a máquina
tocasse uma música diferente,
											era só trocar por um novo cilindro
com um código diferente.
											Este instrumento era
o primeiro da sua espécie.
											Era programável.
									","
											Flutes and music led
to even more powerful breakthroughs.
											About a thousand years ago,
											at the height of the Islamic Renaissance,
											three brothers in Baghdad
designed a device
											that was an automated organ.
											They called it ""the instrument
that plays itself.""
											Now, the instrument
was basically a giant music box.
											The organ could be trained to play
various songs by using instructions
											encoded by placing pins
on a rotating cylinder.
											And if you wanted the machine
to play a different song,
											you just swapped a new cylinder in
with a different code on it.
											This instrument was the first of its kind.
											It was programmable.
									","
											Les flûtes et la musique ont mené
à des découvertes encore plus puissantes.
											Il y a environ mille ans,
											lors de l'apogée
de la Renaissance islamique,
											trois frères de Bagdad
ont conçu un appareil
											qui était un orgue automatisé.
											Ils l'ont appelé « l'instrument
qui joue tout seul ».
											L'instrument était, en gros,
une boîte à musique géante.
											L'orgue pouvait être entraîné à jouer
diverses chansons grâce à des instructions
											encodées en plaçant des épingles
sur un cylindre en rotation.
											Si vous vouliez que la machine
joue une autre chanson,
											il suffisait de mettre
un autre cylindre avec un code différent.
											Cet instrument était
le premier en son genre.
											Il était programmable.
									","
											Flöten und Musik führten zu
noch gewaltigeren Durchbrüchen.
											Vor etwa 1000 Jahren,
											zur Blütezeit der Renaissance des Islam,
											entwarfen in Bagdad drei Brüder ein Gerät,
											eine automatische Orgel.
											Sie nannten es ""Das Instrument, 
das sich selbst spielt"".
											Im Wesentlichen war es
eine riesige Spieldose.
											Man konnte die Orgel
unterschiedliche Lieder spielen lassen,
											die als Stifte auf einem sich drehenden
Zylinder verschlüsselt waren.
											Sollte die Maschine 
ein anderes Lied spielen,
											musste man nur einen neuen Zylinder
mit anderem Code einlegen.
											Dieses Instrument
war das erste seiner Art.
											Man konnte es programmieren.
									","
											Flüt ve müzik daha birçok 
muhteşem buluşlara ön ayak olmuştur.
											Bin yıl önce,
											İslamın altın çağını yaşadığı dönemlerde,
											Bağdatlı üç kardeş otomatik çalan
											bir alet icat etti.
											Ona ""kendi kendine çalan
enstrüman"" dediler.
											Aslında bu enstrüman devasa
bir müzik kutusuydu.
											Çalınacak tüm şarkıların yönergeleri
kutunun içine yerleştirilen
											dönen bir silindire kodlanmıştır.
											Eğer kutundan farklı
müzik dinlemek isterseniz,
											farklı kodu olan bir silindirle
değiştirmeniz yeterli.
											Bu enstrüman kendi türünün ilk örneğidir.
											Programlanabilirdi.
									",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
","
","
","
","
",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
											Conceptualmente,
era um gigantesco passo em frente.
											Toda a ideia de ""hardware"" e ""software""
											torna-se possível pela primeira vez 
com esta invenção.
											e esse conceito incrivelmente poderoso
											não surgiu de um instrumento
de guerra ou conquista,
											nem sequer de necessidade.
											Surgiu do estranho prazer
de ver uma máquina a tocar música.
									","
											Now, conceptually,
this was a massive leap forward.
											The whole idea of hardware and software
											becomes thinkable for the first time
with this invention.
											And that incredibly powerful concept
											didn't come to us as an instrument
of war or of conquest,
											or necessity at all.
											It came from the strange delight
of watching a machine play music.
									","
											Conceptuellement, c'était
un énorme pas en avant.
											Toute l'idée du matériel et du logiciel
											devient imaginable pour la première fois
grâce à cette invention.
											Ce concept incroyablement puissant
											n'est pas apparu comme un instrument
pour la guerre ou la conquête,
											ni quelque chose de nécessaire.
											Il a découlé de l'étrange plaisir
de voir une machine jouer de la musique.
									","
											Dieses neue Konzept
war ein gewaltiger Fortschritt.
											Mit dieser Erfindung wird zum ersten Mal
											die ganze Idee von Hardware
und Software denkbar.
											Dieses unheimlich starke
Konzept kommt nicht
											von einem Gerät für Krieg
oder zur Eroberung,
											oder überhaupt aus der Not heraus.
											Es kommt von der seltsamen Freude,
eine Maschine Musik machen zu sehen.
									","
											Bu ciddi anlamda büyük bir sıçrama oldu.
											Bu icatla beraber ilk kez
yazılım ve donanım
											fikirleri kafalarda
filizlenmeye başlamıştı.
											Bu muhteşem fikir bize
bir savaş enstrümanı gibi
											bir fetih gibi ya da bir
											gereklilikmiş gibi gelmedi.
											Bu müzik çalan makineyi izlemek
bize garip bir zevk verdi.
									",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
","
","
","
","
",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
											De facto, a ideia de máquinas programáveis
											foi mantida viva exclusivamente
através da música por cerca de 700 anos.
											Nos anos 1700,
as máquinas de criar música
											tornaram-se os brinquedos
da elite parisiense.
											Artistas usaram os mesmos
cilindros codificados
											para controlar os movimentos físicos 
do que eles chamavam de ""automata"",
											uma espécie de robô.
											Um destes robôs mais famoso
											era, adivinharam, um flautista automático
											criado por um brilhante
inventor francês
											chamado Jacques de Vaucanson.
									","
											In fact, the idea of programmable machines
											was exclusively kept alive by music
for about 700 years.
											In the 1700s, music-making machines
											became the playthings
of the Parisian elite.
											Showmen used the same coded cylinders
											to control the physical movements
of what were called automata,
											an early kind of robot.
											One of the most famous of those robots
											was, you guessed it,
an automated flute player
											designed by a brilliant French inventor
											named Jacques de Vaucanson.
									","
											En fait, l'idée de machines programmables
											a été maintenue en vie durant 700 ans
exclusivement par la musique.
											Dans les années 1700,
les machines faisant de la musique
											sont devenues les jouets
de l'élite parisienne.
											Les forains utilisaient
les mêmes cylindres codés
											pour contrôler les mouvements physiques
de ce qu'ils appelaient « automata »,
											le début des robots.
											Un de ces robots les plus célèbres,
											vous l'aurez deviné,
était un joueur de flûte automatisé
											conçu par un brillant inventeur français :
Jacques de Vaucanson.
									","
											In der Tat wurde das Konzept
programmierbarer Maschinen
											etwa 700 Jahre lang ausschließlich
durch Musik aufrechterhalten.
											Im 18. Jahrhundert
waren musizierende Maschinen
											ein Spielzeug der Elite von Paris.
											Schausteller benutzten
solche kodierten Zylinder,
											um damit die Bewegungen
von Automaten zu steuern,
											frühen Formen von Robotern.
											Einer der bekanntesten dieser Roboter
											war ein automatischer Flötenspieler,
											entworfen von dem brillanten
französischen Erfinder
											Jacques de Vaucanson.
									","
											Aslında programlanabilir makine fikri
											700 yıl boyunca müzikle ayakta tutuldu.
											1700'lü yıllarda müzikli makineler
											Paris'in elit partilerinde yerini aldı.
											Şovmenler fiziksel hareketleri
kontrol etmek için
											''otomat'' dedikleri
aynı kodlu silindirleri kullanarak
											bir tür ilkel robot geliştirdi.
											Bunlardan en meşhuru,

											sizin de tahmin edeceğiniz gibi
											otomatik bir flüt çalar,
											Fransız mucit Jacques de Vaucanson 
tarafından icat edildi.
									",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
","
","
","
","
",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
											E enquanto de Vaucanson estava
a criar este robô músico,
											ele teve outra ideia.
											Se era possível programar uma máquina
para fazer sons agradáveis,
											porque não programá-la
para tecer padrões de cor em tecido?
											Ao invés de usar os pinos do cilindro
para representar notas musicais,
											eles iriam representar
fios de cores diferentes.
											Se quisessem um novo padrão
para o seu tecido,
											era só programar
um novo cilindro
											Este foi o primeiro tear programável.
									","
											And as de Vaucanson
was designing his robot musician,
											he had another idea.
											If you could program a machine
to make pleasing sounds,
											why not program it to weave
delightful patterns of color out of cloth?
											Instead of using the pins of the cylinder
to represent musical notes,
											they would represent
threads with different colors.
											If you wanted a new pattern
for your fabric,
											you just programmed a new cylinder.
											This was the first programmable loom.
									","
											Alors que de Vaucanson
concevait son robot musicien,
											il a eu une autre idée.
											S'il était possible de programmer
une machine à faire des sons plaisants,
											pourquoi ne pas la programmer à tisser
de beaux motifs colorés sur des habits ?
											Au lieu d'utiliser
les aiguilles du cylindre
											pour représenter des notes musicales,
											elles représenteraient
des fils de différentes couleurs.
											Si vous vouliez un nouveau motif
pour votre tissu,
											il suffisait de programmer
un nouveau cylindre.
											C'était le premier
métier à tisser programmable.
									","
											Beim Entwurf seines Roboter-Musikers
											hatte de Vaucanson eine weitere Idee.
											Wenn er Maschinen programmieren konnte,
um angenehme Töne zu machen,
											warum nicht auch dazu, aus Stoff
schöne farbige Muster zu weben?
											Die Stifte auf dem Zylinder
würden dabei nicht für Töne stehen,
											sondern für Fäden
in unterschiedlichen Farben.
											Für Stoffe in neuen Mustern
											musste man nur einen
neuen Zylinder programmieren.
											Dies war der erste
programmierbare Webstuhl.
									","
											De Vaucanson robot müzisyenini
tekrar düzenlerken
											aklında başka bir fikir vardı.
											Eğer hoş sesler çıkartmak için makineler
programlanabiliniyorsa,
											neden kumaşlar için de hoş renk 
dokumaları yapılmasın ki?
											Müzik notalarını temsil eden
silindir pimlerini kullanmak yerine
											farklı renklerdeki iplikler
kullanılabilirdi.
											Kumaşınızda yeni bir model isterseniz,
											yeni bir silindir programlayın yeter.
											Bu ilk programlanabilir dokuma tezgahıydı.
									",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
","
","
","
","
",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
											O processo para criar os cilindros
era moroso e dispendioso,
											mas meio século mais tarde,
											outro inventor francês
chamado Jacquard
											teve a brilhante ideia de usar
cartões de papel perfurado
											ao invés de cilindros metálicos.
											O papel era muito
mais barato e flexível
											enquanto forma
de programar o aparelho.
											Este sistema de cartões furados inspirou
o inventor vitoriano Charles Babbage
											a criar o seu motor analítico,
											o primeiro computador
verdadeiramente programável
											alguma vez feito.
											O sistema de cartões foi usado
por programadores
											até aos anos 70.
									","
											Now, the cylinders were too expensive
and time-consuming to make,
											but a half century later,
											another French inventor named Jacquard
											hit upon the brilliant idea
of using paper-punched cards
											instead of metal cylinders.
											Paper turned out to be
much cheaper and more flexible
											as a way of programming the device.
											That punch card system inspired
Victorian inventor Charles Babbage
											to create his analytical engine,
											the first true programmable computer
											ever designed.
											And punch cards were used
by computer programmers
											as late as the 1970s.
									","
											Les cylindres étaient trop chers
et leur conception trop longue,
											mais 50 ans plus tard,
											un autre inventeur français
du nom de Jacquard
											eut la brillante idée d'utiliser
des cartes de papier perforées
											au lieu de cylindres métalliques.
											Le papier s'est avéré
être une façon de programmer l'appareil
											moins chère et plus flexible.
											Ce système de carte perforée a inspiré
l'inventeur victorien Charles Babbage
											pour créer sa machine analytique,
											le premier ordinateur programmable
											jamais conçu.
											Et les cartes perforées
ont été utilisées en programmation
											jusque dans les années 70.
									","
											Es war jedoch zu teuer und zeitraubend,
die Zylinder herzustellen.
											Fünfzig Jahre später
											hatte der ebenfalls
französische Erfinder Jacquard
											die brillante Idee,
anstatt der Zylinder aus Metall
											Lochkarten aus Papier zu benutzen.
											Papier war eine günstigere 
und flexiblere Art,
											ein Gerät zu programmieren.
											Das System der Lochkarten inspirierte den
viktorianischen Erfinder Charles Babbage
											zum Bau seiner Rechenmaschine
""Analytical Engine"",
											der erste wirklich 
programmierbare Computer,
											der konstruiert wurde.
											Lochkarten wurden von Programmierern
											noch bis in die 1970er Jahre benutzt.
									","
											Ama bu silindirler çok pahalıydı ve
çok zaman alıyordu,
											ama, yarım yüzyıl sonra,
											Jacquard adında başka bir Fransız mucit,
											metal silindirlerin yerine
											delikli kart kullanmak
fikrini hayata geçirdi.
											Kağıdın cihazı programlama açısından
çok daha ucuz ve daha esnek
											bir yöntem olduğu anlaşıldı.
											Bu delikli kart sistemi, Viktorya dönemi
mucitlerinden Charles Babbage'a
											şimdiye kadar tasarlanmış
											ilk gerçek programlanabilir bilgisayar olan
analitik makineyi tasarlaması için
											ilham vermiştir.
											Delikli kartlar bilgisayar
programcıları tarafından
											ancak 1970'lerde kullanıldı.
									",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
","
","
","
","
",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
