fr,en,de,tr,es,title,speaker,duration,tags
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Donc, c'était juste un exemple.
											Mais le truc avec Charles et Ray
											c'est qu'ils étaient toujours en train de modéliser des choses.
											Ils étaient toujours en train d'essayer quelque chose de nouveau.
											Je crois que c'est une des choses qui me passionne : le travail de mes grands-parents.
											Je suis passionné par mon travail.
											Mais, par-dessus tout, ce qui me passionne,
											c'est une vision holistique du design,
											où le design est une compétence de vie, pas une compétence professionnelle.
											Et vous savez, ceux d'entre nous qui avons des enfants voulons souvent que nos enfants apprennent la musique.
											Je ne suis pas une exception.
											Mais il ne s'agit pas de les voir devenir Bono ou Tracy Chapman.
											Il s'agit de faire passer cette notion de musique par leur tête et leur pensée.
									","
											So that was just a little snip.
											But the thing about Charles and Ray
											is that they were always modeling stuff.
											They were always trying things out.
											I think one of the things I am passionate about, my grandparents work,
											I'm passionate about my work,
											but on top of all that I'm passionate
											about a holistic vision of design,
											where design is a life skill, not a professional skill.
											And you know, those of us with kids often want our kids to take music.
											I'm no exception.
											But it's not about them becoming Bono or Tracy Chapman.
											It's about getting that music thing going through their heads and their thinking.
									","
											So das war einfach ein kleiner Schnitt.
											Aber die Sache über Charles und Ray ist, dass sie dauernd
											Dinge modelliert haben.
											Sie haben immer Dinge ausprobiert.
											Einer meiner Leidenschaften ist das Werk meiner Grosseltern.
											Ich bin begeistert von meiner Arbeit.
											Aber meine grösste Leidenschaft ist
											ganzheitliches Design,
											wo Design eine Lebenkunst ist, nicht eine Professionalität.
											Und wisst ihr, wir wollen oft, dass unsere Kinder Musik lernen.
											ich bin da keine Ausnahme.
											Aber es geht nicht darum Bono oder Tracy Chapman zu werden.
											Es geht um die Seite der Musik, die durch ihren Köpfen und ihren Gedanken geht.
									","
											Yani sadece küçük bir parça.
											Charles ve Ray
											daima bir şeyleri modelliyorlardı.
											Onlar daima bir şeyleri deniyorlardı.
											Bence tutkularımdan bir tanesi, büyük ebeveynlerimin işi,
											ben işime aşığım,
											ama tüm bunların üstünde ben
											tasarımın kutsallığına hayranım.
											Bence bir hayat becerisi, profesyonel bir beceri değil.
											Ve biliyorsunuz, çocuğu olanlarımız çocuklarının müzikle ilgilenmesini isterler.
											Ben de istisna değilim.
											Fakat konu onların Bono ya da Tracy Chapman olmaları değil.
											Konu, onların beyin ve düşünce yapısını müziğin etkilemesidir.
									","
											Así que ese fue un pequeño fragmento.
											Pero la cuestión acerca de Charles y Ray
											es que ellos estaban siempre modelando cosas.
											Ellos siempre estaban inventando cosas.
											Creo que una de las cosas que más me apasiona es el trabajo de mis abuelos.
											Me apasiona mi trabajo.
											Pero más allá de eso, me apasiona
											la visión holística del diseño,
											donde el diseño es una herramienta de vida, no una herramienta profesional.
											Y saben, muchos de nosotros que tenemos hijos, queremos que a nuestros hijos les interese la música.
											No soy la excepción.
											Pero no se trata de que ellos se conviertan en Bono o Tracy Chapman.
											Se trata de que la música fluya por sus mentes y sus pensamientos.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											C'est pareil pour le design. Ça doit devenir pareil pour le design.
											Et voici un modèle qu'ils ont réalisé pour leur projection sur les 7 écrans.
											Et Charles est ici en train de le tester.
											Alors maintenant, nous allons passer par l'entrée ""mobilier"".
											Il s'agit d'une installation inhabituelle pour des sièges d'aéroport.
											Nous allons maintenant voir certaines des icônes du mobilier Eames.
									","
											Design is the same way. Design has to become that same way.
											And this is a model that they did of that seven-screen presentation.
											And Charles just checking it out there.
											So now we're going to go through that door of furniture.
											This is an unusual installation of airport seating.
											So what we're going to see is some of the icons of Eames furniture.
									","
											Design ist genau so. Design muss genau so sein.
											Das ist ein Modell, das sie für die 7-Bildschirme Präsentation gemacht haben.
											Und Charles überprüft es gerade.
											Jetzt gehen wir durch die Tür der Möbel.
											Das ist eine ungewöhnliche Installation von Flughafensitzen.
											Was wir also sehen werden, sind einige der Ikone der Eames Möbel.
									","
											Tasarım aynı şekildedir. Tasarım aynı şekilde olmak zorundadır.
											İşte yedi ekranlı sunumla yaptıkları model bu.
											Charles orada oturup sadece kontrol ediyordu.
											Şimdi mobilya konusuna geçelim.
											Bu havalimanındaki alışılmışın dışında yapılmış bir bank.
											Eames mobilyasının bazı simgelerine bakalım.
									","
											El diseño es igual. El diseño debe convertirse en eso mismo.
											Y este es un modelo que ellos hicieron de aquella presentación de siete pantallas.
											Y Charles lo está comprobando ahí mismo.
											Así que ahora vamos entrar por esa puerta de muebles.
											Esta es una instalación poco convencional de una silla en un aeropuerto.
											Así que lo que veremos es algunos de los muebles iconos de Eames.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Et, au sujet de leur mobilier, ce qu'ils ont dit sur le rôle du concepteur
											était qu'il devait essentiellement être celui d'un bon hôte,
											anticipant les besoins de ses invités.
											Belles images. Mais ce sont celles-ci que je trouve vraiment sympas.
											Ce sont tous des prototypes. Ce sont des erreurs.
											Bien que je ne pense pas qu'erreurs soit le mot juste dans la conception.
											Ce sont juste les choses que vous essayez
											pour faire que ça fonctionne mieux.
											Et, vous savez, certaines d'entre elles seraient probablement horribles comme chaises.
											Certaines d'entre elles ont un aspect plutôt cool. C'est comme ""Hé, pourquoi n'ont-ils pas essayé ça ?""
											C'était le processus itératif [au cœur] de cette pratique,
											qui ressemble tellement à la conception vernaculaire
											et la conception populaire dans les cultures traditionnelles.
									","
											And the thing about their furniture is that they said the role of the designer
											was essentially that of a good host,
											anticipating the needs of the guest.
											So those are cool images. But these are ones I think are really cool.
											These are all the prototypes. These are the mistakes,
											although I don't think mistakes is the right word in design.
											It's just the things you try out
											to kind of make it work better.
											And you know some of them would probably be terrible chairs.
											Some of them are kind of cool looking. It's like ""Hey, why didn't they try that?""
											It was that hands-on iterative process
											which is so much like vernacular design
											and folk design in traditional cultures.
									","
											Und die Sache mit deren Möbel ist die, dass sie gesagt haben, dass dir Rolle des Designers
											diejenige sei, wie die eines guten Gastgebers,
											der die Bedürfnisse seiner Gäste antizipiert.
											Das sind coole Bilder. Aber diese hier finde ich wirklich cool.
											Das sind alle Prototypen. Das sind die Fehler.
											Obwohl Fehler das falsche Wort im Designprozess ist.
											Das sind einfach Dinge, die man ausprobiert
											um es besser zu machen.
											Wisst ihr, einige davon wären wahrscheinlich schreckliche Stühle.
											Manche sehen ziemlich cool aus. Es ist wie ""Hey, warum haben sie das nicht ausprobiert?""
											Es war ein spielerischer, iterativer Prozess,
											der ganz ähnlich ist, zum anonymen Design
											und zur Volkstümlichen Gestaltung in traditionellen Kulturen.
									","
											Mobilyaları, tasarımcının aslında
											iyi bir ev sahibi olması gerektiğini
											ve misafirlerin ihtiyaçların tam olarak karşılamaları gerektiğini söyler.
											Bunlar hoş fotoğraflar. Fakat bunlar bana göre gerçekten harika.
											Bunlar prototipler. Her ne kadar da yanlış kelimesinin tasarımda inanmasam da
											bunlar yanlışlar.
											Sadece daha iyi olması için
											yapılan denemeler.
											Ve bilirsiniz ki bazıları muhtemelen sandalye olarak oldukça kötüler.
											Tasarımlardan bazıları gerçekten harika. ""Hey, neden bunları denemediler?""
											Bu tekrarlanan uygulama süreci
											geleneksel kültürlerdeki
											yerli ve yöresel tasarımlara benzer.
									","
											Y la cuestión acerca de sus muebles es que ellos dijeron que el papel del diseñador
											era esencialmente el de ser un buen anfitrión,
											anticipándose a las necesidades del cliente.
											Así que esas son imágenes interesantes. Pero estas son algunas que me parecen realmente interesantes.
											Estos son todos los prototipos. Estos son los errores.
											A pesar de que yo no pienso que ""errores"" es la palabra adecuada en diseño.
											Son simplemente cosas que intentamos
											para hacer que de alguna manera funcione mejor.
											Y saben que algunas de esas probablemente serían sillas terribles.
											Algunas de esas se ven muy bien. Es como pensar ""Oye, ¿por qué ellos no intentaron eso?""
											Fue un proceso práctico interactivo
											parecido al diseño vernáculo
											y el diseño folk en las culturas tradicionales.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Et je pense que c'est l'un des points communs entre le modernisme
											et la conception traditionnelle. Je pense que c'est un vrai terrain d'entente,
											parce qu'en fait on essaye de comprendre ce qu'on fera sur terre dans les 20 ou 30 prochaines années.
											L'autre chose qui est plutôt cool, c'est que
											vous regardez ça, et puis dans les media, quand les gens parlent de design,
											en fait ils veulent parler de style.
											Et je suis vraiment là pour parler du design en tant que conception.
											Vous savez, l'objet est simplement un pivot.
											C'est un pivot entre un processus et un système.
									","
											And I think that's one of the commonalities between modernism
											and traditional design. I think it may be a real common ground
											as we kind of figure out what on earth to do in the next 20 or 30 years.
											The other thing that's kind of cool is that
											you look at this and in the media when people say design,
											they actually mean style.
											And I'm really here to talk about design.
											But you know the object is just a pivot.
											It's a pivot between a process and a system.
									","
											Und ich denke, das ist eine der Gemeinsamkeiten zwischen der Moderne
											und dem traditionellen Design. Ich denke es ist wirklich eine Gemeinsamkeit,
											als wir herausfanden, was zum Teufel man in den nächsten 20 oder 30 Jahren machen sollen.
											Eine andere coole Sache ist die,
											dass wenn die Medien und Menschen von Design reden,
											sie eigentlich Stil meinen.
											Und ich bin wirklich hier um über Design zu sprechen.
											Aber wisst ihr, das Objekt ist nur ein Dreh-und Angelpunkt.
											Es ist ein Drehpunkt zwischen Prozess und System.
									","
											Bence bu modernlikle geleneksel tasarım
											arasındaki ortak nokta. Bence bu önümüzdeki 20-30 yıl
											içinde ne yapmak istediğimize karar vermememize yardımcı olabilir.
											Harika olan başka şeyse
											medyada insanlar tasarımdan bahsederken
											aslında tarzdan bahsediyorlar.
											Ben tasarımdan konuşmak için buradayım.
											Bilirsiniz obje sadece bir araçtır.
											Süreçle sistem arasında bir araç.
									","
											Y creo que es una de las cosas comunes entre el modernismo
											y el diseño tradicional. Creo que podría ser un área común
											mientras pensamos qué hacer en los próximos 20 o 30 años.
											La otra cosa que es interesante es que
											miras esto y en los medios de comunicación cuando la gente dice diseño,
											están queriendo decir estilo.
											Y realmente yo estoy aquí para hablar sobre diseño.
											Pero ya saben que el objeto es solo un pivote.
											Es un pivote entre un proceso y un sistema.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Voici un petit film j'ai fait
											à propos de la fabrication de la chaise longue Eames.
											Le processus de conception pour Charles et Ray
											n'était jamais terminé, dans la fabrication.
											Il continuait. Ils essayaient toujours d'améliorer l'objet, encore et encore.
											Parce que c'est comme comme ce que Bill Clinton disait à propos des cliniques au Rwanda.
											Il ne suffit pas d'en créer une.
											Il faut créer un système qui fonctionnera mieux en mieux.
											Cest pour ça que j'ai toujours aimé cette photo de prototype.
											Parce que c'est ,comment dire... ce qu'il y a de plus basique.
											Vous essayez des choses.
									","
											And this is a little film I made
											about the making of the Eames lounge chair.
											The design process for Charles and Ray
											never ended in manufacturing.
											It continued. They were always trying to make thing better and better.
											Because it's like as Bill Clinton was saying about Rwandan health clinics.
											It's not enough to create one.
											You've got to create a system that will work better and better.
											So I've always liked this prototype picture.
											Because it just kind of, you know, doesn't get any more basic than that.
											You try things out.
									","
											Und das ist ein kleiner Film, den ich gemacht habe,
											über die Herstellung vom Eames Lounge Chair.
											Der Designprozess war für Charles und Ray
											niemals bei der Herstellung beendet.
											Es ging weiter. Sie haben immer versucht Dinge immer besser zu machen.
											Weil es so ist, wie das was Bill Clinton über die Kliniken in Ruanda gesagt hat:
											""Es reicht nicht nur eine aufzubauen.
											Man muss ein System schaffen, das immer besser funktioniert.""
											Ich habe immer die Prototypen Bilder gemoch.
											Weil es viel grundlegender nicht mehr geht.
											Man probiert Dinge aus.
									","
											Bu benim Eames sandalyesinin yapımı hakkında
											yaptığım kısa bir film.
											Charles ve Ray için tasarım
											hiçbir zaman imalatta bitmedi.
											Devam etti. Onlar her zaman daha iyisini ve daha iyisini yapmak için çaba sarfettiler.
											Bill Clinton'ın Rwanda sağlık klinikleri için söyledikleri gibi.
											Bir tane yaratmak yeterli değildir.
											Gittikçe daha iyi çalışan bir sistem yaratmalısınız.
											Bu prototip resmini hep sevdim.
											Bildiğiniz gibi bundan daha temel bir şekilde ifade edemezsiniz.
											Denemeler yaparsınız.
									","
											Y esta es una pequeña película que hice
											acerca del proceso de fabricación de la silla lounge de Eames.
											El proceso de diseño de Charles y Ray
											nunca terminaba en la fabricación.
											Continuaba. Siempre intentando hacerlo cada vez mejor.
											Porque, como decía Bill Clinton acerca de las clínicas de salud de Ruanda,
											no es suficiente crear una.
											Tienes que crear un sistema que funcione mejor y mejor.
											Así que siempre me ha gustado este prototipo de foto.
											Porque no puede ser más básico.
											Probamos cosas.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
