en,tr,pt,de,fr,title,speaker,duration,tags
"
","
","
","
","
",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
											He has all his hair up
											and he displays.
									","
											Tüm tüyleri kalkmış durumda
											ve kendini gösteriyor.
									","
											Ele tem os pelos eriçados
											e exibe-se.
									","
											Er hat alle seine Haare aufgerichtet
											und er zeigt sich.
									","
											Les poils du mâle sont hérissés
											et il parade.
									",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
","
","
","
","
",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
											I'm actually standing far too close.
											A chimpanzee is far stronger than I am,
											and I just was not very prudent,
this particular video.
									","
											Aslında aşırı yakın duruyorum.
											Şempanzeler benden çok daha güçlü,
											bu videoyu çekerken
çok ihtiyatlı olduğum söylenemez.
									","
											Eu estou demasiado perto.
											Um chimpanzé é muito mais forte do que eu
											e eu não fui muito prudente
neste vídeo em especial.
									","
											Ich stehe tatsächlich viel zu nah.
											Ein Schimpanse ist viel stärker als ich,
											und ich war einfach nicht sehr klug,
in diesem speziellen Video.
									","
											En réalité, je filme de trop près.
											Un chimpanzé est bien
plus puissant que moi,
											et je me suis montré imprudent
en filmant cette vidéo.
									",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
","
","
","
","
",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
											So what you saw him do
											is he was lifting himself up
and standing on two legs,
											and putting his arms out.
											That's called the bipedal swagger.
											It's a very common posture
in high-ranking males,
											and it's very recognizable
because humans do this kind of stuff.
									","
											Erkeğin yaptığını gördüğünüz şey
											iki ayağu üzerinde durarak
kendini daha uzun göstermek
											ve kollarını yana açmak.
											Buna iki ayaklı gösteriş deniyor.
											Kıdemli erkekler arasında
oldukça yaygın bir duruş
											ve çok da bilinen bir şey
çünkü insanlar da benzerini yapıyor.
									","
											Vemos que ele está a erguer-se
											a ficar de pé
											e a esticar os braços.
											Chama-se a isto exibição bipedal.
											É uma postura muito vulgar
em machos de estatuto superior
											e é reconhecível porque os seres
humanos fazem o mesmo.
									","
											Sie konnten sehen,
											wie er sich auf zwei Beine aufrichtet,
											und die Arme ausstreckt;
genannt ""zweifüßiger Prahler.""
											Das ist eine sehr häufige Haltung
bei hochrangigen Männern.
											Man erkennt es leicht, weil
Menschen das genauso machen.
									","
											Alors, vous venez de le voir
											se soulever et se tenir sur deux pattes,
											en étirant les bras.
											C'est la parade bipède.
											Les mâles de haut rang pratiquent
beaucoup cette posture,
											et elle est très reconnaissable, car
les humains le font aussi.
									",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
","
","
","
","
",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
","
","
","
","
",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
											Humans do this all the time.
											And what I really like
about this particular picture
											is the two old guys to the side.
											This is very chimpanzee.
											In chimpanzees,
											we have usually old males
who are over the hill,
											who cannot be alpha male
themselves anymore,
											but they start playing games
and forming coalitions,
											and behind the backs of others.
											And they become extremely influential,
											and you may actually have old males
											who are more influential
than the alpha male himself.
									","
											İnsanlar bunu her zaman yapıyor.
											Bu resimde gerçekten sevdiğim şey
											yan taraftaki iki olgun adam.
											Şempanzeler de böyle.
											Şempanzelerde
											genellikle yaşlı erkekler olur,
											kendileri artık alfa olamayacaklardır
											ama oyunlar oynayarak
başkalarının sırtından
											koalisyon kurarlar.
											Sonra inanılmaz etkili hâle gelirler,
											bizim dünyamızda da
											alfanın kendisinden daha etkili olan
olgun erkeklerimiz var.
									","
											Os seres humanos estão sempre
a fazer isto.
											O que eu gosto mais
nesta imagem
											são os dois tipos ao lado.
											Isto é muito típico nos chimpanzés.
											Nos chimpanzés,
											temos normalmente machos velhos
que já estão fora de jogo
											e já não podem ser machos alfas,
											mas começam a jogar jogos
e a fazer coligações
											nas costas dos outros.
											Tornam-se extremamente influentes.
											Podemos ter machos velhos
											que são mais influentes
do que o macho alfa.
									","
											Menschen machen das die ganze Zeit.
											Und was ich an genau
diesem Bild besonders mag,
											sind die zwei alten Kerle an der Seite.
											Das ist sehr Schimpansisch
											Bei Schimpansen,
											haben wir normalerweise alte
Männer, die über den Berg sind,
											die selbst nicht mehr
Alpha-Männchen sein können,
											aber anfangen, Spiele zu spielen
und Koalitionen zu bilden,
											hinter dem Rücken der anderen.
											Sie werden sehr einflussreich,
											und es gibt auch alte Männer,
											die einflussreicher als
der Alpha-Mann selbst sind.
									","
											Les humains font ça tout le temps.
											Et ce que j'aime surtout avec cette image,

											ce sont les deux mâles 
plus âgés sur les côtés.
											Ça fait très chimpanzé.
											Chez les chimpanzés,
											il y a généralement des mâles âgés
qui ont fait leur temps,
											qui ne peuvent plus être des mâles alpha,
											mais ils commencent à jouer
et à former des coalitions
											derrière le dos des autres.
											Ils deviennent extrêmement influents,
											et on peut même avoir des mâles âgés
											qui sont plus influents 
que l'alpha mâle lui-même.
									",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
","
","
","
","
",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
											Just as an example,
											the three males
that I used to work with most
											at the Dutch zoo long ago, where I worked,
											and the middle male here
is a 17-year-old alpha male.
											The male whom he is grooming
on the side is twice as old,
											and this old male has made him the leader.
											So you can imagine that that old male
has an enormous amount of power,
											because he has made
the alpha male alpha male.
											The male on the right
											is individually the strongest male.
											In captivity, you can test it out,
											and you can know that this male
has no trouble with either one.
											He has only trouble
with the combination of the two.
											And so the coalition formation
that goes on in chimpanzee society
											makes it much more complex than you think.
											It means, for example,
											that the smallest male in a group
can be the alpha male.
											You don't need to be
the biggest and strongest male.
											The smallest male, if he has
the right friends and keeps them happy,
											or he has female support,
											he can be the alpha male.
									","
											Bir örnek vereyim,
											birlikte en çok çalıştığım üç erkek,
											uzun zaman önce çalıştığım
Dutch hayvanat bahçesinde,
											ortadaki erkek 17 yaşında bir alfa.
											Yan tarafta tüylerini düzelten erkek
ondan iki kat daha büyük
											ve bu yaşlı erkek onu lider yaptı.
											Anlayacağınız üzere yaşlı erkeğin
inanılmaz bir gücü var,
											çünkü alfayı o alfa yaptı.
											Sağ taraftaki erkek ise
											tek başına en güçlü erkek.
											Doğada olmadıklarında
bunu test edebiliyorsunuz,
											bu erkeğin diğer ikisiyle hiçbir
sorun yaşamadığını görebilirsiniz.
											Yalnızca diğer ikisi birlikteyken
onlarla sorun yaşıyor.
											Yani şempanze topluluğundaki
koalisyonun oluşması da
											sandığınızdan çok daha karmaşık.
											Bir örnek vereyim,
											bir gruptaki en küçük erkek
alfa erkek olabilir.
											En büyük ve en güçlü olmanıza gerek yok.
											En küçük erkeğin doğru arkadaşları varsa
ve onları memnun ediyorsa
											ya da dişi desteği varsa
											alfa erkeği olmasında bir engel yok.
									","
											Um exemplo:
											Dos três machos com quem
eu costumava trabalhar mais
											no zoo holandês, há muito tempo,
quando lá trabalhava,
											o macho do meio é o macho alfa,
de 17 anos.
											O macho que está numa de limpeza
ao lado tem o dobro da idade
											e foi este macho velho 
que fez dele o líder.
											Podem imaginar que o macho velho
tem uma enorme quantidade de poder,
											porque foi ele que criou o macho alfa.
											O macho à direita
											é o macho mais forte.
											Em cativeiro, podemos testá-lo
											e sabemos que este macho
não tem problemas com nenhum outro.
											Só há problemas entre estes dois.
											Assim, a formação da coligação
que ocorre na sociedade dos chimpanzés
											é muito mais complexa do que julgamos.
											Por exemplo, significa
											que o macho alfa de um grupo
pode ser o macho mais pequeno.
											Não é preciso ser o macho
maior e mais forte.
											O macho mais pequeno, se tiver
os amigos certos e os fizer felizes,
											ou se tiver o apoio das fêmeas,
											pode ser o macho alfa.
									","
											Zum Beispiel, die drei Männchen,
mit denen ich am meisten gearbeitet habe,
											in dem holländischen Zoo,
in dem ich gearbeitet habe,
											ist der mittlere Mann hier
ein 17-jähriger Alpha-Mann.
											Das Männchen, das er da pflegt,
ist doppelt so alt,
											und dieser alte Mann
hat ihn zum Anführer gemacht.
											Man kann sich vorstellen, dass
dieser alte Mann eine enorme Macht hat,
											weil er es zum Alpha-Mann gemacht hat.
											Der Mann auf der rechten Seite
											ist individuell der stärkste Mann.
											In Gefangenschaft können Sie das testen,
											und man kann wissen, dass dieses Männchen
keine Probleme mit beiden hat.
											Er hat nur Probleme mit 
der Kombination der beiden.
											Die Koalitionsbildung, die in 
der Schimpansengesellschaft vor sich geht,
											ist viel komplexer als man denkt.
											Es bedeutet zum Beispiel,
											dass der kleinste in einer Gruppe
der Alpha-Mann sein kann.
											Man muss nicht der größte
und stärkste Mann sein.
											Wenn der kleinste Mann die richtigen
Freunde hat und sie glücklich hält,
											oder weibliche Unterstützung hat,
kann er der Alpha-Mann sein.
									","
											Par exemple,
											j'ai beaucoup travaillé
avec ces trois mâles
											dans un zoo néerlandais, il y a longtemps.

											Celui qui se trouve au milieu 
est un mâle alpha de 17 ans.
											Celui qu'il épouille, sur le côté,
est deux fois plus âgé,
											et lui a permis de devenir le leader.
											Vous vous doutez donc que 
ce vieux mâle est très puissant,
											puisque c'est lui
qui a « fait » le mâle alpha.
											Le mâle situé à droite est,
											individuellement, le mâle le plus fort.
											En faisant des tests en captivité,
											on voit que ce mâle n'a aucun souci
ni avec l'un ni avec l'autre,
											Il a juste un souci avec 
la combinaison des deux.
											En fait, ce phénomène social de coalition
qui a lieu chez les chimpanzés
											complexifie largement leur organisation.
											Il peut permettre, notamment,
											au plus petit parmi les mâles
de devenir le mâle alpha.
											Pas besoin d'être le plus grand 
et le plus fort.
											Même le plus petit des mâles, s'il a 
de bons amis, et les rend heureux,
											ou le soutien des femelles,
											peut devenir le mâle alpha.
									",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
