de,en,fr,title,speaker,duration,tags
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Sie ist nicht komplett falsch.
											So ist im Französischen und Spanischen
											das Wort für Tisch
aus irgendeinem Grund weiblich.
											Also, ""la table"", ""la mesa"", damit
muss man sich einfach abgeben.
											Es zeigte sich,
											dass Sie, falls Sie
eine dieser Sprachen sprechen
											und gefragt werden,
											wie Sie sich vorstellen,
wie ein Tisch spricht,
											dass häufiger als womöglich zufällig
											ein Sprecher dieser Sprachen angibt,
											dass der Tisch mit einer hohen
und weiblichen Stimme sprechen würde.
											Als Franzose oder Spanier ist ein Tisch
für Sie irgendwie ein Mädchen,
											im Gegensatz dazu, wenn Sie
Englischsprecher sind.
									","
											So it's not that it's untrue completely.
											So for example, in French and Spanish
											the word for table is,
for some reason, marked as feminine.
											So, ""la table,"" ""la mesa,""
you just have to deal with it.
											It has been shown
											that if you are a speaker
of one of those languages
											and you happen to be asked
											how you would imagine a table talking,
											then much more often
than could possibly be an accident,
											a French or a Spanish speaker
											says that the table would talk
with a high and feminine voice.
											So if you're French or Spanish,
to you, a table is kind of a girl,
											as opposed to if you
are an English speaker.
									","
											Ce n'est pas complètement faux.
											Par exemple, en français
et en espagnol,
											pour une quelconque raison,
le mot « table » est féminin.
											Donc on dit « la table », « la mesa ».
C'est comme ça, c'est tout.
											Il a été démontré
											que si vous parlez 
l'une de ces langues
											et qu'on vous demande
											d'imaginer la façon dont une table parle,
											plus souvent qu'autrement,
											un francophone ou un hispanophone
											dira qu'une table aurait
une voix aiguë et féminine.
											Donc, pour eux, une table 
est un peu comme une fille,
											contrairement à ce que 
peuvent imaginer les anglophones.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Es ist schwer solche Daten
nicht zu mögen
											und viele werden Ihnen
sagen, das bedeutet,
											dass Sie ein bestimmtes Weltbild haben,
wenn sie eine dieser Sprachen sprechen.
											Man muss aber Acht geben,
											denn stellen Sie sich vor,
man näme uns unter die Lupe,
											uns, die Englisch
als Muttersprache sprechen.
											Was ist das Weltbild des Englische
									","
											It's hard not to love data like that,
											and many people
will tell you that that means
											that there's a worldview that you have
if you speak one of those languages.
											But you have to watch out,
											because imagine if somebody
put us under the microscope,
											the us being those of us
who speak English natively.
											What is the worldview from English?
									","
											Ces résultats sont intéressants,
											et beaucoup vous diront
que cela signifie
											que parler ces langues
vous donne une certaine vision du monde.
											Mais il faut faire attention.
											Imaginez si on nous 
observait au microscope,
											« nous » étant ici les 
anglophones de naissance,
											quelle est la vision du monde
d'un anglophone ?
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Nehmen wir etwa einen Englischsprecher.
											Auf der Leinwand sehen wir Bono.
											Er spricht Englisch.
											Ich gehe davon aus,
dass er ein Weltbild hat.
											Das ist Donald Trump.
											Auf seine Weise
											spricht er auch Englisch.
									","
											So for example,
let's take an English speaker.
											Up on the screen, that is Bono.
											He speaks English.
											I presume he has a worldview.
											Now, that is Donald Trump.
											In his way,
											he speaks English as well.
									","
											Prenons des exemples.
											Voici Bono, sur l'écran.
											Il parle anglais.
											Je suppose qu'il voit le monde
d'une certaine façon.
											Maintenant, voici Donald Trump.
											Il parle aussi anglais...
											à sa façon.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											(Lachen)
									","
											(Laughter)
									","
											(Rires)
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Das ist Frau Kardashian,
											die auch Englisch spricht.
											Hier haben wir drei Sprecher
der englischen Sprache.
											Welches Weltbild haben diese
drei Personen gemeinsam?
											Welches Weltbild wird durch das Englische
gestaltet, dass sie vereint?
											Es ist ein stark belastetes Konzept.
											Allmählich ist man sich einig,
dass Sprache Gedanken gestalten kann,
											aber es neigt dazu, eine unverständliche,
psychologische Spekulation zu sein.
											Es geht nicht darum, Ihnen
einen neuen Blick auf die Welt zu geben.
									","
											And here is Ms. Kardashian,
											and she is an English speaker, too.
											So here are three speakers
of the English language.
											What worldview do those
three people have in common?
											What worldview is shaped through
the English language that unites them?
											It's a highly fraught concept.
											And so gradual consensus is becoming
that language can shape thought,
											but it tends to be in rather darling,
obscure psychological flutters.
											It's not a matter of giving you
a different pair of glasses on the world.
									","
											Et pour finir, voici Mlle Kardashian.
											Elle aussi parle anglais.
											Voilà donc trois anglophones.
											Quelle vision du monde ces trois personnes
ont-elles en commun ?
											Quelle vision du monde est créée 
par l'anglais qu'ils parlent tous ?
											C'est un concept très compliqué.
											On arrive graduellement à un consensus : 
la langue peut conditionner nos pensées,
											mais il ne s'agit que de légères et 
obscures variations psychologiques.
											Il ne s'agit pas d'une autre paire de
lunettes avec laquelle regarder le monde.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Wäre das der Fall,
											warum sollte man Sprachen lernen?
											Wenn es nicht ändert, wie Sie denken,
											was sind dann die anderen Gründe?
											Es gibt welche.
											Einer davon ist, wenn Sie
eine Kultur verstehen,
											sie absorbieren und
Teil davon werden möchten,
											denn egal, ob Sprache die Kultur lenkt,
											und das ist zweifelhaft,
											wenn Sie die Kultur verstehen möchten,
											müssen Sie die Sprache
ansatzweise beherrschen,
											mit der diese Kultur geführt wird.
											Daran führt kein Weg vorbei.
									","
											Now, if that's the case,
											then why learn languages?
											If it isn't going to change
the way you think,
											what would the other reasons be?
											There are some.
											One of them is that if you
want to imbibe a culture,
											if you want to drink it in,
if you want to become part of it,
											then whether or not
the language channels the culture —
											and that seems doubtful —
											if you want to imbibe the culture,
											you have to control to some degree
											the language that the culture
happens to be conducted in.
											There's no other way.
									","
											Toutefois, s'il en est ainsi,
											pourquoi apprendre une autre langue ?
											Si cela ne change pas
notre manière de penser,
											quelle raison avons-nous ?
											Il y en a quelques-unes.
											L'une d'elle est que si l'on désire
s’imprégner d'une culture,
											si l'on veut y plonger,
si l'on veut devenir une partie d'elle,
											alors, que la langue conditionne
la culture ou non,
											et cela semble peu probable,
											si l'on veut s'imprégner de la culture,
											il faut maîtriser jusqu'à 
un certain point
											la langue de cette culture.
											Il n'y a pas d'autre façon.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Dafür gibt es eine interessante
Veranschaulichung.
											Ich muss es ein wenig kürzen,
aber Sie sollten es wirklich nachschlagen.
											Es gibt einen Film
des kanadischen Regisseurs Denys Arcand,
											— gesprochen ""Denys Ar-cand"" —
											wenn Sie ihn nachschlagen wollen.
											Er produzierte den Film
""Jesus von Montreal"".
											Viele der Charaktere
											sind lebhafte, witzige, leidenschaftliche
interessante, frankokanadische,
											Französischsprecherinnen.
											In einer Szene am Ende
											müssen sie einen Freund
in ein anglofones Krankenhaus bringen.
											Im Krankenhaus müssen sie
Englisch sprechen.
											Sie sprechen Englisch,
aber es ist nicht ihre Muttersprache,
											daher sprechen sie es nicht gerne.
											Sie sprechen es langsamer,
											haben Akzente, sind nicht idiomatisch.
											Da werden die Charaktere,
in die man sich verliebt hat
											Schatten ihrer selbst.
									","
											There's an interesting
illustration of this.
											I have to go slightly obscure,
but really you should seek it out.
											There's a movie by the Canadian
film director Denys Arcand —
											read out in English on the page,
""Dennis Ar-cand,""
											if you want to look him up.
											He did a film called ""Jesus of Montreal.""
											And many of the characters
											are vibrant, funny, passionate,
interesting French-Canadian,
											French-speaking women.
											There's one scene closest to the end,
											where they have to take a friend
to an Anglophone hospital.
											In the hospital,
they have to speak English.
											Now, they speak English
but it's not their native language,
											they'd rather not speak English.
											And they speak it more slowly,
											they have accents, they're not idiomatic.
											Suddenly these characters
that you've fallen in love with
											become husks of themselves,
they're shadows of themselves.
									","
											Il existe une représentation 
intéressante de cela.
											Je dois devenir un peu obscur,
mais vous devriez y jeter un œil.
											C'est un film du réalisateur
canadien Denys Arcand,
											à prononcer en anglais 
« Denisse Ar-cande »,
											si vous voulez le chercher.
											Son film s'appelle « Jesus of Montreal ».
											Plusieurs personnages
											sont des femmes canadiennes vives, 
amusantes, passionnées, intéressantes
											qui parlent français.
											Il y a une scène vers la fin,
											où elles doivent amener un ami
à un hôpital anglophone.
											À l’hôpital, elles doivent
parler anglais.
											Elles le parlent, mais ce 
n'est pas leur langue maternelle.
											Elles préféreraient ne 
pas le parler.
											Elles parlent très lentement,
											elles ont un accent, ce n'est pas naturel.
											Soudain, ces personnages
dont vous êtes tombé amoureux
											deviennent des ombres d'elles-mêmes.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Wenn man in eine Kultur eintaucht
											und die Menschen nur
durch diesen Schleier verarbeitet,
											versteht man die Kultur nie richtig.
											Insoweit hunderte Sprachen übrig bleiben,
											ist ein Grund sie zu lernen,
											dass sie Eintrittskarten sind,
um an der Kultur der Menschen,
											die sie sprechen, teilzunehmen,
											allein dadurch, dass es ihr Kodex ist.
											Das ist ein Grund.
									","
											To go into a culture
											and to only ever process people
through that kind of skrim curtain
											is to never truly get the culture.
											And so to the extent that hundreds
of languages will be left,
											one reason to learn them
											is because they are tickets
to being able to participate
											in the culture of the people
who speak them,
											just by virtue of the fact
that it is their code.
											So that's one reason.
									","
											Avoir accès à une culture
											et ne pouvoir comprendre les gens
qu'à travers ce type de filtre
											signifie ne jamais 
y avoir accès pleinement.
											Donc, s'il reste encore des 
centaines de langues,
											une raison de les apprendre,
											c'est qu'elles sont les 
outils permettant de s'imprégner
											des cultures de ceux qui les parlent,
											simplement parce qu'il 
s'agit de leur code.
											Voilà une raison.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Der zweite Grund:
											Es zeigte sich,
											dass wenn man zwei Sprachen spricht,
seltener an Demenz erkrankt
											und dass man wahrscheinlich
besser im Multitasking ist.
											Diese Faktoren setzen früh ein,
											was Ihnen ein Gefühl dafür geben sollte,
											wann Sie den Kindern
Fremdsprachunterricht geben sollten.
											Zweisprachigkeit ist gesund.
									","
											Second reason:
											it's been shown
											that if you speak two languages,
dementia is less likely to set in,
											and that you are probably
a better multitasker.
											And these are factors that set in early,
											and so that ought to give you some sense
											of when to give junior or juniorette
lessons in another language.
											Bilingualism is healthy.
									","
											Deuxième raison.
											Il a été démontré
											que si l'on parle deux langues, 
le risque de souffrir de démence diminue,
											et notre capacité à faire plusieurs 
choses en même temps augmente.
											Ces facteurs apparaissent très tôt.
											Ils peuvent donc vous indiquer
											quand commencer à enseigner
une autre langue à votre enfant.
											Le bilinguisme fait du bien.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Drittens —
											Sprachen machen einfach eine Menge Spaß.
											Mehr als man uns oft erzählt.
											So heißt im Arabischen
""kataba"" er schrieb,
											""yaktubu"", er schreibt, sie schreibt.
											""Uktub"", der Imperativ, schreib.
											Was haben diese Wörter gemeinsam?
											Sie haben alle gemein,
											dass die Konsonanten
wie Säulen in der Mitte stehen.
											Sie sind bewegungslos
											und die Vokale tanzen um die Konsonanten.
											Wer würde das nicht gerne
im Mund herumrollen?
											Das haben Sie im Hebräischen
											und in der Hauptsprache
Ethiopiens, Amharic.
											Das macht Spaß.
									","
											And then, third —
											languages are just an awful lot of fun.
											Much more fun than we're often told.
											So for example,
Arabic: ""kataba,"" he wrote,
											""yaktubu,"" he writes, she writes.
											""Uktub,"" write, in the imperative.
											What do those things have in common?
											All those things have in common
											the consonants sitting
in the middle like pillars.
											They stay still,
											and the vowels
dance around the consonants.
											Who wouldn't want to roll
that around in their mouths?
											You can get that from Hebrew,
											you can get that from Ethiopia's
main language, Amharic.
											That's fun.
									","
											Puis, la troisième raison.
											Simplement parce que les
langues sont amusantes.
											Beaucoup plus que ce que l'on nous dit.
											Par exemple, en arabe :
« kataba » signifie « il a écrit »,
											« yaktubu », il ou elle écrit,
											« Uktub », écrire, à l'impératif.
											Qu'est-ce que ces choses ont en commun ?
											Ces choses ont en commun
											les consonnes au milieu,
telles des piliers.
											Elles sont immuables,
											et les voyelles 
dansent autour d'elles.
											Qui ne voudrait pas faire 
rouler ces sons dans sa bouche ?
											C'est aussi le cas pour l'hébreu,
											et pour la langue majoritaire 
en Éthiopie, l'amharique.
											C'est amusant.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Manche Sprachen haben
auch andere Wortfolgen.
											Eine Sprache
mit anderer Wortfolge zu lernen,
											ist, als würde man im Ausland
auf der anderen Straßenseite fahren,
											oder wie das Kribbeln, das man fühlt,
wenn man sich Zaubernuss
											um die Augen schmiert.
											Eine Sprache kann das auslösen.
									","
											Or languages have different word orders.
											Learning how to speak
with different word order
											is like driving on the different side
of a street if you go to certain country,
											or the feeling that you get when you
put Witch Hazel around your eyes
											and you feel the tingle.
											A language can do that to you.
									","
											Les langues ont aussi 
différents ordres de mots.
											Apprendre à parler
avec un ordre de mots différent,
											c'est comme conduire sur le coté
opposé de la rue dans certains pays
											ou comme quand on met 
de l'hamamélis autour de nos yeux,
											et que l'on sent un fourmillement.
											Une langue peut faire cela.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Zum Beispiel,
											""The Cat in the Hat Comes Back"",
											ein Buch, das wir gerne wieder lesen,
											wie ""Moby Dick"".
											Ein Satz darin ist:
""Weißt du, wo ich ihn gefunden habe?
											Weißt du, wo er war?
Er war Kuchen essen in der Wanne,
											Ja, das war er!""
											Gut. Wenn Sie das in
Chinesisch (Mandarin) lernen,
											müssen Sie das beherrschen:
											""Du kannst wissen,
ich hab wo ihn gefunden?
											Er hat Wanne in verschlungen Kuchen,
											kein Fehler verschlungen kauen!""
											Das fühlt sich gut an.
											Stellen Sie sich vor, dass über Jahre
am Stück zu können.
									","
											So for example,
											""The Cat in the Hat Comes Back,""
											a book that I'm sure
we all often return to,
											like ""Moby Dick.""
											One phrase in it is,
""Do you know where I found him?
											Do you know where he was?
He was eating cake in the tub,
											Yes he was!""
											Fine. Now, if you learn that
in Mandarin Chinese,
											then you have to master,
											""You can know, I did where him find?
											He was tub inside gorging cake,
											No mistake gorging chewing!""
											That just feels good.
											Imagine being able to do that
for years and years at a time.
									","
											Par exemple,
											« The Cat in the Hat Comes Back »,
											un livre que, j'en suis sûr, 
on relit tous souvent,
											comme « Moby Dick ».
											Une des phrases est :
« Tu sais où je l'ai trouvé ?
											Tu sais où il était ?
Il mangeait un gâteau dans la baignoire,
											Oui, vraiment ! »
											Or, si l'on apprend cela
en mandarin,
											on doit apprendre :
											« Tu peux savoir, j'ai où lui trouvé ?
											Il était la baignoire dans 
mangeant gâteau.
											Pas de doute, mangeant ! »
											On se sent bien.
											Imaginez pouvoir faire cela
année après année.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Haben Sie je ein bisschen
Kambodschanisch gelernt?
											Ich auch nicht, aber hätte ich,
											würde ich in meinem Mund
mehr als die 13 Vokale herumrollen,
											die das Englische hat,
											nämlich gute 30 verschiedene Vokale,
											die im kambodschanischen Mund schwirren
											wie Bienen im Stock.
											Das kann Ihnen eine Sprache liefern.
									","
											Or, have you ever learned any Cambodian?
											Me either, but if I did,
											I would get to roll around in my mouth
not some baker's dozen of vowels
											like English has,
											but a good 30 different vowels
											scooching and oozing around
in the Cambodian mouth
											like bees in a hive.
											That is what a language can get you.
									","
											Avez-vous déjà appris le cambodgien ?
											Moi non plus, mais si je l'avais fait,
											je roulerais dans ma bouche non 
pas une douzaine de voyelles,
											comme en anglais,
											mais plutôt 30 voyelles différentes,
											qui circulent dans les
bouches cambodgiennes
											comme des abeilles dans une ruche.
											Voilà ce qu'une langue peut nous donner.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Und noch wichtiger,
											es war nie leichter
sich eine Sprache selbst beizubringen.
											Man musste sonst
in einen Klassenraum gehen,
											wo ein fleißiger Lehrer war —
											zeitweise ein genialer Lehrer —
											aber diese Person war
nur zu bestimmten Zeiten da,
											zu denen man hingehen musste,
											und das war nicht oft.
											Man musste zum Kurs gehen.
											Falls man das nicht hatte,
hatte man einen Rekorder.
											Das war mein Einstieg.
											Es war immer nur ein Teil
auf dem Plattenspieler
											oder einer Kassette
											oder der altertümlichen CD.
											Ansonsten hatte man Bücher,
die nicht funktionierten,
											das war einfach so.
									","
											And more to the point,
											we live in an era when it's never been
easier to teach yourself another language.
											It used to be that you had
to go to a classroom,
											and there would be
some diligent teacher —
											some genius teacher in there —
											but that person was only
in there at certain times
											and you had to go then,
											and then was not most times.
											You had to go to class.
											If you didn't have that,
you had something called a record.
											I cut my teeth on those.
											There was only so much data on a record,
											or a cassette,
											or even that antique object known as a CD.
											Other than that you had books
that didn't work,
											that's just the way it was.
									","
											Et encore mieux,
											nous vivons à une époque où apprendre une
autre langue par soi-même est très facile.
											Avant, nous devions aller en classe
											et devions écouter un enseignant assidu,
											certains étaient géniaux,
											mais ils n'étaient là
qu'à certaines heures
											et nous devions y aller
à ces moments précis,
											très précis.
											Nous devions aller en classe.
											Sinon, il y avait des enregistrements.
											J'y ai fait mes premières armes.
											Toutefois, ils ne contenaient 
que certaines informations,
											tout comme les cassettes,
											ou cet objet ancien qu'on appelle CD.
											Sinon, il y avait des livres
qui ne marchaient pas.
											Voila comment c'était.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Heutzutage kann man sich zurücklehnen —
											man liegt auf dem Fußboden im Wohnzimmer,
											schlürft Bourbon
											und bringt sich selbst
irgendeine Sprache bei
											mit wunderbaren Kollektionen,
wie Rosetta Stone.
											Ich kann vorallem das weniger
bekannte Glossika empfehlen.
											Das kann man jederzeit machen,
											weswegen man es besser
und mehr machen kann.
											Man kann seine Lieblingslektüren
in verschiedenen Sprachen lesen.
											Ich lese jeden Morgen ""Dilbert""
in verschiedenen Sprachen;
											das steigert Ihre Fähigkeiten.
											Das ging vor 20 Jahren nicht,
											als die Idee, jede mögliche Sprache
											in der Hosentasche auf dem Handy zu haben
											wie Science-Fiction klang.
									","
											Today you can lay down —
											lie on your living room floor,
											sipping bourbon,
											and teach yourself
any language that you want to
											with wonderful sets
such as Rosetta Stone.
											I highly recommend
the lesser known Glossika as well.
											You can do it any time,
											therefore you can do it more and better.
											You can give yourself your morning
pleasures in various languages.
											I take some ""Dilbert"" in various
languages every single morning;
											it can increase your skills.
											Couldn't have done it 20 years ago
											when the idea of having
any language you wanted
											in your pocket,
											coming from your phone,
											would have sounded like science fiction
to very sophisticated people.
									","
											Aujourd'hui, on peut s'étendre,
											se coucher sur le plancher du salon,
											siroter du bourbon,
											et apprendre toutes
les langues qu'on veut
											avec des logiciels tels Rosetta Stone.
											Je vous recommande Glossika
aussi, un peu moins connu.
											Vous pouvez pratiquer
n'importe quand
											donc vous pouvez le faire 
plus et mieux.
											Vous pouvez profiter de vos plaisirs
matinaux en diverses langues.
											Je lis quelques « Dilbert »
dans plusieurs langues chaque matin ;
											cela peut augmenter 
vos compétences.
											Ce n'était pas possible il y a 20 ans.
											L'idée d'avoir n'importe
quelle langue
											dans votre poche
											à partir de votre téléphone,
											aurait semblé être de la science-fiction 
même pour les plus erudits.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Ich empfehle stark,
											dass Sie sich Sprachen zusätzlich
zum Englischen beibringen,
											weil es noch nie
eine bessere Zeit dafür gab.
											Es macht verdammt viel Spaß.
											Es wird Ihre Denkweise nicht ändern,
											aber es wird Sie umwerfen.
									","
											So I highly recommend
											that you teach yourself languages
other than the one that I'm speaking,
											because there's never been
a better time to do it.
											It's an awful lot of fun.
											It won't change your mind,
											but it will most certainly blow your mind.
									","
											Alors, je vous conseille fortement
											d'apprendre par vous-même
une autre langue que celle que je parle,
											parce qu'il n'y a jamais eu
un meilleur moment pour le faire.
											C'est tellement amusant.
											Cela ne changera pas votre mentalité,
											mais ça va certainement vous épater.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
","
","
",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
"
											Vielen Dank.
									","
											Thank you very much.
									","
											Merci beaucoup.
									",4 reasons to learn a new language,John McWhorter,10:01,"communication,education,online video,language,world cultures,personal growth,writing"
