fr,en,es,de,title,speaker,duration,tags
"
											Tu étais le meilleur, avec les comtes et les comtesses.
									","
											You were the better with lords and ladies,
									","
											Tú fuiste el mejor con caballeros y damas
									","
											Du warst besser in der 
feinen Gesellschaft,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											J'étais le meilleur, pour piller Troie;
									","
											I was the better at pillaging Troy;
									","
											Yo fui el mejor saqueando Troya.
									","
											ich war besser bei der Plünderung Trojas;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Tu étais le meilleur, pour embrasser les mômes.
									","
											You were the better at kissing the babies,
									","
											Tú fuiste el mejor besando bebés
									","
											Du warst besser beim Ladies Küssen,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											J'étais le meilleur, pour chasser et éliminer.
									","
											I was the better at search and destroy.
									","
											Yo fui el mejor en buscar y destruir.
									","
											Ich war besser im Sichten und Vernichten.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Mais qui était le meilleur homme, mon vieux ?
									","
											But who was the better man, old boy?
									","
											Pero, ¿quién fue el mejor hombre, Viejo?
									","
											Aber wer war der bessere Mann, Junge?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Qui était le meilleur homme ?
									","
											Who was the better man?
									","
											¿Quién fue el mejor hombre?
									","
											Aber wer war der bessere Mann?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											J'étais le meilleur en improvisation.
									","
											I was the better at improvisation,
									","
											Yo fui el mejor con la improvisación.
									","
											Ich war besser im Improvisieren,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Tu étais le meilleur au lancer de ballon.
									","
											You were the better at spinning the plates;
									","
											Tú fuiste el mejor en girar los platos
									","
											Du warst besser beim 
Tanz auf der heißen Platte;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											J'étais le meilleur en procrastination.
									","
											I was the better at procrastination,
									","
											Yo fui el mejor en procrastinar.
									","
											Ich war besser im Aufschieben,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Tu étais le meilleur à la conversation.
									","
											You were the better at quiet debate.
									","
											Tú fuiste el mejor en debatir en silencio.
									","
											Du warst besser in der leisen Debatte.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Mais qui était le meilleur, mon vieux ?
									","
											But who was the better man, old mate?
									","
											Pero ¿quién fue el mejor hombre, compañero?
									","
											Aber wer war der bessere Mann, 
alter Freund?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Qui était le meilleur homme ?
									","
											Who was the better man?
									","
											¿Quién fue el mejor hombre?
									","
											Wer war der bessere Mann?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Tu étais le meilleur à rouler un pétard.
									","
											You were the better at rolling a reefer,
									","
											Tú fuiste el mejor en hacer un porro.
									","
											Du warst besser im Joint drehen,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											J'étais le meilleur à la coke et au rhum.
									","
											I was the better at coke and rum;
									","
											Yo fui mejor con coca y ron.
									","
											ich war besser mit Koks und Rum;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Tu te souviens, cette nuit sur la plage, à Ibiza ?
									","
											Remember that night on the beach in Ibiza?
									","
											¿Te acuerdas de aquella noche en la playa de Ibiza
									","
											Erinnerst du dich 
an die Nacht am Strand auf Ibiza?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Les jumelles Maoris
											au popotin tatoué ?
									","
											The Maori twins
											with the tattooed bum?
									","
											Los gemelos maorí
											con el culo tatuado?
									","
											Die Maori-Zwillinge
											mit den tätowierten Hintern?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Mais qui était le meilleur homme, mon pote ?
									","
											But who was the better man, old chum?
									","
											Pero ¿quién fue el mejor hombre, compinche?
									","
											Aber wer war der bessere Mann, Kamerad?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Qui était le meilleur homme ?
									","
											Who was the better man?
									","
											¿Quién fue el mejor hombre?
									","
											Wer war der bessere Mann?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											On en est là maintenant, la famille en pleurs;
									","
											Now we come down to it, relatives grieving.
									","
											Ahora llegamos al punto, los parientes lloran por alguien.
									","
											Jetzt ist es soweit: Verwandte trauern.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											dans le grand hall, leurs larmes de crocodile.
									","
											Out in the hall with their crocodile tears;
									","
											En el pasillo con sus lágrimas de cocodrillo.
									","
											Auf dem Gang mit ihren Krokodilstränen;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Maintenant que tu n'es plus là, maintenant que tu pars,
									","
											Now that you're out of it, now that you're leaving,
									","
											Ahora que te has ido, ahora que te estás yendo,
									","
											Jetzt, wo du raus bist,
jetzt, wo du gehst,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Maintenant qu'on a scellé ton cul et tes oreilles,
									","
											Now that they've sealed your arse and your ears,
									","
											Ahora que te han cerrado el culo y las orejas,
									","
											Nun da sie dein Hintern 
und Ohren versiegeln haben,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Ce que je voulais te dire, depuis des années,
									","
											What I've been meaning to tell you for years,
									","
											Lo que te quería decir por años
									","
											was ich dir all die Jahre sagen wollte,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											et des années, et des années, vieux frère...
									","
											And years, and years, and years, old friend ...
									","
											y años y años y años, viejo amigo . . .
									","
											Jahr um Jahr um Jahr, alter Freund ...
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											C'est que tu étais le meilleur homme, finalement,
									","
											Is that you were the better man, in the end;
									","
											es que fuiste el mejor hombre al final.
									","
											Du warst am Ende der bessere Mann;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Tu étais le meilleur homme,
									","
											You were the better man,
									","
											Fuiste el mejor hombre,
									","
											Du warst der bessere Mann,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											mon ami.
									","
											My friend.
									","
											mi amigo.
									","
											mein Freund.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											J'ai écrit le prochain poème pour ma mère.
											Chacun de nous a eu une mère.
											Une seule.
											Probablement la personne la plus importante dans votre vie,
											si vous avez eu la chance de la connaître.
											Ma mère a certainement été la plus importante dans la mienne.
											Laissez-moi essayer de vous la décrire.
											Elle est âgée de 86 ans. Elle est toute frêle.
											Des cheveux blanc platine.
											Pourquoi est-ce qu'elles font ça ? Pourquoi les vieilles dames vont-elles chez ces coiffeurs,
											pour se faire faire ces casques ?
											(Rires)
											Propre comme un sou neuf. Tirée à quatre épingles.
											Elle ressemble - en bien plus jolie-
											à Margaret Thatcher.
											(Rires)
											Mais sans les petites faiblesses de caractère de Margaret.
											(Rires)
											J'ai écrit ce poème pour elle. Ce ne sont pas mes croyances.
											Mais ma mère a vécu selon ces principes
											toute sa vie.
									","
											I wrote this next poem for my mother.
											Every one of us had a mother,
											only one —
											probably the most important person in your life,
											if you're lucky enough to know them.
											My mother was certainly the most important in mine.
											Let me try and describe her to you.
											She's 86 years old. She's frail.
											White, platinum hair.
											Why do they do that? Why do old ladies go to those hair shops,
											and make those helmets?
											(Laughter)
											Bright as a button. All the ducks in a row.
											Looks like a much prettier version
											of Margaret Thatcher,
											(Laughter)
											but without any of the soft bits in Margaret's character.
											(Laughter)
											I wrote this poem for her. These are not my beliefs.
											But my mother has lived by this creed
											all her life.
									","
											Escribí el siguiente poema para mi madre.
											Cada uno de nosotros tuvimos una madre.
											Solo una.
											Probablemente la persona más importante de tu vida,
											si tienes tanta suerte para conocerla.
											Seguro que mi madre fue la más importante en la mía.
											Déjenme tratar de describirla para ustedes.
											Tiene 86 años. Es débil.
											Blanca, pelo platinado.
											¿Para qué lo hacen? ¿Para qué van las mujeres ancianas a peluquerías
											para hacer esos cascos?
											(Risa)
											Tan brillante como un botón. Todos los patos en una fila.
											Parece una versión mucho más bonita
											de Margaret Thatcher.
											(Risa)
											Pero sin los aspectos suaves del carácter de Margaret.
											(Risa)
											Escribí este poema para ella. Estas creencias no son mías.
											Pero mi madre ha vivido por este credo.
											durante toda su vida.
									","
											Das nächste Gedicht habe ich 
für meine Mutter geschrieben.
											Jeder von uns hatte eine Mutter,
											nur eine —
											die wahrscheinlich wichtigste 
Person im Leben,
											wenn Sie das Glück hatten 
sie kennen zu lernen.
											Meine Mutter war die wichtigste
Person in meinem Leben.
											Lassen Sie mich versuchen, 
sie zu beschreiben.
											Sie ist 86 Jahre alt. 
Sie ist zerbrechlich.
											Weißes Haar, silbern.
											Warum machen sie das? 
Warum gehen alte Damen zum Friseur
											und lassen sich Helmfrisuren machen?
											(Gelächter)
											Hellklar im Kopf. Alle Tassen im Schrank.
											Sieht wie eine hübschere Version
											von Margaret Thatcher aus.
											(Gelächter)
											Aber ohne die ganzen 
weichen Eigenschaften von Margaret.
											(Gelächter)
											Das Gedicht schrieb ich für sie. 
Es sind nicht meine Ansichten.
											Aber meine Mutter hat ihr ganzes Leben
											mit diesen Überzeugungen gelebt.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											""Jamais ne reviens en arrière.""
									","
											""Never Go Back.""
									","
											""No vuelvas nunca.""
									","
											""Kehre nie zurück"".
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais ne reviens en arrière. Jamais ne reviens en arrière.
									","
											Never go back. Never go back.
									","
											No vuelvas nunca. No vuelvas nunca.
									","
											Kehre nie zurück. Kehre nie zurück.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais ne retourne aux lieux de ta jeunesse.
									","
											Never return to the haunts of your youth.
									","
											No vuelvas nunca a los lugares favoritos de su juventud.
									","
											Kehre nie zu den Gestaden 
deiner Jugend zurück.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Reste sur le sentier, sur le sentier battu.
									","
											Keep to the track, to the beaten track;
									","
											Sigue el camino, el camino marcado.
									","
											Halte dich an den Pfad, 
den ausgetretenen Pfad;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Dans le souvenir, tu trouveras toute la vérité nécessaire.
									","
											Memory holds all you need of the truth.
									","
											La memoria contiene todo lo que necesitas de la verdad.
									","
											Die Erinnerung behält alles, 
was du von der Wahrheit brauchst.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais ne regarde en arrière. Jamais ne regarde en arrière.
									","
											Never look back. Never look back.
									","
											Nunca mires atrás. Nunca mires atrás.
									","
											Schaue nie zurück. Schaue nie zurück.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais ne succombe au regard de la gorgone.
									","
											Never succumb to the gorgon's stare.
									","
											Nunca sucumbas a la mirada de la gorgona.
									","
											Gib dich nie dem Blick der Gorgonen hin.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Reste sur le sentier, sur le sentier battu.
									","
											Keep to the track, to the beaten track;
									","
											Sigue el camino, el camino marcado.
									","
											Halt dich an den Pfad, 
den ausgetretenen Pfad;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Personne n'est là à attendre, il n'y a rien là.
									","
											No-one is waiting and nothing is there.
									","
											Nadie te espera y no hay nada allí.
									","
											Niemand wartet und dort gibt es nichts.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais ne reviens en arrière. Jamais ne reviens en arrière.
									","
											Never go back. Never go back.
									","
											No vuelvas nunca. No vuelvas nunca.
									","
											Kehre nie zurück. Kehre nie zurück.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais ne renonce au futur que tu as gagné.
									","
											Never surrender the future you earned.
									","
											Nunca renuncies el futuro que ganaste.
									","
											Gib niemals die Zukunft auf, 
die du verdient hast.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Reste sur le sentier, sur le sentier battu.
									","
											Keep to the track, to the beaten track;
									","
											Sigue el camino, el camino marcado.
									","
											Halte dich an den Pfad, 
den ausgetretenen Pfad;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais ne retourne aux ponts que tu as brûlés.
									","
											Never return to the bridges you've burned.
									","
											No vuelvas nunca a los puentes que has quemado.
									","
											Kehre nie zurück zu abgerissenen Brücken.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais ne regarde en arrière. Jamais ne regarde en arrière.
									","
											Never look back. Never look back.
									","
											Nunca mires atrás. Nunca mires atrás.
									","
											Schaue nie zurück. Schaue nie zurück.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais ne te retire dans le ""glorieux passé"".
									","
											Never retreat to the 'glorious past.'
									","
											No te retires a tu ""pasado glorioso.""
									","
											Kehre nie zurück 
zur 'glorreichen Vergangenheit'.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Reste sur le sentier, sur le sentier battu.
									","
											Keep to the track, to the beaten track;
									","
											Sigue el camino, el camino marcado.
									","
											Halte dich an den Pfad, 
den ausgetretenen Pfad;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Vis chaque jour comme si c'était le dernier.
									","
											Treat every day of your life as your last.
									","
											Trata cada día de tu vida como si fuera el último.
									","
											Lebe jeden Tag wie deinen Letzten.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais ne reviens en arrière. Jamais ne reviens en arrière.
									","
											Never go back. Never go back.
									","
											No vuelvas nunca. No vuelvas nunca.
									","
											Kehre nie zurück. Kehre nie zurück.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais ne reconnais le fantôme dans l'escalier.
									","
											Never acknowledge the ghost on the stair.
									","
											Nunca reconozcas el fantasma en la escalera.
									","
											Beachte nie den Geist auf der Treppe.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Reste sur le sentier, sur le sentier battu.
									","
											Keep to the track, to the beaten track;
									","
											Sigue el camino, el camino marcado.
									","
											Halte dich an den Pfad, 
den ausgetretenen Pfad.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Personne n'est là à attendre, il n'y a rien là.
									","
											No-one is waiting and nothing is there.
									","
											Nada está allí y nadie te espera.
									","
											Niemand wartet und dort gibt es nichts.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Et maintenant, Mesdames et Messieurs, j'enfourche mon cheval de bataille favori.
											Si tous les chirurgiens esthétiques à l'esprit mercantile
											étaient enchaînés l'un à l'autre le long d'une voie ferrée,
											alors je n'hésiterais pas
											à lancer la locomotive,
											sans le moindre remords, pas le moins du monde.
											Mesdames, ne faites pas ça.
											Ne faites pas ça.
											Vous croyez que nous voulons que vous le fassiez. Mais on ne veut pas que vous fassiez ça.
											Arrêtez !
											Dites-leur d'aller au diable !
											Vos corps sont merveilleux tels qu'ils sont.
											Laissez-les tranquilles, c'est tout.
									","
											Now ladies and gentlemen, I'm up on me hobbyhorse.
											If every commercially minded cosmetic surgeon
											were tied end to end along a railroad track,
											that would be me,
											stoking the train
											without a qualm in the world.
											Ladies, don't do it.
											Don't do it.
											You think we want you to do it, but we don't want you to do it.
											Stop it.
											Tell them to go to hell.
											You bodies are wonderful as they are.
											Just leave them alone.
									","
											Ahora, damas y caballeros, estoy montado en mi caballo juguete.
											Si cada cirujano estético a quien le importara asuntos comerciales
											fuera atado de un extremo a otro en una vía férrea,
											sería yo el que
											le echaria carbón al tren
											sin ningún reparo.
											Damas, no lo hagan.
											No lo hagan.
											Ustedes piensan que queremos que lo hagan. Pero no queremos que lo hagan.
											Paren.
											Díganles que vayan al infierno.
											Sus cuerpos son maravillosos como están.
											Sólo déjenlos.
									","
											Es geht jetzt um mein Dauernörgelthema.
											Wenn alle kommerziellen 
Schönheitschirurgen
											in einer Reihe 
an Schienen gekettet wären,
											wäre ich derjenige,
											der den Zug anfeuert
											ohne jegliche Bedenken.
											Meine Damen, tun Sie es nicht.
											Tun Sie es nicht.
											Sie denken, wir wollen, dass Sie es tun, 
aber das wollen wir gar nicht.
											Hören Sie auf.
											Sagen sie denen, 
sie sollen zur Hölle fahren.
											Ihre Körper sind wunderbar, 
so wie sie sind.
											Lassen Sie sie einfach in Ruhe.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											""A la Belle Dame d'un Certain Age""
									","
											""To a Beautiful Lady of a Certain Age.""
									","
											""A una dama hermosa de cierta edad.""
									","
											""An eine schöne Frau 
eines gewissen Alters.""
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Belle dame, Belle Dame, ne pleurez pas.
									","
											Lady lady, do not weep.
									","
											Dama, dama, no llores.
									","
											Lady, Lady, weine nicht.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Ce qui est passé est passé. Dormez maintenant.
									","
											What is gone is gone. Now sleep.
									","
											Lo hecho, hecho está. Ahora duerme.
									","
											Was vergangen, ist vergangen. Ruhe nun.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Tapotez votre oreiller. Séchez vos larmes.
									","
											Turn your pillow. Dry your tears.
									","
											Dobla tu almohada. Seca tus ojos.
									","
											Dreh dein Kissen um. 
Trockne deine Tränen.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
