es,en,pt,title,speaker,duration,tags
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Me acuerdo cuando estaba
en la NASA en el 2009
											con 120 ingenieros.
											Ustedes también saben
cuando se suben en los aviones:
											los paneles de controles son gigantes
											y la complejidad que estamos teniendo
es muy, muy grande.
											Y cuando yo llegaba
con las bolsitas de plástico,
											""Pero podemos llegar de otra forma ...,""
											la gente todavía es difícil
de poder entenderlo.
											Y viendo esta fuerza de esta idea,
											empezamos a imaginar a una nueva época:
											que dejase atrás
la violencia del Antropoceno
											para entrar en una nueva época,
											a la que llamamos ""el Aeroceno"",
											una época de conciencia ecológica
											en la que aprendemos a flotar juntos
											convivir en el aire,
											llegar a un compromiso ético
con la atmósfera y con el planeta Tierra.
											Para eso les traje esta mochila hoy.
											A ver.
									","
											I remember when I was at NASA in 2009
with 120 engineers.
											You guys know, too,
when you go up in a plane,
											the control panels are gigantic.
											And what we're doing is really complex,
											and when I started coming in
with the plastic bags, saying,
											""But we have a different way ...""
											people had a hard time
understanding the concept.
											Seeing the power of this idea,
											we started to initiate a new era;
											one that would leave behind
the violence of the Anthropocene
											and give way to a new era,
											which we call the ""Aerocene"" —
											an era of ecological awareness,
											in which we learn to float together,
live together in the air,
											and come to an ethical commitment
											with the atmosphere and with planet earth.
											That's why I've brought
this backpack today.
											Let's see ...
									","
											Recordo quando estava na NASA, em 2009,
											com 120 engenheiros.
											Vocês também sabem,
quando sobem de avião:
											os painéis de controlo são gigantes
											e a complexidade que temos
é muito grande.
											Quando eu chegava
com os sacos de plástico.
											— mas podemos chegar de outra forma —
											é difícil as pessoas perceberem.
											Vendo a força desta ideia,
											começámos a imaginar uma nova época:
											que deixasse para trás
a violência do Antropoceno
											para entrar numa nova época,
											a que chamamos o ""Aeroceno"",
											uma época de consciência ecológica
											em que aprendemos a flutuar juntos,
											a conviver no ar,
											e chegar a um compromisso ético
com a atmosfera e com o planeta Terra.
											Para isso, trago aqui esta mochila.
											Vamos ver.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Bueno, esto es un globo
											que nosotros también
lo llamamos una escultura.
											Y si mañana está soleado,
											podemos salir a volar lo que ...
											sí en Vancouver el tiempo no está —
									","
											OK. This is a balloon
that we also refer to as a sculpture.
											And if it's sunny out tomorrow,
we can go out and fly —
											though, no, the weather
in Vancouver isn't —
									","
											Isto é um balão
											a que também chamamos uma escultura.
											Se amanhã houver Sol,
											podemos ir voar.
											Mas, se em Vancouver, 
o tempo não está...
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											(Risas)
									","
											(Laughter)
									","
											(Risos)
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											no está muy ...
											muy favorable.
									","
											it's not very ...
											very favorable.
									","
											não está muito...
											muito favorável.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Bueno, ¿qué más tiene?
											Tiene unos cuantos sensores
que cuando se mueve
											hacen como unos dibujos en el aire.
											Y también tiene otros sensores
											y siempre pienso: primero hay que sentir
y después lo podemos medir.
											Para sentir los sonidos de la atmósfera
											del clima, del aire caliente,
											para después poder medir el ozono
											el dióxido de carbono;
											sensores que estamos desarrollando
											junto con diferentes comunidades
alrededor del mundo
											para reconectarnos con el clima,
la temperatura y el medio ambiente,
											porque hay otros especies en el aire,
											porque en estas excursiones
hacia la atmósfera
											no estamos solos;
											el aire está lleno de nubes de vida.
											Vivimos en el fondo de un océano de aire.
									","
											So, what other features does it have?
											It has sensors that, when it moves,
											make sort of drawings in the air.
											It also has other sensors.
											I always think that first
you have to feel it,
											and then you can measure it;
											you need to hear the sounds
of the atmosphere,
											of the climate, of the hot air,
											in order to then measure the ozone,
											the carbon dioxide.
											We're developing these sensors
											together with different communities
all over the world
											in order to reconnect with the climate,
the temperature and the environment,
											because there are other
species in the air;
											in these excursions
towards the atmosphere,
											we're not alone.
											The air is full of clouds of life.
											We live at the bottom of an ocean of air.
									","
											Bom, que mais há aqui?
											Há uns quantos sensores
que, quando se movimenta,
											fazem uma espécie de desenhos no ar.
											Também há outros sensores
											porque penso sempre:
											primeiro é preciso sentir,
só depois é que podemos medir.
											Para sentir os sons da atmosfera,
											do clima, do ar quente,
											para depois poder medir o ozono.
											o dióxido de carbono.
											São sensores que estamos a desenvolver
											juntamente com diversas
comunidades do mundo inteiro
											para voltarmos a ligar-nos com o clima,
a temperatura e o meio ambiente,
											porque há outras espécies no ar,
											porque nestas excursões à atmosfera,
não estamos sós:
											o ar está cheio de nuvens de vida.
											Vivemos no fundo de um oceano de ar.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Y esta misma escultura — esta, no otra —
											que está en mis manos,
											voló 600 kilómetros, 12 horas
desde Alemania hasta Polonia
											en un viaje libre de combustibles,
											pero no libre de traspasar fronteras;
											un viaje mucho más complicado
del que nos podemos imaginar.
											El espacio aéreo
está tan regulado y militarizado
											como el terrenal.
											Navegar con los vientos
con el calor del Sol
											y la radiación de la Tierra
											es complejo y hermoso.
											Pero más complejo aún
será pedir los permisos
											para cruzar los espacios aéreos
											de cada uno de los países
											que navegamos con los vientos.
									","
											And this same sculpture,
											this exact one in my hands,
											flew 375 miles — 12 hours —
from Germany to Poland,
											on a fuel-free trip.
											But it wasn't free from crossing borders.
											The trip was much more complicated
than what we imagined;
											air space is as regulated and militarized
											as land space.
											To fly using the winds,
the heat of the sun
											and the radiant energy of the earth
											is complex and beautiful.
											But even more complex
will be getting the permits
											to cross the air space
of each of the different countries
											that we fly over using wind.
									","
											Esta mesma escultura 
— esta, não outra —
											que está nas minhas mãos,
											voou 600 km, 12 horas
desde a Alemanha até à Polónia
											numa viagem sem combustível,
											mas não foi livre
para atravessar fronteiras.
											Foi uma viagem muito mais complicada
do que podemos imaginar.
											O espaço aéreo está
tão regulado e militarizado
											como o terrestre.
											Navegar com os ventos
com o calor do Sol
											e a radiação da Terra
											é complexo e formoso.
											Mais complexo ainda
será pedir as autorizações
											para cruzar os espaços aéreos
											de cada um dos países
											que navegamos com os ventos.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Durante la Cumbre
del Cambio Climático, COP21 en París,
											presentamos estas esculturas esféricas
											que podrían transportarnos
alrededor del mundo.
											Pero, ¿cómo podemos
movernos con el viento
											para llegar a nuestro destino?
											Junto con el MIT,
hemos desarrollado un programa
											que predice cómo podemos navegar
las autopistas de los vientos.
											Por ejemplo, si yo tuviera que volver
desde Vancouver a Berlín,
											lo primero que tengo que hacer
es elegir una altura.
											A diferentes alturas,
hay diferentes direcciones
											y velocidades.
											La línea roja es mañana;
la naranja, el pasado, y ahí va.
											Como vemos, el mejor día
para regresar a Berlín
											y ahí estamos viajando
solo con los vientos,
											es en seis días.
											Y llegamos a 170 kilómetros
del centro de Berlín
											sin quemar una gota de combustible,
											solo transportados
por las corrientes de los vientos.
									","
											At COP21, the Paris Climate Conference,
											we presented these spherical sculptures
											that could transport us
all over the world.
											But how can we fly using the wind
to arrive at our destination?
											Together with MIT, we developed a program
											that predicts how we can navigate
the wind highways.
											For example, if I had to return
to Berlin from Vancouver,
											the first thing I would need to do
is choose an altitude.
											At different altitudes,
there are different directions
											and different speeds.
											The red line is tomorrow
and the orange, the day after tomorrow.
											And there it goes.
											You can see, the best day
to fly back to Berlin —
											so now, traveling using only wind —
											is in six days.
											And we can get to 105 miles
from the center of Berlin
											without burning a single drop of fuel,
											being transported only by wind currents.
									","
											Durante a Cimeira da Alteração
Climática, COP21 em Paris,
											apresentámos estas esculturas esféricas
											que podiam transportar-nos
à volta do mundo.
											Mas como podemos mover-nos com o vento
											para chegar ao nosso destino?
											Juntamente com o MIT,
desenvolvemos um programa
											que prevê como podemos navegar
as autoestradas dos ventos.
											Por exemplo, se eu tivesse de voltar
de Vancouver a Berlim,
											a primeira coisa que tenho de fazer
é escolher uma altura.
											A diferentes alturas
há diferentes direções
											e velocidades.
											A linha vermelha é amanhã;
a laranja, o passado.
											Como vemos, o melhor dia
para regressar a Berlim
											— estamos a viajar só com os ventos —
											é daqui a seis dias.
											Chegamos a 170 km
do centro de Berlim
											sem queimar uma gota de combustível,
											transportados apenas
pelas correntes dos ventos.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Y es así que pensamos
											que estas trayectorias
que dibujamos con el viento
											pueden transformarse en firmas
											para declarar un Día de la Independencia
de los Combustibles Fósiles.
											Cada vez somos más
los que estamos sintiendo el aire
											de una forma diferente.
											Y así como ustedes conocen
el Día de la Tierra
											pensamos que podemos celebrar
el Día del Aire:
											un pacto que hacemos con la Tierra,
											un compromiso ético con la atmósfera.
											Pero sigamos pensando y soñando.
									","
											So we thought that these trajectories
that we drew with the wind
											could become signatures, declaring
""Independence from Fossil Fuels Day.""
											More and more of us
are experiencing the air
											in a different way.
											You're all familiar with Earth Day.
											We think we should also celebrate Air Day:
											it's a pact that we make with the earth,
											an ethical commitment to the atmosphere.
											But let's keep thinking and dreaming.
									","
											É assim que pensamos
											que estas trajetórias
que desenhamos com o vento
											podem transformar-se em assinaturas
											para declarar um Dia da Independência
dos Combustíveis Fósseis.
											Somos cada vez mais
os que sentimos o ar
											de uma forma diferente.
											Tal como vocês conhecem
o Dia da Terra,
											pensamos que podemos festejar
o Dia do Ar:
											um pacto que fazemos com a Terra,
											um compromisso ético com a atmosfera.
											Mas continuamos a pensar
e a sonhar.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Hemos aprendido que
cuánto más grandes son las esculturas,
											más peso pueden elevar.
											Recuerden
											que se elevan solo con el aire caliente
											que se calienta con el Sol.
											Y de esta forma, podemos aprender
a construir jardines en el aire.
											¿Podremos algún día vivir en un jardín
del tamaño de la Tierra?
											¿Podremos vivir en un ecosistema
flotando entre las nubes?
											Responder a estas preguntas
											no es solo un desafío tecnológico,
											es una manera de reexaminar
											la libertad de los movimientos
entre los países
											y de superar las restricciones políticas,
sociales, culturales y militares
											de las sociedades contemporáneas,
											porque, en el último lugar,
											el aire es de todos,
y no depende de ninguna soberanía.
									","
											We've learned that the bigger
the sculptures are,
											the more weight they can lift.
											Remember,
											they rise up only with hot air
that's been heated by the sun.
											Using this approach, we can learn
to build gardens in the air.
											Could we one day live in a garden
the size of the earth?
											Could we live in an ecosystem
floating among the clouds?
											Answering these questions
isn't just a technological challenge;
											it's a way to reexamine
the freedom of movement between countries,
											and of overcoming the political,
social, cultural and military restrictions
											of contemporary societies.
											Because in the end,
											the air belongs to everybody
											and doesn't answer to any government.
									","
											Aprendemos que, quanto
maiores são as esculturas,
											mais peso podem elevar.
											Recordem
											que se elevam apenas com o ar quente
											que aquece com o Sol.
											Desta forma, podemos aprender
a construir jardins no ar.
											Será que podemos viver um dia
num jardim do tamanho da Terra?
											Podemos viver num ecossistema
flutuando entre as nuvens?
											Responder a estas perguntas
não é apenas um desafio tecnológico,
											é uma maneira de reexaminar
											a liberdade dos movimentos
entre os países
											e de superar as restrições políticas,
sociais, culturais e militares
											das sociedades contemporâneas
											porque, em último lugar,
											o ar é de todos,
não depende de nenhuma soberania.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											(Aplausos)
									","
											(Applause)
									","
											(Aplausos)
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Y como dijimos antes,
											es la imaginación, la fuerza
que nos puede llevar
											a crear estos lugares.
									","
											And like we said earlier,
											our imagination is the force
that allows us to create these places.
									","
											Como dissemos há bocado,
											a imaginação é a força que nos pode levar
a criar estes lugares.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Esta es una instalación
											que realicé en el Museo
Metropolitan de Nueva York,
											en la cual especulamos
											cómo podrían ser estos
espacios transnacionales.
											Y una vez que habitamos estos lugares,
											debemos aprender a movernos en ellos;
											a caminar entre las nubes,
											en donde cada movimiento afecta
la forma de moverse de los demás;
											el peso del cuerpo
											y la cercanía entre las personas
provoca que el espacio
											se expanda
											o se contraiga.
											Y ahí estamos, suspendidos
a 22 metros de altura.
											Y cuando dos o más personas
se acercaban demasiado,
											hasta las personas más lejanas
terminaban afectadas,
											cayendo todos en el mismo lugar.
											Estos son ecosistemas frágiles.
											Y es entremedio de estas esferas
donde construimos redes
											que nos conectan.
											Hay momentos
											en que nos enfrentamos al vacío
											y el miedo nos puede paralizar.
											Una de las cosas más lindas
de esta instalación
											es la solidaridad que se genera
											cuando nos enfrentamos
estas nuevas ""aero-grafías"".
									","
											This is an installation I did
											at the Metropolitan Museum
of Art in New York.
											It asks the question:
											What might these transnational
spaces be like?
											And once we inhabit those spaces,
we need to learn how to move within them,
											to walk among the clouds,
											where every movement affects
everyone else's movements;
											the body weight and proximity
between people
											will cause the space to expand ...
											or contract.
											There we are, suspended
72 feet in the air.
											When two or more people
get too close together,
											even those farthest away are affected —
											everyone falls to the same spot.
											These are fragile ecosystems.
											And it's between these spheres
that we build nets that connect us.
											There are moments
when we have to face the void,
											and fear can paralyze us.
											One of the most beautiful things
about this exhibit
											is the sense of solidarity generated
											when we face these new ""aero-graphs.""
									","
											Esta é uma instalação
											que realizei no Museu
Metropolitano de Nova Iorque,
											na qual especulamos
											como poderiam ser
estes espaços transnacionais.
											Uma vez que habitamos estes lugares,
											temos de aprender
a movimentar-nos neles,
											a caminhar por entre as nuvens,
											onde cada movimento afeta a forma
de os outros se movimentarem.
											O peso do corpo
											e a proximidade entre as pessoas
											faz com que o espaço se expanda
											ou se contraia.
											Estamos suspensos a 22 m de altura.
											Quando duas ou mais pessoas
se aproximam demasiado,
											até as pessoas mais afastadas
acabam por ser afetadas,
											caindo todas no mesmo lugar.
											Estes ecossistemas são frágeis.
											Entre as esferas construímos redes
que nos interligam.
											Há momentos em que enfrentamos o vazio
											e o medo pode paralisar-nos.
											Uma das coisas mais belas
desta instalação
											é a solidariedade que se gera
											quando enfrentamos
estas novas ""aero-grafias"".
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
