en,pt,tr,fr,de,es,title,speaker,duration,tags
"
											It took weeks before I could admit it,
											but the doctor was right:
											I was depressed.
											Still, I didn't tell anybody
about my diagnosis.
											I was too ashamed.
											I didn't think I had the right
to be depressed.
											I had a privileged life
											with a loving family
and a successful career.
											And when I thought about
the unspeakable horrors
											that my ancestors
had been through in this country
											so that I could have it better,
											my shame grew even deeper.
											I was standing on their shoulders.
											How could I let them down?
											I would hold my head up,
											put a smile on my face
											and never tell a soul.
									","
											Foram precisas semanas 
antes de o reconhecer,
											mas o médico tinha razão:
											eu estava deprimida.
											Ainda assim, não contei
a ninguém o meu diagnóstico.
											Tinha demasiada vergonha.
											Pensava que não tinha
o direito de estar deprimida.
											Eu tinha uma vida privilegiada
											com uma família carinhosa
e uma carreira bem-sucedida.
											Quando eu pensava no horror indescritível
											que os meus antepassados
tiveram de passar neste país
											para que eu pudesse ter uma vida melhor,
											mais a minha vergonha aumentava.
											Eu erguia-me sobre os ombros deles.
											Como podia desiludi-los?
											Eu ergueria a cabeça,
											um sorriso na cara
											e não contaria a ninguém.
									","
											Kabullenmem haftalar aldı,
											ama doktor haklıydı;
											depresiftim.
											Yine de, kimseye teşhisim
hakkında bir şey söylemedim.
											Çok utanıyordum.
											Depresif olmaya hakkım olduğunu
düşünmüyordum.
											Sevgi dolu bir aile
											ve başarılı bir kariyerim vardı,
ayrıcalıklıydım.
											Daha iyi bir hayat sürmem için,
											atalarımın bu topraklarda yaşadığı
											tarifsiz korkuları düşündüğümde,
											utancım daha da arttı.
											Onlara borçluydum.
											Onları nasıl yüzüstü bırakırım?
											Başımı dik tutmalı,
											gülümsemeli
											ve asla bir şey dememeliydim.
									","
											Cela m'a pris des semaines
pour l'admettre,
											mais le docteur avait raison :
											je faisais une dépression.
											Je n'avais parlé à personne
de mon diagnostic.
											J'avais trop honte.
											Je ne pensais pas que j'avais le droit
de déprimer.
											J'avais le privilège d'être en vie
											avec une famille aimante
et une excellente carrière.
											Et quand je pense aux atrocités
											que mes ancètres ont traversées
dans ce pays
											pour que j'aie une meilleure vie,
											ma honte grandissait.
											Je résidais sur leurs épaules.
											Comment ai-je pu les décevoir ?
											Je relevais ma tête,
											affichais un sourire sur mon visage
											et n'en parlais à personne.
									","
											Es brauchte Wochen
bevor ich es zugeben konnte,
											aber der Arzt hatte recht:
											Ich war depressiv.
											Dennoch erzählte ich
niemandem von meiner Diagnose.
											Ich schämte mich zu sehr.
											Ich dachte, ich hätte
kein Recht, depressiv zu sein.
											Ich hatte ein privilegiertes Leben
											mit einer liebevollen Familie
und einer erfolgreichen Karriere.
											Wenn ich an die unfassbaren Gräuel dachte,
											die meine Vorfahren
in diesem Land erlitten hatten,
											damit ich es besser hätte,
											vertiefte sich meine Scham noch.
											Ich stand auf ihren Schultern.
											Wie konnte ich sie enttäuschen?
											Ich würde den Kopf erhoben halten,
											ein Lächeln im Gesicht tragen
											und es keiner Seele erzählen.
									","
											Pasaron semanas 
antes de poder admitirlo,
											pero el médico tenía razón,
											estaba deprimida.
											Aun así, no le conté a nadie 
sobre mi diagnóstico.
											Estaba muy avergonzada.
											No pensé que tuviera derecho 
a estar deprimida.
											Tenía una vida privilegiada
											con una familia amorosa 
y una carrera exitosa.
											Y cuando pensaba en 
los horrores indescriptibles
											que mis antepasados ​​
habían sufrido en este país
											para que me fuera mejor,
											mi vergüenza se hacía aún más profunda.
											Yo me apoyaba sobre sus hombros.
											¿Cómo podía decepcionarlos?
											Yo debía levantar cabeza,
											dibujar una sonrisa en mi rostro,
											y nunca contárselo a nadie.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											On July 4, 2013,
											my world came crashing in on me.
											That was the day I got
a phone call from my mom
											telling me that my 22-year-old nephew,
Paul, had ended his life,
											after years of battling
depression and anxiety.
											There are no words that can describe
the devastation I felt.
											Paul and I were very close,
											but I had no idea he was in so much pain.
											Neither one of us had ever talked
to the other about our struggles.
											The shame and stigma kept us both silent.
									","
											A 4 de Julho de 2013
											o meu mundo desabou.
											Foi no dia em que recebi
um telefonema da minha mãe
											a dizer-me que o meu sobrinho Paul, 
de 22 anos, se suicidara,
											depois de anos a lutar
contra a depressão e a ansiedade.
											Não há palavras para descrever 
a devastação que senti.
											Ele e eu éramos chegados,
											mas eu não sabia
que ele estava a sofrer tanto.
											Nenhum de nós tinha contado 
os nossos problemas ao outro.
											A vergonha e o estigma
mantiveram-nos calados.
									","
											4 Temmuz 2013'te,
											dünya başıma yıkıldı.
											Annemden,
22 yaşındaki yeğenim Paul'un,
											depresyon ve anksiyeteyle
yıllar boyu süren savaşından sonra
											hayatına son verdiği haberini aldım.
											Hissettiğim yıkımı tasvir edecek
bir kelime dahi yok.
											Paul ile çok yakındık,
											ama onun bu kadar
acı çektiğini bilmiyordum.
											İkimiz de birbirimize yaşadığımız
mücadelelerden bahsetmemiştik.
											Utanç ve damgalanma korkusu
bizi sessizliğe itmişti.
									","
											Le 4 juin 2013,
											mon monde s'est écroulé.
											C'est le jour où j'ai reçu ce coup de fil
de ma mère
											me disant que Paul, mon neveu de 22 ans,
a mis fin à ses jours,
											après des années de lutte
contre la dépression.
											Je ne pourrais pas vous dire
combien j'ai été dévastée.
											Paul et moi étions proches,
											mais j'ignorais qu'il souffrait autant.
											Nous ne nous sommes jamais parlé
de nos combats respectifs.
											La honte nous a rendus muets.
									","
											Am 4. Juli 2013
											brach meine Welt über mir ein.
											An diesem Tag erhielt ich
einen Anruf von meiner Mutter,
											die mir sagte, mein 22-jähriger Neffe
Paul hätte sich umgebracht
											nachdem er Jahre mit Depression
und Angst gekämpft hatte.
											Ich kann nicht ausdrücken,
wie niedergeschmettert ich mich fühlte.
											Wir standen uns sehr nah,
											aber ich wusste nicht,
dass er so gelitten hatte.
											Keiner von uns hatte mit dem anderen
je über seine Kämpfe geredet.
											Scham und Stigma
brachten uns beide zum schweigen.
									","
											El 4 de julio de 2013
											mi mundo se me cayó estrepitosamente.
											Ese fue el día que recibí 
una llamada telefónica de mi madre
											diciéndome que mi sobrino de 22 años, 
Paul, había terminado con su vida,
											tras años de luchar 
contra la depresión y la ansiedad.
											No hay palabras que puedan describir 
la devastación que sentí.
											Paul y yo estábamos muy unidos,
											pero no tenía idea de que 
estuviera sufriendo tanto.
											Ninguno de nosotros había hablado 
con el otro sobre nuestras luchas.
											La vergüenza y el estigma 
nos mantuvieron a ambos en silencio.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											Now, my way of dealing with adversity
is to face it head on,
											so I spent the next two years
researching depression and anxiety,
											and what I found was mind-blowing.
											The World Health Organization reports
											that depression is the leading cause
of sickness and disability
											in the world.
											While the exact cause
of depression isn't clear,
											research suggests
that most mental disorders develop,
											at least in part,
											because of a chemical
imbalance in the brain,
											and/or an underlying
genetic predisposition.
											So you can't just shake it off.
									","
											A minha maneira de lidar com a adversidade
é enfrentá-la directamente,
											por isso passei os dois anos seguintes
a pesquisar sobre depressão e ansiedade,
											e o que descobri foi surpreendente.
											A Organização Mundial de Saúde diz
											que a depressão é a principal causa 
de doenças e incapacidades no mundo.
											Ainda que não se conheça
a causa exacta da depressão,
											a investigação sugere
que a maioria das doenças mentais
											se desenvolvem,
pelo menos em parte,
											devido a um desequilíbrio 
químico no cérebro,
											e/ou devido a predisposição genética.
											Portanto, não podemos 
simplesmente ignorá-la.
									","
											Zorlukla baş etme şeklim
onunla direkt olarak yüzleşmek.
											Bu yüzden, iki yılımı depresyon
ve anksiyeteyi araştırarak geçirdim,
											bulduğum şeyse akıl almazdı.
											Dünya Sağlık Örgütüne göre,
											dünya genelinde hastalık
ve sakatlığın başlıca sebebi
											depresyon.
											Depresyonun asıl sebebi
tam olarak bilinmese de,
											araştırmalar çoğu ruhsal bozukluğun,
											en azından bir kısmının,
											beyindeki kimyasal bir dengesizlikten,
											ve/veya genetik yatkınlıktan
dolayı meydana geldiğini gösteriyor.
											Yani öylece geçiştiremezsiniz.
									","
											Maintenant, ma manière de combattre
l'adversité est de l'affronter tête haute,
											donc j'ai passé les deux années suivantes
à chercher ma dépression,
											et ce que j'ai découvert était
époustouflant.
											L'Organisation Mondiale de la Santé dit
											que la dépression est la cause principale
de la maladie et du handicap
											dans le monde.
											Alors que la cause exacte
de la dépression n'est pas claire,
											les recherches suggèrent que
la plupart des troubles mentaux
											se développent, du moins en partie,
											à cause du déséquilibre chimique
dans le cerveau,
											et/ou de la prédisposition génétique
sous-jacente.
											Impossible de s'en débarrasser
en un clic.
									","
											Rückschläge gehe ich immer direkt an,
											daher studierte ich die nächsten
zwei Jahre Depression und Angst,
											und meine Einblicke waren überwältigend.
											Die Weltgesundheitsorganisation gibt an,
											dass Depression die Hauptursache
für Krankheiten und Erwerbsunfähigkeit
											in der Welt ist.
											Obwohl die genaue Ursache
für Depression nicht klar ist,
											zeigen Studien, dass sich
die meisten psychischen Erkrankungen,
											zumindest teilweise,
											wegen eines chemischen
Ungleichgewichts im Gehirn entwickeln
											und/oder wegen einer
genetischen Prädisposition.
											Man kann es also
nicht einfach abschütteln.
									","
											Ahora mi forma de enfrentar 
la adversidad es encarándola de frente,
											así que pasé los siguientes dos años 
investigando la depresión y la ansiedad,
											y encontré algo alucinante.
											La Organización Mundial de la Salud dice
											que la depresión es la principal causa 
de enfermedad y discapacidad
											en el mundo.
											Si bien la causa exacta 
de la depresión no está clara,
											la investigación sugiere que la mayoría 
de los trastornos mentales se desarrollan,
											al menos en parte,
											debido a un desequilibrio 
químico en el cerebro,
											y/o debido a una predisposición 
genética subyacente.
											Así que no puedes quitártela.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											For black Americans,
											stressors like racism
and socioeconomic disparities
											put them at a 20 percent greater risk
of developing a mental disorder,
											yet they seek mental health services
											at about half the rate of white Americans.
											One reason is the stigma,
											with 63 percent of black Americans
mistaking depression for a weakness.
											Sadly, the suicide rate
among black children
											has doubled in the past 20 years.
									","
											Para os americanos negros,
											factores como o racismo 
e as desigualdades socioeconómicas
											dão-lhes 20% mais de probabilidades
no desenvolvimento de uma doença mental,
											contudo só procuram ajuda
em saúde mental
											metade das vezes em comparação
com americanos brancos.
											Um dos motivos é o estigma.
											Uns 63% dos americanos negros
confundem depressão com fraqueza.
											Infelizmente, a taxa de suicídios 
entre crianças negras
											duplicou nos últimos 20 anos.
									","
											Afrikan Amerikanlar içinse,
											ırkçılık ve sosyoekonomik eşitsizlikler
gibi strese sebebiyet veren durumlar,
											ruhsal bozukluk yaşama riskini
%20 arttırıyor;
											buna rağmen beyaz Amerikanlara kıyasla,
											sağlık desteğine başvurma oranları
neredeyse %50 daha az.
											Bir sebebi, utanç.
											Afrikan Amerikanların %63'ü
depresyonu zayıflık sanıyor.
											Ne yazık ki,
siyahi çocuklardaki intihar oranı
											20 yıl içerisinde ikiye katlandı.
									","
											Pour les Américains noirs,
											les facteurs de stress tels que le racisme
et les disparités socio-économiques
											les exposent à de plus grands risques
de développer un trouble mental,
											et ils courent après
les services de santé mentale
											moitié moins que les Américains blancs.
											Une des raisons est la marque d'infamie,
											avec 63% des Américains noirs qui
confondent dépression et faiblesse.
											Malheureusement, le taux de suicide
chez les jeunes noirs
											a doublé ces 20 dernières années.
									","
											Bei schwarzen Amerikanern
											führen Stressfaktoren wie Rassismus
und sozioökonomische Ungleichheiten
											zu einem Risikozuwachs von 20 %,
eine psychische Störung zu entwickeln.
											Dennoch suchen sie psychische
Gesundheitseinrichtungen
											nur etwas halb so oft auf
wie weiße Amerikaner.
											Ein Grund liegt im Stigma,
											63 % der schwarzen Amerikaner
halten Depression für eine Schwäche.
											Leider hat sich die Selbstmordrate
unter schwarzen Kindern
											in den letzten 20 Jahren verdoppelt.
									","
											Para los estadounidenses negros,
											factores estresantes como el racismo 
y las disparidades socioeconómicas
											suponen un 20 % más de riesgo de 
desarrollar un trastorno mental,
											sin embargo, solo buscan 
servicios de salud mental
											la mitad con respecto a la tasa 
de estadounidenses blancos.
											Una razón es el estigma,
											con el 63 % de los estadounidenses negros 
que confunden depresión con debilidad.
											Lamentablemente, la tasa de suicidio 
entre los niños negros
											se ha duplicado en los últimos 20 años.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											Now, here's the good news:
											seventy percent of people
struggling with depression will improve
											with therapy, treatment and medication.
											Armed with this information,
											I made a decision:
											I wasn't going to be silent anymore.
											With my family's blessing,
											I would share our story
											in hopes of sparking
a national conversation.
									","
											Mas há boas notícias:
											70% das pessoas com Depressão
podem melhorar
											com terapia, tratamentos e medicação.
											Munida destas informações,
											tomei uma decisão:
											Nunca mais me iria calar.
											Com a bênção da minha família,
											iria contar a nossa história
											na esperança de começar
uma conversa nacional.
									","
											İyi haber şu ki,
											bireylerin mücadele ettiği
depresyonun %70'i,
											terapi, tedavi
ve ilaç tedavisi ile iyileştirilebilir.
											Bu bilgi ışığında,
											bir karar verdim:
											Artık sessiz kalmayacaktım.
											Ailemin de yardımıyla,
											ulusal bir iletişim başlatmak umuduyla,
											hikâyemizi paylaşacağım.
									","
											Mais, voici une bonne nouvelle :
											70% des personnes qui souffrent
de dépression iront mieux
											avec des thérapies, des traitements
et des médicaments.
											Armée de cette information,
											j'ai pris une décision :
											je n'allais plus garder le silence.
											Avec l'accord de ma famille,
											j'ai partagé notre histoire
											avec l'espoir de déclencher
une conversation nationale.
									","
											Jetzt die gute Nachricht:
											70 % aller Menschen,
die an Depression leiden,
											geht es mit Therapie, Behandlung
und Medikamenten besser.
											Vor diesem Hintergrund
											traf ich eine Entscheidung:
											Ich würde nicht mehr schweigen.
											Mit dem Segen meiner Familie
											würde ich unsere Geschichte erzählen,
											in der Hoffnung,
einen nationalen Diskurs anzuregen.
									","
											Pero hay una buena noticia:
											el 70 % de las personas que 
luchan contra la depresión mejorará
											con terapia, tratamiento y medicación.
											Armada con esta información,
											tomé una decisión.
											Ya no iba a estar en silencio nunca más.
											Con la bendición de mi familia,
											yo iba a compartir nuestra historia
											esperando provocar 
una conversación nacional.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											A friend, Kelly Pierre-Louis, said,
											""Being strong is killing us.""
											She's right.
											We have got to retire
those tired, old narratives
											of the strong black woman
											and the super-masculine black man,
											who, no matter how many times
they get knocked down,
											just shake it off and soldier on.
											Having feelings isn't a sign of weakness.
											Feelings mean we're human.
											And when we deny our humanity,
											it leaves us feeling empty inside,
											searching for ways to self-medicate
in order to fill the void.
											My drug was high achievement.
									","
											Uma amiga, Kelly Pierre-Louis, disse:
											""Ser forte está a matar-nos""
											e tem razão.
											Temos de abolir as narrativas
velhas e cansadas
											da mulher negra forte
											e do homem negro super-masculino,
											que, independentemente de quantas 
vezes são deitados ao chão,
											se levantam e continuam em frente.
											Ter sentimentos não é 
um sinal de fraqueza.
											Os sentimentos significam
que somos humanos.
											Quando negamos a nossa humanidade,
											ficamos vazios por dentro,
											procurando formas de nos automedicar 
para preencher o vazio.
											A minha droga era o sucesso.
									","
											Arkadaşımız Kelly Pierre-Louis,
											""Güçlü olmak bizi öldürüyor,"" demiş.
											Haklı.
											Kaç kez yıkım alırsa alsın,
hemencecik toplarlanan ve yoluna bakan
											''güçlü siyahi kadın''
											ve ''süper- eril siyahi adam''
											tasvirlerini aktaran,
o eski ve zamanı geçmiş
											kalıplardan kurtulmalıyız.
											Hissetmek, zayıflık göstergesi değildir.
											Hisler, insan olduğumuzu gösterir.
											İnsanlığımızı reddettiğimizde,
											içimizde bir boşluk hissi yaratır
											ve bizler de o boşluğu doldurmak için, 
kendimizi toparlamanın yollarını ararız.
											Benim ilacım üstün başarıydı.
									","
											Une amie, Kelly Pierre-Louis, a dit :
											« Être fort nous tue. »
											Elle a raison.
											Nous devons oublier les discours datés
											de la femme noire forte
											et de l'homme noir super masculin,
											qui, peu importe le nombre de fois
où ils sont mis à terre,
											se relèvent et continuent leur combat.
											Ressentir des choses n'est pas
un signe de faiblesse.
											Les sentiments montrent
qu'on est humain.
											Et lorsqu'on nie notre humanité,
											au final on se sent vide de l'intérieur,
											on cherche le moyen de s'automédicamenter
pour combler ce vide.
											Ma drogue était l'excellence.
									","
											Meine Freundin Kelly Pierre-Louis sagte:
											""Stark zu sein bringt uns um.""
											Sie hat recht.
											Wir müssen die müden, alten Geschichten
											von der starken, schwarzen Frau
											und dem super-männlichen
schwarzen Mann beerdigen,
											die, egal wie oft sie
niedergeschlagen werden,
											einfach alles abschütteln
und weitermachen.
											Gefühle zu haben,
ist kein Zeichen von Schwäche.
											Gefühle zeigen, dass wir menschlich sind.
											Wenn wir unsere Menschlichkeit verleugnen,
											fühlen wir uns innerlich leer
											und suchen nach Wegen uns selbst
zu behandeln, um die Leere zu füllen.
											Meine Droge war Spitzenleistung.
									","
											Una amiga, Kelly Pierre-Louis, dijo:
											""Ser fuerte nos está matando"".
											Ella está en lo correcto.
											Tenemos que abandonar 
esas viejas narraciones cansinas
											sobre la fortaleza de la mujer negra
											y sobre el hombre negro súper masculino,
											que, sin importar cuántas veces 
son derribados,
											con solo agitarlos, 
son soldados al servicio.
											Tener sentimientos no es 
un signo de debilidad.
											Los sentimientos significan 
que somos humanos.
											Y negar nuestra humanidad,
											nos deja vacíos por dentro,
											buscando formas de automedicarnos
para llenar el vacío.
											Mi droga fue un gran logro.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
