fr,pt,de,title,speaker,duration,tags
"
											Oh, j'adore celle-ci :
											« Ma fille va se marier
en septembre prochain,
											c'est un mariage en extérieur.
											Va-t-il pleuvoir ? »
									","
											E esta eu adoro:
											""A minha filha vai casar-se em setembro,
é um casamento ao ar livre.
											""Irá chover?""
									","
											Ach ja, ich liebe diese:
											""Meine Tochter wird nächsten September
heiraten, es wird eine Freiluft-Trauung.
											Wird es da regnen?""
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											(Risos)
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Je ne rigole pas, j'ai ces questions
et j'ignore la réponse,
											la science n'est pas là.
											Mais celle que j'ai beaucoup
ces jours-ci, c'est :
											« Dr Shepherd, croyez-vous
au changement climatique ? »
											« Croyez-vous
au réchauffement climatique ? »
											Je dois rassembler mes esprits
à chaque fois que j'ai ces questions.
											Car c'est une question mal posée —
											la science n'est pas
un système de croyance.
											Mon fils, il a dix ans —
il croit à la petite souris.
											Il faut qu'il passe à autre chose
car je perds de l'argent, et vite.
									","
											A sério, fazem-me estas perguntas
e eu não lhes sei responder.
											Não há ciência para isso.
											Mas uma que me fizeram,
um dia destes, é:
											""Dr. Shepherd, acredita
na alteração climática?""
											""Acredita no aquecimento global?""
											Eu tenho de respirar fundo
sempre que me perguntam isto
											porque é uma pergunta mal feita.
											A ciência não é um sistema de crença.
											O meu filho que tem 10 anos
ainda acredita na fada dos dentes
											e tem de deixar de acreditar
porque ando a perder muito dinheiro.
									","
											Ernsthaft, ich werde das gefragt und
ich weiß nicht, was ich antworten soll,
											die Wissenschaft hierfür existiert nicht.
											Aber die Frage, die ich zur Zeit
am meisten gefragt werde ist:
											""Dr. Shepherd, glauben
Sie an den Klimawandel?""
											""Glauben Sie an die Erderwärmung?""
											Ich muss mich jedes Mal zusammenreißen,
wenn mich jemand das fragt.
											Weil es eine schlecht
gestellte Frage ist —
											Wissenschaft ist keine Sache des Glaubens.
											Mein Sohn ist 10 —
er glaubt an die Zahnfee.
											Uns er sollte schnell erwachsen
werden, weil ich dafür zahle.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											(Risos)
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Mais il croit à la petite souris.
											Envisagez ceci.
											Le bâtiment de Bank of America à Atlanta.
											Vous n'entendez jamais
qui que ce soit dire :
											« Croyez-vous que,
si vous montez en haut du bâtiment
											et jetez une balle, elle tombera ? »
											Vous n'entendez jamais cela
car la gravité existe.
											Pourquoi n'entendons-nous
pas la question :
											« Croyez-vous en la gravité ? »
											Mais nous entendons la question :
											« Croyez-vous
au réchauffement climatique ? »
									","
											Mas acredita na fada dos dentes.
											Reparem nisto.
											O edifício do Banco da América,
aqui em Atlanta.
											Nunca ouviram ninguém perguntar:
											""Acredita que, se for ao cimo
daquele edifício
											""e atirar uma bola, ela vai cair?""
											Nunca ouvimos perguntar isto,
porque a gravidade existe.
											Então, porque é que não
ouvimos a pergunta:
											""Acredita na gravidade?""
											Mas, claro, ouvimos a pergunta:
											""Acredita no aquecimento global?""
									","
											Aber er glaubt an die Zahnfee.
											Denken Sie über Folgendes nach:
											Im 'Bank of America' Gebäude in Atlanta
											hören Sie niemals wen sagen:
											""Glauben Sie, dass wenn Sie
an der Gebäudespitze sind
											und einen Ball werfen,
er hinunter fallen wird?""
											Sie werden das niemals hören,
weil Schwerkraft existiert.
											Also warum hören wir nicht die Frage:
											""Glauben Sie an Schwerkraft?""
											Aber natürlich hören wir die Frage:
											""Glauben Sie an die Erderwärmung?""
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Considérez ces faits.
											L'Association américaine
pour l'avancement des sciences, AAAS,
											l'une des principales
organisations scientifiques,
											a interrogé les scientifiques et le public
sur différents sujets scientifiques.
											En voici quelques-uns :
											la nourriture génétiquement modifiée,
la recherche sur les animaux,
											l'évolution de l'Homme.
											Regardez ce que les scientifiques
disent sur ces sujets,
											les gens étudiant ces sujets, en rouge,
											comparé au gris, ce que le public pense.
											Comment en sommes-nous arrivés là ?
											Comment en sommes-nous arrivés là ?
											Que les scientifiques et le public soient
si éloignés sur ces sujets scientifiques.
									","
											Consideremos os factos.
											A Associação Americana
para o Progresso da Ciência, a AAAS,
											uma das principais 
organizações de ciências,
											fez um inquérito a cientistas e ao público
sobre diferentes tópicos científicos.
											Estes são alguns deles:
											alimentos geneticamente modificados,
											investigação com animais,
evolução humana.
											Reparem no que os cientistas
dizem sobre isto,
											as pessoas que estudam
estes tópicos — a vermelho —
											e a cinzento, o que o público pensa.
											Como é que chegámos a isto?
											Como é que chegámos a isto?
											Que os cientistas e o público estejam
tão afastados nestas questões de ciência.
									","
											Denken Sie über folgende Fakten nach:
											Die 'American Association for the
Advancement of Science' (AAAS),
											eine der führenden
Wissenschaftsorganisationen,
											befragte Wissenschaftler und die
Öffentlichkeit zu verschiedenen Themen.
											Hier sind einige davon:
											genetisch veränderte Lebensmittel,
Tierversuche, die menschliche Evolution.
											Und schauen Sie,
was Wissenschaftler dazu sagen;
											in Rot: Personen, die in dem
Themengebiet forschen,
											und in Grau: Was die Öffentlichkeit denkt.
											Wie konnte es dazu kommen?
											Wie konnte es dazu kommen?
											Dass Wissenschaft und Öffentlichkeit bei
diesen Themen so weit auseinander liegen.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Je vais me rapprocher
de ce qui me concerne :
											le changement climatique.
											87% des scientifiques
											croient que les humains contribuent
au changement climatique.
											Mais seulement 50% du public ?
											Comment en sommes-nous arrivés là ?
											Cela amène la question :
											qu'est-ce qui définit la perception
que l'on a de la science ?
											C'est une question intéressante
											à laquelle j'ai beaucoup réfléchi.
											Je pense que l'une des choses
											modelant la perception
que le public a de la science,
											ce sont les systèmes de croyance
et les préjugés.
											Les systèmes de croyance et préjugés.
											Accordez-moi un instant.
											Car je veux parler
de trois éléments à ce sujet :
											le biais de confirmation,
l'effet Dunning-Kruger
											et la dissonance cognitive.
											Cela semble être de grands termes
académiques et sophistiqués et ce le sont.
											Mais quand je les décris,
vous allez penser : « Oh !
											Je reconnais cela, je connais même
quelqu'un qui le fait. »
									","
											Vou concentrar-me numa coisa
mais próxima de mim,
											a alteração climática.
											87% dos cientistas
											acreditam que os seres humanos
											estão a contribuir
para a alteração climática.
											Mas só 50% do público?
											Como é que chegámos a isto?
											Isto coloca a questão:
											o que é que modela as perceções
sobre a ciência?
											É uma questão interessante
											é uma questão em que há muito
venho pensando.
											Penso que uma coisa que modela
a perceção do público sobre a ciência
											são os sistemas de crença
e os preconceitos.
											Os sistemas de crença e os preconceitos.
											Acompanhem-me, por instantes.
											Porque eu vou falar
sobre estes três elementos:
											preconceito de confirmação,
											efeito Dunning-Kruger
											e dissonância cognitiva.
											Isto soa a termos académicos,
importantes e sofisticados, e são mesmo.
											Mas quando os descrever,
vocês vão dizer:
											""Oh, eu reconheço isso; até conheço
alguém que faz isso"".
									","
											Ich komme nun näher
zu meinem Themengebiet,
											dem Klimawandel.
											87 Prozent der Wissenschaftler
											sind davon überzeugt, dass Menschen
zum Klimawandel beitragen.
											Aber nur 50 % der Öffentlichkeit?
											Wie konnte es dazu kommen?
											Dies führt zur Frage:
											Was formt die Wahrnehmung
von Wissenschaft?
											Das ist eine interessante Frage,
											über die ich bereits
ein wenig nachgedacht habe.
											Ich glaube, dass die Wahrnehmung
von Wissenschaft
											vom Glaubenssystem und dazugehörigen
Vorurteilen geformt wird.
											Glaubenssysteme und Vorurteile.
											Folgen Sie mir gedanklich.
											Ich möchte über drei dazu
gehörige Elemente sprechen:
											Bestätigungsfehler, Dunning-Kruger Effekt
											und kognitive Dissonanzen.
											Sie klingen wie ausgefallene,
wissenschaftliche Begriffe
											und das sind sie.
											Aber wenn ich sie Ihnen erkläre,
werden Sie sagen:
											""Ach so, das kenne ich;
ich kenne sogar jemanden, der das macht.""
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Le biais de confirmation.
											Trouver des preuves appuyant
ce que nous croyons déjà.
											Nous sommes probablement tous
parfois un peu coupables de cela.
											Regardez ceci.
											Je suis sur Twitter.
											Souvent, quand il neige,
											je reçois ce tweet.
									","
											Preconceito de confirmação.
											Encontrar provas que sustentem
aquilo em que já acreditamos.
											Provavelmente, todos nós
somos culpados disto, por vezes.
											Reparem nisto.
											Eu estou no Twitter.
											Muitas vezes, quando neva,
											eu recebo este ""tweet"".
									","
											Bestätigungsfehler.
											Beweise zum Beleg von etwas finden,
wovon wir bereits überzeugt sind.
											Nun, hier sind wir wohl alle
manchmal schuldig.
											Schauen Sie sich das an:
											Ich bin auf Twitter
											und wenn es schneit
											bekomme ich oft solche Tweets.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											(Risos)
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											« Hey Dr Shepherd,
											j'ai 20 centimètres de réchauffement
climatique dans le jardin.
											C'est quoi le changement climatique
dont vous parlez ? »
											Je reçois beaucoup ce tweet.
											C'est un tweet mignon, il me fait sourire.
											Mais cela est si
scientifiquement incorrect.
											Car cela illustre
											que la personne qui tweete ne comprend pas
la différence entre météo et climat.
											Je dis souvent que la météo,
c'est votre humeur,
											et le climat, c'est votre personnalité.
											Réfléchissez-y.
											La météo est votre humeur,
le climat votre personnalité.
											Votre humeur aujourd'hui ne me dit rien
sur votre personnalité,
											une journée froide ne me dit rien
sur le changement climatique,
											et une journée chaude non plus.
									","
											""Dr. Stephen, tenho 50 cm
de aquecimento global no meu pátio.
											""Como é que vocês andam a falar
de alteração climática?""
											Recebo um ""tweet"" destes imensas vezes.
											É um ""tweet"" simpático, 
também me faz rir.
											Mas está profundamente errado,
do ponto de vista científico.
											Porque ilustra
											que a pessoa que envia o ""tweet""
											não percebe a diferença
entre tempo e clima.
											Eu digo imensas vezes
que o tempo é a nossa disposição
											e o clima é a nossa personalidade.
											Pensem nisso.
											O tempo é a nossa disposição,
o clima é a nossa personalidade.
											A vossa disposição de hoje não me diz nada
sobre a vossa personalidade,
											tal como um dia frio não me diz nada
sobre a alteração climática
											ou um dia quente, aliás.
									","
											""Dr. Shepherd, ich habe 50 cm
an globaler Erderwärmung in meinem Garten.
											Warum sprecht ihr ständig
vom Klimawandel?""
											Ich bekomme diesen Tweet sogar sehr oft.
											Es ist ein niedlicher Tweet,
er bringt mich sogar zum Schmunzeln.
											Aber es ist einfach so fundamental,
wissenschaftlich falsch.
											Es zeigt auf, dass diese Person
											den Unterschied zwischen Wetter
und Klima nicht versteht.
											Ich sage oft: Wetter ist Ihre Stimmung
											und Klima Ihre Persönlichkeit.
											Denken Sie darüber nach.
											Wetter ist Ihre Stimmung,
Klima Ihre Persönlichkeit.
											Ihre Stimmung heute sagt nicht zwingend
etwas über Ihre Persönlichkeit aus.
											Genauso wenig sagt ein kalter
Tag über den Klimawandel aus
											oder ein heißer, wenn
wir schon dabei sind.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Dunning-Kruger.
											Deux chercheurs de Cornell
ont découvert l'effet Dunning-Kruger.
											Si vous cherchez
la publication à ce sujet,
											vous verrez tous genres
de terminologie sophistiquée :
											c'est un complexe
de supériorité illusoire,
											nous pensons savoir.
											Les gens pensent savoir plus
qu'ils n'en sachent vraiment.
											Ou ils sous-estiment
ce qu'ils ne savent pas.
									","
											Dunning-Kruger.
											Dois eruditos de Cornell
apareceram com o efeito Dunning-Kruger.
											Se consultarem o artigo,
revisto pelos pares, para isto,
											está cheio de todo o tipo
duma terminologia sofisticada:
											é um ilusório complexo de superioridade,
em que pensamos que sabemos coisas.
											Por outras palavras, as pessoas pensam
que sabem mais do que sabem.
											Ou subestimam aquilo que não sabem.
									","
											Dunning-Kruger.
											Zwei Gelehrte aus Cornell brachten
den Dunning-Kruger Effekt auf.
											Wenn Sie sich das bereits
geprüfte Paper dazu anschauen,
											werden Sie jegliche ausgefallene
Fachsprache finden:
											Es ist ein illusorischer Überlegenheits-
komplex, zu denken wir wissen etwas.
											Mit anderen Worten: Menschen glauben
mehr zu wissen, als sie tatsächlich tun.
											Oder sie unterschätzen,
was sie nicht wissen.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Et puis il y a la dissonance cognitive.
											La dissonance cognitive est intéressante.
											C'était le jour de la marmotte il y a peu.
											Il n'y a pas de meilleure définition
de la dissonance cognitive
											qu'une personne intelligente me demandant
si la prévision d'un rongeur est exacte.
									","
											Depois temos a dissonância cognitiva.
											A dissonância cognitiva é interessante.
											Tivemos há pouco tempo
o Dia da Marmota, não foi?
											Não há melhor definição
para a dissonância cognitiva
											do que pessoas inteligentes
a perguntarem-me
											se a previsão de um roedor é rigorosa.
									","
											Und dann sind da kognitive Dissonanzen.
											Kognitive Dissonanzen sind interessant.
											Vor kurzem war Murmeltiertag, stimmt's?
											Es gibt keine bessere Definition
für kognitive Dissonanzen
											als intelligente Leute, die mich fragen,
ob eine Nagetier-Vorhersage zutrifft.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											(Risos)
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Mais on me le demande constamment.
									","
											Mas estou sempre a encontrar isso.
									","
											Aber ich werde das ständig gefragt.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											(Risos)
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											J'entends aussi parler
de l’almanach des fermiers.
											Nous avons grandi avec, les gens
connaissent l'almanach des fermiers.
											Le problème est qu'il n'est correct
que 37% du temps,
											d'après des études
de l'université Penn State.
											Nous vivons une ère scientifique
											où nous pouvons prévoir la météo.
											Croyez-le ou non, je sais que certains
se disent : « Oui, c'est ça »,
											nos prévisions météos sont correctes
90% du temps ou plus.
											Vous avez juste tendance à vous rappeler
des erreurs occasionnelles.
									","
											Mas também oiço falar
do Almanaque do Agricultor.
											Crescemos com o Almanaque do Agricultor,
toda a gente o conhece.
											O problema é que só acerta em 37%,
											segundo estudos 
da Universidade Penn State.
											Estamos numa era da ciência
											em que podemos prever o tempo.
											Podem não acreditar, e sei
que alguns de vocês dirão: ""Ok, certo"".
											Somos 90% rigorosos, ou mais,
com a previsão do tempo,
											mas vocês só se lembram
de um engano ocasional.
									","
											Auch ich höre vom Bauernkalender.
											Wir sind mit den Bauernweisheiten groß
geworden, Leute sind damit vertraut.
											Das Problem ist, dass sie laut einer
Studie der 'Penn State University'
											nur zu 37 % zutreffend sind.
											Aber wir befinden uns
in der Zeit von Wissenschaft,
											in der wir tatsächlich
das Wetter vorhersagen können.
											Ob Sie es glauben oder nicht und
einige von Ihnen denken: ""Ja, klar"",
											aber unsere Wettervorhersagen
treffen zu 90 % zu.
											Sie neigen nur dazu, sich eher an
den gelegentlichen Fehler zu erinnern.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											(Risos)
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Le biais de confirmation,
Dunning-Kruger et la dissonance cognitive.
											Je pense qu'ils modèlent
											les préjugés et perceptions
que les gens ont de la science.
											Il y a l'alphabétisation
et la mésinformation
											qui nous piègent également.
											Durant la saison cyclonique de 2017,
											les organes de presse
ont dû mandater des journalistes
											pour nier la validité
de fausses informations
											liées aux prévisions météorologiques.
											Nous vivons dans cette ère-là.
											J'y fais constamment face
sur les réseaux sociaux.
											Quelqu'un tweete une prévision —
											ici une prévision sur l'ouragan Irma,
mais le problème est :
											elle n'est pas issue
du centre national des ouragans.
											Les gens ont tweeté et partagé cela,
c'est devenu viral.
											Cela ne venait pas du tout
du centre national des ouragans.
									","
											Portanto, preconceito de confirmação
e dissonância cognitiva Dunning-Kruger.
											Penso que eles modelam os preconceitos
que as pessoas têm sobre a ciência.
											Mas depois, há a literacia
e a desinformação
											que também nos mantêm agarrados.
											Durante a estação dos furacões de 2017,
											os ""media"" tiveram 
de encarregar repórteres
											para desmontar informações falsas
sobre a previsão do tempo.
											É esta a era em que estamos.
											Estou sempre a lidar com isto
nas redes sociais.
											Alguém publica um ""tweet"" com uma previsão
											que é uma previsão sobre o Furacão Irma.
											O problema é que não surgiu
do Centro dos Furações.
											Mas as pessoas publicam os ""tweets""
e partilham-nos, é viral.
											Não surgiram do Centro Nacional
dos Furações.
									","
											Also Bestätigungsfehler, Dunning-Kruger
und kognitive Dissonanzen.
											Ich denke diese drei Dinge formen
die Wahrnehmung von Wissenschaft.
											Oben drauf kommt noch die Fähigkeit
zu lesen und Falschinformationen,
											welche uns zusätzlich einkapseln.
											Während der Hurricane-Saison in 2017
											mussten Medienunternehmen
Reporter anweisen,
											keine Falschinformationen über
Wettervorhersagen zu verbreiten.
											Das ist das Zeitalter in dem wir leben.
											Ich kämpfe ständig
in sozialen Netzwerken dagegen.
											Jemand wird eine Vorhersage tweeten —
											es ist eine Prognose für Hurricane Irma,
es gibt nur ein Problem:
											Sie kam nicht vom Hurricane-Zentrum.
											Aber Leute tweeteten und verbreiteten es.
											Es kam nur nicht im Ansatz vom
nationalen Hurricane-Zentrum.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											J'ai passé 12 ans de ma carrière à la NASA
											avant de venir à l'université de Géorgie
											et je préside leur conseil consultatif
des sciences de la Terre,
											j'y étais la semaine dernière.
											J'ai vu des choses très intéressantes.
											Voici un modèle de la NASA
et des données scientifiques satellite
											montrant la saison cyclonique de 2017.
											Vous voyez l'ouragan Harvey là ?
											Regardez toute la poussière
partant d'Afrique.
											Regardez tous les incendies au nord-ouest
des États-Unis et dans l'ouest du Canada.
											Puis vient l'ouragan Irma.
											Je trouve cela fascinant.
											Certes, je suis passionné de météorologie.
											Mais surtout, cela illustre
que nous avons la technologie
											pour observer la météo
et le système climatique,
											mais aussi pour le prévoir.
											Il y a une compréhension scientifique,
											il n'y a donc pas besoin
de ces perceptions et préjugés
											que nous avons évoqués.
											Nous avons des connaissances.
									","
											Por isso, passei 12 anos
da minha carreira na NASA
											antes de vir
para a Universidade da Geórgia
											e presidi à Comissão Consultiva
das Ciências da Terra
											Estive até na semana passada.
											Vi coisas muito interessantes.
											Este é um modelo da NASA
e dados científicos de satélite
											que mostram a estação
de furacões de 2017.
											Veem ali o Furacão Harvey?
											Reparem na poeira que parte de África.
											Reparem nos incêndios a noroeste dos EUA
e a oeste do Canadá.
											Lá vem o Furacão Irma.
											Isto, para mim, é fascinante.
											Mas, reconheço, sou um fanático do tempo.
											Mais importante ainda, ilustra
que temos a tecnologia
											não só de observar o tempo
e o sistema climático,
											mas também de o prever.
											Há compreensão científica
											por isso não há necessidade
dessas perceções e preconceitos
											de que temos estado a falar.
											Temos o conhecimento.
									","
											Ich verbrachte 12 Jahre
meiner Karriere bei NASA
											bevor ich zur Universität von Georgia kam
											und ich sitze in ihrem
Beratungskomitee der Erdwissenschaft;
											ich war erst letzte Woche dort in DC.
											Ich habe einige sehr
interessante Sachen gesehen.
											Hier ein NASA Model und
wissenschaftliche Satellitendaten,
											welche die Hurricane Saison 2017 zeigen.
											Sehen Sie Hurricane Harvey?
											Sehen Sie den Staub, der von Afrika kommt;
											all die Lauffeuer in den nordwestlichen
USA und West-Kanada.
											Dort kommt Hurricane Irma.
											So etwas fasziniert mich.
											Aber zugegeben: Ich bin ein Wetter Geek.
											Aber insbesondere zeigt es,
dass wir die Technologie besitzen,
											das Wetter und Klimasystem
nicht nur zu beobachten,
											sondern es vorherzusagen.
											Es gibt wissenschaftliche
Grundlagen hierfür,
											also gibt es keinen Grund für einige
der Wahrnehmungen und Vorurteile
											über die wir sprachen.
											Wir haben das Wissen.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
