en,fr,pt,es,title,speaker,duration,tags
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											Now, the bathroom is an example
											of where design impinges upon my dignity,
											but the physical environment impacts
upon me in much more casual ways too,
											something as simple
as ordering a cup of coffee.
											Now, I'll admit it.
											I drink far too much coffee.
											My order is a skinny vanilla latte,
											but I'm trying
to wean myself off the syrup.
											But the coffee shop,
it's not designed well,
											at least not for me.
											Queuing, I'm standing
beside the pastry cabinet
											and the barista calls for the next order.
											""Next, please!"" they shout.
											They can't see me.
											The person next to me in the queue
points to my existence
											and everyone is embarrassed.
											I order as quick as I can
and I move along to collect my coffee.
											Now, think just for a second.
											Where do they put it?
											Up high and without a lid.
											Reaching up to collect a coffee
that I have paid for
											is an incredibly dangerous experience.
									","
											Les toilettes sont un exemple
											de conception qui empiète sur ma dignité
											mais l'environnement physique m'affecte
de façons bien plus banales,
											des choses simples
comme commander un café.
											Je l'admets,
											je bois beaucoup trop de café.
											Je prends un café
aromatisé à la vanille au lait écrémé
											mais j'essaye de faire
un sevrage de sirop.
											Le café n'est pas bien conçu,
											en tout cas pas pour moi.
											Dans la queue, je me tiens
prêt de la vitrine de pâtisseries
											et le serveur appelle le suivant.
											« Suivant s'il vous plaît », crie-t-il.
											Il ne peut pas me voir.
											La personne derrière moi dans la queue
pointe mon existence
											et tout le monde est embarrassé.
											Je commande aussi vite que possible
et m'avance pour récupérer mon café.
											Réfléchissez un instant.
											Où le mettent-ils ?
											En hauteur et sans couvercle.
											Essayer d'atteindre un café que j'ai payé
											est une expérience
incroyablement dangereuse.
									","
											A casa de banho é um exemplo
											em que o ""design""
compromete a minha dignidade,
											mas o espaço físico também tem impacto
de formas mais corriqueiras,
											uma coisa tão simples como
pedir uma chávena de café.
											Reconheço que bebo mais café do que devia.
											Peço café com leite magro e baunilha,
											mas estou a tentar reduzir o açúcar.
											Mas o café não tem
um ""design"" muito bom,
											pelo menos para mim.
											Enquanto espero, estou de pé
atrás da vitrina dos doces
											e o empregado chama o seguinte da fila.
											""O próximo, por favor!"", grita.
											Ele não me vê.
											A pessoa ao meu lado aponta para mim
											e todos se sentem envergonhados.
											Eu faço o pedido o mais rápido
possível e tenho que levar o meu café.
											Pensem por segundos.
											Onde é que colocam o café?
											Lá em cima e sem tampa.
											Esticar-me para pegar no café
que paguei
											é uma experiência extremamente perigosa.
									","
											El baño es un ejemplo de cómo
el diseño impacta mi dignidad,
											pero el ambiente físico me afecta
de manera mucho más informal también,
											algo tan simple como pedir un café.
											Lo admito,
											bebo demasiado café.
											Tomo latte descremado de vainilla,
											pero trato de alejarme del jarabe.
											La cafetería no está bien diseñada,
											por lo menos no para mí.
											Cola, estoy de pie
al lado del gabinete de pastelería
											y el barista llama para el próximo pedido.
											""¡Siguiente, por favor!"", grita.
											No puede verme.
											La persona a mi lado en la cola
señala mi existencia
											y todo el mundo está avergonzado.
											Pido lo más rápidamente posible
y avanzo para conseguir mi café.
											Ahora, piensen un segundo.
											¿Dónde lo ponen?
											Alto y sin tapa.
											Llegar a recoger un café
que he pagado
											es una experiencia increíblemente peligrosa.
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											But design also impinges
on the clothes that I want to wear.
											I want garments
that reflect my personality.
											It's difficult to find
in the childrenswear department.
											And often womenswear
requires far too many alterations.
											I want shoes that affect my maturity,
professionalism and sophistication.
											Instead, I'm offered sneakers
with Velcro straps and light-up shoes.
											Now, I'm not totally opposed
to light-up shoes.
									","
											Mais la conception empiète aussi
sur les vêtements que je veux porter.
											Je veux des vêtements
qui reflètent ma personnalité.
											C'est difficile à trouver
dans les vêtements pour enfant.
											Souvent, les vêtements pour femme
requièrent souvent trop de retouches.
											Je veux des chaussures
attestant de ma maturité,
											de mon professionnalisme
et de ma sophistication.
											A la place, on m'offre des baskets
avec des scratchs faisant de la lumière.
											Je ne suis pas contre
des chaussures faisant de la lumière.
									","
											O ""design"" também limita
as roupas que eu quero usar.
											Eu gosto de roupas
que reflitam a minha personalidade.
											E é difícil encontrá-las
no departamento infantil.
											Frequentemente as roupas femininas
precisam de muitas alterações.
											Eu quero sapatos que denotem maturidade,
profissionalismo e sofisticação.
											Mas a mim oferecem-me ténis
com Velcro ou sapatos com luzes.
											Não tenho nada contra
sapatos com luzes.
									","
											Pero el diseño también afecta
la ropa que quiero usar.
											Quiero prendas que 
reflejen mi personalidad.
											Es difícil encontrar
en la tienda de ropa para niños.
											Y a menudo la ropa de mujer
requiere demasiados ajustes.
											Quiero zapatos acordes a mi madurez,
profesionalidad y sofisticación.
											En cambio, ofrecen zapatillas de deporte
con correas de velcro y zapatos con luz.
											No estoy totalmente en contra
de la luz de los zapatos.
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											But design also impacts
on such simple things,
											like sitting on a chair.
											I cannot go from a standing
to a seating position with grace.
											Due to the standards
of design heights of chairs,
											I have to crawl on my hands and knees
											just to get on top of it,
											whilst also being conscious
that it might tip over at any stage.
									","
											Mais le design
influence aussi des choses simples
											comme s'asseoir sur une chaise.
											Je ne peux pas passer d'une position
debout à assise gracieusement.
											Du fait des standards de design
de la hauteur des chaises,
											je dois prendre appui
sur mes mains et genoux
											juste pour monter sur la chaise,
											tout en étant consciente
que je pourrais basculer à tout moment.
									","
											Mas o ""design"" é algo que
tem impacto em pequenas coisas,
											como sentarmo-nos numa cadeira.
											Eu não posso estar de pé
e sentar-me graciosamente.
											Devido aos padrões do ""design""
para a altura das cadeiras,
											preciso de me arrastar
usando as mãos e os joelhos
											para chegar à parte de cima,
											tendo a noção de que a cadeira
pode virar-se a qualquer momento.
									","
											Pero el diseño también afecta
a cosas tan sencillas
											como sentarse en una silla.
											No puedo pasar con gracia 
de estar de pie a estar sentada.
											Debido a los estándares de las
alturas de diseño de las sillas,
											tengo que apoyarme en manos y rodillas
solo para subir a la silla,
											y soy consciente de que
podría volcar en cualquier momento.
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											But whilst design impacts on me
											whether it's a chair,
a bathroom, a coffee shop, or clothes,
											I rely on and benefit
											from the kindness of strangers.
											But not everybody is so nice.
											I'm reminded that I'm a little person
											when a stranger points,
											stares,
											laughs,
											calls me a name,
											or takes a photograph of me.
											This happens almost every day.
											With the rise of social media,
it has given me an opportunity
											and a platform to have a voice
as a blogger and as an activist,
											but it has also made me nervous
											that I might become a meme
											or a viral sensation,
											all without my consent.
									","
											Mais si le design m'affecte
											que ce soit une chaise, des toilettes,
un café ou des vêtements,
											je bénéfice et compte
											sur la gentillesse d'inconnus.
											Tout le monde n'est pas si gentil.
											On me rappelle que je suis petite
											quand un inconnu me pointe du doigt,
											me fixe,
											rigole,
											m'insulte
											ou prend une photo de moi.
											Cela arrive presque tous les jours.
											L'essor des réseaux sociaux,
m'a donné une opportunité
											et une plateforme pour avoir une voix
en tant que blogueuse et activiste
											mais m'a aussi rendue nerveuse
											à l'idée de devenir un mème
											ou de devenir virale
											sans mon consentement.
									","
											A despeito de como o ""design"" me afeta,
											seja uma cadeira, uma casa de banho,
um café ou roupas,
											eu confio e beneficio
											da bondade de estranhos.
											Mas nem toda a gente é tão simpática.
											Eu dou-me conta de ser
uma pessoa pequenina
											quando um estranho aponta,
											fica a olhar,
											se ri,
											chama-me um nome,
											ou me tira fotografias.
											Isso acontece quase todos os dias.
											O aparecimento das redes sociais
deu-me a oportunidade
											e uma plataforma para ter voz
como ""blogger"" e ativista,
											mas também me deixa apreensiva
											de que me transforme num ""meme""
											ou numa sensação viral,
											sem o meu consentimento.
									","
											Pero si bien el diseño me impacta
											ya sea una silla, un cuarto de baño,
una cafetería, o una prenda de vestir,
											confío y me beneficio de
la bondad de los extraños.
											Pero no todo el mundo es tan agradable.
											Recuerdo mi baja estatura
cuando un extraño me señala,
											me mira fijo, se ríe, me insulta,
o me toma una foto.
											Esto me sucede casi a diario.
											El surgimiento de los medios sociales
me ha dado una oportunidad;
											es una plataforma para tener una voz
como un blogger y como activista,
											pero también me pone nerviosa
											convertirme en un meme
o en una sensación viral,
											sin mi consentimiento.
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											So let's take a moment right now
											to make something very clear.
											The word ""midget"" is a slur.
											It evolved from PT Barnum's era
of circuses and freak shows.
											Society has evolved.
											So should our vocabulary.
											Language is a powerful tool.
											It does not just name our society.
											It shapes it.
									","
											Prenons un instant maintenant
											pour éclaircir quelque chose.
											Le mot « nabot » est une insulte.
											Il est issu de l'ère du cirque Barnum
et de ses spectacles de monstres.
											La société a évolué.
											Notre vocabulaire devrait évoluer.
											Le langage est un outil puissant.
											Il ne fait pas que nommer notre société,
											il la façonne.
									","
											Vamos parar por um momento
											e deixar algo bem claro.
											A palavra ""anão"" é pejorativa.
											Evoluiu da era dos circos de PT Barnum
e dos espetáculos de aberrações.
											A sociedade evoluiu.
											O vocabulário precisa de fazer o mesmo.
											A linguagem é uma ferramenta poderosa.
											Não se limita a dar um nome
à nossa sociedade.
											Modela-a.
									","
											Así que ahora tomémonos un momento
para dejar algo muy en claro.
											La palabra ""enano"" es un insulto.
											Viene de la época del circo Barnum
y sus espectáculos de monstruos.
											La sociedad ha evolucionado.
											Y nuestro vocabulario debe evolucionar.
											El lenguaje es una herramienta poderosa.
											No solo nomina a nuestra sociedad,
											sino que le da forma.
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											I am incredibly proud
to be a little person,
											to have inherited
the condition of achondroplasia.
											But I am most proud to be Sinead.
											Achondroplasia is
the most common form of dwarfism.
											Achondroplasia translates
as ""without cartilage formation.""
											I have short limbs
and achondroplastic facial features,
											my forehead and my nose.
											My arms do not straighten fully,
											but I can lick my elbow.
											I'm not showing you that one.
											Achondroplasia occurs in approximately
one in every 20,000 births.
											80 percent of little people
are born to two average-height parents.
											That means that anybody in this room
could have a child with achondroplasia.
											Yet, I inherited my condition from my dad.
											I'd like to show you a photo of my family.
											My mother is average height,
											my father is a little person
											and I am the eldest of five children.
											I have three sisters and one brother.
											They are all average height.
											I am incredibly fortunate
to have been born into a family
											that cultivated
my curiosity and my tenacity,
											that protected me from the unkindness
and ignorance of strangers
											and that armed me with the resilience,
creativity and confidence
											that I needed to survive and manipulate
the physical environment and society.
											If I was to pinpoint any reason
why I am successful,
											it is because I was
and I am a loved child,
											now, a loved child
with a lot of sass and sarcasm,
											but a loved child nonetheless.
									","
											Je suis extrêmement fière
d'être une petite personne,
											d'avoir hérité de la pathologie
d'achondroplasie.
											Mais je suis surtout fière d'être Sinead.
											L'achondroplasie est la forme
la plus commune de nanisme.
											Achondroplasie peut se traduire par
« sans formation cartilagineuse ».
											J'ai des membres courts
											et des caractéristiques faciales
d'achondroplasie,
											mon front et mon nez.
											Mes bras ne se déplient pas complètement
											mais je peux lécher mon coude.
											Je ne vous le montrerai pas.
											L'achondroplasie apparaît
chez environ un bébé sur 20 000.
											80% des gens petits sont nés
de deux parents de taille moyenne.
											Quiconque dans la pièce pourrait
avoir un enfant atteint d'achondroplasie.
											Mais j'ai hérité
ma pathologie de mon père.
											J'aimerais vous montrer
une photo de ma famille.
											Ma mère est de taille moyenne,
											mon père est une petite personne
											et je suis l'aînée de cinq enfants.
											J'ai trois sœurs et un frère.
											Ils font tous une taille moyenne.
											J'ai eu la chance incroyable
de naître dans une famille
											qui a cultivé ma curiosité et ma ténacité,
											cela m'a protégée de la méchanceté
et de l'ignorance des inconnus
											et m'a armée de la résilience,
de la créativité et de la confiance en moi
											nécessaires pour survivre et manipuler
l'environnement physique et la société.
											Si je devais identifier
une raison à ma réussite,
											c'est parce que j'étais
et suis une enfant aimée,
											une enfant aimée
pleine d'insolence et de sarcasme,
											mais une enfant aimée malgré tout.
									","
											Eu tenho orgulho em ser
uma pessoa pequenina,
											por ter herdado acondroplasia.
											Mas tenho mais orgulho
em chamar-me Sinéad.
											A acondroplasia é a forma
mais comum de nanismo.
											A tradução de acondroplasia é
""sem formação de cartilagem"".
											Eu tenho membros curtos
e feições acondroplásticas,
											a minha testa e o meu nariz.
											Os meus braços não se 
endireitam totalmente
											mas eu posso lamber o meu cotovelo.
											Não vos vou mostrar isso.
											A acondroplasia ocorre em
cerca de um em cada 20 000 nascimentos.
											80% das pessoas pequeninas nascem
de pais de estatura dentro da média.
											Isso significa que qualquer pessoa aqui 
podia ter um filho com acondroplasia.
											Eu herdei a minha situação do meu pai.
											Gostava de mostrar
uma foto da minha família.
											A minha mãe tem uma estatura mediana,
											o meu pai é pequenino
											e eu sou a mais velha
de cinco filhos.
											Tenho três irmãs e um irmão.
											Todos eles têm uma estatura mediana.
											Eu tenho muita sorte
por ter nascido numa família
											que estimulou a minha
curiosidade e tenacidade,
											que me protegeu da maldade
e da ignorância de estranhos
											e que me armou com a força,
a criatividade e a confiança
											de que preciso para sobreviver e controlar
o ambiente físico e a sociedade.
											Se eu tivesse que escolher uma razão
para definir o meu sucesso,
											seria o facto de ter sido
e ainda ser uma criança amada,
											uma criança amada
com muita insolência e sarcasmo,
											mas amada acima de tudo.
									","
											Estoy increíblemente orgullosa
de mi estatura,
											de haber heredado la acondroplasia.
											Pero más orgullosa, de ser Sinéad.
											La acondroplasia es la forma
más común de enanismo.
											La acondroplasia puede traducirse
como ""sin formación de cartílago"".
											Tengo extremidades cortas
y rasgos faciales acondroplásicos,
											mi frente y mi nariz.
											Mis brazos no se enderezan por completo,
pero puedo lamer mi codo.
											No lo voy a demostrar.
											La acondroplasia se produce en
uno de cada 20 000 nacimientos.
											El 80 % de las personas de baja estatura
nacen de padres de talla media.
											Eso significa que cualquiera en esta sala
podría tener un hijo con acondroplasia.
											Sin embargo, la heredé de mi papá.
											Me gustaría mostrarles
una foto de mi familia.
											Mi madre tiene altura promedio,
											mi padre es de baja estatura,
y yo soy la mayor de cinco hijos.
											Tengo tres hermanas y un hermano.
											Todos tienen altura media.
											Soy increíblemente afortunada
de haber nacido en una familia
											que cultivó mi curiosidad y mi tenacidad,
											que me protegió de la maldad
y de la ignorancia de los extraños
											y eso me armó con la resiliencia,
la creatividad y la confianza
											que necesitaba para sobrevivir y manipular
el ambiente físico y la sociedad.
											Si tuviera que identificar una razón
de por qué tengo éxito,
											es porque fui y soy una niña amada,
											una niña amada llena
de insolencia y sarcasmo,
											pero niña amada al fin.
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
