pt,en,fr,de,title,speaker,duration,tags
"
											(Risos)
									","
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
											Estou a brincar.
									","
											I'm just kidding.
									","
											Je plaisante.
									","
											War 'n Scherz.
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
											(Risos)
									","
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
											O que realmente me entusiasma nestas tempestades
											é o seu movimento, a maneira como 
redemoinham e giram e ondulam
											com as suas nuvens 'mammatus'
semelhantes a candeeiros de lava.
											Tornam-se monstros adoráveis.
									","
											What really excites me about these storms
											is their movement, the way they swirl and spin and undulate,
											with their lava lamp-like mammatus clouds.
											They become lovely monsters.
									","
											Ce qui m'excite vraiment dans les tempêtes,
											c'est leur mouvement, la façon 
dont elles tourbillonnent, tournes et ondulent,
											avec leurs altocumulus mamma
comme des lampes à lave.
											Elles deviennent des monstres adorables.
									","
											Was mich an diesen Stürmen
wirklich beeindruckt,
											ist ihre Bewegung, wie sie herumwirbeln,
sich drehen, Wellen bilden,
											mit ihren Mammatus-Wolken
wie Lava-Lampen.
											Sie werden zu herrlichen Monstern.
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
											Quando estou a fotografá-las
											não consigo deixar de me recordar 
da lição do meu avô.
											Enquanto permaneço debaixo delas
											vejo, não apenas a nuvem
											mas compreendo que tenho o privilégio de testemunhar
											as mesmas forças, o mesmo processo
numa versão à escala reduzida
											do que ajudou a criar a nossa galáxia,
o nosso sistema solar, o nosso sol
											e até este mesmo planeta.
									","
											When I'm photographing them,
											I cannot help but remember my grandfather's lesson.
											As I stand under them,
											I see not just a cloud,
											but understand that what I have the privilege to witness
											is the same forces, the same process in a small-scale version
											that helped to create our galaxy, our solar system, our sun
											and even this very planet.
									","
											Quand je les photographie
											je ne peux m'empêcher de me rappeler
de la leçon de mon grand-père.
											Quand je suis en dessous,
											je ne vois pas qu'un seul nuage,
											mais je comprends que ce à quoi
j'ai le privilège d'assister
											sont les mêmes forces, le même processus 
dans une version à petite échelle
											qui a contribué à la création de notre galaxie, 
notre système solaire, notre soleil
											et cette planète même.
									","
											Wenn ich sie fotografiere
											muss ich immer an Großvaters Lektion denken.
											Wenn ich unter ihnen stehe,
											sehe ich nicht nur eine Wolke,
											sondern verstehe, dass das, was ich gerade
											sehen darf, die gleiche Kraft,
der gleiche Vorgang im Kleinen ist,
											der unsere Galaxie, unser Sonnensystem,
unsere Sonne,
											und sogar diesen Planeten gebildet hat.
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
											Todas as minhas relações. Obrigada.
									","
											All my relations. Thank you.
									","
											En toute amitié. Merci.
									","
											""All my relations."" Vielen Dank.
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
											(Aplausos)
									","
											(Applause)
									","
											(Applaudissements)
									","
											(Beifall)
									",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
"
","
","
","
",Photos from a storm chaser,Camille Seaman,3:26,"TED Fellows,entertainment,nature,photography,weather"
