en,pt,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											Of course, the answer is obvious
if you think about it
											or if you look at the picture on the left,
											where you're seeing the same neighborhood
taken during a blackout
											versus on an ordinary night.
											You can't see the stars
if you drown them out with light.
											Take a look at our planet.
											This is our planet from space.
											Unlike stars, which are hot and glow
invisible light so we can see them,
											our planet is, astronomically
speaking, pretty cold.
											So it doesn't really glow.
											When you see the planet looking
like a blue-green marble
											the way it does in this picture,
											you're seeing it because the sunlight
is reflecting off of it,
											and that's why you can see
the oceans, the clouds, the land.
											So if the sun wasn't shining on it,
											we wouldn't be able
to see the earth, right?
											Or would we?
									","
											Claro, a resposta é óbvia,
se pensarem nisso
											ou se olharem para a imagem à esquerda,
											onde veem o mesmo bairro
durante um apagão
											e numa noite normal.
											Não é possível ver estrelas
se elas forem abafadas por luzes.
											Vejam o nosso planeta.
											É o nosso planeta visto do espaço.
											Ao contrário das estrelas, que são quentes
											e irradiam luz invisível,
por isso as vemos,
											o nosso planeta é,
astronomicamente falando, muito frio.
											Por isso, na verdade, não brilha.
											Quando vemos o planeta
como se fosse um berlinde azul-esverdeado,
											como está nesta imagem,
											vemo-lo porque a luz do sol
se reflete nele
											e é por isso que vemos 
os oceanos, as nuvens, os continentes.
											Se o sol não se refletisse nela,
											não conseguíamos ver a Terra, pois não?
											Ou conseguíamos?
									","
											La respuesta es obvia si nos
detenemos a pensar,
											o si miramos esta imagen de la izquierda,
											donde vemos el mismo vecindario
durante un apagón
											a diferencia de una noche común.
											No es posible ver las estrellas 
si las luces las opacan.
											Veamos nuestro planeta.
											Este es nuestro planeta visto 
desde el espacio.
											A diferencia de las estrellas,
											que tienen altas temperaturas y emiten
una luz que nos posibilita verlas,
											nuestro planeta es, desde el punto
de vista astronómico, bastante frío.
											Por eso no brilla.
											Cuando el planeta se ve como
una esfera azul verdosa,
											como en esta imagen,
											lo vemos porque refleja la luz del sol
											y en consecuencia podemos ver
los océanos, las nubes, los territorios.
											Es decir que si el sol 
no iluminara la Tierra,
											no podríamos verla, ¿correcto?
											¿Pero ... es realmente así?
									","
											Tabii, düşünürseniz
ya da zifiri karanlıkta ve
											sıradan bir gecede çekilmiş aynı yerin
											şu fotoğrafına bakarsanız,
											cevap aşikardır.
											Yıldızları ışıkla bastırdığınız
zaman, onları göremezsiniz.
											Gezegenimize bir bakın.
											Gezegenimizin uzaydan görüntüsü.
											Gezegenimiz, sıcak ve onları görebilmemiz
için görünmez ışık saçan yıldızların
											aksine, gök bilimsel açıdan,
oldukça soğuktur.
											Yani gerçekte parlamaz.
											Bu resimde olduğu gibi,
gezegeni bir yeşil-mavi mermer gibi
											görmenizin nedeni,
											güneş ışığını yansıtıyor olmasıdır
ve okyanusları, bulutları, karayı
											görebilmemizin nedeni de budur.
											Yani eğer üzerinde güneş parlamasaydı,
											dünyayı göremezdik, değil mi?
											Yoksa görür müydük?
									","
											Bien sûr, la réponse
est évidente quand on y pense
											ou si on regarde la photo sur la gauche,
											où l'on voit le même quartier photographié
durant d'une panne d'électricité
											et durant une nuit ordinaire.
											Impossible de voir les étoiles
si elles sont noyées dans la lumière.
											Regardez notre planète.
											Voici notre planète depuis l'espace.
											Contrairement aux étoiles qui sont chaudes
et rayonnent d'une lumière invisible,
											ce qui fait que nous les voyons,
											notre planète est, astronomiquement
parlant, plutôt froide.
											Elle ne brille pas vraiment.
											Quand vous voyez la planète
ressemblant à une bille bleue et verte
											comme sur cette photo,
											vous la voyez car la lumière
du soleil se reflète dessus
											et cela vous permet de voir
les océans, les nuages, la terre.
											Si le soleil ne l'éclairait pas,
nous ne pourrions pas voir la Terre.
											Ou peut-être que si ?
									","
											Die Antwort ist offensichtlich,
wenn Sie darüber nachdenken
											oder sich das linke Bild ansehen,
											auf dem Sie dieselbe Nachbarschaft
während eines Stromausfalls sehen
											und in einer normalen Nacht.
											Sterne sind nicht sichtbar,
wenn man sie mit Licht übertönt.
											Sehen Sie sich unseren Planeten an.
											Unser Planet aus dem Weltall.
											Anders als Sterne, die heiß sind
und leuchten, damit wir sie sehen,
											ist unser Planet sehr kalt,
astronomisch gesehen.
											Also leuchtet er nicht.
											Wenn Sie den Planeten
als blau-grüne Murmel sehen,
											wie in diesem Bild,
											liegt das am Sonnenlicht,
das von der Erde reflektiert wird.
											Aus diesem Grund können Sie
Meere, Wolken und Land sehen.
											Würde die Sonne sie nicht anstrahlen,
											könnten wir die Erde nicht sehen, richtig?
											Oder könnten wir?
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											This is our earth at night,
											and it is one of the most
striking examples
											of how we have affected
our planet on a global scale.
											You can see light spidering out
across the globe everywhere.
											Now, of course, there are broad expanses
of ocean that are still dark,
											and in many underdeveloped areas
there's still darkness.
											But you'll notice
that this is a pretty global effect.
											We tend to think, when we think
of places being lit up,
											of very extreme examples —
Times Square, the Vegas Strip.
											But really what that picture shows you
											is that it's not just
these extreme examples,
											it's anywhere that uses outdoor lighting.
											This tends to be a really
dramatic effect on the ground.
									","
											Isto é a nossa Terra à noite,
											é um dos exemplos mais óbvios
											de como temos afetado
o nosso planeta a uma escala global.
											Podemos ver luz a espalhar-se 
por todo o planeta.
											Claro que há áreas extensas
de oceano que ainda estão escuras
											e em muitas zonas subdesenvolvidas
ainda está escuro.
											Mas vão notar que é um efeito
praticamente global.
											Tendemos a pensar, quando pensamos
em locais iluminados,
											em exemplos bastante extremos
— Times Square, The Strip em Las Vegas.
											Mas o que a imagem nos mostra de verdade
											não são só estes exemplos extremos,
											é qualquer local que tenha 
iluminação exterior.
											Isso tende a criar um efeito 
bastante dramático no solo.
									","
											Esta es la Tierra de noche,
											y es uno de los ejemplos más claros
											de lo mucho que hemos perjudicado 
nuestro planeta a escala global.
											Podemos ver luces diseminadas
por todo el planeta.
											Obviamente, hay grandes extensiones
de océanos que aún están a oscuras,
											y muchas zonas subdesarrolladas
todavía están sin luz.
											Pero, como pueden ver, 
el efecto es de alcance bastante global.
											Cuando hablamos de lugares
iluminados, tendemos a pensar
											en ejemplos extremos:
Times Square, la Franja de las Vegas.
											Pero, en realidad, las imágenes muestran
											que no se trata únicamente
de estos ejemplos extremos,
											sino de cualquier lugar
con alumbrado exterior.
											Esto tiende a causar un efecto
muy grande sobre el suelo.
									","
											Bu, dünyanın gece görüntüsü
											ve gezegenimizi küresel bir boyutta
											nasıl etkilediğimizin en çarpıcı
örneklerinden birisi de bu.
											Işığın, kürenin her yerine
yayıldığını görebilirsiniz.
											Şimdi, elbette, okyanusun hâlâ
karanlık olan engin alanları var
											ve çoğu az gelişmiş bölgede de
hâlâ karanlık var.
											Ancak bunun, oldukça küresel bir
etki olduğunu fark edeceksiniz.
											Aydınlatılan yerleri düşündüğümüzde,
genelde aşırı örnekler
											düşünmeye eğilimliyiz —
Times Meydanı, Vegas Şeridi.
											Fakat resmin aslında size gösterdiği şey
											yalnızca bu aşırı örnekler değil,
											dış aydınlatma her yerde kullanılıyor.
											Bu da yeryüzüne oldukça
dramatik bir etki oluşturuyor.
									","
											Voici la Terre de nuit
											et c'est l'un des exemples
les plus frappants
											de comment nous avons altéré
notre planète à l'échelle mondiale.
											Nous voyons la lumière
se propager sur tout le globe.
											Bien sûr, il y a de larges étendues
d'océan qui sont toujours noires
											et dans beaucoup de zones
en développement, il fait encore sombre.
											Mais vous remarquerez que c'est
un impact plutôt mondial.
											En réfléchissant aux endroits illuminés,
nous avons tendance à penser
											à des exemples extrêmes :
Times Square, le Strip à Las Vegas.
											Ce que cette photo vous montre,
											c'est que ce ne sont pas
que ces exemples extrêmes,
											c'est partout où l'on utilise
de l'éclairage extérieur.
											Ça a tendance à avoir un effet
vraiment dramatique au sol.
									","
											Das ist unsere Erde nachts
											und es ist eines der besten Beispiele,
											wie wir unseren Planeten
weltweit beeinflusst haben.
											Sie können sehen, wie sich Lichtfäden
über den ganzen Globus ausbreiten.
											Natürlich gibt es große Bereiche
im Meer, die noch dunkel sind,
											und auch in vielen Entwicklungsländern
ist es noch dunkel.
											Doch Sie werden feststellen,
dass dies ein globaler Effekt ist.
											Wenn wir an beleuchtete Plätze denken,
											denken wir häufig an Extreme —
der Times Square, der Las Vegas Strip.
											Doch was dieses Bild wirklich zeigt,
											sind nicht nur solche Extreme,
											sondern alle Orte,
die Außenbeleuchtung verwenden.
											Das neigt dazu, einen dramatischen Effekt
auf dem Boden auszulösen.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											To understand why,
											all you really have to do
is think about the shape of a lightbulb.
											The lightbulb, for all practical purposes,
											is more or less round.
											This is great for its original intended
purpose of lighting up the indoors.
											You turn it on, light goes everywhere.
											An individual light bulb can light up
your whole room, more or less.
											Now, that's great
if you're lighting the indoors,
											but in its application
in outdoor lighting,
											that traditional shape of the light bulb,
											the sort of globe that spreads
light everywhere,
											is actually very inefficient.
											When you're outdoors,
mostly what you care about
											is lighting the ground beneath you
and your immediate surroundings.
											All of that light that gets scattered
outwards and upwards
											doesn't actually help you
light the area around you.
											What it does is scatters up into the sky
											and becomes what we call
""light pollution.""
											Even if you don't care anything
about stargazing, this should worry you,
											because it means that 60-70% of the energy
we use to light the outdoors
											is wasted by blotting out the stars.
									","
											Para percebermos porquê,
											tudo o que temos de fazer
é pensar na forma de uma lâmpada.
											A lâmpada, 
para todos os efeitos práticos,
											é mais ou menos redonda.
											Isto é ótimo para os efeitos desejados
de iluminar espaços interiores.
											Acendemo-la, a luz espalha-se
por todo o lado.
											Uma única lâmpada pode iluminar
uma sala inteira, mais ou menos.
											Bom, isso é ótimo, caso estejamos
a iluminar espaços interiores,
											mas se a aplicarmos
em iluminação exterior,
											essa forma tradicional da lâmpada,
											uma espécie de globo 
que espalha luz por todo o lado,
											é, de facto, bastante ineficiente.
											Quando estamos no exterior,
o que nos preocupa mais
											é a iluminação do chão debaixo dos pés
e do ambiente circundante.
											Toda a luz que se espalha
para fora e para cima,
											não ilumina a área à nossa volta.
											Espalha-se para cima em direção ao céu
											e torna-se no que é 
a ""poluição luminosa"".
											Mesmo que não se interessem
por observar estrelas, é preocupante,
											porque significa que 60 a 70% da energia
que usamos para iluminar o exterior
											é gasta a esconder as estrelas.
									","
											Para entenderlo mejor,
											simplemente pensemos en la forma
de la bombilla eléctrica.
											Por razones prácticas, 
la bombilla eléctrica
											es más bien redonda.
											Ideal para el propósito original
de iluminar el interior.
											Uno la enciende, y la luz se proyecta
en todas las direcciones.
											En líneas generales, una sola bombilla
eléctrica puede alumbrar una sala entera.
											Excelente para iluminar un recinto,
											pero su aplicación 
en el alumbrado exterior,
											con la forma tradicional
de la bombilla eléctrica,
											—esa especie de esfera que
emite luz en varios sentidos—
											es en realidad muy poco eficiente.
											Cuando estamos afuera, 
lo que más nos interesa
											es iluminar el suelo y el entorno cercano.
											Toda esa luz que se difunde
hacia afuera y hacia arriba
											no ayuda realmente a alumbrar
las zonas cercanas.
											Lo que ocurre es que esa luz
se proyecta hacia el cielo
											y se produce lo que llamamos
""contaminación lumínica"".
											Y aunque no sepamos nada de observación
de astros, este tema debería preocuparnos
											pues significa que 
entre el 60 y el 70 % de la energía
											que usamos para iluminar el exterior
se desperdicia, y tapa las estrellas.
									","
											Nedenini anlamak için
											tek yapmanız gereken,
ampulün şeklini düşünmek.
											Ampul, tüm pratik amaçlar için,
											az çok yuvarlaktır.
											Bu da iç mekânları aydınlatmak
olan orijinal amacı için muhteşemdir.
											Açarsınız ve her yer aydınlanır.
											Bireysel bir ampul, odanızın
tamamını az çok aydınlatabilir.
											Şimdi, eğer iç mekânı
aydınlatıyorsanız bu muhteşemdir,
											fakat dış mekân aydınlatmasına
uygulandığı zaman
											ampulün geleneksel şekli,
											her yere ışık saçan bu küre türü,
											aslında çok yetersizdir.
											Dış mekândayken
ilgilendiğiniz şey çoğunlukla
											altınızdaki zemini
ve etrafınızı aydınlatmaktır.
											Dışarıya ve yukarıya yayılan
ışığın tamamı, aslında etrafınızdaki
											alanı aydınlatmaya yardımcı olmaz.
											Yaptığı şey, gökyüzüne yayılmak
											ve ""ışık kirliliği"" adlı şeye dönüşmek.
											Yıldızları izlemekle ilgilenmeseniz bile,
bu sizi endişelendirmeli
											çünkü dışarıyı aydınlatmada kullandığımız
enerjinin %60-70'inin, yıldızları
											gizleyerek harcandığı anlamına geliyor.
									","
											Pour comprendre pourquoi,
											il vous suffit de penser
à la forme d'une ampoule.
											Une ampoule, pour des raisons pratiques,
est plus ou moins ronde.
											C'est génial pour son objectif premier
d'éclairer en intérieur.
											Vous l'allumez, la lumière va partout.
											Une seule ampoule peut éclairer
plus ou moins toute votre pièce.
											C'est génial si vous éclairez en intérieur
											mais dans son application
d'éclairage en extérieur,
											cette forme traditionnelle d'ampoule,
											le genre de globe qui propage
de la lumière partout,
											est très inefficace.
											Quand vous êtes en extérieur,
vous voulez surtout
											éclairer le sol sous vos pieds
et votre environnement immédiat.
											Toute cette lumière qui est dispersée
vers l'extérieur et vers le haut
											ne vous aide pas à éclairer
la zone qui vous entoure.
											Elle se disperse dans le ciel
et devient de la « pollution lumineuse ».
											Même s'il vous importe peu de regarder
les étoiles, cela devrait vous inquiéter
											car 60 à 70% de l'énergie
utilisée pour éclairer en extérieur
											est gaspillée pour cacher les étoiles.
									","
											Die Form einer Glühbirne
erklärt Ihnen, warum.
											Eine gewöhnliche Glühbirne
											ist mehr oder weniger rund.
											Für die angedachte Verwendung
im Gebäude ist das großartig.
											Sie machen sie an;
Licht scheint überall hin.
											Eine einzelne Glühbirne
kann einen kompletten Raum erleuchten.
											Das ist großartig,
wenn Sie Innenbeleuchtung möchten,
											doch zur Anwendung als Außenbeleuchtung
											ist die Form einer Kugel,
											die in alle Richtungen leuchtet,
											tatsächlich sehr ineffizient.
											Wenn Sie draußen sind, möchten Sie,
											dass der Boden und ihre Umgebung
beleuchtet sind.
											Licht, das nach außen und oben scheint,
											hilft nicht dabei,
Ihre Umgebung zu beleuchten.
											Stattdessen zerstreut es sich im Himmel
											und wird zu ""Lichtverschmutzung"".
											Selbst, wenn Sie sich nicht für Sterne
interessieren, sollte es Sie beunruhigen,
											denn 60 bis 70 % der Energie,
die wir für draußen aufwenden,
											wird verschwendet,
um die Sterne zu verdecken.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											Now, like I said,
I'm a big fan of technology.
											Obviously, I use technology
every day; I'm a scientist.
											And there's this tendency
to say that it's progress that —
											you know, I'm not suggesting
we're going to all go live by candlelight.
											Indeed, technology is allowing us
to access the sky
											in ways that are impossible otherwise.
											One of the greatest examples of this is,
of course, the Hubble Space Telescope.
											The Hubble went up into space,
it returns pictures daily,
											and it allows us to see things
											that we are incapable of seeing
with our naked eye,
											in ways that we've never been able
to do before in all of human history.
											Other examples of this
would be planetarium shows.
											In the past couple of years, planetarium
shows have become more high-tech
											with these great visualizations,
											and even though this isn't access
directly to the sky,
											it's at least access
to our knowledge about the sky.
											And indeed, we can experience
the sky in a planetarium
											in a way that is impossible for us to do
											just sitting out and looking in the dark.
									","
											Agora, como eu disse,
sou uma grande fã de tecnologia.
											Obviamente, utilizo tecnologia
todos os dias; sou cientista.
											E há esta tendência para dizer
que é o progresso que...
											Não estou a sugerir
que vamos viver à luz das velas.
											Na verdade, a tecnologia
permite-nos aceder ao céu
											de formas que seriam 
impossíveis de outro modo.
											Um dos grandes exemplos
é o Telescópio Espacial Hubble.
											O Hubble foi para o espaço,
dá-nos fotografias diariamente,
											e permite-nos ver coisas
											que são impossíveis de ver a olho nu,
											de uma forma que nunca conseguimos 
antes, em toda a história da Humanidade.
											Outros exemplos disto 
são os espetáculos dos planetários.
											Nos últimos anos, os espetáculos
dos planetários tornaram-se mais avançados
											com visualizações ótimas,
											e, apesar de não ser 
um acesso direto ao céu,
											é, no mínimo, o acesso 
ao conhecimento que temos do céu.
											De facto, podemos usufruir
do céu num planetário
											de uma forma 
que nos é impossível fazer
											sentados lá fora,
a olhar para o escuro.
									","
											Como dije, soy gran admiradora
de la tecnología.
											Y obviamente la uso a diario,
en mi trabajo de científica.
											Y hay una tendencia a pensar
que el progreso,
											—es decir, no estoy afirmando que 
viviremos a la luz de las velas—
											la tecnología nos permite acceder al cielo
											de un modo que sería imposible sin ella.
											Uno de los mayores ejemplos es,
sin dudas, el telescopio espacial Hubble.
											Desde el espacio, el Hubble
envía imágenes todos los días,
											y nos permite ver cosas
											que no podríamos observar a simple vista,
											de un modo que jamás se pudo hacer antes,
en toda la historia de la humanidad.
											Otro ejemplo son las exhibiciones
en los planetarios.
											En los últimos años, se han incorporado
tecnologías más sofisticadas
											a estas grandes visualizaciones
											y, si bien no son 
un acceso directo al cielo,
											sí lo son, al menos, a nuestro
conocimiento del cielo.
											Efectivamente, podemos observar
el cielo en un planetario
											de una manera que sería imposible
											con sólo sentarse a contemplar
el cielo de noche.
									","
											Şimdi, dediğim gibi,
büyük bir teknoloji hayranıyım.
											Açıkçası teknolojiyi her gün
kullanıyorum; bir bilim insanıyım.
											Bunun şöyle bir süreç olduğunu
düşünme eğilimi vardır —
											bilirsiniz, bu gidişle hepimiz
mum ışığında yaşayacağız.
											Aslında teknoloji bizlere
aksi takdirde imkansız olan
											gökyüzü erişimi sağlar.
											Bunun en muhteşem örneklerinden birisi,
elbette Hubble Uzay Teleskobu.
											Hubble uzaya gitti ve
günlük resimlerle geri döndü
											ve çıplak gözle göremeyeceğimiz
											şeyleri, insanlık tarihinde daha önce
hiç yapılmamış bir şekilde
											görmemizi sağladı.
											Bir diğer örnek de
planetaryum gösterileri olabilir.
											Geçtiğimiz birkaç yılda planetaryum
gösterileri, muhteşem görselleştirmelerle
											birlikte yüksek-teknoloji hâline geldi
											ve doğrudan gökyüzüne erişmiyor olsa da,
											en azından gökyüzü
hakkındaki bilgimize erişiyor.
											Aslında, yalnızca oturup
karanlığa bakarak yapmamızın
											mümkün olmadığı biçimde, gökyüzünü
											bir planetaryumda tecrübe edebiliriz.
									","
											Comme je l'ai dit,
je suis une fan de technologie.
											Je suis une scientifique,
j'utilise de la technologie au quotidien.
											Il y a cette tendance à dire
que c'est un progrès que de...
											Je ne suggère pas que nous allions
tous vivre à la lueur des bougies.
											La technologie nous permet
d'accéder au ciel
											de façons autrement impossibles.
											Un des meilleurs exemples de cela
est le télescope spatial Hubble.
											Hubble est parti dans l'espace,
il renvoie des photos tous les jours,
											nous permettant de voir des choses
											que nous sommes
incapables de voir à l’œil nu,
											et de façon complètement nouvelle
dans l'histoire de l'humanité.
											D'autres exemples sont
les spectacles de planétarium.
											Ces dernières années, les spectacles
de planétarium sont devenus plus high-tech
											avec ces super visualisations
											et même si ce n'est pas
un accès direct au ciel,
											c'est au moins un accès
à nos connaissances sur le ciel.
											Nous pouvons voir
le ciel dans un planétarium
											tel qu'il nous est impossible de le voir
											en s'asseyant dehors
et en regardant dans le noir.
									","
											Ich bin ein großer Technik-Fan.
											Ich nutze Technik jeden Tag;
ich bin eine Wissenschaftlerin.
											Es gibt eine Tendenz zu sagen,
dass der Fortschritt —
											ich schlage keineswegs vor,
dass wir alle bei Kerzenschein leben.
											Technik ermöglicht es uns,
Zugang zum Himmel zu erlangen,
											auf Weisen, die sonst unmöglich sind.
											Das beste Beispiel dafür ist
das Hubble-Weltraumteleskop.
											Das Hubble flog ins Weltall,
schickt uns täglich Fotos
											und erlaubt uns, Dinge zu sehen,
											die wir mit bloßem Auge
nicht sehen können;
											auf eine Weise, die in der Geschichte
bisher nicht möglich war.
											Ein anderes Beispiel
sind Vorstellungen im Planetarium.
											Die Technik der Vorstellungen
hat sich in den letzten Jahren verbessert,
											mit großartigen Veranschaulichungen.
											Es ist zwar kein direkter Blick
auf den Himmel,
											aber es greift direkt auf unser Wissen
über den Himmel zurück.
											Wir können den Himmel
in einem Planetarium erleben,
											wie es uns sonst unmöglich wäre,
											wenn wir draußen
in die Dunkelheit blickten.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											All of you have heard of the Hubble
Space Telescope and of planetariums.
											But there are also ways
for technology to enable participation
											in people's experience of the sky
											that you may not be familiar with.
											These are called
""citizen science projects.""
											Citizen science is when large
research projects put their data online,
											teach ordinary people, like you,
to go and interact with that data
											and actually contribute to the research
											by making interesting or necessary
characterizations about it.
									","
											Todos vocês já ouviram falar
do Telescópio Hubble e de planetários.
											Mas também há formas
de a tecnologia permitir a participação
											nas experiências das pessoas
com o céu
											que talvez vos sejam desconhecidas.
											São os chamados
""projetos de ciência cidadã"",
											em que grandes projetos de investigação 
disponibilizam informações online,
											ensinam pessoas vulgares, como vocês,
a interagir com essas informações
											e a contribuir para a pesquisa
											através de descrições interessantes
ou necessárias sobre ela.
									","
											Supongo que ya han oído hablar
del telescopio Hubble y los planetarios,
											pero hay otras maneras en que
la tecnología puede permitir a la gente
											tener su propia experiencia con el cielo
											de un modo que quizá desconozcan.
											Se llaman ""proyectos de ciencia ciudadana""
											La ciencia ciudadana
											es la publicación en línea de datos 
de un proyecto de investigación,
											que muestra a la gente común,
cómo interactuar con esos datos
											y de este modo contribuyen 
a la investigación
											con descripciones
interesantes o necesarias.
									","
											Hepiniz Hubble Uzay Teleskobunu ve
planetaryumları duymuşsunuzdur.
											Ayrıca teknolojinin, insanların
gökyüzü tecrübelerine katılma konusunda
											başka yolları da vardır,
											bunlara aşina olmayabilirsiniz.
											İsmi ""vatandaşların bilim projeleri"".
											Büyük araştırma projeleri verilerini
çevrim içi yayınladığında, sizler gibi
											sıradan insanlara bu veriyle etkileşime
geçmeyi ve onunla ilgili ilginç ya da
											gerekli tanımlamalar yaparak araştırmaya
											katkı sağlamayı öğrettiğinde,
vatandaş bilimi gerçekleşir.
									","
											Vous avez tous entendu parlé du télescope
spatial Hubble et des planétariums.
											Mais la technologie peut aussi
permettre à chacun de participer
											à l'expérience que les gens ont du ciel
d'une nouvelle façon.
											Cela s'appelle « les projets
de science grand public ».
											La science grand public,
											c'est quand de grands projets de recherche
mettent en ligne leurs données,
											enseignent à des gens ordinaires
comment interagir avec ces données
											et vraiment contribuer à la recherche
											en les qualifiant de façon
intéressante ou nécessaire.
									","
											Sie allen kennen Planetarien
und das Hubble-Weltraumteleskop.
											Doch es gibt auch Wege,
mittels Technik daran teilzuhaben,
											wie Menschen den Himmel erleben,
											die Sie vielleicht nicht kennen.
											Sie heißen ""Bürgerwissenschafts-Projekte"":
											Große Forschungsprojekte
stellen ihre Daten online,
											bringen ganz normalen Menschen bei,
mit diesen Daten zu interagieren
											und damit zur Forschung beizutragen,
											indem wir interessante oder
notwendige Beschreibungen machen.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
