en,fr,es,tr,de,title,speaker,duration,tags
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
											So if time is such a fundamental property,
											it should be in our most fundamental equations
											describing the universe, right?
											We currently have two sets of
											equations that govern physics.
											General relativity describes the
											behavior of very large things,
											while quantum physics explains the very small.
											One of the biggest goals in theoretical physics
											over the last half century has been reconciling
											the two into one fundamental “theory of everything.""
											There have been many attempts
											—none yet proven—
											and they treat time in different ways.
											Oddly enough, one contender called the Wheeler-DeWitt
											equation, doesn’t include time at all.
									","
											Ainsi, si le temps est une propriété
aussi fondamentale,
											il devrait être dans nos équations
les plus fondamentales
											qui décrivent l'univers, n'est-ce pas ?
											Actuellement, deux ensembles
d'équations gouvernent la physique.
											La relativité générale décrit
le comportement des objets très grands,
											alors que la physique quantique
explique l'infiniment petit.
											Un des objectifs principaux
en physique théorique,
											depuis un demi-siècle,
est de réunir les deux,
											en une « théorie du tout » fondamentale.
											Il y a eu de nombreuses tentatives
											- aucune n'ayant été prouvée -
											et elles traitent le temps
de manières différentes.
											Curieusement, une candidate,
nommée Équation de Wheeler-DeWitt,
											n'inclut pas du tout le temps.
									","
											Si el tiempo es una propiedad 
tan fundamental,
											debería estar en las ecuaciones
más fundamentales
											describir el universo, ¿no?
											Actualmente tenemos dos conjuntos
											de ecuaciones que gobiernan la Física.
											La relatividad general describe
											el comportamiento de cosas muy grandes,
											mientras la Física cuántica 
explica las pequeñas.
											Uno de los mayores objetivos
en la Física teórica
											durante el último medio siglo
fue reconciliar
											las dos en una ""teoría del todo""
fundamental.
											Ha habido muchos intentos
											—ninguno probado aún—
											y tratan el tiempo de diferentes maneras.
											Curiosamente, un aspirante 
llamado la ecuación Wheeler-DeWitt
											no incluye el tiempo en absoluto.
									","
											O hâlde, zaman bu kadar temel varlıksa,
											aynı şekilde evreni tanımlarken
											en temel denklemlerde de olmalı, değil mi?
											Şu anda fiziği yönlendiren
											iki adet denklem var.
											Genel izafiyet
											çok büyük şeylerin hareketini tanımlarken,
											kuantum fiziği çok küçük şeyleri açıklar.
											Son yarım yüzyıldır,
											teorik fizikte en önemli amaç
											bu ikisini ""her şeyin teorisi"" 
temelinde bağdaştırmaktır.
											Birçok deneme yapılmış
											-henüz hiçbiri kanıtlanmamış-
											ve zamana farklı açılardan bakmışlardır.
											Şaşırtıcı bir şekilde, 
bir iddia sahibi olan
											Wheeler-DeWitt denklemi zamanı kapsamaz.
									","
											Wenn Zeit eine so
fundamentale Eigenschaft ist,
											dann sollte sie Teil
fundamentalster Gleichungen sein,
											um das Universum zu beschreiben, oder?
											Wir haben aktuell zwei Gruppen von
Gleichungen, die die Physik regieren,
											""Allgemeine Relativität"" beschreibt das
Verhalten von sehr großen Dingen,
											während Quantenphysik
die sehr kleinen erklärt.
											Eins der größten Ziele
der theoretischen Physik
											während des letzten
halben Jahrhunderts war es,
											die beiden in einer fundamentalen
""Theorie von Allem"" zu vereinen.
											Es gab viele Versuche
											— keiner bisher bewiesen —
											und sie behandeln Zeit unterschiedlich.
											Seltsamerweise beinhaltet ein Kandidat,

											die Wheeler-DeWitt Gleichung,
Zeit gar nicht.
									",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
											Like all current theories of everything,
											that equation is speculative.
											But as a thought experiment,
											if it or a similarly time-starved equation
											turned out to be true, would that mean
											that time doesn’t exist, at the most fundamental level?
											Could time just be some sort of illusion generated
											by the limitations of the way
											we perceive the universe?
											We don’t yet know, but maybe that’s
											the wrong way of thinking about it.
											Instead of asking if time exists as a fundamental property,
											maybe it could exist as an emergent one.
									","
											Comme toutes les théories du tout
actuelles, celle-ci est spéculative.
											Mais étant une expérience mentale,
											si celle-ci, ou une autre équation
privée du temps s'avérait vraie,
											cela signifierait-il que le temps
n'existe fondamentalement pas ?
											Le temps pourrait-il n'être
qu'une sorte d'illusion,
											générée par les limites
de notre perception de l'univers ?
											On ne le sait pas encore,
											mais ce n'est peut-être pas
la bonne façon de l'envisager.
											Au lieu de demander si le temps existe
comme propriété fondamentale,
											il pourrait exister
en tant que propriété émergente.
									","
											Como todas las teorías del todo actuales,
											esa ecuación es especulativa.
											Pero como experimento mental,
											si esa o una ecuación similar sin tiempo
											resulta ser correcta, ¿significaría esto
											que el tiempo no existe
en el nivel más fundamental?
											¿Puede que el tiempo sea
un tipo de ilusión generada
											por las limitaciones de la manera
											que percibimos al universo?
											Todavía no lo sabemos, pero tal vez
											sea la manera equivocada de pensar en eso.
											En vez de preguntar si el tiempo existe
como propiedad fundamental,
											tal vez pueda existir como una emergente.
									","
											Mevcut diğer her şeyin teorileri gibi
											bu denklem de şüpheliydi.
											Fakat bir düşünce deneyi olarak
											bu denklem veya benzeri bir
zamandan yoksun denklemin
											doğruluğu ortaya çıkarsa bu,
											zaman en temel düzeyde yok
demek mi oluyordu?
											Zaman evreni algılama şeklimizin 
kısıtlamalarıyla oluşan bir çeşit illüzyon
											olabilir miydi?
											Henüz bilmiyoruz ama belki de
											yanlış bir düşünce şekli olabilir.
											Zamanın temel varlık olarak
var olması dışında
											gelişmekte olan özellik olarak da
var olabilirdi.
									","
											Wie alle aktuellen ""Theorien von Allem""
ist diese Gleichung spekulativ.
											Aber als Gedankenexperiment:
											Wenn diese oder eine ähnliche Gleichung
ohne Zeit wahr sein sollte,
											würde das bedeuten, dass es Zeit
auf der fundamentalsten Ebene nicht gibt?
											Könnte Zeit nur eine Art Illusion sein,

											die durch die Beschränkungen, wie wir
das Universum wahrnehmen, entstanden ist.
											Wir wissen es noch nicht, aber vielleicht
ist die falsche Art, darüber nachzudenken.
											Anstelle zu fragen, ob Zeit als
fundamentale Eigenschaft existiert,
											könnte sie als eine emergente existieren.
									",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
											Emergent properties are things that don’t exist
											in individual pieces of a system,
											but do exist for the system as a whole.
											Each individual water molecule doesn’t have a tide,
											but the whole ocean does.
									","
											Les propriétés émergentes
sont des choses qui n'existent pas
											individuellement dans un système,
											mais qui existent
globalement pour le système.
											Chaque molécule d'eau n'a pas de marée,
											mais l'océan entier en a.
									","
											Las propiedades emergentes
son cosas que no existen
											en piezas individuales de un sistema,
											pero existen para el sistema como un todo.
											Cada molécula de agua individual
no tiene una marea,
											pero el océano completo sí.
									","
											Gelişmekte olan özellikler bir sistemin
											bağımsız parçalarında olmayan
											ancak sistemde bir bütün olarak
var olan şeylerdir.
											Her bağımsız su molekülünde
gelgit yoktur
											ama okyanusun bütününde vardır.
									","
											Emergente Eigenschaften sind Dinge,
											die nicht in einzelnen Teilen
eines Systems existieren,
											aber für das gesamte System bestehen.
											Ein einzelnes Wassermolekül besitzt
keine Gezeitenströmung,
											aber das ganze Meer schon.
									",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
											A movie creates change through time by using
											a series of still images that appear to have a fluid,
											continuous change between them.
											Flipping through the images fast enough,
											our brains perceive the passage of time
											from the sequence of still images.
											No individual frame of the movie changes
											or contains the passage of time,
											but it’s a property that comes out of how
											the pieces are strung together.
											The movement is real, yet also an illusion.
											Could the physics of time somehow be a similar illusion?
									","
											Un film crée du changement
au cours du temps
											avec une série d'images fixes,
											qui semblent se fondre
de manière fluide et continue.
											En passant les images assez vite,
											notre cerveau perçoit le temps qui passe
grâce à la succession des images.
											Aucune image fixe du film
ne change au cours du temps,
											mais c'est une propriété qui émerge
quand elles sont toutes enchaînées.
											Le mouvement est réel,
mais c'est une illusion.
											La physique du temps pourrait-elle
être une illusion similaire ?
									","
											Una película genera cambio
a través del tiempo usando
											una serie de fotogramas
que parecen tener un cambio
											fluido y continuo entre ellos.
											Si miramos los fotogramas rápidamente,
											nuestro cerebro percibe el paso del tiempo
											de la secuencia de fotogramas.
											Ningún cuadro individual
de la película cambia
											o contiene el paso del tiempo,
											pero es una propiedad que surge
											de cómo las piezas están entrelazadas.
											El movimiento es real,
pero también es una ilusión.
											¿Puede la Física del tiempo
ser una ilusión similar?
									","
											Bir film, aralarında akıcı, 
sürekli değişim olan
											bir dizi durağan görüntünün 
değişimini kullanarak
											zaman içinde değişim oluşturabilir.
											Görüntüler arasında hızlı geçişle,
											beynimiz durağan görüntülerin 
art arda gelmesinden
											zamanın akışını algılar.
											Filmin bağımsız bir bölümü
											zamanın akışını değiştirmez

											veya zamanı kapsamaz;
											ancak parçaların birlikte dizilişiyle
ortaya çıkan bir varlıktır.
											Hareket gerçektir, fakat bir illüzyondur.
											Zaman fiziği de 
benzeri bir illüzyon olabilir mi?
									","
											Ein Film erzeugt Veränderungen durch Zeit,
											indem eine Reihe von Bildern genutzt wird,
											die flüssige, kontinuierliche Änderungen
zwischen sich zu haben scheinen.
											Blättert man schnell genug
durch die Bilder,
											nimmt unser Gehirn den Verlauf der Zeit
von der Abfolge ruhiger Bilder dar.
											Kein Einzelbild des Filmes verändert sich
oder beinhaltet den Verlauf der Zeit,
											aber es ist eine Eigenschaft,
die dadurch entsteht,
											wie die Bilder miteinander verbunden sind.
											Die Bewegung ist real
und trotzdem auch eine Illusion.
											Könnte die Physik der Zeit
eine ähnliche Illusion sein?
									",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
											Physicists are still exploring these and other questions,
											so we’re far from a complete explanation.
									","
											Les physiciens explorent encore
ces questions, et d'autres ;
											nous sommes donc loin
d'une explication complète.
									","
											Los físicos aún están explorando
estas y otras preguntas,
											así que estamos lejos
de una explicación completa.
									","
											Fizikçiler hâlâ
bu ve benzeri soruları araştırıyor,
											dolayısıyla tam bir açıklamaya uzağız.
									","
											Physiker untersuchen diese
und andere Fragen immer noch,
											also sind wir noch weit entfernt
von einer kompletten Antwort.
									",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
											At least for the moment.
									","
											Du moins, pour le moment.
									","
											Al menos de momento.
									","
											En azından şimdilik.
									","
											Zumindest für den Moment.
									",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
