en,es,de,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											StopFake has uncovered
more than 1,000 fakes about Ukraine.
											We've identified 18 narratives
											created using this fake news,
											such as Ukraine is a fascist state,
											a failed state,
											a state run by a junta who came to power
as a result of a coup d'état.
											We proved that it's not bad journalism;
											it's a deliberate act of misinformation.
									","
											StopFake ha desenmascarado
más de mil noticias falsas sobre Ucrania.
											Hemos identificado 18 historias
											creadas a través de noticias falsas.

											Por ejemplo:
											Ucrania es un estado fascista,
un estado fallido,
											un estado dirigido por una junta
que llegó al poder por un golpe de estado.
											Hemos demostrado 
que no es mal periodismo,
											es un acto deliberado de desinformación.
									","
											StopFake hat mehr als 1.000 Lügen
über die Ukraine aufgedeckt.
											Wir haben 18 Darstellungen ermittelt,
											die aus diesen Fake News entstanden,
											z. B. dass die Ukraine
ein faschistischer Staat sei,
											ein gescheiterter Staat,
											ein Land, in dem eine Junta regiert,
die durch einen Putsch an die Macht kam.
											Wir bewiesen, dass das
nicht schlechter Journalismus ist,
											sondern ein bewusster Akt
von Fehlinformation.
									","
											StopFake Ukrayna hakkında 1.000'den fazla 
yalan haber ayrıştırabildi.
											Ukrayna Devleti,
											darbe vasıtasıyla başa geçen 
bir cunta rejimidir,
											faşist bir devlettir,
											başarısız bir devlettir
											gibi yalan haberleri yazabilmek 
için oluşturulan 18 hikâye tespit ettik.
											Kötü gazetecilik olmadığını 

											ancak bilinçli bir yanlış bilgilendirme 
olduğunu ispatladık.
									","
											on prenait une nouvelle, et on la
vérifiait avec des preuves tangibles,
											comme des photos, des vidéos
et d'autres preuves solides.
											Si elle se révélait être fausse,
on la mettait sur notre site.
											Aujourd'hui, StopFake est
un centre d'informations
											qui analyse la propagande
sous tous ses aspects.
											Le site existe en 11 langues,
nous avons des millions de visiteurs,
											et nous avons montré
à plus de 10 000 personnes
											comment distinguer
la vérité des mensonges.
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											Fake news is a powerful weapon
in information warfare,
											but there is something we can do about it.
											We all have smartphones.
											When we see something interesting,
it's often automatic.
											We just click and pass it along.
											But how can you
not be a part of fake news?
											First, if it's too dramatic,
too emotional, too clickbait,
											then it's very likely that it isn't true.
											The truth is boring sometimes.
									","
											Las noticias falsas son un arma poderosa
en la guerra de la información,
											pero podemos hacer algo al respecto.
											Todos tenemos teléfonos inteligentes.
											Cuando vemos algo interesante,
a menudo es automático.
											Solo damos clic y lo compartimos.
											Pero, ¿cómo podemos evitar
ser parte de las falsas noticias?
											Primero, si es demasiado dramático,

											demasiado emocional,
demasiado sensacionalista,
											entonces es muy probable
que no sea cierto.
											La verdad es aburrida, a veces.
									","
											Fake News sind eine mächtige Waffe
im Informationskrieg.
											Doch wir können uns dagegen wehren.
											Wir alle haben Smartphones.
											Wenn wir etwas Interessantes sehen,
passiert es oft automatisch:
											Wir klicken einfach und teilen es.
											Doch wie kann man sich
den Fake News entziehen?
											Erstens, wenn etwas zu dramatisch,
zu emotional, zu reißerisch ist,
											ist es sehr wahrscheinlich nicht wahr.
											Die Wahrheit ist manchmal langweilig.
									","
											Yalan haber, istihbarat savaşında
güçlü bir silah.
											Ama ona karşı yapabileceğimiz
bir şey var.
											Hepimizin akıllı telefonu var.
											İlginç bir şey gördüğümüzde
genellikle otomatik olarak bunu yaparız.
											Klikleyip paylaşırız.
											Yalan habere nasıl alet olmayız?
											Öncelikle çok çarpıcıysa,
çok duygusal, çok tık tuzağıysa
											büyük ihtimalle gerçek değildir.
											Gerçek sıkıcı olabiliyor kimi zaman.
									","
											Et nous avons formé des vérificateurs
de faits partout dans le monde.
											StopFake a découvert plus de 1 000
fausses nouvelles sur l'Ukraine.
											Nous avons identifié 18 récits
											créés à partir de « fake news »,
											tels que « l'Ukraine
est un État fasciste »,
											« un État qui a fait faillite »,
											« un État gouverné par une junte militaire
											qui est arrivée au pouvoir
par un coup d’État ».
											Nous avons prouvé que
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											(Laughter)
									","
											(Risas)
									","
											(Lachen)
									","
											(Gülüşmeler)
									","
											ce n'est pas du mauvais journalisme.
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											Manipulations are always sexy.
											They are designed to captivate you.
											Do your research.
											This is the second point, very simple.
											Look at other sites.
											Check out alternative news sources.
											Google names, addresses,
license plates, experts and authors.
											Don't just believe, check.
											It's the only way
to stop this culture of fake news.
									","
											La manipulación siempre es sexy,
											está diseñada para cautivarnos.
											Investiguen Uds. mismos.
											Ese es el segundo punto, muy simple.
											Revisen otros sitios.
											Busquen fuentes de noticias alternativas.
											Busquen nombres, direcciones,
matrículas, expertos y ofertas en Google.
											No crean solamente, verifiquen.
											Es la única forma de frenar
esta cultura de noticias falsas.
									","
											Manipulationen sind immer sexy.
											Sie sollen uns in ihren Bann ziehen.
											Recherchieren Sie.
											Das ist der zweite Punkt, ganz einfach.
											Gehen Sie auf andere Websites.
											Prüfen Sie alternative Nachrichtenquellen.
											Googeln Sie Namen, Adressen,
Nummernschilder, Experten und Angebote.
											Glauben Sie nicht einfach, überprüfen Sie.
											Das ist die einzige Möglichkeit,
um diese Fake-News-Kultur zu stoppen.
									","
											Manipülasyon çok seksi olur.
											Sizi ele geçirmek için tasarlanmışlardır.
											Araştırmalarınızı yapın.
											Bu ikinci odak noktamız. Çok basit.
											Başka sitelere de bakın.
											Alternatif haber kaynaklarına bakın.
											Google da isim, adres, 
plaka, eksper ve teklifleri aratın.
											Hemen inanmayın. 
Teyit edin.
											Bu yalan haber kültürünü
durdurmanın tek yolu.
									","
											C'est un acte délibéré de désinformation.
											Les « fake news » sont une arme puissante
											dans le combat de l'information,
											mais il y a quelque chose que nous
pouvons faire pour les combattre.
											Nous avons tous des smartphones.
											Quand on voit quelque chose d'intéressant,
											c'est souvent automatique :
											on a juste à cliquer pour le diffuser.
											Comment ne pas participer
à la diffusion de « fake news » ?
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											This information warfare
is not only about fake news.
											Our society depends on trust:
											trust in our institutions,
											in science,
											trust in our leaders,
											trust in our news outlets.
											And it's on us to find a way
to rebuild trust,
											because fake news destroys it.
									","
											Esta guerra de información
no se trata solo de noticias falsas.
											Nuestra sociedad depende de la confianza:
											confianza en nuestras instituciones,
											en la ciencia,
											confianza en nuestros líderes,
											confianza en nuestros medios informativos.
											Y depende de nosotros encontrar
la forma de restaurar esa confianza,
											porque las noticias falsas la destruyen.
									","
											Dieser Informationskrieg dreht sich
nicht nur um Fake News.
											Unsere Gesellschaft ist
auf Vertrauen angewiesen:
											Vertrauen in unsere Institutionen,
											in die Wissenschaft,
											in unsere Führungskräfte,
											in unsere Nachrichtenzentren.
											Es ist unsere Aufgabe,
wieder Vertrauen aufzubauen,
											denn Fake News zerstören es.
									","
											Bu istihbarat savaşı sadece
yalan haber hakkında değil.
											Toplumumuz güvene dayanıyor:
											Kurumlarımıza 
duyduğumuz güven
											bilime,
											önderlerimize
											ve haber kaynaklarımıza.
											Güveni yeniden oluşturmanın 
yolunu bulmak bizim sorumluluğumuz
											çünkü yalan haber onu yok ediyor.
									","
											En premier, si c'est trop dramatique,
trop émouvant, trop accrocheur,
											alors, c'est très probable
que ce ne soit pas vrai.
											La vérité est ennuyeuse, parfois.
											(Rires)
											Les manipulations sont toujours sexy.
											Elles sont pensées pour vous attirer.
											Faites vos propres recherches.
											C'est le deuxième point,
c'est très simple.
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											So ask yourself,
											what have you lost your faith in?
											Where has trust been ruined for you?
											And what are you going to do about it?
									","
											Entonces, pregúntense:
											¿En qué han perdido la fe?
											¿Cómo se ha arruinado su confianza?
											Y, ¿qué van a hacer al respecto?
									","
											Fragen Sie sich also:
											Woran haben Sie Ihren Glauben verloren?
											Wo wurde Ihr Vertrauen zerstört?
											Und was wollen Sie dagegen tun?
									","
											Kendinize şunu sorun:
											Neye inancınızı kaybettiniz?
											Neye güveniniz paramparça oldu?
											Bu uğurda ne yapmayı düşünüyorsunuz?
									","
											Regardez sur d'autres sites.
											Vérifiez des sources alternatives.
											Cherchez sur Google noms, adresses,
											plaques d'immatriculation,
experts et offres.
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											Thank you.
									","
											Gracias.
									","
											Vielen Dank.
									","
											Teşekkürler.
									","
											Ne croyez pas à tout, vérifiez !
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Alkış)
									","
											C'est la seule façon d’arrêter
cette culture des « fake news ».
											Cette guerre d'information
n'est pas seulement basée
											sur les « fake news ».
											Notre société dépend de la confiance :
											la confiance en nos institutions,
											en la science,
											la confiance en nos leaders,
											la confiance en la presse.
											Et c'est à nous de trouver
une façon de restaurer la confiance,
											parce que les « fake news » la détruisent.
											Donc demandez-vous :
											en quoi avez-vous perdu la foi ?
											Qu'est-ce qui a détruit votre confiance ?
											Et qu'est-ce que vous
allez faire pour la restaurer ?
											Merci.
											(Applaudissements)
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
