de,en,es,pt,tr,fr,title,speaker,duration,tags
"
											♫ Kompatibler wär schön,
doch Steve Musikmann ♫
									","
											♫ Yes, we might prefer more compatibility ♫
									","
											♫ Sí, preferimos más compatibilidad ♫
									","
											♫ Sim, preferíamos ter
mais compatibilidade ♫
									","
											♫ Evet, biraz daha rahatlık isteyebiliriz ♫
									","
											♫ Oui, nous préfèrerions plus de compatibilité ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Schmeißt den Laden halt lieber allein ♫
									","
											♫ But Steve likes to run the whole show ♫
									","
											♫ Pero a Steve le gusta dirigir todo el show ♫
									","
											♫ Mas o Steve quer ter
o controle de tudo ♫
									","
											♫ Ama Steve bütün işi kendi halletmeyi seviyor ♫
									","
											♫ Mais Steve aime faire marcher son affaire ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ ""Desperate Housewives""
gestern war angeblich gut ♫
									","
											♫ I heard ""Desperate Housewives"" was great last night ♫
									","
											♫ Oí que Desperate Housewives anoche estuvo genial ♫
									","
											♫ Parece que foi ótimo
o episódio de ontem
											♫ de Donas de Casa Desesperadas
									","
											♫ Duydum ki dün geceki ""Tutkulu Evkadınları"" harikaymış ♫
									","
											♫ J'ai entendu que Desperate Housewives était génial hier soir ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Doch ich aß verdorbenen Fisch ♫
									","
											♫ But I had a bad piece of cod ♫
									","
											♫ Pero comí un pescado malo ♫
									","
											♫ Mas comi bacalhau estragado ♫
									","
											♫ Ama kötü bir parça morina yedim ♫
									","
											♫ Mais j'avais mangé un morceau de poisson pas frais ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Und, gebeugt übers Klo,
war ich gleich wieder froh ♫
									","
											♫ As I threw up my meal, I thought, ""It's no big deal"" ♫
									","
											♫ Mientras vomitaba pensé, ""no hay problema"" ♫
									","
											♫ Enquanto vomitava, pensei:
""Não há problema"" ♫
									","
											♫ Yemeğimi çöpe attıktan sonra düşündüm ki: ""Hiç önemli değil"" ♫
									","
											♫ Alors que je rendais mon repas, je me disais ""Pas grave"" ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Denn in meinem iPod bleibt's frisch ♫
									","
											♫ I'll watch it tonight on my 'Pod ♫
									","
											♫ Lo veré esta noche en mi "" pod "" ♫
									","
											♫ Vejo o episódio hoje à noite no iPod ♫
									","
											♫ Bu gece pod'umda izleyeceğim ♫
									","
											♫ Je regarderai ça ce soir sur mon iPod ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Und jetzt sind
die Sender ja alle dabei ♫
									","
											♫ And now all of the networks are joining in ♫
									","
											♫ Y ahora todas las televisoras se están uniendo ♫
									","
											♫ E agora todos os canais
se estão a juntar ♫
									","
											♫ Ve şimdi bütün kanallar ağa katılırken ♫
									","
											♫ Et maintenant tous les réseaux se mettent de la partie ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Werbefrei und gegen Gebühr ♫
									","
											♫ Two bucks a show without ads ♫
									","
											♫ Dos dólares por programa sin comerciales ♫
									","
											♫ Dois dólares por programa sem anúncios ♫
									","
											♫ iki dolara bir bölüm ♫
									","
											♫ Deux dollars l'émission sans pub ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Alle hatten den Plan,
aber keiner fing's an ♫
									","
											♫ It's a business those guys always wanted to try ♫
									","
											♫ Un negocio que todos ellos siempre han querido intentar ♫
									","
											♫ É um negócio que eles sempre
quiseram experimentar ♫
									","
											♫ O adamların hep denemek istediği bir işti ♫
									","
											♫ C'est un modèle que ces types ont toujours voulu essayer ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ nur Steve Jobs hatte die Eier dafür ♫
									","
											♫ But only Steve Jobs had the 'nads ♫
									","
											♫ Pero solamente Steve Jobs tuvo las pelotas ♫
									","
											♫ Mas só o Steve Jobs se atreveu ♫
									","
											♫ Ama sadece Steve Jobs buna cesaret edebildi ♫
									","
											♫ Mais seul Steve Jobs a eu du cran ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Es heißt, wir sind jung,
sehen nicht fern ♫
									","
											♫ They say we're young, don't watch TV ♫
									","
											♫ Dicen somos jóvenes, no vemos TV ♫
									","
											♫ Dizem que somos novos,
que não vemos televisão ♫
									","
											♫ Gençsiniz, televizyon izlemeyin diyorlar ♫
									","
											♫ Ils disent qu'on est jeune, qu'on ne regarde pas la télé ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Es heißt, wir schau'n nur
ins Internet gern ♫
									","
											♫ They say the Internet is all we see ♫
									","
											♫ Dicen solo vemos Internet ♫
									","
											♫ Dizem que apenas ligamos à Internet ♫
									","
											♫ Tek gördüğümüz şeyin İnternet olduğunu söylüyorlar ♫
									","
											♫ Internet est tout ce que l'on voit ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Aber das ist nicht wahr;
die ham' keinen Grips ♫
									","
											♫ But that's not true; they've got it wrong ♫
									","
											♫ Pero no es cierto, están equivocados ♫
									","
											♫ Mas não é verdade; eles estão errados ♫
									","
											♫ Ama doğru değil, yanlış anlıyorlar ♫
									","
											♫ Mais ce n'est pas vrai; ils n'ont pas compris ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Was wir anschau'n,
sind Zwei-Minuten-Clips ♫
									","
											♫ See, all our shows are just two minutes long ♫
									","
											♫ Mira, todos nuestros programas son de dos minutos ♫
									","
											♫ É que todos os programas que vemos
têm apenas dois minutos ♫
									","
											♫ Anlıyorsunuz değil mi, bütün şovlarımız sadece iki dakikalık. ♫
									","
											♫ Voyez, tous nos programmes durent juste deux minutes ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Hey ♫
									","
											♫ Hey ♫
									","
											♫ Hey ♫
									","
											♫ Ei ♫
									","
											♫ Hey ♫
									","
											♫ Hé ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Ich hab' YouTube ♫
									","
											♫ I got YouTube ♫
									","
											♫ Tengo "" YouTube "" ♫
									","
											♫ Tenho o Youtube ♫
									","
											♫ YouTube'um var ♫
									","
											♫ J'ai YouTube ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Ich hab' YouTube ♫
									","
											♫ I got YouTube ♫
									","
											♫ Tengo "" YouTube "" ♫
									","
											♫ Tenho o Youtube ♫
									","
											♫ YouTube'um var ♫
									","
											♫ J'ai YouTube ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											Und nun, meine Damen und Herren ...
											eine Hommage an die ""Recording
Industry Association of America"",
											an die RIAA!
									","
											And now, ladies and gentlemen,
											a tribute to the Recording Industry Association of America —
											the RIAA!
									","
											Y ahora, damas y caballeros ...
											un tributo a la "" Recording Industry Association of America ""
											la "" RIAA ""
									","
											E agora, senhoras e senhores ...
											uma homenagem à Recording Industry
Association of America,
											a RIAA!
									","
											Ve şimdi, bayanlar ve baylar...
											Amerika Kayıt Endüstrisi Birliği (RIAA)'ne ithaf ettiğim bir parça,
											RIAA!
									","
											Et maintenant, mesdames et messieurs...
											un hommage à l' Association Américaine de l'Industrie du Disque,
											la RIAA!
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ He, Mann, Surfen ist zwar erlaubt ♫
									","
											♫ Young man, you were surfin' along ♫
									","
											♫ Joven, estabas por ahí navegando ♫
									","
											♫ Jovem, estavas a navegar ♫
									","
											♫ Genç adam, sen tek başına sörf yapıyorsun ♫
									","
											♫ Jeune homme, tu surfais tranquillement ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Aber dann, Mann,
hast du dir was gesaugt ♫
									","
											♫ And then, young man, you downloaded a song ♫
									","
											♫ Y entonces, joven, descargaste una canción ♫
									","
											♫ e então, jovem, fizeste um download ♫
									","
											♫ Daha sonra, genç adam, sen bir parça indirdin ♫
									","
											♫ Et puis, jeune homme, tu téléchargeas un titre ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Und dann, Blödmann,
auf den iPod kopiert ♫
									","
											♫ And then, dumb man, copied it to your 'Pod ♫
									","
											♫ Y entonces, tonto, la copiaste en tu "" pod "" ♫
									","
											♫ E então, tolo, copiaste para o iPod ♫
									","
											♫ Ve daha sonra, salak adam, pod'una kopyaladın ♫
									","
											♫ Et puis, crétin, tu le copias sur ton iPod ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Worauf du erfahren durftest ... ♫
									","
											♫ Then a phone call came to tell you ... ♫
									","
											♫ Entonces entró una llamada telefónica para decirte .... ♫
									","
											♫ E recebeste uma chamada que dizia ... ♫
									","
											♫ Ve sana bir telefon geldi ve dedi ki ... ♫
									","
											♫ Alors tu reçus un appel te disant... ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Da läuft 'ne Klage von der RIAA ♫
									","
											♫ You've just been sued by the R-I-A-A ♫
									","
											♫ Acabas de ser demandado por la "" R-I-A-A "" ♫
									","
											♫ Que tinhas sido processado
pela R-I-A-A ♫
									","
											♫ R-I-A-A tarafından dava edildiniz ♫
									","
											♫ Tu viens d'être assigné par la R-I-A-A ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Die sind 'ne Plage von der RIAA ♫
									","
											♫ You've just been screwed by the R-I-A-A ♫
									","
											♫ Acaba de clavarte la "" R-I-A-A "" ♫
									","
											♫ Foste apanhado pela R-I-A-A ♫
									","
											♫ R-I-A-A tarafından mahvedildiniz ♫
									","
											♫ Tu viens de te faire baiser par la R-I-A-A ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Deren Anwälte sind
auf dich Verbrecher gepolt ♫
									","
											♫ Their attorneys say you committed a crime ♫
									","
											♫ Sus abogados dicen que cometiste un crimen ♫
									","
											♫ Os advogados deles dizem
que cometeste um crime ♫
									","
											♫ Avukatları senin suç işlediğini söyledi ♫
									","
											♫ Leurs avocats disent que tu as commis un crime ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Dass sich das ja nicht mehr wiederholt ♫
									","
											♫ And there'd better not be a next time ♫
									","
											♫ Y mejor que no se repita ♫
									","
											♫ E é bom que não o repitas — ♫
									","
											♫ Ve bir daha olmamasının iyi olacağını söylediler ♫
									","
											♫ Et il ne vaudrait mieux pas que ça se reproduise ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Die ham' nen Schaden bei der RIAA ♫
									","
											♫ They've lost their minds at the R-I-A-A ♫
									","
											♫ Se enloquecieron en la "" R-I-A-A "" ♫
									","
											♫ Perderam a cabeça na R-I-A-A ♫
									","
											♫ Akıllarını kaybetmiş R-I-A-A'dekiler ♫
									","
											♫ Ils ont perdu l'esprit chez la R-I-A-A ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Das Recht geht baden mit der RIAA ♫
									","
											♫ Justice is blind at the R-I-A-A ♫
									","
											♫ La justicia es ciega en la "" R-I-A-A "" ♫
									","
											♫ A justiça é cega na R-I-A-A ♫
									","
											♫ R-I-A-A 'de adaletin gözü kapalı ♫
									","
											♫ La justice est aveugle chez la R-I-A-A ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Keinen Cent für die Band ♫
									","
											♫ You're depriving the bands ♫
									","
											♫ Estas despojando a las bandas ♫
									","
											♫ Estão a depenar as bandas ♫
									","
											♫ Müzik gruplarını gasp ediyorsun ♫
									","
											♫ Tu dépossèdes les groupes ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ He, so wirst du zum Dieb ♫
									","
											♫ You are learning to steal ♫
									","
											♫ Estas aprendiendo a robar ♫
									","
											♫ Estão a aprender a roubar ♫
									","
											♫ Çalmayı öğreniyorsun ♫
									","
											♫ Tu apprends à voler ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Kannst doch nicht tun,
wie's dir grad beliebt ♫
									","
											♫ You can't do whatever you feel ♫
									","
											♫ No puedes hacer lo que te venga en gana ♫
									","
											♫ Podem fazer o que quiserem ♫
									","
											♫ Her istediğini yapamazsın ♫
									","
											♫ Tu ne peux pas faire ce qu'il te plait ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ CDs gehen schlechter pro Jahr ♫
									","
											♫ CD sales have dropped every year ♫
									","
											♫ Las ventas de CD han caído año tras año ♫
									","
											♫ As vendas de CDs descem a cada ano ♫
									","
											♫ CD satışları her yıl düşüyor ♫
									","
											♫ Les ventes de CDs s'effondrent chaque année ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Sie sind nicht gierig,
sind nur schreckensstarr ♫
									","
											♫ They're not greedy, they're just quaking with fear ♫
									","
											♫ No son ambiciosos, solamente están chillando con miedo ♫
									","
											♫ Eles não são gananciosos,
estão mas é cheios de medo ♫
									","
											♫ Para hırslısı değiller, sadece korku içinde titriyorlar ♫
									","
											♫ Ils ne sont pas cupides, ils tremblent juste de peur ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Jetzt kapier i': Was,
wenn's das für sie war ♫
									","
											♫ Yes indeedy, what if their end is near ♫
									","
											♫ Si por supuestillo, que si su final está cerca ♫
									","
											♫ Sim, e se o fim deles estiver próximo ♫
									","
											♫ Evet aslında, hadi sonları yakınsa ♫
									","
											♫ En effet, si leur fin était proche ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Weil wir alles runterladen ♫
									","
											♫ And we download all our music ♫
									","
											♫ Y descargamos toda su música ♫
									","
											♫ E tivermos feito o download
da música toda deles ♫
									","
											♫ Ve biz onların bütün müziklerini indirirsek ♫
									","
											♫ Et que nous téléchargions toutes leurs musiques ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Da wär' sie sauer, die RIAA ♫
									","
											♫ Yeah, that would piss off the R-I-A-A ♫
									","
											♫ Si, eso le molestaría a la "" R-I-A-A "" ♫
									","
											♫ Sim, isso iria chatear a R-I-A-A ♫
									","
											♫ Evet, canlarını okuruz R-I-A-A'in ♫
									","
											♫ Ouais, ça ferait chier la R-I-A-A ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ CDs sind out von der RIAA ♫
									","
											♫ No plastic discs from the R-I-A-A ♫
									","
											♫ No discos plásticos de la "" R-I-A-A "" ♫
									","
											♫ Nada de discos de plástico da R-I-A-A ♫
									","
											♫ R-I-A-A'nin plastik disklerini istemiyoruz ♫
									","
											♫ Plus de disques fait par la R-I-A-A ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Macht man denn Freunde so ♫
									","
											♫ What a way to make friends ♫
									","
											♫ Qué manera de hacer amigos ♫
									","
											♫ Que forma de fazer amigos ♫
									","
											♫ Yeni arkadaş yapmak için ne güzel bir yol ♫
									","
											♫ Quelle manière de se faire des amis ! ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Endlich hat sie's geblickt ♫
									","
											♫ It's a plan that can't fail ♫
									","
											♫ Es un plan que no puede fallar ♫
									","
											♫ É um plano que não pode falhar ♫
									","
											♫ Başarısız olma şansı olmayan bir plan ♫
									","
											♫ Un plan réussi à coup sûr ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ All die Kunden in' Knast geschickt ♫
									","
											♫ All your customers off to jail ♫
									","
											♫ Todos tus clientes a la cárcel ♫
									","
											♫ Todos os vossos clientes pr'á prisão ♫
									","
											♫ Bütün müşteriler hapishaneye ♫
									","
											♫ Tous vos clients entre quatre murs ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Wer ist der nächste für die RIAA ♫
									","
											♫ Who'll be next for the R-I-A-A? ♫
									","
											♫ ¿Quién sera el siguiente para la R-I-A-A? ♫
									","
											♫ Quem se segue para a R-I-A-A? ♫
									","
											♫ Sırada kim olacak R-I-A-A? ♫
									","
											♫ Qui suit sur la liste de la R-I-A-A? ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Was quält als Nächstes unsere RIAA ♫
									","
											♫ What else is vexing the R-I-A-A? ♫
									","
											♫ ¿Qué más estará irritando a la R-I-A-A? ♫
									","
											♫ Que mais envergonha a R-I-A-A? ♫
									","
											♫ Başka ne sıkıntı yaşatacak R-I-A-A ♫
									","
											♫ Quoi d'autre peut vexer la R-I-A-A? ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Wenn man ein Liedchen pfeift ♫
									","
											♫ Maybe whistling a tune ♫
									","
											♫ ¿Tal vez silbar una canción? ♫
									","
											♫ Talvez assobiar uma melodia? ♫
									","
											♫ Belki ıslık çalmak? ♫
									","
											♫ Peut-être siffler un air? ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Wenn man ein Liedchen singt ♫
									","
											♫ Maybe humming along ♫
									","
											♫ ¿Tal vez tararear una canción? ♫
									","
											♫ Talvez trautear uma canção? ♫
									","
											♫ Belki bir parçayı mırıldanmak? ♫
									","
											♫ Fredonner une mélodie? ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Wenn darin leiser Spott anklingt ♫
									","
											♫ Maybe mocking 'em in a song ♫
									","
											♫ ¿Tal vez burlarse de ellos en una canción? ♫
									","
											♫ Talvez gozar com eles numa canção? ♫
											(Aplausos)
									","
											♫ Belki onları bir parça ile iğnelemek? ♫
									","
											♫ Les railler dans une chanson? ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
