en,fr,de,tr,es,title,speaker,duration,tags
"
											Part of the fear around Alzheimer's
stems from the sense
											that there's nothing we can do about it.
											Despite decades of research, we still
have no disease-modifying treatment
											and no cure.
											So if we're lucky enough
to live long enough,
											Alzheimer's appears to be
our brain's destiny.
									","
											Une partie de la peur
autour d'Alzheimer découle de l'idée
											que nous ne pouvons rien y faire.
											Malgré des décennies de recherche,
nous n'avons aucun traitement modifiant
											ou traitant la maladie.
											Si nous avons la chance
de vivre assez longtemps,
											Alzheimer semble être
le destin de notre cerveau.
									","
											Ein Teil der Angst rund um Alzheimer 
entstammt dem Gedanken,
											dass wir nichts dagegen tun können.
											Trotz jahrzehntelanger Forschung, 
gibt es noch keine wirksame Behandlung
											und keine Heilung.
											Wenn wir das Glück haben, 
alt genug zu werden,
											ist Alzheimer scheinbar 
das Schicksal unseres Gehirns.
									","
											Alzheimer ile ilgili korkunun
büyük bir kısmı, hastalıkla ilgili
											yapabileceğimiz olmadığı
düşüncesinden kaynaklanır.
											Onlarca yıllık araştırmalara rağmen,
hâlen önleyici bir çalışma
											ve tedaviye sahip değiliz.
											Uzun yaşayacak kadar şanslıysak,
											Alzheimer beynimizin kaderi
olacak gibi gözüküyor.
									","
											Parte del miedo del alzhéimer
proviene de la sensación
											de que no hay nada 
que podamos hacer al respecto.
											A pesar de mucha investigación, aún
no hay un tratamiento para la enfermedad
											y no existe una cura.
											Así que si tenemos la suerte
de vivir bastante,
											el alzhéimer parecería ser
el destino de nuestros cerebros.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											But maybe it doesn't have to be.
											What if I told you we could
change these statistics,
											literally change our brain's destiny,
											without relying on a cure
or advancements in medicine?
									","
											Peut-être que cela n'a pas à être ainsi.
											Et si je vous disais que nous pouvions
changer ces statistiques,
											changer le destin de notre cerveau,
											sans nous reposer sur un traitement
ou les avancées de la médecine ?
									","
											Aber vielleicht muss das nicht so sein.
											Was, wenn ich Ihnen sagen würde,
dass wir diese Statistiken,
											das Schicksal unseres Gehirns, 
buchstäblich verändern könnten,
											ohne auf Heilmittel oder Fortschritte 
der Medizin angewiesen zu sein.
									","
											Belki de böyle olmak zorunda değil.
											Ya sizlere bu istatistikleri,
beynimizin kaderini,
											tıptaki gelişmelere ve tedavilere

											bağlı kalmadan
değiştirebileceğimizi söylesem.
									","
											Pero tal vez no tenga que serlo.
											¿Qué tal si les dijera
que podríamos cambiar las estadísticas,
											literalmente cambiar el destino
de nuestros cerebros,
											sin depender de una cura
o los avances médicos?
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											Let's begin by looking at
what we currently understand
											about the neuroscience of Alzheimer's.
											Here's a picture
of two neurons connecting.
											The point of connection,
this space circled in red,
											is called the synapse.
											The synapse is where
neurotransmitters are released.
											This is where signals are transmitted,
where communication happens.
											This is where we think,
feel, see, hear, desire ...
											and remember.
											And the synapse
is where Alzheimer's happens.
									","
											Commençons par regarder
ce que nous comprenons
											de la neuroscience d'Alzheimer.
											Voici une image de deux neurones
qui se connectent.
											Le point de connexion,
l'espace entouré en rouge,
											est appelé la synapse.
											La synapse est l'endroit
où les neurotransmetteurs sont libérés.
											C'est là que les signaux sont transmis,
que la communication se produit.
											C'est là que nous pensons,
ressentons, voyons, entendons, désirons...
											et nous souvenons.
											La synapse est l'endroit
où Alzheimer se produit.
									","
											Schauen wir uns an, was wir aktuell
											über die Neurowissenschaft 
von Alzheimer wissen.
											Auf diesem Bild verbinden 
sich zwei Neuronen.
											Der Verbindungspunkt, rot eingekreist,
											wird Synapse genannt.
											In der Synapse werden 
Neurotransmitter freigesetzt.
											Hier werden Signale übertragten, 
hier findet Kommunikation statt.
											Hier denken, fühlen wir, 
sehen, hören und begehren wir ...
											hier erinnern wir uns.
											Alzheimer betrifft die Synapsen.
									","
											Gelin, Alzheimer'ın nörobilimi
hakkında halihazırda
											ne anladığımıza bakarak başlayalım.
											Burada birbirine bağlı
iki nöron görmekteyiz.
											Kırmızı daire içine alınmış
bağlantı noktası,
											sinaps olarak adlandırılır.
											Sinaps sinir taşıyıcılarının
salıverildiği yerdir.
											Sinyaller burada iletilir,
iletişim burada gerçekleşir.
											Burası düşündüğümüz, hissettiğimiz,
gördüğümüz, arzuladığımız
											ve hatırladığımız yerdir.
											Burası Alzheimer'ın da 
gerçekleştiği yerdir.
									","
											Comencemos mirando
lo que actualmente se entiende
											sobre la neurociencia del alzhéimer.
											Esta es una imagen
de dos neuronas conectándose.
											El punto de conexión,
este espacio circulado en rojo,
											se llama ""sinapsis"".
											La sinapsis es donde se liberan
los neurotransmisores.
											Aquí es donde se transmiten las señales,
donde ocurre la comunicación.
											Aquí es donde pensamos, sentimos,
vemos, escuchamos, deseamos...
											y recordamos.
											Y la sinapsis
es donde se desarrolla el alzhéimer.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											Let's zoom in on the synapse
											and look at a cartoon representation
of what's going on.
											During the business
of communicating information,
											in addition to releasing neurotransmitters
like glutamate into the synapse,
											neurons also release a small peptide
called amyloid beta.
											Normally, amyloid beta is cleared away
metabolized by microglia,
											the janitor cells of our brains.
											While the molecular causes
of Alzheimer's are still debated,
											most neuroscientists believe
that the disease begins
											when amyloid beta begins to accumulate.
											Too much is released,
or not enough is cleared away,
											and the synapse begins
to pile up with amyloid beta.
											And when this happens, it binds to itself,
											forming sticky aggregates
called amyloid plaques.
									","
											Zoomons sur la synapse
											et regardons une représentation animée
de ce qu'il se produit.
											Durant la communication d'informations,
											en plus de la libération
de neurotransmetteurs
											comme le glutamate dans la synapse,
											les neurones libèrent également
un peptide appelé bêta-amyloïde.
											Normalement, la bêta-amyloïde est éliminée
et métabolisée par les microglies,
											les cellules concierges de notre cerveau.
											Alors que les causes moléculaires
d'Alzheimer sont encore débattues,
											la plupart des neuroscientifiques croient
que la maladie commence
											quand la bêta-amyloïde
commence à s'accumuler.
											S'il y en a trop de libérée
ou pas assez d'éliminée,
											la synapse commence
à accumuler de la bêta-amyloïde.
											Quand cela se produit,
elle se lie à elle-même,
											formant des agrégats collants
appelés plaques amyloïdes.
									","
											Vergrößern wir die Synapse
											und schauen uns an, was passiert.
											Während der Informationsweitergabe
											und der Freisetzung von Neurotransmittern,
wie Glutamat, in die Synapse,
											setzen Neuronen auch ein kleines Peptid 
frei, das Amyloid-Beta genannt wird.
											Normalerweise wird
Amyloid-Beta von Mikroglia,
											den Hausmeisterzellen des Gehirns, 
abgebaut und verstoffwechselt.
											Während über molekulare Ursachen 
von Alzheimer noch debattiert wird,
											glauben die meisten Neurowissenschaftler,
dass die Erkrankung beginnt,
											wenn sich Amyloid-Beta anhäuft.
											Zu viel wird freigesetzt, 
oder nicht genug abgebaut
											und die Synapse wird mit 
Amyloid-Beta überhäuft.
											Dadurch bindet sie sich
											und bildet klebrige Aggregate, 
die Amyloid-Plaques genannt werden.
									","
											Sinapse odaklanalım
											ve ne olup bittiğinin
çizgisel tasvirine bakalım.
											Bilginin iletişimi esnasında,
											glutamate ve sinaps gibi
sinir taşıyıcılarının yanında,
											nöronlar ayrıca amiloid beta
denilen küçük bir peptid salgılarlar.
											Normalde, amiloid beta, beynimizin
temizlik görevlisi mikroglia tarafından
											metabolize edilerek temizlenir.
											Alzheimer'ın moleküler nedenleri
hâlâ tartışılsa da,
											birçok nörobilimci, hastalığın
amiloid beta birikmesinden
											kaynaklandığına inanıyor.
											Çok fazla salgılanır ya da
yeterli kadar temizlenemez
											ve sinapslar amyloid beta
biriktirmeye başlar.
											Bu olduğunda da, amiloid plakları denilen
											yapışkan kümeler oluşturarak
kendiyle birleştirir.
									","
											Acerquémonos a la sinapsis
											y veamos esta caricatura
de lo que sucede.
											Durante el proceso de comunicar
información,
											además de liberar neurotransmisores
como glutamato a la sinapsis,
											las neuronas también liberan
un pequeño péptido llamado beta amiloide.
											Normalmente, la microglía suele despejar
el beta amiloide metabolizado,
											las células conserjes del cerebro.
											Mientras que aún se debaten
las causas moleculares del alzhéimer,
											la mayoría de los neurocientíficos
creen que la enfermedad empieza
											cuando el beta amiloide
empieza a acumularse.
											O se liberan demasiadas
o no se despejan suficientes,
											y la sinapsis empieza
a amontonarse con la beta amiloide.
											Y cuando esto ocurre, se liga a sí misma,
											formando una acumulación pegajosa
llamada placa amiloide.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											How many people here
are 40 years old or older?
											You're afraid to admit it now.
											This initial step into the disease,
											this presence of amyloid
plaques accumulating,
											can already be found in your brains.
											The only way we could be sure of this
would be through a PET scan,
											because at this point,
you are blissfully unaware.
											You're not showing any impairments
in memory, language, or cognition ...
											yet.
											We think it takes at least 15 to 20 years
of amyloid plaque accumulation
											before it reaches a tipping point,
											then triggering a molecular cascade
											that causes the clinical
symptoms of the disease.
											Prior to the tipping point,
											your lapses in memory
might include things like,
											""Why did I come in this room?""
											or ""Oh ... what's his name?""
											or ""Where did I put my keys?""
									","
											Combien d'entre vous ont 40 ans ou plus ?
											Vous avez peur de l'admettre, maintenant.
											L'étape initiale vers la maladie,
											la présence de ces plaques
amyloïdes qui s'accumulent,
											peut déjà être trouvée dans votre cerveau.
											La seule façon de s'en assurer
est de passer un TEP,
											car à ce point-là, vous en êtes
parfaitement inconscient.
											Vous n'avez aucune déficience
de mémoire, de langage, de cognition...
											pour l'instant.
											Nous pensons qu'il faut
au moins 15 à 20 ans
											pour que l'accumulation
de plaques amyloïdes
											atteigne un seuil critique,
											déclenchant une cascade moléculaire
											qui cause les symptômes
cliniques de la maladie.
											Avant ce seuil critique,
											vos oublis peuvent être
des choses telles que :
											« Pourquoi suis-je venu
dans cette pièce ? »
											ou « Oh... c'est quoi son nom ? »
											ou « Où ai-je mis mes clés ? »
									","
											Wie viele Menschen hier sind 
40 Jahre alt oder älter?
											Jetzt haben Sie Angst es zuzugeben.
											Dieser Schritt in Richtung Krankheit,
											diese Anhäufung von Amyloid-Plaques,
											ist bereits in Ihrem Gehirn zu finden.
											Nur durch ein PET-Scan, 
können wir uns sicher sein,
											weil Sie an diesem Punkt noch 
glücklich und ahnungslos sind.
											Sie zeigen keine Defizite in Gedächtnis, 
Sprache oder Wahrnehmung ...
											noch nicht.
											Wir glauben, dass es 15 bis 20 Jahre der 
Anhäufung von Amyloid-Plaques braucht,
											bis ein entscheidender 
Wendepunkt erreicht wird,
											an dem eine molekulare 
Kaskade ausgelöst wird,
											die die klinischen Symptome
der Erkrankung verursacht.
											Vor dem entscheidenden Wendepunkt,
											beinhalten Ihre Gedächtnisentgleisungen 
vielleicht Dinge wie:
											""Warum habe ich in diesen Raum betreten?""
											oder ""Oh ... wie war sein Name?""
											oder ""Wo habe ich meine 
Schlüssel hingelegt?""
									","
											Burada kaç kişi 40 yaşın üzerinde?
											Şimdi kabul etmeye korkuyorsunuz.
											Hastalığın bu ilk adımı,
											amiloid plakları birikmesi,
											şu anda beyinlerinizde saptanabilir.
											Bundan emin olmanın tek yolu
PET taramasıdır,
											çünkü bu noktada mutlu ve
farkında değilsiniz.
											Hafıza, dil ve kavramada
bir sorun yaşamıyorsunuz...
											şimdilik.
											Amiloid plak birikmesinin
kritik sınıra ulaşmasının,
											10-15 yıl kadar sürdüğünü, sonra da
											hastalığın kilinik belirtilerine yol açan
											moleküler bir şelaleyi tetikleyeceğini
tahmin etmekteyiz.
											Kritik noktaya gelene kadar,
											hafızanızdaki sapmalar 
şunlar gibi olabilir,
											''Bu odaya neden geldim?''
											ya da ''Ya...Adı neydi?''
											ya da ''Anahtarlarımı nereye bıraktım?''
									","
											¿Cuántos aquí tienen 40 años o más?
											Les da miedo admitirlo ahora.
											Este primer paso hacia la enfermedad,
											esta presencia de placas amiloides
acumulándose,
											ya se encuentra en sus cerebros.
											La única manera que podemos asegurarnos
sería mediante un escáner TEP,
											porque, a estas alturas,
están felizmente ignorantes.
											No muestran ningún impedimento
de memoria, lingüístico o cognitivo...
											todavía.
											Se cree que la acumulación
de beta amiloide toma de 15 a 20 años
											antes de que llegue al punto crítico,
											que desencadena una cascada molecular
											que causa los síntomas clínicos
de la enfermedad.
											Antes del punto crítico,
											sus lapsos de memoria
podrían incluir cosas como
											""¿Por qué vine a este cuarto?"",
											o ""¿Cuál era su nombre?"",
											o ""¿Dónde puse las llaves?"".
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											Now, before you all
start freaking out again,
											because I know half of you did at least
one of those in the last 24 hours —
											these are all normal kinds of forgetting.
											In fact, I would argue that these examples
											might not even involve your memory,
											because you didn't pay attention
to where you put your keys
											in the first place.
											After the tipping point,
											the glitches in memory,
language and cognition are different.
											Instead of eventually finding
your keys in your coat pocket
											or on the table by the door,
											you find them in the refrigerator,
											or you find them and you think,
											""What are these for?""
									","
											Avant que vous ne paniquiez
tous à nouveau,
											car la moitié d'entre vous a fait cela
au cours des 24 dernières heures —
											ce sont des oublis normaux.
											En fait, j'avancerais
que ce sont des exemples
											qui n'impliquent pas votre mémoire
											car vous n'avez pas prêté attention
à où vous avez mis vos clés.
											Après le seuil critique,
											les dysfonctionnements de la mémoire,
du langage, de la cognition diffèrent.
											Au lieu de trouver vos clés
dans votre poche de manteau
											ou sur la table près de la porte,
											vous les trouvez dans le frigo
											ou vous les trouvez et vous demandez :
											« A quoi servent-elles ? »
									","
											Bevor Sie jetzt alle in Panik geraten,
											weil Sie mindestens eines dieser Dinge
in den letzten 24 Stunden, getan haben –
											das ist alles normales Vergessen.
											Ich würde sogar behaupten, 
dass bei diesen Beispielen
											nicht mal das Gedächtnis involviert ist,
											weil Sie erst gar nicht aufgepasst haben,
											wo Sie Ihre Schlüssel hingelegt haben.
											Nach Erreichen des Kipppunktes
											sind die Störungen in Gedächtnis, 
Sprache und Wahrnehmung anders.
											Anstatt schließlich Ihre Schlüssel 
in der Jackentasche wiederzufinden,
											oder auf dem Tisch bei der Tür,
											finden Sie sie im Kühlschrank,
											oder Sie finden sie und denken:
											""Wofür sind sie nochmal?""
									","
											Şimdi hepiniz dehşete düşmeden önce,
											çünkü eminim en az yarınız bunlardan
en az birini son 24 saatte yaşadınız—
											bunlar aslında unutulması normal şeyler.
											Hatta, şunu söyleyebilirim ki bunların
											aslında hafızanızla ilgisi bile yok,
											çünkü ilk etapta anahtarları 
nereye koyduğunuza
											dikkat etmediniz.
											Kritik noktadan sonra,
											hafızadaki, dil ve kavramadaki
hatalar farklıdır.
											Anahtarlarınızı sonunda cebinizde

											ya da masada bulmak yerine
											onları buzdolabında bulursunuz
											ya da bulduktan sonra şunu düşünürsünüz,
											''Bunlar ne işe yarıyordu?''
									","
											Ahora, antes de que cunda el pánico,
											porque sé que la mitad aquí hizo alguna
de esas cosas en las últimas 24 horas,
											estos son clases de olvidos normales.
											De hecho, argumentaría que estos ejemplos
											tal vez no involucren la memoria,
											porque no prestaron atención
a donde dejaron las llaves
											en primer lugar.
											Luego del punto crítico,
											los fallos de memoria, lingüísticos
y cognitivos son diferentes.
											En vez de encontrar las llaves
en el bolsillo de su abrigo
											o en la mesa cerca de la puerta,
											las encuentra en el refrigerador,
											o las encuentra y piensa,
											""¿Para qué servían éstas?"".
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											So what happens when amyloid plaques
accumulate to this tipping point?
											Our microglia janitor cells
become hyper-activated,
											releasing chemicals that cause
inflammation and cellular damage.
											We think they might actually
start clearing away
											the synapses themselves.
											A crucial neural transport protein
called ""tau"" becomes hyperphosphorylated
											and twists itself
into something called ""tangles,""
											which choke off the neurons
from the inside.
											By mid-stage Alzheimer's,
we have massive inflammation and tangles
											and all-out war at the synapse
											and cell death.
									","
											Que se passe-t-il
											quand les plaques amyloïdes
s'accumulent jusqu'à atteindre ce seuil ?
											Nos cellules microglies concierges
sont hyper-activées,
											elles libèrent des produits chimiques
											qui causent inflammation
et dégâts cellulaires.
											Nous pensons qu'elles pourraient
commencer à nettoyer
											les synapses elles-mêmes.
											Une protéine cruciale
de transport neuronal
											appelée « tau » devient hyperphosphorylée
											et se déforme pour créer
ce qu'on appelle des « nœuds »
											qui étouffent les neurones de l'intérieur.
											En phase intermédiaire d'Alzheimer,
il y a une forte inflammation, des nœuds,
											une guerre ouverte envers la synapse
											et la mort de la cellule.
									","
											Was passiert also, wenn sich Amyloid-
Plaques bis zum Kipppunkt anhäufen?
											Unsere Mikroglia-Hausmeisterzellen 
werden hyperaktiviert
											und setzen Chemikalien frei, die zu 
Entzündungen und Zellschäden führen.
											Wir glauben, dass sie sogar anfangen,
											die Synapsen abzubauen.
											Ein lebenswichtiger Transporteiweißstoff, 
""Tau"" genannt, wird hyperphosphorisiert
											und verdreht sich zu 
sogenannten ""Tangles"",
											einem Gewirr, das die Neuronen
von innen erdrosselt.
											Im mittleren Alzheimerstadium
haben wir massive Entzündungen, Tangles,
											und Krieg an der Synapse,
											mit Zellsterben.
									","
											Öyleyse amiloid plaklar kritik
noktaya ulaştıktan sonra ne olur?
											Mikrogli temizleyici hücrelerimiz
aşırı aktive olur
											ve iltihap ve hücresel tahribata
yol açan kimyasallar salgılarlar.
											Sinapsları temizlemeye başladıklarını da

											düşünebiliriz.
											''Tau'' olarak adlandırılan önemli bir 
sinir iletim proteini hiperfosfatlanır ve
											kendisini ''yumak'' adı verilen
bir şeylere büker,
											bu da içindeki nöronları kusar.
											Alzheimer'ın orta dönemlerinde
aşırı iltihaplanma ve yumaklar
											ve sinapslarda topyekün savaşlar ve
											hücre ölümleri olur.
									","
											¿Qué sucede cuando las placas amiloides
se acumulan hasta el punto crítico?
											Las células conserjes, las microglías,
se hiperactivan,
											liberan químicos que causan
inflamación y daño celular.
											Pensamos que podrían incluso
empezar a despejar
											las propias sinapsis.
											Una proteína de transporte neural crucial
llamada ""tau"" se vuelve hiperfosforilada
											y se entrelaza creando
algo llamado ""ovillos"",
											que ahogan las neuronas desde adentro.
											Para la etapa intermedia de alzhéimer,
tenemos una inflamación masiva y ovillos
											y una guerra sin cuartel en la sinapsis
											y muerte celular.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
