en,pt,fr,es,de,title,speaker,duration,tags
"
","
","
","
","
",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
											The women told me,
											""You'll adjust to this place.
											You'll fit right in.""
											I was no longer referred to
as Teresa Njoroge.
											The number 415/11 was my new identity,
											and I soon learned that was
the case with the other women
											who we were sharing this space with.
									","
											As mulheres disseram-me:
											""Você vai habituar-se a este lugar
											""Vai acabar por se adaptar.""
											Eu já não era a Teresa Njoroge.
											A minha nova identidade
era o número 415/11.
											Cedo percebi que o mesmo acontecia
com as outras mulheres
											com quem eu ia dividir o espaço.
									","
											Les femmes m'ont dit :
											« Tu t'adapteras à cet endroit.
											Tu trouveras ta place. »
											On ne s'adressait plus à moi
comme étant Teresa Njoroge.
											Le nombre 415/11
était ma nouvelle identité
											et j'ai vite appris que c'était le cas
pour les autres femmes
											avec qui je partageais les lieux.
									","
											Las mujeres me dijeron,
											""Te adaptarás a este lugar.
											Te acostumbrarás"".
											Ya no me llamaban Teresa Njoroge.
											El número 415/11 era mi nueva identidad,
											y pronto aprendí que 
ese era el caso de otras mujeres
											con quién compartía ese espacio.
									","
											Die Frauen sagten mir:
											""Du wirst dich an den Ort gewöhnen.
											Du wirst dich gut einfügen.""
											Man nannte mich nicht mehr Teresa Njoroge.
											Meine neue Identität war die Nummer 415/11
											und ich erfuhr bald,
dass das auf alle Frauen zutraf,
											mit denen ich den Platz teilte.
									",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
","
","
","
","
",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
											And adjust I did to life on the inside:
											the prison food,
											the prison language,
											the prison life.
											Prison is certainly no fairytale world.
									","
											E foi isso que eu fiz: adaptei-me:
											à comida da prisão,
											à linguagem da prisão,
											à vida na prisão.
											A prisão não é certamente
um mundo de conto de fadas.
									","
											Et je me suis adaptée
à la vie à l'intérieur :
											la nourriture de prison,
											le langage de la prison,
											la vie en prison.
											La prison n'est certainement pas
un monde féerique.
									","
											Y me adapté a la vida tras las rejas:
											la comida de la prisión,
											el idioma de la prisión,
											la vida de la prisión.
											La prisión ciertamente no es 
un mundo de cuento de hadas.
									","
											Ich passte mich tatsächlich
an das Leben hinter Gittern an:
											das Gefängnisessen,
											die Gefängnissprache,
											den Gefängnisalltag.
											Ein Gefängnis ist
absolut keine Märchenwelt.
									",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
","
","
","
","
",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
											What I didn't see come my way
											was the women and children
											whom we served time and shared space with,
											women who had been imprisoned
											for crimes of the system,
											the corruption that requires a fall guy,
											a scapegoat,
											so that the person who is responsible
											could go free,
											a broken system that routinely
vilifies the vulnerable,
											the poorest amongst us,
											people who cannot afford to pay bail
											or bribes.
									","
											Com o que eu realmente não contava
											eram essas mulheres e crianças
											com quem partilhei tempo e espaço,
											mulheres que tinham sido presas
											por crimes do sistema,
											pela corrupção que exige um alvo fácil,
											um bode expiatório,
											para que o verdadeiro responsável
possa ficar livre,
											um sistema falido que, rotineiramente,
difama o mais vulnerável,
											o mais pobre entre nós,
											pessoas que não podem
pagar fiança ou subornos.
									","
											Ce que je n'ai pas vu venir,
											ce sont les femmes et les enfants
											avec qui nous purgions notre peine
et partagions l'espace,
											des femmes ayant été emprisonnées
											pour des crimes du système,
											une corruption nécessitant
un dindon de la farce,
											un bouc émissaire,
											afin que la personne qui est responsable
											soit libre.
											Un système défaillant qui diabolise
souvent les vulnérables,
											les plus pauvres d'entre nous,
											des gens qui ne peuvent pas
payer de caution
											ou de pots-de-vin.
									","
											Lo que no comprendo es la manera
											como mujeres y niños
											con quien compartí tiempo y espacio,
											habían sido encarceladas
											por crímenes del sistema,
											por una corrupción que 
requiere un culpable,
											un chivo expiatorio,
											para que la persona responsable
											quede libre,
											un sistema roto que rutinariamente 
vilipendia a los vulnerables,
											a los más pobres de nosotros,
											personas que no pueden pagar la fianza
											o los sobornos.
									","
											Was ich nicht hatte kommen sehen,
											waren die Frauen und Kinder,
											die zusammen mit uns einsaßen;
											Frauen, die für Verbrechen
des Systems inhaftiert wurden,
											weil Korruption immer
einen Buhmann erfordert,
											einen Sündenbock,
											damit der wirkliche Täter
ungeschoren davonkommt.
											Es ist ein kaputtes System,
											in dem hilflose Menschen
routinemäßig diffamiert werden —
											die Ärmsten unter uns,
											die eine Kaution oder Bestechungsgelder
nicht zahlen können.
									",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
","
","
","
","
",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
											And so we moved on.
											As I listened to story after story
											of these close to 700 women
											during that one year in prison,
											I soon realized that crime
											was not what had brought
these women to prison,
											most of them,
											far from it.
											It had started with the education system,
											whose supply and quality
is not equal for all;
											lack of economic opportunities
											that pushes these women
to petty survival crimes;
											the health system,
											social justice system,
											the criminal justice system.
											If any of these women,
											who were mostly from poor backgrounds,
											fall through the cracks
											in the already broken system,
											the bottom of that chasm is a prison,
											period.
									","
											E assim prosseguimos.
											Ao ouvir histórias e mais histórias
											dessas quase 700 mulheres
											durante aquele ano na prisão,
											eu cedo percebi que o crime
											não fora o que levara 
aquelas mulheres à prisão,
											na sua maioria.
											Longe disso.
											Começara pelo sistema educativo,
											cuja oferta e qualidade
não são iguais para todos;
											a falta de oportunidades económicas
											que leva essas mulheres
a pequenos delitos de sobrevivência;
											o sistema de saúde;
											o sistema de justiça social;
											o sistema de justiça criminal.
											Se qualquer uma dessas mulheres,
											na maioria de origem pobre,
											cai pelas brechas
											no sistema já falido,
											o fundo desse abismo é a prisão,
											e ponto final.
									","
											Alors nous avons avancé.
											Alors que j'écoutais toutes les histoires
											de ces presque 700 femmes
											au cours de cette année en prison,
											j'ai réalisé que la criminalité
											n'était pas ce qui avait mené
ces femmes en prison,
											la plupart de ces femmes,
											loin de là.
											Cela avait commencé
avec un système éducatif
											dont la distribution et la qualité
ne sont pas égales pour tous ;
											un manque d'opportunités économiques
											qui pousse ces femmes à commettre
des crimes mineurs pour survivre ;
											le système de santé,
											le système de justice sociale,
											le système de justice pénale.
											Si une de ces femmes,
											pour la plupart issues d'un milieu pauvre,
											passait à travers les mailles du filet
											dans un système déjà défaillant,
											le fond du gouffre est une prison,
											un point c'est tout.
									","
											Y así continuamos.
											Mientras escuchaba historia tras historia
											de estas casi 700 mujeres
											durante ese año en prisión,
											pronto me di cuenta de que el crimen
											no fue lo que llevó 
a estas mujeres a prisión,
											a la mayoría de ellas,
											ni muchos menos.
											Todo había comenzado 
con el sistema educativo,
											cuyo suministro y calidad 
no es igual para todos;
											la falta de oportunidades económicas
											empuja a estas mujeres 
a crímenes de supervivencia menores;
											el sistema de salud,
											sistema de justicia social,
											el sistema de justicia penal.
											Si alguna de estas mujeres,
											que eran en su mayoría de origen pobre,
											caen por las grietas
											del sistema en sí ya roto,
											el fondo de ese abismo es una prisión,
											punto.
									","
											So verging die Zeit.
											Während meines einjährigen Aufenthalts
											erzählten mir die fast 700 Frauen
unzählige Geschichten.
											Ich erkannte schnell,
											dass diese Frauen nicht
wegen Verbrechen im Gefängnis saßen —
											die meisten zumindest.
											Weit gefehlt!
											Es fängt schon bei der Bildung an,
											die nicht alle in demselben Umfang
und derselben Qualität erhalten.
											Wegen des Mangels
an wirtschaftlichen Chancen
											halten sich diese Frauen
mit Bagatelldelikten über Wasser.
											Weiter geht es mit dem Gesundheitssystem,
											der sozialen Gerechtigkeit,
											dem Strafrechtssystem.
											Wenn eine dieser Frauen,
											die ohnehin mehrheitlich
aus armen Verhältnissen stammen,
											in diesem kaputten System
durch das Netz fällt,
											dann wartet unten das Gefängnis auf sie,
											Punkt.
									",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
","
","
","
","
",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
											By the time I completed
my one-year sentence
											at Langata Women Maximum Prison,
											I had a burning conviction
											to be part of the transformation
											to resolve the injustices
											that I had witnessed
											of women and girls
											who were caught up in a revolving door
											of a life in and out of prison
											due to poverty.
									","
											Quando a minha pena
de um ano terminou,
											na prisão de alta segurança
Langata Women,
											eu tinha a certeza absoluta
											de querer fazer parte da transformação
											para solucionar as injustiças
											que havia testemunhado
											contra mulheres e raparigas
											que acabaram presas nesse ciclo
de entrar e sair da prisão
											por causa da pobreza.
									","
											D'ici la fin de ma peine d'un an
											dans la prison haute sécurité
pour femmes de Langata,
											j'étais ardemment convaincue
											que je devais faire partie
de la transformation
											pour résoudre les injustices
											dont j'avais été témoin
											pour les femmes et les filles
											coincées dans une porte tournante,
											une vie à aller et venir en prison
											du fait de la pauvreté.
									","
											Cuando completé mi sentencia de un año
											en la prisión de mujeres de Langata,
											tuve una convicción ardiente
											de ser parte de la transformación
											para resolver las injusticias
											de las que yo había sido testigo
											a mujeres y a niñas
											que fueron atrapadas 
en una puerta giratoria
											de una vida dentro y fuera de la prisión
											debido a la pobreza.
									","
											Als ich meine einjährige Haftstrafe
											im Lang'ata Hochsicherheitsgefängnis
für Frauen abgesessen hatte,
											war ich fest davon überzeugt,
											Teil einer Verwandlung zu sein,
											um die Ungerechtigkeiten zu beseitigen,
											die ich miterlebt hatte:
											Frauen und Mädchen,
deren Leben ein Teufelskreis ist,
											weil sie wegen ihrer Armut
ständig wieder im Gefängnis landen.
									",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
","
","
","
","
",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
