en,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											And this is great.
											It's liberating.
It's empowering. It's wonderful.
											But don't forget that biologically,
we're social animals.
											We've spent most
of our evolutionary history
											in small groups.
											We need those face-to-face interactions
											where we learn
the choreography of altruism
											and where we create those spiritual goods
											like friendship and trust
and loyalty and love
											that redeem our solitude.
											When we have too much of the ""I""
and too little of the ""we,""
											we can find ourselves vulnerable,
											fearful and alone.
											It was no accident
that Sherry Turkle of MIT
											called the book she wrote
on the impact of social media
											""Alone Together.""
									","
											C'est génial.
											C'est libérateur.
C'est stimulant. C'est merveilleux.
											Mais n'oubliez pas que, biologiquement,
nous sommes des animaux sociaux.
											Nous avons passé la majorité
de notre histoire évolutionnaire
											en petits groupes.
											Nous avons besoin
de ces interactions face-à-face
											où nous apprenons
la chorégraphie de l'altruisme
											et où nous créons ces biens spirituels
											comme l'amitié, la confiance,
la loyauté, l'amour,
											qui rachètent notre solitude.
											Quand nous avons trop de « je »
et pas assez de « nous »,
											nous pouvons nous retrouver vulnérables,
											apeurés et seuls.
											Ce n'est pas un accident
si Sherry Turkle du MIT
											a appelé le livre qu'elle a écrit
sur l'impact des réseaux sociaux
											« Seuls ensemble ».
									","
											Und das ist großartig.
											Es ist befreiend, ermächtigend, wunderbar.
											Aber man sollte nicht vergessen,
dass wir soziale Lebewesen sind.
											Wir haben den Großteil
unserer Evolutionsgeschichte
											in kleinen Gruppen verbracht.
											Wir brauchen diese
persönlichen Interaktionen,
											wo wir die Choreografie
des Altruismus lernen
											und wo wir spirituelle Güter erschaffen,
											wie Freundschaft, Vertrauen,
Loyalität und Liebe,
											die unsere Einsamkeit tilgen.
											Wenn wir zu viel vom ""Ich""
und zu wenig vom ""Wir"" haben,
											können wir uns selbst als verletzlich,
											ängstlich und einsam fühlen.
											Es war kein Zufall,
dass Sherry Turkle vom MIT
											ihr Buch über den Einfluss
von sozialen Medien
											""Alone Together""
[Gemeinsam einsam] nannte.
									","
											Ve bu müthiş.
											Bu özgürleştirici.
Bu güçlendirici. Muhteşem.
											Ama unutmayın ki biyolojik olarak
bizler sosyal hayvanlarız.
											Evrimsel tarihimizin çoğunu
											küçük gruplar içinde geçirdik.
											Yüzyüze iletişime ihtiyacımız var.
											Duyarlılığın kareografisini
bu ruhsal etkileşimler sayesinde 

											öğreniriz ve yalnızlığımızın yerini
											dostluk, güven, sadakat ve
											sevgiye bırakırız.
											Ne zaman ''ben''den daha çok ve
''biz''den daha az varsa,
											kendimizi savunmasız,
											korkak ve yalnız buluruz.
											MIT'den Sherry Turkle'ın
											sosyal medya hakkında yazdığı
kitabının adının
											''Birlikte Yalnızız'' koymuş olması
bir kaza değil.
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											So I think the simplest way
of safeguarding the future ""you""
											is to strengthen the future ""us""
											in three dimensions:
											the us of relationship,
											the us of identity
											and the us of responsibility.
									","
											Je pense que la façon la plus simple
de protéger votre « futur moi »
											est de renforcer le « futur nous »
											selon trois dimensions :
											le nous de la relation,
											le nous de l'identité
											et le nous de la responsabilité.
									","
											Der einfachste Weg zur
Sicherstellung des zukünftigen ""Du""
											ist das zukünftige ""Wir"" zu stärken,
											in drei Dimensionen:
											das ""Wir"" in Beziehungen,
											das ""Wir"" der Identität
											und das ""Wir"" von Verantwortung.
									","
											Gelecekteki ''seni'' korumanın en basit
yolu bence
											gelecekteki ''biz''i üç boyutta
											güçlendirerek mümkün:
											İlişkilerimizdeki biz,
											kimliğimizdeki biz
											ve sorumluluklarımızdaki biz.
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											So let me first
take the us of relationship.
											And here, forgive me if I get personal.
											Once upon a time,
											a very long time ago,
											I was a 20-year-old undergraduate
											studying philosophy.
											I was into Nietzsche and Schopenhauer
and Sartre and Camus.
											I was full of ontological uncertainty
											and existential angst.
											It was terrific.
									","
											Laissez-moi prendre d'abord
le nous de la relation.
											Pardonnez-moi si je rentre
dans des détails personnels.
											Il était une fois,
											il y a très longtemps,
											j'étais un étudiant de 20 ans
											qui étudiait la philosophie.
											J'appréciais Nietzsche,
Schopenhauer, Sartre et Camus.
											J'étais plein d'incertitude ontologique
											et d'angoisse existentialiste.
											C'était extraordinaire !
									","
											Nehmen wir zuerst
das ""Wir"" in Beziehungen.
											Vergeben Sie mir,
wenn ich persönlich werde.
											Es war einmal,
											vor langer Zeit,
											war ich 20-jähriger Student,
											der Philosophie studierte.
											Ich stand auf Nietzsche,
Schopenhauer, Sartre und Camus.
											Ich war voller ontologischer Unsicherheit
											und existenzieller Angst.
											Es war sagenhaft.
									","
											O zaman ilişkilerimizdeki
biz ile başlayayım.
											Eğer biraz özelden konuşursam,
beni affedin.
											Bir zamanlar,
											çok çok uzun zaman önce,
											20 yaşında felsefe okuyan
											bir üniversite öğrencisiydim.
											Nietsche ve Schopenhauer, Sartre
ve Camus'u seviyordum.
											Ontolojik belirsizlikle
											ve varoluşsal korkuyla doluydum.
											Bu harikaydı.
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Gülüşmeler)
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											I was self-obsessed
and thoroughly unpleasant to know,
											until one day I saw
											across the courtyard
											a girl
											who was everything that I wasn't.
											She radiated sunshine.
											She emanated joy.
											I found out her name was Elaine.
											We met. We talked.
											We married.
											And 47 years, three children
and eight grandchildren later,
											I can safely say
											it was the best decision
I ever took in my life,
											because it's the people not like us
											that make us grow.
											And that is why I think
											we have to do just that.
									","
											J'étais égocentrique
et profondément désagréable,
											jusqu'à ce qu'un jour je vois,
											à l'autre bout de la cour,
											une fille
											qui était tout ce que je n'étais pas.
											Du soleil rayonnait en elle.
											La joie émanait d'elle.
											J'ai découvert que son nom était Elaine.
											On s'est rencontrés, on s'est parlé,
on s'est mariés.
											Et 47 ans, trois enfants
et huit petits-enfants plus tard,
											je peux dire avec certitude
											que c'était la meilleure décision
que j'ai prise de ma vie
											car ce sont les gens
qui ne sont pas comme nous
											qui nous font grandir.
											C'est pourquoi je pense
											que nous devons faire cela.
									","
											Ich war selbstbesessen und
es war echt unangenehm, mich zu kennen,
											bis ich eines Tages
											quer über den Hof
											ein Mädchen sah,
											die alles war, was ich nicht war.
											Aus ihr strahlte die Sonne.
											Sie verströmte Freude.
											Ich fand heraus, dass sie Elaine hieß.
											Wir trafen uns. Wir sprachen.
											Wir heirateten.
											Und 47 Jahre, drei Kinder
und 8 Enkel später
											kann ich mit Sicherheit sagen,
											dass es die beste Entscheidung
meines Lebens war,
											denn es sind die Menschen,
die nicht wie wir sind,
											die uns wachsen lassen.
											Daher denke ich,
											wir müssen genau das tun.
									","
											Kendimle doluydum
ve bunu bilmek çok üzücü,
											taa ki bir gün
parkın karşısında
											bir kız görene kadar
											ve bu kız,
											benim olmadığım herşeydi.
											Gün ışığı saçıyordu.
											mutluluk yayıyordu.
											Adının Elaine olduğunu öğrendim.
											Tanıştık. Konuştuk.
											Ve evlendik.
											47 yıldır, üç çocuk ve
sekiz torundan sonra,
											diyebilirim ki,
											bu hayatımda aldığım 
en iyi karardı,
											çünkü bizi geliştiren,
											bize benzeyemeyen insanlardır.
											Ve bence bu yüzden
											tam da bunu yapmalıyız.
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											The trouble with Google filters,
											Facebook friends
											and reading the news by narrowcasting
rather than broadcasting
											means that we're surrounded
almost entirely by people like us
											whose views, whose opinions,
whose prejudices, even,
											are just like ours.
											And Cass Sunstein of Harvard has shown
											that if we surround ourselves
with people with the same views as us,
											we get more extreme.
											I think we need to renew
those face-to-face encounters
											with the people not like us.
											I think we need to do that
											in order to realize
that we can disagree strongly
											and yet still stay friends.
											It's in those face-to-face encounters
											that we discover
that the people not like us
											are just people, like us.
											And actually, every time
											we hold out the hand of friendship
											to somebody not like us,
											whose class or creed
or color are different from ours,
											we heal
											one of the fractures
											of our wounded world.
											That is the us of relationship.
									","
											Le problème des filtres Google,
											des amis Facebook
											et de lire des actualités ciblées
plutôt que des actualités générales,
											c'est que nous sommes entourés
presque entièrement de gens comme nous
											dont les points de vue, les opinions,
les préjugés même
											sont similaires aux nôtres.
											Et Cass Sunstein de Harvard a montré
											que si nous nous entourons de gens
ayant les mêmes points de vue que nous,
											nous devenons plus extrêmes.
											Je pense que nous devons renouveler
ces rencontres face-à-face
											avec des gens qui ne nous ressemblent pas.
											Je pense que nous devons le faire
											afin de réaliser que nous pouvons
être en désaccord complet
											et pourtant être amis.
											Ce sont durant ces rencontres face-à-face
											que nous découvrons que les gens
qui ne nous ressemblent pas
											ne sont que des gens, comme nous.
											En fait, à chaque fois
											que nous tendons la main de l'amitié
											à quelqu'un qui ne nous ressemble pas,
											dont la classe, la croyance ou la couleur
est différente de la nôtre,
											nous guérissons
											une des fractures
											de notre monde blessé.
											C'est le nous de la relation.
									","
											Das Problem mit Google-Filtern,
											Facebook-Freunden
											und Nachrichten lesen, indem man selektiv
statt breit gestreut schaut,
											ist, dass wir komplett von Leuten
wie uns umgeben sind,
											deren Ansichten, Meinungen
und sogar Vorurteile
											genau wie unsere sind.
											Cass Sunstein aus Harvard hat gezeigt,
											wenn wir uns mit Gleichgesinnten umgeben,
											werden wir extremer.
											Wir müssen die persönlichen
Begegnungen wieder beleben,
											mit Menschen, die nicht wie wir sind.
											Wir sollten das machen,
											um zu erkennen,
dass wir absolut uneinig sein
											und trotzdem Freunde sein können.
											In diesen persönlichen
Begegnungen erkennen wir,
											dass Menschen, die nicht wie wir sind,
											auch Menschen sind, so wie wir.
											Und jedes Mal,
											wenn wir uns mit jemandem anfreunden,
											der nicht wie wir ist,
											dessen Klasse, Glauben
oder Hautfarbe von uns abweicht,
											heilen wir
											einen der Risse
											unserer verwundeten Welt.
											Das ist das ""Wir"" in Beziehungen.
									","
											Google filtreleri
											ve Facebook arkadaşlarıyla
											olan sorun, aldığımız haberlerin 
yayılarak değil daraltılarak dağıtımı,
											yani tamamen bize benzeyen 
insanlarla, düşünceleri,
											görüşleri, önyargıları
											bize benzeyen insanlarla çevrili 
oluşumuz.
											Ve Harvard'tan Cass Sunstein'in
											gösterdiği gibi,
kendimizi bize benzeyen insanlarla
											çevrelersek, aşırıcı oluruz.
											Bence kendimize bezemeyen insanlarla
											yüz-yüze karşılaşmaları 
yenilemeliyiz.
											Bunu büyük görüş ayrılıkları
											yaşamamıza rağmen,
											arkadaş kalabilmemizle 
yapabilmeliyiz.
											Çünkü bu yüzyüze karşılaşmalar
											aracılığıyla bizler
bizim gibi olmayan insanların da
											bizim gibi insan olduklarını 
keşfedebiliriz.
											Ve aslında, dostluk elimizi
											bize sınıf olarak, inanç yönünden
											farklı olan birine,
											uzattığımız her anda
											yaralı dünyamızın
											bir kırığını
											iyileştiririz.
											Bu ilişkilerdeki biziz.
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											Second is the us of identity.
											Let me give you a thought experiment.
											Have you been to Washington?
Have you seen the memorials?
											Absolutely fascinating.
											There's the Lincoln Memorial:
											Gettysburg Address on one side,
Second Inaugural on the other.
											You go to the Jefferson Memorial,
											screeds of text.
											Martin Luther King Memorial,
											more than a dozen quotes
from his speeches.
											I didn't realize,
in America you read memorials.
											Now go to the equivalent
in London in Parliament Square
											and you will see that the monument
to David Lloyd George
											contains three words:
											David Lloyd George.
									","
											En deuxième vient le nous de l'identité.
											Laissez-moi vous proposer
une expérience de pensée.
											Avez-vous déjà vu les monuments
commémoratifs à Washington ?
											C'est absolument fascinant.
											Il y a le Lincoln Memorial :
											d'un côté le discours de Gettysburg,
de l'autre son second discours inaugural.
											Vous allez au Jefferson Memorial,
											des chapes de texte.
											Le Martin Luther King Memorial,
											plus d'une douzaine
de citations de ses discours.
											J'ignorais qu'en Amérique,
on lisait les monuments commémoratifs.
											Allez voir l'équivalent à Londres,
à Parliament Square,
											et vous verrez que le monument
dédié à David Lloyd George
											n'a que trois mots :
											David Lloyd George.
									","
											Als Nächstes kommt
das ""Wir"" der Identität.
											Ich stelle Ihnen
ein Gedankenexperiment vor.
											Waren Sie in Washington?
Haben Sie die Denkmäler gesehen?
											Absolut faszinierend.
											Es gibt das Lincoln Memorial:
											die Gettysburg-Rede auf einer Seite,
											die zweite Antrittsrede auf der anderen.
											Dann das Jefferson Memorial,
											einen Sermon an Text.
											Das Martin Luther King Memorial
											hat mehr als ein Dutzend
Zitate seiner Reden.
											Mir war nicht bewusst,
dass man in den USA Denkmäler liest.
											Sieht man sich das Pendant
in London am Parliament Square an,
											dann hat das Denkmal
für David Lloyd George
											drei Wörter:
											David Lloyd George.
									","
											İkincisi kimliğmiz ve biz.
											Size bir düşünce deneyi vereyim.
											Washington'a hiç gittiniz mi?
Oradaki anıtları hiç gördünüz mü?
											Kesinlikle müthiş.
											Lincoln Anıtı:
											Gettysburg Konuşması bir yanında
İkinci başkanlık konuşması diğer yanında.
											Jefferson Anıtına giderseniz,
											uzunca metinler.
											Martin Luther King Anıtı,
											konuşmalarından düzinelerce 
alıntılar.
											Amerika'da anıtları
okuduğunuzu bilmiyordum.
											Şimdi Londra'ya gidin,
Parlamento meydanındaki anıtlarda
											ve David Lloyd George'un anıtında
											sadece üç sözcük olduğunu 
göreceksiniz:
											David Lloyd George.
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Gülüşmeler)
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											Nelson Mandela gets two.
											Churchill gets just one:
											Churchill.
									","
											Nelson Mandela en a deux.
											Churchill n'en a qu'un :
											Churchill.
									","
											Nelson Mandela hat zwei.
											Churchill hat nur eins:
											Churchill.
									","
											Nelson Mandela'da iki sözcük.
											Churchill için ise sadece bir:
											Churchill.
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Gülüşmeler)
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
