en,fr,pt,es,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											But those aren't the things
that stuck with me or guided me
											when I stopped being a midwife
and started other jobs.
											What stuck with me was this bedrock belief
											that each one of us comes into this world
with a unique worth.
											When I looked into the face of a newborn,
											I caught a glimpse of that worthiness,
											that sense of unapologetic selfhood,
											that unique spark.
											I use the word ""soul""
to describe that spark,
											because it's the only word in English
that comes close to naming
											what each baby brought into the room.
									","
											Mais ce ne sont pas les choses
qui me sont restées ou m'ont guidée
											quand j'ai arrêté d'être sage-femme
et commencé d'autres emplois.
											Ce qui m'est resté c'est la conviction
											que chacun d'entre nous vient au monde
avec une valeur unique.
											En regardant le visage d'un nouveau-né,
											j'apercevais cette valeur,
											ce sens d'individualité impénitente,
											cette étincelle unique.
											J'utilise le mot « âme »
pour décrire cette étincelle
											car c'est le seul mot anglais
dont le sens se rapproche
											de ce que chaque bébé
apporte dans la pièce.
									","
											Mas não foram essas coisas
que me ficaram ou que me orientaram
											quando deixei de ser parteira
e comecei com outros empregos.
											O que conservei
foi uma convicção inabalável
											de que todos nós vimos ao mundo
com um valor especial.
											Quando olhava para o rosto
de um recém-nascido,
											captava um vislumbre desse valor,
											uma sensação
de individualidade impenitente
											uma centelha especial.
											Uso a palavra ""alma""
para descrever essa centelha,
											porque é a única palavra
que se aproxima
											do que cada bebé introduzia no quarto.
									","
											Pero esas no son las cosas 
que me impactaron o me guiaron
											al dejar de ser partera y emprender 
otros caminos laborales.
											Lo que me quedó fue esta firme creencia
											de que cada uno de nosotros viene 
a este mundo con un valor único.
											Cuando miraba la cara de un recién nacido,
											lograba ver que valía,
											ese sentido de la individualidad 
sin complejos,
											esa chispa única.
											Uso la palabra ""alma"" 
para describir esa chispa,
											porque es la única palabra en inglés 
que se aproxima a la denominación
											de lo que cada bebé aporta a la sala.
									","
											Her yeni doğan bir kar tanesi gibi tektir.
											Biyoloji, soy ve gizemin
											eşsiz bir karışımı.
											Daha sonra o bebek büyür.
											Aileye uyum sağlaması için,
											kültüre, topluma
											ve cinsiyete alışması için
											o küçük ruhunu katman katman
											örtmeye başlar.
											Bu şekilde doğduk,
											ama —
									","
											Was mir in Erinnerung geblieben ist
und was mich geleitet hat,
											als ich keine Hebamme mehr war 
und andere Jobs annahm,
											war jedoch etwas anderes:
die felsenfeste Überzeugung,
											dass jeder von uns mit einem 
einzigartigen Wert in diese Welt kommt.
											Wenn ich in das Gesicht 
eines Neugeborenen blickte,
											erhaschte ich einen Blick auf diesen Wert,
											dieses kompromisslose Selbstsein,
											diesen einzigartigen Funken.
											Ich beschreibe diesen Funken
mit dem Wort ""Seele"",
											denn es ist das einzige englische Wort,
das annähernd beschreibt,
											womit jedes einzelne Baby 
den Raum erfüllte.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Every newborn was as singular
as a snowflake,
											a matchless mash-up of biology
											and ancestry and mystery.
											And then that baby grows up,
											and in order to fit into the family,
											to conform to the culture,
											to the community, to the gender,
											that little one begins to cover its soul,
											layer by layer.
											We're born this way,
											but —
									","
											Chaque nouveau-né était
un flocon de neige unique,
											un mélange sans pareil de biologie,
											de généalogie et de mystère.
											Puis ce bébé grandit
											et, pour appartenir à la famille,
											pour se conformer à la culture,
											à la communauté, au genre
											ce petit commence à couvrir son âme,
											de façon graduelle.
											Nous sommes nés ainsi
											mais —
									","
											Cada recém-nascido era
como um floco de neve individual,
											uma mistura ímpar de biologia,
											de ancestralidade e de mistério.
											Depois, esse bebé cresce,
											e, para se encaixar na sua família,
											para se adequar à cultura,
											à comunidade, ao seu sexo,
											aquele pequeno ser começa
a esconder a sua alma,
											camada a camada.
											Nascemos assim
											mas...
									","
											Cada recién nacido era tan singular 
como un copo de nieve,
											un inigualable complejo de biología
											genealogía y misterio.
											Y entonces el bebé crece,
											y para encajar en la familia,
											para ajustarse a la cultura,
											a la comunidad, al género,
											el pequeño empieza a cubrir su alma,
											capa por capa.
											Nacemos de esta manera,
											pero...
									","
											(Gülüşmeler)
									","
											Jedes Neugeborene war so einzigartig
wie eine Schneeflocke,
											eine einmalige Mischung aus Biologie,
											Abstammung und Mysterium.
											Dann wird dieses Baby älter,
											und um sich in die Familie einzufügen,
											um sich der Kultur anzupassen,
											der Gemeinschaft und seinem Geschlecht,
											beginnt dieser kleine Mensch damit, 
seine Seele zu verdecken,
											Schicht um Schicht.
											So werden wir geboren,
											aber —
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									","
											Fakat büyüdükçe,
											bize
											duygusal tuhaflığımızı ve gerçekliğimizi
gizlettiren birçok şey olur.
											Hepimiz bunu yaptık.
											Bu odadaki herkes eskiden bebekti —
									","
											(Lachen)
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											But as we grow, a lot
of things happen to us
											that make us ...
											want to hide our soulful
eccentricities and authenticity.
											We've all done this.
											Everyone in this room is a former baby —
									","
											En grandissant, il nous arrive
beaucoup de choses
											qui nous font...
											vouloir cacher nos excentricités
et notre authenticité émouvantes.
											Nous l'avons tous fait.
											Tout le monde dans cette salle
est un ancien bébé —
									","
											... à medida que crescemos,
acontecem-nos muitas coisas
											que nos levam
											a querer esconder as nossas excentricidades
e a nossa autenticidade, cheias de alma.
											Todos fizemos isso.
											Todos os que estão nesta sala
já foram um bebé
									","
											Pero a medida que crecemos, 
muchas cosas que nos pasan
											que nos constituyen...
											ocultan nuestras excentricidades 
sentimentales y autenticidades.
											Todos hemos hecho esto.
											Todo el mundo en esta sala 
es un antiguo bebé,
									","
											(Gülüşmeler)
									","
											Aber wenn wir älter werden, 
widerfahren uns viele Dinge,
											die dazu führen,
											dass wir unsere tief gefühlte Besonderheit
und Authentizität verstecken möchten.
											Wir alle haben das getan.
											Jeder in diesem Raum war einmal ein Baby
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									","
											kendine özgü bir doğuş hakkı ile.
											Ama yetişkin olarak, kendi içimizde tatsız
şekilde o kadar çok zaman geçiriyoruz ki
											sanki ÖAB'miz var gibi:
Özgünlük Açığı Bozukluğu.
											Fakat bebekler için değil,
											henüz değil.
											Bana mesajları:
											Ruhunu ortaya çıkar
											ve herkeste
											o ruh kıvılcımını ara.
											O hâlâ orada.
									","
											(Lachen)
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											with a distinctive birthright.
											But as adults, we spend so much
of our time uncomfortable in our own skin,
											like we have ADD:
authenticity deficit disorder.
											But not those babies —
											not yet.
											Their message to me was:
											uncover your soul
											and look for that soul-spark
											in everyone else.
											It's still there.
									","
											avec un droit de naissance distinct.
											Mais, en tant qu'adultes, nous passons
tant de temps mal à l'aise dans notre peau
											comme si nous avions un TDA :
un trouble du déficit de l'authenticité.
											Mais pas ces bébés,
											pas encore.
											Leur message à mon encontre était :
											découvre ton âme
											et cherche cette étincelle de l'âme
											chez tous les autres.
											Elle est encore là.
									","
											com um direito inato característico.
											Mas, quando adultos, passamos
muito tempo desconfortáveis na nossa pele,
											como se tivéssemos PDA:
perturbação do défice de autenticidade.
											Mas aqueles bebés não,
											ainda não.
											A mensagem que eu recebia deles era:
											""Destapa a tua alma
											""e procura essa centelha de alma
											""em toda a gente.
											""Ela continua lá"".
									","
											con un derecho de nacimiento distintivo.
											Pero de adultos pasamos gran parte del 
tiempo incómodos en nuestra propia piel,
											como si tuviéramos trastorno 
por déficit de autenticidad.
											Pero no esos bebés,
											aún no.
											Su mensaje para mí fue:
											descubrir su alma
											y buscar esa chispa del alma
											en todos los demás.
											Todavía está allí.
									","
											İşte doğumdaki kadınlardan
öğrendiklerim.
											Onların mesajları açık kalmak hakkında,
											hatta bir şeyler acı verici olsa bile.
											Bir kadının rahim ağzı normalde 
şu şekildedir.
											Rahim tabanında
											sıkı, küçük bir kas.
											Doğum sırasında, bu durumdan
											bu duruma gerilir.
											Of!
											Eğer o acıya karşı savaşırsan
											sadece daha fazla acı yaratırsın
											ve doğmak isteyen şeyi engellersin.
									","
											mit einem ausgeprägten Geburtsrecht.
											Aber als Erwachsene fühlen wir uns 
in unserer Haut so häufig unwohl,
											als hätten wir ADS:
Authentizitäts-Defizit-Syndrom.
											Aber nicht die Babys,
											noch nicht.
											Ihre Botschaft an mich war:
											Enthülle deine Seele,
											und suche den Seelenfunken
											in jedem anderen.
											Er ist noch da.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											And here's what I learned
from laboring women.
											Their message was about staying open,
											even when things are painful.
											A woman's cervix normally looks like this.
											It's a tight little muscle
											at the base of the uterus.
											And during labor,
it has to stretch from this
											to this.
											Ouch!
											If you fight against that pain,
											you just create more pain,
											and you block what wants to be born.
									","
											Voici ce que j'ai appris
en faisant accoucher des femmes.
											Leur message était de rester ouverte,
											même quand les choses sont douloureuses.
											Le col de l'utérus d'une femme
ressemble à ceci.
											C'est un petit muscle tendu
											à la base de l'utérus.
											Durant l'accouchement,
il s'étire pour passer de cela
											à cela.
											Aïe !
											Si vous luttez contre cette douleur,
											vous aurez encore plus mal
											et vous bloquez ce qui veut naître.
									","
											Também aprendi com as parturientes.
											A mensagem delas era mantermo-nos abertas,
											mesmo quando as coisas são dolorosas.
											Um colo do útero normalmente
tem este aspeto.
											É como um pequeno músculo rígido
na base do útero.
											Durante o parto,
tem que se distende daqui
											até aqui.
											Ai!
											Se lutarmos contra esta dor,
											criamos ainda mais dores
											e bloqueamos aquele que quer nascer.
									","
											Y esto es lo que he aprendido 
de las parturientas.
											Su mensaje era sobre permanecer abierta,
											incluso cuando las cosas son dolorosas.
											El cuello uterino de una mujer 
normalmente se parece a esto.
											Es un pequeño músculo apretado
											en la base del útero.
											Y durante el parto, tiene que estirarse
											a esto.
											¡Ay!
											Si luchas contra el dolor,
											acabas creando más dolor,
											y bloqueas al que quiere nacer.
									","
											Bir kadın acıya karşı koymaya 
son verdiğinde ve açıldığında
											meydana gelen şeyin sihrini
											asla unutmayacağım.
											Sanki evrenin güçleri
bir şeyleri fark etmiş de
											bir yardım dalgası göndermiş gibi.
											Bu mesajı asla unutmayacağım.
											Şimdi, bana zorlu veya acı verici 
bir şey olduğunda,
											yaşamımda veya işimde,
											tabii ki ilk olarak onlara karşı koyarım.
											Fakat daha sonra annelerden 
öğrendiğimi hatırlarım.
											Açık kal.
											Merakta kal.
											Acıya ne doğurtmaya geldiğini sor.
											Yeni bir şey doğmak istiyor.
									","
											Von den gebärenden Frauen 
habe ich Folgendes gelernt.
											Ihre Botschaft war, offen zu bleiben,
											auch wenn es weh tut.
											Normalerweise sieht der Muttermund so aus.
											Er ist ein angespannter kleiner Muskel
											am unteren Ende der Gebärmutter.
											Und während der Wehen
muss er sich von hier
											nach hier ausdehnen.
											Aua!
											Gegen diesen Schmerz anzukämpfen,
											verursacht noch größere Schmerzen
											und versperrt dem, was geboren
werden will, den Weg.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											I'll never forget the magic
that would happen
											when a woman stopped resisting the pain
											and opened.
											It was as if the forces
of the universe took notice
											and sent in a wave of help.
											I never forgot that message,
											and now, when difficult
or painful things happen to me
											in my life or my work,
											of course at first I resist them,
											but then I remember
what I learned from the mothers:
											stay open.
											Stay curious.
											Ask the pain what it's come to deliver.
											Something new wants to be born.
									","
											Je n'oublierai jamais
la magie se produisant
											quand une femme arrête
de résister à la douleur
											et s'ouvre.
											C'est comme si les forces de l'univers
avaient remarqué
											et envoyé une vague d'aide.
											Je n'ai jamais oublié ce message
											et maintenant, quand des choses
difficiles ou douloureuses m'arrivent
											dans ma vie ou mon travail,
											bien sûr, je commence par leur résister
											mais ensuite je me souviens
de ce que j'ai appris des mères :
											rester ouverte.
											Rester curieuse.
											Demander à la douleur
ce qu'elle a apporté.
											Quelque chose de nouveau veut naître.
									","
											Nunca esquecerei a magia
que acontecia
											quando uma mulher
deixava de resistir à dor
											e se abria.
											Era como se as forças do universo
dessem por isso
											e enviassem uma onda de ajuda.
											Nunca esqueci essa mensagem,
											e agora, quando me acontecem
coisas difíceis ou dolorosas,
											na minha vida ou no meu trabalho,
											claro que, a princípio, resisto-lhes,
											mas depois lembro-me
do que aprendi com as mães:
											mantermo-nos abertas.
											Mantermo-nos curiosas.
											Perguntar à dor o que é
que ela nos quer entregar.
											Há uma coisa nova que quer nascer.
									","
											Nunca olvidaré la magia que sucedió
											cuando una mujer 
dejó de resistirse al dolor
											y se abrió.
											Era como si las fuerzas 
del universo se dieran cuenta
											y enviaran una ola de ayuda.
											Nunca he olvidado ese mensaje,
											y ahora, cuando me pasan 
cosas difíciles o dolorosas
											en mi vida o en mi trabajo,
											por supuesto, en un primer momento 
pienso en resistir,
											pero luego recuerdo 
lo que aprendí de las madres:
											Permanece abierta.
											Permanece curiosa.
											Pregunta al dolor 
qué ha venido a entregar.
											Algo nuevo quiere nacer.
									","
											Bir tane daha büyük, duygusal
bir ders vardı.
											Bunu Albert Einstein'dan öğrendim.
											O doğumların hiçbirinde yoktu, ama —
									","
											Ich werde nie vergessen,
welches Wunder immer dann geschah,
											wenn eine Frau nicht länger
gegen den Schmerz ankämpfte
											und sich öffnete.
											Es war, als ob die Kräfte 
des Universums dies bemerkten
											und zu Hilfe kamen.
											Ich habe diese Botschaft nie vergessen,
											und wenn mir nun schwierige 
oder schmerzhafte Dinge widerfahren,
											im Leben oder bei der Arbeit,
											kämpfe ich natürlich zunächst dagegen an,
											aber dann erinnere ich mich,
was ich von den Müttern gelernt habe:
											Bleibe offen.
											Bleibe neugierig.
											Frage den Schmerz, was er bringen will.
											Etwas Neues möchte geboren werden.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											And there was one more big soulful lesson,
											and that one I learned
from Albert Einstein.
											He wasn't at any of the births, but —
									","
											Il y a une autre importante
leçon émouvante
											que j'ai apprise d'Albert Einstein.
											Il n'était pas aux naissances mais —
									","
											Houve mais uma grande lição cheia de alma
											que aprendi com Albert Einstein.
											Ele não foi nenhum dos meus bebés, mas...
									","
											Y había otra gran lección 
aún más conmovedora,
											y es que uno que aprendí 
de Albert Einstein.
											No estuvo en ninguno 
de los nacimientos, pero...
									","
											(Gülüşmeler)
									","
											Und es gab eine weitere 
große Seelenlektion,
											die lernte ich von Albert Einstein.
											Er war bei keiner Geburt dabei, sondern —
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									","
											Bu ders zaman hakkındaydı.
											Hayatının sonunda, Albert Einstein
											bizim normal, tekrarlayıp duran
hayat deneyimimizin
											yanılsama olduğunu sonuçlandırdı.
											Oradan oraya daha hızlı koşturuyoruz,
											bir yere gitmeye çalışıyoruz.
											Ve bu süreçte,
											yüzeyin altındaki zaman
tamamen farklı bir boyuttur
											ve burada geçmiş, şimdi
ve gelecek birleşerek
											derin zaman hâline gelir.
											Ulaşılacak bir yer yok.
									","
											(Lachen)
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											It was a lesson about time.
											At the end of his life,
Albert Einstein concluded
											that our normal, hamster-wheel
experience of life
											is an illusion.
											We run round and round, faster and faster,
											trying to get somewhere.
											And all the while,
											underneath surface time
is this whole other dimension
											where the past and the present
and the future merge
											and become deep time.
											And there's nowhere to get to.
									","
											C'est une leçon sur le temps.
											A la fin de sa vie,
Albert Einstein a conclu
											que notre expérience de la vie normale,
celle du hamster dans sa roue,
											est une illusion.
											Nous tournons et tournons,
toujours plus vite,
											en essayant d'aller quelque part.
											Et pendant ce temps,
											sous le temps surfacique,
il y a une toute autre dimension
											où le passé, le présent
et le futur fusionnent
											deviennent du temps profond.
											Il n'y a nulle part où aller.
									","
											Foi uma lição sobre o tempo.
											No fim da sua vida,
Albert Einstein chegou à conclusão
											de que a nossa experiência de vida
normal, tipo roda de um hamster,
											é uma ilusão.
											Andamos à roda, à roda,
cada vez mais depressa,
											tentando chegar a qualquer lado.
											E, durante todo esse tempo,
											por baixo da superfície do tempo,
está uma outra dimensão,
											em que se fundem o passado,
o presente e o futuro

											e que se transforma
em tempo profundo.
											Não há nenhum sítio para onde ir.
									","
											Fue una lección sobre el tiempo.
											Al final de su vida, Albert Einstein 
llegó a la conclusión de que
											nuestra experiencia de vida normal
como de rueda de hámster
											es una ilusión.
											Damos vueltas y vueltas, 
cada vez más rápido,
											tratando de llegar a alguna parte.
											Y, mientras tanto,
											bajo esa superficie está 
toda esta otra dimensión
											donde el pasado y el presente 
y el futuro se funden
											y convergen en el tiempo profundo.
											Y no hay ningún lugar al que llegar.
									","
											Albert Einstein bu durumu, bu boyutu,
											""sadece olmak"" diye adlandırdı.
											Bunu deneyimlediğinde,
											kutsal huşuyu biliyordu.
											Bebek doğurttuğumda,
											kendimi tekrarlamıyordum.
											Bazen günlerce ve saatlerce oturmak
zorunda kaldım,
											sadece aileler ile nefes alabiliyordum.
											Sadece olmak.
											Büyük bir doz kutsal huşu aldım.
									","
											es war eine Lektion über die Zeit.
											Am Ende seines Lebens 
kam Albert Einstein zu dem Schluss,
											dass unsere normale
Hamsterrad-Lebenserfahrung
											eine Illusion ist.
											Wir rennen im Kreis, immer schneller,
											um irgendwo anzukommen.
											Und die ganze Zeit über
											liegt unterhalb der Oberflächenzeit
noch eine ganz andere Dimension,
											in der Vergangenheit, Gegenwart
und Zukunft verschmelzen
											und zur Tiefenzeit werden.
											Und dort gibt es kein Ziel.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Albert Einstein called
this state, this dimension,
											""only being.""
											And he said when he experienced it,
											he knew sacred awe.
											When I was delivering babies,
											I was forced off the hamster wheel.
											Sometimes I had to sit for days,
hours and hours,
											just breathing with the parents;
											just being.
											And I got a big dose of sacred awe.
									","
											Albert Einstein a appelé
cet état, cette dimension
											« seulement être ».
											Il disait que quand il s'y aventurait,
											il connaissait l'émerveillement sacré.
											Quand je mettais des bébés au monde,
											je devais sortir de la roue du hamster.
											Parfois, je devais passer des jours,
des heures et des heures,
											à simplement respirer avec les parents ;
											à seulement être.
											Et je recevais une bonne dose
d'émerveillement sacré.
									","
											Albert Einstein chamava a esse estado,
a essa dimensão,
											""apenas ser"".
											Disse que, quando a tinha sentido,
											experimentou um respeito sagrado.
											Quando eu ajudava os bebés a nascer,
											era forçada a sair da roda do hamster.
											Por vezes, tinha que ficar ali sentada,
durante dias, horas após horas,
											apenas a respirar com os pais,
											apenas a ser.
											Fiquei com uma grande dose
de respeito sagrado.
									","
											Albert Einstein llamó 
a este estado, esta dimensión,
											""Solo ser"".
											Y dijo cuando lo experimentó,
											que conoció el temor reverencial sagrado.
											Cuando yo estaba en partos,
											me vi forzada a estar 
fuera de la rueda de hámster.
											A veces tenía que sentarme 
por días, horas y horas,
											simplemente a respirar con los padres;
											solo estando.
											Y tengo una gran dosis de temor sagrado.
									","
											Bu üç dersi, ebelikten aldım.
											Bir: Ruhunu ortaya çıkar.
											İki: Bir şeyler zor ya da acı vericiyse,
açık kalmayı dene.
											Ve üç: Arada bir 
kendini tekrar etmekten çıkıp
											derin zamanın içine adım at.
									","
											Albert Einstein nannte 
diesen Zustand, diese Dimension
											""einfach sein"".
											Er sagte, als er es erlebt habe,
											habe er verstanden,
was heilige Ehrfurcht ist.
											Als ich Babys entbunden habe,
											musste ich das Hamsterrad verlassen.
											Manchmal musste ich tagelang,
Stunde um Stunde, dasitzen,
											und nur mit den Eltern atmen;
											einfach sein.
											Ich bekam eine große Dosis 
heiliger Ehrfurcht verabreicht.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
