en,de,fr,tr,title,speaker,duration,tags
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											(Laughter)
									","
											(Zuschauer lachen)
									","
											(Rires)
									","
											(Kahkahalar)
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											Because we knew
somebody would feel this —
									","
											Wir wussten, dass das
die Reaktion sein würde,
									","
											Nous savions
que quelqu'un ressentirait ça —
									","
											Çünkü sonuçlar ilan edildiğinde
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											(Laughter)
									","
											(Lachen)
									","
											(Rires)
									","
											(Kahkahalar)
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											when the result of the election
was announced.
											And when we found out the result,
											we really were at a loss,
											and this is the image
that was sent by Bob Staake again,
											and that really hit a chord.
											And again,
											we can't really figure out
what's going to come next,
											but here it felt like we didn't
know how to move forward,
											but we did move forward,
											and this is the image that we published
after Donald Trump's election
											and at the time of the Women's March
											all over the US.
									","
											wenn die Wahlergebnisse
bekannt gegeben werden würden.
											Als wir dann die Ergebnisse
wirklich erfuhren,
											wussten wir nicht mehr weiter.
											Dieses Bild wurde wieder
von Bob Staake eingesendet.
											Das hat es wirklich gut getroffen.
											Am Ende wissen wir nie wirklich,
was als nächstes passieren wird.
											Hier wussten wir nicht,
wie wir weitermachen sollten,
											aber wir fanden einen Weg
											und veröffentlichten dieses Bild hier,
nachdem Donald Trump gewählt wurde
											und während der Woman's March
in den ganzen USA gehalten wurde.
									","
											lors de l'annonce
du résultat de l'élection.
											Lorsque nous avons découvert le résultat,
											nous étions vraiment perplexes.
											Voici l'image qui a été envoyée
par Bob Staake - encore lui -
											et elle a vraiment touché juste.
											Une fois encore,
											on ne peut pas vraiment savoir
ce qui va arriver,
											Mais c'était comme si nous ne savions
plus comment avancer.
											Nous avons avancé malgré tout
											et c'est l'image que nous avons publié
après l'élection de Donald Trump
											et lors de la marche des femmes
											dans tous le pays.
									","
											birilerinin böyle
hissedeceğini biliyorduk.
											Sonucu öğrendiğimizde de
											bir kayıptaydık,
											Bob Staake tarafından gönderilen
bu görsel de gerçekten çok ses getirdi.
											Yine söyleyeyim, devamında ne olacağını
bir türlü kestiremiyoruz
											ama burada nasıl ilerleyeceğimizi
hiç bilmiyor gibiydik
											ama ilerledik
											ve işte Donald Trump'ın seçilmesi sonrası
											Tüm ABD'de Kadın Yürüyüşü varken
yayınladığımız görsel.
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											So over those 24 years,
											I have seen over 1,000 images
come to life week after week,
											and I'm often asked
which one is my favorite,
											but I can't pick one
											because what I'm most proud of
is how different every image is,
											one from the other.
											And that's due to the talent
and the diversity
											of all of the artists that contribute.
									","
											Während dieser 24 Jahre
											habe ich mehr als 1 000 Bilder
Woche für Woche entstehen sehen
											und werde oft gefragt,
welches mein Favorit ist,
											aber ich kann mich für keins entscheiden,
											denn am stolzesten bin ich darauf,
wie unterschiedlich alle Bilder sind.
											Das liegt an dem Talent
und der Vielfältigkeit der Künstler,
											die dazu beitragen.
									","
											Durant ces 24 années,
											j'ai vu des milliers d'images
voir le jour semaine après semaine.
											On me demande souvent
quelle est ma préférée
											mais je n'arrive pas à en choisir une
											parce que ce dont je suis le plus fière,
											c'est de la manière dont ces images
diffèrent l'une de l'autre.
											Et c'est dû au talent
et à la diversité
											de tous les artistes qui ont contribué.
									","
											Bu 24 yıl boyunca,
											her hafta 1.000'in üzerinde görselin
hayata geçişini izledim,
											kendime en çok hangisini
sevdiğimi sordum
											ama seçemiyorum
											çünkü her bir görselin birbirinden
bu kadar farklı olmasından gururlanıyorum.
											Bunu da ressamlarımızın
yetenek ve çeşitliliğine borçluyuz.
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											And now, well,
											now, we're owned by Russia,
											so —
									","
											Jetzt gehören wir Russland
											und somit —
									","
											À présent, eh bien,
											nous sommes détenus par la Russie
											donc —
									","
											Şimdi de Rusya bizi sahiplenmiş görünüyor,
											o yüzden —
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											(Laughter)
									","
											(Lachen)
									","
											(Rires)
									","
											(Kahkahalar)
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											In a rendering by Barry Blitt here,
											Eustace has become
Eustace Vladimirovich Tilley.
											And the butterfly is none other
than a flabbergasted Donald Trump
											flapping his wings,
											trying to figure out
how to control the butterfly effect,
											and the famed logo
that was drawn by Rae Irvin in 1925
											is now in Cyrillic.
									","
											verwandelte Barry Blitt
in seiner Darstellung hier
											Eustace in Eustace Vladimirovich Tilley.
											Der Schmetterling ist nun
ein verblüffter Donald Trump,
											der wild mit den Flügeln
schlägt und versucht,
											den Schmetterlingseffekt
unter Kontrolle zu bringen
											und der berühmte Schriftzug
von Rae Irvin von 1925
											ist jetzt auf kyrillisch.
									","
											Dans une interprétation
de Barry Blitt ici,
											Eustace s'est transformé
en Eustace Vladimirovich Tilley.
											Et le papillon n'est rien d'autre
qu'un Donald Trump sidéré,
											battant ses ailes,
											et se demandant
comment contrôler l'effet papillon.
											Le fameux logo dessiné
par Rae Irvin en 1925
											est à présent en cyrillique.
									","
											Barry Blitt'ten bir çalışma sonucunda
											Eustace artık
Eustace Vladimirovich Tilley oldu.
											Bu kelebek de kanat çırpan
şaşırmış bir Donald Trump'ın ta kendisi.
											Kelebek etkisini nasıl kontrol altına
alacağını anlamaya çalışıyor
											ve 1925'te Rae Irvin tarafından yapılan 
ünlü logo Kiril Alfabesinde yazılmış.
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											So, what makes me really excited
about this moment
											is the way that ...
											You know, free press
is essential to our democracy.
											And we can see from
the sublime to the ridiculous
											that artists can capture what is going on
											in a way that an artist
											armed with just India ink and watercolor
											can capture and enter
into the cultural dialogue.
											It puts those artists
at the center of that culture,
											and that's exactly
where I think they should be.
											Because the main thing we need
right now is a good cartoon.
									","
											Was mich an diesem Moment
wirklich beeindruckt, ist,
											wie wichtig die freie Presse
											für unsere Demokratie ist.
											Und wir sehen vom Erhabenen
bis zum Lächerlichen,
											wie gut Künstler einen Moment
einfangen können —
											auf dieselbe Weise, auf die ein Künstler,
											bewaffnet allein mit Tusche
und Aquarellfarben,
											den kulturellen Dialog darstellen
und daran teilnehmen kann.
											Es stellt die Künstler
in den Mittelpunkt dieser Kultur
											und dort gehören sie
meiner Meinung auch hin,
											denn was wir gerade am meisten brauchen,
											ist eine gute Karikatur.
									","
											Ce qui m'enthousiasme
vraiment avec notre époque,
											c'est la façon dont...
											Vous savez, la liberté de la presse
est essentielle à notre démocratie.
											Nous pouvons voir,
du sublime au ridicule,
											que les artistes peuvent capturer
l'air du temps
											de la façon qu'un artiste,
											simplement armé
d'encre de chine et d'aquarelle,
											peut capturer et entrer
dans le dialogue culturel.
											Ces artistes sont placés
au centre de cette culture
											et je pense que c'est exactement
là où ils doivent se trouver.
											Parce que ce dont nous avons besoin
de nos jours, c'est d'un bon dessin.
									","
											Bana bu görselin yaşattığı heyecan
öyle bir şey ki...
											Basın özgürlüğünün demokrasi için
çok önemli olduğunu biliyorsunuz.
											Olağanüstüden komediye kadar
											ellerinde yalnızca hint mürekkebi,
suluboya olan ressamların,
											o anları eşsiz bir şekilde yakalayıp

											kültürel diyaloğa 
aktardıklarını görebiliyoruz.
											Bu yeti onları o kültürün
merkezine yerleştiriyor
											ve bence olmaları gereken yer de
tam olarak orası.
											Çünkü ihtiyacımız olan asıl şey
iyi bir karikatür.
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											Thank you.
									","
											Vielen Dank.
									","
											Merci.
									","
											Teşekkür ederim.
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											(Applause)
									","
											(Applaus)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
