en,es,tr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											People think that I've forgotten their name
											when I hesitate before saying it.
											And it is a very weird thing, because
											proper nouns are the worst.
											If I'm going to use the word
""Wednesday"" in a sentence,
											and I'm coming up to the word,
											and I can feel that I'm going to stutter or something,
											I can change the word to ""tomorrow,""
											or ""the day after Tuesday,""
											or something else.
											It's clunky, but you can get away with it,
											because over time I've developed this
											loophole method of using speech
											where right at the last minute you
											change the thing and you trick your brain.
											But with people's names, you can't change them.
											(Laughter)
											When I was singing a lot of jazz,
											I worked a lot with a pianist whose name was Steve.
											As you can probably gather,
											S's and T's, together or independently,
											are my kryptonite.
											But I would have to introduce the band
											over this rolling vamp,
											and when I got around to Steve,
											I'd often find myself stuck on the ""St.""
											And it was a bit awkward and uncomfortable 
and it totally kills the vibe.
											So after a few instances of this,
											Steve happily became ""Seve,""
											and we got through it that way. (Laughter)
									","
											Piensan que me he olvidado de sus nombres
											cuando titubeo antes de decirlos.
											Y es algo muy extraño, porque
											los nombres propios son los peores.
											Si voy a usar la palabra 
""miércoles"" en una frase,
											y estoy llegando a la palabra,
											y siento que voy a tartamudear,
											puedo cambiarla por ""mañana""
											o ""el día después del martes"",
											o algo así.
											Parece tonto, pero así puedes 
salirte con la tuya.
											Con el tiempo he desarrollado
											este método particular de hablar
											cuando, justo en el último minuto,
											cambio la cosa y engaño al cerebro.
											Pero los nombres de las personas, 
no se pueden cambiar.
											(Risas)
											Cuando cantaba mucho jazz,
											trabajé mucho con un pianista 
llamado Steve.
											Como imaginarán, reunir
											la S y la T, juntas 
o de forma independiente,
											son mi kriptonita.
											Pero tenía que presentar a la banda
											al retoque de los platillos,
											y cuando llegaba a Steve,
											a menudo me quedaba
pegada en el ""St"".
											Era un poco difícil e incómodo 
pues mataba totalmente la onda.
											Así que después de un par 
de situaciones similares,
											Steve felizmente se convirtió en ""Seve""
											y continuamos de esa manera. (Risas)
									","
											Söylemeden önce duraksadığımda
											isimlerini unuttum sanıyorlar.
											Ve bu çok garip çünkü
											özel isimler en kötüsü.
											Eğer cümlede ""çarşamba""
kelimesini kullanacaksam
											o kelimeye yaklaşıyorsam
											ve kekeleyeceğimi hissedersem,
											kelimeyi ""yarın""la
											ya da ""salıdan sonraki gün""le
											veyahut başka bişeyle değiştirebiliyorum.
											Biraz kullanışsız ama işe yarayabilir.
											Çünkü zamanla konuşmanın
kaçamak noktasını
											bulma metodunu geliştirdim,
											son anda o şeyi değiştirdiğin
											ve beynini kandırdığın metodu.
											Ama insanların isimlerini
değiştiremiyorsun işte.
											(Kahkahalar)
											Çokça jazz söylediğim zamanlarda
											adı Steve olan bir piyanistle çok çalıştım
											Ve anlayabileceğiniz üzere,
											S ve T'ler bir arada ya da ayrı ayrı
											benim zayıf noktam.
											Ama şarkıya başlamadan önce
											grubu tanıtmak zorunda kalırdım
											ve Steve'in yanına geldiğimde
											""St"" de takılıp kalıyordum.
											biraz garip ve rahatsız ediciydi
ayrıca havayı da tamamen bozuyor.
											Aynı durumu birkaç kere yaşadıktan sonra
											Steve çok şükür ki ""Seve"" oldu.
											Ve bu şekilde halletmiş olduk. (Kahkahalar)
									","
											Die Leute denken, dass ich
ihren Namen vergessen habe,
											wenn ich kurz zögere.
											Und es ist sehr seltsam,
											weil Eigennamen am schlimmsten sind.
											Wenn ich das Wort ""Mittwoch""
in einem Satz verwenden möchte,
											und kurz vor dem Sagen des Wortes fühle,
											dass ich stottern werde,
											dann kann ich das Wort durch ""morgen"",
											""der Tag nach Dienstag""
											oder durch etwas anderes ersetzen.
											Es ist umständlich,
aber man kann damit durchkommen,
											weil ich mit der Zeit 
diese Schlupflochmethode
											beim Sprechen entwickelt habe,
											mit der man in letzter Sekunde
											den Begriff ändert
und so das Gehirn austrickst.
											Aber Eigennamen kann man nicht ändern.
											(Gelächter)
											Zu einer Zeit, als ich häufig Jazz sang,
											arbeitete ich oft mit einem
Klavierspieler namens Steve.
											Wie Sie sich wahrscheinlich
schon denken können,
											sind S's und T's,
beieinander oder einzeln,
											meine Schwachstelle.
											Ich musste aber die Gruppe
											während des Zwischenspiels vorstellen,
											und als ich zu Steve gelangte,
											blieb ich oftmals beim ""St"" stecken.
											Es war ein wenig peinlich, unangenehm
und machte die ganze Stimmung kaputt.
											Nach ein paar Auftritten wie jenem
											wurde aus Steve glücklicherweise ""Seve""
											und wir kamen auf diese Weise durch.
(Gelächter)
									","
											Pensam que eu me esqueci do nome delas
											quando hesito antes de o dizer.
											E é algo muito estranho,
											porque os nomes próprios são a coisa pior.
											Se vou usar a palavra 
""quarta-feira"" numa frase,
											quando estou quase a dizê-la
											e sinto que vou gaguejar,
											consigo mudar a palavra para ""amanhã"",
											ou ""o dia depois de terça-feira"",
											ou outra coisa qualquer.
											É desajeitado, mas dá para me safar,
											porque, ao longo do tempo,
											desenvolvi um método alternativo de fala
											em que, mesmo no último minuto,
											mudo a palavra e engano o cérebro.
											Mas não posso mudar o nome das pessoas.
											(Risos)
											Quando cantava muito ""jazz"",
											trabalhava muito com um pianista 
que se chamava S-s-steve.
											Como já se devem ter apercebido,
											os ""s"" e os ""t"", juntos ou separados,
											são o meu ponto fraco.
											Mas eu tinha de apresentar a banda
											enquanto eles improvisavam,
											e quando chegava ao S-s-steve,
											muitas vezes bloqueava no ""st"".
											Era um pouco constrangedor 
e acabava com a energia.
											Então, depois de alguns
incidentes como este,
											o Steve tornou-se no ""Seve"",
											(Risos)
											e ultrapassámos assim a situação.
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											I've had a lot of therapy,
											and a common form of treatment is to use
											this technique that's called smooth speech,
											which is where you almost
sing everything that you say.
											You kind of join everything together in this
											very singsong, kindergarten teacher way,
											and it makes you sound very serene,
like you've had lots of Valium,
											and everything is calm. (Laughter)
											That's not actually me.
											And I do use that. I do.
											I use it when I have to be on panel shows,
											or when I have to do radio interviews,
											when the economy of airtime is paramount.
											(Laughter)
											I get through it that way for my job.
											But as an artist who feels that their work
											is based solely on a platform of honesty
											and being real,
											that feels often like cheating.
									","
											He tenido un montón de terapia,
											y un tratamiento común es usar
											esta técnica que se llama discurso suave,
											que consiste en cantar 
casi todo lo que dices.
											Es como unir todo con el sonsonete
											de maestra de kinder muy cantarina,
											que te hace sonar muy serena, como si 
hubieras tomado un montón de Valium,
											y todo estuviera en calma. (Risas)
											Esa realmente no soy yo.
											Yo uso la técnica. De verdad.
											La uso cuando tengo que 
hablar en un programa,
											o en entrevistas en radio,
											cuando el valor del tiempo en el aire 
es de suma importancia.
											(Risas)
											Me sale de esa manera por mi trabajo.
											Pero como artista 
que siente que su trabajo
											se basa totalmente 
en una plataforma de honestidad
											y de ser real,
											a menudo sería como 
pensar que haces trampa.
									","
											Bir sürü terapi gördüm
											ve kullanımı yaygın olan bir tedavi
											neredeyse şarkı söyleyecekmiş gibi konuştuğun
											telaşsız konuşma denilen bir teknikti.
											Bu çokça tekdüze,
anaokulu öğretmenimsi yolla
											bir araya getirirsin her şeyi
											ve sesin çok huzurluymuşsun gibi çıkar,
sanki bir sürü sakinleştirici almışsın gibi.
											ve her şey sakinmiş gibi.
											Açıkçası bu ben değilim.
											Ve bunu kullanıyorum, evet.
											Panellerde yer almak zorunda olduğumda
											ya da yayının olağanüstü
para yaptığı zamanlarda
											radyo röportajı yapmak zorunda olduğumda.
											(Kahkahalar)
											Mesleğim için bu şekilde çıkıyorum işin içinden.
											Ama işinin tamamıyla dürüstlükten
											ve gerçek olmaktan
											oluştuğunu düşünen bir sanatçı olarak
											çoğu zaman kopya çekiyormuşum
gibi hissediyorum.
									","
											Ich machte viele Therapien,
											und eine übliche Form der Behandlung
											ist eine Methode namens 
""Sprechtechnischer Ansatz"",
											wobei man fast alles singt, was man sagt.
											Man fasst irgendwie alles
in diesem Singsang zusammen,
											so wie es Kindergärtnerinnen tun.
											So klingt man sehr gelassen, als hätte man
eine Menge Valium genommen,
											und alles ist ruhig. (Gelächter)
											Das bin ich eingentlich nicht.
											Aber ich benutze es wirklich.
											Ich benutze es,
											wenn ich zu Gesprächsrunden
im Fernsehen eingeladen bin,
											oder wenn ich Radio-Interviews gebe,
											wo Zeit eine wichtige Rolle spielt.
											(Gelächter)
											Auf diese Weise bewältige ich meinen Job.
											Aber als eine Künstlerin, die fühlt,
											dass ihr Werk allein
auf der Grundlage von Ehrlichkeit basiert,
											und darauf, sie selbst zu sein,
											fühlt es sich oft wie Betrug an.
									","
											Já fiz muita terapia,
											e uma forma comum de tratamento
											é utilizar a técnica chamada ""fala suave"",
											que é quando quase cantamos 
tudo o que dizemos.
											Quase juntamos tudo
											nesta maneira cantante
de professora do pré-escolar,
											que nos faz soar muito serenos,
como se tivéssemos tomado Valium,
											(Risos)
											e tudo estivesse calmo. 

											Eu não sou nada assim.
											E uso bastante isto. Uso realmente.
											Uso quando tenho que estar
em tertúlias na TV
											ou quando tenho que dar
entrevistas na rádio,
											quando é primordial
a economia de tempo no ar .
											(Risos)
											Passo por isto desta forma 
no meu trabalho.
											Mas como uma artista
que sente que o seu trabalho
											é somente baseado
numa plataforma de honestidade
											e de ser real,
											parece que isto é batota.
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											Which is why before I sing, I wanted to tell you
											what singing means to me.
											It's more than making nice sounds,
											and it's more than making nice songs.
											It's more than feeling known, or understood.
											It's more than making you feel the things that I feel.
											It's not about mythology,
											or mythologizing myself to you.
											Somehow, through some miraculous
											synaptic function of the human brain,
											it's impossible to stutter when you sing.
											And when I was younger,
that was a method of treatment
											that worked very well for me,
											singing, so I did it a lot.
											And that's why I'm here today.
									","
											Por eso, antes de cantar, 
quería decirles
											lo que hacerlo significa para mí.
											Es más que hacer sonidos lindos,
											más que hacer canciones bonitas.
											Es más que sentirse reconocida, 
o comprendida.
											Es más que hacer 
que sientan lo que siento.
											No se trata de mitología,
											o de mitologizarme para ustedes.
											De alguna manera,
											gracias a una función sináptica 
milagrosa del cerebro humano,
											es imposible tartamudear cuando cantas.
											Cuando era más joven, 
este era un método de tratamiento
											que funcionó muy bien para mí:
											cantar. Por eso lo hacía mucho.
											Y es por eso que estoy aquí hoy.
									","
											Bu yüzden şarkıya başlamadan önce
											şarkı söylemenin benim için
ne anlama geldiğini anlatmak istedim.
											Güzel sesler çıkarmaktan,
											güzel şarkılar yapmaktan çok öte birşey.
											Bilindiğini ya da anlaşıldığını hissetmekten,
											hissettiklerimi size hissetirmekten çok öte bir şey.
											Mitolojiyle alakası yok
											ya da kendimi mitleştirmekle.
											Bir şekilde, beynin mucizevi
											bir sinaptik işlevi vasıtasıyla
											şarkı söylerken kekelemek imkansız.
											Ve küçükken bu bana çok iyi gelen
											bir tedavi metoduydu
											şarkı söylemek, bu yüzden
ben de çokça söyledim.
											Bugün bunun sayesinde buradayım.
									","
											Deswegen wollte ich Ihnen
vor dem Singen erzählen,
											was das Singen für mich bedeutet.
											Es ist mehr als nur schöne Klänge
zu produzieren,
											und mehr als nur schöne Lieder zu singen.
											Es ist mehr als sich bekannt
oder verstanden zu fühlen.
											Es ist mehr als meine Gefühle
an Sie zu weiterzugeben.
											Es geht nicht um Mythologie,
											oder darum, meine Mythologie
an Sie weiterzuleiten.
											Irgendwie, durch eine wundersame,
											synaptische Funktion
des menschlichen Gehirns,
											ist es unmöglich,
während des Singens zu stottern.
											Als ich jünger war,
wirkte diese eine Art der Therapie
											besonders gut bei mir:
											also das Singen.
Von da an sang ich ständig.
											Und deshalb bin ich heute hier.
									","
											É por isso que, antes de cantar,
gostaria de vos dizer
											o que cantar significa para mim.
											É mais do que emitir sons bonitos,
											é mais do que criar c-c-canções bonitas.
											É mais do que se sentir
conhec-c-cido ou entendido.
											É mais do que fazer-vos sentir
o que estou a sentir.
											Não se trata de mitologia,
											ou de me mitificar para vocês.
											De alguma maneira,

											através de uma função sináptica
milagrosa do cérebro humano,
											é impossível gaguejar quando cantamos.
											Quando eu era mais nova,
este era um método de tratamento
											que funcionava muito bem para mim:
											cantar, então eu cantava muito.
											É por isso que aqui estou hoje.
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaus)
									","
											(Aplausos)
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											Thank you.
									","
											Gracias.
									","
											Teşekkür ederim.
									","
											Vielen Dank.
									","
											Obrigada.
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											Singing for me is sweet relief.
											It is the only time when I feel fluent.
											It is the only time when what comes out of my mouth
											is comprehensively exactly what I intended.
											(Laughter)
											So I know that this is a TED Talk,
											but now i'm going to TED sing.
											This is a song that I wrote last year.
									","
											Cantar para mí es un dulce alivio.
											Es el único momento 
en el que me siento con fluidez.
											Es el único momento 
en el que lo que sale de mi boca
											es exactamente lo que pretendía.
											(Risas)
											Sé que esta es una charla TED,
											pero ahora haré un canto TED.
											Esta es una canción 
que escribí el año pasado.
									","
											Şarkı söylemek benim için çok tatlı bir rahatlık.
											Akıcı konuştuğumu hissettiğim tek an.
											Ağzımdan çıkanların tam olarak
											söylemek istediğim şeyler olarak çıktığı tek an.
											(Kahkahalar)
											Biliyorum bu bir TED konuşması,
											ama şimdi TED şarkısı olacak.
											Bu ,geçen sene yazdığım bir şarkı.
									","
											Singen ist für mich
eine süße Erleichterung.
											Nur dabei fühle ich mich ""fließend"".
											Nur dann ist das,
was aus meinem Mund kommt,
											genau das, was ich beabsichtigte.
											(Gelächter)
											Ich weiß ja,
dass dies ein TED-Vortrag ist,
											aber jetzt wird ein TED-Singen daraus.
											Dieses Lied habe ich
letztes Jahr geschrieben.
									","
											Cantar, para mim, é um alívio.
											É o único momento
em que me s-s-sinto fluente.
											É o único momento em que
o que sai da minha boca
											é exatamente o que eu queria dizer.
											(Risos)
											Então, eu sei que esta é uma palestra TED,
											mas agora vou fazer um musical TED.
											Esta é uma canção
que compus no ano passado.
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											Thank you very much. Thank you.
									","
											Muchas gracias. Gracias.
									","
											Çok teşekkürler. Teşekkür ederim.
									","
											Vielen Dank. Danke.
									","
											Muito obrigada. Obrigada.
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Aplausos)
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											(Piano)
									","
											(Piano)
									","
											(Piyano)
									","
											(Klavier)
									","
											(Piano)
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											♪ I would be a beauty ♪
									","
											♪ Yo sería una belleza, ♪
									","
											Güzel olabilirdim
									","
											♪ Ich wäre eine Schönheit, ♪
									","
											♪ Eu seria linda ♪
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
