en,fr,pt,de,title,speaker,duration,tags
"
											The proposition, which sought 
to make it illegal
											for homosexuals to work 
in Californian schools,
											would prove to be the biggest battle 
of Milk’s career.
											Supporters of Prop 6 attacked 
the LGBT community,
											calling them unfit to work with students.
											But Milk urged them not to hide in fear:
											“Come out to your relatives.
											Come out to your friends, 
if indeed they are your friends.
											Come out to your neighbors, 
to your fellow workers…
											break down the myths.
											Destroy the lies and distortions.
											For your sake. For their sake.”
											Alongside other activists,
											he ran an incandescent campaign 
against hate.
									","
											Cette proposition,
cherchant à rendre illégal
											pour les homosexuels de travailler
dans les écoles californiennes,
											devint la plus grande bataille
de la carrière de Milk.
											Les partisans de l'initiative Briggs
ont attaqué la communauté LGBT,
											les disant inaptes à travailler
avec des élèves.
											Mais Milk les a exhortés à ne pas
vivre dans la peur et se cacher :
											« Faites votre coming out
											auprès de votre famille, vos amis,
si ce sont vos amis.
											Faites votre coming out
auprès de vos voisins, vos collègues...
											Brisez les mythes.
											Réduisez à néant
les mensonges et les distorsions.
											Pour votre bien. Pour leur bien. »
											Aux côtés d'autres activistes,
											il a mené une campagne
incandescente contre la haine.
									","
											Esta proposta, que procurava
tornar ilegal
											que os homossexuais trabalhassem
nas escolas da Califórnia
											seria a batalha mais importante
da carreira de Milk.
											Os apoiantes da Proposta 6
atacavam a comunidade LGBT
											chamando-lhes impróprios
para trabalharem com estudantes.
											Mas Milk aconselhou-os
a não se esconderem com medo:
											""Assumam-se perante os vossos parentes,
											""perante os vossos amigos,
se eles são mesmo vossos amigos,
											""perante os vossos vizinhos,
perante os vossos colegas,
											""Dêem cabo dos mitos.
											""Destruam as mentiras e as distorções.
											""Para vosso bem. Para bem deles"".
											Juntamente com outros ativistas,
											dirigiu uma campanha
incandescente contra o ódio.
									","
											Der Vorschlag, der ein Arbeitsverbot
für Homosexuelle
											an Kaliforniens Schulen anstrebte,
											entpuppte sich als größter Kampf
in Milks Karriere.
											Unterstützer des Vorschlags 6
attackierten die LGBT Gemeinde,
											mit Aussagen sie wären untauglich
für die Arbeit mit Schülern.
											Aber Milk treibt sie an
sich nicht aus Angst zu verstecken:
											""Kommt raus zu euren Angehörigen.
											Kommt raus zu euren Freunden,
wenn sie echte Freunde sind.
											Komm raus zu deinen Nachbarn
zu deinen Arbeitskollegen ...
											zerstöre die Mythen.
											Vernichte die Lügen und Verdrehungen.
											Dir zuliebe. Denen zuliebe.""
											Neben anderen Aktivisten,
											startete er eine 
glühende Kampagne gegen Hass.
									",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
","
","
","
",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
											On November 7, 1978,
											Prop 6 was defeated in a landslide.
											It was proof that Milk’s message was 
gaining traction.
											But just twenty days after this 
inspiring victory,
											he was assassinated at City Hall–
											killed alongside San Francisco 
Mayor George Moscone.
									","
											Le 7 novembre 1978,
											l'initiative Briggs a essuyé
une défaite écrasante.
											C'était la preuve que le message de Milk
gagnait du terrain.
											Mais 20 jours seulement
après cette victoire motivante,
											il a été assassiné à la mairie -
											tué aux côtés du maire
de San Francisco, George Moscone.
									","
											A 7 de novembro de 1978,
											a Proposta 6 foi derrotada 
esmagadoramente.
											Provou-se que a mensagem de Milk
estava a ganhar terreno.
											Mas 20 dias depois
dessa vitória inspiradora,
											ele foi assassinado na câmara municipal,
											morto juntamente com o ""mayor""
George Moscone, de São Francisco.
									","
											Am 7. November 1978
											wurde der Vorschlag 6 haushoch abgelehnt.
											Das bewies, dass Milks Nachricht
an Zugkraft gewann.
											Aber nur 20 Tage nach diesem
inspirierenden Sieg,
											wurde auf ihn im Rathaus
ein tödlicher Anschlag ausgeübt —
											nebenher wurde San Franciscos
Bürgermeister George Mascone getötet.
									",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
","
","
","
",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
											Both men had been murdered by Dan White,
											a former fellow supervisor,
											who had positioned himself against those 
he called ""radicals, social deviates
											and incorrigibles.”
											He had frequently clashed with Harvey 
at Board meetings,
											and resented the spirit of change 
which Milk personified for many.
											The night of Milk's murder,
											thousands marched by candlelight 
through the city.
									","
											Les deux hommes ont été
assassinés pas Dan White,
											un ancien conseiller municipal,
											qui s'était positionné comme étant contre
ceux qu'il appelait « les radicaux,
											les déviants sociaux
et les incorrigibles. »
											Il était fréquemment entré en conflit
avec Harvey lors de réunions
											et méprisait l'esprit de changement
que Milk personnifiait pour beaucoup.
											La nuit du meurtre de Milk,
											des milliers de personnes ont marché
à travers la ville avec des bougies.
									","
											Os dois homens foram assassinados
por Dan White,
											um antigo colega supervisor,
											que se tinha colocado contra
aqueles a quem chamava
											""radicais, desviados sociais,
e incorrigíveis"".
											Tinha entrado em choque frequentemente
com Harvey em reuniões do conselho
											e ressentiu-se do espírito de mudança
que Milk personificava para muita gente.
											Na noite em que Milk foi assassinado,
											milhares desfilaram pela cidade
à luz das velas.
									","
											Beide Männer wurde von Dan White ermordet,
											einem ehemaligen Verwaltungskollegen,
											der sich gegen diese sogenannten
""Radikale, sozial Abgewichenen
											und Unverbesserlichen"" positioniert hatte.
											Es hat häufig zwischen ihm und 
Harvey bei den Ratssitzungen gescheppert,
											und er verübelte ihm seinen Pioniergeist,
											den Milk für so viele personifiziert hat.
											In der Nacht von Milks Ermordung
											marschierten Tausende
bei Kerzenlicht durch die Stadt.
									",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
","
","
","
",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
											In the wake of this tragedy,
											yet another injustice arose.
											In a highly controversial verdict,
											White received a sentence of only seven 
years and eight months–
											a decision that sparked uproar 
throughout the city
											in what became known as 
the White Night Riots.
									","
											A la suite de cette tragédie,
											une autre injustice est survenue.
											Dans un verdict très controversé,
											White a reçu une sentence
de seulement sept ans et huit mois -
											une décision ayant suscité
des troubles dans toute la ville
											dans ce que l'on connaît sous le nom
des émeutes de la nuit White.
									","
											Na sequência desta tragédia,
											ocorreu uma outra injustiça.
											Num veredito altamente polémico,
											White recebeu uma condenação
de apenas sete anos e oito meses,
											uma decisão que desencadeou
tumultos pela cidade
											no que veio a ser conhecido
pelos ""motins da noite White"".
									","
											Als Folge dieser Tragöde
											entstand eine weitere Ungerechtigkeit.
											In einem stark umstrittenen Urteil,
											erhielt White eine Verurteilung von nur
sieben Jahren und acht Monaten -
											eine Entscheidung, die einen Eklat
in der ganzen Stadt entflammte,
											die für die ""White Night Riots""
bekannt wurde.
									",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
","
","
","
",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
											But even after his death,
											Milk continued to preach 
his hopeful cause.
											He left his friends and followers a total 
of three different tapes
											to be played in the event 
of his assassination.
											They leave us with a call to action,
											and a reminder that everyone is welcome
in the fight against injustice:
											""I ask for the movement to continue…
											and if a bullet should enter my brain,
											let that bullet destroy 
every closet door…”
									","
											Mais même après sa mort,
											Milk a continué de prêcher de l'espoir.
											Il a laissé à ses amis et partisans
trois cassettes différentes
											à écouter dans l'éventualité
où il était assassiné.
											Elles nous laissent un appel à l'action
											et un rappel que tout le monde
est le bienvenu
											dans la lutte contre l'injustice :
											« Je demande à ce que
le mouvement continue...
											et si une balle devait
pénétrer mon cerveau,
											qu'elle brise également ce qui maintient
les homosexuels dans l'obscurité. »
									","
											Mas, mesmo depois da sua morte,
											Milk continuou a difundir
a sua causa de esperança.
											Deixou aos seus amigos e seguidores
três cassetes diferentes
											para serem ouvidas
no caso do seu assassínio.
											Deixa-nos nelas um apelo à ação,
											e o aviso de que todos são bem-vindos
na luta contra a injustiça:
											""Eu peço que o movimento continue...
											""e, se uma bala entrar na minha cabeça,
											""que essa bala destrua
as portas de todos os armários...""
									","
											Aber selbst nach seinem Tod,
											predigte Milk seinen
hoffnungsvollen Grund weiter.
											Er vermacht seinen Freunden
und Anhängern insgesamt
											drei Bänder für den
Fall seiner Ermordung.
											Sie hinterlassen uns mit
einem Aufruf zum Handeln
											und einer Erinnerung, dass jeder im Kampf
gegen Ungerechtigkeit willkommen ist:
											""Ich bitte die Bewegung
weiterzumachen ...
											und wenn eine Kugel
in mein Gehirn eindringt,
											lass jene Kugel jedes Versteck zerstören
											in dem sich die übrigen
Homosexuellen verbergen ...""
									",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
"
","
","
","
",Harvey Milk's radical vision of equality,Lillian Faderman,5:02,"TED-Ed,animation,gay,gender equality,government,politics,activism,culture,policy,history,world cultures,United States"
