en,de,pt,title,speaker,duration,tags
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											At the heart of this problem
are two numbers,
											two extremely dangerous numbers.
											These are properties of the universe
that we can measure,
											and they're extremely dangerous
											because if they were different,
even by a tiny bit,
											then the universe as we know it
would not exist.
											The first of these numbers is associated
with the discovery that was made
											a few kilometers from this hall,
at CERN, home of this machine,
											the largest scientific device
ever built by the human race,
											the Large Hadron Collider.
											The LHC whizzes subatomic particles
around a 27-kilometer ring,
											getting them closer and closer
to the speed of light
											before smashing them into each other
inside gigantic particle detectors.
											On July 4, 2012, physicists
at CERN announced to the world
											that they'd spotted
a new fundamental particle
											being created at the violent collisions
at the LHC: the Higgs boson.
									","
											Der Kern des Problems sind zwei Zahlen,
											zwei äußerst gefährliche Zahlen.
											Eigenschaften unseres Universums,
die wir messen können,
											und die äußerst gefährlich sind.
											Wenn sie auch nur um 
eine Winzigkeit abwichen,
											würde unser Universum nicht existieren.
											Die erste Zahl rührt von der Entdeckung, 
die einige km von hier gelang —
											am CERN, der Heimat dieser Maschine,
											dem größten Gerät, 
das die Menschheit je baute:
											der Large Hadron Collider.
											Der LHC beschleunigt subatomare Teilchen
in einem 27 km langen Ring
											auf nahezu Lichtgeschwindigkeit,
											bevor sie innerhalb riesiger 
Teilchendetektoren zusammenstoßen.
											Am 4. Juli 2012 
verkündete das CERN der Welt,
									","
											No fundo deste problema
existem dois números,
											dois números extremamente perigosos.
											São propriedades do universo
que conseguimos medir,
											e são extremamente perigosos
											porque, se fossem 
ligeiramente diferentes,
											o universo tal como o conhecemos
não existiria.
											O primeiro número tem que ver
com a descoberta que fizemos
											a uns quilómetros desta sala,
no CERN, onde está esta máquina,
											a maior máquina científica
alguma vez construída pelo Homem.
											o Grande Colisor de Hadrões
(LHC).
											O LHC acelera partículas subatómicas
num anel com 27 km de comprimento,
											aproximando as suas
velocidades à velocidade da luz
											antes de elas colidirem umas com as outras
dentro de enormes detetores de partículas.
											No dia 4 de julho de 2012,
os físicos do CERN anunciaram
											que encontraram uma
nova partícula fundamental
											que foi criada através de colisões
violentas no LHC: o bosão de Higgs.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											Now, if you followed the news at the time,
											you'll have seen a lot of physicists
getting very excited indeed,
											and you'd be forgiven for thinking
											we get that way every time
we discover a new particle.
											Well, that is kind of true,
											but the Higgs boson
is particularly special.
											We all got so excited
because finding the Higgs
											proves the existence
of a cosmic energy field.
											Now, you may have trouble
imagining an energy field,
											but we've all experienced one.
											If you've ever held a magnet
close to a piece of metal
											and felt a force pulling across that gap,
											then you've felt the effect of a field.
											And the Higgs field
is a little bit like a magnetic field,
											except it has a constant value everywhere.
											It's all around us right now.
											We can't see it or touch it,
											but if it wasn't there,
											we would not exist.
											The Higgs field gives mass
											to the fundamental particles
that we're made from.
											If it wasn't there, those particles
would have no mass,
											and no atoms could form
and there would be no us.
									","
											dass sie ein neues, fundamentales
Teilchen entdeckt hätten,
											das bei den gewaltigen Kollisionen
am LHC entstand: das Higgs-Boson.
									","
											Se seguissem as notícias
nessa altura,
											teriam visto muitos físicos
ficarem extremamente excitados,
											e seria natural terem pensado
											que ficamos assim sempre que
encontramos uma partícula nova.
											Bem, isso até é verdade,
											mas o Bosão de Higgs
é particularmente diferente.
											Nós ficámos tão entusiasmados
porque encontrar esta partícula
											prova a existência
de um campo de energia cósmica.
											É dífícil imaginar
um campo de energia,
											mas já todos experienciámos um.
											Se já aproximaram
um íman de uma peça metálica
											e sentiram uma força atrativa
a essa distância,
											isso é o efeito de um campo.
											O campo de Higgs é semelhante
a um campo magnético,
											com a exceção que tem 
um valor constante em toda a parte.
											Está à nossa volta neste momento.
											Não conseguimos vê-lo ou tocar-lhe,
											mas, se não existisse,
nós também não existiríamos.
											O campo de Higgs dá massa
											às partículas fundamentais,
de que somos feitos.
											Se não existisse, essas partículas
não teriam massa,
											os átomos não se formariam
e nós não estaríamos aqui.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											But there is something deeply mysterious
about the Higgs field.
											Relativity and quantum mechanics tell us
that it has two natural settings,
											a bit like a light switch.
											It should either be off,
											so that it has a zero value
everywhere in space,
											or it should be on so it has
an absolutely enormous value.
											In both of these scenarios,
atoms could not exist,
											and therefore all the other
interesting stuff
											that we see around us
in the universe would not exist.
											In reality, the Higgs field
is just slightly on,
											not zero but 10,000 trillion times weaker
than its fully on value,
											a bit like a light switch that's got stuck
just before the off position.
											And this value is crucial.
											If it were a tiny bit different,
											then there would be
no physical structure in the universe.
									","
											Wenn Sie die Nachrichten
jener Zeit verfolgten,
											sahen Sie viele Physiker,
die ganz aus dem Häuschen waren,
											und glauben Sie mir,
											das passiert uns immer bei neuen Teilchen.
											Nun, das ist wohl wahr,
											aber das Higgs-Boson ist
ein sehr spezielles Teilchen.
											Wir waren alle so begeistert, 
weil die Entdeckung des Higgs-Bosons
											die Existenz eines
kosmischen Energiefeldes bewies.
											Auch wenn Sie sich ein Energiefeld 
nicht vorstellen können,
											wir alle kennen eines.
											Wenn Sie einen Magneten
dicht an ein Metall halten,
											und die Kraft über der Lücke spüren,
											spüren Sie die Wirkung des Kraftfeldes.
											Das Higgs-Feld ist so etwas
wie ein magnetisches Feld,
											außer dass es überall 
einen konstanten Wert hat.
											Es ist jetzt hier überall.
											Wir sehen oder fühlen es nicht,
											aber wenn es fehlt,
											würden wir nicht existieren.
											Unsere Elementarteilchen
											erhalten ihre Masse durch das Higgs-Feld.
											Wäre es nicht da, 
hätten die Teilchen keine Masse,
											Atome formten sich nicht,
und wir existierten nicht.
									","
											Mas existe algo extremamente misterioso
no campo de Higgs.
											A relatividade e a mecânica quântica
dizem-nos que o campo tem dois estados,
											algo semelhante a um interruptor.
											Ou o campo está desligado,
											e tem um valor nulo em todo o espaço,
											ou está ligado
e tem um valor muito elevado.
											Em ambos os cenários,
os átomos não poderiam existir,
											logo, todas as outras coisas interessantes
											que vemos à nossa volta
também não existiriam.
											Na realidade, o campo de Higgs
está apenas ligeiramente ligado,
											tendo um valor que é 10 000 biliões
de vezes menor do que quando está ligado,
											como um interruptor encravado no momento
exato antes do seu estado desligado.
											Este valor é crucial.
											Se fosse apenas ligeiramente diferente,
											não haveria estrutura física no universo.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											So this is the first
of our dangerous numbers,
											the strength of the Higgs field.
											Theorists have spent decades
trying to understand
											why it has this very peculiarly
fine-tuned number,
											and they've come up
with a number of possible explanations.
											They have sexy-sounding names
like ""supersymmetry""
											or ""large extra dimensions.""
											I'm not going to go
into the details of these ideas now,
											but the key point is this:
											if any of them explained this weirdly
fine-tuned value of the Higgs field,
											then we should see new particles
being created at the LHC
											along with the Higgs boson.
											So far, though, we've not seen
any sign of them.
									","
											Aber es gibt ein großes
Mysterium beim Higgs-Feld.
											Nach Relativität und Quantenmechanik
hat es genau zwei natürliche Werte,
											etwa wie ein Lichtschalter.
											Es sollte entweder ""Aus"" sein,
											also überall im Raum den Wert ""0"" haben,
											oder es sollte ""An"" sein, dann hat es
einen ""absolut riesigen Wert"".
											In beiden Fällen könnten 
Atome nicht existieren,
											und nichts von all dem Wunderbaren,
											was uns im Universum umgibt,
würde existieren.
											Tatsächlich ist das Higgs-Feld
nur ganz leicht ""An"",
											nicht ""0"", aber 10 000-Billionen-mal
schwächer als sein voller Wert,
											fast wie ein Lichtschalter, der kurz
vor der Aus-Stellung hängen bleibt.
											Dieser Wert ist entscheidend.
											Wenn er nur eine Winzigkeit abweicht,
											gibt es keinerlei physikalische Struktur
im Universum.
									","
											Este é o primeiro número perigoso,
											a força do campo de Higgs.
											Os físicos teóricos passaram décadas
a tentar perceber
											a razão de ser deste número,
											e chegaram a algumas
possíveis explicações.
											Eles usam nomes pomposos
como ""super-simetria""
											ou ""extra.dimensões elevadas"".
											Não irei detalhar estas ideias,
											mas a ideia-chave é:
											se alguma dessas teorias explica o valor
estranhamente afinado do campo de Higgs,
											então deveríamos ver novas
a criação de novas partículas no LHC
											juntamente com o bosão de Higgs.
											Até agora, não conseguimos
detetar nenhuma delas.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											But there's actually an even worse example
											of this kind of fine-tuning
of a dangerous number,
											and this time it comes
from the other end of the scale,
											from studying the universe
at vast distances.
											One of the most important consequences
of Einstein's general theory of relativity
											was the discovery that the universe began
as a rapid expansion of space and time
											13.8 billion years ago, the Big Bang.
											Now, according to early versions
of the Big Bang theory,
											the universe has been expanding ever since
											with gravity gradually putting
the brakes on that expansion.
											But in 1998, astronomers made
the stunning discovery
											that the expansion of the universe
is actually speeding up.
											The universe is getting
bigger and bigger faster and faster
											driven by a mysterious repulsive force
called dark energy.
									","
											Das ist die erste
unserer gefährlichen Zahlen,
											die Stärke des Higgs-Felds.
											Jahrzehnte versuchten
Theoretiker zu verstehen,
											warum es diesen sehr speziellen Wert hat,
											und sie lieferten eine Anzahl
möglicher Erklärungen.
											Sie haben sexy-klingende Namen
wie ""Supersymmetrie""
											oder ""große Extra-Dimensionen"".
											Ich werde auf diese Theorien
jetzt nicht im Detail eingehen,
											aber der Knackpunkt ist folgender:
											Falls eine der Theorien
											den fein-abgestimmten Wert
des Higgs-Felds erklärt,
											dann sollten wir am LHC
neue Partikel sehen,
											die mit dem Higgs-Boson auftreten.
											Bis jetzt haben wir jedoch
noch keinerlei Anzeichen entdeckt.
									","
											Mas há um exemplo 
ainda mais dramático
											deste tipo de afinamento
de um número perigoso
											e chega-nos do lado oposto da escala,
											através do estudo do universo
a distâncias longínquas.
											Uma das consequências mais importantes
da teoria da relatividade de Einstein
											foi a descoberta que o universo nasceu com
uma expansão rápida do espaço e do tempo
											há 13 800 milhões de anos, 
num fenómeno conhecido por Big Bang.
											De acordo com as versões mais recentes
da teoria do Big Bang,
											o universo tem-se expandido
desde então
											com a gravidade a travar
gradualmente essa expansão.
											Mas em 1998, os astrónomos
fizeram uma descoberta revolucionária
											que a expansão do universo 
está na realidade a acelerar.
											O universo está-se a tornar maior
cada vez mais rapidamente,
											movido por uma força repulsiva misteriosa
chamada energia negra.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											Now, whenever you hear
the word ""dark"" in physics,
											you should get very suspicious
											because it probably means
we don't know what we're talking about.
									","
											Nun gibt es ein noch schlimmeres Beispiel
											von fein-abgestimmten gefährlichen Werten,
											und es kommt genau vom 
anderen Ende der Größenskala,
											von der Lehre des Universums
in seiner unglaublichen Ausdehnung.
											Eine der wichtigsten Folgen
von Einsteins Relativitätstheorie
											war die Entdeckung, dass das Universum
vor 13,8 Milliarden Jahren
											mit einer Expansion der Raum-Zeit,
dem Urknall, begann.
											Nach den ersten Ansätzen 
der Urknall-Theorie
											expandierte das Universum schon immer
											und die Gravitation bremste
die Expansion kontinuierlich ab.
											Aber 1998 machten die Astronomen
die erstaunliche Entdeckung,
											dass sich die Expansion 
des Universum beschleunigt.
											Das Universum wird
immer größer und schneller,
											angetrieben von einer mysteriösen Kraft,
der ""dunklen Energie"".
									","
											Sempre que ouvirem a palavra
""negra"" em física,
											devem desconfiar, porque 
provavelmente significa
											que não sabemos do que estamos a falar.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											(Laughter)
									","
											Immer wenn Physiker
das Wort ""dunkel"" verwenden,
											sollten Sie vorsichtig sein,
											weil das wahrscheinlich heißt, 
wir wissen nicht, worüber wir reden.
									","
											(Risos)
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											We don't know what dark energy is,
											but the best idea is that it's the energy
of empty space itself,
											the energy of the vacuum.
											Now, if you use good old
quantum mechanics to work out
											how strong dark energy should be,
											you get an absolutely astonishing result.
											You find that dark energy
											should be 10 to the power
of 120 times stronger
											than the value we observe from astronomy.
											That's one with 120 zeroes after it.
											This is a number so mind-bogglingly huge
											that it's impossible
to get your head around.
											We often use the word ""astronomical""
when we're talking about big numbers.
											Well, even that one won't do here.
											This number is bigger
than any number in astronomy.
											It's a thousand trillion
trillion trillion times bigger
											than the number of atoms
in the entire universe.
									","
											(Lachen)
									","
											Nós não sabemos o que é a energia negra,
											mas a melhor ideia é que
é a energia do espaço vazio,
											a energia do vácuo.
											Se usarmos a mecânica quântica
para determinar
											o quão forte a energia negra deverá ser,
											obtemos um número 
absolutamente surpreendente.
											Descobrimos que a energia negra
											devia ser 10 elevado à potência 120 
vezes maior do que o valor
											que observamos na astronomia.
											Este número é um 1 seguido de 120 zeros.
											É um número surpreendentemente elevado
											que nem conseguimos imaginar.
											Normalmente dizemos ""astronómico""
para falar de número muito grandes.
											Neste caso, essa palavra não serve.
											Este número é maior que
qualquer outro na astronomia.
											É milhares de biliões de biliões
de biliões de vezes maior
											que o número de átomos
em todo o universo.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											So that's a pretty bad prediction.
											In fact, it's been called
the worst prediction in physics,
											and this is more than just
a theoretical curiosity.
											If dark energy were
anywhere near this strong,
											then the universe
would have been torn apart,
											stars and galaxies could not form,
and we would not be here.
											So this is the second
of those dangerous numbers,
											the strength of dark energy,
											and explaining it requires an even more
fantastic level of fine-tuning
											than we saw for the Higgs field.
											But unlike the Higgs field,
this number has no known explanation.
									","
											Wir wissen nicht, was dunkle Energie ist,
											aber als bester Ansatz gilt, dass es 
die Energie des leeren Raumes ist,
											die Vakuumenergie.
											Nimmt man nun die gute alte 
Quantenmechanik her,
											und berechnet die dunkle Energie,
											erhält man ein absolut
erstaunliches Ergebnis.
											Die dunkle Energie müsste
											10- hoch 120-mal stärker
als der Wert sein,
											den Astronomen beobachten.
											Das ist eine Eins mit 120 Nullen.
											Das ist so eine unvorstellbar große Zahl,
											dass es unmöglich ist,
sie sich vorzustellen.
											Wir verwenden oft das Wort ""astronomisch"",
wenn wir von so großen Zahlen reden.
											Aber das reicht hier nicht.
											Die Zahl ist größer als jede Zahl.
											Sie ist 1000-Billionen-
Billionen-Billionen-mal größer
											als die Anzahl der Atome 
des gesamten Universums.
									","
											Assim, esta previsão é muito má.
											Até já foi classificada como
a pior previsão da física,
											e isto é mais que apenas
uma curiosidade teórica.
											Se a energia negra fosse 
realmente assim tão forte,
											o universo ter-se-ia desmoronado,
											as estrelas e as galáxias
não se teriam formado,
											e nós não estaríamos aqui.
											Este é o segundo número perigoso,
											a força da energia negra,
											e explicá-la implica um nível
ainda mais elevado de ajuste
											do que para o campo de Higgs.
											Mas contrariamente ao campo de Higgs,
											este número não tem
nenhuma explicação conhecida.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											The hope was that a complete combination
											of Einstein's general
theory of relativity,
											which is the theory
of the universe at grand scales,
											with quantum mechanics, the theory
of the universe at small scales,
											might provide a solution.
											Einstein himself
spent most of his later years
											on a futile search
for a unified theory of physics,
											and physicists have kept at it ever since.
									","
											Das ist eine richtig schlimme Aussage.
											Tatsächlich wird sie die schlimmste
Aussage der Physik genannt,
											und das ist mehr als nur 
eine theoretische Kuriosität.
											Falls die dunkle Energie auch nur
annähernd so stark wäre,
											würde das Universum auseinander gerissen.
											Sterne und Galaxien könnten
nicht entstehen und wir wären nicht hier.
											Das ist die zweite
unserer gefährlichen Zahlen,
											die Stärke der dunklen Energie,
											und um das zu erklären, braucht es eine
noch unfassbar feinere Abstimmung,
											als wir beim Higgs-Feld sahen.
											Aber anders als beim Higgs-Feld
hat diese Zahl keine bekannte Erklärung.
									","
											A esperança era que uma combinação
											da teoria da relatividade geral
de Einstein,
											que explica o universo a grandes escalas,
											com a mecânica quântica, 
que explica o universo a pequenas escalas,
											pudesse fornecer uma solução.
											O próprio Einstein passou
os seus últimos anos
											numa tentativa falhada
de obter uma teoria unificada da física
											e os físicos também têm estado
a tentar fazê-lo desde então.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											One of the most promising candidates
for a unified theory is string theory,
											and the essential idea is,
											if you could zoom in on the fundamental
particles that make up our world,
											you'd see actually
that they're not particles at all,
											but tiny vibrating strings of energy,
											with each frequency of vibration
corresponding to a different particle,
											a bit like musical notes
on a guitar string.
									","
											Die Hoffnung war, dass eine Vereinigung
											von Einsteins 
Allgemeiner Relativitätstheorie,
											der Theorie des großen Universums,
											mit der Quantenmechanik,
der Theorie des kleinen Universums,
											eine Lösung brächte.
											Einstein selbst verbrachte 
seine letzten Lebensjahre
											mit der vergeblichen Suche nach
der vereinten Theorie der Physik,
											und die Physiker haben 
seitdem nicht nachgelassen.
									","
											Uma das teorias mais promissoras 
para uma teoria unificada
											é a teoria da cordas,
cuja ideia principal é,
											se fosse possível ampliar as partículas
fundamentais que compõem o mundo,
											seria possível ver que, na realidade,
não são partículas,
											mas pequenas cordas
de vibrações de energia,
											em que cada frequência de vibração
corresponde a uma partícula diferente,
											algo parecido com as notas musicais
da corda de uma guitarra.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
