en,pt,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											I think we're all normalized
from a young age
											to the idea of police officers
and arrests and handcuffs,
											so it's easy to forget how demeaning
and coercive a thing it is
											to seize control over
another person's body.
											I know it sounds like
the point of my story
											is how badly treated I was
because of my race —
											and yes, I don't think I would've been
detained if I were white.
											But actually, what I have in mind
today is something else.
											What I have in mind is how
much worse things might've been
											if I weren't affluent.
											I mean, they thought I might be trying
to plant an explosive,
											and they investigated that possibility
for an hour and a half,
											but I was never put in handcuffs,
											I was never taken to a jail cell.
											I think if I were from one of Washington
DC's poor communities of color,
											and they thought I was
endangering officers' lives,
											things might've ended differently.
											And in fact, in our system, I think
it's better to be an affluent person
											suspected of trying
to blow up a police station
											than it is to be a poor person
											who's suspected of much,
much less than this.
									","
											Penso que estamos todos programados
desde tenra idade
											para a ideia de agentes da polícia,
de detenções e algemas,
											por isso é fácil esquecer
como é humilhante e coercivo
											assumir o controlo
do corpo de outra pessoa.
											Sei que parece que o motivo
da minha história
											é até que ponto fui maltratado
devido à minha etnia
											— claro, não teria sido detido
se fosse branco.
											Mas o que eu tenho em vista
é outra coisa.
											O que tenho em vista é como
as coisas podiam ter sido muito piores
											se eu não fosse abastado.
											Eles pensaram que eu podia
estar a tentar colocar um explosivo
											e investigaram essa possibilidade
durante hora e meia,
											mas nunca me algemaram,
											nunca me levaram para a prisão.
											Penso que, se eu fosse alguém
das comunidades de cor de Washington,
											e eles pensassem que eu
podia ameaçar a vida dos agentes,
											aquilo podia ter acabado
de modo diferente.
											No nosso sistema, acho que é melhor
ser uma pessoa abastada
											suspeito de tentar fazer ir pelos ares
um posto da polícia
											do que ser uma pessoa pobre
											que é suspeita de uma coisa
muito menos grave.
									","
											Je pense que nous sommes habitués,
dès notre plus jeune âge,
											au concept d'agents de police,
d'arrestations et de menottes.
											Il est donc facile d'oublier
combien c'est humiliant et coercitif
											de soumettre autrui à son contrôle.
											Je suis conscient que ma présentation
											semble tourner autour du mauvais
traitement lié à ma couleur.
											Je suis persuadé que cela ne me serait
pas arrivé si j'étais blanc.
											Mais j'ai à l'esprit autre chose.
											Ce qui trotte dans mon esprit est le fait
que les choses auraient été bien pires
											si je n'avais pas été riche.
											Bien sûr, ils croyaient
que j'avais tenté de poser des explosifs
											et ils ont exploré ce chemin
pendant une heure et demie.
											Mais on ne m'a jamais menotté,
											ni mis en cellule.
											Si j'étais issu d'une communauté
noire pauvre de Washington,
											s'ils pensaient que je menaçais
la vie des officiers,
											les choses auraient été différentes.
											Dans notre système, je crois
qu'il vaut mieux être riche
											et suspecté de vouloir
faire exploser un commissariat
											que si on est pauvre et suspecté
de vouloir faire beaucoup moins de tort.
									","
											Wir sind wohl alle von
klein auf daran gewöhnt,
											Polizeibeamte, Verhaftungen
und Handschellen zu sehen.
											Wir vergessen leicht, wie erniedrigend
und erzwungen es eigentlich ist,
											sich Kontrolle über den Körper
eines anderen Menschen zu verschaffen.
											Ich weiß, es klingt,
als wollte ich zeigen,
											wie schlecht ich wegen meiner
Hautfarbe behandelt wurde
											und ja, ich denke, sie hätten mich
nicht verhaftet, wenn ich weiß wäre.
											Aber eigentlich will ich
über etwas anderes sprechen.
											Nämlich wie viel schlimmer
es sein hätte können,
											wenn ich nicht wohlhabend wäre.
											Sie dachten, ich würde Sprengstoff legen.
											Sie ermittelten diese Möglichkeit
eineinhalb Stunden lang,
											aber mir wurden nie Handschellen angelegt.
											Ich wurde nie in eine Zelle gesperrt.
											Käme ich aus einer der armen
Gegenden von Washington D.C.
											und sie glaubten, ich könnte
einen Beamten gefährden,
											hätte es anders enden können.
											In unserem System ist es besser,
											reich zu sein und als Bombenleger 
verdächtigt zu werden,
											als arm zu sein und einer viel
geringeren Tat verdächtig zu werden.
									","
											Sanıyorum ki çoğumuz 
küçük yaştan beri
											polislerin var olmalarına,
tutuklamalara ve kelepçelere alıştık ki
											başka bir insanın bedenini
ele geçirmenin
											ne kadar da aşağılayıcı ve
zorlayıcı olduğunu unuttuk.
											Hikâyemin ana konusu
rengim yüzünden ne kadar
											kötü davranıldığımmış gibi gelebilir,
											belki de evet, beyaz olsaydım
tutuklanacağımı sanmazdım.
											Ama aslında, bugün aklımda olan
başka bir şey.
											Aklımda olan, varlıklı olmasaydım
											işlerin ne kadar daha kötü olacağı.
											Yani, oraya bir patlayıcı
yerleştirmeye çalıştığımı düşündüler
											ve bu olasılığı bir buçuk saat
boyunca araştırdılar
											ama hiçbir zaman kelepçe takılmadı
											ya da bir hücreye girmedim.
											Bence Washington DC'nin beyaz olmayan
yoksul topluluklarından olsaydım
											ve memurların hayatlarını
tehlikeye attığımı düşünselerdi
											işler daha farklı sona erebilirdi.
											Ve işin doğrusu, sistemimizde 
daha küçük suçlarla yargılanan
											fakir bir insan olmaktan çok,
											karakolu havaya uçurmayı
denemekle yargılanan
											varlıklı bir insan olmak daha iyidir.
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											I want to give you an example
from my current work.
											Right now, I'm working
at a civil rights organization in DC,
											called Equal Justice Under Law.
											Let me start by asking you all a question.
											How many of you have ever gotten
a parking ticket in your life?
											Raise your hand.
											Yeah. So have I.
											And when I had to pay it,
											it felt annoying and it felt bad,
											but I paid it and I moved on.
											I'm guessing most of you
have paid your tickets as well.
											But what would happen if you
couldn't afford the amount on the ticket
											and your family doesn't have
the money either, what happens then?
									","
											Vou dar um exemplo
do meu trabalho atual.
											Trabalho agora numa organização
de direitos civis em D.C.,
											chamada Equal Justice Under Law.
											Vou começar fazendo-vos uma pergunta.
											Quem aqui já teve uma multa
por mau estacionamento?
											Levantem a mão.
											Pois é. Eu também.
											Quando tive que a pagar,
											foi aborrecido e deixou-me maldisposto,
											mas paguei-a e fui-me embora.
											Calculo que a maior parte de vocês
também pagou essas multas.
											Mas o que aconteceria
se não pudessem pagar a multa
											e a vossa família também não tivesse
o dinheiro, o que aconteceria?
									","
											Voici un exemple,
tiré de mon travail actuel.
											Je travaille pour une organisation
en faveur des droits civils.
											Elle s'appelle « Égalité de tous
devant la loi ».
											Je vais d'abord vous poser une question.
											Combien parmi vous ont déjà reçu un P.V. ?
											Levez la main !
											Ouais. Moi aussi.
											Au moment de payer l'amende,
											ça m'a ennuyé et je me sentais mal.
											Mais je l'ai payée et j'ai tourné la page.
											Je suis persuadé que c'est aussi
le cas pour vous tous.
											Mais que se passe-t-il si vous n'avez pas
les moyens de la payer ?
											Ni votre famille ? Que se passe-t-il ?
									","
											Ich gebe Ihnen ein Beispiel
aus meiner jetzigen Arbeit.
											Im Moment arbeite ich für eine
Menschenrechtsorganisation in D.C.
											namens Equal Justice Under Law.
											Ich möchte mit einer Frage beginnen.
											Wie viele von Ihnen hatten schon mal
einen Strafzettel für Falschparken?
											Heben Sie ihre Hand.
											Ja, ich auch.
											Ihn zu bezahlen,
war lästig und unangenehm,
											aber ich zahlte ihn und vergaß das Ganze.
											Ich nehme an, die meisten
von Ihnen taten dasselbe.
											Aber was passiert, wenn Sie sich
den Strafzettel nicht leisten können
											und Ihre Familie das Geld auch nicht hat.
											Was passiert dann?
									","
											Şimdiki işimden size bir örnek
vermek istiyorum.
											Şu anda DC'de ""Equal Justice Under Law"" 
(Kanun Önünde Eşit Adalet) adında
											bir sivil hak örgütünde çalışıyorum.
											Sizlere bir soru sorarak başlayayım.
											Kaçınız hayatında bir park cezası aldı?
											Ellerinizi kaldırın.
											Aynen, ben de aldım.
											Ve ödeme zamanı geldiğinde,
											sinir bozucu ve kötü hissettirdi,
											yine de ödedim ve hayatıma devam ettim.
											Çoğunuzun da cezalarını yatırdıklarını
tahmin ediyorum.
											Peki cezanın tutarını 
karşılayamayacağınızda
											ya aileniz de bu paraya
sahip olmadığında ne olur?
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											Well, one thing that's not supposed
to happen under the law is,
											you're not supposed to be
arrested and jailed
											simply because you can't afford to pay.
											That's illegal under federal law.
											But that's what local governments
across the country are doing
											to people who are poor.
											And so many of our lawsuits
at Equal Justice Under Law
											target these modern-day debtors' prisons.
									","
											Uma coisa que, supostamente,
não deve acontecer, ao abrigo da lei,
											é sermos detidos e metidos na cadeia,
											só porque não podemos pagar.
											É ilegal, de acordo com a lei federal.
											Mas é o que os governos locais
andam a fazer, por todo o país,
											às pessoas pobres.
											Muitos dos nossos processos,
na Equal Justice Under Law,
											visam estas detenções de devedores
dos dias de hoje.
									","
											Une chose qui n'est pas censée
survenir selon la loi :
											on n'est pas censé
se faire arrêter et emprisonner
											parce qu'on n'a pas les moyens de payer.
											C'est illégal en droit fédéral.
											Mais les gouvernements locaux
à travers le pays font subir cela
											aux personnes pauvres.
											De nombreux procès
traités par notre association
											visent ces emprisonnements
de débiteurs d'aujourd'hui.
									","
											Was gesetzlich nicht passieren darf,
ist Sie zu verhaften und einzusperren,
											nur weil Sie es sich nicht leisten können.
											Das ist laut Bundesgesetz illegal.
											Aber genau das machen örtliche Behörden
landesweit mit armen Menschen.
											Daher befassen sich viele Verfahren
bei Equal Justice Under Law
											mit den heutigen Schuldner-Gefängnissen.
									","
											Aslında, kanunen olmaması 
gereken bir şey de
											sadece tutarı ödeyemediğinizden dolayı
											tutuklanıp hapse girmenizdir.
											Federal yasa uyarınca bu yasal değildir.
											Ama ülke çapındaki yerel
idarelerin fakir insanlara
											yaptığı şey aynen budur.
											Equal Justice Under Law'da
gerçekleşen çoğu dava
											bu modern borçlu hapislerini hedefler.
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											One of our cases is against
Ferguson, Missouri.
											And I know when I say Ferguson,
											many of you will think of police violence.
											But today I want to talk
about a different aspect
											of the relationship between
their police force and their citizens.
											Ferguson was issuing an average
of over two arrest warrants,
											per person, per year,
											mostly for unpaid debt to the courts.
											When I imagine what that would feel like
if, every time I left my house,
											there was a chance a police officer
would run my license plate,
											see a warrant for unpaid debt,
											seize my body they way the did in DC
											and then take me to a jail cell,
											I feel a little sick.
									","
											Um dos nossos processos
é contra Ferguson, no Missouri.
											Sei que, quando digo Ferguson,
											muitos de vós pensam
na violência policial.
											Mas hoje quero falar
de um aspeto diferente
											da relação entre a força policial
e os cidadãos.
											Ferguson andava a emitir uma média
de mais de dois mandatos de prisão
											por pessoa, por ano,
											quase todos por dívidas
não pagas aos tribunais.
											Quando imagino o que aconteceria
se, sempre que saio de casa,
											um agente da polícia consultasse
a matrícula do meu carro,
											visse um mandato para uma dívida não paga,
											agarrasse em mim da forma
que fizeram em Washington
											e me levassem para a cadeia,
											sinto-me agoniado.
									","
											Un de nos cas est contre
Ferguson, au Missouri.
											Je suis conscient que Ferguson
											évoque la violence policière.
											Mais je vous parle d'une autre facette
											de la relation entre les forces de police
et les citoyens de Ferguson.
											Ferguson émet en moyenne
plus de deux mandats d'arrêt
											par personne et par an
											pour des amendes non payées.
											Je n'ose pas imaginer ce que ça fait
de quitter chaque fois la maison
											en pensant qu'un policier va contrôler
ma plaque d'immatriculation,
											voir un mandat d'arrêt
pour amende non payée,
											m'interpeler comme ça m'est arrivé,
											et m'enfermer dans une cellule.
											Ça me rend malade.
									","
											Einer unserer Fälle läuft
gegen Ferguson in Missouri.
											Ich weiß, wenn ich Ferguson sage,
denken viele von Ihnen an Polizeigewalt.
											Aber heute möchte ich einen
anderen Aspekt ansprechen,
											der die Beziehung zwischen der
Polizei und ihren Bürgern betrifft.
											Ferguson erließ durchschnittlich
zwei Haftbefehle pro Person und Jahr,
											großteils für unbezahlte
Schulden an das Gericht.
											Mir wird schlecht, wenn ich daran
denke, wie sich das anfühlen muss:
											Immer wenn ich das Haus verlasse, könnte
ein Polizist mein Nummernschild scannen,
											einen Haftbefehl für
unbezahlte Schulden sehen,
											mich wie an jenem Tag in D.C. verhaften
											und mich dann ins Gefängnis stecken.
									","
											Bir davamız da Ferguson,
Missouri'ye karşı.
											Ferguson dediğimde çoğunun aklına
											polis şiddeti geleceğinden eminim.
											Ama bugün vatandaşları ve
polis gücü arasındaki ilişkinin
											farklı bir boyutunu konuşmak istiyorum.
											Ferguson zamanında her yıl kişi başına,
											genellikle ödenmemiş borçlar için
											ortalama ikiden fazla tutuklama 
emri gönderiyordu.
											Evimden her çıktığımda,

											bir polis memurunun plakamı araştırıp
											ödenmemiş borç için
tutuklama emrim olduğunu görüp
											DC'de yaptıkları gibi üzerimi arayıp da
											bir hücreye götürdüklerini düşündüğümde,
											biraz midem bulanıyor.
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											I've met many of the people in Ferguson
who have experienced this,
											and I've heard some of their stories.
											In Ferguson's jail,
											in each small cell,
there's a bunk bed and a toilet,
											but they'd pack four people
into each cell.
											So there'd be two people on the bunks
and two people on the floor,
											one with nowhere to go except
right next to the filthy toilet,
											which was never cleaned.
											In fact, the whole cell was never cleaned,
											so the floor and the walls were lined
with blood and mucus.
											No water to drink,
											except coming out of a spigot
connected to the toilet.
											The water looked and tasted dirty,
											there was never enough food,
											never any showers,
											women menstruating
without any hygiene products,
											no medical attention whatsoever.
											When I asked a woman
about medical attention,
											she laughed, and she said, ""Oh, no, no.
											The only attention you get
from the guards in there is sexual.""
									","
											Encontrei muita gente em Ferguson
que passaram por isso,
											e ouvi algumas dessas histórias.
											Na cadeia de Ferguson,
											em cada pequena cela,
há um beliche e uma sanita,
											mas enfiam quatro pessoas
em cada cela.
											Portanto, são duas pessoas no beliche
e duas pessoas no chão,
											em que uma delas fica
mesmo ao pé da sanita imunda
											que nunca era limpa.
											Na verdade, toda a cela
nunca era limpa,
											por isso o chão e as paredes
estavam forradas de sangue e de mucos.
											Sem água para beber,
											a não ser a que saía de uma torneira
ligada à sanita.
											A água tinha mau aspeto e sabia mal,
											nunca havia comida suficiente,
nunca havia chuveiros,
											as mulheres menstruavam
sem quaisquer produtos de higiene,
											sem quaisquer cuidados médicos.
											Perguntei a uma mulher
se havia acompanhamento médico.
											Ela riu-se e disse:
											""Oh, não. A única atenção que temos
dos guardas aqui é sexual"".
									","
											J'ai rencontré de nombreuses personnes
à Ferguson qui sont dans ce cas.
											J'ai écouté leur histoire.
											Dans la prison de Ferguson,
											les cellules sont équipées
d'un lit superposé et des toilettes.
											Mais ils y enferment quatre personnes.
											Il y a donc deux personnes dans les lits
et deux par terre,
											dont une qui doit rester
à côté de toilettes sales
											qui n'ont jamais été nettoyées.
											Les cellules n'ont jamais été nettoyées,
											le sol et les murs sont couverts
de sang et de mucus.
											Il n'y a pas d'eau potable,
											hormis celle qui sort d'un robinet
relié aux toilettes.
											L'eau avait mauvais goût.
											Il n'y avait pas assez de nourriture.
											Aucune douche.
											Les femmes n'ont pas accès
à des produits hygiéniques
											ou des soins médicaux.
											J'ai questionné une femme
sur les soins médicaux
											et ça l'a fait rire.
Elle m'a dit : « Oh, non, non.
											Ici, les seuls soins
des gardes sont sexuels. »
									","
											Ich lernte viele Menschen in Ferguson
kennen, denen genau das passiert ist.
											Ich hörte einige ihrer Geschichten.
											Im Gefängnis von Ferguson hat jede kleine
Zelle ein Stockbett und eine Toilette.
											aber sie stecken vier
Personen in jede Zelle.
											Also liegen zwei Personen in den
Betten und zwei auf dem Boden.
											Eine muss direkt neben der schmutzigen
Toilette liegen, die nie gereinigt wird.
											Die ganze Zelle wurde nie gereinigt.
											Der Boden und die Wände
waren voll Blut und Schleim.
											Das einzige Trinkwasser kommt aus einem
Hahn, der mit der Toilette verbunden ist.
											Es sah schmutzig aus
und schmeckte auch so.
											Es gab nie genug zu essen und
nie die Möglichkeit zu duschen,
											Frauen erhielten keine Hygieneprodukte
während der Menstruation
											und keine medizinische Versorgung.
											Als ich eine Frau nach der
medizinischen Versorgung fragte,
											lachte sie und sagte:
											""Die einzige Versorgung, die man von
den Wachen bekommt, ist sexueller Art"".
									","
											Ferguson'da bunu yaşamış olan
çoğu insanla tanıştım
											ve hikâyelerini dinledim.
											Ferguson hücrelerinde,
											her bir hücrede bir adet ranzayla
tuvalet bulunmasına rağmen
											dört kişiyi tek bir hücreye
sıkıştırıyorlar.
											Yani iki kişi ranzada yatarken,
diğer ikisi yerde yatıyor;
											biri hiçbir zaman temizlenmemiş
pis tuvaletin yanından başka
											hiçbir yerde kalamıyor.
											Aslında, hücrenin tamamı hiçbir zaman 
temizlenmemiş ki
											yerler ve duvarlar kan ve balgamla kaplı.
											Tuvalete bağlı fıçı tapasından
gelen sudan başka
											içilecek su yok.
											Suyun görüntüsü de tadı da kötüydü,
											asla yeteri kadar yiyecek yoktu,
											herhangi bir duş yeri yoktu,
											kadınlar hiçbir hijyen ürünü olmadan
regl oluyorlardı,
											herhangi bir tıbbi yardımsa hak getire.
											Bir kadına tıbbi müdahale
hakkında sorduğumda,
											güldükten sonra şöyle dedi; ""Ah, hayır, hayır.
											Gardiyanlardan ancak
cinsel müdahale alırsın.""
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											So, they'd take the debtors
to this place and they'd say,
											""We're not letting you leave
until you make a payment on your debt.""
											And if you could — if you
could call a family member
											who could somehow come up with some money,
											then maybe you were out.
											If it was enough money, you were out.
											But if it wasn't, you'd stay there
for days or weeks,
											and every day the guards
would come down to the cells
											and haggle with the debtors
about the price of release that day.
											You'd stay until, at some point,
the jail would be booked to capacity,
											and they'd want to book someone new in.
											And at that point, they'd think,
											""OK, it's unlikely this person
can come up with the money,
											it's more likely this new person will.""
											You're out, they're in,
and the machine kept moving like that.
									","
											Eles levavam os devedores
para aquele local e diziam:
											""Não te deixamos sair daqui
enquanto não pagares a tua dívida"".
											Se pudessem — se pudessem
chamar um membro da família
											que pudesse aparecer com algum dinheiro
											talvez os deixassem sair.
											Se fosse dinheiro suficiente, saíam.
											Mas, se não fosse, ficariam ali
durante dias ou semanas
											e, todos os dias, os guardas
iam às celas
											e discutiam com os devedores
o preço da libertação naquele dia.
											Ficavam ali até que, a certa altura,
a prisão estava a transbordar
											e eles queriam meter mais alguém.
											Nessa altura, pensavam:
											""Ok, este fulano
não vai aparecer com o dinheiro.
											""É mais provável que este novato o faça"".
											Ele saía, o outro entrava,
e a máquina continuava a funcionar.
									","
											Ils emmènent les débiteurs
dans cet endroit et leur disent :
											« On ne vous relâche pas tant que
vous n'avez pas remboursé votre dette. »
											Si vous pouvez appeler
un membre de votre famille,
											capable de réunir cette somme,
											vous avez une chance d'en sortir.
											Vous sortez du trou
si vous avez assez d'argent.
											Mais dans le cas contraire,
vous y restez, parfois des semaines.
											Chaque jours, vos geôliers
viennent vous rendre visite,
											ils vous narguent avec les montants
des libérations du jour.
											Vous restez au trou
jusqu'à ce que la prison affiche complet
											et qu'ils aient un nouvelle
personne à incarcérer.
											Leur calcul est le suivant :
											« Ce prisonnier n'a pas
les moyens de payer.
											Misons sur cette nouvelle personne. »
											Vous être libre, les autres sont
emprisonnés et le système ronronne.
									","
											Sie bringen die Schuldner also
an diesen Ort und sagen:
											""Wir lassen Sie nicht raus bis Sie
einen Teil Ihrer Schulden zahlen"".
											Wenn ein Familienmitglied
irgendwie Geld auftreiben könnte,
											dann kämen Sie vielleicht frei.
											Wenn es genug Geld wäre, könnten Sie raus.
											Aber wenn nicht, bleiben Sie
tage- oder wochenlang eingesperrt.
											Jeden Tag kommen die Wachen zu den Zellen
											und feilschen mit den Schuldnern
über den Freilassungspreis des Tages.
											Sie bleiben so lange eingesperrt,
bis das Gefängnis voll ist
											und sie jemand Neuen einsperren wollen.
											Sie denken dann wohl:
											""Diese Person kann das Geld
wahrscheinlich nicht auftreiben.
											Die neue Person womöglich schon"".
											Sie sind raus, die kommen rein
und so läuft die Maschinerie weiter.
									","
											Yani, borçluları buraya getirip de
dedikleri şey;
											""Borcunda herhangi bir ödeme
yapana kadar seni çıkartmıyoruz.""
											Birkaç kuruş ile gelebilecek 
bir aile üyesini
											ararsanız, ki arayabilirseniz,
											belki de çıkabilirsiniz.
											Yeteri kadar para olsaydı, çıkmıştınız.
											Ama yeteri kadar değilse, orada günlerce
ya da haftalarca kalabilir
											ve her gün gardiyanların hücrelere gelip
											çıkış ücreti hakkında pazarlık
etmesini görebilirdiniz.
											Hapishanenin kapasitesi
bir noktada dolana kadar
											ve yeni birini bulmak istedikleri
ana kadar orada kalırdınız.
											Ve o noktada,
											""Tamamdır, bu adamın parayla
gelmesi olanaksız,
											yeni gelende herhalde vardır."" derler.
											Siz çıkarsınız, yenileri gelir ve
makine böyle işlemeye devam eder.
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											I met a man who,
											nine years ago, was arrested
for panhandling in a Walgreens.
											He couldn't afford his fines
and his court fees from that case.
											When he was young
he survived a house fire,
											only because he jumped out
of the third-story window to escape.
											But that fall left him
with damage to his brain
											and several parts of this body,
including his leg.
											So he can't work,
											and he relies on social security
payments to survive.
											When I met him in his apartment,
											he had nothing of value there —
not even food in his fridge.
											He's chronically hungry.
											He had nothing of value in his apartment
except a small piece of cardboard
											on which he'd written
the names of his children.
											He cherished this a lot.
He was happy to show it to me.
											But he can't pay his fines and fees
because he has nothing to give.
											In the last nine years,
he's been arrested 13 times,
											and jailed for a total of 130 days
on that panhandling case.
											One of those stretches lasted 45 days.
											Just imagine spending from right now
until sometime in June
											in the place that I described to you
a few moments ago.
									","
											Conheci um homem
											que tinha sido detido nove anos antes,
por pedir esmola num Walgreens.
											Não tinha dinheiro para pagar as multas
											nem as despesas do tribunal
para esse processo.
											Quando era novo, 
sobrevivera a um incêndio em casa
											porque saltara da janela do 3.º andar 
para salvar a vida.
											Mas essa queda deixara-o
com problemas no cérebro
											e em várias partes do corpo,
incluindo uma perna.
											Não podia trabalhar,
											e sobrevivia à custa de subsídios
da segurança social.
											Quando o encontrei
no seu apartamento,
											não tinha ali nada de valor
— nem comida no frigorífico.
											Sofre de fome crónica.
											Não tinha nada de valor no apartamento
a não ser um bocado de cartão
											em que tinha escrito
os nomes dos filhos.
											Gostava muito deles.
Sentia-se feliz a mostrar-mos.
											Mas não pode pagar as multas e as despesas
porque não tem nada para dar.
											Nos últimos nove anos,
foi preso 13 vezes,
											e detido durante um total de 130 dias
por causa do processo de pedir esmola.
											Um desses períodos durou 45 dias.
											Imaginem só passar,
desde agora até algures em junho,
											no local que descrevi há bocado.
									","
											J'ai rencontré un homme
											qui a été arrêté il y a neuf ans
pour mendicité à Walgreens.
											Il n'avait pas les moyens de payer
son amende ou les coûts de son dossier.
											Quand il était jeune,
il avait survécu à un incendie
											en sautant de la fenêtre
du troisième étage.
											Mais sa chute a causé
un traumatisme au cerveau
											et à son corps, notamment à sa jambe.
											Donc, il ne peut pas travailler.
Il survit grâce à la sécurité sociale.
											Quand je l'ai vu dans son appartement,
											il ne possédait rien, même pas
de la nourriture dans son frigo.
											Il avait toujours faim.
											Il ne possédait aucun objet de valeur,
sauf un morceau de carton
											sur lequel il avait écrit
le prénom de ses enfants.
											Il y tenait beaucoup
et me l'a montré avec affection.
											Il ne peut pas payer ses amendes
parce qu'il n'a rien à donner.
											Ces neuf dernières années,
il a été arrêté à 13 reprises
											et a dormi en prison 130 jours
pour sa mendicité,
											dont 45 jours d'affilée à une occasion.
											Imaginez ce que ça signifie de rester
dans l'endroit que je vous ai décrit
											pendant un mois et demi.
									","
											Ich traf einen Mann, der vor
9 Jahren verhaftet wurde,
											weil er in einem Supermarkt bettelte.
											Er konnte seine Strafe und
die Gerichtskosten nicht bezahlen.
											Als er jünger war, entkam er nur
knapp aus einem brennenden Haus,
											indem er aus dem Fenster
im dritten Stock sprang.
											Der Aufprall verursachte bleibende Schäden
im Gehirn und an anderen Körperteilen.
											Er kann nicht arbeiten und ist
zum Überleben auf Sozialhilfe angewiesen.
											Als ich ihn in seiner Wohnung traf,
hatte er nichts von Wert —
											nicht mal Essen im Kühlschrank.
											Er ist ständig hungrig.
											Er hatte nichts Wertvolles
außer ein kleines Stück Karton,
											auf dem die Namen seiner Kinder standen.
											Er schätzte es sehr
und zeigte es mir voll Stolz.
											Aber er hatte nichts, womit er
seine Schulden hätte zahlen können.
											In den letzten 9 Jahren
wurde er 13 Mal verhaftet
											und insgesamt 130 Tage lang
wegen Betteln eingesperrt.
											Einmal sogar 45 Tage am Stück.
											Stellen Sie sich vor, sie verbringen
die Zeit von jetzt bis Juni
											an dem Ort, den ich
vorhin beschrieben habe.
									","
											Dokuz yıl önce Walgreens'te
											dilenmekten tutuklanan
bir adamla tanıştım.
											Cezalarını ve mahkeme ücretini
karşılayamamıştı.
											Gençken, üçüncü kattaki
bir pencereden atlayabildiği için,
											bir ev yangınından kurtulmuş.
											Ama düşüşü beynine 
ve bacağıyla birlikte
											vücudunun çeşitli taraflarında
hasara sebep olmuştu.
											Yani çalışamıyor
											ve yaşamak için sosyal güvenlik
ödemelerine dayanıyordu.
											Apartmanında kendisiyle tanıştığımda,
											orada kayda değer hiçbir şey yoktu,
dolabında yemek bile bulunmuyordu.
											Sürekli açtı.
											Çocuklarının adını yazdığı
bir karton parçasından başka
											apartmanında değerli sayılabilecek
bir şey yoktu.
											Kartona çok değer veriyordu.
Bana göstermekten mutluluk duyuyordu.
											Yine de vereceği bir şeyi olmadığından
ötürü cezalarını ödeyemiyordu.
											Geçtiğimiz dokuz yıl boyunca
13 defa tutuklanmış,
											sadece dilencilik davasından
toplam 130 gün boyunca içeride kalmıştı.
											Tek bir hapis süresi 45 gün sürüyordu.
											Birkaç dakika önce size bahsettiğim
şu andan Haziran'a kadar
											öyle bir yerde kaldığınızı bir düşünün.
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
