en,fr,de,es,title,speaker,duration,tags
"
											For decades,
											our remedy for congestion was simple:
											build new roads or enlarge existing ones.
											And it worked.
											It worked admirably for Paris,
											when the city tore down
hundreds of historical buildings
											to create 85 miles
											of transportation-friendly boulevards.
											And it still works today
in fast-growing emerging cities.
											But in more established urban centers,
											significant network expansions
are almost impossible:
											habitat is just too dense,
											real estate, too expensive
											and public finances, too fragile.
											Our city's vascular system
is getting clogged, it's getting sick,
											and we should pay attention.
									","
											Durant des années,
											nous avions un remède simple
aux embouteillages :
											construire de nouvelles routes
ou élargir celles qui existaient.
											Cela fonctionnait.
											Cela a admirablement
bien fonctionné pour Paris,
											quand la ville a détruit
des centaines de bâtiments historiques
											pour créer 140 kilomètres
											de boulevards adaptés aux véhicules.
											Cela marche encore dans les villes
émergentes à croissance rapide.
											Mais dans les centres urbains
plus établis,
											des expansions significatives
du réseau sont presqu'impossibles :
											l'habitat est trop dense,
											l'immobilier est trop cher
											et les finances publiques trop fragiles.
											Le système vasculaire de nos villes
s'encrasse, tombe malade,
											nous devrions y prêter attention.
									","
											Jahrzehntelang war unsere
Lösung für Staus einfach:
											neue Straßen bauen oder alte verbreitern.
											Und es funktionierte.
											Es funktionierte wunderbar in Paris,
											als die Stadt hunderte
historische Gebäude abriss,
											um 135 Kilometer
											verkehrsfreundliche Boulevards zu bauen.
											Es funktioniert auch heute in
neuen, schnell wachsenden Städten.
											Aber in bereits ausgebauten Stadtzentren
											ist das Erweitern bestehender
Straßennetze fast unmöglich:
											Der Lebensraum ist zu dicht bewohnt,
											Immobilien zu teuer
											und öffentliche Finanzierung zu unsicher.
											Das Gefäßsystem unserer Stadt
verstopft, es wird krank,
											und wir sollten das beachten.
									","
											Durante décadas,
											nuestro remedio
para los atascos era simple:
											construir nuevas carreteras 
o ampliar las existentes.
											Y funcionó.
											Funcionó admirablemente en París,
											cuando la ciudad derribó 
cientos de edificios históricos
											para crear 130 kilómetros
											de bulevares adecuados para el transporte.
											Y todavía funciona hoy en ciudades
emergentes de rápido crecimiento.
											Pero en centros urbanos más establecidos,
											las expansiones de redes significativas 
son casi imposibles:
											el hábitat es demasiado denso,
											la propiedad demasiado cara
											y la hacienda pública demasiado frágil.
											El sistema vascular de nuestra ciudad
se está obstruyendo y enfermando
											y deberíamos prestar atención.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											Our current way
of thinking is not working.
											For our transportation to flow,
											we need a new source of inspiration.
									","
											Notre façon de penser actuelle
ne fonctionne pas.
											Pour que nos transports circulent,
											nous avons besoin
d'une nouvelle source d'inspiration.
									","
											Unsere jetzige Denkweise
funktioniert nicht.
											Damit unser Verkehr fließt,
											benötigen wir eine
neue Inspirationsquelle.
									","
											Nuestra actual forma de pensar
no está funcionando.
											Para que nuestro transporte fluya,
											necesitamos una nueva
fuente de inspiración.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											So after 16 years
working in transportation,
											my ""aha moment"" happened
when speaking with a biotech customer.
											She was telling me how her treatment
											was leveraging specific properties
of our vascular system.
											""Wow,"" I thought, ""Our vascular system —
											all the veins and arteries in our body
											making miracles of logistics every day.""
											This is the moment I realized
											that biology has been
in the transportation business
											for billions of years.
											It has been testing countless solutions
											to move nutrients, gases and proteins.
											It really is the world's most
sophisticated transportation laboratory.
									","
											Après 16 ans à travailler
dans les transports,
											j'ai eu un déclic en parlant à une cliente
du secteur de la biotechnologie.
											Elle me racontait comment son traitement
											exploitait des propriétés spécifiques
de notre système vasculaire.
											J'ai pensé : « Wahou,
notre système vasculaire —
											toutes les veines et artères
de notre corps
											faisant quotidiennement
des miracles en logistique. »
											C'est à ce moment-là que j'ai réalisé
											que la biologie est dans le secteur
du transport public
											depuis des milliards d'années.
											Elle a testé d'innombrables solutions
											pour déplacer les nutriments,
les gaz et les protéines.
											C'est le laboratoire de transports
le plus sophistiqué au monde.
									","
											Nach 16 Jahren Arbeit im Verkehrswesen
											hatte ich meinen ""Aha-Moment"" im Gespräch 
mit einer Biotechnologiekundin.
											Sie erzählte mir, dass ihre Behandlung
											spezielle Eigenschaften
unseres Gefäßsystems nutzte.
											""Wow,"" dachte ich, "" Unser Gefäßsystem —
											alle Venen und Arterien in unserem Körper
											bewirken täglich logistische Wunder.""
											In jenem Moment wurde mir klar,
											dass die Biologie sich
seit Milliarden von Jahren
											mit Logistik beschäftigt.
											Sie hat unzählige Lösungen getestet
											um Nährstoffe, Gase
und Proteine zu transportieren.
											Es ist das weltweit
ausgefeilteste Transportlabor.
									","
											Después de 16 años
trabajando en transporte
											mi comprensión se dio hablando
con un cliente de biotecnología.
											Me contaba cómo su tratamiento
											aprovechaba propiedades específicas
de nuestro sistema vascular.
											""Vaya"" pensé, ""nuestro sistema vascular-
											todas las venas y arterias
de nuestro cuerpo
											haciendo milagros en logística cada día"".
											En ese momento me di cuenta
											de que la biología había estado
en el negocio del transporte
											durante miles de millares de años.
											Ha analizado incontables soluciones
											para mover nutrientes, gases y proteínas.
											Es el laboratorio de transporte 
más sofisticado del mundo.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											So, what if the solution to our traffic
challenges was inside us?
											I wanted to know:
											Why is it that blood flows
in our veins most of our lives,
											when our big cities get clogged
on a daily basis?
											And the reality is that you're looking
at two very different networks.
											I don't know if you realize,
											but each of us has 60,000 miles
of blood vessels in our bodies —
											60,000 miles.
											That's two-and-a-half times
the Earth's circumference,
											inside you.
											What it means is that blood vessels
are everywhere inside us,
											not just under the surface of our skin.
									","
											Et si la solution à nos défis
de circulation était en nous ?
											Je voulais savoir :
											pourquoi le sang circule dans nos veines
durant toute notre vie
											alors que nos grandes villes
sont quotidiennement congestionnées ?
											La réalité est que nous observons
deux réseaux très différents.
											Je ne sais pas si vous réalisez
											que chacun d'entre nous a 100 000 km
de vaisseaux sanguins dans son corps —
											100 000 km.
											C'est deux fois et demie
la circonférence de la Terre,
											en vous.
											Cela signifie que les vaisseaux sanguins
sont partout en nous,
											pas seulement
sous la surface de notre peau.
									","
											Was wäre, wenn die Lösung für unsere
Verkehrsprobleme bereits in uns liegt?
											Ich wollte wissen:
											Wie kann Blut unser ganzes Leben 
lang durch unsere Venen fließen,
											während unsere Großstädte
täglich verstopfen?
											In Wahrheit betrachten wir
zwei sehr verschiedene Netzwerke.
											Haben Sie je darüber nachgedacht,
											dass jeder von uns 96 000 km
an Blutgefäßen in seinem Körper hat —
											96 000 Kilometer.
											Das ist das Zweieinhalbfache
des Erdumfangs in Ihnen.
											Das heißt, dass Blutgefäße
überall in uns sind,
									","
											¿Y si la solución a nuestros problemas
de transporte estuviera en nosotros?
											Yo quería saber:
											¿Por qué la sangre fluye por nuestras
venas toda la vida,
											y nuestras ciudades 
se obstruyen diariamente?
											Y la realidad es que se trata de 
dos redes muy diferentes.
											No sé si se dan cuenta,
											pero todos tenemos 60 mil millas
de vasos sanguíneos en nuestro cuerpo
											60 mil millas.
											Eso es dos veces y media
la circunferencia de la tierra,
											dentro de ti.
											Lo que significa que los vasos sanguíneos
están por todas partes
											no solamente bajo la 
superficie de nuestra piel.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											But if you look at our cities,
											yes, we have some
underground subway systems
											and some tunnels and bridges,
											and also some helicopters in the sky.
											But the vast majority of our traffic
is focused on the ground,
											on the surface.
											So in other words,
											while our vascular system uses
the three dimensions inside us,
											our urban transportation
is mostly two-dimensional.
											And so what we need
is to embrace that verticality.
											If our surface grid is saturated,
											well, let's elevate our traffic.
									","
											Si vous observez nos villes,
											oui, certaines ont des systèmes
de métro souterrain,
											des tunnels et des ponts
											ainsi que des hélicoptères dans le ciel.
											Mais la vaste majorité de notre trafic
est concentré sur le sol,
											à la surface.
											En d'autres mots,
											alors que notre système vasculaire utilise
les trois dimensions en nous,
											notre transport urbain
est majoritairement bidimensionnel.
											Nous devons donc embrasser la verticalité.
											Si notre réseau surfacique est saturé,
											élevons notre trafic.
									","
											nicht nur unter der Hautoberfläche.
											Aber wenn man sich
unsere Städte anschaut —
											ja, wir haben ein paar
unterirdische U-Bahn-Systeme,
											einige Tunnel und Brücken
											und auch ein paar Helikopter am Himmel.
											Aber die große Mehrheit unseres Verkehrs
konzentriert sich auf den Boden,
											auf die Oberfläche.
											Mit anderen Worten:
											Während unser Gefäßsystem
drei Dimensionen in uns nutzt,
											ist unser städtischer Verkehr
größtenteils zweidimensional.
											Wir müssen uns
der Senkrechten annehmen.
											Wenn unsere Verkehrsnetze
an der Oberfläche gesättigt sind,
									","
											Pero si miran nuestras ciudades,
											tenemos sistemas de metro,
											túneles y puentes,
											y algunos helicópteros en el cielo.
											Pero la gran mayoría del tráfico 
está en la tierra,
											en la superficie.
											En otras palabras,
											nuestro sistema vascular usa 
las tres dimensiones en nuestro interior,
											nuestro transporte urbano
es bidimensional.
											Lo que necesitamos es 
abarcarlo verticalmente.
											Si nuestras vías están saturadas,
											elevemos nuestro tráfico.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											This Chinese concept of a bus
that can straddle traffic jams —
											that was an eye-opener on new ways
to think about space and movement
											inside our cities.
											And we can go higher,
											and suspend our transportation
like we did with our electrical grid.
											Tel Aviv and Abu Dhabi
are talking about testing
											these futuristic networks
of suspended magnetic pods.
											And we can keep climbing, and fly.
											The fact that a company like Airbus
											is now seriously working
on flying urban taxis
											is telling us something.
											Flying cars are finally moving
from science-fiction déjà vu
											to attractive business-case territory.
											And that's an exciting moment.
									","
											Ce concept chinois de bus
pouvant chevaucher les embouteillages —
											il a révélé de nouvelles façons
de penser l'espace et le mouvement
											dans nos villes.
											Nous pouvons aller plus haut
											et suspendre nos transports
comme nos fils électriques.
											Tel Aviv et Abu Dhabi parlent de tester
											ces réseaux futuristes
de capsules magnétiques suspendues.
											Nous pouvons continuer
à escalader et voler.
											Le fait qu'une entreprise comme Airbus
											travaille sérieusement
sur des taxis urbains volants
											est révélateur.
											Les voitures volantes passent enfin
de la science-fiction
											à un modèle économique attractif.
											C'est un moment excitant.
									","
											dann heben wir den Verkehr an.
											Dieses chinesische Konzept eines Busses,
											der Verkehrsstaus überbrücken kann,
											hat uns die Augen für
neue Möglichkeiten geöffnet,
											über Raum und Bewegung
in unseren Städten nachzudenken.
											Wir können noch höher gehen
											und unseren Verkehr aufhängen,
											wie wir es mit unseren Stromnetzen machen.
											Tel Aviv und Abu Dhabi reden darüber,
											futuristische Netzwerke aus
schwebenden Magnetkapseln zu testen.
											Wir können noch höher
klettern und fliegen.
											Die Tatsache, dass eine Firma wie Airbus
											jetzt ernsthaft
an fliegenden Taxis arbeitet,
											ist aufschlussreich.
											Fliegende Autos werden endlich
vom Science-Fiction-""Déjà-vu""
											zu attraktiven Geschäftsszenarien.
									","
											Este concepto chino de un autobús
que puede atravesar los atascos-
											abrió los ojos a nuevas formas
de percibir el espacio y el movimiento
											en nuestras ciudades.
											Y podemos llegar más alto,
											y suspender el transporte como
hicimos con la red eléctrica.
											Tel Aviv y Abu Dhabi quieren probar
											estas redes futuristas de
vainas magnéticas suspendidas.
											Y podemos seguir escalando, y volar.
											El hecho de que una compañía como Airbus
											esté trabajando seriamente en
taxis urbanos voladores
											nos dice algo.
											Los coches voladores están pasando 
del déjà vu de la ciencia ficción
											a ser territorio atractivo
para los negocios.
											Y eso es un momento emocionante.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											So building this 3-D
transportation network
											is one of the ways we can mitigate
and solve traffic jams.
											But it's not the only one.
											We have to question
											other fundamental choices
that we made, like the vehicles we use.
											Just imagine a very familiar scene:
											You've been driving for 42 minutes.
											The two kids behind you
are getting restless.
											And you're late.
											Do you see that slow car in front of you?
											Always comes when you're late, right?
									","
											Construire ce réseau de transport en 3D
											est une façon de limiter,
voire résoudre, les embouteillages.
											Mais ce n'est pas la seule.
											Nous devons remettre en question
											d'autres choix fondamentaux
que nous avons faits
											tels que les véhicules que nous utilisons.
											Imaginez une scène familière :
											vous avez conduit 42 minutes.
											Les deux enfants à l'arrière
commencent à s'agiter.
											Et vous êtes en retard.
											Voyez-vous cette voiture lente
juste devant vous ?
											Il y en a une dès que vous êtes en retard.
									","
											Das ist ein spannender Moment.
											Der Bau dieses
dreidimensionalen Verkehrsnetzes
											ist ein Weg, wie wir Staus
vermindern und lösen können.
											Aber es ist nicht der einzige Weg.
											Wir müssen unsere grundlegenden
Entscheidungen hinterfragen,
											wie etwa die Fahrzeuge, die wir nutzen.
											Stellen Sie sich diese
vertraute Szene vor:
											Sie fahren seit 42 Minuten.
											Die zwei Kinder hinter Ihnen
werden unruhig.
											Und Sie sind spät dran.
											Sehen Sie das langsame Auto vor Ihnen?
									","
											Construir esta red de transporte en 3D
											es una de las formas
de mitigar los atascos.
											Pero no es la única.
											Tenemos que considerar
											otras opciones fundamentales, 
como los vehículos que usamos.
											Imaginen una escena familiar:
											Han estado conduciendo 42 minutos.
											Los dos niños en la parte de atrás
se empiezan a inquietar.
											Y llegas tarde.
											Ves ese coche lento en frente?
											Siempre está cuando
llegas tarde, ¿verdad?
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											(Laughter)
									","
											(Rires)
									","
											Das ist immer so,
wenn man spät dran ist, oder?
									","
											(Risas)
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											That driver is looking for parking.
											There is no parking spot
available in the area,
											but how would he know?
											It is estimated that up to 30 percent
of urban traffic is generated
											by drivers looking for parking.
											Do you see the 100 cars around you?
											Eighty-five of them
only have one passenger.
											Those 85 drivers could all fit
in one Londonian red bus.
											So the question is:
											Why are we wasting so much space
if it is what we need the most?
											Why are we doing this to ourselves?
									","
											Le conducteur cherche à se garer.
											Il n'y a pas de place libre
dans les environs
											mais comment le saurait-il ?
											On estime que jusqu'à 30%
du trafic urbain est généré
											par les conducteurs voulant se garer.
											Voyez-vous les 100 voitures
autour de vous ?
											85% n'ont qu'un seul passager.
											Ces 85 conducteurs tiendraient tous
dans un bus rouge londonien.
											La question est :
											pourquoi gaspiller tant d'espace
si nous en avons besoin ?
											Pourquoi nous infligeons-nous cela ?
									","
											(Lachen)
											Dieser Fahrer sucht einen Parkplatz.
											Es gibt keinen freien Parkplatz
in der Nähe,
											aber wie soll er das wissen?
											Es wird geschätzt, dass bis zu
30 Prozent des Stadtverkehrs
											durch Fahrer entsteht,
die nach Parkplätzen suchen.
											Sehen Sie die 100 Autos um Sie herum?
											85 dieser Autos haben nur einen Insassen.
											Alle 85 Fahrer würden
in einen roten Londoner Bus passen.
											Warum verschwenden wir so viel Platz,
											wenn wir ihn so dringend brauchen?
									","
											Ese conductor está buscando aparcamiento.
											No hay ninguno cerca,
											pero ¿cómo lo va a saber?
											Se estima que el 30% del tráfico urbano
lo generan
											conductores en busca de aparcamiento.
											¿Ves los 100 coches a tu alrededor?
											85 solo llevan un pasajero.
											Todos esos 85 conductores 
cabrían en un autobús londinense.
											La pregunta es:
											¿Por qué malgastan tanto espacio 
si es lo que más necesitamos?
											¿Por qué nos hacemos esto?
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
