es,pt,en,title,speaker,duration,tags
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Con cinco años, ya viajaba
una hora en autobús
											hasta un lugar lejano
											donde recibía una mejor educación.
											A los cinco años, pensaba que todos
disfrutaban de una vida similar a la mía.
											Pensaba que todos iban a la escuela
											y que éramos los únicos
que usábamos lápices de color
											para retratar a su familia,
											mientras todos los demás usaban
lápices de color melocotón.
											A los cinco años, pensaba
que todo el mundo era como yo.
											Pero a medida que crecí,
comencé a preguntarme
											porque mis amigos de barrio
no tenían que despertarse
											a las cinco de la mañana
											e ir a una escuela que estaba
a una hora de distancia,
											o preguntarme porque
yo aprendía a tocar el violín
											mientras que mis amigos
ni siquiera daban clases de música.
											¿Por qué mis amigos del vecindario
aprendían y leían contenidos
											que yo había estudiado
dos o tres años antes?
									","
											Aos cinco anos, eu tinha que fazer
uma viagem de uma hora, de autocarro
											para um local distante
											para ter direito a um ensino melhor.
											Aos cinco anos, eu julgava
que todos tinham uma vida como a minha.
											Julgava que toda a gente ia à escola
											e que éramos os únicos
que usávamos lápis castanhos
											para colorir os retratos da família,
											enquanto todos os outros
usavam os lápis cor de pêssego.
											Aos cinco anos, eu julgava
que eram todos como eu.
											Mas à medida que crescia,
comecei a reparar em coisas, como:
											Porque é que a a vizinha minha amiga
não tinha que acordar
											às cinco da manhã
											e ir para uma escola
à distância de uma hora?
											Porque é que eu estava
a aprender a tocar violino
											enquanto as minhas amigas do bairro
nem sequer tinham aulas de música?
											Porque é que as minhas amigas do bairro
estavam a estudar e a ler materiais
											que eu tinha estudado
dois ou três anos antes?
									","
											At five years old, I had to take
an hour-long bus ride
											to a faraway place
											to get a better education.
											At five years old, I thought
everyone had a life just like mine.
											I thought everyone went to school
											and were the only ones
using the brown crayons
											to color in their family portraits,
											while everyone else was using
the peach-colored ones.
											At five years old, I thought
everyone was just like me.
											But as I got older, I started
noticing things, like:
											How come my neighborhood friend
don't have to wake up
											at five o'clock in the morning,
											and go to a school that's an hour away?
											How come I'm learning to play the violin
											while my neighborhood friends
don't even have a music class?
											Why were my neighborhood friends
learning and reading material
											that I had done two to three years prior?
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											A medida que fui creciendo,
											comencé a sentirme muy incómoda
											como si fuera que estaba haciendo algo
que no se suponía que tenía que hacer,
											que disfrutaba de algo que no era mío;
											que recibía un regalo
											pensado para otras personas,
											que todas estas cosas increíbles
											a las cuales estuve expuesta
y estuve experimentado
											realmente no debía tenerlas.
											Se supone que no tenía
que tener una biblioteca,
											instalaciones deportivas
totalmente equipadas,
											campos seguros para jugar,
											un departamento de teatro
con obras y conciertos de temporada,
											artes escénicas, visuales y digitales.
											laboratorios de biología
y química bien equipados
											un autobús escolar que me recogiera
y trajera de vuelta a casa
											un almuerzo recién preparado
o incluso aire acondicionado.
											Y esas son cosas que
mis niños no reciben.
									","
											À medida que crescia,
											comecei a ter esta sensação
de ilegalidade no estômago
											como se eu estivesse a fazer
uma coisa que não devia,
											a roubar alguma coisa
que não era minha,
											a receber um presente,
											mas destinado a outra pessoa.
											Todas aquelas coisas maravilhosas
que estavam ao meu dispor
											e que estava a viver,
											sentia que me eram indevidas.
											Eu não devia ter uma biblioteca,
											instalações desportivas
totalmente equipadas,
											nem recreios seguros
para brincar.
											Eu não devia ter secções de teatro
											com peças e concertos sazonais
											— artes digitais, visuais,
de representação.
											Eu não devia ter laboratórios de biologia
ou de química, cheios de recursos,
											autocarros escolares
que me transportavam porta a porta,
											almoços acabados de preparar,
											nem sequer ar condicionado.
											São coisas que as minhas crianças não têm.
									","
											See, as I got older,
											I started to have
this unlawful feeling in my belly,
											like I was doing something
that I wasn't supposed to be doing;
											taking something that wasn't mine;
											receiving a gift,
											but with someone else's name on it.
											All these amazing things
that I was being exposed to
											and experiencing,
											I felt I wasn't really supposed to have.
											I wasn't supposed to have a library,
fully equipped athletic facilities,
											or safe fields to play in.
											I wasn't supposed to have
theatre departments
											with seasonal plays and concerts —
											digital, visual, performing arts.
											I wasn't supposed to have
fully resourced biology or chemistry labs,
											school buses that brought me door-to-door,
											freshly prepared school lunches
											or even air conditioning.
											These are things my kids don't get.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											A medida que crecía
											agradecida por esta increíble
oportunidad que me ofrecieron,
											siempre he tenido esta pregunta constante:
											¿Y los demás?
											Hay miles de otros niños como yo
											que merecen esto también.
											¿Por qué no todo el mundo recibe esto?
											¿Cómo es que solo los ricos
tienen educación de calidad?
									","
											À medida que crescia,
											embora estivesse grata
por esta oportunidade espantosa,
											que me tinha sido dada,
											havia esta dor sempre presente.
											Mas, quanto a todos os demais?
											Há milhares de outras crianças como eu,
											que também merecem isto.
											Porque é que nem todos o têm?
											Porque é que um ensino de alta qualidade
é exclusivo dos ricos?
									","
											You see, as I got older,
											while I was grateful
for this amazing opportunity
											that I was being given,
											there was this ever-present pang of:
											But what about everyone else?
											There are thousands
of other kids just like me,
											who deserve this, too.
											Why doesn't everyone get this?
											Why is a high-quality education
only exclusive to the rich?
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Era como sentir remordimiento
por ser la única que se salvó.
											Todos mis amigos estaban
en el tren de la catástrofe educativa
											mientras que yo estaba a salvo
en un viaje en autobús.
											Me sentía Moisés gritando:
											""¡Deja a mi gente que asista
a escuelas de alta calidad!""
									","
											Era como se eu tivesse
uma espécie de remorso do sobrevivente.
											Todas as minhas amigas do bairro
experimentavam
											um desastre educativo
											a que eu escapava, 
por intermédio de uma viagem de autocarro.
											Eu parecia um Moisés educativo a gritar:
											""Deixem o meu povo ir...
											""para escolas de alta qualidade!""
									","
											It was like I had some sort
of survivor's remorse.
											All of my neighborhood friends
were experiencing
											an educational train wreck
											that I was saved from through a bus ride.
											I was like an educational Moses screaming,
											""Let my people go ...
											to high-quality schools!""
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											(Risas)
									","
											(Risos)
									","
											(Laughter)
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Fui testigo de cómo los demás
eran tratados y educados,
											vi la tierra prometida de la educación
											y no hubo nada que pudiera
justificar la disparidad.
									","
											Eu via com os meus olhos
											como a outra metade
estava a ser tratada e ensinada.
											Eu via a terra educativa prometida,
											e em toda a minha vida
nunca consegui justificar a disparidade.
									","
											I'd seen firsthand how the other half
was being treated and educated.
											I'd seen the educational promised land,
											and I could not for the life of me
justify the disparity.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Hoy en día, enseño en el mismo sistema
educativo del que fui rescatada.
											Conozco muy bien las herramientas
que me dieron cuando era alumna
											y ahora, como profesora,
											no tengo acceso a las mismas
para mis estudiantes.
											En innumerables noches
											he llorado de frustración,
enojo y tristeza
											porque no puedo enseñarles
lo que a mí me enseñaron,
											porque no tengo acceso
											a los mismos recursos o herramientas
que usaron para enseñarme.
											Mis alumnos merecen mucho más.
									","
											Hoje ensino no mesmo sistema escolar
do qual procurei refúgio.
											Eu conheço, como as minhas mãos,
											as ferramentas que me deram
enquanto estudante,
											e agora, enquanto professor,
não tenho acesso a essas ferramentas
											para as dar aos meus alunos.
											Muitas noites
chorei de frustração,
											de raiva,
											e de tristeza
											porque não posso ensinar as minhas crianças
da mesma forma que fui ensinada,
											porque não tenho acesso
aos mesmos recursos ou ferramentas
											que foram usados para me ensinar.
											As minhas crianças merecem muito mais.
									","
											I now teach in the very same school system
from which I sought refuge.
											I know firsthand the tools
that were given to me as a student,
											and now as a teacher, I don't have
access to those same tools
											to give my students.
											There have been countless nights
when I've cried in frustration,
											anger
											and sorrow,
											because I can't teach my kids
the way that I was taught,
											because I don't have access
to the same resources or tools
											that were used to teach me.
											My kids deserve so much better.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Seguimos sentados
luchando contra este término:
											""¡Retraso en la escuela,
falta de rendimiento!""
											¿Es tan difícil de entender
											por qué estos niños se desempeñan bien 
y estos niños no?
											Quiero decir, ¿en serio?
											Creo que lo tenemos todo mal.
											Creo que nosotros,
											como dice Gloria Ladson-Billings,
											debemos cuestionar el paradigma
y el lenguaje y llamarlo por su nombre.
											No es falta de rendimiento;
hay una deuda institucional educativa
											en cuanto a los recursos
que nunca se invirtieron
											en la educación de los niños negros
y mestizos a lo largo de la historia.
									","
											Ficamos com este termos
a martelar na nossa cabeça:
											""Fosso de desempenho,
fosso de desempenho!""
											É assim tão difícil perceber
											porque é que estas crianças
têm bons resultados e estas não têm?
											Vamos lá...
											penso que estamos todos a ver mal.
											Penso que nós,
											como diz Gloria Ladson-Billings,
											devíamos inverter o nosso paradigma
e a nossa linguagem
											e chamar as coisas pelos seus nomes.
											Não se trata de um fosso de desempenho.
											É uma dívida de ensino
											por todos os recursos escolares
que nunca foram investidos
											no ensino das crianças negras
e mestiças, ao longo do tempo.
									","
											We sit and we keep banging
our heads against this term:
											""Achievement gap, achievement gap!""
											Is it really that hard to understand
											why these kids perform well
and these kids don't?
											I mean, really.
											I think we've got it all wrong.
											I think we,
											as Gloria Ladson-Billings says,
											should flip our paradigm and our language
and call it what it really is.
											It's not an achievement gap;
											it's an education debt,
											for all of the foregone schooling
resources that were never invested
											in the education of the black
and brown child over time.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Un secreto poco conocido
en la historia de EE.UU.
											es que la única institución de EE.UU.
											creada específicamente
para las personas de color
											fue la trata de esclavos...
											y algunos añadirían
el sistema penitenciario,
											pero ese es otro tema
para otra charla TED.
									","
											Um segredo pouco conhecido
na história norte-americana
											é que a única instituição americana
											criada especificamente
para as pessoas de cor
											é o comércio de escravos norte-americano
											— e alguns referirão o sistema prisional,
											mas esse é outro tópico
para outra palestra TED.
									","
											A little-known secret in American history
											is that the only American institution
created specifically for people of color
											is the American slave trade —
											and some would argue the prison system,
											but that's another topic
for another TED Talk.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											(Risas)
									","
											(Risos)
									","
											(Laughter)
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											El sistema de educación
pública en el país
											fue construido, comprado y pagado
											con dinero generado por la trata
de esclavos y el trabajo forzoso.
											Mientras que a los afroestadounidenses
se les esclavizaba y prohibía estudiar
											su labor establecía la propia institución
											de la cual fueron excluidos.
											Desde entonces, cada demanda,
política educativa o reforma
											intentaron modernizar el proyecto
											en lugar de simplemente pararlo y admitir
que hicimos todo mal desde el principio.
									","
											O sistema das escolas públicas deste país
foi criado, comprado e pago
											usando o comércio gerado
no comércio escravo e no trabalho escravo.
											Enquanto os afro-americanos eram
escravizados e proibidos de irem à escola,
											foi o trabalho deles
que criou a instituição
											da qual eles estavam excluídos.
											Desde aí, todos os processos judiciais,
											toda a política educativa,
todas as reformas,
											têm sido uma tentativa
de modernizar o conceito,
											em vez de o eliminar
e de reconhecer
											que está tudo errado
desde o início.
									","
											The public school system of this country
was built, bought and paid for
											using commerce generated
from the slave trade and slave labor.
											While African-Americans were enslaved
and prohibited from schooling,
											their labor established
the very institution
											from which they were excluded.
											Ever since then, every court case,
educational policy, reform,
											has been an attempt
to retrofit the design,
											rather than just stopping
and acknowledging:
											we've had it all wrong from the beginning.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Hagamos un repaso simplificado de la
historia del sistema educativo de EE.UU.,
											tengan un poco de paciencia.
											A los negros se les excluyen
—cómo repercusión de la esclavitud —
											pero con ayuda de filántropos blancos
construyeron sus propias escuelas.
											Separados pero iguales, está bien.
											Pero mientras todos sabemos
que hubo segregación
											no hubo nada de igualdad.
											Con el caso Brown contra La Junta
de Educación de Topeka, Kansas en 1954
											la legalizada segregación
racial es ahora ilegal.
											Pero muy poca gente presta atención
a los casos judiciales ulteriores
											que negaron la tierra prometida
educativa para todos los niños
											que se pretendió con este caso.
											Algunos argumentan que hoy,
las escuelas están aún más segregadas
											que antes de los primeros intentos 
de de-segregación.
									","
											Uma mais que simplificação
da história educativa dos EUA.
											Tudo bem, conto com a vossa compreensão.
											Os negros libertaram-se
dessa coisa da escravatura.
											Com a ajuda de pessoas brancas,
de filantropos,
											criaram as suas escolas.
											Separados, mas iguais, tudo bem.
											Mas embora todos saibamos
que as coisas estavam separadas,
											de forma alguma eram iguais.
											Vem Brown contra o Conselho de Educação
de Topeka, no Kansas, em 1954.
											A separação legal das raças
passou a ser ilegal.
											Mas muito pouca gente prestou atenção
a todos os processos judiciais desde então,
											que boicotaram a prometida
terra educativa para todas as crianças
											que Brown contra o Conselho
pretendia.
											Há quem diga que as nossas escolas
são hoje mais segregadas
											do que eram antes de termos tentado
acabar com a segregação.
									","
											An oversimplification
of American educational history.
											All right, just bear with me.
											Blacks were kept out — you know,
the whole slavery thing.
											With the help
of philanthropic white people,
											they built their own schools.
											Separate but equal was OK.
											But while we all know
things were indeed separate,
											they were in no ways equal.
											Enter Brown v. the Board of Education
of Topeka, Kansas in 1954;
											legal separation of the races
is now illegal.
											But very few people pay attention
to all of the court cases since then,
											that have undone the educational
promised land for every child
											that Brown v. Board intended.
											Some argue that today our schools
are now more segregated
											than they ever were before we tried
to desegregate them in the first place.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Enseñarles a mis alumnos
sobre la segregación,
											el caso de ""Los Nueve de Little Rock"",
el Movimiento por los Derechos Civiles,
											es un momento muy incómodo en mi aula
											y tengo que escuchar la voz
de algún niño que pregunta:
											""Si no hay segregación en el aula desde
1954, ¿por qué no hay niños blancos aquí?""
									","
											Ensinar aos meus alunos
o fim da segregação,
											os Nove de Little Rock,
o Movimento dos Direitos Civis,
											é um momento desconfortável
nas minhas aulas,
											quando tenho que ouvir
a voz de uma criança perguntar:
											""Se a segregação nas escolas
acabou em 1954,
											""porque é que não há aqui
crianças brancas?""
									","
											Teaching my kids about desegregation,
the Little Rock Nine,
											the Civil Rights Movement,
											is a real awkward moment in my classroom,
											when I have to hear
the voice of a child ask,
											""If schools were desegregated in 1954,
											how come there are no white kids here?""
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											(Risas)
									","
											(Risos)
									","
											(Laughter)
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Estos chicos no son tontos.
											Saben exactamente lo que 
está sucediendo y lo que no.
											Saben que cuando se trata
de escolarización,
											las vida de los afroestadounidenses
no importa y nunca lo importó.
									","
											Estas crianças não são parvas.
											Sabem exatamente o que está a acontecer
											e o que não está.
											Sabem que, no que se refere à escola
											a vida dos negros não interessa,
											nem nunca interessou.
									","
											These kids aren't dumb.
											They know exactly what's happening,
											and what's not.
											They know that when it comes to schooling,
											black lives don't matter
											and they never have.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Llevo años tratando desesperadamente
											de cultivar en ellos
el interés por la lectura
											con la ayuda de mi modesta
biblioteca llena de libros
											que compré en tiendas de segunda mano,
rastrillos, áticos, lugares así, ya saben.
											Pero tan pronto como decía
esas palabras espantosas,
											""Tomemos un libro para leer"",
											parecía que declaraba la guerra.
											Era una tortura.
											Un día, después de enterarme
de este sitio web DonorsChoose,
											donde los maestros crean listas de deseos
											de los artículos que
necesitan para su aula
											y los donantes anónimos los cumplen,
											decidí arriesgarme y crear mi lista
											de la biblioteca de ensueño
de todo adolescente.
											Más de 200 nuevos libros fueron
enviados uno a uno a mi despacho.
											Cada día llegaban más
y los niños exclamarían con júbilo,
											""¡Parece Navidad!""
									","
											Durante anos, tentei desesperadamente,
											cultivar nas minhas crianças
o amor pela leitura.
											Reuni uma modesta biblioteca de livros
											que arranjei em lojas de livros usados,
											armazéns de monos, sótãos.
											Mas, quando dizia
essas palavras terríveis:
											""Agarrem num livro e leiam"",
											parecia que acabara de declarar guerra.
											Era uma tortura.
											Um dia,
											depois de ouvir falar de um site
chamado DonorsChoose,
											em que os professores criam
listas de desejos
											de artigos de que precisam
para as suas aulas
											e há doadores anónimos que os satisfazem,
											pensei em lá ir rapidamente
e fazer uma lista de desejos
											da biblioteca de sonho dos adolescentes.
											Enviaram-me mais de 200 livros
novinhos em folha, um por um.
											Todos os dias havia novas entregas
											e as minhas crianças
exclamavam com alegria:
											""Parece mesmo Natal!""
									","
											For years, I tried desperately
to cultivate in my kids a love of reading.
											I'd amassed a modest classroom library
											of books I'd accumulated
from secondhand shops,
											thrift stores, attics — you know.
											But whenever I said those dreadful words,
											""Take out a book and read,""
											you'd think I'd just declared war.
											It was torture.
											One day,
											after I'd heard about this website
called DonorsChoose,
											where classroom teachers create wish lists
											of items they need for their classroom
											and anonymous donors fulfill them,
											I figured I'd go out on a limb
and just make a wish list
											of the teenager's dream library.
											Over 200 brand-new books
were sent to my room piece by piece.
											Every day there were new deliveries
and my kids would exclaim with glee,
											""This feels like Christmas!""
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											(Risas)
									","
											(Risos)
									","
											(Laughter)
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Después dijeron:
											""Sra. Sumner, ¿de dónde
vienen estos libros?""
									","
											Depois disseram:
											""Sra. Sumner, de onde vieram
estes livros?""
									","
											Then they'd say,
											""Ms. Sumner, where did
these books come from?""
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Y entonces respondí:
											""De gente de todo el país
que quiso regalarlos"".
									","
											E eu respondi:
											""Estranhos de todo o país
quiseram que vocês os tivessem"".
									","
											And then I'd reply,
											""Strangers from all over the country
wanted you to have these.""
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Y después notaron, un poco sorprendidos:
											""Pero son completamente nuevos"".
									","
											E eles disseram, 
um pouco desconfiados:
											""Mas são novinhos em folha"".
									","
											And then they'd say, almost suspiciously,
											""But they're brand-new.""
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											(Risas)
									","
											(Risos)
									","
											(Laughter)
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
