en,de,fr,tr,pt,es,title,speaker,duration,tags
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											You did, too.
											That led me to building a laser
and a computer and model rockets,
											and that led me to making
rocket fuel in my bedroom.
											Now, in scientific terms,
											we call this a very bad idea.
									","
											Das haben Sie auch gemacht.
											Das führte mich dazu, einen Laser und
einen Computer und Modellraketen zu bauen
											und Raketenbrennstoff 
in meinem Schlafzimmer herzustellen.
											In wissenschaftlicher Terminologie
											nennen wir das eine sehr schlechte Idee.
									","
											Vous aussi.
											Cela m'a mené à créer un laser,
un ordinateur et des micro fusées
											et à faire du carburant
pour les fusées dans ma chambre.
											En termes scientifiques,
											cela s'appelle une très mauvaise idée.
									","
											Sen de okudun.
											Bu okumalar lazer, bilgisayar ve
maket roketler yapmamı sağladı.
											Bunlar ise roket yakıtı yapmamı sağladı.
											Şimdi, bilimsel olarak
											biz buna ""çok kötü bir fikir"" deriz.
									","
											Vocês também fizeram isso.
											Isso levou-me a construir um laser,
um computador e modelos de foguetões
											e levou-me a fazer combustível
para foguetões, no meu quarto.
											Em termos científicos,
											chamamos a isso uma ideia muito má.
									","
											Uds. también lo hicieron.
											Eso me llevó a crear un láser, 
una computadora y modelos de cohetes,
											y eso me llevó a hacer 
combustible para cohetes en mi habitación.
											En términos científicos,
											esta es una muy mala idea.
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											(Laughter)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Kahkaha)
									","
											(Risos)
									","
											(Risas)
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											Around that same time,
											Stanley Kubrick's ""2001: A Space Odyssey""
came to the theaters,
											and my life was forever changed.
											I loved everything about that movie,
											especially the HAL 9000.
											Now, HAL was a sentient computer
											designed to guide the Discovery spacecraft
											from the Earth to Jupiter.
											HAL was also a flawed character,
											for in the end he chose
to value the mission over human life.
											Now, HAL was a fictional character,
											but nonetheless he speaks to our fears,
											our fears of being subjugated
											by some unfeeling, artificial intelligence
											who is indifferent to our humanity.
									","
											Um die Zeit herum
											kam Stanley Kubricks ""2001: 
Odyssee im Weltraum"" in die Kinos
											und mein Leben hatte sich 
für immer verändert.
											Ich liebte alles in diesem Film,
											besonders den HAL 9000.
											HAL war ein empfindungsfähiger Computer,
											dazu entworfen, das Raumschiff Discovery
											von der Erde zum Jupiter zu leiten.
											HAL war auch ein fehlerhafter Charakter,
											da er am Ende beschloss, die Mission 
über menschliches Leben zu setzen.
											HAL war ein fiktiver Charakter,
											aber nichtsdestotrotz 
spricht er unsere Ängste an,
											unsere Ängste vor der Unterwerfung
											durch irgendeine nicht fühlende 
künstliche Intelligenz,
											der unsere Menschlichkeit 
gleichgültig ist.
									","
											A peu près au même moment,
											« 2001 : l'odyssée de l'espace »
de Stanley Kubrick est sorti
											et cela a changé ma vie.
											J'aimais tout dans ce film,
											en particulier HAL 9000.
											HAL était un ordinateur sensible
											conçu pour guider Discovery,
le vaisseau spatial,
											de la Terre à Jupiter.
											HAL était aussi un personnage imparfait
											puisqu'à la fin, il choisissait
											la valeur de la mission
plutôt que la vie humaine.
											HAL était un personnage de fiction
											mais il s'adresse malgré tout à nos peurs,
											nos peurs d'être assujettis
											par une intelligence artificielle
sans émotions
											qui est indifférente à notre humanité.
									","
											O zamanlarda,
											Stanley Kubrick'in filmi 
""2001: Uzay Macerası"" sinemalara gelmişti,
											ve benim hayatım sonsuza kadar değişmişti.
											Bu filmi çok sevmiştim,
											özellikle HAL 9000'i.
											HAL, uzay gemisi Keşif'i Dünya'dan
											Jüpiter'e götürmek için tasarlanmış
											duyguları olan bir bilgisayar.
											HAL ayrıca kusurlu bir karaktere sahip.
											Çünkü sonunda, görevi 
insan hayatına tercih etmişti.
											HAL uydurma bir karakter,
											ama yine de o korkularımızı simgeliyor,
											İnsanlığımızı umursamayan
											duygusuz bir yapay zeka tarafından
											kontrol altına alınma korkumuz.
									","
											Por volta dessa época,
											""2001: A Odisseia no Espaço"", de 
Stanley Kubrick, chegou ao cinema
											e a minha vida mudou para sempre.
											Adorei tudo naquele filme,
											especialmente o HAL 9000,
											O HAL era um computador sensível
											concebido para guiar a astronave Discovery
											da Terra para Júpiter.
											O HAL também era
um personagem com defeitos,
											porque, no final, preferiu valorizar 
a missão em vez da vida humana.
											O HAL era uma personagem fictícia,
											mas, mesmo assim,
fala dos nossos medos,
											dos nossos medos de sermos subjugados
											por alguma inteligência 
insensível, artificial
											que é indiferente à nossa humanidade.
									","
											Por esos días
											se estrenó ""2001: Una Odisea
en el Espacio"" de Stanley Kubrick,
											y mi vida cambió para siempre.
											Me encantó todo de esa película,
											especialmente el HAL 9000.
											HAL era un computador sensible
											diseñado para guiar 
la aeronave Discovery
											de la Tierra a Júpiter.
											HAL además era imperfecto,
											porque eligió el valor de la misión
sobre la vida humana.
											HAL era un personaje ficticio,
											y sin embargo habla sobre 
nuestros temores,
											nuestros temores a ser subyugados
											por alguna insensible 
inteligencia artificial
											indiferente a nuestra humanidad.
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											I believe that such fears are unfounded.
											Indeed, we stand at a remarkable time
											in human history,
											where, driven by refusal to accept
the limits of our bodies and our minds,
											we are building machines
											of exquisite, beautiful
complexity and grace
											that will extend the human experience
											in ways beyond our imagining.
									","
											Ich glaube, dass solche Ängste 
unbegründet sind.
											Wir befinden uns wirklich
in einer bemerkenswerten Zeit
											in der Geschichte der 
Menschheit, in der wir,
											getrieben durch die Weigerung die Grenzen
von Körper und Geist zu akzeptieren,
											Maschinen bauen,
											von exquisiter, wunderschöner 
Komplexität und Grazie,
											die die menschliche
Erfahrung erweitern werden,
											weit über unsere Vorstellung hinaus.
									","
											Je crois que de telles peurs
sont infondées.
											En fait, nous vivons un moment remarquable
											dans l'histoire de l'humanité
											où, guidés par notre refus d'accepter
les limites de nos corps et esprit,
											nous construisons des machines
											d'une complexité et d'une grâce
exquises et magnifiques
											qui étendront l'expérience humaine
											bien au-delà de notre imagination.
									","
											Bu tür korkuların yersiz 
olduğuna inanıyorum.
											Gerçekten de insan tarihinde
											olağanüstü bir zamandayız.
											Vücudumuzun ve aklımızın
limitleri olduğunu kabul etmeyişimizle
											Yaşam deneyimini
											hayallerin ötesinde geliştirecek
											üstün bir karmaşıklık ve zarafete sahip
											makineler üretiyoruz.
									","
											Acredito que tais medos são infundados.
											Na verdade, estamos numa época notável
											da história humana,
											em que, impelidos pela recusa de aceitar
os limites do nosso corpo e da nossa mente,
											estamos a construir máquinas
											de complexidade e graça 
requintada e bonita
											que alargará a experiência humana
											de formas para além da nossa imaginação.
									","
											Creo que esos temores 
son infundados.
											De hecho, estamos en un tiempo notable
											en la historia de la humanidad,
											donde, motivados por la negación a 
aceptar los límites del cuerpo y mente,
											construimos máquinas
											de complejidad y gracia
exquisita y hermosa
											que expanden la experiencia humana
											más allá de nuestra imaginación.
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											After a career that led me
from the Air Force Academy
											to Space Command to now,
											I became a systems engineer,
											and recently I was drawn
into an engineering problem
											associated with NASA's mission to Mars.
											Now, in space flights to the Moon,
											we can rely upon
mission control in Houston
											to watch over all aspects of a flight.
											However, Mars is 200 times further away,
											and as a result it takes
on average 13 minutes
											for a signal to travel
from the Earth to Mars.
											If there's trouble,
there's not enough time.
											And so a reasonable engineering solution
											calls for us to put mission control
											inside the walls of the Orion spacecraft.
											Another fascinating idea
in the mission profile
											places humanoid robots
on the surface of Mars
											before the humans themselves arrive,
											first to build facilities
											and later to serve as collaborative
members of the science team.
									","
											Nach einer Karriere
bei der Luftwaffen-Akademie
											bin ich jetzt beim Weltraumkommando,
											als Systemingenieur.
											Und kürzlich wurde ich in ein 
technisches Problem einbezogen,
											das mit der NASA-Mission 
zum Mars zu tun hat.
											In Raumflügen zum Mond
											können wir uns auf die Einsatzleitstelle 
in Houston verlassen,
											die über alle Aspekte des Fluges wacht.
											Allerdings ist der Mars 200-mal weiter weg
											und daher dauert es 
im Durchschnitt 13 Minuten,
											bis ein Signal von der Erde 
zum Mars gelangt.
											Wenn es ein Problem gibt, 
bleibt nicht genügend Zeit.
											Und so mussten wir, für eine
sinnvolle technische Lösung,
											die Einsatzleitstelle im
Orion-Raumschiffes platzieren.
											Eine andere faszinierende Idee, 
im Profil der Mission,
											setzt humanoide Roboter 
auf die Marsoberfläche,
											bevor die Menschen selbst ankommen,
											um zunächst Gebäude zu bauen,
											und später als kollaborative Mitglieder 
im Wissenschaftsteam zu dienen.
									","
											Après une carrière qui m'a mené
de l'Air Force Academy
											au Space Command aujourd'hui,
											je suis devenu ingénieur de systèmes
											et j'ai récemment participé
à un problème d'ingénierie
											associé à la mission sur Mars de la NASA.
											Pour les vols dans l'espace
jusqu'à la Lune,
											nous comptons sur le centre
de contrôle de mission de Houston
											pour surveiller tous les aspects du vol.
											Cependant, Mars est à une distance
200 fois plus importante
											et le résultat est
qu'il faut en moyenne 13 minutes
											pour qu'un signal voyage
de la Terre jusqu'à Mars.
											S'il y a un problème,
c'est beaucoup trop long.
											Une solution d'ingénierie raisonnable
											nous a poussés à placer
le centre de contrôle de mission
											entre les murs de l'engin spatial Orion.
											Une autre idée fascinante
dans le profil de la mission
											place les robots humanoïdes
sur la surface de Mars
											avant l'arrivée des humains,
											pour construire des infrastructures
											puis servir de membres collaboratifs
à l'équipe scientifique.
									","
											Beni hava harp okulundan 
hava komutasına, oradan da
											şimdiye getiren kariyerden sonra
											sistem mühendisi oldum.
											Geçenlerde NASA'nın Mars göreviyle ilgili
											bir mühendislik probleminde yer aldım.
											Ay'a giden uzay uçuşlarında
											uçuşla ilgili her şeyde
											Houston'daki görev merkezine bağlıyız.
											Fakat, Mars 200 kat uzakta.
											Sonuç olarak, bir sinyalin
Dünya'dan Mars'a ulaşması
											ortalama 13 dakika sürüyor.
											Bir sorun varsa,
yeteri kadar zaman yok.
											Makul bir mühendislik çözümü sunmak için
											görev kontrolü uzay aracı Orion'ın
											içine koymamız gerekir.
											Görev profilindeki başka
bir enteresan fikir
											insanlar Mars'a varmadan önce,
											Mars'ın yüzeyine insansı robotlar
											gönderip tesisler kurdurmak,
											sonra onları araştırma ekibinin 
ortak mensubu yapmak.
									","
											Depois duma carreira que me levou 
da Academia da Força Aérea
											até ao Comando Espacial, agora,
											tornei-me engenheiro de sistemas,
											e recentemente, envolvi-me
num problema de engenharia
											associado à missão da NASA em Marte.
											Em voos espaciais para a Lua,
											podemos confiar no controlo 
da missão em Houston
											para observar todos os aspetos dum voo.
											No entanto, Marte está
200 vezes mais longe
											e, em resultado, são precisos
13 minutos, em média,
											para um sinal viajar 
da Terra até Marte.
											Se houver problemas, 
não há tempo suficiente.
											Assim, uma solução razoável de engenharia
											pede-nos para pôr o controlo da missão
											dentro das paredes
da astronave Orion.
											Uma outra ideia fascinante,
no perfil da missão,
											coloca robôs humanoides
na superfície de Marte
											antes de os seres humanos chegarem,
											primeiro para construir instalações
											e depois, para servir como membros 
colaborativos da equipa de ciência
									","
											Tras una carrera que me llevó
de la Academia de la Fuerza Aérea
											a comandante de estación espacial,
											me volví ingeniero de sistemas,
											y recientemente me encontré 
con un problema de ingeniería
											relacionado con la misión 
de la NASA a Marte.
											En vuelos espaciales a la Luna,
											dependemos del control
de la misión en Houston
											para vigilar todos los aspectos
de un vuelo.
											Sin embargo, 
Marte está 200 veces más lejos,
											como resultado toma 
en promedio 13 minutos
											para que una señal viaje 
de la Tierra a Marte.
											Si hay algún percance, 
no hay suficiente tiempo.
											Una solución razonable de ingeniería
											nos incita a instalar 
el control de la misión
											dentro de las paredes de 
la aeronave Orión.
											Otra idea fascinante 
en el perfil de la misión
											es colocar robots humanoides 
en la superficie de Marte
											antes de que los humanos mismos lleguen,
											primero para construir instalaciones
											y luego para servir como colaboradores
en el equipo científico.
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											Now, as I looked at this
from an engineering perspective,
											it became very clear to me
that what I needed to architect
											was a smart, collaborative,
											socially intelligent
artificial intelligence.
											In other words, I needed to build
something very much like a HAL
											but without the homicidal tendencies.
									","
											Als ich dies aus der technischen
Perspektive betrachtete,
											wurde mir sehr klar, dass das, 
was ich bauen musste,
											eine schlaue, kollaborative,
											sozial intelligente 
künstliche Intelligenz war.
											Anders gesagt, ich musste etwas 
ganz Ähnliches wie HAL bauen,
											ohne die mörderischen Neigungen.
									","
											En observant cela
d'un point de vue d'ingénieur,
											il m'est clairement apparu
que je devais concevoir
											une intelligence artificielle
intelligente, collaborative
											et socialement intelligente.
											En d'autres mots, je devais créer
quelque chose ressemblant à HAL
											mais sans tendances meurtrières.
									","
											Bu fikre bir mühendisin 
bakış açısından baktığımda,
											tasarlamam gereken şeyin
akıllı, iş birliği yapabilen,
											sosyal zekaya sahip
bir yapay zeka olduğu
											çok açık ve netti.
											Başka deyişle, HAL'e çok benzeyen 
bir şey yapmam gerekti.
											ama adam öldürme meyili olmayan bir HAL.
									","
											Como olhei para isto 
numa perspetiva de engenharia
											percebi rapidamente que aquilo
de que precisava para arquitetar
											era de uma inteligência artificial,
											esperta, colaborativa
e socialmente inteligente.
											Por outras palavras, tinha de construir
algo muito parecido com um HAL
											mas sem tendências homicidas.
									","
											Al mirar esto desde 
la ingeniería,
											me quedó claro que
lo que necesitaba diseñar
											era una inteligencia artificial muy lista,
											colaborativa y social.
											En otras palabras, necesitaba construir
algo muy parecido a HAL
											pero sin las tendencias homicidas.
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											(Laughter)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Kahkaha)
									","
											(Risos)
									","
											(Risas)
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											Let's pause for a moment.
											Is it really possible to build
an artificial intelligence like that?
											Actually, it is.
											In many ways,
											this is a hard engineering problem
											with elements of AI,
											not some wet hair ball of an AI problem
that needs to be engineered.
											To paraphrase Alan Turing,
											I'm not interested
in building a sentient machine.
											I'm not building a HAL.
											All I'm after is a simple brain,
											something that offers
the illusion of intelligence.
									","
											Lassen Sie uns kurz anhalten.
											Ist es wirklich möglich, eine solche 
künstliche Intelligenz zu bauen?
											Nun, das ist es.
											In vieler Hinsicht
											ist dies ein rein technisches Problem
											mit KI-Anteilen,
											kein vages KI-Problem, 
das technisch gelöst werden muss.
											Um es mit Alan Turing zu sagen:
											Ich will keine empfindungsfähige 
Maschine bauen.
											Ich baue keinen HAL.
											Alles was ich will, 
ist ein simples Gehirn,
											etwas, das die Illusion 
von Intelligenz bietet.
									","
											Marquons un instant de pause.
											Est-il réellement possible de créer
une telle intelligence artificielle ?
											C'est possible.
											De bien des façons,
											c'est un problème d'ingénierie complexe
											avec un peu d'IA,
											non pas un problème inextricable d'AI
qui nécessite de l'ingénierie.
											Pour paraphraser Alan Turing,
											créer une machine sensible
ne m'intéresse pas.
											Je ne crée pas HAL.
											Tout ce que je veux
c'est un cerveau simple,
											quelque chose qui offre
l'illusion de l'intelligence.
									","
											Biraz ara verelim.
											Böyle bir yapay zeka yapmak 
gerçekten mümkün mü?
											Aslında mümkün.
											Bir çok yönüyle,
											yapay zeka ilkeleriyle, bu zor
											bir mühendislik problemidir,
											mühendisliği yapılacak 
basit bir yapay zeka problemi değil.
											Alan Turing'in dediği gibi,
											Duyguları olan bir makine 
yapmakla ilgilenmiyorum.
											Bir HAL yapmıyorum.
											Tek yapmak istediğim,
											zeka yanılsaması gösteren basit bir beyin.
									","
											Vamos fazer uma pausa por um momento
											Será realmente possível construir
uma inteligência artificial assim?
											Na verdade, é.
											De muitas formas,
											isso é um árduo problema de engenharia
											com elementos de inteligência artificial,
											não um problema complicado de IA 
que precisa de ser projetado.
											Parafraseando Alan Turing,
											não estou interessado
em construir uma máquina sensível.
											Não estou a construir um HAL.
											Só estou a procurar um cérebro simples,
											algo que ofereça a ilusão de inteligência.
									","
											Detengámonos un momento.
											¿Es realmente posible 
construir inteligencia artificial así?
											De hecho, sí lo es.
											En muchas maneras,
											este es un problema difícil 
de la ingeniería
											con elementos de IA,
											no es un simple problema de IA
que necesite diseñarse.
											Parafraseando a Alan Turing,
											no me interesa construir
una máquina sensible.
											No voy a construir un HAL.
											Todo lo que busco es 
un cerebro sencillo,
											algo que ofrezca 
una ilusión de inteligencia.
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
