en,pt,de,tr,fr,es,title,speaker,duration,tags
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
											What I find so exciting
											is the ability to make people's dreams
of being someone else a reality.
											That's like a drug
											which pushes me to keep working,
											even without metrics.
									","
											O que eu acho emocionante
											é a capacidade de realizarmos o sonho
de alguém que quer ser outra pessoa.
											E isso é como uma droga,
											que me faz continuar a trabalhar,
											mesmo sem métricas.
									","
											Besonders spannend
finde ich die Möglichkeit,
											die Träume von Menschen,
jemand anders zu sein,
											wahr werden zu lassen.
											Das ist wie eine Droge,
die mich zum Weiterarbeiten antreibt —
											auch ohne Metriken.
									","
											İnsanların, gerçeklikte başka
											birisi olma hayallerini
gerçekleştirebilmek çok heyecan verici.
											Bu beni ölçütler
											olmaksızın çalışmaya teşvik eden
											bir ilaç gibi.
									","
											Ce que je trouve si passionnant,

											c'est d'être capable de transformer
le rêve des gens d'être quelqu'un d'autre,
											en une réalité concrète.
											C'est comme une drogue
qui me pousse à continuer à travailler,
											même sans calculs et mesures.
									","
											Lo que encuentro emocionante
											es la habilidad de volver realidad 
los sueños de ser otro de las personas.
											Es como una droga
											que me empuja a seguir trabajando,
											incluso sin tener medidas.
									",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
											One of my models
											had always dreamed
of being seen as a warrior,
											but she wasn't able to do sports
because of her health problems.
											Half a year ago, she passed away
											from heart disease at the age of 22.
											But two days before her death,
											the images we spent months
working on together
											of her as a warrior
she dreamed of becoming
											were published at a large exhibition
in Milan by Vogue Magazine.
											All her life was about overcoming.
											Before she died, she had known
											that thousands of people
saw her image from the land of escapism
											and believed in her
as a brave and fearless warrior.
									","
											Uma das minhas modelos
											sempre teve o sonho de ser uma guerreira,
											mas nunca pôde praticar desporto
devido a problemas de saúde.
											Há meio ano, ela faleceu
											de uma doença cardíaca
aos 22 anos de idade.
											Mas, dois dias antes do seu falecimento,
											as imagens em que trabalhámos juntas
durante meses,
											com ela no papel da guerreira
com que tanto sonhou,
											foram expostas numa exposição
da revista Vogue, em Milão.
											Toda a sua vida estava prestes a mudar.
											Antes de falecer, chegou a saber
											que milhares de pessoas viram
as suas fotografias de fuga da realidade
											e que a viam como uma guerreira
destemida e corajosa.
									","
											Eines meiner Modelle
											träumte immer davon,
als Kriegerin gesehen zu werden,
											aber aufgrund einer Krankheit
konnte sie keinen Sport treiben.
											Vor einem halben Jahr starb sie
im Alter von 22 an einer Herzerkrankung.
											Aber zwei Tage vor ihrem Tod
wurden die Bilder,
											an denen wir monatelang gearbeitet hatten,
											die sie als die Kriegerin zeigten,
die sie immer sein wollte,
											bei einer großen Ausstellung in Mailand
von der Vogue präsentiert.
											In ihrem Leben ging es nur um Überwindung.
											Aber bevor sie starb, wusste sie,
dass tausende Menschen
											ihr Bild aus dem Land
der Realitätsflucht gesehen hatten
											und sie als mutige
und furchtlose Kriegerin sahen.
									","
											Modellerimden birisi hep
											bir savaşçı gibi görünmeyi
hayal etmiş, fakat sağlık sorunlarından
											ötürü spor yapamamış.
											Altı ay önce, 22 yaşındayken,
											kalp hastalığı nedeniyle vefat etti.
											Fakat ölümünden iki gün önce,
											olmayı hayal ettiği savaşçı
olarak üzerinde aylarca çalıştığımız
											görüntüler, Milan'da büyük bir
sergide Vogue dergisi tarafından
											yayınlandı.
											Tüm yaşamı, yenmekle ilgiliydi.
											Ölmeden önce, binlerce insanın
											onun kaçış ülkesindeki görüntüsünü
gördüğünü ve onun cesur ve korkusuz
											bir savaşçı olduğuna
inandıklarını biliyordu.
									","
											Une de mes modèles
											avait toujours rêvé d'être considérée
comme une guerrière,
											mais elle ne pouvait pas faire du sport
à cause de ses problèmes de santé.
											Il y a six mois, elle est décédée
d'une maladie cardiaque,
											à l'âge de 22 ans.
											Deux jours avant sa mort,
											les images sur lesquelles nous avions
travaillé ensemble pendant des mois,
											la figurant en guerrière 
qu'elle rêvait de devenir,
											ont été publiées lors d'une grande
exposition à Milan par le magazine Vogue.
											Toute sa vie a tourné
autour de l'idée de vaincre.
											Avant de mourir, elle a su
											que des milliers de personnes avaient
regardé son image du pays de l'évasion
											et avaient vu en elle, une guerrière 
courageuse et sans craintes.
									","
											Una de mis modelos
											siempre había soñado
ser vista como una guerrera,
											pero no podía hacer deportes
por sus problemas de salud.
											Hace medio año, falleció
											por su enfermedad cardíaca
a la edad de 22 años.
											Pero dos días antes de su muerte,
											las imágenes en las que pasamos
meses trabajando juntas
											de ella como la guerrera
en la que soñaba convertirse
											fueron publicadas en una gran exhibición
en Milán por la Revista Vogue.
											Toda su vida se trató de superación.
											Antes de morir, ella supo
											que miles de personas vieron
su imagen de la tierra del escapismo
											y creyeron en ella
cómo una valiente guerrera.
									",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
											For my work, I invite people
to play a game
											like we all used to as children
											when we pretend to be someone else
											and that process made us really happy.
											To my mind it is important for grown-ups.
											We need these transformations
											to enact this in the name of art.
											It gives us the very real feeling
of being important and powerful
											in order to influence our reality.
											I know this from
my own personal experience.
											I have had so many versions of myself
											through my self-portraits
											that I've been many different characters.
									","
											Para o meu trabalho, convido as pessoas
a entrarem num jogo
											como se fôssemos crianças novamente,
											em que fingíamos ser outra pessoa
											e isso tornava-nos realmente felizes.
											Para a minha mente, é importante
também para os adultos.
											Nós precisamos dessas transformações
											para promulgar isso em nome da arte.
											Dá-nos a sensação real
de sermos importantes e poderosos,
											de maneira a influenciar
a nossa realidade.
											Sei disso pela minha experiência pessoal.
											Já tive tantas versões de mim própria,
											através dos meus autorretratos,
											que já vivi muitas personagens diferentes.
									","
											Für meine Arbeit lade ich
Menschen zum Spielen ein,
											wie wir es als Kinder zu tun pflegten,
											wenn wir vorgaben, 
jemand anders zu sein,
											und uns das glücklich machte.
											In meinen Augen ist das
auch für Erwachsene wichtig.
											Wir brauchen diese Verwandlungen,
											um die Kunst zu inszenieren.
											Es gibt uns das Gefühl,
wichtig und mächtig zu sein,
											um unsere Realität
positiv zu beeinflussen.
											Das weiß ich aus eigener Erfahrung.
											Ich habe durch meine Selbstporträts
											schon so viele Versionen von mir selbst,
											dass ich inzwischen in viele
verschiedene Charaktere eingetaucht bin.
									","
											Çalışmamda insanları,
tıpkı çocukken oynadığımız
											bir başkası gibi davranma oyununu
											oynamaya davet ediyorum
											ve bu süreç bizleri çok mutlu ediyor.
											Bana göre bu büyükler için önemli.
											Sanat adına bunu sahnelemek için
											bu değişimlere ihtiyacımız var.
											Gerçekliğimizi etkileyen, o
gerçekten önemli ve güçlü olduğumuz
											hissini bize verir.
											Bunu kendi deneyimlerimden biliyorum.
											Birçok farklı karaktere
büründüğüm anlarda çektiğim
											oto-portreler aracılığıyla
											birçok benlik versiyonum oldu.
									","
											Dans mon travail, j'invite
les gens à jouer un jeu
											comme nous en avions tous
l'habitude étant enfants,
											quand nous prétendions
être quelqu'un d'autre,
											processus qui nous rendait
vraiment heureux.
											C'est important
pour les adultes, à mes yeux.
											Nous avons besoin de ces transformations
pour appliquer cela au nom de l'Art.
											Cela nous donne ce sentiment très réel 
d'être important et puissant
											qui nous permet
d'influencer notre réalité.
											Je le sais pour en avoir fait
l'expérience personnellement.
											J'ai eu tellement de versions de moi-même
à travers mes autoportraits,
											que j'ai été beaucoup
de personnages différents.
									","
											Para mi trabajo, invito a la gente
a jugar un juego
											como todos lo hacíamos cuando éramos niños
											cuando pretendíamos ser alguien más
											y ese proceso nos hacía muy felices.
											En mi opinión, 
es importante para los adultos.
											Necesitamos estas transformaciones
											para promulgar esto en el nombre del arte.
											Nos hace sentir realmente
importantes y poderosos
											para influenciar nuestra realidad.
											Lo sé gracias a mi propia
experiencia personal.
											He tenido tantas versiones de mí misma
											a través de mis autorretratos
											que he sido muchos personajes distintos.
									",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
											Being someone else in the land of escapism
											doesn't exactly give us numbers
that we can gauge,
											but it's like a real lost form of magic
											which exists but can't be measured.
											There is a unique power in art
											to transform and lift our limits.
											Art creates what I call a conjured life,
											which helps our existence
											and pushes, motivates
and inspires us to dwell
											and express ourselves
											without metrics or calculations.
									","
											Ser outra pessoa
no mundo do desejo da evasão
											não nos dá números exatos
para avaliarmos,
											mas parece-nos uma fórmula mágica perdida
											que existe, mas que não é mensurável.
											A arte tem o poder único
											de transformar
e levar os nossos limites mais além.
											A arte cria o que eu chamo
vida conjurada,
											que ajuda a nossa existência
											e empurra-nos, motiva-nos
e inspira-nos a vivermos
											e a expressarmo-nos
											sem métricas ou cálculos.
									","
											Jemand anders im Land
der Realitätsflucht zu sein
											gibt uns keine Zahlen,
die wir abwägen können.
											Es ist wie eine verlorene Art der Magie,
											die existiert, aber nicht messbar ist.
											Die Kunst besitzt eine
einzigartige Kraft zu verändern
											und unsere Grenzen zu überwinden.
											Die Kunst zaubert
sozusagen ein Leben hervor,
											das uns hilft zu existieren,
											das uns anspornt, motiviert
und uns dazu inspiriert,
											zu verweilen und uns ohne Metriken
und Berechnungen auszudrücken.
									","
											Kaçış ülkesinde bir başkası olmak
											bizlere tam olarak
ölçebileceğimiz sayılar vermez,
											bu daha çok, var olan ama ölçülemeyen
											gerçek bir sihrin kayıp hâli gibidir.
											Sanatta, sınırlarımızı değiştirip
											yükseltebileceğimiz eşsiz bir güç vardır.
											Sanat, varlığımıza yardımcı olan
											ve kendimizi ölçüsüz, hesapsız bir biçimde
											ifade etmemizi ve öyle kalmamızı
sağlayan, bizi harekete geçiren ve motive
											eden büyülü yaşam adını verdiğim
											şeyi yaratır.
									","
											Être quelqu'un d'autre
dans le monde de l'évasion
											ne nous donne pas exactement
des nombres à jauger,
											mais, c'est comme une vraie
forme de magie perdue
											qui existe mais ne peut être mesurée.
											Il y a un pouvoir unique dans l'Art
											qui transforme et élève nos limites.
											L'Art crée ce que j'appelle
« une vie conjurée »,
											qui supporte notre existence,
											nous pousse, nous motive,

											et nous inspire à vivre
et à nous exprimer
											sans mesures ni calculs.
									","
											Ser alguien más en la tierra del escapismo
											no precisamente proporciona 
números que podamos medir,
											pero es como una forma
real de magia perdida
											que existe, pero no puede ser medida.
											Existe un poder único en el arte
											para transformar
y levantar nuestros límites.
											El arte crea lo que llamo vida invocada,
											que ayuda nuestra existencia
											y nos empuja, motiva e inspira a vivir
											y a expresarnos
											sin medidas ni cálculos.
									",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
											Thank you.
									","
											Obrigada.
									","
											Danke.
									","
											Teşekkürler.
									","
											Merci.
									","
											Gracias.
									",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Alkış)
									","
											(Applaudissements)
									","
											(Aplausos)
									",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
