en,de,fr,tr,title,speaker,duration,tags
"
											So I got the fountain pen,
											but I didn't get the sense
of belonging and confidence
											I was searching for.
									","
											So bekam ich einen Füllfederhalter,
											aber ich bekam nicht das Gefühl
von Zugehörigkeit und Zuversicht,
											welches ich gesucht hatte.
									","
											J'ai saisi un porte-plume,
											mais je n'ai pas trouvé la sensation
d'appartenance et de confiance
											que je recherchais.
									","
											Bu yüzden dolma kalemimi aldım
											ama güven ve aidiyet duygusunu
											alamadım.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											Many years later,
											I couldn't bear the thought
of my son turning 13
											without some kind of rite of passage.
											So I came up with the idea
of a 13th birthday trip,
											and I offered to take Murphy
anywhere in the world
											that had meaning for him.
											A budding young naturalist
who loved turtles,
											he immediately settled on the Galapagos.
											And when my daughter, Katie, turned 13,
											she and I spent two weeks
at the bottom of the Grand Canyon,
											where Katie learned for the first time
that she was powerful and brave.
											Since then, my partner, Ashton,
and lots of our friends and relatives
											have taken their kids
on 13th birthday trips,
											with everyone finding it transformative
for both the child and the parent.
									","
											Viele Jahre später,
											ertrug ich den Gedanken nicht, 
dass mein Sohn 13 wurde,
											ohne irgend ein Übergangsritual zu haben.
											Also kam mir die Idee 
eines 13.-Geburtstag-Ausflugs
											und ich bot Murphy an, an irgendeinen 
Ort zu reisen, der ihm wichtig ist.
											Als angehender, Schildkröten
liebender Naturforscher
											entschied er sich sofort
für die Galapagosinseln.
											Als meine Tochter Katie 13 wurde,
											verbrachten wir zwei Wochen
am Fuße des Grand Canyon,

											wo Katie zum ersten Mal lernte, 
dass sie stark und mutig ist.
											Seitdem nahmen meine Partnerin Ashton
und viele unserer Freunde und Bekannten
											ihre Kinder zu
13.-Geburtstag-Ausflügen mit.
											Alle fanden es sehr transformativ,
für Kind und Eltern.
									","
											Des années plus tard,
											l'idée que mon fils fête
ses 13 ans sans rite de passage
											m'était insupportable.
											J'ai donc pensé à un voyage
pour son 13ème anniversaire
											et j'ai proposé à Murphy de l'emmener
n'importe où dans le monde
											pourvu que cela ait du sens pour lui.
											Jeune naturaliste en devenir
qui adorait les tortues,
											il a choisi les Galapagos.
											Aux 13 ans de ma fille, Katie,
											nous avons passé deux semaines
au fond du Grand Canyon.
											Elle y a découvert
qu'elle était forte et courageuse.
											Depuis lors, ma partenaire, Ashton,
beaucoup d'amis et membres de la famille
											ont emmené leurs enfants en voyage
pour leur 13ème anniversaire.
											Tout le monde, parents et enfants,
en est revenu transformé.
									","
											Yıllar sonra,
											oğlumun 13 yaşına bir takım
törenler olmadan
											basacak olması 
düşüncesine katlanamadım.
											Bu yüzden 13. doğum günü gezisi 
fikriyle geldim
											ve Murphy'e onu dünyada onun için
											anlamlı olan herhangi bir yere 
götürmeyi önerdim.
											Kaplumbağaları seven yetişmekte olan
genç bir doğa bilimci olarak
											hemen Galapagos'a karar verdi.
											Ve kızım Katie 13 yaşına bastığında,
											o ve ben, Katie'in ilk defa 
cesaretli ve güçlü olduğunu öğrendiği
											Büyük Kanyon'un dibinde 
2 hafta vakit geçirdik.
											O zamandan beri ortağım 
Ashton ve arkadaşlarımızın,
											akrabalarımızın birçoğu çocuklarını
13. doğum günü gezisine götürürler
											bu geziyi herkes hem çocuklar için hem de 
ebeveynler için iyileştirici buluyor.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											I wasn't brought up saying grace.
											But for the last 20 years,
											we've been holding hands
before every meal.
											It's a beautiful bit of shared silence
											that brings us all together in the moment.
											Ashton tells everyone
to ""pass the squeeze,""
											while she assures them it's not religious.
									","
											In unserer Familie wurden
keine Tischgebete gesprochen.
											Aber im Laufe der letzten 20 Jahre,
											haben wir vor jedem Essen
unsere Hände gehalten.
											Es ist eine wunderbar geteilte Stille,
											die uns für einen Moment zusammenbringt.
											Ashton fordert alle auf, 
den Händedruck weiterzugeben,
											während sie uns versichert, 
dass es nicht religiöser Natur ist.
									","
											On ne m'a pas appris
à prier avant les repas.
											Mais ces 20 dernières années,
											nous nous tenons les mains
avant chaque repas.
											C'est un moment de silence magnifique
											qui nous réunit dans l'instant présent.
											Ashton demande à tout le monde
de se serrer la main,
											en rassurant les gens
sur l'aspect non religieux.
									","
											Dindar bir şekilde büyümedim.
											Fakat son 20 yıldır,
											her yemekten önce el ele tutuşuyoruz.
											Bizi hep birlikte bir araya getiren
											güzel bir sessizlik.
											Ashton herkese
el ele tutuşmalarını söylerken
											bunun dini bir şey 
olmadığının da garantisini veriyor.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											(Laughter)
									","
											(Lachen)
									","
											(Rires)
									","
											(Kahkahalar)
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											So recently, when my family asked me
											if I could please do something
with the more than 250 boxes of stuff
											that I've collected over a lifetime,
											my ritual-making impulse kicked in.
											I started wondering if I could go further
than simple death cleaning.
											""Death cleaning"" is the Swedish term
for clearing out your closets,
											your basement and your attic
before you die,
											so your kids don't have to do it later.
									","
											Als meine Familie mich kürzlich bat,
											mich doch bitte um die mehr als
250 Kisten mit Dingen zu kümmern,
											die sich im Laufe meines Lebens
angesammelt hatten,
											setzte mein ritualschaffender Impuls ein.
											Ich fragte mich, ob ich mehr tun könnte,
als einfaches ""Todes-Entrümpeln"".
											""Todes-Entrümpeln"" bedeutet in Schweden,
dass man seine Schränke entrümpelt,
											sowie den Keller und
den Dachboden, bevor man stirbt,
											damit die Kinder es nicht tun müssen.
									","
											Quand il y a peu de temps,
ma famille m'a demandé
											si je pouvais faire quelque chose
des 250 caisses d'objets
											que j'ai accumulés durant ma vie,
											mon impulsion naturelle
à ritualiser s'est mise en route.
											Je me suis demandé si je pouvais faire
autre chose qu'un rangement pré-mortem.
											« Rangement pré-mortem »
est le terme utilisé par les Suédois
											quand on nettoie placards,
caves et greniers avant de mourir,
											pour épargner cette tâche à ses enfants.
									","
											Son zamanlarda, ailem benden
ömür boyu topladığım
											250'den fazla kutuyla bir şeyler
											yapmamı istediğinde,
											ritüel yapma içgüdüm beni tetikledi.
											Basit ölüm temizliğinden daha ileri 
gidebilir miyim diye merak etmeye başladım
											""Ölüm temizliği"", ölmeden önce 
bodrum ve tavan arasında bulunan
											dolaplarınızı temizlemek anlamına gelen 
bir İsveç terimidir,
											böylece çocuklarınız bunu daha sonra 
yapmak zorunda kalmaz.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											(Laughter)
									","
											(Lachen)
									","
											(Rires)
									","
											(Kahkahalar)
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											I pictured my children
opening up box after box
											and wondering why I'd kept
any of that stuff.
									","
											Ich stellte mir meine Kinder vor,
wie sie die Kisten öffneten
											und sich fragten, warum ich
all dieses Zeug behalten hatte.
									","
											J'imaginais mes enfants ouvrant
une caisse après l'autre
											en se demandant pourquoi
j'avais conservé tout ça.
									","
											Çocuklarımın kutuyu açıp ve sonra
											benim neden bu tarz şeyleri sakladığımı 
merak ettiklerini hayal ettim.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											(Laughter)
									","
											(Lachen)
									","
											(Rires)
									","
											(Kahkahalar)
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											And then I imagined them looking
at a specific picture
											of me with a beautiful young woman,
											and asking, ""Who on earth
is that with Dad?""
									","
											Und dann stellte ich mir vor,
wie sie ein Bild betrachteten
											von mir und einer schönen, jungen Frau,
											und sich fragen ""Wer zum Himmel
ist das mit unserem Vater?""
									","
											Puis, je les ai imaginés
observant une photo précise
											de moi avec une belle jeune femme
											et se demandant :
« Avec qui papa prend-il la pose ? »
									","
											Ve sonra onların genç güzel kadınla
											bana özel bir resme bakıp:
											""Bu babamın yanındaki de kim?"" diye 
sorduğunu hayal ettim.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											(Laughter)
									","
											(Lachen)
									","
											(Rires)
									","
											(Kahkahalar)
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											And that was the aha moment.
											It wasn't the things I'd saved
that were important;
											it was the stories that went with them
that gave them meaning.
											Could using the objects
to tell the stories
											be the seed of a new ritual,
											a rite of passage —
not for a 13-year-old,
											but for someone much further
down the road?
									","
											Das war der Aha-Moment.
											Nicht die aufbewahrten Dinge
waren wichtig, 

											sondern die Geschichten, die sie
erzählten und ihnen Bedeutung gaben.
											Kann man die Dinge dazu nutzen,
um Geschichten zu erzählen
											und so ein neues Ritual schaffen,
											ein Übergangsritual —
nicht für einen 13-jährigen,
											sondern für jemand deutlich Älteren?
									","
											Ce fut mon moment d'épiphanie.
											Ce n'était pas les objets conservés
qui étaient importants.
											C'était les histoires qui
les accompagnaient et leur donnaient sens.
											Utiliser ces objets pour raconter un récit
											pourrait-il devenir un nouveau rituel,
											un rite de passage,
pas pour un adolescent de 13 ans,
											mais pour une personne
plus loin sur le chemin de la vie ?
									","
											ve işte bu ""Aha"" dediğim bir andı.
											Sakladığım şeyler önemli değildi,
											önemli olan onlara anlam katan
hikâyelerdi.
											Hikâyeleri anlatmak için 
nesneleri kullanmak,
											yeni bir ritüel tohumu ekmek,
											13 yaşında olan birinin
törenleri için değil
											yolun çok daha ilerisindeki birisi için?
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											So I started experimenting.
											I got a few dozen things out of the boxes,
											I put them about in a room,
											and I invited people to come in
											and ask me about anything
that they found interesting.
											The results were terrific.
											A good story became a launching pad
for a much deeper discussion,
											in which my visitors made
meaningful connections
											to their own lives.
											Derrius [Quarles] asked me
about a Leonard Peltier T-shirt
											that I'd worn a lot in the '80s,
											that, sadly, is still relevant today.
											Our conversation moved quickly,
											from a large number of political
prisoners in American jails,
											to Derrius wondering about the legacy
											of the Black Liberation
Movement of the '60s,
											and how his life might be different
if he'd come of age then,
											instead of 30-odd years later.
											At the end of our conversation,
											Derrius asked me
if he could have the T-shirt.
											And giving it to him felt
just about perfect.
									","
											Ich fing an zu experimentieren.
											Ich nahm ein paar Dutzend
Dinge aus den Kisten.
											Ich verteilte sie im Raum
											und bat Leute einzutreten
											und mich alles zu fragen, 
was sie interessierte.
											Das Resultat war großartig.
											Eine gute Geschichte wurde zur Startrampe
für eine viel tiefgründigere Diskussion,
											in der meine Besucher 
einen bedeutenden Zusammenhang
											zu ihrem eigenen Leben fanden.
											Derrius [Quarles] fragte mich 
nach einem Leonard-Peltier-T-Shirt,
											das ich in den 80ern viel getragen hatte,
											welches leider immer noch relevant ist.
											Unsere Unterhaltung wechselte schnell
											von den vielen politischen Gefangenen
in US-amerikanischen Gefängnissen
											zu Derrius, der über das Erbe
											der ""Black Liberation""-Bewegung
der 60er Jahre nachdachte
											und wie sein Leben anderes wäre,
hätte er zu dieser Zeit gelebt,
											statt 30 Jahre später.
											Am Ende unseres Gesprächs
											fragte mich Derrius,
ob er das T-Shirt haben könne.
											Es ihm zu geben, fühlte sich richtig an.
									","
											J'ai donc commencé des expériences.
											J'ai sorti des caisses
quelques dizaines d'objets,
											je les ai posés dans une pièce
											et j'ai invité les gens à m'y rejoindre.
											Je leur ai demandé de choisir
ce qui attirait leur regard.
											Le résultat fut incroyable.
											Une bonne histoire est devenue le tremplin
pour une discussion plus profonde,
											durant laquelle mes visiteurs
ont établi des liens importants
											avec leur propre vie.
											Derrius [Quarles] m'a interrogé
sur un T-shirt de Léonard Peltier
											que j'ai porté souvent dans les années 80
											et qui est, hélas, toujours d'actualité.
											De ce sujet, nous sommes passés rapidement
											au grand nombre de prisonniers politiques
retenus dans les prisons américaines,
											à Derrius s'interrogeant sur l'héritage
											du mouvement de la libération
des Noirs dans les années 60,
											spéculant sur la différence
que cela aurait fait dans sa vie
											de naître maintenant, 30 ans plus tard.
											À la fin de notre conversation,
											Derrius m'a demandé mon T-Shirt.
											Le lui offrir semblait parfait.
									","
											Bu yüzden denemeye başladım.
											Kutulardan birkaç şey aldım,
											onları odaya koydum
											ve insanları içeri girip ilginç buldukları
											herhangi bir şey hakkında
soru sormaya davet ettim.
											Sonuçlar müthişti.
											İyi bir hikâye ziyaretçilerin
											kendi hayatlarına anlamlı 
bağlantılar yaptığı
											daha derin bir tartışma için 
bir fırlatma rampası hâline geldi.
											Derrius (Quarles) bana 80'ler de giydiğim 

											bir Leonard Peltier tişörtünü sordu,
											ne yazık ki bugün hâlâ yerinde .
											Sohbetimiz
											Amerikan hapishanelerindeki 
çok sayıda siyasi tutukludan,
											60'ların Siyahi Kurtuluş Hareketi'nin
											mirasını merak eden Derrius'a
											ve 30 yıl sonra o yaşta yaşasaydı 
hayatının nasıl farklı olabileceğine
											dair hızla ilerledi.
											Sohbetimizin sonunda,
											Derrius bana tişörtü 
alabilir miyim diye sordu.
											Ve ona onu vermek 
sadece mükemmel hissettirirdi.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											As these conversations
established common ground,
											especially across generations,
											I realized I was opening a space
											for people to talk about things
that really mattered to them.
											And I started seeing myself
with a renewed sense of purpose —
											not as the old guy on the way out,
											but as someone with a role to play
											going forward.
									","
											Diese Gespräche schafften Gemeinsamkeiten,
											über mehrere Generationen hinaus.
											Ich merkte, dass ich einen Raum schaffte,
											in dem Menschen über Dinge sprachen,
die ihnen wichtig waren.
											Ich sah mich selbst 
mit einem neuen Sinn —
											nicht als alter Mann auf dem Weg hinaus,
											sondern als jemand, der noch wichtig ist,
der sich vorwärts bewegt.
									","
											Ces conversations ont établi
des fondements communs,
											principalement entre les générations.
											Je me suis aperçu
que je défrichais un espace
											où chacun peut parler des choses
qui lui sont vraiment importantes.
											J'ai commencé à me considérer
investi d'un nouveau devoir,
											non pas un vieux type sur le départ,
											mais en tant qu'un individu
qui a un rôle à jouer à l'avenir.
									","
											Bu tarz konuşmalar

											özellikle nesiller boyunca ortak bir zemin
oluşturduğundan,
											insanların kendileri için 
gerçekten önemli olan
											şeylerden bahsetmeleri için 
bir alan açtığımı fark ettim.
											Ve ben kendimi yeni bir amaç
içerisinde görmeye başladım —
											çıkıştaki yaşlı adam olarak değil,
											ileriye doğru oynayacak bir rolü
											olan biri olarak.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											When I was growing up,
											life ended for most people in their 70s.
											People are living far longer now,
											and for the first time in human history,
											it's common for four generations
to be living side by side.
											I'm 71,
											and with a bit of luck,
											I've got 20 or 30 more years ahead of me.
											Giving away my stuff now
											and sharing it with friends, family,
and I hope strangers, too,
											seems like the perfect way
to enter this next stage of my life.
											Turns out to be just
what I was looking for:
											a ritual that's less about dying
											and more about opening the door
											to whatever comes next.
									","
											Als ich heranwuchs,
											starben viele Menschen in ihren 70ern.
											Heutzutage leben Menschen viel länger
											und es ist erstmals normal
in der Menschheitsgeschichte,
											dass vier Generationen zusammen leben.
											Ich bin 71
											und mit ein bisschen Glück
											habe ich noch 20 oder 30 Jahre vor mir.
											Meine alten Sachen wegzugeben
											und sie mit Freunden, Familie
und hoffentlich auch Fremden zu teilen,
											scheint der perfekte Weg zu sein, 
in diese neue Lebensphase einzutreten.
											Es war genau, was ich gesucht hatte:
											Ein Ritual, bei dem es weniger ums Sterben
											und viel mehr ums Türöffnen geht,
											was auch immer noch kommen mag.
									","
											Durant mon enfance,
											les gens arrivaient à la fin
de leur vie vers 70 ans.
											Nous vivons plus longtemps aujourd'hui
											et pour la première fois
dans l'histoire de l'humanité,
											c'est normal que quatre générations
vivent ensemble, côte à côte.
											J'ai 71 ans
											et avec un peu de chance,
											il me reste 20 à 30 ans devant moi.
											Donner mes affaires maintenant
											et les partager avec mes amis,
ma famille, même des étrangers,
											me paraît être le moyen parfait pour
entrer dans la prochaine étape de ma vie.
											Il se fait que c'est exactement
ce que je recherchais :
											un rituel qui parle moins de la mort
											mais qui, au contraire, ouvre une porte
											vers ce qui suivra.
									","
											Ben büyürken
											hayat birçok insan için 
70'li yaşlarında son bulmuştu.
											İnsanlar şimdi daha uzun yaşamakta
											ve insanlık tarihinde ilk defa
											4 nesil yan yana yaşıyor.
											71 yaşındayım
											ve biraz şansla,
											önümde 20 veya 30 yıl var.
											Eşyalarımı şimdi vererek
											arkadaşlarımla, ailemle ve 
yabancılarla da paylaşmak
											hayatımın bu yeni aşamasına girmek için 
mükemmel bir yol gibi görünüyor.
											Aradığım şeyin
											daha az ölüm hakkında
											ve daha çok sonrasında geleceklere
											kapılar açmaya dair 
bir ritüel olduğu ortaya çıktı.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											Thank you.
									","
											Danke schön.
									","
											Merci.
									","
											Teşekkürler.
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											(Applause)
									","
											(Applaus)
									","
											(Applaudissements)
									","
											(Alkış)
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											Onward!
									","
											Vorwärts!
									","
											La voie est vers l'avant !
									","
											İleri!
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
											(Applause)
									","
											(Applaus)
									","
											(Applaudissements)
									","
											(Alkış)
									",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
"
","
","
","
",A rite of passage for late life,Bob Stein,5:53,"aging,communication,culture,future,life,personal growth,society,TED Residency"
