fr,de,tr,title,speaker,duration,tags
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Voilà une petite vidéo.
											C'est Delphi et Pan, 
vous allez voir Delphi
											frapper une touche, il entend un sifflement 
généré par ordinateur — (Sifflement) —
											et il obtient une balle, ils peuvent donc 
en réalité demander les choses qu'ils veulent.
											Ce qui était remarquable, 
c'est qu'ils exploraient ce clavier
											par eux-mêmes. 
Il n'y avait aucune intervention de notre part.
											Ils exploraient le clavier. 
Ils jouaient avec.
											Ils comprenaient comment ça marchait.
											Ils ont rapidement commencé à imiter les sons
											qu'ils entendaient sur le clavier.
											Ils les imitaient d'eux-mêmes.
											Au delà de ça, cependant, 
ils ont commencé à retenir
											les associations entre les symboles, les sons
											et les objets.
									","
											Hier ein Video.
											Dies sind Delphi und Pan. 
Sie werden sehen, wie Delphi
											auf eine Taste drückt, den Pfeifton hört  (Pfiff) 
											und einen Ball erhält. So können sie
um Dinge bitten, die sie wollen.
											Bemerkenswert war, 
dass sie dieses Keyboard
											selbst erforscht haben.
Wir haben nicht eingegriffen.
											Sie erforschten das Keyboard.
Spielten mit ihm rum.
											Verstanden, wie es funktioniert.
											Und begannen sehr schnell, die Töne, die sie
											auf dem Keyboard hörten, nachzuahmen.
											Sie ahmten sie selbständig nach.
											Außerdem begannen sie zu lernen,
											die Symbole mit den Sachen und den Tönen
											zu assoziieren.
									","
											İşte size kısa bir video.
											Bunlar Delphi ve Pan. Delphi'nin bir tuşa vuruşunu,
											bilgisayarın ürettiği bir ıslık sesi duyuşunu
— (Islık) —
											ve topu alışını görüyorsunuz. Yani, aslında arzu ettikleri şeyi isteyebiliyorlar.
											Esas dikkat çekici olan, bu klavyeyi kendi başlarına
											keşfetmiş olmaları. Bizim tarafımızdan hiç bir müdahale olmadı.
											Klavyeyi keşfettiler ve onunla oynadılar.
											Nasıl çalıştığını çözdüler...
											ve klavyede duydukları sesleri
											çabucak taklit etmeye başladılar.
											Kendi başlarına taklit ettiler.
											Bunun da ötesinde; semboller, sesler ve
											hedefler arasındaki bağlantıyı öğrenmeye
											başladılar.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Ce que nous avons vu était 
de l'apprentissage auto-organisé,
											et maintenant j'essaye d'imaginer
ce que nous pourrions faire
											avec les nouvelles technologies.
											Comment pouvons-nous créer des interfaces, 
de nouvelles fenêtres
											dans l'esprit des animaux avec 
les technologies actuelles ?
									","
											Wir beobachteten selbstorganisiertes Lernen
											und ich stelle mir nun vor, was wir alles
											mit neuen Technologien machen können?
											Wie können wir Verbindungen herstellen,
neue Einblicke
											in die Gedankenwelt der Tiere mit unseren 
derzeitig existierenden Technologien gewinnen?
									","
											Orada gördüğümüz özörgütlemeli öğrenmeydi
											ve şimdi düşünüyorum da, yeni teknolojilerle
											neler yapabiliriz?
											Bu gün var olan teknolojilerle hayvanların zihninde yeni pencereleri...
											ve arayüzleri nasıl oluşturabiliriz?
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											J'étais donc en train de réfléchir à ça, 
et ensuite, un jour,
											j'ai reçu un appel de Peter.
									","
											Darüber grübelte ich gerade nach, 
als eines Tages
											Peter anrief.
									","
											Bunu düşünüyordum ve sonra bir gün,
											Peter beni aradı.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Peter Gabriel : je fais du bruit pour gagner ma vie.
											Dans les bons jours, c'est de la musique,
											et je voudrais parler un peu de
											la plus incroyable expérience 
de création musicale que j'ai jamais eue.
									","
											Peter Gabriel: Ich lebe von Geräuschen.
											An einem guten Tag ist es Musik.
											Ich möchte ein kleines bisschen
											von der erstaunlichsten Erfahrung, 
die ich je mit Musik hatte, erzählen.
									","
											Peter Gabriel: Gürültü yaparak geçimimi sağlıyorum.
											İyi bir günde bu müzik oluyor.
											Hayatımdaki en şaşırtıcı müzik yapımı
											tecrübesinden bahsetmek istiyorum
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Je suis un garçon de ferme. 
J'ai grandi entouré par les animaux,
											et je voulais regarder dans ces yeux et me demander
											qu'est-ce qui se passe là-dedans ?
											En tant qu'adulte, 
lorsque j'ai commencé à lire sur
											les progrès étonnants 
de Penny Patterson et Koko,
											de Sue Savage-Rumbaugh et Kanzi, Panbanisha,
											Irene Pepperberg, Alex le perroquet,
											j'étais très excité.
											Ce qui était incroyable pour moi également
											était qu'ils semblaient bien plus experts
											à comprendre notre langage
											que nous l'étions à comprendre les leurs.
											Je travaille avec de nombreux musiciens 
de partout dans le monde,
											et souvent nous n'avons aucune langue commune,
											mais nous nous asseyons derrière nos instruments,
											et d'un coup il y a une connexion et une émotion.
									","
											Ich bin ein Bauernjunge. 
Ich wuchs mit Tieren auf
											und ich guckte in diese Augen und fragte mich,
											was sie wohl dächten.
											Als Erwachsener, als ich über
											die erstaunlichen Erkenntnisse
von Penny Patterson und Koko,
											Sue Savage-Rumbaugh 
mit Kanzi und Panbanisha,
											Irene Pepperberg und Alex, den Papagei, hörte,
											begeisterte ich mich dafür.
											Am erstaunlichsten fand ich,
											dass ihnen viel mehr daran lag,
											mit unserer Sprache zurecht zu kommen
											als wir mit der ihrigen.
											Ich arbeite mit einem Haufen Musiker
aus der ganzen Welt zusammen
											und wir sprechen oft 
keine gemeinsame Sprache,
											aber wir setzen uns hinter unsere Instrumente
											und plötzlich ist es uns möglich,
uns miteinander zu verbinden und zu fühlen.
									","
											Ben çiftçi çocuğuyum. Etrafımda hayvanlarla büyüdüm.
											Gözlerine bakardım ve orada neler
											olduğunu merak ederdim.
											Bir yetişkin olarak; Penny Patterson'un Koko ile,
											Sue Savage-Rumbaugh'un Kanzi ve Panbanisha ile
											...ve İrene Pepperberg'in Papağan Alex ile
											gerçekleştirdikleri şaşırtıcı gelişmeleri okumaya başladığımda,
											hepten heyecanlandım.
											Bana şaşırtıcı gelen bir başka konu da
											bizim dilimizi anlamada
											bizim onların dilini anlamaya çalışırken
											olduğumuzdan çok daha hünerli gözüküyorlardı.
											Dünyanın her yerinden bir çok müzisyenle çalışıyorum
											ve çoğu zaman hiç ortak dilimiz olmaz.
											Ama enstrümanlarımızın başına geçtiğimizde,
											bu bir anda iletişimimizin ve duygularımızı paylaşmanın bir yolu oluverir.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Donc j'ai commencé à démarcher, 
finalement je suis tombé
											sur Sue Savage-Rumbaugh
											et elle m'a invité chez elle.
											J'y suis allé, les bonobos
											avaient accès à des instruments à percussions,
											des jouets musicaux, 
mais jamais auparavant à des claviers.
											Au début, ils faisaient ce que les enfants font,
											ils les défonçaient avec leurs poings,
											j'ai ensuite demandé, par l'intermédiaire de Sue,
											si Panbanisha pouvait essayer avec un seul doigt.
									","
											Ich begann alle zu kontaktieren und eines Tages
											erreichte ich Sue Savage-Rumbaugh.
											und sie lud mich ein.
											Ich fuhr hin und die Bonobos
											durften Rhythmusinstrumente spielen,
											musikalische Spielzeuge,
aber nie zuvor auf einem Keyboard.
											Am Anfang waren sie wie Kleinkinder.
											Sie hauten mit ihren Fäusten drauf
											und dann fragte ich – als Mittlerin Sue –
											ob Panbanisha es vielleicht 
mit nur einem Finger versuchen wolle.
									","
											İşte rastgele aramaya başladım ve sonunda
											Sue Savage-Rumbaugh'a ulaştım
											...ve beni evine davet etti.
											Evine gittim. Cüce şempanzeler
											daha önce vurmalı çalgılara ve müziksel oyuncaklara erişim
											imkanı bulmuşlardı, ama hiç klavye görmemişlerdi.
											İlk başta çocukların yaptığı şeyleri yaptılar:
											Tuşları sertçe yumrukladılar.
											Sonra, Sue vasıtasıyla Panbanisha'dan
											tek eliyle denemesini istedim.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Sue Savage-Rumbaugh : 
peux-tu jouer une chanson d'épouillage?
											Je voudrais entendre une chanson d'épouillage.
											Joue une chanson très calme d'épouillage.
									","
											Sue Savage-Rumbaugh: 
Kannst du ein Lied zum Lausen spielen?
											Ich möchte ein Lied zum Lausen hören.
											Spiel ein ruhiges Lied zum Lausen.
									","
											Sue Savage-Rumbaugh: Hafif bir müzik çalabilir misin?
											Hafif bir müzik dinlemek istiyorum.
											Çok sakin, hafif bir müzik çal.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											PG : Donc l'épouillage était le sujet de ce morceau.
									","
											PG: Das Thema war also ""Lausen"".
									","
											Peter Gabriel: Yani parçanın konusu hafifti.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											(Musique)
											Donc je suis juste derrière, à improviser,
											vraiment, c'est avec ça que nous avons commencé.
											Sue l'encourage à continuer un peu plus.
									","
											(Musik)
											Ich stand dahinter und spielte,
											ja, damit hatten wir begonnen.
											Sue spornte sie an weiterzuspielen.
									","
											(Müzik)
											Ben de tam arkadayım, parazit yapıyorum.
											Evet, bununla başladık işte.
											Sue, birazcık daha devam etmesi için onu teşvik ediyor.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											(Musique)
									","
											(Musik)
									","
											(Müzik)
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Elle trouve une note qu'elle aime bien,
											trouve l'octave.
											Elle ne s'était jamais assise
devant un clavier auparavant.
											Joli triolet.
									","
											Sie entdeckte eine Note, die sie mochte,
											entdeckte die Oktave.
											Sie hatte noch nie zuvor
an einem Keyboard gesessen.
											Schöne Triolen.
									","
											Sevdiği bir notayı keşfediyor,
											oktavı buluyor.
											Daha önce hiç klavyenin başına oturmadı.
											Güzel üçlü.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											SSR : Très bien. C'était très bien.
									","
											SSR: Gut gemacht. Das war sehr gut.
									","
											Sue Savage-Rumbaugh: İyi iş çıkardın. Çok iyiydin.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											PG : Elle a bien joué.
									","
											PG: Gut gespielt.
									","
											Peter Gabriel: İyi vurdu.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											(Applaudissements)
									","
											(Applaus)
									","
											(Alkış)
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Cette nuit-là, nous avons commencé à rêver,
											et nous avons pensé, 
peut-être que l'outil le plus incroyable
											que l'homme a créé est Internet.
											Que se passerait-il si nous pouvions
d'une certaine façon
											trouver de nouvelles interfaces,
											des interfaces audio-visuelles qui permettraient
											à ces remarquables êtres sensibles,
											avec qui nous partageons la planète,
d'y avoir accès ?
											Sue Savage-Rumbaugh était
très enthousiaste à ce sujet,
											elle a appelé son ami Steve Woodruff,
											et nous avons commencé
à bousculer toutes sortes de personnes
											dont le travail était lié ou inspirant,
											ce qui nous a menés à Diana,
											qui nous a menés à Neil.
									","
											An diesem Abend begannen wir zu träumen
											und dachten, dass das erstaunlichste Tool,
											das der Mensch geschaffen hat, 
das Internet ist
											und was passieren könnte, 
wenn wir irgendwie
											neue Verbindungen fänden,
											visueller-auditiver Art, 
die uns erlaubten,
											mit diesen fühlenden Wesen,
											mit denen wir den Planeten teilen,
in Kontakt zu treten?
											Und Sue Savage-Rumbaugh 
begeisterte sich dafür,
											rief ihren Freund Steve Woodruff an
											und wir begannen, 
alle möglichen Leute zu nerven,
											deren Werke dazu in Bezug standen
oder inspirierend waren,
											und das führte uns zu Diana
											und zu Neil.
									","
											İşte o gece hayal etmeye başladık.
											Düşündük ki muhtemelen insanoğlunun oluşturduğu
											en şaşırtıcı alet internet.
											Peki bir şekilde yeni arayüzler bulsak,
											yani gezegenimizi birlikte paylaştığımız
											bu fevkalade sezgili varlıklara
											internet erişimi sağlayacak
											görsel ve işitsel arayüzler bulsak neler olurdu?
											Sue Savage-Rumbaugh heyecan duydu ve
											arkadaşı Steve Woodruff'ı aradı.
											Sonra, çalışmaları bu konu ile alakalı olan veya ilham verebilecek
											her türlü insanı sık boğaz etmeye başladık.
											Bu da bizi Diana'a ve
											Neil'e götürdü.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
