de,es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Und wenn man sich fragt,
											""Was zum Himmel ist künstliches Leben?"",
											lassen Sie mich Ihnen einen schnellen Überblick geben,
											wie das Ganze angefangen hat.
											Und es hat vor einiger Zeit angefangen,
											als jemand
											einen der ersten erfolgreichen Computerviren geschrieben hat.
											Und alle die nicht alt genug sind,
											Sie haben keine Ahnung, wie diese Infektion passierte —
											nämlich durch diese Disketten.
											Aber das Interessante an diesen Virusinfektionen der Computer
											war, dass, wenn man auf die Infektionsrate schaut,
											in der die Infektionen passierten,
											sich diese Zacken zeigen,
											dass man von Grippeviren kennt.
											Und in Wahrheit ist es der Rüstungswettlauf
											zwischen Hackern und Designern der Computersysteme,
											der alles es hin und her gehen lässt.
											Und das Ergebnis ist eine Art Lebensbaum
											dieser Viren,
											eine Stammesgeschichte, die der Art des Lebens, die wir kennen,
											sehr ähnlich sieht, zumindest auf der viralen Ebene.
									","
											Y entonces si se preguntan:
											""¿Qué es la vida artificial?"",
											haré un resumen vertiginoso
											de cómo es que salió todo esto.
											Comienza hace algún tiempo
											cuando alguien escribió
											uno de los primeros virus informáticos exitosos.
											Para quienes no son tan viejos,
											no tienen idea de cómo funcionaba la infección...
											es decir, a través de disquetes.
											Lo interesante de estas infecciones informáticas
											era que, si se observa la tasa
											a la que funcionaba la infección,
											muestran este comportamiento con puntos
											similar al del virus de la gripe.
											Y es debido a esta carrera armamentista
											entre hackers y diseñadores de sistemas operativos
											que la situación sube y baja.
											El resultado es como un árbol de la vida
											de estos virus,
											una filogenia que se ve tal como
											el tipo de vida a la que estamos acostumbrados, al menos en el nivel viral.
									","
											E se vocês se estão a perguntar:
											""Mas o que é a vida artificial?"",
											deixem-me guiar-vos numa visita relâmpago
											à história de como tudo isto aconteceu.
											E tudo começou há algum tempo,
											quando alguém escreveu
											um dos primeiros vírus
de computador bem sucedidos.
											E para aqueles de entre vocês
que não são suficientemente velhos,
											que não têm ideia
de como esta infecção funcionava
											— concretamente, através destas disquetes.
											Mas o que é interessante nas infecções
destes vírus de computador
											é que, se olharmos para a taxa
											a que a infecção avançava,
											aparece este comportamento com picos
											a que estamos acostumados
num vírus da gripe.
											E é devido a esta corrida ao armamento
											entre ""hackers"" e ""designers""
de sistemas operativos
											que as coisas avançam e retrocedem.
											E o resultado
é uma espécie de árvore da vida
											destes vírus,
											uma filogenia que se parece muito com
											o tipo de vida a que estamos habituados,
pelos menos ao nível dos vírus.
									","
											Ve böylece gidip kendi kendine
											''Dünyada ki yapay yaşam nedir?'' diye sorarsan,
											bana bu şeylerin nasıl meydana geldiği konusunda
											bir fikir ver.
											Ve oldukça uzun süre önce
											ilk başarılı bilgisayar virüsünü yazdığımda
											başladı.
											Ve sizin içiin yeteri kadar yaşlı olmayanlar,
											Bu virüsün dikler aracılığı ile nasıl etkili olduğu konusunda
											hiç bir fikrim yok.
											fakat; bu bilgisayar virüsleri ilgili şeyler
											eğer virüsün işe yaradığı
											orana bakarsanız,
											alıştığınız grip virüsü
											belirtilerini gösterir.
											Ve aslında bu virüsleri korsanlara geri ileten
											işletim sistemi tasarımcıları ve korsanlar arasında ki
											bir silahlanma yarışıdır.
											Ve virüslerin üç türü
											sonuçtur,
											Çok belirgin bir filogen
											alıştığımız en düşük virüs seviyesi türü gibi
									","
											Et si vous vous demandez
											""Qu'est-ce que la vie artificielle peut bien être ?"",
											laissez-moi vous emmener dans une visite-éclair
											de la façon dont tout ça est arrivé.
											Ça a commencé il y a pas mal de temps
											quand quelqu'un a écrit
											un des premiers virus informatiques efficaces.
											Et pour ceux d'entre vous qui ne sont pas assez vieux,
											vous n'avez aucune idée de comment cette infection fonctionnait,
											à savoir par les disquettes.
											Mais ce qui était intéressant à propos de ces virus informatiques
											si vous regardez les taux
											auxquels l'infection fonctionnait,
											ils affichent un comportement en pics
											tel qu'on le connait avec un virus de la grippe.
											En fait c'est à cause du bras de fer
											entre les hackers et les concepteurs de système d'exploitation
											que les choses vont d'avant en arrière.
											Le résultat est une sorte d'arbre de vie
											de ces virus,
											une phylogénie qui ressemble beaucoup
											au type de vie auquel nous sommes habitués, du moins au niveau viral.
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Ist das also Leben? Nicht für mich.
											Warum? Weil diese Dinge sich nicht eigenständig entwickeln.
											In Wahrheit, schreiben Hacker sie.
											Dieser Ansatz wurde schnell
aufgegriffen und weitergeführt,
											als ein Wissenschaftler
am Santa Fe Institute beschloss,
											""Warum versuchen wir nicht,
diese kleinen Viren
											in künstliche Welten im Rechner zu packen,
											und lassen die sich selbst entwickeln?""
											Und das war Steen Rasmussen.
											Er hat dieses System entwickelt, aber es funktionierte nicht wirklich,
											weil die Viren sich ständig gegenseitig zerstörten.
											Aber es gab noch einen Wissenschaftler, der das beobachtet hatte, einen Ökologen.
											Er ging nach Hause und sagte, ""Ich weiß, wie man das in Ordnung bringen kann.""
											Und er schrieb das Tierrasystem,
											und, in meinen Buch ist es wirklich eines der ersten
											wahren künstlichen lebenden Systeme —
											außer dass diese Programme nicht an Kompexität wuchsen.
									","
											¿Eso es vida? No lo creo.
											¿Por qué? Porque estas cosas no evolucionan por sí mismas.
											De hecho, hay hackers que las escriben.
											Pero la idea avanzó rápidamente
											cuando un científico del Scientific Institute se preguntó:
											""¿Por qué no intentamos empaquetar estos virus
											en mundos artificiales dentro de una computadora
											y los dejamos evolucionar?""
											Fue Steen Rasmussen,
											que diseñó este sistema, pero en realidad pero no funcionó
											porque sus virus se destruían unos a otros constantemente.
											Pero había otro científico observando, un ecólogo,
											que se fue a casa diciendo: ""Sé cómo arreglarlo"".
											Y escribió The Tierra System,
											y, en mi libro, es de hecho uno de los primeros
											sistemas vivientes realmente artificiales...
											salvo por el hecho de que estos programas no aumentaban su complejidad.
									","
											Então, trata-se de vida?
Quanto a mim, não.
											Porquê? Porque estas coisas
não evoluem por si mesmas.
											Têm ""hackers"" a escrevê-las.
											Mas a ideia foi rapidamente levada
um pouco mais longe
											quando um cientista a trabalhar
no Instituto de Santa Fé decidiu:
											""Porque não tentamos embalar
estes pequenos vírus
											""em mundos artificiais
dentro do computador
											""e os deixamos evoluir?""
											Foi Steen Rasmussen.
											E ele desenhou este sistema,
que não funcionou,
											porque os vírus estavam constantemente
a destruir-se uns aos outros.
											Mas houve outro cientista
que tinha estado a observar isto,
											um ecologista.
											E ele foi para casa e disse:
""Sei como resolver isto.""
											E escreveu o sistema Tierra,
											e, no meu livro, é um dos primeiros
											verdadeiros sistemas vivos artificiais
											— excepto pelo facto que aqueles programas
não se desenvolveram em complexidade.
									","
											Yani hayat bu mu?
											Niçin? Çünkü bu şeyler kendi kendine oluşmaz.
											Aslında onlar yazıcı hekırlara sahip.
											Aslında fikir çok çabuk bir şekilde düşünüldü
											Bilim enstütüsüde çalışan bilim adamları karar verdiğinde
											Niçin bu küçük virüs paketlerini yapay bilgisayar dünyasında
											onları paketlemeye çalışmıyoruz
											ve onları geliştiriyoruz?
											Ve bu u Steen Rasmussendi.
											Ve bu sistem tasarlandı ama gerçekten işe yaramadı,
											çünkü onun virüsleri sürekli birbirlerini yok etti.
											Fakat;bunu izleyen bir başka ekolojist bilim adamı vardır.
											Ve evine gitti sonra, '' Bunun nasıl onarıldığını biliyorum.''
											Ve Tieera sistemini yazdı.
											Ve benim kitabımda ki ilklerden biri
											gerçekten yapay bir yaşam sistemi
											bu programların bir karmaşada çalışmadığı gerçeği dışında.
									","
											Donc, est-ce de la vie ? Pas en ce qui me concerne.
											Pourquoi ? Parce que les choses n'évoluent pas par elles-mêmes.
											En fait, elles ont des hackers pour les écrire.
											Mais l'idée a très vite été poussée un peu plus loin
											quand un scientifique du Scientific Institute a décidé :
											""Pourquoi ne pas essayer de regrouper ces petits virus
											dans des mondes artificiels à l'intérieur de l'ordinateur
											et les laisser évoluer ?""
											C’était Steen Rasmussen.
											Il a conçu ce système, mais ça ne fonctionnait pas vraiment
											parce que ses virus se détruisaient mutuellement en permanence.
											Mais il y avait un autre scientifique qui suivait cela, un écologiste.
											Il est rentré chez lui et a dit : ""Je sais comment réparer ça.""
											Il a écrit le système Tierra,
											qui, j'en parle dans mon livre, est en fait un des premiers
											systèmes de vie réellement artificiels,
											sauf que ces programmes ne sont pas vraiment devenus complexes.
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Als man sah, dass das funktioniert und ein wenig daran arbeitete,
											da kam ich dazu.
											Und ich beschloss ein System zu entwickeln,
											das alle Voraussetzungen erfüllt, die notwendig sind
											für die Evolution von Komplexität, nach der sich
											immer komplexere Probleme sich ständig entwickeln.
											Und da ich nicht wirklich wusste, wie man Code schreibt, hatte ich dabei natürlich Hilfe.
											Zwei Studenten am
											California Institute of Technology arbeiteten mit mir.
											Das ist Charles Offria auf der linken, und Titus Brown auf der rechten Seite.
											Die beiden sind jetzt wirklich anerkannte Professoren
											an der Michigan State University,
											aber ich kann Ihnen versichern, damals
											waren wir nicht so ein respektables Team.
											Und ich bin auch froh, dass es kein Fotos gibt
											von uns dreien nebeneinander.
									","
											Habiendo visto su trabajo y trabajado un poco en eso,
											es cuando llego yo
											y decido crear un sistema
											con las propiedades necesarias
											para ver la evolución de la complejidad,
											problemas más complejos que evolucionan constantemente.
											Y, desde luego, como no sé escribir código, me ayudaron.
											Tenía dos estudiantes de pregrado
											en el California Institute of Technology que trabajaban conmigo.
											Eran Charles Offria a la izquierda, Titus Brown a la derecha.
											Ahora son profesores respetables
											en Michigan State University,
											pero les puedo asegurar, en aquel entonces,
											no éramos un equipo respetable.
											Estoy feliz de que no haya ninguna foto
											de nosotros tres juntos.
									","
											Então, tendo visto o seu trabalho,
e trabalhado um pouco nisto,
											foi aqui que eu entrei.
											E decidi criar um sistema
											que tem todas as propriedades necessárias
											para vermos a evolução da complexidade,
											problemas cada vez mais complexos
constantemente evoluindo.
											E claro, já que eu não sei escrever
em código, tive ajuda.
											Tive dois estudantes universitários
											do California Institute of Technology
a trabalhar comigo.
											Este é o Charles Offria, à esquerda,
e o Titus Brown, à direita.
											Agora são respeitáveis professores
											na Michigan State University,
											mas posso assegurar-vos de que,
naqueles tempos,
											não éramos uma equipa respeitável.
											E sinto-me muito feliz
que nenhuma foto sobreviva
											dos três juntos, seja onde for.
									","
											yani bu işi görünce biraz çalıştı,
											Bu geldiğim yerdeydi.
											Ve karmaşıklığın evrimini görmek için
											gerekli bir sistem oluşturmaya
											karar verdik,
											sürekli gelişen daha fazla ve daha karmasık bir sistem.
											Ve tabiki , nasıl şifrenin nasıl yazılcağını bilmeyip bu konuda yardım aldığımdan beri.
											İki lisans öğrencim vardı
											benle birlikte California Teknoloji Enstütüsünde çalışan.
											Bu solda ki Charles Offria, sağda ki Titus Brown.
											Onlar şimdi
											Michigan Devlet üniverstsinde saygın birer profesör.
											ama gün içinde geri dönebileceğimi size temin ederim,
											biz saygın bir ekip değildik.
											Ve üçümüzün bir arada olduğu bir fotoğrafımız olmadığından gerçekten
											çok mutluyum.
									","
											Après avoir vu ce travail, travaillé un peu dessus,
											c'est là que je suis intervenu.
											Et j'ai décidé de créer un système
											qui a toutes les propriétés nécessaires
											pour observer l'évolution de la complexité,
											des problèmes de plus en plus complexes en évolution constante.
											Bien sûr, puisque je ne sais vraiment pas écrire du code, on m'y a aidé.
											J'ai eu deux étudiants en licence
											de l'Institut de Technologie de Californie qui ont travaillé avec moi.
											C'est Charles Offria à gauche, et Titus Brown à droite.
											Ils sont en fait désormais de respectables professeurs
											à l'Université d'État du Michigan,
											mais je peux vous assurer qu'à l'époque,
											nous ne faisions pas une équipe respectable.
											Et je suis vraiment content qu'aucune photo n'ait survécu
											de nous trois ensemble où que ce soit.
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Aber wie schaut nun dieses System aus?
											Nun, ich kann nicht wirklich ins Detail gehen,
											aber hier sehen Sie ein paar Einzelheiten.
											Aber worauf ich mich konzentrieren möchte,
											ist der Typ der Bevölkerungsstruktur.
											Da sind etwa 10.000 Programme angesiedelt.
											Und alle verschiedenen Stämme haben verschiedene Farben.
											Und wie man hier sieht, gibt es Gruppen, die übereinander wachsen,
											weil sie sich ausbreiten.
											Immer wenn es ein Programm gibt,
											das besser in dieser Welt überlebt,
											aufgrund irgendeiner Mutation,
											breitet es sich über die anderen aus und bringt die anderen zum Verschwinden.
									","
											¿Cómo es este sistema?
											Bueno, no puedo ahondar en los detalles,
											pero aquí ven parte de sus entrañas.
											Quiero centrarme
											en este tipo de estructura poblacional.
											Aquí hay unos 10.000 programas.
											Las diferentes cepas tienen diferentes colores.
											Como pueden ver, hay grupos que crecen sobre otros,
											porque se están esparciendo.
											Cuando hay un programa
											que es mejor para sobrevivir en este mundo,
											por alguna mutación adquirida,
											se esparcirá sobre otros y los llevará a la extinción.
									","
											Mas como é este sistema?
											Bem, na verdade,
não posso entrar em detalhes,
											mas o que vêem aqui
são algumas das entranhas.
											Mas aquilo que queria focar
											é este tipo de estrutura de população.
											Estão aqui cerca de 10 000 programas.
											E todas as diferentes estirpes
têm diferentes cores.
											E como podem ver aqui, há grupos
a crescer em cima uns dos outros,
											porque se estão a espalhar.
											Sempre que um programa
											é melhor a sobreviver neste mundo,
											devido a alguma mutação
que tenha sofrido,
											vai-se espalhar sobre os outros
e levá-los à extinção.
									","
											Fakat; bu sistem ne gibi?
											Şeyyy gerçekten detaylara giremiyorum,
											ama burda gördükleriniz iç organlardan bazılarıdır.
											Ama odaklanmak istediğim
											nüfus yapısı türüdür.
											Burada 10,000 program duruyor.
											Ve tüm farklı türler farklı renklerdir.
											Ve gördüğünüz gibi, birbirlerinin üstünde büyüyen gruplar vardır.
											çünkü yayılıyorlar.
											her zaman dünyada var olan daha iyi bir program
											vardır.
											ne olursa olsun mutasyon nedeniyle,
											Diğerlerine yayılacak ve diğerlei yok olacak.
									","
											Mais à quoi ressemble ce système ?
											Eh bien, je ne peux pas vraiment entrer dans les détails,
											mais vous pouvez voir ici une partie de ses entrailles.
											Mais ce sur quoi je voulais me concentrer,
											c'est ce type de structure de population.
											Il y a environ 10 000 programmes présents ici.
											Les différentes souches sont représentées dans des couleurs différentes.
											Et comme vous pouvez le voir ici, certains groupes croissent les uns au-dessus des autres,
											parce qu'ils se répandent.
											À chaque fois qu'il y a un programme
											qui survit mieux dans ce monde,
											grâce à n'importe quelle mutation qu'il a acquise,
											il va se répandre par-dessus les autres et les conduire à l'extinction.
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Ich werde nun einen Film zeigen, in dem Sie diesen Vorgang sehen.
											Diese Art von Versuchen begannen
											mit Programmen, die wir selber geschrieben haben.
											Wir schreiben unsere eigenen Sachen, vervielfältigen diese,
											und sind sehr stolz auf uns.
											Und wir fügen diese hinzu, und gleich kann man sehen,
											dass es eine Welle der Innovation nach der anderen gibt.
											Übrigens ist das sehr beschleunigt,
											es ist fast wie tausend Generationen pro Sekunde.
											Aber sofort sagt das System:
											""Was für ein blöder Code war das?
											Das kann auf viele Arten verbessert werden
											und schnell.""
											Man sieht Wellen einer neuen Art,
											die andere Arten überwindet.
											Und diese Art von Aktivität geht noch eine Weile so,
											bis die einfachen Hauptsachen von diesen Programmen übernommen wurden.
											Und dann sieht man eine Art von Entwicklungsstau,
											in dem das System hauptsächlich
											auf eine neue Entwicklung wartet, wie diese da,
											welche sich ausbreiten wird
											über all die anderen Innovationen, die vorher da waren
											und die Gene löscht, die es vorher hatte,
											bis eine neue Art höherer Komplexität erreicht wurde.
											Und dieser Prozess geht immer weiter.
									","
											Les mostraré una película donde verán ese tipo de dinámica.
											Estos experimentos comienzan
											con programas que escribimos nosotros mismos.
											Escribimos nuestros propios programas, los replicamos,
											y nos sentimos orgullosos.
											Los ponemos dentro, y lo que ven inmediatamente
											es que hay olas y olas de innovación.
											Por cierto, esto está altamente acelerado,
											son como mil generaciones por segundo.
											Pero inmediatamente el sistema dice:
											""¡Qué código más tonto es este!
											Se puede mejorar de muchas formas,
											muy rápidamente"".
											Así que ven olas de nuevos tipos
											que ocupan el lugar de otros tipos.
											Esto continúa un rato,
											hasta que los programas adquieren las cosas principales
											y entonces se llega a una estabilidad
											donde el sistema espera, en esencia,
											un nuevo tipo de innovación, como este,
											que se esparcirá
											sobre las innovaciones anteriores
											y borrará los genes que tenía antes,
											hasta adquirir un mayor tipo de complejidad.
											El proceso sigue y sigue.
									","
											Então vou mostrar-vos um filme
onde vão ver esse tipo de dinâmica.
											E este tipo de experiências são iniciadas
											com programas que nós próprios escrevemos.
											Escrevemos o nosso próprio material,
											replicamo-lo, e temos muito orgulho
em nós próprios.
											E pomo-los lá dentro,
e o que se vê imediatamente
											é que há ondas e ondas de inovação.
											A propósito, isto está muito acelerado,
											por isso é como mil gerações por segundo.
											Mas imediatamente o sistema fica, tipo:
											""Que raio de pedaço de código
estúpido era aquele?
											""Isto pode ser melhorado
de tantas maneiras
											""tão depressa.""
											Então vêem-se ondas de novos tipos
											dominando os outros tipos.
											E este tipo de actividade
prolonga-se por bastante tempo,
											até que as principais coisas mais fáceis
já foram adquiridas por estes programas.
											E então vê-se uma espécie
de estase a acontecer
											em que o sistema basicamente espera
											por um novo tipo de inovação, como este,
											que se irá espalhar
											sobre todas as anteriores inovações
											e irá apagar os genes
que havia anteriormente,
											até que um novo tipo de nível mais elevado
de complexidade tenha sido alcançado.
											E este processo continua
e continua e continua.
									","
											Bu yüzden bu dinamizmi gördüğün yerin filmin, izleteceğim sana.
											Ve bizim ürettiğimiz programlar ile
											bu tür deneyler başlatılır.
											Kendi programlarımızı ürettik ve çoğalttık
											ve kendimizle çok gurur duyuyoruz.
											Ve biz onları koyduk ve hemen gördüğümüzün
											yenilik dalgaları olmasıdır.
											Bu arada bu son derece hızlandırılmıştır,
											ikinci jenerasyon gibi.
											Ama hemen sistem
											''Ne tür bir lanet koddu bu?''
											Böylece bu pek çok yönden
											geliştirilmiş olabilir.
											Yani diğer türleri devralıp
											yeni dalgalara bakın.
											Ve bu tür aktiviteler uzun bir süre
											bu programlarla basit temel şeyler kazanılana dek.
											Ve sonra yüksek seviyede bir karmaşıklığın yeni bir türü ortaya çıkarılana dek
											bunun gibi, daha önceki tüm yenilikleri yayacak ve önceden sahip olduğu genleri silecek olan
											bir sistemin yeni bir tür değişim için
											beklediği yere bağlı olarak
											yeni bir
											durgunluk
											görürsün.
											Ve bu süreç devam eder.
									","
											Donc je vais vous montrer un film où vous allez voir ce genre de dynamique.
											Et on commence ce type d'expériences
											par des programmes que nous avons écrit nous-mêmes.
											Nous écrivons nos propres trucs, les répliquons,
											et sommes très fiers de nous.
											Nous les implantons, et on peut immédiatement voir
											qu'il y a des flots et des flots d'innovation.
											Au fait, c'est extrêmement accéléré,
											donc c'est comme un millier de générations par seconde.
											Mais le système se demande immédiatement :
											""C'était quoi ce stupide bout de code ?
											On peut l'améliorer de tant de façons
											et si rapidement.""
											Donc vous voyez des flots de nouveaux genres
											qui prennent le dessus des autres genres.
											Et ce type d'activité dure un certain temps,
											jusqu'à ce que les principales choses faciles aient été acquises par ces programmes.
											Alors vous voyez survenir comme une stase,
											où en gros le système attend
											un nouveau type d'innovation, comme celle-ci,
											qui va se répandre
											par-dessus toutes les autres innovations précédentes
											et efface les gènes qu'il avait avant,
											jusqu'à ce qu'un nouveau type de complexité, plus avancé, soit atteint.
											Et ce processus continue encore et encore.
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Was wir hier sehen,
											ist ein System, das in etwa so lebt,
											wie wir Leben gewohnt sind.
											Aber was die NASA-Leute mich wirklich gefragt hatten
											war: ""Haben diese Dinger
											eine Biosignatur?
											Können wir diese Art des Leben messen?
											Wenn wir das können,
											haben wir vielleicht eine Chance, Leben wirklich irgendwo anders
											zu entdecken, ohne voreingenommen zu sein
											durch Dinge wie Aminosäuren.""
											Also sagte ich: ""Vielleicht sollten wir
											eine Biosignatur herstellen,
											die auf Leben als universalem Prozess basiert.
											Vielleicht sollte es
											die Konzepte verwenden, die ich entwickelt habe
											um zu erfassen,
											was ein einfaches lebendes System sein kann.""
									","
											Por eso vemos
											que vive
											de la forma en que estamos acostumbrados a la vida.
											La gente de la NASA preguntó:
											""Estos tipos,
											¿tienen un biomarcador?
											¿Podemos medir este tipo de vida?
											Porque si podemos,
											tal vez podamos descubrir vida en otro lugar
											sin estar sesgados
											por cosas como los aminoácidos"".
											Les dije: ""Bueno, tal vez podríamos construir
											un biomarcador
											basado en la vida como un proceso universal.
											De hecho, tal vez debería usar
											los conceptos que desarrollé
											para, de alguna forma, capturar
											lo que serían sistemas vivientes simples"".
									","
											Então, o que vemos aqui
											é um sistema que vive muito
											da forma a que estamos habituados
a ver a vida.
											Mas aquilo que o pessoal da NASA
me perguntou realmente foi:
											""Estes tipos
											""têm uma bioassinatura?
											""Podemos medir este tipo de vida?
											""Porque se pudermos,
											""talvez tenhamos uma hipótese
de descobrirmos vida noutro lugar
											""sem estarmos a ser parciais
											""em coisas como os aminoácidos.""
											Então eu disse:
""Bem, talvez possamos construir
											""uma bioassinatura
											""baseada na vida
como um processo universal.
											""De facto, talvez possa usar
os conceitos que eu desenvolvi
											""para poder captar o que um sistema vivo
simples poderia ser.""
									","
											Yani burda gördüğümüz
											çok alışık bir şekilde kullandığımız
											sistemdir.
											Ama Nasa'nın bana asıl sorduğu
											''Bu adamların
											biyosinyatü rü var mı? idi.
											Bu tür bir yaşamı ölçebilir miyiz?
											Çünkü yapabilirsek,
											belki herhangi bir yerlerde yaşamı keşvetme sansımız
											hiç bir ön yargı olmadan
											amino asit gibi şeyler ile vardır.''
											Böylece ''Eh belki evrensel bir süreç olarak
											yaşama dayalı bir siyatür
											oluşturmalıyız.
											Aslında belkide basit bir yaşam sisteminin
											ne olabileceğini sıralamak için
											geliştirdiğim kavramların kullanımı
											olmalıdır.''
									","
											Donc ce que nous voyons ici
											est un système qui vit
											de façon très similaire à ce que nous connaissons comme étant la vie.
											Mais ce que les gens de la NASA me demandaient vraiment
											était : ""Est-ce que ces trucs
											ont une signature biologique ?
											Peut-on mesurer ce genre de vie ?
											Parce que si on peut,
											nous avons peut-être une chance de vraiment découvrir de la vie ailleurs
											sans être influencés
											par des références comme les acides aminés.""
											Donc j'ai dit : ""Eh bien, nous devrions peut-être construire
											une signature biologique
											basée sur la vie en tant que processus universel.
											En fait, elle devrait peut-être utiliser
											les concepts que j'ai développés
											rien que pour avoir une idée en quelque sorte
											de ce qu'un système vivant simple pourrait être.""
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
											Und was ich mir ausgedacht habe —
											Ich muss Ihnen zuerst eine Einführung in die Idee geben,
											und vielleicht wäre das eher ein Bedeutungs-Detektor
											als ein Lebensdetektor.
											Und wir würden das so machen —
											ich würde gerne herausfinden, wie sich
											Text, der von einer Million Affen geschrieben wurde,
											von Text unterscheidet, der in unseren Büchern ist.
											Und ich würde es gerne so angehen,
											dass ich die Sprache nicht wiklich lesen können muss,
											weil ich mir sicher bin, dass ich dazu nicht in der Lage bin.
											Solang ich weiß, dass es eine Art Alphabet gibt.
											Dies wäre die Häufigkeit
											in der man
											jeden der 26 Buchstaben des Alphabets
											in einem von zufällig gewählten Affen geschriebenen Text finden kann.
											Und offensichtlich kommt jeder dieser Buchstaben
											ungefähr gleich häufig vor.
									","
											Y propuse...
											Tengo que presentar la idea primero,
											quizá sería un detector de significado,
											en vez de ser un detector de vida.
											Y la forma en que lo hacemos...
											Me gustaría saber distinguir
											el texto escrito por un millón de monos,
											del texto que está en los libros.
											Y me gustaría hacerlo de forma tal
											de no tener que leer el lenguaje
											porque sé que no podré.
											Sólo sé que hay algún tipo de alfabeto
											y una gráfica de frecuencias
											de la presencia de cada una
											de las 26 letras del alfabeto
											en un texto escrito por monos al azar.
											Obviamente, cada una de las letras
											resulta casi igual de frecuente.
									","
											E aquilo a que eu cheguei
											— primeiro tenho de fazer
uma introdução sobre a ideia,
											e depois talvez isso sirva como
um detector de significado,
											em vez de um detector de vida.
											E a forma de conseguirmos fazer isso
											— gostaria de descobrir como distinguir
											um texto que foi escrito
por um milhão de macacos,
											do texto que está nos nossos livros.
											E gostaria de o fazer de tal forma que
											que não fosse realmente necessário
ler a linguagem,
											porque tenho a certeza
que não ia ser capaz de o fazer.
											Desde que saiba
que existe algum tipo de alfabeto.
											Então, aqui estaria
um gráfico de frequência
											de quão frequentemente se encontraria
											cada uma das 26 letras do alfabeto
											num texto escrito por macacos aleatórios.
											E obviamente cada uma dessas letras
											surge com uma frequência
aproximadamente igual.
									","
											Ve benle gelen şey
											İlk olarak düşüncenin tanımını vermek zorundayım
											ve belki hayat bulucu yerine
											bulucu olacak.
											Ve izledimiz yol
											Milyonlarca maymun tarafından yazılmış metin
											nasıl ayırt edilir öğrenmek istiyorum.
											metindeki kitapların aksine.
											Ve okumak zorunda olmadığım bir yolla
											öğrenmek istiyorum,
											çünkü bunu yapamıyacağım.
											Birkaç çeşit alfabe olduğunu bildiğim sürece .
											Yani burada araziyi ne sıkılıkla
											bulduğu
											alfabenin 26 harfinin her biri
											maymunlar tarafından yazılmış metinde
											Ve kesinlikle her bir harf
											eşit sıklıkta gelir.
									","
											Et ce que j'ai produit -
											je dois d'abord vous présenter cette idée,
											peut-être que ce serait un détecteur de sens,
											plutôt qu'un détecteur de vie.
											Et la façon dont nous ferions cela -
											j'aimerais trouver comment je peux distinguer
											un texte écrit par un million de singes,
											par opposition à un texte qui se trouve dans nos livres.
											Et j'aimerais le faire d'une façon telle
											que je n’aie en fait pas besoin de pouvoir lire la langue,
											parce que je suis sûr que je n'en serai pas capable.
											Tant que je sais qu'il y a une sorte d'alphabet.
											Donc il y aurait un graphique de la fréquence
											à laquelle vous trouvez
											chacune des 26 lettres de l'alphabet
											dans un texte écrit par n'importe quel singe.
											Évidemment chacune de ces lettres
											apparaît en gros à la même fréquence.
									",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
"
","
","
","
","
",Finding life we can't imagine,Christoph Adami,18:51,"TEDx,bacteria,biology,evolution,life,science"
