fr,de,tr,es,title,speaker,duration,tags
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											Donc, dans ce dispositif, l'idée c'est que vous trempez
											son extrémité du bas dans une goutte,
											dans ce cas, d'urine.
											Le fluide se répand dans ces chambres en haut.
											La couleur marron indique le taux de glucose dans l'urine.
											La couleur bleue indique le taux de protéine dans l'urine.
											Et la combinaison des deux.
											est un très bon indicatif d'un certain nombre
											de choses utiles que vous voulez.
											Donc, c'est un exemple d'un dispositif fait à partir d'une simple feuille de papier.
									","
											Die Idee für dieses Gerät ist also
											in diesem Fall, den unteren Teil
											in einen Tropfen Urin einzutauchen.
											Die Flüssigkeit wird in diese Kammern oben aufgesaugt.
											The braune Farbe zeigt die Menge Glukose im Urin.
											Die blaue Farbe zeigt die Menge Eiweiß im Urin.
											Und die Kombination dieser beiden
											ist eine erste Annährung an eine Vielzahl von
											brauchbaren Dingen, die man erreichen will.
											Das ist ein Beispiel eines Systems, das aus einem einfachen Stück Papier besteht.
									","
											Bu alette fikir şudur ki,
											alt kısma bir damla
											idrar damlatırsınız.
											Sıvı o tepedeki odaciklara emilir.
											Kahverengi idrarda bulunan glikoz miktarini belirtir.
											Mavi renk idrarda bulunan protein miktarini belirtir.
											Ve istediğiniz yararlı şeyler arasında
											bu ikisinin kombinasyonu
											en önemli olanlarıdır.
											Bu sadece basit bir kağıtdan yapılmış olan bir alet örneğidir.
									","
											Entonces, en este dispositivo la idea es que sumergen
											la parte inferior en una gota de,
											en este caso, orina.
											Y el fluido se propaga hasta alcanzar los compartimientos superiores.
											El color café indica la cantidad de glucosa en la orina.
											El color azul indica la cantidad de proteína en la orina.
											Y la combinación de estas dos,
											es una oportunidad de primera para obtener
											las cosas útiles que quieren.
											Entonces, este es un ejemplo de un dispositivo hecho a partir de una sencilla pieza de papel.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											Bon, comment simplifier la production ?
											Pourquoi avons-nous choisi du papier ?
											Voici un exemple de la même chose, sur un doigt
											qui vous montre en gros à quoi ça ressemble.
											Une des raisons d'utiliser le papier, c'est qu'il est partout.
											Nous avons réalisé ces types de dispositifs qui utilisent
											des serviettes et du papier-toillette
											et des cartes, et plein d'autres trucs.
									","
											Nun, wie einfach können wir die Produktion machen?
											Warum wählen wir Papier?
											Das ist ein Beispiel des gleichen Systems, auf einem Finger,
											um Ihnen grundlegend zu zeigen, wie es aussieht.
											Ein Grund für Papier ist, dass es überall vorhanden ist.
											Wir haben diese Art von System
											aus Servietten und Toilettenpapier hergestellt
											aus Verpackungen und verschiedenen anderen Materialien.
									","
											Şimdi, bir ürünü ne kadar basitleştirebilirsiniz?
											Niçin biz kağıt seçtik?
											Burada bir örnek var bu ürünün
											nasıl gözüktüğünü parmak üzerinde gösteren.
											Kağıt kulanmamız icin birinci sebep, kağıt her yerde.
											Bunun gibi başka cihazlar da yaptık
											tuvalet kağıdı, peçete, ambalaj kağıdı
											ve bunlar gibi benzer bir cok ürünü kullanarak
									","
											Ahora, ¿cuán sencilla pueden hacer la producción?
											¿Por qué escogimos el papel?
											Ahí ven un ejemplo del mismo dispositivo, en un dedo
											mostrándoles básicamente su apariencia.
											Una razón por la cual usamos papel es porque está en todos lados.
											Hemos hecho este tipo de dispositivos usando
											servilletas y papel higiénico
											y mapas y todo tipo de cosas.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											Donc, la capacité de production est là.
											La seconde raison, c'est que vous pouvez mettre
											énormément de tests sur une toute petite surface.
											Je vais vous montrer dans un instant que le bloc de papier ici
											pourrait probablement contenir quelque chose comme
											100.000 tests, ou quelque chose comme ça.
									","
											Die Produktionsfähigkeit ist also gegeben.
											Zweitens kann man sehr viele Tests
											auf eine kleine Fläche packen.
											Ich werde Ihnen gleich zeigen, dass der Stapel Papier dort
											wahrscheinlich um die 100.000
											Tests enthalten kann, so ungefähr.
									","
											Yapım kapasitesi hazır.
											İkincil olarak da, bir çok testi
											çok ufak bir alana sıkıştırabilirsiniz.
											Size az sonra göstereceğim bir yığın kağıda
											yüksek ihtimalle
											100,000 test barınabilir.
									","
											Entonces, la capacidad de producción está ahí.
											Lo segundo es, pueden poner muchas, muchas
											pruebas en un espacio muy pequeño.
											En un momento les mostraré que ese montón de papel ahí
											podría contener alrededor de
											100.000 pruebas, o algo alrededor de ese valor.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											Et puis enfin, quelque chose auquel vous ne pensez peut-être pas
											dans un mode médicalisé développé,
											ça élimine les pointes.
											Par ""pointes"", je parle d'aiguilles, de choses qui collent.
											Si vous avez pris un échantillon de sang
											et que cette personne peut avoir l'hépatite C,
											vous ne voulez pas faire une erreur et vous la planter sur vous.
											C'est juste, vous ne voulez pas faire ça.
											Donc, comment se débarrasser de ça ? C'est un problème partout.
											Et ici, vous brûlez simplement le papier.
											Donc, c'est une sorte d'approche pratique
											pour commencer les choses.
									","
											Und schließlich, ein Punkt, über den in entwickelten Ländern
											nicht oft nachgedacht wird in der Medizin,
											es macht spitze Dinge überflüssig.
											Und scharf bedeutet Nadeln, Dinge die stechen.
											Wenn Sie von jemandem eine Blutprobe genommen haben
											und derjenige hat vielleicht Hepatitis C,
											dann wollen Sie keinen Fehler machen und sich stechen.
											Nun, Sie wollen das einfach nicht tun.
											So, wie beseitigen Sie das? Es ist überall ein Problem.
											Hier verbrennen Sie es einfach.
											Es ist also eine Art praktischer Ansatz,
											um gewisse Sachen anzustoßen.
									","
											Sonuncu olarak da, gelişmiş ülke tıbında
											fazla düşünülmeyen bir nokta şudur ki
											sivrileri elemine eder.
											Sivriler ne demektir, batan aletler.
											Mesela birinden kan örneği aldınız
											o kişide hepatit C bulunabilir
											iğneyi kendinize batirmak gibi bir hatayi yapmak istemezsiniz.
											Neden olduğu açık, bunu yapmak istemezsiniz.
											O iğneyi nasil ortadan kaldırırsınız? Bu her yerde olan bir problem.
											Basit bir çözüm olarak onu yakarsınız.
											Sonuç olarak, işlere başlamak için
											pratik bir yoldur.
									","
											Y finalmente, un aspecto en el que no se piensa tanto
											en la medicina del primer mundo,
											es que elimina el uso de objetos afilados.
											Y objetos afilados significa agujas, instrumental punzante.
											Si le han tomado una muestra de sangre a alguien
											no quieren cometer un error y pincharse con ellos.
											no quieren cometer un error y pincharse con ellos.
											Simplemente, no quieren hacer eso.
											Entonces, ¿cómo deshacerse de ello? Es un problema en todos lados.
											Y aquí sencillamente lo queman.
											Entonces, es como una aproximación práctica
											para comenzar a trabajar.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											Maintenant, vous allez dire, si le papier est une bonne idée,
											d'autres personnes y ont surement déjà pensé.
											Et la réponse est, bien sûr, oui.
											La moitié d'entre-vous, en gros,
											qui sont des femmes,
											vous avez dû faire un test de grossesse.
											Et le plus répondu de ces tests
											est dans un objet qui ressemble à la chose à gauche.
											C'est quelque chose qui s'appelle un flux latéral immunoassay.
											Et dans ce test en particulier
											l'urine, qui contient ou ne contient pas
											une hormone appelée HCG
											se répand sur un morceau de papier.
											Il y a deux barres. La première indique que le test fonctionne.
											Et si la seconde apparaît, vous êtes enceinte.
									","
											Nun können Sie sagen, wenn Papier eine gute Idee ist,
											haben andere Leute sicher darüber nachgedacht.
											Und die Antwort ist natürlich Ja.
											Ungefähr die Hälfte von Ihnen,
											die Frauen sind,
											haben vielleicht irgendwann einmal einen Schwangerschaftstest gemacht.
											Und die verbreiteste Art davon
											ist ein Gerät, das wie das Ding auf der linken Seite aussieht.
											Es ist etwas, dass quer fließender Immuntest genannt wird.
											Und in diesem speziellen Test
											fließt Urin, der entweder
											das Hormon HCG enthält oder nicht,
											über ein Stück Papier.
											Es gibt zwei Streifen. Ein Streifen zeigt, dass der Test funktioniert.
											Und wenn der zweite Streifen erscheint, sind Sie schwanger.
									","
											Şimdi dersiniz ki eğer kağıt bu kadar güzel bir fikirse
											başkaları kesinlikle düşünmüştur.
											Cevap ise tabiki evet,
											Aşa yukarı yarınız
											bayan olanlar
											hayatınızın bir noktasında hamilelik testi almışınızdır.
											Bunların en yaygın olanı ise
											bu soldakı gibi görünen bir cihazdır.
											Adı: yanal akış bağışıklık tahlili
											Bu spesifik testde
											HCG adı verilen ve idrarda
											bulunan hormon bir parça
											kağıt boyunca akar yada akmaz.
											iki tane bar vardır, birinci bar testin çalıştığını gösterir
											ve diğer bar da gözükürse, hamilesinizdir.
									","
											Ahora, seguramente pensarán, si el papel es una buena idea,
											seguramente otras personas ya habían pensado en eso.
											Y la respuesta es, obviamente, sí.
											Esa mitad de ustedes, aproximadamente,
											que son mujeres,
											en algún punto se habrán hecho una prueba de embarazo.
											Y la más común de este tipo de pruebas
											es un dispositivo que se parece a lo que ven a su izquierda.
											Es algo llamado un inmunoensayo de flujo lateral.
											Y en esa prueba en particular
											la orina puede o no contener
											una hormona llamada HCG y puede o no
											fluir a través de un pedazo de papel.
											Y hay dos barras. Una barra indica que la prueba funciona.
											Y si la segunda barra aparece, están embarazadas.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											C'est un test génial dans un monde binaire.
											Et ce qui est bien dans le fait d'être enceinte,
											c'est que soit vous l'êtes, soit vous ne l'êtes pas.
											Vous n'êtes pas partiellement enceinte, ou pensant à être enceinte
											ou quelque chose du genre.
											Donc, ça fonctionne très bien ici.
											Mais ça ne marche pas très bien quand vous avez besoin de données quantitatives.
									","
											Dies ist ein großartiger Test in einer binären Welt.
											Und das Gute an einer Schwangerschaft ist,
											dass Sie entweder schwanger sind oder nicht.
											Sie sind nicht teilweise schwanger oder denken daran, schwanger zu sein
											oder irgendetwas dieser Art.
											Also funktioniert das wirklich gut.
											Aber es funktionert nicht sehr gut, wenn Sie mehr quantitative Informationen brauchen.
									","
											Bu binari bir dünyada mütiş bir testdir.
											Hamilelikle ilgili güzel şey ise
											ya hamilesinizdir ya da değılsinizdir.
											Yarım hamile ya da hamile kalmayi düşünüyorsunuz
											gibi bir durum yoktur.
											Yani kağıt test burada çok güzel çalışır,
											ama daha niceliksel sonuçlar istediğinizde çalışmaz.
									","
											Esta es una prueba estupenda en un mundo binario.
											Y lo bonito del embarazo
											es que, o están embarazadas, o no lo están.
											No están parcialmente embarazadas o pensando en embarazarse
											o algo de ese estilo.
											Así que funciona muy bien aquí.
											Pero no funciona muy bien cuando se requiere de información más cuantitativa.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											Il y a aussi les bâtonnets à tremper.
											Mais si vous regardez ces bâtonnets, ils sont pour
											d'autres types d'analyses d'urine.
											Il y a énormément de couleurs et des trucs comme ça.
											Que faites-vous dans des circonstances difficiles ?
											Donc, l'approche que nous avons prise est de se demander
											est-ce que c'est vraiment pratique de faire des choses comme ça ?
											Et ce problème est maintenant réglé, d'une façon purement ingénieure.
											Et la procédure que vous avons est simplement de commencer avec du papier.
											Il passe dans une nouvelle sorte d'imprimante, appelée imprimante à cire.
											L'imprimante à cire fait ce qui ressemble à de l'impression.
											Elle imprime. Vous mettez cela dessus, vous chauffez un peu.
											La cire se diffuse et est absorbée par le papier.
											Et vous obtenez au final le dispositif que vous voulez.
									","
											Es gibt auch Teststreifen, die eingetaucht werden.
											Aber wenn Sie diese Teststreifen betrachen, werden diese
											für eine andere Art von Urinanalyse verwendet.
											Es gibt eine ungeheure Anzahl von Farben und solchen Sachen.
											Was tun Sie damit unter schwierigen Umständen?
											Wir begannen mit dem Ansatz, uns zu fragen:
											Ist es wirklich praktisch, diese Art von Dingen zu produzieren?
											Dieses Problem ist nun gelöst, rein ingenieurwissenschaftlich.
											Unsere Methode ist einfach, mit einem Stück Papier anzufangen.
											Man schickt es durch eine neue Art von Drucker, Wachsdrucker genannt.
											Der Wachsdrucker tut, was wie drucken aussieht.
											Es ist Drucken. Man trägt es auf, man erwärmt es ein wenig.
											Das Wachs druckt durch und wird im Papier aufgesaugt.
											Und man bekommt das Instrument, das man möchte.
									","
											Ölçüm çubukları da vardır
											ama eğer ölçüm çubuklarına bakarsanız, onlar
											başka tür idrar analizleri içindir.
											Bir çok renk ve buna benzer şeyler vardır.
											Zor koşullarda bu durumla ilgili gerçekten ne yaparsınız?
											Böylece bizim başladığımız yaklaşım, şu soruyu sormaktı:
											Buna benzer araçlar yapmak gerçekten pratik mi?
											O sorun şimdi, tamamen mühendislik bakış açısı kullanılarak çözüldü.
											ve bizim izlediğimiz prosedür sade bir sekilde kağıtla başlamaktır
											Mum yazıcısı olarak adlandırılan yeni bir yazıcıdan geçırırsınız bu kağıdı
											Mum yazıcısı yazmaya benzer bir işlem yapar
											Basmadır. Bunu koyarsınız biraz da ısıtırsınız.
											Mum kağıdın içine emilir
											böylece istediğiniz araçı elde etmiş olursunuz.
									","
											También hay tiras reactivas.
											Pero si observan las tiras reactivas, son para
											otro tipo de análisis de orina.
											Y hay una gran cantidad de colores y cosas así.
											¿Qué hacer en una situación difícil como esta?
											Entonces, el enfoque con el que empezamos, es preguntarnos,
											¿es realmente práctico hacer cosas de este tipo?
											Y el problema ahora, y de una manera completamente ingenieril, está resuelto.
											El procedimiento que tenemos es sencillamente comenzar con papel.
											Lo hacen pasar por un nuevo tipo de impresora conocida como impresora de cera.
											La impresora de cera hace algo parecido a imprimir.
											Es imprimir. La encienden, la calientan un poco.
											La cera se imprime de forma que se absorbe en el papel.
											Y terminan con el dispositivo que quieren.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
