es,de,pt,tr,fr,title,speaker,duration,tags
"
											Pero en 1970,
											algunos científicos se reunieron
											y pensaron: ""¿Pero qué pasa?
											Miren estos dinosaurios:
											son todos grandes.
											¿Dónde están los pequeños?"".
											Y reflexionaron
											e incluso escribieron artículos:
											""¿Dónde están los dinosaurios pequeñitos?"".
											(Risas)
											Pues vayan a un museo y vean,
											vean cuántos bebés de dinosaurio hay.
											Todos suponían, y esto era el problema...
											todos suponían
											que si encontraban pequeños dinosaurios,
											dinosaurios juveniles,
											sería muy fácil identificarlos.
											Tendríamos un dinosaurio grande
											y otro pequeño,
											pero solo tenían dinosaurios grandes.
									","
											Um etwa 1970
											saßen einige Wissenschaftler zusammen
											und sie dachten, ""Was ist denn hier los?
											Schaut euch all diese Saurier an.
											Sie sind alle groß.
											Wo sind die kleinen?""
											Und sie dachten darüber nach
											und schrieben sogar Artikel darüber:
											""Wo sind all die kleinen Saurier?""
											(Lachen)
											Ja, geht in ein Museum und ihr werdet sehen,
											wie viele Babydinosaurier es dort gibt.
											Die Leute nahmen an – und das war wirklich ein Problem –
											die Leute nahmen an,
											dass, wenn sie kleine Saurier hätten,
											wenn sie jugendliche Dinosaurier hätten,
											dass diese leicht zu erkennen wären.
											Man hätte einen großen Saurier
											und einen kleinen Saurier.
											Aber alles, was sie hatten, waren große Saurier.
									","
											Por volta de 1970,
											alguns cientistas
estavam de braços cruzados a pensar:
											""Mas que diabo?
											""Olhem para estes dinossauros.
											""São todos grandes.
											""Onde é que estão os pequenos?""
											E eles pensaram sobre isso
											e até escreveram artigos sobre isso:
											""Onde estão os dinossauros pequenos?""
											(Risos)
											Bem, vão a um museu, e verão,
											vejam quantos dinossauros bebés há lá.
											As pessoas presumiram
— e isto foi, de facto, um problema —
											as pessoas presumiram
											que, se tivessem dinossauros pequenos,
											se tivessem dinossauros juvenis,
											eles seriam fáceis de identificar.
											Teriam um grande dinossauro
											e um dinossauro mais pequeno.
											Mas tudo o que eles tinham
eram dinossauros grandes.
									","
											1970'lerde
											bazı bilim adamları oturdu
											şöyle düşündü: ""Bu da ne böyle?
											Şu dinozorlara bakın.
											Hepsi de kocaman.
											Peki ufak olanlar nerede?""
											Bu konu hakkında düşündüler
											hatta bazı makaleler bile kaleme aldılar:
											""Küçük dinozorlar nerede?""
											(Kahkahalar)
											Evet, müzeye gidin de görün,
											bakın bakalım kaç tane bebek dinozor göreceksiniz.
											İnsanlar şunu zannettiler — ki aslında bu bir problemdi —
											İnsanlar zannettiler ki
											eğer küçük bir dinozora
											ya da genç bir dinozora sahip olsalardı
											onun kimliğini kolaylıkla saptayabilirlerdi.
											Büyük bir dinozorunuz ve
											daha küçük bir dinozorunuz olurdu.
											Ama bütün dinozorları büyüktü.
									","
											Vers 1970,
											des scientifiques se tournaient les pouces
											et ils ont pensé, « Mais ?
											Regardez ces dinosaures.
											Ils sont tous grands.
											Où sont tous les petits ? »
											Et ils y ont réfléchi
											et ils ont même écrit des articles dessus :
											« Où sont les petits dinosaures ? »
											(Rires)
											Allez dans un musée, vous verrez,
											regardez combien il y a de bébés dinosaures
											Les gens supposent — et c'était vraiment un problème —
											les gens supposent
											que s'ils avaient de petits dinosaures,
											s'ils avaient de jeunes dinosaures,
											ils seraient faciles à identifier.
											Vous auriez un gros dinosaure
											et un dinosaure plus petit.
											Mais tout ce qu'ils avaient c'étaient de gros dinosaures.
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											Y habría que advertir un par de cosas.
											Primero, los científicos tienen ego
											y les gusta ponerle nombres a los dinosaurios.
											Les gusta poner nombres en general.
											A todos les gusta ponerle nombre a un animal.
											(Risas)
											Así que cada vez que encontraban algo un poco diferente,
											le ponían un nombre diferente.
											Y lo que pasó, obviamente,
											es que terminaron con muchos dinosaurios diferentes.
									","
											Es läuft auf zwei Tatsachen hinaus:
											Erstens, Wissenschaftler haben Egos,
											und Wissenschaftler geben Sauriern gern Namen.
											Sie geben allem gern Namen.
											Jeder hat gern sein eignes Tier, das er benannt hat.
											(Lachen)
											Deshalb haben sie jedes Mal, wenn sie etwas gefunden haben,
											das ein wenig anders aussah, diesem einen andern Namen gegeben.
											Und was natürlich passiert ist,
											ist, dass wir einen Haufen verschiedener Saurier haben.
									","
											E tudo se resume a duas coisas.
											Primeiro, os cientistas têm egos,
											e os cientistas gostam de dar nomes
aos dinossauros.
											Eles gostam de dar nomes a tudo.
											Toda a gente gosta de ter
o seu próprio animal, nomeado por si.
											(Risos)
											E assim, cada vez que encontravam
alguma coisa
											que parecesse um pouco diferente,
											davam-lhe um nome diferente.
											E o que aconteceu, claro,
											é que acabámos com um monte
de dinossauros diferentes.
									","
											Bu birkaç şeyden kaynaklandı.
											İlk olarak, bilim adamlarının egoları vardır,
											ve onlar dinozorlara isim vermeyi severler.
											Gerçi her şeye isim vermeyi severler.
											Herkes bir hayvan sahibi olmayı ve ona isim vermeyi sever.
											(Kahkahalar)
											Ne zaman farklı görünen ufak bir şey bulduysalar
											ona farklı bir isim verdiler.
											Sonuçta ne oldu?
											Kendimizi bir yığın dinozorun içinde bulduk.
									","
											Et ça tient à deux trois trucs.
											D'abord, les scientifiques ont leur amour-propre,
											et les scientifiques aiment donner des noms aux dinosaures.
											Ils aiment nommer tout ce qui est possible.
											Tout le monde aime avoir un animal nommé d'après eux.
											(Rires)
											Et donc à chaque fois qu'ils trouvaient quelque chose qui avait l'air un peu différent,
											Ils l'ont appelé différemment.
											Et ce qui s'est passé, bien sûr,
											c'est qu'on s'est retrouvé avec tout un tas de dinosaures différents.
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											En 1975,
											alguien tuvo una iluminación.
											El Dr. Peter Dodson,
											de la Universidad de Pennsylvania,
											se dio cuenta de que
											los dinosaurios crecen
											como lo hacen los pájaros,
											que es diferente de como
											lo hacen los reptiles.
											Normalmente
											usaba a los casuarios como ejemplo.
											Y los casuarios son muy interesantes,
											o cualquier pájaro con cresta,
											ya que alcanzan
											el 80% de su tamaño adulto
											antes de que la cresta empiece a crecer.
											Piénsenlo.
											Básicamente retienen sus características de juveniles
											bien avanzada su ontogenia.
											La ontogenia alométrica craneal
											es el crecimiento relativo del cráneo.
											Y pueden imaginarse que
											si encontraran un cráneo
											al 80% de su crecimiento,
											sin saber que es un casuario,
											pensarían que son animales diferentes.
									","
											1975
											ging jemandem ein Licht auf.
											Dr. Peter Dodson
											an der Universität von Pennsylvania
											bemerkte tatsächlich,
											dass Dinosaurier
											ähnlich wachsen wie Vögel,
											was anders ist
											als das Wachstum von Reptilien.
											Und tatsächlich,
											er nahm den Helmkasuar als Beispiel.
											Und es ist irgendwie cool – wenn man sich den Kasuar anschaut,
											oder irgendeinen Vogel, der einen Schädelkamm trägt,
											sie wachsen wirklich
											auf etwa 80 % ihrer ausgewachsenen Größe,
											bevor der Kamm anfängt zu wachsen.
											Überlegt euch das mal.
											Sie behalten im Grunde ihre jugendlichen Züge
											bis sehr spät in ihrer so genannten Ontogenese.
											Die allometrische Schädel-Ontogenese
											ist also relatives Schädelwachstum.
											Ihr seht also, dass,
											wenn man wirklich ein Exemplar finden würde,
											das zu 80 % ausgewachsen ist,
											und man wüsste nicht, dass es mal ein Helmkasuar wird,
											könnte man es für ein anderes Tier halten.
									","
											Em 1975,
											fez-se luz na cabeça de alguém.
											O Dr. Peter Dodson,
											na Universidade da Pensilvânia,
											apercebeu-se de que
os dinossauros cresciam
											mais ou menos como as aves crescem,
											que é diferente da forma
como os répteis crescem.
											E de facto,
											ele usou o casuar como exemplo.
											E é de certa forma fixe
— se olharem para o casuar,
											ou para qualquer das aves
que têm cristas nas cabeças,
											elas crescem até cerca de 80%
do tamanho adulto
											antes que as cristas comecem a crescer.
											Agora, pensem nisso.
											Elas retêm as suas características juvenis
											até muito tarde,
no que chamamos de ontogenia.
											Então, a ontogenia craniana alométrica
											é o crescimento relativo do crânio.
											Deste modo,
											podem ver que se encontrassem,
de facto, um com 80% de crescimento
											e não soubessem que iria crescer
e tornar-se um casuar,
											vocês pensariam que eles
eram dois animais diferentes.
									","
											1975 yılında
											birinin kafasında bir ampül yandı.
											Pennsylvania Üniversitesi'nden
											Dr. Peter Dodson
											dinozorların, sürüngenlerin değil
											kuşların büyüme süreçlerini
											takip ettiklerini
											farkederek
											farklı bir yorum getirdi.
											Bunun için
											Cassowary'yi örnek göstermişti.
											Gerçekten de Cassowary'ye ya da kafasında boynuz olan
											herhangi bir kuşa baktığınızda,
											ibiğin büyümeye başlamasından önce
											bu tip canlıların
											yetişkin boyutunun yüzde 80'ine kadar büyüdüklerini görebilirsiniz.
											Şimdi bunun hakkında düşünelim.
											Bu tip kuşlar, yetişkinlik öncesi karakterlerini
											bizim ifademizle ontogenilerini oldukça geç bir zamana kadar tutuyorlar.
											Allometrik kafatası ontogenisi
											göreceli baş iskeleti büyümesidir.
											Eğer yüzde 80 oranında
											olgunlaşmış bir cassowary
											bulsaydınız, bu hayvanın
											ileride cassowary olabileceğini bilemezdiniz
											aksine bu ikisinin farklı hayvanlar olduğunu düşünürdünüz.
									","
											En 1975,
											soudain quelqu’un a eu une illumination.
											Le Dr. Peter Dodson
											à l'université de Pennsylvanie
											a en fait réalisé
											que les dinosaures grandissaient
											un peu comme les oiseaux,
											ce qui est différent
											de la façon dont les reptiles grandissent.
											Et en fait,
											il a utilisé le casoar comme exemple.
											Et c'est plutôt cool — si vous regardez le casoar,
											ou n'importe quel oiseau avec une crête sur la tête,
											ils grandissent en fait
											jusqu'à 80% de leur taille adulte
											avant que leur crête ne commence à grandir.
											Maintenant réfléchissez à ça.
											Essentiellement, ils conservent leurs caractéristiques juvéniles
											très tardivement dans ce que nous appelons ontogenèse.
											Donc l'ontogenèse crânienne allométrique
											est la croissance relative du crâne.
											Donc vous pouvez voir
											que si vous en trouviez un
											qui avait atteint 80% de sa taille
											et que vous ne saviez pas qu'il allait devenir un casoar en grandissant,
											vous penseriez que ce sont deux animaux différents.
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											Este era el problema
											y Peter Dodson lo identificó
											usando dinosaurios con pico de pato
											llamados hipacrosaurios.
											Y demostró que
											si se estimaba la apariencia
											de forma lineal,
											a partir de un adulto y una cría,
											entonces tendría una cresta
											la mitad de grande que un adulto.
											Pero el subadulto
											al 65%
											no tenía ninguna cresta.
											Esto era interesante.
											Pero aquí
											se volvieron a equivocar.
											Es decir, si hubieran tenido en cuenta
											el trabajo de Peter Dodson y lo hubieran aplicado,
											tendríamos muchos menos dinosaurios
											en la actualidad.
											Pero los científicos tienen ego,
											les gusta poner nombres.
											Y siguieron poniendo nombres
											porque eran dinosaurios diferentes.
									","
											Das war also das Problem,
											und Peter Dodson hat darauf hingewiesen,
											indem er einen Entenschnabel-Saurier heranzog,
											der damals Hypacrosaurus hieß.
											Und er zeigte,
											dass, wenn man ein Baby und einen Ausgewachsenen nimmt,
											und davon den Mittelwert bildet, wie er aussehen sollte,
											wenn er einigermaßen linear wachsen würde,
											hätte er einen Schädelkamm, der
											etwa halb so groß ist wie der eines Erwachsenen.
											Aber der wirkliche Halbwüchsige
											bei 65 %
											hatte überhaupt keinen Kamm.
											Das war also interessant.
											Hier haben sich die
											Leute wieder verirrt.
											Wenn sie das einfach genommen hätten,
											sie hätten Peter Dodsons Arbeit genommen und wären dabei geblieben,
											dann hätten wir heute viel weniger Dinosaurier,
											als wir es tun.
											Aber Wissenschaftler haben Egos;
											sie geben Dingen gern Namen.
											Und so haben sie weiterhin Saurier benannt,
											weil sie anders waren.
									","
											Portanto, isto era um problema,
											e Peter Dodson chamou à atenção para isto,
											usando alguns dinossauros de bico de pato
											então chamados de Hipacrossauros.
											E ele demonstrou que, se se pegasse
num bébé e num adulto,
											e se fizesse uma estimativa
do que se deveria parecer,
											se crescesse de uma forma linear,
											ele teria uma crista
											com cerca de metade do tamanho do adulto.
											Mas o próprio subadulto,
											aos 65%, não teria crista nenhuma.
											Portanto, isto era interessante.
											Então foi aqui
											que as pessoas se perderam outra vez.
											Quero dizer, se elas tivessem
simplesmente aceitado isso,
											aceitado o trabalho de Peter Dodson
e seguido em frente,
											então, nós teríamos
muito menos dinossauros
											do que temos.
											Mas os cientistas têm egos;
											eles gostam de dar nomes às coisas.
											E, assim, eles continuaram a dar nomes
aos dinossauros
											porque eles eram diferentes.
									","
											Bu bir problemdi,
											ve Peter Dodson bu problemi
											ördek gagalı dinozorları kullanarak
											çözdü ve adına da Hypacrosaurus dedi.
											Ve şunu gösterdi:
											Eğer bir bebek ve yetişkin kafatasını ele alırsanız
											ve bunların lineer bir büyüme sürecini takip ettiğini düşünürseniz
											o zaman bu iki kafatasının ortalaması
											yaklaşık olarak
											yetişkin olanın yarısı kadar olmalıydı.
											Fakat gerçekte yüzde 65
											yetişkinlikte olanlarda bile
											bir boynuz yapısı yoktu.
											İlginç bir durumdu.
											Bu, insanların
											tekrar yanlış yola saptığı yerdi.
											Şunu kastediyorum: Eğer insanlar
											Peter Dodson'ın çalışmasını dikkate alsalardı ve onunla yol alsalardı
											şu an sahip olduğumuzdan
											daha az dinozora sahip olurduk.
											Ne var ki bilim adamlarının egoları vardır;
											ve onlar bir şeylere isim vermeyi severler.
											Tabi dinozorlara isim vermeye devam ettiler
											çünkü onları farklı görmüşlerdi.
									","
											Donc c'était un problème,
											et Peter Dodson l'a fait remarquer
											en utilisant certains dinosaures à bec de canard
											alors appelés Hypacrosaurus.
											Et il a montré
											que si vous preniez un bébé et un adulte
											et que vous faisiez une moyenne de ce à quoi il devait ressembler,
											s'il grandissait de façon linéaire
											il aurait une crête
											à peu près la moitié de la taille de celle d'un adulte.
											Mais en réalité, le sub-adulte
											à 65%
											n'a pas de crête du tout.
											Donc, c'était intéressant.
											C'est là
											que les gens ont encore fait fausse route.
											Je veux dire, s'ils avaient juste utilisé ça,
											utilisé le travail de Peter Dodson et l'avaient appliqué,
											alors on aurait bien moins de dinosaures
											que nous n'en avons.
											Mais les scientifiques ont leur amour-propre;
											ils aiment nommer les choses.
											Et donc ils ont continué à nommer des dinosaures
											parce qu'ils étaient différents.
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											Pero existe una forma de comprobar
											si un dinosaurio, o cualquier animal,
											es una cría o un adulto.
											Se hace cortando los huesos.
											Cortar los huesos de un dinosaurio
											es algo difícil, ya les digo,
											porque en los museos
											los huesos son muy valiosos.
											En los museos los cuidan muy bien.
											Los ponen entre espuma, en cajas.
											Los cuidan muy bien.
											No les hace gracia si alguien
											quiere abrirlos para mirar el interior.
											(Risas)
											Así que normalmente no te dan permiso.
											Pero yo tengo un museo
											y colecciono dinosaurios,
											y puedo abrir los míos.
											Y eso es lo que hago.
									","
											Es gibt eine Methode, mit der man testen kann,
											ob ein Dinosaurier, oder ein Tier,
											ein junges oder ein altes Tier ist.
											Man schneidet einfach ihre Knochen auf.
											Aber die Knochen von Sauriern aufzuschneiden,
											ist ziemlich schwer, wie ihr euch vorstellen könnt,
											weil in Museen
											Knochen nämlich wertvoll sind.
											In einem Museum kümmert man sich richtig gut um sie.
											Sie packen sie in Schaumstoff, in kleine Gefäße.
											Man kümmert sich wirklich richtig gut um sie.
											Die mögen es nicht, wenn man ankommt
											und die Knochen aufsägen und reinschauen will.
											(Lachen)
											Normalerweise lassen sie einen das nicht machen.
											Aber ich habe ein Museum
											und ich sammle Dinosaurier
											und ich kann meine aufsägen.
											Also tue ich das.
									","
											Ora, nós temos uma forma
de realmente testar
											para ver se um dinossauro,
ou qualquer animal,
											é um jovem ou um adulto.
											E é, efetivamente, através do corte
dos seus ossos.
											Mas cortar os ossos de um dinossauro
											é difícil de fazer, como podem imaginar,
											porque nos museus
											os ossos são preciosos.
											Vocês vão a um museu
e eles tomam muito bem conta deles.
											Eles põem-nos em espuma,
em pequenos recipientes.
											Eles são muito bem cuidados.
											Eles não gostam que vocês cheguem lá
											e os queiram serrar ao meio
para ver o interior.
											(Risos)
											Portanto, normalmente,
eles não vos deixam fazer isso.
											Mas eu tenho um museu
											e coleciono dinossauros
											e posso serrá-los ao meio.
											Por isso, é o que eu faço.
									","
											Şu anda bir dinozorun
											ya da herhangi bir hayvanın
											genç ya da daha yaşlı olup olmadığını test etme imkanımız var.
											Ve bu açıkçası onların kemiklerini keserek yapılıyor.
											Fakat dinozorların kemiklerini kesmek
											sizin de anlayacağınız üzere oldukça zor
											çünkü müzeler için
											kemikler oldukça kıymetli parçalar.
											Müzeye gidin görün ne kadar itina gösterdiklerine şahit olacaksınız.
											Kemikleri küçük kutuların içinde köpüklerle destekleyerek saklıyorlar.
											Çok özen gösteriyorlar.
											Oraya gidip kemikleri biçerek
											içine bakmak istediğinizde bundan hoşlanmıyorlar.
											(Kahkahalar)
											Normalde onlar bunu yapmanıza izin vermezler.
											Fakat benim bir müzem var
											ve orada bir dinozor koleksiyonum var
											o halde ben de benimkileri kesebilirim.
											Ben de bunu yaptım.
									","
											Nous avons maintenant une façon de tester effectivement
											pour voir si un dinosaure, ou n'importe quel animal
											est un jeune ou un adulte.
											Et c'est en fait en coupant leur os.
											Mais couper dans les os d'un dinosaure
											est difficile à faire, comme vous pouvez l'imaginer,
											parce que dans les musées
											les os sont précieux.
											Vous allez dans un musée et ils prennent vraiment bien soin d'eux.
											Ils les mettent dans de petits contenants en mousse
											On en prend vraiment bien soin.
											Ils n'aiment pas ça si vous venez
											et que vous voulez les scier en deux et regarder à l'intérieur.
											(Rires)
											Donc en général ils ne vous laissent pas faire ça.
											Mais j'ai un musée
											et je collectionne des dinosaures
											et j'ai le droit de scier les miens en deux.
											Donc c'est ce que je fais.
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											(Aplausos)
									","
											(Applaus)
									","
											(Risos) (Aplausos)
									","
											(Alkışlar)
									","
											(Applaudissements)
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											Si abres un hueso de una cría,
											es muy esponjoso, como en A.
											Y si abres el de un adulto,
											es macizo.
											Se ve que es hueso adulto.
											Es muy fácil diferenciarlos.
											Quiero mostrarles
											lo siguiente.
											En las llanuras septentrionales de los EE. UU.
											y en las llanuras meridionales de Alberta y Saskatchewan
											hay una zona llamada formación Hell Creek
											que contiene los últimos dinosaurios que existieron.
											Y hay 12
											que todo el mundo reconoce:
											los 12 principales
											que se extinguieron.
											Y ahora los evaluaremos.
											Eso es lo que yo hago.
											Mis estudiantes, mis trabajadores
											los han abierto.
											Como pueden imaginar,
											abrir un hueso de la pierna es una cosa,
											pero ir a un museo y preguntar:
											""Disculpen, ¿podría abrir
											el cráneo de su dinosaurio?"".
											Te responden: ""Largo de aquí"".
											(Risas)
											Aquí ven 12 dinosaurios.
											Primero analizaremos estos tres.
									","
											Wenn man nun einen kleinen Saurier aufschneidet,
											ist es innendrin schwammartig wie in A.
											Wenn man einen alten Saurier aufschneidet,
											ist es sehr massiv.
											Man kann sehen, dass es erwachsener Knochen ist.
											Sie sind also sehr einfach zu unterscheiden.
											Deshalb will ich euch
											diese zeigen.
											In Nordamerika, im nördlichen Hochland der USA
											und im südlichen Hochland von Alberta und Saskatchewan,
											gibt es diese Steinformation namens Hell Creek Formation,
											die die letzten Saurier zu Tage fördert, die je auf der Erde gelebt haben.
											Es sind zwölf Arten,
											die jeder anerkennt –
											ich meine die zwölf wichtigsten Saurierarten,
											die ausgestorben sind.
											Also werden wir diese begutachten.
											Das ist in etwa was ich getan habe.
											Ebenso meine Studenten, meine Mitarbeiter,
											wir haben sie aufgeschnitten.
											Wie ihr euch vorstellen könnt,
											ist es eine Sache, einen Beinknochen aufzuschneiden,
											aber wenn man in ein Museum geht
											und sagt, ""Es stört Sie doch nicht, wenn ich
											Ihren Saurierschädel aufsäge, oder?""
											dann sagen die, ""Hau ab.""
											(Lachen)
											Es gibt also zwölf Dinosaurier.
											Und wir wollen uns zunächst diese drei anschauen.
									","
											Portanto, se cortarem ao meio
um pequeno dinossauro,
											é muito esponjoso por dentro,
como em A.
											E se cortarem um dinossauro mais velho,
											é muito maciço.
											Percebe-se que é um osso maduro.
											Portanto, é realmente fácil distingui-los.
											Por isso, o que quero fazer
											é mostrar-vos estes.
											Na América do Norte,
nas planícies do norte dos EUA
											e nas planícies do sul de Alberta
e de Saskatchewan,
											há uma formação rochosa
chamada Hell Creek Formation
											que produz os últimos dinossauros
que viveram na Terra.
											E há 12 deles
											que todos reconhecem
											— estou a referir-me
aos 12 dinossauros primários
											que se tornaram extintos.
											E portanto, vamos avaliá-los.
											E é mais ou menos isso
o que tenho estado a fazer.
											Então, os meus alunos, o meu pessoal,
											temos estado a cortá-los ao meio.
											Agora, como podem imaginar,
											cortar ao meio uma perna é uma coisa,
											mas quando se vai a um museu
e se diz:
											""Não se importam que eu corte ao meio
											""o vosso crânio de dinossauro, pois não?"",
											eles dizem: ""Vá-se embora.""
											(Risos)
											Então, aqui estão 12 dinossauros.
											E queremos olhar primeiro para estes três.
									","
											Eğer küçük bir dinozorun kemiğinin kesitine bakarsanız
											Şekil-A'da gösterilen süngerimsi bir yapıyla karşılaşırsınız.
											Eğer daha yaşlı bir dinozorunkine bakarsanız
											Daha yoğun bir dokuya sahip olduğunu görürsünüz.
											Bunun olgun bir kemik yapısı olduğunu söyleyebilirsiniz.
											Yani bu ikisini ayırd etmek oldukça kolay.
											Şimdi sizlere
											şunları göstermek istiyorum.
											Kuzey Amerika'da, ABD'nin kuzeydeki ovalarında,
											Alberta ve Saskatchewan vilayetlerinin güneydeki ovalarında
											Cehennem Deresi Oluşumu adı verilen
											ve yeryüzünde yaşamış son dinozorları barındıran kayalar var.
											Ve bunlardan 12 tanesi
											herkesin tanıdığı —
											yok olmuş 12 temel
											dinozoru kastediyorum.
											Biz bunları değerlendireceğiz.
											Bu benim yapmakta olduğum şey.
											Öğrencilerim ve personelimle
											bunları kesip içlerine bakıyoruz.
											Tahmin edeceğiniz üzere
											bir bacak kemiğine kesik açmak kolay
											fakat bir müzeye gidip
											""Dinozorunuzun kemiğine bir kesik açsam
											sorun olur mu?"" diye sorsanız
											size ""Git buradan!"" derler.
											(Kahkahalar)
											Evet burada bahsettiğim 12 dinozor var.
											Şu üç dizonora baktığımızda
									","
											Donc si vous sciez en deux un petit dinosaure,
											c'est très spongieux à l'intérieur comme A.
											Et si vous sciez en deux un dinosaure plus vieux,
											c'est vraiment énorme.
											Vous pouvez voir que c'est un os mature.
											Donc c'est vraiment facile de les différencier.
											Donc ce que je voudrais faire
											c'est vous montrer ceux-là.
											En Amérique du Nord, dans les Plaines du Nord des Etats-Unis
											et dans les Plaines du Sud d'Alberta et Saskatchewan,
											il y'a cette formation rocheuse appelée la formation de Hell Creek
											qui renferme les derniers dinosaures ayant vécu sur terre.
											Et il y en a 12
											que tout le monde reconnait —
											je veux dire 12 dinosaures primaires
											qui ont disparu.
											Et donc nous allons les évaluer.
											Et c'est un peu ce que j'ai fait.
											Donc mes étudiants, mon équipe,
											on les a coupés en deux.
											Bon, comme vous pouvez l'imaginer,
											découper un tibia est une chose,
											mais quand vous allez dans un musée
											et que vous dites, « Ca ne vous dérange pas si je découpe
											le crâne de votre dinosaure, n'est-ce pas ? »
											ils vous répondent, « Allez-vous en. »
											(Rires)
											Donc on a 12 dinosaures.
											Et on veut d'abord jeter un coup d'œil à ces trois-là.
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
											Estos dinosaurios se llaman paquicefalosaurios.
											Todo el mundo sabe
											que estos tres están emparentados.
											La suposición es
											que están emparentados
											como primos o algo así.
											Pero a nadie se le ocurrió
											que puedan estar más emparentados.
											Es decir,
											que cuando los observaron, vieron las diferencias.
											Pero todos saben,
											que si quieren establecer si alguien
											está emparentado con su hermano,
											no se pueden observar las diferencias.
											Solo se puede determinar el grado de parecido
											observando las similitudes.
									","
											Diese Saurier heißen Pachycephalosauridae
											Und jeder weiß,
											dass diese drei Tiere verwandt sind.
											Und die Annahme ist,
											dass sie zueinander
											wie Cousins sind oder so ähnlich.
											Aber niemand kam je auf die Idee,
											dass sie vielleicht näher verwandt sein könnten.
											Mit anderen Worten,
											die Leute schauten sie an und sahen die Unterschiede.
											Und ihr alle wisst, dass
											wenn ihr herausfinden wollt,
											ob ihr mit eurem Bruder oder eurer Schwester verwandt seid,
											dann kann man nicht nach den Unterschieden schauen.
											Man kann Verwandtschaft nur feststellen,
											indem man die Gemeinsamkeiten betrachtet.
									","
											Então, estes são os dinossauros
chamados Paquicéfalossauros.
											E todos sabem
											que estes três animais são aparentados.
											E a suposição
é que eles são aparentados,
											como primos ou qualquer coisa.
											Mas ninguém alguma vez considerou
											que eles pudessem estar
mais intimamente ligados.
											Por outras palavras,
											as pessoas olhavam-nos
e viam as diferenças.
											E todos vocês sabem
											que se forem determinar
											se são aparentados ou não
com o vosso irmão ou irmã,
											não o podem fazer
olhando para as diferenças.
											Vocês só conseguem determinar
o grau de parentesco
											olhando para as semelhanças.
									","
											bunların Pachycephalosaurs diye isimlendirilen dinozorlar olduklarını görüyoruz.
											Herkes bu üç
											hayvanın arasında bir ilişki olduğunu bilir.
											Varsayım, bunların
											kuzen şeklinde ya da bir başka şekilde
											bir ilişkisi olduğunu düşünmek yönündedir.
											Fakat hemen hiç kimse
											bunların daha yakın ilişkili olabileceğini düşünmedi.
											Başka bir ifadeyle,
											insanlar bunlara baktılar ve farklılıklarını gördüler.
											Hepinizin bildiği gibi
											eğer kız kardeşiniz ya da erkek kardeşinizle
											olan akrabalık ilişkinizi belirleyecekseniz
											farklılıklara bakarak bunu yapamazsınız.
											Aradaki ilişkiyi sadece
											benzerliklere bakarak belirleyebilirsiniz.
									","
											donc ce sont des dinosaures qu'on appelle Pachycéphalosaures.
											Et tout le monde sait
											que ces trois animaux sont apparentés.
											Et on assume
											qu'ils sont apparentés
											comme des cousins ou un truc comme ça.
											Mais personne n'a jamais considéré
											qu'ils pouvaient être encore plus proche.
											En d'autres termes,
											les gens les ont regardés et ils ont vu les différences.
											Et vous savez tous
											que si vous voulez déterminer
											si vous êtes apparentés à votre frère ou votre sœur,
											vous ne pouvez pas le faire en cherchant les différences.
											Vous pouvez seulement déterminer le degré de parenté
											en recherchant les similarités.
									",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
"
","
","
","
","
",Where are the baby dinosaurs?,Jack Horner,18:23,"TEDx,biology,dinosaurs,paleontology,science,history,animals,humor"
