de,en,es,pt,fr,title,speaker,duration,tags
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Ohne Zweifel leben wir 
in einer globalisierten Welt
											und die Medien haben sich 
relativ langsam daran angepasst.
											Unsere Berichte sind 
immer öfter transnational.
											Riesige Konzerne agieren global.
											Umwelt- und Gesundheitskrisen sind global,
											ebenso wie Finanzkrisen.
											Daher scheint es erstaunlich, 
dass die Presse so spät dran ist,
											darüber auf globaler Ebene zu berichten.
											Es erstaunt auch, dass der
Journalismus so langsam darin ist,
											sich an die Möglichkeiten, die
Technologie bietet, anzupassen,
											anstatt davor Angst zu haben.
											Der Grund, warum Journalisten
Technologie meiden, ist folgender:
											Die größten Firmen in diesem Berufsfeld
machen schwere Zeiten durch,
											da der Endverbraucher neue Wege findet,
um an Nachrichten zu kommen.
											Das Werbegeschäft, 
das Reportagen bezahlte, ist kaputt.
											Das hat den Journalismus 
in eine Krise geführt,
											die diese Institutionen 
zur Selbstreflektion zwang.
									","
											But there's no doubt
that we live in a shrinking world,
											and that the media has largely
been slow to wake up to this.
											The issues we report on
are more and more transnational.
											Giant corporations operate
on a global level.
											Environmental and health
crises are global.
											So, too, are financial flows
and financial crises.
											So it seems staggering
that journalism has been so late
											to cover stories in a truly global way.
											And it also seems staggering
that journalism has been so slow
											to wake up to the possibilities
that technology brings,
											rather than being frightened of it.
											The reason journalists
are scared of technology is this:
											the profession's largest institutions
are going through tough times
											because of the changing way
that people are consuming news.
											The advertising business models
that have sustained reporting are broken.
											And this has plunged
journalism into crisis,
											forcing those institutions
to reexamine how they function.
									","
											Pero no cabe duda que vivimos
en un mundo cada vez más pequeño
											y a los medios hacen frente
a esta realidad a un ritmo muy lento.
											Los temas que informamos
son cada vez más transnacionales.
											Las grandes corporaciones
operan a nivel mundial.
											Las crisis ambiental
y sanitaria son globales.
											Y también lo son los flujos
de dinero y las crisis financieros.
											Parece asombroso que el periodismo
haya llegado tan tarde
											a cubrir historias de una manera
verdaderamente global.
											Y también parece asombroso
que el periodismo se haya demorado tanto
											en explotar las posibilidades
que ofrece la tecnología,
											en vez de temerlas.
											Los periodistas le temen
a la tecnología por esto:
											las principales instituciones
de la profesión pasan tiempos difíciles
											debido al continuo cambio
del patrón del consumo
											de los contenidos informativos.
											El modelo del antiguo sistema
publicitario se ha deteriorado.
											Lo que ha precipitado
la crisis periodística
											y obligando a las instituciones
a reexaminar su funcionamiento.
									","
											Mas sem dúvida, vivemos
num mundo que está a encolher,
											e os ""media"" têm sido muito lentos
a aperceber-se disso.
											Os problemas que relatamos
são cada vez mais transnacionais.
											As gigantescas empresas
funcionam à escala mundial.
											As crises do ambiente
e da saúde são mundiais.
											O mesmo acontece com os fluxos
e as crises financeiras.
											Por isso, é espantoso
que o jornalismo esteja tão atrasado
											a fazer a cobertura de notícias
de modo global.
											Também é espantoso
que o jornalismo esteja tão atrasado
											a acordar para as possibilidades
que a tecnologia proporciona,
											em vez de se sentir assustado com ela.
											Os jornalistas têm medo da tecnologia
											porque as grandes instituições da profissão
atravessam tempos difíceis
											por causa da forma diferente
como as pessoas consomem as notícias.
											Os modelos da publicidade
deixaram de financiar as reportagens.
											Isso mergulhou o jornalismo numa crise,
											forçando essas instituições
a repensar como funcionam.
									","
											Sans aucun doute,
nous vivons dans un monde qui se réduit
											et les médias ont mis du temps
à s'en rendre compte.
											Les problèmes évoqués
sont de plus en plus transnationaux.
											Les grandes entreprises opèrent
à l'échelle mondiale.
											Les crises environnementales
et de santé sont mondiales.
											C'en est de même pour les flux 
et les crises financiers.
											Il est stupéfiant
que le journalisme ait mis tant de temps
											à couvrir les nouvelles
d'une façon mondiale.
											Il est également stupéfiant
que le journalisme ait été si lent
											à se rendre compte des possibilités
offertes par la technologie,
											au lieu de les trouver effrayantes.
											Les journalistes ont peur
de la technologie pour cette raison :
											les grandes institutions de la profession
traversent des moments difficiles
											à cause du changement d'habitudes
dans la consommation d'informations.
											Les modèles économiques de publicité
ne financent plus les reportages.
											Cela a plongé le journalisme
dans une crise,
											forçant ces institutions
à repenser leur fonctionnement.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Aber wo eine Krise herrscht,
											da gibt es auch neue Chancen.
											Die erste Herausforderung
											bei den später als ""Panama Papers""
bezeichneten Dokumenten war,
											diese abrufbar und lesbar zu machen.
											Da waren beinahe 5 Millionen E-Mails,
											2 Millionen PDF-Dateien, die gescannt
und nummeriert werden mussten,
											Millionen mehr Dateien und
andere Arten von Dokumenten.
											Sie mussten alle an einem sicheren Ort
in der Cloud gespiechert werden.
											Dann kamen Journalisten und 
warfen einen Blick auf die Dokumente.
											Insgesamt waren mehr als 100 Reporter
diverser Medienunternehmen
											aus 76 Ländern vertreten —
											von der BBC aus England
											über Le Monde aus Frankreich
											bis hin zu Asahi Shimbun aus Japan.
											Wir nannten es ""einheimische Augen 
auf einheimischen Namen"",
											denn wer eignet sich besser für Nigeria
											als ein nigerianischer Journalist?
											Wer ist in Kanada geeigneter
als ein Kanadier?
											Es gab nur zwei Regeln für alle,
die eingeladen waren:
											Wir einigten uns darauf, dass wir alles 
Gefundene mit allen anderen teilen
											und am selben Tag veröffentlichen würden.
									","
											But where there is crisis,
											there is also opportunity.
											The first challenge presented
											by what would eventually become
known as the Panama Papers
											was to make the documents
searchable and readable.
											There were nearly five million emails,
											two million PDFs that needed
to be scanned and indexed,
											and millions more files
and other kinds of documents.
											They all needed to be housed
in a safe and secure location
											in the cloud.
											We next invited reporters
to have a look at the documents.
											In all, reporters from more
than 100 media organizations
											in 76 countries —
											from the BBC in Britain
											to Le Monde newspaper in France
											to the Asahi Shimbun in Japan.
											""Native eyes on native names,""
we called it, the idea being,
											who best to tell you
who was important to Nigeria
											than a Nigerian journalist?
											Who best in Canada than a Canadian?
											There were only two rules
for everyone who was invited:
											we all agreed to share everything
that we found with everybody else,
											and we all agreed to publish
together on the same day.
									","
											Pero donde hay crisis,
											también hay oportunidad.
											El desafío del primer caso
											que llegó a conocerse
como los Documentos de Panamá
											fue hacer que los documentos
sean de fácil acceso.
											Se trataba de cerca de cinco millones
de correos electrónicos,
											dos millones de archivos PDF
por escanear e indexar
											y millones más de archivos
y otros tipos de documentos.
											Todos necesitaban archivarse
en un lugar seguro y protegido
											en la nube.
											Luego invitamos a los periodistas
a echar un vistazo a los documentos.
											En total, periodistas de más de 100
organizaciones de 76 países
											desde la BBC en Gran Bretaña
											o el diario Le Monde en Francia
											hasta el Asahi Shimbun en Japón.
											""Mirada nativa a los nombres nativos""
lo llamamos, y la idea era:
											¿quién mejor para contar
lo importante para Nigeria
											que un periodista nigeriano?
											¿Quién mejor en Canadá que un canadiense?
											Solo había dos reglas
para todos los invitados:
											Todos estuvimos de acuerdo en compartir
lo que encontramos con todos los demás,
											y todos estuvimos de acuerdo
con publicarlo juntos el mismo día.
									","
											Mas, onde há uma crise,
											também há oportunidades.
											O primeiro desafio apresentado
											por aquilo a que se chamou
os Documentos do Panamá
											foi tornar esses documentos
passíveis de investigação e legíveis.
											Havia quase cinco milhões de emails,
											dois milhões de PDFs que precisavam
de ser digitalizados e indexados.
											e milhões de outros ficheiros
e outros tipos de documentos.
											Todos eles precisavam de ser
guardados num local seguro
											na nuvem.
											A seguir convidámos repórteres
para observar os documentos.
											Ao todo, repórteres de mais
de 100 organizações dos ""media"",
											de 76 países
											— desde a BBC, na Grã-Bretanha,
											ao jornal Le Monde, em França,
											ao Asahi Shimbun, no Japão.
											""Olhos nativos sobre nomes nativos"",
foi como lhes chamámos.
											A ideia era, quem melhor saberia
o que era importante para a Nigéria
											do que um jornalista nigeriano?
											Quem melhor no Canadá
do que um canadiano?
											Só havia duas regras
para todos os que foram convidados:
											todos acordámos em partilhar tudo
que encontrássemos, com todos os outros
											e todos acordámos em publicar
juntos, no mesmo dia.
									","
											Mais où il y a une crise,
											il y a une opportunité.
											Le premier défi qu'a présenté
											ce qui serait ensuite connu
comme les Panama Papers
											a été de rendre les documents
consultables et lisibles.
											Il y avait près de 5
millions de courriels,
											2 millions de PDF devant être
scannés et indexés,
											et des millions d'autres fichiers.
											Ils devaient tous être stockés
de façon sûre et sécurisée
											sur internet.
											Nous avons ensuite invité des reporters
à jeter un œil aux documents.
											En tout, des reporters de plus
de 100 organisations
											venant de 76 pays —
											de la BBC
											au Monde,
											à Asashi Shimbun, au Japon.
											« Des yeux autochtones
sur des noms d'autochtones »,
											L'idée étant :
											qui mieux qu'un journaliste nigérian
pouvait vous dire
											ce qui était important au Nigeria ?
											Et qu'un Canadien pour le Canada ?
											Il n'y avait que deux règles
pour tous les invités :
											nous étions tous d'accord de partager
toute découverte avec les autres
											et nous allions tous publier cela
le même jour.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Die Medienpartner wählten wir
											auf Vertrauensbasis aus, die auf
voriger Zusammenarbeit beruhte,
											und sich aus Hinweisen 
aus den Dokumenten ergab.
											Über die nächsten Monate
											schlossen sich meiner 20 Mann starken
gemeinnütizgen Gruppe
											350 weitere Reporter an, die 25
verschiedene Sprachen sprechen.
											Das größte Informationsleck der Geschichte
											hatte nun zur größten Zusammenarbeit
von Journalisten aller Zeiten geführt:
											376 Augenpaare, die etwas tun,
das Journalisten nie tun,
											Schulter an Schulter arbeiten,
											Daten austauschen,
											aber keinem davon erzählen.
											Denn dann wurde klar,
											um den größten Pressewirbel zu machen,
											mussten wir zuerst
größtes Stillschweigen bewahren.
									","
											We chose our media partners based on trust
											that had been built up through
previous smaller collaborations
											and also from leads
that jumped out from the documents.
											Over the next few months,
											my small nonprofit organization
of less than 20 people
											was joined by more than 350 other
reporters from 25 language groups.
											The biggest information leak in history
											had now spawned the biggest
journalism collaboration in history:
											376 sets of native eyes doing
what journalists normally never do,
											working shoulder to shoulder,
											sharing information,
											but telling no one.
											For it became clear at this point
											that in order to make
the biggest kind of noise,
											we first needed
the biggest kind of silence.
									","
											Elegimos a nuestros compañeros
porque confiábamos en ellos
											en base a pequeñas colaboraciones previas
											y también por las pistas proporcionadas
en los documentos mismos.
											En pocos meses,
											mi pequeña organización sin fines
de lucro de menos de 20 personas
											se completo con otros 350 periodistas
que hablaban 25 otros idiomas.
											La mayor filtración de información
de la historia generó
											la mayor colaboración
periodística de la historia
											donde 376 periodistas hicieron
lo que que normalmente no hacen:
											trabajar hombro con hombro
											y compartir información
											pero sin contarla a nadie.
											A estas alturas, quedó muy claro
											que para hacer el mayor ruido,
											primero necesitábamos
guardar el mayor silencio.
									","
											Escolhemos os nossos parceiros
dos ""media"", com base na confiança
											criada em anteriores colaborações menores
											e também de acordo com pistas
que ressaltaram dos documentos.
											Durante os meses seguintes,
											juntaram-se mais de 350 repórteres
de 25 grupos linguísticos
											à minha pequena organização não lucrativa
com menos de 20 pessoas.
											A maior fuga de informações da história
											tinha gerado a maior colaboração
jornalística da história.
											Eram 376 olhos nativos a fazer o que
os jornalistas normalmente não fazem,
											a trabalhar lado a lado,
											a partilhar informações,
											sem dizer nada a ninguém.
											Porque ficou claro, nesta fase,
											que, para provocar o maior alvoroço,
											precisávamos primeiro
de manter o maior silêncio.
									","
											Nos associés ont été choisis
selon la confiance
											qui s'était construite à travers
des collaborations précédentes
											et aussi les pistes
qui surgissaient des documents.
											Durant quelques mois,
											ma petite organisation
de moins de 20 personnes
											a été rejointe par plus de 350 autres
reporters de 25 groupes linguistiques.
											La plus grande fuite de l'histoire
											a engendré la plus grande collaboration
journalistique de l'histoire :
											376 paires d'yeux d'autochtones
faisant du travail de journalistes,
											travaillant côte à côte,
											partageant des informations
											mais n'en parlant à personne.
											A ce moment-là, il était clair
											que pour faire le plus de bruit possible,
											nous avions d'abord besoin
du plus grand silence.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Um dieses Projekt über
mehrere Monate zu leiten,
											errichteten wir ein 
virtuelles Nachrichtenzentrum.
											Wir verschlüsselten unsere Kommunikation
											und bauten unsere eigene Suchmaschine.
											Im virtuellen Nachrichtenzentrum
											trafen sich die Journalisten zu Themen,
											die aus den Dokumenten hervorgingen.
											Jene, die sich für die Diamantenmafia 
oder exotische Kunst interessierten,
											teilten Informationen, wie die 
Offshore-Welt genutzt wurde,
											um in diesen Märkten zu handeln.
											Die sich für Sport interessierten,
											konnten Infos darüber austauschen,
wie bekannte Sportstars
											ihre Bildrechte in
Offshore-Firmen parkten,
											um dabei in Ländern Steuern zu meiden,
											wo sie geschäftlich tätig waren.
									","
											To manage the project
over the many months it would take,
											we built a secure virtual newsroom.
											We used encrypted communication systems,
											and we built a specially
designed search engine.
											Inside the virtual newsroom,
											the reporters could gather
around the themes
											that were emerging from the documents.
											Those interested in blood diamonds
or exotic art, for instance,
											could share information about how
the offshore world was being used
											to hide the trade in both
of those commodities.
											Those interested in sport
could share information
											about how famous sports stars
were putting their image rights
											into offshore companies,
											thereby likely avoiding taxes
											in the countries
where they plied their trade.
									","
											Para gestionar el proyecto durante
los muchos meses que demoraría,
											construimos una sala
de prensa virtual segura.
											Usamos sistemas de
comunicaciones cifradas
											y construimos un motor de búsqueda
diseñado especialmente.
											Dentro de esta sala, los periodistas
podían reunirse en torno
											a los temas que estaban surgiendo
a partir de los documentos.
											Los interesados en el tráfico de diamantes
de sangre o arte exótico, por ejemplo,
											podían compartir información
de cómo se usaban los paraísos fiscales
											para ocultar el comercio
de estos dos bienes.
											Los interesados ​​en el deporte
podían compartir información
											sobre las estrellas deportistas
que cedían sus derechos de imagen
											a las sociedades offshore,
											y así poder probablemente
evadir pagar impuestos
											en los países donde ejercían su oficio.
									","
											Para gerir o projeto
que iria demorar muitos meses,
											construímos uma sala
de redação virtual segura.
											Usámos sistemas de comunicação codificada,
											e construímos um motor de busca
especialmente concebido.
											Nessa redação virtual,
											os repórteres podiam reunir-se
em volta de temas
											que iam surgindo dos documentos.
											Os interessados em diamantes de sangue
ou arte exótica, por exemplo,
											podiam partilhar informações sobre como
funcionava o mundo dos paraísos fiscais
											para esconder o tráfico
dessas duas mercadorias.
											Os interessados em desporto
partilhavam informações
											sobre estrelas do desporto
que punham os seus direitos de imagem
											em empresas dos paraísos fiscais,
											fugindo assim aos impostos
											nos países em que exerciam o seu negócio.
									","
											Pour gérer le projet pendant des mois,
											nous avons créé
une salle virtuelle sécurisée,
											avons utilisé des systèmes
de communication cryptés
											et créé un moteur de recherche
spécialement conçu.
											Dans la salle virtuelle,
											les reporters se réunissaient
autour des sujets
											qui émergeaient des documents.
											Ceux intéressés par les diamants de guerre
ou l'art exotique, par exemple,
											partageaient des informations
sur l'utilisation du monde offshore
											pour dissimuler le commerce
de ces marchandises.
											Ceux intéressés par le sport
partageaient des informations
											sur le placement des droits d'image
des sportifs célèbres
											dans des entreprises offshore,
											évitant ainsi les impôts
											dans les pays
où ils concluaient leurs affaires.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Aber das Aufregendste von allem war
											die Anzahl von 
Regierungschefs und Politikern,
											die in diesen Daten eine Rolle spielten —
											wie Petro Poroschenko aus der Ukraine,
											enge Mitarbeiter Putins aus Russland
											und der britische Premierminister,
David Cameron, der durch seinen Vater,
											Ian Cameron, verwickelt war.
									","
											But perhaps most exciting of all
											were the number of world leaders
and elect politicians
											that were emerging from the documents —
											figures like Petro Poroshenko in Ukraine,
											close associates
of Vladimir Putin in Russia
											and the British Prime Minister,
David Cameron, who is linked
											through his late father, Ian Cameron.
									","
											Pero quizá la más importante de todo
											fue la cantidad de líderes mundiales
y políticos electos
											que aparecieron en los documentos...
											figuras como Petro Poroshenko en Ucrania,
											asociados cercanos
de Vladimir Putin en Rusia
											y el primer ministro británico,
David Cameron, que está vinculado
											con su difunto padre, Ian Cameron.
									","
											Mas talvez o mais empolgante de tudo
											foi o número de líderes mundiais
e políticos eleitos
											que estavam a aparecer nos documentos
											— personagens
como Petro Poroshenko da Ucrânia,
											colaboradores de Vladimir Putin, da Rússia
											e o primeiro-ministro britânico,
David Cameron,
											que está ligado através
do falecido pai, Ian Cameron.
									","
											Mais peut-être le plus excitant
											était le nombre de dirigeants mondiaux
et de politiciens élus
											qui émergeaient de ces documents —
											des personnes telles que
Petro Poroshenko en Ukraine,
											de proches associés
de Vladimir Poutine en Russie
											et le Premier Ministre britannique,
David Cameron, qui y est lié
											à travers feu son père, Ian Cameron.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Verborgen in diesen Dokumenten
waren geheime Offshore-Firmen,
											wie Wintris Inc.,
											eine Firma von den
Britischen Jungferninseln,
											die dem damals regierenden
isländischen Premierminister gehörte.
											Ich spreche gerne
von Johannes Kristjansson,
											dem isländischen Reporter,
den wir ins Projekt beriefen,
											als dem einsamsten Mann der Welt.
											Neun Monate lang lehnte er
jede Bezahlung ab
											und kam mit dem Gehalt seiner Frau klar.
											Er verdunkelte die Fenster seines Hauses,
											um spionierende Augen während des 
langen isländischen Winters zu meiden.
											Ihm gingen recht bald die Ausreden aus, 
um die vielen Abwesenheiten zu erklären,
											als er mit roten Augen,
											Nacht um Nacht,
											Monat um Monat, arbeitete.
											In all der Zeit saß er auf Informationen,
											die später den Sturz des Regierungschefs
seines Landes verursachen würden.
									","
											Buried in the documents
were secret offshore entities,
											such as Wintris Inc.,
											a company in the British Virgin Islands
											that had actually belonged
to the sitting Icelandic prime minister.
											I like to refer to Johannes Kristjansson,
											the Icelandic reporter
we invited to join the project,
											as the loneliest man in the world.
											For nine months, he refused paid work
											and lived off the earnings of his wife.
											He pasted tarps
over the windows of his home
											to prevent prying eyes
during the long Icelandic winter.
											And he soon ran out of excuses
to explain his many absences,
											as he worked red-eyed,
											night after night,
											month after month.
											In all that time, he sat on information
											that would eventually bring down
the leader of his country.
									","
											Enterradas en los documentos había
entidades secretas en el extranjero,
											como Wintris Inc.,
											una empresa en las Islas
Vírgenes Británicas
											que en realidad había pertenecido
al primer ministro islandés en ejercicio.
											Me gusta hacer referencia
a Johannes Kristjánsson,
											el periodista islandés que invitamos
a participar en el proyecto,
											como el hombre más solitario del mundo.
											Durante nueve meses,
rechazó el trabajo remunerado
											y vivió de las ganancias de su esposa.
											Pegó lonas en las ventanas de su casa
											para evitar miradas indiscretas
durante el largo invierno islandés.
											Y pronto se quedó sin excusas
para explicar sus ausencias,
											cansando su vista noche tras noche
conforme trabajaba mes tras mes.
											En todo ese tiempo,
analizó la información
											que eventualmente derribaría
el líder de su país.
									","
											Enterradas nos documentos
havia entidades ""offshore"" secretas,
											como a Wintris Inc.,
											uma empresa nas Ilhas Virgínias britânicas
											que pertencera ao primeiro-ministro
islandês, em exercício.
											Quero referir Johannes Kristjansson,
											o repórter islandês que convidámos
a participar no projeto,
											como o homem mais solitário do mundo.
											Durante nove meses,
recusou-se a ganhar dinheiro
											e viveu dos rendimentos da mulher.
											Colocou lonas nas janelas da sua casa
											para evitar olhos curiosos
durante o longo inverno islandês.
											E em breve deixou de ter desculpas
para explicar as suas muitas ausências
											enquanto trabalhava,
com os olhos vermelhos,
											noite após noite,
											mês após mês,
											Durante todo esse tempo,
dedicou-se às informações
											que acabariam por derrubar
o líder do seu país.
									","
											Des entités offshores secrètes
étaient enfouies dans ces documents,
											par exemple Wintris Inc.,
											une entreprise
des Îles Vierges britanniques
											qui appartenait au Premier Ministre
islandais en poste.
											J'aime faire référence
à Johannes Kristjansson,
											le reporter islandais
invité à rejoindre le projet,
											comme l'homme le plus seul au monde.
											Pendant neuf mois,
il a refusé un poste rémunéré
											et a vécu sur le salaire de sa femme.
											Il avait bâché les fenêtres de sa maison
											pour éviter les curieux
tout au long de l'hiver islandais.
											Il a vite manqué d'excuses
pour expliquer ses nombreuses absences,
											alors qu'il travaillait, les yeux rougis,
											nuit après nuit,
											mois après mois.
											Tout ce temps, il a caché les informations
											qui finiraient par faire tomber
le dirigeant de son pays.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Wenn Sie ein Journalist wären
und eine Entdeckung machten,
											die Ihren Staatschef mit
einer geheimen Firma verbindet,
											und diese Firma finanzielle Beteiligungen
an isländischen Banken hat —
											was der Grund war, 
warum er die Wahl gewann —
											da würden Sie laut aufschreien.
											Stattdessen entwickelten Johannes
und ich — als einer der wenigen,
											mit dem er sprechen konnte —
einen gewissen Galgenhumor.
											""Wintris kommt"", pflegte er zu sagen.
									","
											Now, when you're an investigative reporter
and you make an amazing discovery,
											such as your prime minster can be linked
to a secret offshore company,
											that that company has a financial
interest in Icelandic banks —
											the very issue he's been elected on —
											well, your instinct
is to scream out very loud.
											Instead, as one of the few people
that he could speak to,
											Johannes and I shared
a kind of gallows humor.
											""Wintris is coming,"" he used to say.
									","
											Pero si uno es periodista de investigación
y descubre algo sorprendente,
											como que el primer ministro puede estar
vinculado a una empresa offshore secreta,
											que esa empresa tiene un interés
financiero en los bancos islandeses
											— el verdadero tema que había elegido —
											bueno, uno quiere gritarlo
a los cuatro vientos.
											En lugar de ello, como una de las
pocas personas con las que podía hablar,
											Johannes y yo compartimos
una especie de humor negro.
											""Wintris está llegando"", solía decir.
									","
											Quando um repórter de investigação
faz uma descoberta espantosa,
											como poder relacionar o primeiro-ministro
com uma empresa ""offshore"" secreta,
											uma empresa que tem interesse financeiros
em bancos islandeses
											— a verdadeira questão
por que ele foi eleito —
											o instinto desse jornalista
é gritar alto e bom som.
											Em vez disso, como uma das poucas pessoas
com quem ele podia falar,
											Johannes e eu partilhávamos
uma espécie de humor negro.
											Ele costumava dizer: 
""Vem aí o Wintris"".
									","
											Quand un reporter d'investigation
fait une découverte extraordinaire,
											par exemple que votre Premier Ministre
est lié à une entreprise offshore secrète,
											que cette entreprise a un intérêt
financier dans les banques islandaises —
											sujet sur lequel il a basé sa campagne —
											son instinct est de hurler
à pleins poumons.
											Au lieu de cela, étant l'un des rares
à qui il pouvait parler,
											Johannes et moi partagions un humour noir.
											« Wintris is coming », disait-il.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											(Applaus)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Wir waren große ""Game of Thrones""-Fans.
									","
											We were big fans of ""Game of Thrones.""
									","
											Éramos grandes seguidores
de ""Juego de Tronos"".
									","
											Éramos grandes fãs
de ""A Guerra dos Tronos"".
									","
											Nous étions fans de Games of Thrones.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Wenn Journalisten wie Johannes
aufschreien wollten,
											taten sie das im
virtuellen Nachrichtenzentrum.
											Sie wandelten diese 
Schreie in Reportagen um,
											in denen sie über die Dokumente hinaus
an Gerichtsakten gingen,
											offizielle Firmenregister nutzten,
											und am Schluss Fragen an jene stellten,
die wir bei Namen nennen wollten.
											Die Panama Papers
erlaubten den Journalisten,
											die Welt durch eine andere
Linse zu betrachten als Sie und ich.
									","
											When reporters like Johannes
wanted to scream,
											they did so inside the virtual newsroom,
											and then they turned
those screams into stories
											by going outside the documents
to court records,
											official company registers,
											and by eventually putting questions
to those that we intended to name.
											Panama Papers actually allowed
the reporters to look at the world
											through a different lens
from everybody else.
									","
											Cuando los periodistas como
Johannes querían gritar,
											lo hacían dentro de la sala
de prensa virtual,
											y luego transformaban
esos gritos en historias
											pasando de los documentos
a registros de la corte,
											registros oficiales de la compañía,
											y, finalmente, formulando preguntas
a los que nos propusimos nombrar.
											Los Documentos de Panamá le permitieron
a los periodistas mirar el mundo
											con una lente diferente
de todos los demás.
									","
											Quando repórteres como Johannes
queriam gritar,
											faziam-no na sala de redação virtual,
											depois transformavam
esses gritos em notícias
											passando dos documentos
para registos dos tribunais,
											registos oficiais das empresas
											e acabando por fazer perguntas
aos que tencionavam referir.
											Os Documentos do Panamá permitiram
que os repórteres olhassem para o mundo
											através de lentes diferentes
de todas as outras pessoas.
									","
											Quand des reporters comme Johannes
voulaient hurler,
											ils le faisaient dans la salle virtuelle
											et transformaient ces hurlements
en histoires
											en allant au-delà des documents :
des dossiers judiciaires,
											des registres officiels des entreprises,
											et finalement en questionnant
ceux que nous comptions nommer.
											Les Panama Papers ont permis
aux reporters d'observer le monde
											d'un œil différent de tous les autres.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
