fr,en,de,es,title,speaker,duration,tags
"
											♫ et maintenant il est encore tôt ♫
									","
											♫ and now it's even sooner ♫
									","
											♫ und jetzt sogar noch eher ♫
									","
											♫ y ahora falta menos ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant il est encore tôt. ♫
									","
											♫ and now it's even sooner. ♫
									","
											♫ und jetzt sogar noch eher. ♫
									","
											♫ y ahora falta aún menos. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Cette journée sera bientôt à sa fin ♫
									","
											♫ This day will soon be at an end ♫
									","
											♫ Dieser Tag geht bald zu Ende ♫
									","
											♫ Este día pronto llegará a su fin ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant il est encore tôt ♫
									","
											♫ and now it's even sooner ♫
									","
											♫ und jetzt sogar noch eher ♫
									","
											♫ y ahora falta menos ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant c'est encore plus tôt. ♫
									","
											♫ and now it's sooner still. ♫
									","
											♫ und jetzt sogar noch viel eher. ♫
									","
											♫ y ahora falta aún menos. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Tu es plus vieux que tu ne l'as jamais été ♫
									","
											♫ You're older than you've ever been ♫
									","
											♫ Du bist älter als je zuvor ♫
									","
											♫ Estás más viejo que nunca ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant tu es encore plus vieux ♫
									","
											♫ and now you're even older ♫
									","
											♫ und jetzt bist du noch älter ♫
									","
											♫ y cada vez mayor ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant tu es encore plus vieux ♫
									","
											♫ and now you're even older ♫
									","
											♫ und jetzt bist du noch älter ♫
									","
											♫ y cada vez mayor ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant tu es encore plus vieux ♫
									","
											♫ and now you're even older. ♫
									","
											♫ und jetzt bist du noch älter. ♫
									","
											♫ y ahora aún mayor. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Tu es plus vieux que tu ne l'as jamais été ♫
									","
											♫ You're older than you've ever been ♫
									","
											♫ Du bist älter als je zuvor ♫
									","
											♫ Estás más viejo que nunca ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant tu es encore plus vieux ♫
									","
											♫ and now you're even older ♫
									","
											♫ und jetzt bist du noch älter ♫
									","
											♫ y cada vez mayor ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant tu es encore plus vieux ♫
									","
											♫ and now you're older still. ♫
									","
											♫ und jetzt bist du sogar noch älter. ♫
									","
											♫ y ahora aún mayor. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											Merci beaucoup.
											Bonjour à tous.
											Nous sommes They Might Be Giants.
									","
											Thank you very much.
											Good morning everybody.
											We are They Might Be Giants.
									","
											Vielen Dank.
											Guten Morgen, ihr alle.
											Wir sind They Might Be Giants.
									","
											Muchas gracias.
											Buenos días a todos.
											Somos They Might Be Giants.
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Applaus)
									","
											(Aplausos)
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											Je porte les écouteurs de retour qu'Al Gore
											portait lors de l'émission de Larry King
											et j'entends cette transmission et pas la mienne.
											Mais je suppose que ça correspond,
											alors maintenant nous allons simplement passer à la présentation PowerPoint,
											mesdames et messieurs.
									","
											I am wearing the Al Gore in-ear monitors
											he wore on the Larry King show
											and I'm hearing that transmission and not mine.
											But I guess that's in keeping,
											so now we'll just move to the PowerPoint presentation,
											ladies and gentlemen.
									","
											Ich trage die Ohrstöpselmonitore, die Al Gore
											in der Larry-King-Show trug
											und höre diese Übertragung und nicht meine hier.
											Aber das passt ja gut zum Thema,
											also gehen wir direkt zur PowerPoint-Präsentation über,
											meine Damen und Herren.
									","
											Llevo puestos los auriculares que usó Al Gore
											en el programa de Larry King
											y estoy escuchando esa transmisión, no la mía.
											Pero supongo que es acorde,
											por eso ahora tendremos que pasar al PowerPoint,
											damas y caballeros.
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											Il s'agit d'une toute nouvelle chanson.
											Dans l'esprit de TED, nous vous apportons quelque chose
											d'inédit.
											John, tu veux bien présenter la chanson ?
											C'est une chanson qui parle d'une créature appelée un sphinx colibri
											qui imite une autre créature
											qui imite une autre créature.
											C'est tout un bordel
											et ça ne peut être expliqué qu'en chanson.
									","
											This is a brand new song.
											In the spirit of TED, we're bringing you something
											that has not been released.
											John, do you want to introduce the song?
											This is a song about a creature called a hummingbird moth
											which imitates another creature
											which imitates yet another creature.
											It's completely fucked up
											and can only be explained in song.
									","
											Das ist ein brandneues Lied.
											Im Geiste von TED bringen wir etwas auf die Bühne,
											das noch nicht veröffentlicht ist.
											John, möchtest du das Lied vorstellen?
											Es ist ein Lied über eine sogenannte Kolibrimotte,
											ein Wesen, das ein Wesen imitiert,
											das wiederum ein Wesen imitiert.
											Es ist total verwirrend
											und kann nur in einem Lied erklärt werden.
									","
											Esta es una nueva canción.
											Siguiendo el espíritu de TED, presentaremos algo
											nunca antes visto.
											John, ¿quieres presentar la canción?
											Esta canción trata de una criatura llamada polilla colibrí
											que imita a otra
											que a su vez imita a una tercera.
											Es algo muy retorcido
											que sólo puede explicarse cantando.
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Tout le monde pleure à la vue du terrible vol hypnotique ♫
									","
											♫ Everyone is crying at the dread hypnotic flying ♫
									","
											♫ Alle weinen beim hypnotischen Gruselflug ♫
									","
											♫ Todo el mundo llora por el vuelo hipnótico ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ de l'abeille de l'oiseau du sphinx. ♫
									","
											♫ of the bee of the bird of the moth. ♫
									","
											♫ von der Biene des Vogels der Motte. ♫
									","
											♫ de la abeja del ave de la polilla. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ tu ne peux pas marcher, tu ne peux pas divaguer ♫
									","
											♫ You can't walk, you can't ramble ♫
									","
											♫ Du kannst nicht laufen, kannst nicht bummeln ♫
									","
											♫ No puedes caminar, no puedes pasear ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ parce que tu vas avoir à te démener ♫
									","
											♫ 'cause you're gonna have to scramble ♫
									","
											♫ du musst nämlich die Beine in die Hand nehmen ♫
									","
											♫ porque tienes que ver ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ pour te défaire de l'abeille de l'oiseau du sphinx. ♫
									","
											♫ from the bee of the bird of the moth. ♫
									","
											♫ vor der Biene des Vogels der Motte. ♫
									","
											♫ la abeja del ave de la polilla. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ L'oiseau-chat est un chat ♫
									","
											♫ Catbird is a cat ♫
									","
											♫ Katzenkäfer ist eine Katze ♫
									","
											♫ El pájaro gato es un gato ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ mais il a de l’insecte dans ses veines. ♫
									","
											♫ but he's got bugness in his veins. ♫
									","
											♫ aber in seinen Adern fließt Käferkeit. ♫
									","
											♫ que tiene alma de bicho. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ L'homme-maison vit en lui-même ♫
									","
											♫ Manhouse lives within himself ♫
									","
											♫ Menschhaus lebt in sich selbst ♫
									","
											♫ Manhouse vive dentro de sí mismo ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ avec une cervelle humaine réfléchie. ♫
									","
											♫ with thoughtful human brains. ♫
									","
											♫ mit gedankenschweren Menschenhirnen. ♫
									","
											♫ con cerebros reflexivos. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Ni l'un ni l'autre n'est égal ♫
									","
											♫ Neither one is equal 
♫
									","
											♫ Keiner kann es aufnehmen ♫
									","
											♫ Pero ninguno se equipara ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ au défi du monstre que nous appellerons ♫
									","
											♫ to the challenge of the freak we'll call ♫
									","
											♫ mit dem Monster, das genannt wird ♫
									","
											♫ al fenómeno que llamaremos ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ l'abeille de l'oiseau du sphinx. ♫
									","
											♫ the bee of the bird of the moth. ♫
									","
											♫ die Biene des Vogels der Motte. ♫
									","
											♫ la abeja del ave de la polilla. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Maintenant le sphinx ♫
									","
											♫ Now the moth ♫
									","
											♫ Die Motte aber ♫
									","
											♫ Pero la polilla ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ bat la souris et l'homme. ♫
									","
											♫ defeats the mouse and man. ♫
									","
											♫ besiegt die Maus und den Menschen. ♫
									","
											♫ derrota al ratón y al hombre. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Il joue avec le plan. ♫
									","
											♫ It's messing with the plan. ♫
									","
											♫ Sie bringt alles durcheinander. ♫
									","
											♫ Se mete con el plan. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ On ne peut pas le croire ♫
									","
											♫ It can't be believed ♫
									","
											♫ Man kann das einfach nicht glauben, ♫
									","
											♫ Es de no creer ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ parce que c'est juste un sphinx colibri ♫
									","
											♫ 'cause it's just a hummingbird moth ♫
									","
											♫ es ist doch nur eine Kolibrimotte, ♫
									","
											♫ porque es una polilla colibrí ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ qui a agi comme l'oiseau ♫
									","
											♫ who's acting like the bird ♫
									","
											♫ die sich wie ein Vogel aufführt ♫
									","
											♫ que actúa como el pájaro ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ qui pense qu'il est une abeille. ♫
									","
											♫ that thinks it's a bee. ♫
									","
											♫ der sich für eine Biene hält. ♫
									","
											♫ que se cree abeja. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ J'ai une toute nouvelle cargaison ♫
									","
											♫ Got a brand new shipment ♫
									","
											♫ Ich hab 'ne brandneue Ladung ♫
									","
											♫ Un envío nuevo ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ d'équipement électrique ♫
									","
											♫ of electrical equipment ♫
									","
											♫ mit Elektroartikeln. ♫
									","
											♫ de equipos eléctricos ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ adressé au fond de la mer. ♫
									","
											♫ it's addressed to the bottom of the sea. ♫
									","
											♫ Empfänger ist der Meeresgrund. ♫
									","
											♫ se dirige al fondo del mar. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Envoyez un sous-marin nucléaire ♫
									","
											♫ Send a tangerine-colored ♫
									","
											♫ Schickt ein mandarinenfarbenes ♫
									","
											♫ Envía un submarino nuclear ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ couleur mandarine ♫
									","
											♫ nuclear submarine ♫
									","
											♫ Atom-U-Boot hin ♫
									","
											♫ color mandarina ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ avec un autocollant qui dit STP. ♫
									","
											♫ with a sticker that says STP. ♫
									","
											♫ mit 'nem Aufkleber, auf dem ""vollautomatisiert"" steht. ♫
									","
											♫ con una etiqueta que dice STP. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Du liquide lave-glace pour essuie-glace ♫
									","
											♫ Windshield wiper washer fluid ♫
									","
											♫ Scheibenwischerwaschflüssigkeit ♫
									","
											♫ Un líquido limpiaparabrisas ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ pulvérisé dans l'air ... ♫
									","
											♫ spraying in the air ... ♫
									","
											♫ versprüht in der Luft... ♫
									","
											♫ se esparce por el aire... ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ des phares sous les poux de tête ♫
									","
											♫ headlights under head lice ♫
									","
											♫ Scheinwerfer mit Läusen ♫
									","
											♫ faros bajo los piojos de la cabeza ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ sous des chapeaux se trouvent partout. ♫
									","
											♫ under hats lie everywhere. ♫
									","
											♫ unter Hüten überall ♫
									","
											♫ bajo sombreros que están por doquier. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Les vagues subatomiques ♫
									","
											♫ Subatomic waves ♫
									","
											♫ Subatomare Wellen ♫
									","
											♫ Ondas subatómicas ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ aux grottes sous-marines ♫
									","
											♫ to the underwater caves ♫
									","
											♫ in die Unterwasserhöhlen ♫
									","
											♫ para las cuevas submarinas ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ de l'abeille de l'oiseau du sphinx. ♫
									","
											♫ of the bee of the bird of the moth. ♫
									","
											♫ von der Biene des Vogels der Motte. ♫
									","
											♫ de la abeja del ave de la polilla. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Maintenant le sphinx bat la souris et l'homme. ♫
									","
											♫ Now the moth defeats the mouse and man. ♫
									","
											♫ Die Motte aber besiegt die Maus und den Menschen. ♫
									","
											♫ Pero la polilla derrota al ratón y al hombre. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Il joue avec le plan. ♫
									","
											♫ It's messing with the plan. ♫
									","
											♫ Sie bringt alles durcheinander. ♫
									","
											♫ Se mete con el plan. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ On ne peut pas le croire ♫
									","
											♫ It can't be believed ♫
									","
											♫ Man kann das einfach nicht glauben. ♫
									","
											♫ Es de no creer ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
