pt,en,es,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											Sabiam que, no ano passado,
											durante 299 dias,
											não usámos qualquer
combustível fóssil
											para produzir toda a nossa eletricidade?
											É uma conquista fantástica,
											e, no entanto, esconde um paradoxo.
											que é que quase 70%
											de todo o nosso consumo
de energia é petróleo.
									","
											Did you know that last year,
											for 299 days,
											we did not use any fossil fuels
											in order to generate all our electricity?
											It's a fantastic achievement,
											and yet, it hides a paradox,
											which is that nearly 70 percent
											of all our energy consumption is oil.
									","
											¿Sabían que el año pasado,
											durante 299 días,
											no usamos ningún combustible fósil
											para generar electricidad?
											Es un logro fantástico
											y, sin embargo, esconde una paradoja,
											y es que casi el 70 %
											de todo nuestro consumo
de energía es petróleo.
									","
											Geçtiğimiz yıl,
											tam 299 gün
											elektriğimizi üretmek için
											hiçbir fosil yakıt kullanmadığımızı 
biliyor muydunuz?
											Bu harika bir başarı,
											fakat içinde bir paradoks gizli:
											Enerji tüketimimizin
											yaklaşık yüzde 70'inin petrol olduğu.
									","
											Saviez-vous que l'année dernière,
pendant 299 jours,
											nous n'avons utilisé
aucun combustible fossile
											pour générer toute notre électricité ?
											C'est une prouesse fantastique
											et, pourtant, elle cache un paradoxe :
											le pétrole constitue près de 70%
de notre consommation d'énergie.
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											Porquê?
											Devido ao nosso sistema de transportes
											que é totalmente dependente
de combustíveis fósseis,
											como na maioria dos países.
											Então, se pensarmos na transição
de energia como uma maratona,
											a questão é, como é
que chegamos à meta,
											como descarbonizamos
o resto da economia?
											É justo dizer que,
se nós não conseguimos,
											é difícil perceber quem conseguirá.
											É por isso que eu vos
quero falar da Costa Rica,
											porque eu acredito que somos
um grande candidato
											na visão pioneira do desenvolvimento
sem combustíveis fósseis.
									","
											Why?
											Because of our transportation system,
											which is totally dependent
on fossil fuels,
											like it is in most countries.
											So if we think of the energy
transition as a marathon,
											the question is, how do we get
to the finish line,
											how do we decarbonize
the rest of the economy?
											And it's fair to say
that if we don't succeed,
											it's difficult to see who will.
											So that is why I want
to talk to you about Costa Rica,
											because I believe we are a great candidate
											in pioneering a vision
for development without fossil fuels.
									","
											¿Por qué?
											Debido a nuestro sistema de transporte,
											que es totalmente dependiente
de los combustibles fósiles,
											como lo es en la mayoría de los países.
											Si pensamos en la transición
energética como una maratón,
											la pregunta es,
¿cómo podemos llegar a la meta?
											¿cómo podemos ""descarbonizar"" 
el resto de la economía?
											Y podemos decir que 
si no tenemos éxito,
											es difícil ver quién lo hará.
											Por eso es que quiero hablarles
de Costa Rica,
											porque creo que somos un gran candidato
											pionero sobre una visión de
desarrollo sin combustibles fósiles.
									","
											Peki neden?
											Çoğu ülkede olduğu gibi
											tamamen fosil yakıtlara bağımlı
											ulaşım sistemimiz yüzünden.
											Öyleyse enerji dönüşümünü 
bir maraton olarak düşünürsek,
											mesele, nasıl son noktaya geleceğimiz
ve ekonominin geri kalanını nasıl
											karbondan bağımsız hâle 
getireceğimiz oluyor.
											Biz başaramazsak başka 
birinin başardığını görmek de
											olası gibi görünmüyor.
											Bu yüzden size Kosta Rika'dan 
bahsetmek istiyorum,
											çünkü fosil yakıtsız kalkınmaya
öncülük edecek
											fevkalade bir aday olduğumuza inanıyorum.
									","
											Pourquoi ?
											À cause de notre système de transport
											qui est totalement
dépendant des énergies fossiles,
											comme c'est le cas
dans la plupart des pays.
											Si l'on considère la transition
énergétique comme un marathon,
											la question est : comment
arriver à la ligne d'arrivée ?
											Comment dé-carboniser
le reste de l'économie ?
											Il est juste de dire
que si nous, nous n'y arrivons pas,
											on ne sait pas bien qui le pourra.
											C'est pour cette raison que je voudrais
vous parler du Costa Rica.
											Parce que je pense que nous sommes
un excellent candidat
											pour proposer une vision du développement
sans énergies fossiles.
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											Se há algo que sabem
acerca do nosso país,
											é que não temos um exército.
											Então vou voltar atrás até 1948.
											Nesse ano, o país estava
a sair de uma guerra civil.
											Milhares de costa-riquenhos morreram,
											e famílias foram separadas.
											No entanto, uma ideia surpreendente
conquistou-nos os corações e as mentes:
											Iriamos reiniciar o país,
											e esta Segunda República
não iria ter um exército.
											Então foi abolido.
											E o presidente da altura,
											José Figueres,
											encontrou uma forma poderosa
ao destruir os muros de uma base militar.
											No ano seguinte, 1949,
											tornámos essa decisão
permanente na nova Constituição,
											e é por isso que vos posso contar
esta história quase 70 anos mais tarde.
											E estou grata por isso.
											Estou grata que tenham tomado
essa decisão antes de eu nascer,
											porque me permitiu
e a milhares de pessoas
											viver num país estável.
									","
											If you know one thing about our country,
											it's that we don't have an army.
											So I'm going to take you back to 1948.
											That year, the country
was coming out of civil war.
											Thousands of Costa Ricans had died,
											and families were bitterly split.
											And yet, a surprising idea
won the hearts and minds:
											we would reboot the country,
											and that Second Republic
would have no army.
											So we abolished it.
											And the president at the time,
											José Figueres,
											found a powerful way
by smashing the walls of an army base.
											The following year, 1949,
											we made that decision permanent
in the new constitution,
											and that is why I can tell you that story
nearly 70 years later.
											And I'm grateful.
											I'm grateful they made that decision
before I was born,
											because it allowed me
and millions of others
											to live in a very stable country.
									","
											Si deben saber algo sobre nuestro país,
											es que no tenemos ejército.
											Así que vayamos a 1948.
											Ese año, el país estaba saliendo 
de una guerra civil.
											Miles de costarricenses habían muerto,
											y las familias se dividieron amargamente.
											Y sin embargo, una idea sorprendente
se ganó los corazones y las mentes:
											reiniciaríamos el país,
											y la Segunda República 
no tendría ejército.
											Así que se abolió.
											Y el presidente en ese momento,
											José Figueres,
											encontró una manera potente de romper 
las paredes de la base militar.
											Al año siguiente, 1949,
											fijamos esa decisión de forma permanente
en la nueva constitución,
											y por eso puedo contar esta
historia casi 70 años después.
											Estoy muy agradecida.
											Estoy agradecida de que hayan tomado
esa decisión antes de haber nacido,
											porque me permitió a mí 
y a millones de personas
											vivir en un país muy estable.
									","
											Muhtemelen Kosta Rika 
hakkında bildiğiniz tek şey,
											bir ordumuzun olmadığıdır.
											Bu yüzden sizi 1948'e götüreceğim.
											Tam da bu yılda, ülke bir
iç savaştan çıkıyordu.
											Binlerce Kosta Rikalı hayatını kaybetmiş
											ve aileler bölük pörçük olmuştu.
											Fakat şaşırtıcı bir fikir 
akıllarımızı ve gönüllerimizi çelmişti:
											Ülkemizi baştan kuracaktık
											ve bu ikinci cumhuriyetimizin 
ordusu olmayacaktı.
											Bu yüzden orduyu feshettik.
											O zamanın devlet başkanı,
											José Figueres,
											bir askeri üssün duvarlarını 
yıkarak etkili bir yol buldu.
											Sonraki yıl, yani 1949'da,
											bu kararı yeni anayasada
kalıcı hâle getirdik.
											İşte bu yüzden size yetmiş yıl sonra 
bugün bu hikâyeyi anlatıyorum.
											Çok memnunum.
											Ben doğmadan bu kararı 
verdikleri için çok memnunum,
											çünkü bu benim ve milyonlarca insanın
											oldukça istikrarlı bir ülkede
yaşamasını mümkün kıldı.
									","
											S'il y a une chose
à retenir de notre pays,
											c'est que nous n'avons pas d'armée.
											Je vais vous renvoyer à l'année 1948.
											Cette année-là, le pays
sortait d'une guerre civile.
											Des milliers de Costaricains sont morts
											et les familles étaient déchirées.
											Pourtant, une idée surprenante
a gagné les cœurs et les esprits :
											nous allions tout
reconstruire dans le pays
											et la Deuxième République
n'aurait pas d'armée.
											Nous l'avons donc abolie.
											Et le président de cette époque,
											José Figueres,
											s'est fait comprendre en détruisant
les murs d'une base militaire.
											L'année suivante, en 1949,
											cette décision a été prise définitivement
dans la nouvelle constitution,
											voilà pourquoi je peux vous en parler
près de 70 ans plus tard.
											J'en suis reconnaissante,
											reconnaissante qu'ils aient pris
cette décision avant que je naisse
											car ça m'a permis, à moi
et à des millions d'autres,
											de vivre dans un pays très stable.
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											Podem estar a pensar
que foi apenas sorte,
											mas não foi.
											Há um padrão de escolhas deliberadas.
											Nos anos 40, os costa-riquenhos
já tinham educação e saúde gratuitas.
											Chamamos a isso garantias sociais.
											Ao abolir o exército,
											conseguimos transformar
custos militares em custos sociais,
											e isso foi um condutor de estabilidade.
											Nos anos 50 ...
									","
											And you might be thinking
that it was good luck,
											but it wasn't.
											There was a pattern of deliberate choices.
											In the '40s, Costa Ricans were given
free education and free health care.
											We called that social guarantees.
											By abolishing the army,
											we were able to turn military spending
into social spending,
											and that was a driver of stability.
											In the '50s —
									","
											Podrían pensar que fue buena suerte,
											pero no lo fue.
											Hubo un patrón de acciones deliberadas.
											En los años 40, los costarricenses tenían
educación y atención médica gratuita.
											Lo llamamos garantías sociales.
											Al abolir el ejército,
											pudimos convertir
el gasto militar en gasto social,
											y eso supuso un impulso a la estabilidad.
											En los años 50...
									","
											Bunun şansımızın yaver gittiğinden 
olduğunu düşünebilirsiniz,
											ama öyle değildi.
											Kasıtlı olarak verilen
bir takım kararlar vardı.
											1940'larda Kosta Rikalılara ücretsiz 
eğitim ve sağlık hizmetleri sağlandı.
											Bunlara sosyal garantiler derdik.
											Orduyu ortadan kaldırarak,
											orduya yapılan harcamaları sosyal 
masraflar için kullanabilir hâle geldik.
											Bu durum istikrarı sağladı.
											50'lerde —
									","
											Vous pourriez croire
que c'était un coup de chance,
											mais ce n'est pas le cas.
											Il y a eu un ensemble de choix délibérés.
											Dans les années 40, les Costaricains
ont eu l'éducation et les soins gratuits.
											Nous avons appelé cela
les garanties sociales.
											En abolissant l'armée,
											nous avons été en mesure de transférer
les dépenses militaires vers le social,
											ce qui a été un moteur de stabilité.
											Dans les années 50 —
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											(Aplausos)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaudissements)
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											Nos anos 50, começámos
a investir em energia hidroelétrica
											e isso afastou-nos da armadilha
											de usar combustíveis fósseis
na produção de eletricidade,
											que é o motivo de o mundo
estar em dificuldades atualmente.
											Nos anos 70, investimos
em parques nacionais,
											e isso afastou-nos
											da lógica profundamente defeituosa
de crescer a qualquer custo
											que vemos outros a adotar, especialmente
no mundo em desenvolvimento.
											Nos anos 90, fomos pioneiros nos pagamentos
por serviços de ecossistema,
											e isso ajudou-nos
a reverter a deflorestação
											e impulsionou o ecoturismo
que é hoje um pilar de crescimento.
											Então investir na proteção ambiental
											não prejudicou a nossa economia,
precisamente o oposto.
									","
											In the '50s, we started
investing in hydropower,
											and that kept us away from the trap
											of using fossil fuels
for electricity generation,
											which is what the world
is struggling with today.
											In the '70s we invested in national parks,
											and that kept us away
											from the deeply flawed logic
of growth, growth, growth at any cost
											that you see others embracing,
especially in the developing world.
											In the '90s, we pioneered payments
for ecosystem services,
											and that helped us reverse deforestation
											and boosted ecotourism,
which today is a key engine of growth.
											So investing in environmental protection
											did not hurt our economy.
											Quite the opposite.
									","
											En los años 50, comenzamos
a invertir en energía hidroeléctrica,
											y eso nos mantuvo lejos de la trampa
											de usar combustibles fósiles
para generar electricidad,
											que es con lo que el mundo
está luchando hoy día.
											En los años 70 se invirtió
en los parques nacionales,
											eso nos mantuvo alejados
											de la lógica profundamente defectuosa 
del crecimiento a cualquier precio
											al que se aferran, especialmente 
en el mundo en desarrollo.
											En los años 90 fuimos pioneros 
en pagos por servicios ambientales,
											y eso nos ayudó a revertir 
la deforestación
											y aumentó el ecoturismo, que hoy 
es un motor clave del crecimiento.
											Por lo tanto, invertir 
en protección ambiental
											no perjudica nuestra economía.
											Todo lo contrario.
									","
											50'lerde, su gücüne yatırım
yapmaya başladık.
											Bu da bizi elektrik üretmek için
											fosil yakıtlar kullanma tuzağına
düşmekten kurtardı.
											Dünya da zaten günümüzde
bununla savaş veriyor.
											70'lerde, ulusal parklara yatırım yaptık.
											Bu da bizi özellikle gelişmekte olan
											ülkelerde gördüğümüz ve 
hatalı olduğunu düşündüğüm
											""her ne pahasına olursa olsun
büyüme"" fikrinden uzak tuttu.
											90'larda, ekosisteme yönelik
hizmetlere bütçe ayırmakta öncülük ettik.
											Bu da orman kaybını azaltmamıza
yardım etti ve günümüzde
											gelişimin önemli bir anahtarı 
olan ekoturizmi yeniden canlandırdı.
											Yani çevre korumasına yatırım yapmak
											ekonomimize zarar vermedi.
											Tam aksine fayda sağladı.
									","
											Dans les années 50, on a commencé
à investir dans l'hydroélectricité,
											et ça nous a évité de tomber dans le piège
de l'utilisation des carburants fossiles
											pour produire de l'électricité,
											chose dont le monde essaie
de se défaire aujourd'hui.
											Dans les années 70, on a investi
dans les parcs nationaux
											et ça nous a éloignés
											de la logique profondément viciée
de la croissance à tout prix
											que tous acceptent,
surtout dans les pays en développement.
											Dans les années 90, on a lancé
											les paiements
pour les services écosystémiques,
											qui nous aidèrent
à inverser la déforestation
											et à stimuler l'écotourisme,
aujourd'hui moteur clé de la croissance.
											Investir dans la protection
de l'environnement
											n'a donc pas nui à notre économie.
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											Isto não significa que somos perfeitos,
											e não significa que não
hajam contradições.
											Essa não é a questão.
											A questão é que, ao fazermos
as nossas próprias escolhas,
											desenvolvemos resiliência para lidar
com os problemas do desenvolvimento.
									","
											And it doesn't mean we are perfect,
											and it doesn't mean
we don't have contradictions.
											That's not the point.
											The point is that,
by making our own choices,
											we were able to develop resilience
in dealing with development problems.
									","
											Y eso no quiere decir
que seamos perfectos
											y que no tengamos contradicciones.
											Esa no es la idea.
											La idea es que,
al tomar nuestras propias decisiones,
											pudimos desarrollar resiliencia
frente a los problemas de desarrollo.
									","
											Bu, biz kusursusuz demek değil.
											Çelişkilerimiz yok demek değil.
											Demek istediğim bu değil.
											Demek istediğim, kendi
kararlarımızı vererek
											gelişim problemleriyle mücadele 
etmede direnç gösterebildik.
									","
											C'est plutôt l'inverse.
											Cela ne signifie pas
que nous sommes parfaits,
											ou qu'il n'y a pas d'incohérences.
											Ce n'est pas le sujet.
											Le sujet, c'est qu'en faisant
nos propres choix,
											nous avons pu développer une résilience
face aux problèmes du développement.
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											Além disso, se pegarmos 
num país como o nosso,
											o PIB anda à volta dos 11 000 dólares,
											dependendo de como o calculamos.
											Mas de acordo com o índice
de progresso social,
											somos uma absoluta aberração
											no que concerne em tornar
o PIB em progresso social.
											Abolir o exército,
											investir na natureza e nas pessoas,
											fez algo muito poderoso também.
											Modelou a narrativa,
											a narrativa de um país pequeno
com grandes ideias,
											foi muito fortalecedor
crescer com esta narrativa.
									","
											Also, if you take a country like ours,
											the GDP per capita
is around 11,000 dollars,
											depending on how you measure it.
											But according to
the Social Progress Index,
											we are an absolute outlier
											when it comes to turning GDP
into social progress.
											Abolishing the army,
											investing in nature and people,
											did something very powerful, too.
											It shaped the narrative,
											the narrative of a small country
with big ideas,
											and it was very empowering
to grow up with that narrative.
									","
											Además, si toman un país como el nuestro,
											el PIB per cápita es de unos USD 11 000,
											dependiendo de cómo se mida.
											Pero de acuerdo con el
Índice de Progreso Social,
											somos una excepción
											cuando se trata de convertir
el PIB en progreso social.
											La abolición del ejército,
											la inversión en la naturaleza y la gente,
											produjo algo muy potente también.
											Dio forma a la narrativa,
											la narrativa de un pequeño país 
con grandes ideas,
											y fue muy enriquecedor
crecer con esa narrativa.
									","
											Ayrıca, bizimki gibi bir ülkeye bakarsak
											nasıl ölçtüğünüze bağlı olarak
											kişi başına düşen GSMH
11.000 dolar civarındadır.
											Fakat Sosyal Gelişme İndeksi'ne göre
											GSMH'yi sosyal ilerlemeye
dönüştürme konusunda
											çok uç bir örneğiz.
											Orduyu feshetmek,
											doğaya ve insanlara yatırım yapmak
											çok güçlü bir şeyi de ortaya çıkardı.
											Büyük fikirleri olan
											küçük bir ülkenin hikâyesini yarattı.
											O hikâyenin içinde büyümek
de oldukça güç vericiydi.
									","
											Aussi, si vous prenez
un pays comme le nôtre,
											le PIB par habitant
est d'environ 11 000 dollars,
											selon la façon comment vous le mesurez.
											Mais selon l'indice de progrès social,
											nous sommes hors norme
											quand il s'agit de transformer le PIB
en progrès social.
											Abolir l'armée,
											investir dans la nature et la population,
											a fait quelque chose d'incroyable aussi.
											Ça a façonné l'histoire,
											l'histoire d'un petit pays
avec de grandes idées,
											et ça a été très valorisant
de grandir avec ce récit.
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
