en,tr,es,fr,pt,de,title,speaker,duration,tags
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											My name is Halima Aden
											and I'm a black, Muslim,
Somali-American from Kenya.
									","
											İsmim Halima Aden
											ve siyahiyim, Müslümanım,
Kenya'dan Somali-Amerikanım.
									","
											Me llamo Halima Aden
											y soy una somalí-estadounidense musulmana
y de color, procedente de Kenia.
									","
											Je m'appelle Halima Aden
											et je suis noire, musulmane,
somali-américaine et originaire du Kenya.
									","
											Chamo-me Halima Aden
											e sou negra, muçulmana,
somali-americana do Quénia.
									","
											Mein Name ist Halima Aden
											und ich bin eine schwarze, muslimische
Somali-Amerikanerin aus Kenia.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											(Applause)
									","
											(Alkış)
									","
											(Aplauso)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											Some have called me a trailblazer —
											I was the first Muslim
homecoming queen at my high school,
											the first Somali student
senator at my college
											and the first hijab-wearing
woman in many places,
											like the Miss Minnesota USA
beauty pageant,
											the runways of Milan
and New York Fashion Weeks
											and even on the historic cover
of British ""Vogue.""
											As you can see,
											I'm not afraid to be the first,
to step out on my own,
											to take risks and seek change,
											because that's what being
a minority is about.
											It's about using yourself
as a vessel to create change
											and being a human representation
for the power of diversity.
											And now I use my platform to spread
an important message of acceptance.
									","
											Bazıları bana öncü derdi.
											Lisemdeki ilk Müslüman 
Mezunlar Günü Kraliçesi,
											ilk Somalili öğrenci
											ve çoğu mekanda ilk defa 
hijab giyen kadın bendim;
											örneğin Miss Minnesota USA
güzellik yarışması,
											Milano ve New York 
Moda Haftası podyumları
											ve İngiliz ""Vogue""un tarihi
kapağında bile.
											Gördüğünüz gibi
											ilk olmaktan, ortaya çıkmaktan,
risk almaktan ve şansı aramaktan
											korkmuyorum,
											çünkü azınlık olmak 
budur.
											Çeşitliliğin gücü için değişim 
yaratmak ve insan temsili olmak
											için kendinizi bir gemi olarak
kullanmakla ilgilidir.
											Ve şimdi platformumu önemli bir
kabul mesajını yaymak için kullanıyorum.
									","
											Dicen que soy una pionera,
											fui la primera reina musulmana
del baile de mi bachillerato,
											la primera senadora somalí
estudiantil en mi universidad
											y la primera mujer en portar
el hiyab en muchos sitios,
											como en el concurso de belleza
de Señorita Minnesota en EE. UU.
											las pasarelas de Milán y las Semanas
de la Moda de Nueva York,
											e incluso en la histórica portada
de la ""Vogue"" británica.
											Como ven,
											no me preocupa ser la primera
y salir por mi cuenta,
											arriesgarme y buscar el cambio
											porque en eso consiste ser minoría.
											Se trata de usarse a sí mismo
para propiciar un cambio
											y de ser una representante humana
del poder de la diversidad.
											Ahora, utilizo mi posición para difundir
un importante mensaje de aceptación.
									","
											Certains ont dit
que j'étais une pionnière :
											j'étais la première
reine musulmane du bal du lycée,
											la première étudiante somalienne
à être déléguée à la fac
											et la première femme voilée
dans de nombreux endroits :
											le concours de beauté de Miss Minnesota,
											les podiums de Milan
et les Fashion Weeks de New-York
											et même sur la célèbre
couverture du « Vogue UK ».
											Comme vous le voyez,
											je n'ai pas peur d'être la première,
de me démarquer, seule,
											de prendre des risques,
											car c'est cela, de faire
partie d'une minorité.
											C'est faire office de vaisseau
pour créer le changement
											et être une représentation humaine
de la puissance de la diversité.
											J'utilise ma plateforme pour répandre
un important message de reconnaissance.
									","
											Há quem me chame uma pioneira
											— fui a primeira rainha muçulmana
no baile de finalistas do liceu
											a primeira estudante somali
senadora na faculdade
											e a primeira mulher de ""hijab""
em muitos locais,
											como no concurso de beleza
de Miss Minnesota nos EUA,
											nas passarelas de Milão
e nas Semanas de Moda de Nova Iorque
											e até na histórica capa
da ""Vogue"" britânica.
											Como veem,
											não tenho receio de ser
a primeira a avançar sozinha,
											de correr riscos e de procurar a mudança,
											porque é isso que é
fazer parte de uma minoria.
											É usarmo-nos como um barco
para criar a mudança
											e ser uma representação humana
para o poder da diversidade.
											Hoje uso a minha plataforma para espalhar
uma importante mensagem de aceitação.
									","
											Manche nannten mich eine Wegbereiterin —
											ich war die erste muslimische Ballkönigin
an meiner Highschool,
											erste Studentenvertreterin
an meinem College aus Somalia
											und die erste Hijab-tragende Frau
an vielen verschiedenen Orten,
											wie dem Schönheitswettbewerb
zur Miss Minnesota USA
											den Laufstegen in Mailand
und der New York Fashion Weeks
											und sogar dem historischen Cover
der britischen ""Vogue"".
											Wie man sieht, habe ich keine Angst,
die Erste zu sein, herauszustechen,
											etwas zu riskieren und etwas zu verändern.
											Denn darum geht es als Minderheit.
											Darum, seine Fähigkeiten zu nutzen,
um etwas zu verändern
											und der Macht der Vielfalt
ein Gesicht zu geben.
											Jetzt nutze ich meine Plattform dazu,
den Aufruf zur Akzeptanz zu verbreiten.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											But it hasn't always been easy.
											When we first arrived to the United States
and made St. Louis, Missouri home,
											I remember asking my mom,
""Is this really America?""
											There were things
that were sadly familiar,
											like hearing gunshots at night
											and the streets looking impoverished.
											But there were things
that were also very different.
											Like when I started first grade,
											I noticed how the kids played in groups.
											In America, we call them ""cliques.""
											Back here, we all played together.
											Gender didn't matter,
											and race most certainly never mattered.
											I remember asking myself,
											""Why don't they understand Swahili?
											Swahili is the language
that brings people together.""
											To make matters worse,
											the school I was enrolled in
didn't have an English immersion program.
											So everyday I would get up,
											go to school, sit in my desk
											and never learn a thing.
											This is when I started losing hope,
											and I wanted nothing more
than return to Kakuma,
											a refugee camp.
									","
											Fakat hep kolay değildi.
											Birleşik Devletler’e ilk geldiğimizde
ve Missouri, St.Louis'e vardığımızda,
											Anneme ''Burası gerçekten Amerika mı?''
diye sorduğumu hatırlıyorum.
											Ne yazık ki, geceleri 
silah sesi duymak
											ve yoksul sokaklar gibi
											benzer şeyler vardı.
											Ama farklı olan birçok şey de vardı.
											Birinci sınıfa başladığımda,
											çocukların gruplar halinde
oynadığını farkettim.
											Amerika'da onlara ''grup'' denir.
											Burada, hep birlikte oynardık.
											Cinsiyet ve ırk
											kesinlikle fark etmezdi.
											Kendime ''Neden Swahili'yi
anlamıyorlar?
											Swahili, insanları bir araya
											getiren dildir.'' diye 
sorduğumu hatırlıyorum.
											Daha da kötüsü,
											kayıt yaptırdığım okulda İngilizce
başlangıç programı yoktu.
											Her gün erkenden kalkar,
											okula gider, sırama oturur
											ve asla bir şey öğrenmezdim.
											Bu umudumu yitirmeye 
başladığım zamandı
											ve Kakuma mülteci kampına
dönmekten başka
											bir şey istemedim.
									","
											Pero no siempre ha sido fácil.
											Cuando llegamos a EE. UU., hicimos
de St. Louis, Missouri, nuestro hogar,
											me acuerdo de que le pregunté a
mi madre: ""¿De verdad esto es EE. UU.?"".
											Había cosas que me resultaban
tristemente familiares,
											como oír disparos por la noche
											o las calles de aspecto empobrecido.
											Pero también había cosas
que eran muy diferentes,
											como cuando empecé la primaria.
											Noté que los niños jugaban en grupos.
											En EE. UU., lo llaman ""pandillas"".
											Aquí, todos jugábamos juntos.
											Tu sexo no importaba,
											y tu raza, sin lugar a dudas, tampoco.
											Recuerdo que me preguntaba:
											""¿Por qué no entienden suajili?
											El suajili es el idioma
que une a los pueblos"".
											Para colmo de males,
											el colegio en el yo estaba no tenía
ningún programa de inmersión en inglés.
											Así que todos los días, me levantaba,
											iba al colegio, me sentaba en mi pupitre
											y no aprendía nada.
											Ahí empecé a perder la esperanza
											y solo deseaba regresar a Kakuma,
											al campo de refugiados.
									","
											Cela n'a pas toujours été simple.
											Quand je suis arrivée aux États-Unis
pour habiter à Saint-Louis au Missouri,
											je me souviens avoir demandé à ma mère :
« Est-ce vraiment l'Amérique ? »
											Des choses m'étaient
malheureusement familières comme,
											entendre des coups de feu la nuit
											ou voir la pauvreté dans les rues.
											Mais certaines choses
étaient très différentes.
											Quand je suis arrivée au CP,
											j'ai vu que les enfants
jouaient en groupes.
											En Amérique, ce sont des « cliques ».
											De là où je venais,
on jouait tous ensemble.
											Le genre n'importait pas
											et, bien sûr, la race n'importait jamais.
											Je me demandais :
											« Pourquoi ne comprennent-ils pas
le swahili ?
											Le swahili est la langue
qui rapproche les gens. »
											Pour empirer les choses,
											mon école n'avait pas de programme
d'immersion linguistique en anglais.
											Je me levais donc chaque jour,
											j'allais à l'école,
m'asseyais à mon bureau
											et n'apprenais jamais rien.
											C'est là que j'ai commencé
à perdre espoir,
											et tout ce que je voulais,
c'était rentrer à Kakuma,
											un camp de réfugiés.
									","
											Mas nem sempre foi fácil.
											Quando chegámos aos EUA,
e nos instalámos em St. Louis, no Missouri,
											lembro-me de perguntar à minha mãe:
""Isto é mesmo a América?""
											Havia coisas que, infelizmente,
me eram familiares,
											como ouvir tiros durante a noite
											e as ruas terem um aspeto empobrecido.
											Mas havia coisas que também
eram muito diferentes,
											como quando iniciei o primeiro ano
											e reparei que os miúdos
brincavam em grupos.
											Nos EUA chamamos-lhes ""cliques"".
											Aqui brincávamos todos juntos.
											Os sexos não tinham importância,
											e as etnias ainda tinham
menos importância.
											Lembro-me de pensar:
											""Porque é que eles não entendem o suaíli?
											""O suaíli é a língua que une as pessoas"".
											Para piorar as coisas,
											a escola para onde fui não tinha
um programa de introdução ao inglês.
											Por isso, levantava-me todos os dias,
											ia para a escola,
sentava-me na minha carteira
											e não aprendia nada.
											Foi quando comecei a perder a esperança
											e só queria voltar para Kakuma,
											para o campo de refugiados.
									","
											Doch es war nicht immer einfach.
											Als wir in Amerika ankamen und St. Louis
in Missouri zu unserer Heimat machten,
											fragte ich meine Mutter:
""Ist das wirklich Amerika?"".
											Es gab entsetzlich vertraute Dinge,
											wie Schüsse in der Nacht
											oder heruntergekommene Straßen.
											Aber es gab auch Dinge,
die sich stark unterschieden.
											Wie zum Beispiel in der ersten Klasse.
											Kinder spielten dort in Gruppen.
											In Amerika nennt man das ""Cliquen"".
											Hier spielten wir alle zusammen.
											Geschlechter spielten keine Rolle
											und die Nationalität sowieso nicht.
											Ich wunderte mich damals,
warum sie kein Swahili verstanden.
											Swahili ist doch die Sprache,
die alle zusammenbringt.
											Noch schlimmer war,
											dass es an meiner Schule für mich
keinen Englisch-Intensivkurs gab.
											Ich stand also jeden Morgen auf,
ging zu Schule, saß an meinem Platz,
											und lernte nichts.
											Damals verlor ich langsam die Hoffnung
											und wollte nur noch nach Kakuma,
ins Flüchtlingslager.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											Soon, my mother learned
that many Somalis found refuge
											in a small town in Minnesota.
											So when I was eight,
we moved to Minnesota.
											My life changed as I met
other students who spoke Somali,
											attended a school that had
an English immersion program
											and found teachers that would go
above and beyond,
											staying there after school hours
and lunch breaks,
											dedicated to helping me
find success in the classroom.
											Being a child refugee has taught me
that one could be stripped of everything:
											food, shelter, clean drinking water,
											even friendship,
											but the one thing that no one
could ever take away from you
											is your education.
											So I made studying my top priority
											and soon started flourishing
within the classroom.
									","
											Çok geçmeden annem birçok Somalili'nin
Minnesota'daki küçük bir kasabaya
											sığındığını öğrendi.
											Sekiz yaşımdayken 
Minnesota'ya taşındık.
											Somalice konuşan diğer çocuklarla
tanışınca hayatım değişti,
											İngilizce başlangıç programı olan
bir okula kayıt yaptırdım
											ve daha ilerisine gidecek
öğretmenler buldum,
											okul saatlerinden ve öğle
yemeği molasından sonra
											sınıfta başarılı olmam için
beni çalıştırmaya uğraşıyorlardı.
											Çocuk mülteci olmak bana her şeyden 
yoksun olunabileceğini öğretti;
											yiyecek, barınak, temiz içme suyu,
											hatta arkadaşlık,
											fakat birinin sizden alamayacağı
tek şey
											eğitiminizdir.
											Çalışmayı önceliğim haline getirdim
											ve sınıfla birlikte 
gelişmeye başladım.
									","
											Pronto, mi madre descubrió que
muchos somalíes hallaron asilo
											en un pueblecito de Minnesota.
											Y cuando cumplí ocho años,
nos mudamos a Minnesota.
											Mi vida cambió en cuanto conocí a 
otros estudiantes que hablaban somalí,
											fui a un colegio con un programa
de inmersión en inglés
											y encontré profesores
que hacían lo imposible,
											se quedaban después
de clases y en los recreos,
											dedicados a ayudarme a triunfar en clase.
											Ser una niña refugiada me enseñó
que a uno podían despojarlo de todo:
											de la comida, de la vivienda,
del agua potable,
											incluso de la amistad,
											pero lo único que nadie
podría quitarnos jamás
											sería la educación.
											Así que mi prioridad principal
fueron los estudios
											y pronto, comencé a prosperar en clase.
									","
											Ma mère apprit bientôt
que bon nombre de Somaliens
											vivaient dans une petite ville
du Minnesota.
											J'ai donc déménagé
au Minnesota à huit ans.
											Ma vie a changé quand j'ai rencontré
des enfants qui parlaient le somalien,
											étudié dans une école avec
un programme d'immersion linguistique
											et trouvé des professeurs
qui se surpassaient,
											restant après les cours
et pendant la pause déjeuner.
											Ils étaient déterminés à m'aider
à réussir en classe.
											Être une enfant réfugiée m’a appris
qu’il était possible de manquer de tout :
											de nourriture, d’un abri, d’eau potable,
											même d’amitié.
											Mais la seule chose
qu’on ne pourra jamais vous enlever,
											c’est votre éducation.
											J’ai donc fait des études ma priorité
											et j’ai commencé à m’épanouir
au sein de la classe.
									","
											Em breve, a minha mãe soube
											que muitos somalis
tinham encontrado refúgio
											numa pequena cidade do Minnesota.
											Por isso, quando eu tinha oito anos,
mudámo-nos para o Minnesota.
											A minha vida mudou quando encontrei
outros alunos que falavam somali,
											iam a uma escola que tinha um programa
de introdução ao inglês
											e encontrei professores que se excediam
											ficando na escola depois das aulas
e nos intervalos do almoço,
											dedicadas a ajudar-me
a ter êxito na turma.
											Ter sido refugiada tinha-me ensinado
que podíamos ser privados de tudo,
											de comida, de abrigo, de água potável.
											e até de amizades.
											Mas a única coisa que nunca
ninguém me podia tirar
											era a vossa educação.
											Por isso, dei prioridade aos meus estudos
											e em breve me destaquei na sala de aulas.
									","
											Doch wir erfuhren, dass viele Somalis in
einer kleinen Stadt in Minnesota lebten.
											Mit acht zog ich nach Minnesota.
											Mein Leben veränderte sich, als ich andere
Studierende traf, die Somali sprachen,
											ich auf eine Schule ging,
die einen Englisch-Intensivkurs anbot
											und ich Lehrer bekam,
die alles für mich gaben.
											Sie blieben nach dem Unterricht,
in den Mittagspausen,
											um mir hingebungsvoll den Erfolg
im Unterricht zu ermöglichen.
											Als Flüchtlingskind habe ich gelernt,
dass einem alles genommen werden kann:
											Essen, Unterschlupf, sauberes Trinkwasser
und sogar Freundschaften.
											Aber eine Sache kann einem
niemand nehmen: die Bildung.
											Also wurde Lernen für mich das Wichtigste
											und bald blühte ich in meiner Klasse auf.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
