pt,fr,title,speaker,duration,tags
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											em que ele e James estavam
a trabalhar há 20 anos.
											Como teste, criaram dois mosquitos
para transportar o gene antimalária,
											assim como essa nova ferramenta,
um gene condutor,
											que vou explicar dentro de instantes.
											Fizeram isso de tal forma
que qualquer mosquito
											que herdasse o gene antimalária
											não tivesse os usuais olhos brancos,
mas, em vez disso, olhos vermelhos.
											Isso foi feito por conveniência,
									","
											Ils ont pris les moustiques
anti-paludisme aux yeux rouges
											et les ont mis dans une boîte
avec 30 moustiques normaux,
											et laissé se reproduire.
											En deux générations, ils ont eu
3 800 petits-enfants.
											Ce n'est pas la partie surprenante.
											Voici ce qui surprend :
											sachant que vous avez commencé avec
											deux moustiques aux yeux rouges
et 30 aux yeux blancs,
											on s'attendrait à
une descendance surtout à yeux blancs.
											Au contraire,
lorsque James a ouvert la boîte,
											tous les moustiques
avaient les yeux rouges.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											de modo que, só de olhar,
soubessem qual era qual.
											Colocaram esses dois mosquitos
antimalária, de olhos vermelhos,
											numa caixa com 30 mosquitos
comuns, de olhos brancos,
											para se cruzarem.
											Em duas gerações, os mosquitos
produziram 3800 netos.
											Essa não foi a parte surpreendente.
											A parte surpreendente foi que,
											como começaram com apenas
dois mosquitos de olhos vermelhos
											e 30 mosquitos de olhos brancos,
											esperava-se uma maioria
de descendentes de olhos brancos.
											Em vez disso, quando James abriu a caixa,
									","
											Lorsque j'ai questionné Bier
sur ce moment,
											il était si excité
qu'il criait littéralement au téléphone.
											C'est parce qu'obtenir uniquement
des yeux rouges
											bafoue une loi essentielle
de la biologie,
											la génétique Mendélienne.
											Pour faire court,
											la génétique Mendélienne dit que
les enfants issus d'un accouplement
											reçoivent 50% de leur ADN
de chaque parent.
											Donc si le moustique d'origine est aa,
et le nouveau est aB,
											avec B le gène anti-paludisme,
											les enfants peuvent avoir
quatre permutations :
											aa, aB, aa, Ba.
											Cependant, avec le nouveau gène,
											ils sont tous aB.
											Biologiquement, cela ne devrait
pas être possible.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											todos os 38000 mosquitos
tinham olhos vermelhos.
											Quando perguntei a Ethan Bier
sobre aquela situação,
											ele ficou tão entusiasmado que
começou a gritar ao telefone.
											Conseguir apenas
mosquitos de olhos vermelhos
											viola uma regra que é a pedra
fundamental da biologia,
											as Leis de Mendel.
											Vou ser breve.
											As Leis de Mendel dizem que,
quando um macho e uma fêmea se cruzam,
											as crias herdam metade
do ADN de cada lado.
											Assim, se o mosquito inicial
era aa, e o novo mosquito é aB,
											em que B é o gene antimalária,
											as crias deviam surgir
em quatro combinações:
											aa, aB, aa, Ba.
											Em vez disso, com o novo gene condutor,
											apareceram todos aB.
									","
											Mais que s'est-il donc passé ?
											D'abord, l'apparition en 2012
											de l'outil de manipulation génomique
appelé CRISPR.
											Vous avez certainement entendu
parler de CRISPR,
											donc je vais juste dire que CRISPR
est un outil qui permet aux chercheurs
											de modifier les gènes de manière
précise, facile et rapide.
											Il utilise un mécanisme
déjà présent dans les bactéries.
											En résumé, il y a une protéine
qui agit comme des ciseaux
											et coupe la séquence ADN,
											et une molécule d'ARN
qui dirige les ciseaux
											où vous voulez sur le génome.
											Cela donne en résumé
un traitement de texte pour gènes.
											Vous pouvez enlevez tout un gène,
en mettre un,
											ou même juste une seule lettre
d'un gène.
											Et vous pouvez faire ça
sur n'importe quelle espèce.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											Biologicamente, isso nem
devia ser possível.
											Então, o que aconteceu?
											A primeira coisa que aconteceu
foi a descoberta de uma ferramenta
											para alterar o gene, conhecida
por CRISPR, em 2012.
											Provavelmente muitos
já ouviram falar do CRISPR,
											uma ferramenta que permite
aos investigadores
											alterar genes de forma
muito precisa, fácil e rápida.
											Faz-se isso aproveitando um mecanismo
já existente na bactéria.
											Há uma proteína que age
como uma tesoura e corta o ADN,
											e há uma molécula de ARN
que guia a tesoura
											para qualquer ponto do genoma
que quisermos.
											O resultado é um processador
de palavras para genes.
											Podemos retirar um gene inteiro,
colocar outro no lugar,
											ou até alterar uma única letra
dentro de um gene.
											Podemos fazer isso 
com quase todas as espécies.
									","
											Donc, souvenons-nous des deux problèmes
liés aux systèmes d'entraînement de gènes.
											Le premier était la difficulté de créer
											un moustique résistant au paludisme.
											Ce point est réglé, grâce à CRISPR.
											Mais l'autre problème est logistique.
											Comment propager cette caractéristique ?
											C'est là que ça devient subtil.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											Lembram-se de que eu disse 
que os genes condutores
											inicialmente tinham dois problemas?
											O primeiro é que era difícil 
criar um mosquito
											para ser resistente à malária.
											Isso praticamente está resolvido,
graças ao CRISPR.
											Mas o outro problema era de logística.
											Como se espalha uma característica?
											É aqui que a coisa fica interessante.
									","
											Il y a quelques années, Kevin Esvelt,
un biologiste d'Harvard,
											s'est demandé ce qui se passerait
											si nous faisions en sorte que
CRISPR non seulement ajoute un gène,
											mais aussi le système qui permet
de faire le copier-coller.
											En d'autres termes, et si CRISPR
se reproduisait lui-même ?
											Nous obtenons alors
											une machine à mouvement perpétuel
de modification de gènes.
											Et c'est ce qui s'est passé.
											Le système d'entraînement CRISPR
créé par Esvelt
											non seulement garantissait le caractère
héréditaire d'un gène,
											mais s'il est introduit
dans les cellules germinales,
											il copiera automatiquement
le nouveau gène
											dans les deux chromosomes
de chaque individu.
											C'est comme un chercher-remplacer global,
											ou, en termes scientifiques,
il rend un trait hétérozygote homozygote.
											Qu'est-ce que ça signifie ?
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											Há uns anos, um biólogo de Harvard,
chamado Kevin Esvelt
											imaginou o que aconteceria
											se o CRISPR não só inserisse um novo gene,
											mas também o mecanismo
que faz o ""cortar"" e ""colar"".
											Por outras palavras, se o CRISPR
também copiasse e se colasse a si mesmo,
											acabaríamos com uma máquina
de movimento perpétuo
											para alteração de genes.
											Foi exatamente o que aconteceu.
											Esse gene condutor do
CRISPR que Esvelt criou
											garante que uma característica
se transmite,
											mas, se for usado
nas células germinativas,
											vai automaticamente
copiar e colar o seu novo gene
											em ambos os cromossomos
de cada um dos indivíduos.
											É como uma busca e substituição globais
											ou, em termos científicos, transforma
um heterozigoto em homozigoto.
									","
											Cela signifie
que nous avons un outil
											très puissant, mais aussi très dangereux.
											Jusqu'ici, le demi-succès
des systèmes d'entraînement de gènes
											était presque un soulagement.
											Normalement, lorsqu'on joue
avec les gènes d'un organisme,
											nous le rendons
moins apte à survivre.
											On peut donc faire
autant de mouches à fruit qu'on veut
											sans inquiétude.
											Si certaines s'échappent,
la sélection naturelle prend le relais.
											Ce qui est puissant et inquiétant
avec ces systèmes,
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											O que é que isso significa?
											Para começar, significa que temos
uma nova ferramenta muito poderosa,
											mas também de certa forma alarmante.
											Até agora, o facto de o gene condutor
não ter funcionado muito bem
											foi na verdade um alívio.
											Normalmente, ao alterarmos
os genes de um organismo,
											tornamo-los menos aptos a evoluir.
											Assim, os biólogos podem criar
											todas as moscas da fruta mutantes
que quiserem, sem se preocuparem.
											Se alguma escapar, a seleção natural
vai-se encarregar dela.
									","
											c'est que cela ne sera plus le cas.
											En considérant que la caractéristique
n'est pas un handicap à la survie,
											comme un moustique qui ne vole pas,
											le système basé sur CRISPR propagera
la modification sans limite
											jusqu'à être dans
chaque individu de la population.
											Ce n'est pas évident de faire
un système si performant,
											mais James et Esvelt
pensent cela possible.
											La bonne nouvelle est que nous pouvons
faire des choses remarquables.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											O que é impressionante, poderoso
e assustador sobre os genes condutores
											é que isso vai deixar de ser verdade.
											Assumindo que a sua característica
não tem um grande defeito evolutivo,
											como um mosquito que não pode voar,
											o gene condutor baseado no CRISPR
vai espalhar esta mudança sem cessar
											até que esteja em todos
os indivíduos da população.
											Não é fácil conseguir que o gene condutor
funcione assim tão bem,
											mas James e Esvelt acham que é possível.
									","
											En insérant un système
d’entrainement de gène anti-palu
											chez seulement
1% des moustiques anophèles,
											l'espèce vecteur du paludisme,
											tous les moustiques l'auraient en un an.
											En un an, il serait possible
d'éliminer le paludisme.
											En réalité, il nous faudra encore
quelques années pour y arriver, mais
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											Felizmente, isso abre a porta
a algumas coisas notáveis.
											Se colocarmos
um gene condutor antimalária
											em apenas 1% dos mosquitos Anopheles,
											a espécie que transmite a malária,
											os investigadores calculam que ele se
disseminará por toda a população num ano.
											Assim, num ano, podíamos
praticamente eliminar a malária.
											Na prática, ainda estamos a uns anos
de podermos fazer isso,
											mas morrem 1000 crianças
por dia de malária.
											Num ano, esse número
poderia chegar a zero.
									","
											1 000 enfants meurent
chaque jour du paludisme.
											Dans un an, ce chiffre pourrait
être proche de zéro.
											Il en va de même pour le dengue,
le chikungunya, la fièvre jaune.
											Et il y a mieux.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											O mesmo se aplica à febre dengue,
ao chikungunya e à febre amarela.
											E há mais.
											Digamos que queremos livrar-nos
de espécies invasivas,
											por exemplo, libertar os Grandes
Lagos da carpa asiática.
											Basta libertarmos um gene condutor
											que faça o peixe produzir
apenas crias machos.
											Em poucas gerações, não haverá fêmeas,
acabaram-se as carpas.
											Em teoria, podemos repor
centenas de espécies nativas
									","
											Pour se débarrasser d'une espèce invasive,
											comme la carpe d'Asie
dans les Grands Lacs,
											il suffit de déployer
un système d'entraînement de gènes
											faisant que les progénitures
sont toutes des mâles.
											En quelques générations,
plus de femelles, et plus de carpes.
											En théorie, nous pourrions
rétablir des centaines d'espèces locales
											au bord de l'extinction.
											Ça, ce sont les bonnes nouvelles.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											que estão à beira de extinção.
											Bem, esta foi a notícia boa,
											mas também há má notícias.
											As alterações genéticas são tão eficazes
											que mesmo uma libertação acidental
poderá mudar uma espécie inteira,
											e normalmente muito depressa.
											Anthony James tomou boas precauções.
											Criou mosquitos num laboratório confinado
											e também usou uma espécie
não nativa dos EUA,
											de modo que, mesmo
que alguns se extraviassem,
											morreriam, porque não teriam
ninguém com quem acasalar.
											Mas também é verdade que, se uma dúzia
de carpas asiáticas macho modificadas
											fossem levadas acidentalmente
dos Grandes Lagos para a Ásia,
											elas podiam acabar com
a população nativa de carpas asiáticas.
											O que não é tão improvável, considerando
como o nosso mundo está ligado.
											É por isso que temos
um problema com as espécies invasivas.
											Estamos a falar de peixes.
											Não há hipótese de conter
											coisas como mosquitos e moscas da fruta,
									","
											Voilà les mauvaises.
											Les systèmes d'entraînement
sont si efficaces
											qu'un déploiement accidentel mettrait
très rapidement,
											en danger toute une espèce.
											Anthony James a usé
de grandes précautions.
											Il a conçu ses moustiques
dans un laboratoire confiné
											et a utilisé une espèce non-native des US
											pour qu'au cas où certains s'échappent,
											ils meurent sans se reproduire.
											Mais il est vrai que
si une dizaine de carpes modifiées
											étaient accidentellement ramenées,
depuis les Grands Lacs vers l'Asie,
											elles pourraient effacer
la population locale de carpes d'Asie.
											Et dans un monde si connecté,
ce n'est pas du tout impensable.
											C'est même l'origine
des espèces invasives.
											Et on parle de poissons.
											Pour les moustiques et moucherons,
											il n'y a aucun moyen de les contenir.
											Ils traversent constamment
frontières et océans.
											Mais l'autre mauvaise nouvelle
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											Estão sempre a atravessar
fronteiras e oceanos.
											Ok, a outra parte da má notícia
											é que o gene condutor
pode não ficar restrito
											ao que chamamos as espécies alvo.
											Isso ocorre por causa do fluxo do gene,
											o que é uma forma elegante
de dizer que as espécies vizinhas
											por vezes se cruzam entre si.
											Se isso acontecer, é possível
											que esse estímulo genético
possa transmitir-se
											assim como a carpa asiática pode
infetar outros tipos de carpas.
											Não é tão mau assim se o condutor
só promover uma característica,
											como a cor dos olhos.
											De facto, há uma boa hipótese 
de que veremos
											uma onda de moscas da fruta
muito estranhas, num futuro próximo.
											Mas pode ser um desastre
se o condutor for concebido
									","
											est qu'un système d'entraînement de gènes
pourrait ne pas se limiter à la cible.
											Ceci est dû au flux génomique,
un moyen élégant
											de dire que
parfois des espèces proches s'accouplent.
											Si cela arrivait, un gène conducteur
pourrait être transmis,
											comme la carpe d'Asie
contaminant une autre espèce de carpes.
											Ce n'est pas grave
s'il s'agit de la couleur des yeux.
											À vrai dire, il est possible
que nous voyons prochainement
											une vague de mouches à fruit
très bizarres.
											Mais cela pourrait être un désastre
											si le gène conducteur vise
à éliminer une espèce entière.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											para eliminar totalmente a espécie.
											A última coisa preocupante
é que a tecnologia
											para criar geneticamente um organismo
e incluir um gene condutor,
											é algo que qualquer laboratório
no mundo pode fazer.
											Um estudante pode fazê-lo.
									","
											L'autre inquiétude
est que la technologie pour faire cela,
											pour modifier un organisme et
ajouter un système d'entraînement de gène,
											est quelque chose que
n'importe quel laboratoire peut faire.
											Une personne en licence peut le faire.
											Un lycéen avec du talent
et un peu d'équipement peut le faire.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											Um aluno de liceu com talento
e com algum equipamento pode fazê-lo.
									","
											Là, ça sonne terrifiant.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											Imagino como isso soa assustador.
									","
											(Rires)
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											(Risos)
											Curiosamente, quase todos
os cientistas com quem conversei
											pensavam que as alterações genéticas
não são tão assustadoras ou perigosas.
											Em parte, por acreditarem
que os cientistas vão ser cautelosos
									","
											Curieusement, presque
tous les scientifiques avec qui je parle
											pensent que les systèmes d'entraînement
ne sont ni inquiétants ni dangereux.
											En partie car ils pensent que
											les scientifiques seront prudents
dans leur non-utilisation.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											e responsáveis ao usá-las.
									","
											(Rires)
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
											(Risos)
											Até agora, isso tem sido verdade.
											Mas as alterações genéticas
também têm limitações reais.
											Primeiro, por só funcionarem em espécies
que se reproduzem sexualmente.
											Assim, felizmente, não podem ser usados
para criar vírus ou bactérias.
											A característica também só se espalha
em cada geração sucessiva.
											Assim, alterar ou eliminar uma população
											só é prático se essa espécie
tiver um ciclo reprodutivo rápido,
											como os insetos ou pequenos vertebrados, 
como os ratos ou os peixes.
											Nos elefantes e nas pessoas,
levaria séculos
									","
											Jusqu'ici, c'est vrai.
											Mais les systèmes d'entraînement
de gènes sont aussi limités.
											D'une part, ils ne marchent que
pour les espèces à reproduction sexuée.
											Donc ils ne peuvent être utilisés
pour fabriquer des virus ou bactéries.
											D'autre part, le trait ne se propage
qu'à chaque génération.
											Donc modifier ou éliminer une population
											n'est envisageable que pour
des espèces à cycle reproductif rapide,
											comme les insectes et peut-être
les souris ou le poisson.
											Pour les éléphants ou les hommes,
il faudrait des siècles
											pour qu'un trait soit suffisamment
répandu pour avoir un impact.
									",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
"
","
",Gene editing can now change an entire species — forever,Jennifer Kahn,12:25,"bioethics,choice,Debate,DNA,disease,engineering,future,genetics,health,humanity,innovation,journalism,life,morality,potential,public health,science,society,technology,biotech,CRISPR"
