pt,en,de,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Se voltarem a olhar em volta,
											ainda há umas quatro pessoas de pé
											e, na verdade,
não vos vou pôr na berlinda.
											Só disse aquilo para encorajar
a transparência, por isso podem sentar-se.
									","
											So if we look around again,
											there are about four people
still standing,
											and actually I'm not going
to put you on the spot.
											I just say that to encourage transparency,
so you can be seated.
									","
											Wenn wir uns jetzt umsehen,
											stehen noch etwa vier Menschen.
											Ich stelle Sie aber nicht zur Schau,
ich will nur ein klares Bild schaffen.
											Setzen Sie sich ruhig wieder.
									","
											Si vous regardez autour,
											il y a encore environ 4 personnes debout
											et je ne vais pas aller plus loin.
											Je dis cela pour encourager
la transparence, vous pouvez vous asseoir.
									","
											Evet, tekrar bir bakacak olursak
											hâlâ ayakta olan dört beş insan var.
											Aslında sizi sorgulamayacağım,
											sadece daha şeffaf olsun istedim,
oturabilirsiniz.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											(Risos)
									","
											(Laughter)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Aqueles que reconheceram
o primeiro grupo de nomes
											sabem que eram afro-americanos
que foram mortos pela polícia
											nos últimos dois anos e meio.
											O que poderão não saber
											é que a outra lista
também é de afro-americanos
											que foram mortos 
nos últimos dois anos.
											Só há uma coisa que distingue
os nomes que conhecem
											dos nomes que não conhecem:
											o sexo.
									","
											So those of you who recognized
the first group of names know
											that these were African-Americans
who have been killed by the police
											over the last two and a half years.
											What you may not know
											is that the other list
is also African-Americans
											who have been killed
within the last two years.
											Only one thing distinguishes
the names that you know
											from the names that you don't know:
											gender.
									","
											Wenn Sie die ersten paar Namen
erkannt haben, wissen Sie:
											So hießen Afroamerikaner,
											die in den letzten zweieinhalb Jahren
von Polizisten getötet wurden.
											Vielleicht wissen Sie aber nicht,
											dass die anderen Namen
auch zu Afroamerikanern gehören,
											die im Verlauf der letzten
zwei Jahre getötet wurden.
											Nur eines unterscheidet die Namen,
											die Sie erkannt haben, von den anderen:
											ihr Geschlecht.
									","
											Ceux d'entre vous qui ont reconnu
le premier groupe de noms savent
											que c'étaient des Afro-américains
qui ont été tués par la police
											au cours des dernières
deux années et demi.
											Vous ignorez peut-être
											que, dans l'autre liste,
ce sont également des Afro-américains
											qui ont été tués
au cours des deux dernières années.
											Une seule chose distingue
les noms que vous connaissez
											des noms que vous ne connaissez pas :
											le sexe.
									","
											İlk gruptaki isimleri 
hatırlayanların da bildiği gibi
											onlar son iki buçuk yılda polis tarafından
öldürülen Afrikalı Amerikanlardı.
											Belki bilmediğiniz şey ise
diğer gruptaki isimlerin de
											son iki yıl içerisinde öldürülen 
Afrikalı Amerikanlar olması.
											Bildiğiniz isimleri bilmediklerinizden
ayıran tek şey ise cinsiyet.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Mas, primeiro, vou dizer
que não há diferença nenhuma
											no que se refere a este público
											que explique o padrão
de reconhecimento a que assistimos.
											Já fiz este exercício
dúzias de vezes por todo o país.
											Fi-lo em organizações 
dos direitos das mulheres.
											Fi-lo em grupos de direitos civis.
											Fi-lo com professores.
fi-lo com estudantes.
											Fi-lo com psicólogos.
Fi-lo com sociólogos.
											Fi-lo mesmo com membros
progressistas do Congresso.
											E, em toda a parte, o conhecimento
do nível da violência policial
											que as mulheres negras experimentam
											é extremamente baixo.
									","
											So let me first let you know
that there's nothing at all distinct
											about this audience
											that explains the pattern of recognition
that we've just seen.
											I've done this exercise
dozens of times around the country.
											I've done it to women's
rights organizations.
											I've done it with civil rights groups.
											I've done it with professors.
I've done it with students.
											I've done it with psychologists.
I've done it with sociologists.
											I've done it even with
progressive members of Congress.
											And everywhere, the awareness
of the level of police violence
											that black women experience
											is exceedingly low.
									","
											Zuerst möchte ich mal sagen,
											dass es an diesem Publikum
keine besonderen Auffälligkeiten gibt,
											die die Mustererkennung erklären,
die wir gerade gesehen haben.
											Ich habe diese Übung dutzende Male
überall im Land durchgeführt.
											Ich habe sie mit Organisationen
für Frauenrechte gemacht,
											mit Bürgerrechtsgruppen,
											mit Professoren, mit Studenten,
											mit Psychologen, mit Soziologen,
											sogar mit progressiven Mitgliedern
des US-Kongresses.
											Und stets war das Bewusstsein
für das Ausmaß an polizeilicher Gewalt,
											das schwarze Frauen erleben,
											schwindend gering.
									","
											Je vais commencer par vous dire
qu'il n'y a rien de distinct
											concernant ce public
											qui explique le schéma de reconnaissance
que nous venons d'observer.
											J'ai fait cet exercice
des dizaines de fois à travers le pays.
											Je l'ai fait avec des organisations
de droits des femmes,
											avec des groupes pour les droits civils,
											avec des professeurs, avec des étudiants,
											avec des psychologues,
avec des sociologues
											et même avec des membres
progressistes du Congrès.
											Partout, la connaissance
du niveau de violence policière
											à laquelle font face les femmes noires
											est extrêmement basse.
									","
											Öncelikle bilmenizi isterim ki
sizleri,
											şahit olduğumuz tanıma aşamalarında
ayıran hiçbir şey yok.
											Bu çalışmayı ülkenin her yerinde
defalarca yaptım.
											Kadın hakları örgütleriyle,
											insan hakları topluluklarıyla,
											profesörlerle, öğrencilerle,
											psikologlarla, sosyologlarla
											ve hatta meclisteki ileri görüşlü 
üyelerle bile yaptım.
											Her yerde siyahi kadınlara yönelik
											polis şiddeti konusundaki farkındalık
											düzeyi oldukça düşük.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Não é surpreendente
que isto aconteça?
											Ou seja, há aqui duas questões.
											Há a violência da polícia
contra os afro-americanos
											e há a violência contra as mulheres,
											duas questões de que
se tem falado muito ultimamente.
											Mas quando pensamos 
em quem está implicado nestes problemas,
											quando pensamos quem são as vítimaa
destes problemas,
											os nomes destas mulheres negras
nunca nos vêm à cabeça.
									","
											Now, it is surprising, isn't it,
that this would be the case.
											I mean, there are two issues
involved here.
											There's police violence
against African-Americans,
											and there's violence against women,
											two issues that have been
talked about a lot lately.
											But when we think about
who is implicated by these problems,
											when we think about
who is victimized by these problems,
											the names of these black women
never come to mind.
									","
											Das sollte uns eigentlich überraschen.
											Hier geht es doch gleich um zwei Probleme:
											einmal um polizeiliche Gewalt
gegen Afroamerikaner,
											aber auch um Gewalt gegen Frauen —
											beides Themen, über die
in letzter Zeit oft gesprochen wird.
											Aber wenn wir darüber nachdenken,
											wer von diesen Problemen betroffen ist —
											darüber, wer die Leidtragenden
dieser Probleme sind —
											werden diese schwarzen Frauen nie erwähnt.
									","
											Il est surprenant que ce soit le cas.
											Il y a deux problèmes en cause ici.
											Il y a la violence policière
envers les Afro-américains
											et il y a la violence envers les femmes,
											deux problèmes dont on a
beaucoup parlé récemment.
											Mais quand nous pensons
à qui est impliqué dans ces problèmes,
											quand nous pensons
à qui est victimisé par ces problèmes,
											le nom de ces femmes noires
ne nous vient jamais à l'esprit.
									","
											Durum oldukça şaşırtıcı değil mi?
											Yani bu durumda iki mesele var.
											Afrikalı Amerikalılara yönelik 
polis şiddeti
											ve kadınlara yönelik polis şiddeti,
											son zamanlarda sıklıkla
konuşulan iki mesele.
											Fakat bu sorunların
kimlere yönelik olduğunu,
											kimlere zulmedildiğini düşündüğümüzde
											siyahi kadınların isimleri
asla akıllara gelmiyor.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Os especialistas de comunicações
dizem-nos
											que, quando os factos não se enquadram
nas molduras disponíveis,
											as pessoas têm muita dificuldade
em incorporar factos novos
											na sua maneira de pensar
num problema.
											Os nomes destas mulheres
escaparam à nossa consciência,
											porque não há molduras 
em que possamos vê-los,
											não há molduras 
em que os recordemos,
											não há molduras 
em que os retenhamos.
											Por consequência,
											os repórteres não lhes dão atenção,
											os legisladores não pensam neles,
											e os políticos não são encorajados
nem obrigados a conhecê-los.
									","
											Now, communications experts tell us
											that when facts do not fit
with the available frames,
											people have a difficult time
incorporating new facts
											into their way of thinking
about a problem.
											These women's names
have slipped through our consciousness
											because there are no frames
for us to see them,
											no frames for us to remember them,
											no frames for us to hold them.
											As a consequence,
											reporters don't lead with them,
											policymakers don't think about them,
											and politicians aren't encouraged
or demanded that they speak to them.
									","
											Kommunikationsexperten
sagen dazu Folgendes:
											Wenn bestimmte Fakten in keinen
bereits vorhandenen Rahmen passen,
											fällt es den Menschen schwer,
neue Fakten zu berücksichtigen,
											wenn sie über ein Problem nachdenken.
											Unser Bewusstsein hat
die Namen dieser Frauen vergessen,
											weil es keinen Rahmen gibt,
in dem wir sie betrachten können,
											in dem wir uns an sie erinnern können,
											in dem sie greifbar für uns werden.
											Folglich werden sie von Reportern
nicht als Erstes erwähnt,
											von Entscheidungsträgern ignoriert
											und von Politikern wird nicht gefordert
oder verlangt, sie anzuhören.
									","
											Des experts en communication nous diraient
											que les faits ne collent pas
aux cadres disponibles,
											les gens ont du mal
à incorporer de nouveaux faits
											dans leur façon de penser à un problème.
											Les noms de ces femmes
ont échappés à la notoriété
											car il n'y a pas de cadre
dans lequel nous pourrions les voir,
											pas de cadre pour que
nous nous en souvenions,
											pas de cadre pour que nous les gardions.
											La conséquence en est
											qu'ils ne font pas la une des infos,
											les décideurs n'y pensent pas
											et les politiciens ne sont pas encouragés
ou obligés à les connaître.
									","
											İletişim uzmanlarının söylediğine göre
											gerçekler var olan çerçeveye uymadığında
											insanlar yeni gerçekleri, 
bir sorun hakkındaki düşünce tarzlarına
											dahil etmekte zorluk yaşıyorlar.
											Bu kadınların isimleri
zihnimizden geçip gitti
											çünkü onları görebilmemiz için,
											hatırlamamız için
											ve unutmamamız için hiçbir çerçeve yok.
											Bunun sonucunda
											muhabirler onlardan bahsetmiyor,
											kararları verenler onları düşünmüyor
											ve politikacılar onlardan 
söz etmeleri için teşvik edilmiyor
											ya da bu talep edilmiyor.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Poderão perguntar:
											porque é importante uma moldura?
											Afinal de contas,
											um problema que afeta as pessoas negras
e um outro que afeta as mulheres,
											não devia incluir obrigatoriamente
as pessoas negras que são mulheres
											e as mulheres que são pessoas negras?
											A resposta simples é que essa
é uma abordagem genérica da justiça social,
											e muitas vezes não funciona.
											Sem molduras que nos permitam ver
											qual o impacto dos problemas sociais
em todos os membros de um grupo alvo,
											muitos deles passarão pelas malhas
dos nossos movimentos,
											e sofrerão, praticamente em isolamento.
											Mas não tem que ser assim.
									","
											Now, you might ask,
											why does a frame matter?
											I mean, after all,
											an issue that affects black people
and an issue that affects women,
											wouldn't that necessarily include
black people who are women
											and women who are black people?
											Well, the simple answer is that this is
a trickle-down approach to social justice,
											and many times it just doesn't work.
											Without frames that allow us to see
											how social problems impact
all the members of a targeted group,
											many will fall through the cracks
of our movements,
											left to suffer in virtual isolation.
											But it doesn't have to be this way.
									","
											Vielleicht fragen Sie sich,
warum ein Rahmen wichtig ist.
											Es geht doch um ein Problem,
											das sowohl Schwarze
als auch Frauen betrifft.
											Müsste das nicht gezwungenermaßen
auch Schwarze betreffen, die Frauen sind,
											und Frauen, die schwarz sind?
											Die einfache Antwort ist,
											dass soziale Gerechtigkeit
hier von oben nach unten erfolgt,
											und das funktioniert oft einfach nicht.
											Wenn uns der Rahmen fehlt, um zu erkennen,
											dass soziale Probleme jedes Mitglied
einer bestimmten Gruppe betreffen,
											bleiben in unseren Bewegungen
viele von ihnen unberücksichtigt,
											die dadurch praktisch
in die Isolation getrieben werden.
											Das muss aber nicht so sein.
									","
											Vous vous demandez peut-être :
											pourquoi un cadre importe-t-il ?
											Après tout,
											un problème affectant les personnes noires
et un autre affectant les femmes,
											cela n'inclurait-il pas nécessairement
les personnes noires qui sont des femmes
											et les femmes
qui sont des personnes noires ?
											La réponse simple est que
											cela est une approche d'écoulement
de la justice sociale
											et que, souvent, cela ne fonctionne pas.
											Sans cadre nous permettant de voir
											comment les problèmes sociaux affectent
tous les membres d'un groupe,
											beaucoup passeront à travers les mailles
de nos mouvements,
											ils souffriront, virtuellement isolés.
											Mais les choses n'ont pas à être ainsi.
									","
											Bu noktada sorabilirsiniz,
											bir çerçevenin ne önemi var?
											Yani ne de olsa siyahi insanları
											ve kadınları etkileyen bir mesele
											illaki kadın olan bir siyahi insanı
											ya da siyahi olan bir kadını etkiler mi?
											En basit cevabıyla bu,
toplumsal adalete yönelik bir yaklaşım
											ve çoğunlukla işe yaramıyor.
											Toplumsal problemlerin, 
hedeflenen bir grubun tüm üyelerini
											nasıl etkilediğini görmemizi
sağlayan çerçeveler olmadan
											birçoğu eylemlerimiz arasında kaybolup
											yalnızlığa terk edilecekler.
											Fakat bunun böyle olması gerekmiyor.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Há muitos anos, comecei a usar
o termo ""interseccionalidade""
											para falar do facto de que muitos
dos nossos problemas na justiça social
											como o racismo e o sexismo
											estão frequentemente sobrepostos,
											criando níveis múltiplos
de injustiça social.
									","
											Many years ago, I began to use
the term ""intersectionality""
											to deal with the fact
that many of our social justice problems
											like racism and sexism
											are often overlapping,
											creating multiple levels
of social injustice.
									","
											Vor vielen Jahren begann ich, den Begriff
""Intersektionalität"" zu benutzen,
											um darauf hinzuweisen, dass sich
viele Probleme in unserer Gesellschaft,
											wie Rassismus und Sexismus,
											in vielen Fällen überlappen,
											und dass soziale Ungerechtigkeit
daher vielschichtig sein kann.
									","
											Il y a de nombreuses années, j'ai commencé
à utiliser le terme « intersectionnalité »
											pour parler du fait que nombre
de nos problèmes dans la justice sociale,
											comme le racisme et le sexisme,
											se recoupent souvent,
											créant de multiples niveaux
d'injustice sociale.
									","
											Irkçılık ve cinsiyetçilik gibi
											birçok toplumsal adalet probleminin
											çeşitli toplumsal adaletsizlik
katmanları oluşturarak
											örtüştüğü gerçeğini ele almak
için uzun yıllar önce
											''kesişimsellik'' terimini 
kullanmaya başladım.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											A experiência que deu origem
a esta interseccionalidade
											foi a sorte que tive de encontrar
uma mulher chamada Emma DeGraffenreid.
											Emma DeGraffenreid.
era uma mulher afro-americana,
											uma esposa e mãe trabalhadora.
											Eu lera a história de Emma
nas páginas de uma revista de direito,
											escrita por um juiz
que tinha rejeitado a queixa de Emma
											sobre discriminação racial e sexista
											contra uma fábrica de automóveis local.
											Emma, tal como muitas
mulheres afro-americanas,
											procurava um emprego melhor
para a sua família e para outros.
											Queria criar uma vida melhor
para os filhos e para a família.
											Mas candidatara-se a um emprego,
											e não fora contratada.
											Estava convencida que tinha sido
por ser uma mulher negra.
									","
											Now, the experience
that gave rise to intersectionality
											was my chance encounter
with a woman named Emma DeGraffenreid.
											Emma DeGraffenreid
was an African-American woman,
											a working wife and a mother.
											I actually read about Emma's story
from the pages of a legal opinion
											written by a judge
who had dismissed Emma's claim
											of race and gender discrimination
											against a local car manufacturing plant.
											Emma, like so many African-American women,
											sought better employment
for her family and for others.
											She wanted to create a better life
for her children and for her family.
											But she applied for a job,
											and she was not hired,
											and she believed that she was not hired
because she was a black woman.
									","
											Das Ereignis,
											das die Intersektionalität
ins Leben gerufen hat,
											war meine zufällige Begegnung
mit Emma DeGraffenreid.
											Emma DeGraffenreid war Afroamerikanerin,
											eine arbeitende Ehefrau und Mutter.
											Ich erfuhr von ihrer Geschichte
aus dem Rechtsgutachten eines Richters,
											der ihre Klage gegen einen
örtlichen Autohersteller
											auf der Grundlage von Rassen-
und Geschlechterdiskriminierung abwies.
											Wie so viele afroamerikanische Frauen
suchte Emma nach einer besseren Arbeit
											für ihre Familie und andere.
											Sie wollte ein besseres Leben
für ihre Kinder und ihre Familie.
											Sie bewarb sich für einen Job,
wurde aber abgelehnt —
											aus dem Grund, dachte sie,
dass sie eine schwarze Frau war.
									","
											L'expérience qui a mis en exergue
cette intersectionnalité
											était ma chance de rencontrer
un femme appelée Emma DeGraffenreid.
											Emma DeGraffenreid
est une femme afro-américaine,
											une femme travailleuse et une mère.
											J'ai lu l'histoire d'Emma
dans les pages d'un magazine de droit,
											un juge avait rejeté la réclamation d'Emma
											sur une discrimination de race et de genre
											contre une usine
de construction automobile.
											Emma, comme beaucoup
de femmes afro-américaines,
											cherchait un meilleur emploi
pour sa famille et les autres.
											Elle voulait fournir une meilleure vie
à ses enfants et à sa famille.
											Mais elle a postulé pour un emploi
											et n'a pas été embauchée
											et elle croyait que c'était
parce qu'elle était une femme noire.
									","
											Kesişimselliğe yol açan tecrübem
											Emma Degraffenreid isimli 
bir kadınla karşılaşmamdı.
											Emma Degraffenreid
Afrikalı Amerikalı bir kadın,
											çalışan bir eş ve anneydi.
											Aslında yerel bir araba
fabrikasına karşı yaptığı
											ırk ve cinsiyet 
ayrımcılığı iddiasını
											reddetmiş bir hakimin 
hukuki görüş yazısında
											Emma'nın hikâyesini okumuştum.
											Emma birçok Afrikalı Amerikalı 
kadın gibi ailesi
											ve diğerleri için daha iyi
istihdam arayışı içindeydi.
											Çocukları ve ailesi için
daha iyi bir hayat istiyordu.
											Fakat bir işe başvurdu,
											işe alınmadı
											ve siyahi bir kadın olduğu için
işe alınmadığını düşündü.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
