pt,en,title,speaker,duration,tags
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Mas, na pintura,
eu é que ditava as regras.
											Era o meu mundo privado.
											Aos 14 anos,
sabia que queria ser uma artista.
											O meu grande plano era servir mesas

											para sustentar a minha arte.
											Então continuei a praticar.
											Fiz um mestrado em Belas Artes,
											e na minha primeira exposição
o meu irmão perguntou-me:
											""O que são estes pontinhos vermelhos
ao lado dos quadros?""
											Ninguém ficou mais surpreendido do que eu.
											Os pontos significavam
que os quadros foram vendidos
											e que eu poderia pagar a renda
											a pintar.
											O meu apartamento tinha
quatro tomadas elétricas,
											e eu não podia usar um micro-ondas
e uma torradeira ao mesmo tempo,
											mas, ainda assim, podia pagar a renda.
											Eu estava muito feliz.
									","
											But painting was where I made the rules.
											That was my private world.
											By 14, I knew I really wanted
to be an artist.
											My big plan was to be a waitress
to support my painting.
											So I continued honing my skills.
											I went to graduate school
and I got an MFA,
											and at my first solo show,
my brother asked me,
											""What do all these red dots
mean next to the paintings?""
											Nobody was more surprised than me.
											The red dots meant
that the paintings were sold
											and that I'd be able to pay my rent
											with painting.
											Now, my apartment
had four electrical outlets,
											and I couldn't use a microwave
and a toaster at the same time,
											but still, I could pay my rent.
											So I was very happy.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Aqui está uma pintura dessa altura.
											Sentia a necessidade
de torná-la o mais realista possível.
											Ela tinha de ser específica e credível.
											Este era o lugar onde eu estava isolada
e tinha controlo total.
									","
											Here's a painting
from back around that time.
											I needed it to be
as realistic as possible.
											It had to be specific and believable.
											This was the place where I was
isolated and in total control.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Desde aí, fiz uma carreira
de pintar pessoas em água.
											As banheiras e os chuveiros
eram o ambiente fechado perfeito.
											Era íntimo e privado,
											e a água foi um desafio complicado
que me ocupou por uma década.
											Fiz cerca de 200 quadros destes,
											alguns com mais de dois metros,
											como este.
											Para esta pintura, misturei farinha
com a água para torná-la turva,
											pus óleo de cozinha na superfície,
e deitei uma rapariga lá para dentro.
											Quando o iluminei
											ficou tão bonito
que mal podia esperar para o pintar.
											Eu estava motivada
por uma espécie de curiosidade impulsiva,
											sempre à procura de algo novo
para adicionar:
											vinil, vapor, vidro.
											Uma vez cobri a cabeça e
o cabelo de vaselina
											só para ver como ficava.
											Não façam isso.
									","
											Since then, I've made a career
of painting people in water.
											Bathtubs and showers were
the perfect enclosed environment.
											It was intimate and private,
											and water was this complicated challenge
that kept me busy for a decade.
											I made about 200 of these paintings,
											some of them six to eight feet,
											like this one.
											For this painting, I mixed flour in
with the bathwater to make it cloudy
											and I floated cooking oil on the surface
											and stuck a girl in it,
											and when I lit it up,
											it was so beautiful
I couldn't wait to paint it.
											I was driven by this
kind of impulsive curiosity,
											always looking for something new to add:
											vinyl, steam, glass.
											I once put all this Vaseline
in my head and hair
											just to see what that would look like.
											Don't do that.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											(Risos)
									","
											(Laughter)
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Estava a correr bem.
											Eu estava a encontrar o meu caminho.
											Estava ansiosa e motivada,
											e rodeada por artistas,
											sempre a ir a inaugurações e eventos.
											Estava a ter algum sucesso
e reconhecimento,
											e mudei-me para um apartamento
com mais de quatro tomadas.
											A minha mãe e eu ficávamos
acordadas até tarde,
											a falar das nossas últimas ideias
e a inspirar-nos uma à outra.
											Ela fazia cerâmica belíssima.
									","
											So it was going well.
											I was finding my way.
											I was eager and motivated
											and surrounded by artists,
											always going to openings and events.
											I was having some success and recognition
											and I moved into an apartment
with more than four outlets.
											My mom and I would stay up very late
											talking about our latest ideas
and inspiring each other.
											She made beautiful pottery.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Tenho um amigo, o Bo,
que fez um quadro
											da mulher e de mim
a dançar perto do mar,
											a que ele chamou ""Os Anos Leves"".
											Perguntei-lhe o significado,
e ele disse:
											""É quando já entraste na idade adulta,
já não és uma criança,
											""mas as responsabilidades da vida
ainda não te pesam"".
											Era isso. Os anos leves.
									","
											I have a friend named Bo
who made this painting
											of his wife and I dancing by the ocean,
											and he called it ""The Light Years.""
											I asked him what that meant, and he said,
											""Well, that's when you've stepped
into adulthood, you're no longer a child,
											but you're not yet weighed down
by the responsibilities of life.""
											That was it. It was the light years.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											No dia 8 de outubro de 2011
											os anos leves acabaram.
											A minha mãe foi diagnosticada
com cancro do pulmão.
											Tinha-se espalhado para os ossos,
e estava no cérebro dela.
											Quando ela me contou,
fiquei devastada,
											endoideci completamente.
											Quando me recompus
e olhei para ela, percebi:
											Isto não é sobre mim.
											Isto é sobre descobrir como ajudá-la.
											O meu pai é médico,
											e foi uma enorme vantagem
tê-lo a orientar.
											Ele fez um ótimo trabalho
a cuidar dela.
											Mas eu também queria fazer
tudo o possível para ajudar,
											por isso queria tentar tudo.
											Todos queríamos.
											Pesquisei medicinas alternativas,
											dietas, sumos, acupuntura.
											Finalmente, perguntei-lhe:
											""É isto que queres que faça?"",
											e ela respondeu: ""Não"".
											Disse: ""Vai devagar,
vou precisar de ti mais tarde"".
									","
											On October 8, 2011,
											the light years came to an end.
											My mom was diagnosed with lung cancer.
											It had spread to her bones,
and it was in her brain.
											When she told me this, I fell to my knees.
											I totally lost it.
											And when I got myself together
and I looked at her,
											I realized, this isn't about me.
											This is about figuring out
how to help her.
											My father is a doctor,
											and so we had a great advantage
having him in charge,
											and he did a beautiful job
taking care of her.
											But I, too, wanted to do
everything I could to help,
											so I wanted to try everything.
											We all did.
											I researched alternative medicines,
											diets, juicing, acupuncture.
											Finally, I asked her,
											""Is this what you want me to do?""
											And she said, ""No.""
											She said, ""Pace yourself.
I'm going to need you later.""
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Ela sabia o que estava a acontecer,
											e sabia o que os médicos, os peritos
e a Internet não sabiam:
											como é que ela queria passar por isto.
											Eu só tinha de lhe perguntar.
											Apercebi-me de que, se tentasse
consertar a situação,
											ela me ia passar ao lado.
											Comecei, simplesmente,
a estar com ela,
											o que quer que isso significasse,
e em qualquer situação que surgisse,
											e simplesmente ouvia-a.
											Se antes estava a resistir,
passei a render-me,
											a abdicar de tentar controlar
o incontrolável
											e simplesmente estar
na situação com ela.
											O tempo abrandou,
											e a data era irrelevante.
									","
											She knew what was happening,
											and she knew what the doctors
											and the experts
and the internet didn't know:
											how she wanted to go through this.
											I just needed to ask her.
											I realized that if I tried to fix it,
											I would miss it.
											So I just started to be with her,
											whatever that meant
and whatever situation came up,
											just really listen to her.
											If before I was resisting,
then now I was surrendering,
											giving up trying to control
the uncontrollable
											and just being there in it with her.
											Time slowed down,
											and the date was irrelevant.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Criámos uma rotina.
											Cedo, cada manhã, eu entrava
na cama com ela e dormíamos.
											O meu irmão vinha para o pequeno-almoço
											e ficávamos contentíssimas ao ouvir
o carro dele chegar.
											Eu segurava-lhe as mãos
e ajudava-a a andar até à cozinha
											Ela tinha uma chávena enorme
que tinha feito
											e adorava beber o café nessa chávena,
											adorava comer pão irlandês
ao pequeno-almoço.
											Depois vinha o duche,
ela adorava esta parte.
											Ela adorava a água quente,
											e eu tentava dar-lhe a melhor
experiência possível,
											como num ""spa"".
											A minha irmã ajudava, às vezes.
											Tínhamos toalhas quentes
											e chinelos prontos imediatamente
											para que ela não tivesse nem
um segundo de frio.
											Eu secava-lhe o cabelo.
											Os meus irmãos vinham ao fim da tarde
e traziam os miúdos,
											e isso era o ponto alto do dia dela.
									","
											We developed a routine.
											Early each morning I would crawl
into bed with her and sleep with her.
											My brother would come for breakfast
											and we'd be so glad to hear
his car coming up the driveway.
											So I'd help her up and take both her hands
											and help her walk to the kitchen.
											She had this huge mug she made
											she loved to drink her coffee out of,
											and she loved Irish soda bread
for breakfast.
											Afterwards was the shower,
											and she loved this part.
											She loved the warm water,
											so I made this as indulgent as I could,
											like a spa.
											My sister would help sometimes.
											We had warm towels
											and slippers ready immediately
											so she never got cold for a second.
											I'd blow-dry her hair.
											My brothers would come in the evenings
and bring their kids,
											and that was the highlight of her day.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Com o passar do tempo,
começámos a usar uma cadeira de rodas,
											e ela já não queria comer tanto,
											e usava a chavenazinha mais pequena
que encontrámos para beber o café.
											Eu já não a conseguia ajudar sozinha,
											e contratámos uma auxiliar
para me ajudar com os duches.
									","
											Over time, we started to use a wheelchair,
											and she didn't want to eat so much,
											and she used the tiniest little teacup
we could find to drink her coffee.
											I couldn't support her myself anymore,
											so we hired an aide
to help me with the showers.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Estas atividades diárias simples
											tornaram-se o nosso ritual sagrado,
											e repetíamo-las dia após dia
enquanto o cancro crescia.
											Foi uma lição de humildade
e foi doloroso,
											e foi exatamente onde eu queria estar.
											Chamámos a este período
""o terrível belo"".
									","
											These simple daily activities
											became our sacred ritual,
											and we repeated them day after day
											as the cancer grew.
											It was humbling and painful
											and exactly where I wanted to be.
											We called this time ""the beautiful awful.""
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Ela morreu a 26 de outubro de 2012.
											Um ano e três semanas
depois do diagnóstico,
											ela tinha partido.
											Os meus irmãos, irmã, pai e eu
											juntámo-nos de uma maneira
solidária e atenciosa.
											Foi como se a nossa dinâmica familiar
											e todos os nossos ""papéis""
tivessem desaparecido
											e estávamos só juntos
neste desconhecido,
											a sentir o mesmo
											e a cuidar uns dos outros.
											Estou tão grata por tê-los.
									","
											She died on October 26, 2012.
											It was a year and three weeks
after her diagnosis.
											She was gone.
											My brothers, sister, and father and I
											all came together in this
supportive and attentive way.
											It was as though our whole family dynamic
											and all our established roles vanished
											and we were just
all together in this unknown,
											feeling the same thing
											and taking care of each other.
											I'm so grateful for them.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Sendo alguém que passa a maior parte
do seu tempo sozinha no estúdio,
											eu não fazia ideia de que
este tipo de ligação
											podia ser tão importante, tão curativa.
											Foi a coisa mais importante.
											Foi o que eu sempre quis.
									","
											As someone who spends most
of my time alone in a studio working,
											I had no idea that this kind of connection
											could be so important, so healing.
											This was the most important thing.
											It was what I always wanted.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Depois do funeral, era tempo de
voltar para o estúdio.
											Pus as malas no carro
e guiei até Brooklyn.
											Pintar é o que sempre fiz,
por isso pintei.
											Eis o que aconteceu.
											É como uma libertação de tudo
o que se passava dentro de mim.
											Aquele espaço muito seguro
											que criara em todos
os meus outros quadros,
											era um mito.
											Não funcionou.
											Eu estava com medo,
porque já não queria pintar mais.
									","
											So after the funeral, it was time
for me to go back to my studio.
											So I packed up my car
and I drove back to Brooklyn,
											and painting is what I've always done,
so that's what I did.
											And here's what happened.
											It's like a release of everything
that was unraveling in me.
											That safe, very, very carefully
rendered safe place
											that I created in all my other paintings,
											it was a myth.
											It didn't work.
											And I was afraid, because
I didn't want to paint anymore.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Então fui para a floresta.
											Pensei: ""Vou tentar isso,
ir para fora de casa"".
											Peguei nas minhas tintas,
e eu não era uma pintora de paisagens,
											mas também não era nenhum
""tipo"" de pintora bem definido,
											por isso, não tinha expetativas,
											o que me permitiu ser
despreocupada e livre.
											Até deixei um destes quadros molhados
											na rua, a noite toda,
											ao pé de uma lâmpada na floresta.
											Pela manhã estava repleto de insetos.
											Mas eu não me importei.
											Levei todas as pinturas de volta
para o meu estúdio,
											e raspei-as, esculpi-as,
											e deitei-lhes diluente para cima,
											para pôr mais tinta,
e desenhei sobre delas.
											Não tinha um plano,
											mas observava
o que estava a acontecer.
									","
											So I went into the woods.
											I thought, I'll try that, going outside.
											I got my paints,
and I wasn't a landscape painter,
											but I wasn't really
much of any kind of painter at all,
											so I had no attachment, no expectation,
											which allowed me to be reckless and free.
											I actually left one of these wet paintings
											outside overnight
											next to a light in the woods.
											By the morning it was lacquered with bugs.
											But I didn't care.
It didn't matter. It didn't matter.
											I took all these paintings
back to my studio,
											and scraped them, and carved into them,
											and poured paint thinner on them,
											put more paint on top, drew on them.
											I had no plan,
											but I was watching what was happening.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Este é o que tinha os insetos em cima.
											Eu não estava a tentar
representar um espaço real.
											O que me fascinava era o caos
e as imperfeições,
											e algo começou a acontecer.
											Fiquei curiosa outra vez.
											Esta é outra da floresta.
									","
											This is the one with all the bugs in it.
											I wasn't trying to represent a real space.
											It was the chaos and the imperfections
that were fascinating me,
											and something started to happen.
											I got curious again.
											This is another one from the woods.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Mas agora havia uma nuance.
											Eu não podia estar a controlar
a tinta como costumava fazer.
											Tinha de insinuar e sugerir,
											em vez de explicar ou descrever.
											Era aquela superfície imperfeita,
caótica e turbulenta
											que contava a história.
											Comecei a ser tão curiosa
como quando era estudante.
									","
											There was a caveat now, though.
											I couldn't be controlling
the paint like I used to.
											It had to be about implying
and suggesting,
											not explaining or describing.
											And that imperfect,
chaotic, turbulent surface
											is what told the story.
											I started to be as curious
as I was when I was a student.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											A seguir eu quis pôr figuras,
pessoas, nestas pinturas,
											e adorava este novo ambiente,
											então queria ter tanto as pessoas
como esta atmosfera.
											Quando me surgiu a ideia de como fazê-lo,
											fiquei um pouco nauseada e com tonturas
											— que, provavelmente, era só adrenalina —
											mas para mim é um sinal muito positivo.
									","
											So the next thing was I wanted
to put figures in these paintings, people,
											and I loved this new environment,
											so I wanted to have
both people and this atmosphere.
											When the idea hit me of how to do this,
											I got kind of nauseous and dizzy,
											which is really just adrenaline, probably,
											but for me it's a really good sign.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Agora quero mostrar-vos
os meus trabalhos mais recentes.
											Ainda não os expus,
é um pouco como uma ""ante-estreia""
											da minha próxima exposição,
											o que tenho até agora.
											Espaço expansivo,
											em vez da banheira isolada.
											Estou a ir para fora
em vez de para dentro.
											A afrouxar o controlo,
											a saborear as imperfeições,
											a permitir as imperfeições.
											E nessa imperfeição,
											pode-se encontrar uma vulnerabilidade.
											Eu conseguia sentir a minha
intenção mais profunda,
											o que é mais importante para mim,
											aquela ligação humana
											que pode acontecer num espaço
sem resistência ou controlo.
											Quero fazer pinturas sobre isso.
									","
											And so now I want to show you
what I've been working on.
											It's something I haven't shown yet,
and it's like a preview, I guess,
											of my upcoming show,
											what I have so far.
											Expansive space
											instead of the isolated bathtub.
											I'm going outside instead of inside.
											Loosening control,
											savoring the imperfections,
											allowing the —
											allowing the imperfections.
											And in that imperfection,
											you can find a vulnerability.
											I could feel my deepest intention,
what matters most to me,
											that human connection
											that can happen in a space
where there's no resisting or controlling.
											I want to make paintings about that.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Eis o que aprendi.
											Todos teremos grandes perdas na vida,
											talvez um trabalho ou uma carreira,
											relações, amor, a nossa juventude.
											Vamos perder a saúde,
											as pessoas que amamos.
											Este tipo de perdas estão
fora do nosso controlo.
											São imprevisíveis
											e deixam-nos de rastos.
											Por isso, digo: deixem-nas acontecer!
											Caiam de joelhos. Fiquem mais humildes.
											Deixem de tentar mudá-las
											e de querer que sejam diferentes.
											Elas simplesmente são.
											Assim, há espaço,
											e nesse espaço,
sintam a vossa vulnerabilidade,
											o que é mais importante para vocês,
											a vossa intenção mais profunda.
											E tenham a curiosidade de se ligarem
											àquilo, e àqueles, que estão mesmo cá,
											acordados e vivos.
											É o que todos desejamos.
									","
											So here's what I learned.
											We're all going to have
big losses in our lives,
											maybe a job or a career,
											relationships, love, our youth.
											We're going to lose our health,
											people we love.
											These kinds of losses
are out of our control.
											They're unpredictable,
											and they bring us to our knees.
											And so I say, let them.
											Fall to your knees. Be humbled.
											Let go of trying to change it
											or even wanting it to be different.
											It just is.
											And then there's space,
											and in that space feel your vulnerability,
											what matters most to you,
											your deepest intention.
											And be curious to connect
											to what and who is really here,
											awake and alive.
											It's what we all want.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Vamos aproveitar a oportunidade
de encontrar algo belo
											no desconhecido, no imprevisível,
											e mesmo no terrível.
									","
											Let's take the opportunity
to find something beautiful
											in the unknown, in the unpredictable,
											and even in the awful.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											Obrigada.
									","
											Thank you.
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
											(Aplausos)
									","
											(Applause)
									",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
"
","
",How loss helped one artist find beauty in imperfection,Alyssa Monks,13:08,"art,life,death,aging,beauty,cancer,family,painting,TEDx"
