pt,en,es,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											Apesar da história de desconfiança,
											ainda acredito que os povos indígenas
podem beneficiar da investigação genética.
											Se não fizermos nada em breve,
											as disparidades na saúde
continuarão a aumentar.
											O Havai, por exemplo,
											tem a esperança de vida mais longa
de todos os estados dos EUA,
											no entanto, os naturais do Havai, como eu,
morrem uma década antes dos não nativos,
											porque temos a incidência mais elevada
de diabetes tipo 2, de obesidade,
											e das doenças mais mortais nos EUA:
as doenças cardiovasculares e o cancro.
									","
											Now despite this history of distrust,
											I still believe that indigenous people
can benefit from genetic research.
											And if we don't do something soon,
											the gap in health disparities
is going to continue to widen.
											Hawaii, for example,
											has the longest life expectancy
on average of any state in the US,
											yet native Hawaiians like myself
											die a full decade
before our non-native counterparts,
											because we have some
of the highest rates of type 2 diabetes,
											obesity,
											and the number one and number
two killers in the US:
											cardiovascular disease and cancer.
									","
											A pesar de esta historia de desconfianza,
											todavía creo que los indígenas pueden
beneficiarse de la investigación genética.
											Y si no hacemos algo pronto,
											aumentará la brecha de las 
disparidades en la salud.
											Hawái, por ejemplo, tiene
una mayor esperanza de vida
											que el promedio de cualquier
otro estado en EE.UU.,
											pero, sin embargo,
los hawaianos nativos, como yo,
											mueren una década antes que 
nuestros paisanos no nativos,
											porque tenemos las tasas
más altas de diabetes tipo 2,
											sufrimos de obesidad,
											y de las causas de muerte
número uno y dos en EE.UU.:
											las enfermedades
cardiovasculares y el cáncer.
									","
											Malgré cet héritage de méfiance,
											je suis convaincu que ces recherches-là 
pourraient servir les peuples indigènes.
											Si nous ne faisons pas 
quelque chose rapidement,
											le fossé des disparités 
en matière de santé continuera de grandir.
											Par exemple, Hawaï
											a la plus grande espérance de vie moyenne
de tous les États-Unis.
											Pourtant, les Hawaïens de souche,
comme moi,
											décèdent une bonne décennie 
avant leurs homologues non-natifs
											car nous avons des taux très élevés
de diabète de type 2,
											d'obésité
											et les deux maladies 
les plus fatales des États-Unis :
											les maladies cardiovasculaires
et le cancer.
									","
											Tarihten gelen bu güvensizliğe rağmen,
											yerli toplumların genetik araştırmalardan
yararlanabileceğine hâlâ inanıyorum.
											Eğer geç kalmadan bir şeyler yapmazsak,
											sağlık eşitsizliği artmaya devam edecek.
											Örneğin Hawaii' ye bakalım.
											Amerika'daki en uzun ortalama
ömür beklentisine sahip eyalettir,
											ancak benim gibi yerli Hawaiililer
											yerli olmayan komşularından
on yıl önce ölüyor.
											Bunun nedeni, bizim en yüksek tip 2
diyabet oranlarından birine sahip olmamız
											ve obezitedir.
											ABD'nin 1 ve 2 numaralı katilleri ise:
											Kalp damar hastalıkları ve kanserdir.
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											Então, como poderemos garantir
que aqueles que mais necessitam
											da sequenciação do genoma
não sejam os últimos a beneficiar dela?
											A minha visão, é tornar a investigação
genética mais nativa,
											é tornar indígena
a tecnologia de sequenciação do genoma.
									","
											So how do we ensure
											the populations of people
that need genome sequencing the most
											are not the last to benefit?
											My vision is to make
genetic research more native,
											to indigenize genome
sequencing technology.
									","
											Así que ¿cómo nos aseguramos
de que las poblaciones
											que más necesitan
la secuenciación genómica
											no son las últimas en beneficiarse?
											En mi opinión, hay que hacer
la investigación genética más nativa,
											Indigenizar la tecnología de 
la secuenciación del genoma.
									","
											Comment pouvons-nous nous assurer
que les populations
											à qui le séquençage des gènes
bénéficierait le plus
											ne soient pas lésées ?
											Mon but est d'axer encore plus 
la recherche sur la génétique
											sur les indigènes, « d'indigéniser »
les technologies de séquençage des gènes.
									","
											Öyleyse ne yapacağız,
											gen dizilenmesine en çok ihtiyaç
duyan insanların en sona
											kalmamasını nasıl sağlayacağız.
											Vizyonum, genetik araştırmaları
daha yerli hâle getirmek
											ve gen dizileme teknolojilerini
yerlileştirmektir.
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											Tradicionalmente, os genomas
são sequenciados em laboratórios.
											Isto é um sequenciador
de genomas clássico.
											É enorme, tem o tamanho de um frigorífico.
											Tem esta limitação física óbvia.
											Como seria, se fosse possível
sequenciar genomas em andamento?
											Isto é, se o sequenciador
coubesse no nosso bolso?
											Este sequenciador,
baseado em tecnologia de nanoporos,
											tem um décimo milésimo
do tamanho do tradicional.
											Não tem as mesmas limitações físicas,
											não está limitado a bancadas
de laboratório e cabos de alimentação,
											nem a depósitos de químicos
ou monitores de computador.
											Permite-nos desmistificar
a tecnologia de sequenciação do genoma
											de uma forma imersiva e colaborativa,
											ativando e dando poder
às comunidades indígenas,
											tornando-os cidadãos cientistas.
									","
											Traditionally, genomes
are sequenced in laboratories.
											Here's an image of your classic
genome sequencer.
											It's huge.
											It's the size of a refrigerator.
											There's this obvious physical limitation.
											But what if you could sequence
genomes on the fly?
											What if you could fit a genome
sequencer in your pocket?
											This nanopore-based sequencer
											is one 10,000th the size
of your traditional genome sequencer.
											It doesn't have the same
physical limitations,
											in that it's not tethered to a lab bench
with extraneous cords,
											large vats of chemicals
or computer monitors.
											It allows us to de-black box genome
sequencing technology development
											in a way that's immersive
and collaborative,
											activating and empowering
indigenous communities ...
											as citizen scientists.
									","
											Tradicionalmente, los genomas
son secuenciados en el laboratorio.
											Esta es una imagen de un secuenciador
estándar de genes vectoriales.
											Es enorme.
											Es del tamaño de un refrigerador.
											Esto plantea un problema importante.
											Pero, ¿y si pudieran secuenciar genomas
sobre la marcha en tiempo real?
											¿Qué pasaría si pudieran meter
un secuenciador de genoma en el bolsillo?
											Este secuenciador está basado 
en nanoporos
											es 10 000 veces más pequeño que 
el secuenciador de genoma tradicional.
											No tiene sus limitaciones físicas
											y no está conectado a un banco
de laboratorio con cables extraños,
											grandes cubas de productos químicos
o monitores informáticos.
											Nos permite popularizar el desarrollo
de la tecnología de secuenciación
											de manera inmersiva y colaborativa,
											activando y potenciando
las comunidades indígenas
											como ciudadanos-científicos.
									","
											Généralement, les gènes sont séquencés
en laboratoire.
											Voici une photo d'un séquenceur
de gènes classique.
											Il est énorme.
											Il est aussi gros qu'un réfrigérateur,
											ce qui pose un problème de taille.
											Mais imaginez que nous puissions 
séquencer les gènes à la volée.
											Imaginez que nous puissions porter 
un séquenceur dans notre poche !
											Ce séquenceur 
à membranes nanoporeuses
											fait le dixième de la taille
d'un séquenceur de gènes traditionnel.
											Il n'a plus les mêmes contraintes
de taille,
											il n'est plus rattaché
à d'innombrables câbles,
											ni à des cuves de produits chimiques 
ou à des ordinateurs.
											Il nous permet de rendre le développement 
de la technologie de séquençage
											plus accessible, 
plus immersif, collaboratif,
											dynamique en replacant
les peuples indigènes
											au rang de citoyens 
face à la science.
									","
											Genlerin dizilimi, geleneksel olarak
laboratuvarlarda yapılır.
											Klasik bir genom dizilimi görüyorsunuz.
											Çok büyük,
											bir buzdolabı boyutlarında.
											Fiziksel zorluk açık seçik ortada.
											Peki, genleri anında dizilebilsek
nasıl olurdu?
											Bir genom dizilimini cebimizde
taşıyabilsek nasıl olurdu?
											Bu nano gözenekli dizileyici

											geleneksel bir dizileyicinin 
on binde biri kadar
											fiziksel kısıtlamaları yok,
											laboratuvar masasına kablolarla
bağlanması da gerekmiyor,
											kimyasal hazneleri ve bilgisayar
ekranı da yok.
											Bu, genom dizilimi teknolojisi gelişiminde
kara kutuyu çözmemizi sağlıyor,
											kapsayıcı bir işbirliği yoluyla,
											yerli toplulukları harekete geçirerek
ve güçlendirerek,
											vatandaş bilim insanı olarak.
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											Cem anos mais tarde, em Kalaupapa,
											temos a tecnologia para sequenciar
a bactéria da lepra em tempo real,
											usando sequenciadores móveis,
											acesso remoto à Internet
											e a computação na nuvem.
											Mas só se o povo havaiano o quiser.
											No nosso espaço,
de acordo com as nossas condições.
									","
											100 years later in Kalaupapa,
											we now have the technology to sequence
leprosy bacteria in real time,
											using mobile genome sequencers,
											remote access to the Internet
											and cloud computation.
											But only if that's what
Hawaiian people want.
											In our space,
											on our terms.
									","
											100 años más tarde, en Kalaupapa,
disponemos de la tecnología
											para secuenciar la bacteria
de la lepra en tiempo real,
											mediante secuenciadores
del genoma portátiles,
											acceso remoto a Internet
											y computación en la nube.
											Pero solo si eso es lo que quiere
el pueblo hawaiano.
											En nuestro espacio,
											en nuestros términos.
									","
											100 ans plus tard à Kalaupapa,
											nous disposons d'une technologie 
qui nous permet de séquencer
											la bactérie de la lèpre en temps réel
par le biais de séquenceurs portables
											connectés à internet
											et du stockage de données sur le Cloud.
											Or cela ne se fera qu'avec l'accord 
des peuples hawaïens.
											Chez nous
											et selon nos propres conditions.
									","
											Kalaupapa'dan 100 yıl sonra
											artık cüzzam bakterisini gerçek
zamanlı dizileyecek teknolojimiz var,
											taşınabilir gen dizileyicilerimiz ile
											internete uzaktan erişim
											ve bulut bilgi işlemi yoluyla.
											Ancak sadece Hawaii halkının
istediği şey buysa,
											kendi yerimizde
											ve kendi şartlarımıza göre.
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											A ""indigenómica"", será a ciência genómica
feita para indígenas e por indígenas.
											Começaremos por recorrer
ao diálogo com a tribo,
											com o objetivo de consciencializar
as comunidades indígenas
											sobre os possíveis usos e abusos
da informação genética.
											No futuro, queremos ter um instituto
de investigação indigenómica,
											para realizar as nossas experiências,
											e educar a próxima geração
de cientistas indígenas.
									","
											IndiGenomics is about science
for the people by the people.
											We'll be starting with a tribal
consultation resource,
											focused on educating
indigenous communities
											on the potential use and misuse
of genetic information.
											Eventually we'd like to have our own
IndiGenomics research institute
											to conduct our own experiments
											and educate the next generation
of indigenous scientists.
									","
											IndiGenomics trata de la ciencia
para el pueblo por el pueblo.
											El recurso inicial es
consultar a las tribus
											y estará enfocado a educar
a las comunidades indígenas
											sobre el uso potencial y el mal uso
de la información genética.
											Por último, queremos crear nuestro propio
instituto de investigación IndiGenomics
											para llevar a cabo
nuestros propios experimentos
											y educar a la próxima generación
de científicos indígenas.
									","
											IndiGenomics est un projet scientifique 
pour le peuple et réalisé par le peuple.
											Nous commencerons 
par un conseil tribal des communautés
											qui informerait les communautés indigènes
											sur les utilisations et détournements 
des informations génétiques.
											Enfin, nous voudrions créer notre propre 
institut de recherche IndiGenomics
											pour y mener nos propres tests
											et y former la prochaine génération 
de scientifiques d'origine indigène.
									","
											IndiGenomics, halk için
halk tarafından yapılan bilimdir.
											Bir kabile toplantısı (istişare)
ile başlayacağız,
											yerli topluluklarda eğitimi ele alacağız
											ve genetik bilgilerin iyi veya kötü
kullanılma potansiyellerini,
											gelecekte, kendi IndiGenomics araştırma 
enstitümüzün olmasını istiyoruz,
											kendi deneylerimizi yürütmek
											ve bir sonraki yerli bilim insanı kuşağını
eğitmek istiyoruz.
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											Os povos indígenas devem ser parceiros,
e não objetos, da investigação genética.
											E para aqueles fora da comunidade,
											tal como fez o Padre Damião,
											os investigadores precisam
de se imergir na cultura indígena
											ou morrer a tentar fazê-lo.
									","
											In the end,
											indigenous people need to be partners in
and not subjects of genetic research.
											And for those on the outside,
											just as Father Damien did,
											the research community needs
to immerse itself in indigenous culture
											or die trying.
									","
											En conclusión, las poblaciones indígenas
											deben ser parte y no sujetos
de la investigación genética.
											Y para los no nativos,
											al igual que lo hizo el padre Damián,
											la comunidad científica necesita
sumergirse en la cultura indígena
											o morir en el intento.
									","
											En conclusion, les populations indigènes
doivent être considérées
											comme des partenaires
											et non comme des sujets
de recherche pour la génétique.
											Pour les autres,
											tout comme le Père Damien l'a fait,
											la communauté de chercheurs 
doit se rapprocher au plus près
											de la culture indigène

											ou du moins ne jamais cesser
de vouloir y parvenir.
									","
											Son olarak,
											yerli insanların genetik araştırmalarda
denek değil, paydaş olması gerekiyor.
											Dışarıdan olanlar içinse
											Peder Damien'in yaptığı gibi,
											araştırmacılar topluluğu yerli kültürü
ile bütünleşmeli
											veya bu yolda ölmelidir.
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											Mahalo.
									","
											Mahalo.
									","
											(Hawaiano) Mahalo (Gracias).
									","
											Mahalo, merci.
									","
											Mahalo (teşekkürler).
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
											(Aplausos)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
"
","
","
","
","
",Why genetic research must be more diverse,Keolu Fox,6:48,"activism,community,health,inequality,big problems,medical research,genetics,medicine,health care,science,society,TED Fellows,indigenous peoples"
