tr,es,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Michael Sandel: Rastgele. Yani piyango usulüyle
											ya da koşup odaya ilk giren kimse ona...
											Başka?
									","
											Michael Sandel: al azar. Harían una lotería.
											O la primera persona que corra al salón para tenerla.
											¿Quién más?
									","
											Michael Sandel: At random. You would do it by lottery.
											Or by the first person to rush into the hall to get them.
											Who else?
									","
											Michael Sandel : Au hasard, vous en feriez une loterie.
											Ou à la première personne se précipitant pour en avoir une.
											Qui d'autre ?
									","
											Michael Sandel: Per Zufall. Sie würden es per Lotterie machen.
											Oder die Ersten, die in den Saal kommen.
											Wer noch?
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											(Dinleyici: En iyi flüt çalana verelim.)
									","
											(Audiencia: los mejores flautistas)
									","
											(Audience: The best flute players.)
									","
											Public : Les meilleurs joueurs de flûte.
									","
											(Auditorium: Die besten Flötenspieler.)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: En iyi çalana. (Dinleyici: en kötü çalana.)
									","
											MS: Los mejores flautistas. (Audiencia: Los peores flautistas)
									","
											MS: The best flute players. (Audience: The worst flute players.)
									","
											MS : Les meilleurs joueurs de flûte. Public : Les pires joueurs de flûte.
									","
											MS: Die besten Flötenspieler. (Auditorium: die schlechtesten Flötenspiler.)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: En kötü çalana.
											Kaç kişi en iyi çalana diyor?
											Neden?
											Aslında Aristo da sizin gibi düşünmüş.
									","
											MS: Los peores flautistas.
											¿Cuántos dicen los mejores flautistas?
											¿Por qué?
											En realidad, esa fue también la respuesta de Aristóteles.
									","
											MS: The worst flute players.
											How many say the best flute players?
											Why?
											Actually, that was Aristotle's answer too.
									","
											MS : Les pires joueurs de flûte.
											Combien disent les meilleurs ?
											Pourquoi ?
											En fait, c'est aussi ce qu'a dit Aristote.
									","
											MS: Die schlechtesten Flötenspieler.
											Wie viele sagen die besten Flötenspieler?
											Warum?
											Eigentlich, es war auch die Antwort des Aristoteles.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											(Kahkahalar)
									","
											(Risas)
									","
											(Laughter)
									","
											(Rires)
									","
											(Lachten)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Şimdi daha zor bir soru:
											En iyi çalana verelim diyenler
											neden en iyi flütün
											en iyi çalana gitmesi gerektiğini düşündünüz?
									","
											Pero ahora una pregunta más difícil.
											¿Por qué creen,
											los que votaron de esta forma,
											que las mejores flautas deberían ir a los mejores flautistas?
									","
											But here's a harder question.
											Why do you think,
											those of you who voted this way,
											that the best flutes should go to the best flute players?
									","
											Voici une question plus dure.
											Pourquoi pensez-vous,
											vous qui avez voté comme ça,
											que les meilleures flûtes doivent aller aux meilleurs flûtistes ?
									","
											Aber hier ist eine schwierigere Frage.
											Warum meinen Sie,
											die von Ihnen, die so gestimmt haben,
											dass die besten Flöten für die besten Flötenspieler sein sollten?
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Peter: İyilik herkese yarar.
									","
											Peter: El mayor beneficio para todos.
									","
											Peter: The greatest benefit to all.
									","
											Peter : Le meilleur profit de tous.
									","
											MS: Das größte Nutzen für alle.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: İyilik herkese yarar.
											En iyi çalana en iyi flütü verirsek,
											daha güzel bir müzik dinleriz.
											Peter miydi? (Dinleyici: Evet, Peter.)
									","
											MS: El mayor beneficio para todos.
											Vamos a escuchar una música mejor
											si las mejores flautas van a los mejores flautistas.
											¿Eres Peter? (Audiencia: Peter)
									","
											MS: The greatest benefit to all.
											We'll hear better music
											if the best flutes should go to the best flute players.
											That's Peter? (Audience: Peter.)
									","
											MS : Le meilleur profit de tous.
											On entend de la meilleure musique
											si les meilleures flûtes vont aux meilleurs flûtistes.
											C'est Peter ? Public : Peter.
									","
											MS: Das größte Nutzen für alle.
											Wir werden bessere Musik hören,
											wenn die beten Flötenspieler die besten Flöten bekommen.
											Es ist Peter? (Auditorium: Peter)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: Tamam.
											İyi bir gerekçe.
											Berbat bir müzik dinlemektense
											iyisi, hepimizin işine gelir.
											ama Peter,
											Aristo'nun gerekçesi sizinkinden farklı.
											Olsun.
											Aristo'nun, en iyi flüt, en iyi flüt çalana verilmeli
											derkenki gerekçesi başkaydı.
											Ona göre,
											flüt bunun için vardı,
											iyi çalınmak için.
											Böyle diyerek basit bir paylaştırmanın
											bile nedenini, gerekçesini
											tartışmamız gerektiğini
											ortaya koyuyor.
											Herhangi eylemimizin,
											mesela örneğimizde olduğu gibi bir müzik dinletisinin bile
											amacını tartışmamız gerekir.
											Bu örnekte bir müzik dinletisinin,
											meselenin özü gereği
											muhteşem bir müzik sunması gerekir.
											Herkesin hoşuna gitmesi ise
											sadece bu sürecin bir yan faydası.
											Aristo'ya göre adalet hususunda
											asıl sorgulamamız gereken,
											eylemin tabii özü ile
											hürmet etmeye,
											hayran olmaya,
											takdire değer nitelikleridir.
											En iyi flütü, onu en iyi çalana
											vermekteki amaç
											sadece iyi bir müzik göstersinin
											bizi mutlu edecek olması değil,
											böylece büyük müzisyenlerin hak ettiği
											saygıyı,
											takdiri ve hayranlığı
											kazanacak olmasıdır.
									","
											MS: Está bien.
											Bien, es una buena razón.
											Todos estaremos mejor si se escucha buena música
											en vez de música mala.
											Pero Peter,
											Aristóteles no está de acuerdo contigo en que esa es la razón.
											Todo está bien.
											Aristóteles tenía una razón diferente
											para decir que las mejores flautas debían ir a los mejores flautistas.
											Él dijo:
											para eso son las flautas,
											para ser bien tocadas.
											Él dice que para pensar en
											la distribución de algo,
											debemos razonar sobre,
											y a veces a discutir sobre,
											el propósito de algo,
											o la actividad social,
											en este caso, la interpretación musical.
											Y la naturaleza fundamental
											de la interpretación musical
											es producir una música excelente.
											Será una consecuencia feliz
											que todos nos beneficiemos.
											Pero cuando pensamos en la justicia,
											Aristóteles dice que
											realmente necesitamos pensar
											en la naturaleza esencial de la actividad en cuestión
											y las cualidades que son valiosas
											de honrar, admirar y reconocer.
											Una de las razones
											por la que los mejores flautistas deben tener las mejores flautas
											es que la interpretación musical
											no es sólo para hacernos felices al resto de nosotros,
											sino también para honrar
											y reconocer
											la excelencia
											de los mejores músicos.
									","
											MS: All right.
											Well, it's a good reason.
											We'll all be better off if good music is played
											rather than terrible music.
											But Peter,
											Aristotle doesn't agree with you that that's the reason.
											That's all right.
											Aristotle had a different reason
											for saying the best flutes should go to the best flute players.
											He said,
											that's what flutes are for —
											to be played well.
											He says that to reason about
											just distribution of a thing,
											we have to reason about,
											and sometimes argue about,
											the purpose of the thing,
											or the social activity —
											in this case, musical performance.
											And the point, the essential nature,
											of musical performance
											is to produce excellent music.
											It'll be a happy byproduct
											that we'll all benefit.
											But when we think about justice,
											Aristotle says,
											what we really need to think about
											is the essential nature of the activity in question
											and the qualities that are worth
											honoring and admiring and recognizing.
											One of the reasons
											that the best flute players should get the best flutes
											is that musical performance
											is not only to make the rest of us happy,
											but to honor
											and recognize
											the excellence
											of the best musicians.
									","
											MS : D'accord.
											C'est une bonne raison.
											On se portera tous mieux avec de la bonne musique
											plutôt qu'avec de la mauvaise.
											Seulement, Peter,
											Aristote n'est pas d'accord avec toi que c'est la bonne raison.
											Ça va.
											Aristote a une raison différente
											pour dire que que les meilleures flûtes doivent aller aux meilleurs flûtistes.
											Il dit
											que les flûtes sont faites
											pour être bien jouées.
											Il dit que raisonner sur
											la distribution de quelque chose
											revient à raisonner
											et parfois à débattre sur
											l'usage de cette chose
											ou son rôle social,
											dans ce cas : l'interprétation musicale.
											La nature essentielle
											d'une interprétation musicale
											est de produire une excellente musique.
											Ce serait un dérivé heureux
											dont nous bénéficierions tous.
											Quand on pense à la justice,
											Aristote dit
											qu'on doit vraiment penser
											à la nature fondamentale de l'activité en question
											et aux qualités qui méritent
											qu'on les honore, admire et reconnaisse.
											L'une des raisons pour lesquelles
											les meilleurs flûtistes devraient avoir les meilleures flûtes,
											c'est que l'interprétation musicale
											ne fait pas que nous rendre tous heureux
											mais qu'elle honore
											et reconnaît
											l'excellence
											des meilleurs musiciens.
									","
											MS: In Ordnung.
											Gut, es ist ein guter Grund.
											Wir alle wären besser dran wenn eine gute Musik
											und nicht schlechte gespielt werden würde.
											Aber Peter,
											Aristoteles ist mit Ihnen nicht einverstanden, dass das der Grund ist.
											Es ist in Ordnung.
											Aristoteles hatte eine andere Begründung
											für die Tatsache, dass die besten Flüten an die besten Flötenspieler gehen sollten.
											Er sagte,
											dazu wären die Flöten da,
											dass man sie gut spielt.
											Er sagt, dass um über die gerechte Verteilung einer Sache
											vernünftig urteilen zu können
											müssen wir uns zuerst überlegen
											und manchmal sogar streiten was
											die Bestimmung einer Sache
											oder sozialen Handlung ist?!
											In diesem Fall der einer Musikveranstaltung.
											Und der Sinn, der eigentliche Charakter,
											einer musikalischen Darbietung
											ist es exzellente Musik zu spielen.
											Es wäre ein schöner Nebeneffekt,
											wenn wir davon profitieren würden.
											Aber, wenn wir an die Gerechtigkeit denken,
											sagt Aristoteles,
											das worüber wir nachzudenken müssen,
											ist der eigentliche Charakter der fraglichen Aktivität
											und Qualitäten, die es Wert sind,
											dass man sie honoriert, bewundert und anerkennt.
											Einer der Gründe
											warum die besten Flötenspieler die besten Flöten bekommen sollen,
											ist nicht nur, damit die musikalische Vorstellung
											uns alle erfreut,
											sondern auch, damit
											die vorzüglich Leistung
											der besten Musiker
											honoriert und anerkannt wird.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Belki flüt konusu... flüt dağıtımı konusu
											sizlere önemsiz gelmiştir.
											O halde güncel bir adli
											ihtilafı ele alalım.
											Golf ile ilgili.
											Casey Martin, birkaç yıl önce
											Casey Martin...
											adını duydunuz mu?
											Kendisi çok iyi bir golf oyuncusu
											olmakla beraber, bir engelli.
											Bir bacağında, çok ızdırap veren ve
											sahayı yürüyerek katetmesine mani olan
											bir dolaşım problemi var.
											Sakat kalma riski taşıyor.
											PGA'ya başvurup
											PGA, profesyonel golf federasyonu,
											turnuvalarda saha içinde
											özel golf arabası ile dolaşma izni istedi.
											""Hayır"" dediler.
											""Bu, haksız rekabete yol açar.""
											O da mahkemeye gitti
											ve davası yüksek mahkemeye kadar çıktı.
											İster inanın ister inanmayın,
											dava bir golf arabası üzerine.
											Ama kanuna göre
											engellilere sağlanacak
											uyum - yardım araçlarının
											aktivitenin özüne
											aykırı düşmesi
											söz konusu olamaz.
											Martin diyor ki, ""Ben çok iyi bir golfçüyüm.
											Müsabakalara katılmak istiyorum.
											Ancak bir delikten diğerine gidebilmek için
											golf arabasına ihtiyacım var.""
									","
											Bien, las flautas pueden parecer... la distribución de flautas
											puede parecer un caso insignificante.
											Tomemos un ejemplo contemporáneo
											de entredicho en la justicia.
											Tuvo que ver con el golf.
											Casey Martin... hace unos pocos años,
											Casel Martin...
											¿Alguno escuchó hablar de él?
											Fue un golfista muy bueno,
											pero tenía una incapacidad,
											un problema circulatorio en una de las piernas,
											que le hacía muy doloroso
											caminar el campo de golf.
											De hecho, implicaba riesgo de lesión.
											Él pidió permiso a la PGA,
											la Asociación Profesional de Golfistas,
											para usar un carrito de golf
											en los torneos de la PGA.
											Ellos dijeron: ""No.
											Eso te daría una ventaja injusta"".
											Él presentó una demanda,
											y, aunque no lo crean, su caso llegó
											hasta la Corte Suprema,
											el caso sobre el carrito de golf.
											Porque la ley dice
											que la discapacidad
											debe ser considerada,
											brindar facilidades
											no cambia la naturaleza esencial
											de la actividad.
											Él dice: ""Soy un gran jugador.
											Quiero competir.
											Pero necesito un carrito de golf
											para ir de un hoyo al siguiente"".
									","
											Now, flutes may seem ... the distribution of flutes
											may seem a trivial case.
											Let's take a contemporary example
											of the dispute about justice.
											It had to do with golf.
											Casey Martin — a few years ago,
											Casey Martin —
											did any of you hear about him?
											He was a very good golfer,
											but he had a disability.
											He had a bad leg, a circulatory problem,
											that made it very painful
											for him to walk the course.
											In fact, it carried risk of injury.
											He asked the PGA,
											the Professional Golfers' Association,
											for permission to use a golf cart
											in the PGA tournaments.
											They said, ""No.
											Now that would give you an unfair advantage.""
											He sued,
											and his case went all the way
											to the Supreme Court, believe it or not,
											the case over the golf cart,
											because the law says
											that the disabled
											must be accommodated,
											provided the accommodation does not
											change the essential nature
											of the activity.
											He says, ""I'm a great golfer.
											I want to compete.
											But I need a golf cart
											to get from one hole to the next.""
									","
											La distribution de flûtes
											peut sembler un exemple futile.
											Prenons un exemple contemporain
											de controverse sur la justice.
											Ça concernait le golf.
											Il y a quelques années :
											Casey Martin.
											Quelqu'un en a-t-il entendu parler ?
											C'était un très bon golfeur
											mais il avait une infirmité.
											Il avait un problème circulatoire dans une jambe,
											ce qui rendait très douloureux
											pour lui le parcours.
											En fait, il risquait de se blesser.
											Il a demandé à la PGA,
											l'association des golfeurs professionnels,
											le droit d'utiliser une voiturette
											dans les tournois PGA.
											Ils ont dit : ""Non,
											ça vous donnerait un avantage injuste.""
											Il a attaqué.
											Ce procès s'est poursuivi
											jusqu'à la cour suprême. Croyez-le ou pas :
											le procès de la voiturette de golf.
											En effet, la loi dit
											qu'un handicap
											doit être compensé
											dans la mesure où la compensation
											ne change pas la nature fondamentale
											de l'activité.
											Il dit : ""Je suis un grand golfeur.
											Je veux faire de la compétition
											mais j'ai besoin d'une voiturette
											pour aller d'un trou au suivant.""
									","
											Jetzt mögen Flöten und die Verteilung von Flöten
											belanglos sein.
											Lasst uns ein aktuelle Auseinandersetzung
											um Gerechtigkeit als Beispiel nehmen.
											Es hat mit dem Golfspiel zu tun.
											Casey Martin - vor einigen Jahren,
											Casey Martin -
											hat jemand von Ihnen von ihm gehört?
											Er war ein sehr guter Golfspieler,
											aber er hatte eine Behinderung gehabt,
											Durchblutungsstörungen im Bein,
											es war für ihn sehr schmerzhaft
											auf dem Golfplatz zu gehen.
											Es bestand das Risiko einer Verletzung.
											Er bat die PGA
											die - Fachliche Vereinigung der Golfspieler-
											um Erlaubnis während der Wettkämpfe
											einen Golfwagen zu benutzen zu dürfen.
											Sie sagten, ""Nein.
											Es würde ihm einen unlauteren Vorteil verschaffen.""
											Er klagte und sein Fall ging durch alle Instanzen
											Er klagte und sein Fall ging durch alle Instanzen
											bis zum Obersten Gericht, ob Sie es glauben oder nicht,
											der Fall über den Golfwagen.
											Weil das Gesetz sagt,
											dass man behinderten Menschen
											helfen muss, jedoch unter der Bedingung, dass diese Hilfe
											helfen muss, jedoch unter der Bedingung, dass diese Hilfe
											den wesentlichen Charakter der Aktivität nicht ändert.
											den wesentlichen Charakter der Aktivität nicht ändert.
											Er sagt: "" Ich bin ein ausgezeichneter Golfspieler
											und ich möchte an Wettkämpfen teilnehmen.
											Aber ich brauche einen Golfwagen
											um mich von einem Loch zum nächsten zu bewegen.""
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
