en,tr,pt,es,title,speaker,duration,tags
"
											So I decided to just put on makeup
and keep it moving.
											I had to wear makeup anyway.
It's TV, baby, right?
											I just put on a little more makeup,
and everything's cool.
											And that actually
went very well for years.
											I went from being a reporter
in New York City
											to being a morning show anchor in Detroit,
											the Motor City.
											And as the disease got worse,
											I just put on more makeup.
											It was easy.
											Except for my hands.
									","
											Böylece, makyaj yapıp
devam etmeye karar verdim.
											Her halükârda makyaj yapmalıydım. 
Bu bir TV programı, bebeğim, değil mi?
											Biraz daha makyaj 
ve her şey tamam.
											Ve gerçekten de
bu yıllarca çok işe yaradı.
											New York'ta muhabirlikten
											Detroit'te bir sabah programında
sunuculuğa gittim,
											Motor City.
											Ve bu hastalık daha da kötüleştiğinde
											sadece daha fazla makyaj yaptım.
											Kolaydı.
											Ellerim hariç.
									","
											Portanto, decidi usar maquilhagem
e seguir em frente.
											Eu tinha de usar maquilhagem de qualquer
das maneiras. É a TV, certo?
											Ponho apenas mais um pouco
de maquilhagem e tudo bem.
											Na verdade, isso correu bem
durante anos.
											Passei de jornalista em Nova Iorque
											a apresentador de um programa
da manhã em Detroit,
											o ""Motor City"".
											E à medida que a doença progredia,
											eu apenas punha mais maquilhagem.
											Era fácil.
											Exceto para as minhas mãos.
									","
											Decidí entonces usar maquillaje
y seguir adelante.
											De todas maneras, tenía que usarlo.
Estaba en la tele, ¿o no?
											Simplemente usaba más maquillaje,
y todo iba sobre ruedas.
											Y funcionó muy bien, durante años.
											Pasé de ser periodista en Nueva York
											a ser presentador del programa
matutino en Detroit,
											la ciudad de los automóviles.
											Y a medida que la enfermedad avanzaba
											simplemente usaba más maquillaje.
											Era fácil.
											Excepto las manos.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											See, this disease is progressive
and ever-changing.
											That means it comes and goes.
											At one point, for about a year and a half,
											my face was completely white.
											Yeah, it trips me out too.
									","
											Gördüğünüz gibi bu,
ilerleyen ve sürekli değişen bir hastalık.
											Yani, gelir ve gider.
											Bir noktada, 
yaklaşık bir buçuk yıl boyunca,
											yüzüm tamamen beyazdı.
											Evet, bu beni de uçuruyor.
									","
											Esta doença é progressiva
e está em mudança constante.
											Isto significa que vai e vem.
											Houve uma altura,
há cerca de um ano e meio,
											em que a minha cara estava
completamente branca.
											Sim, também me assusta.
									","
											Esta enfermedad es progresiva
y va cambiando constantemente.
											Es decir, va y viene.
											Hubo un momento en que, 
durante un año y medio,
											la cara se me quedó completamente blanca.
											Sí, a mí también me impresiona.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Risas)
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											Yeah.
											And then, with a little help,
											some of the pigment came back,
											but living through this process
											was like two sides of a coin.
											When I'm at work
and I'm wearing the makeup
											or wearing the makeup outside,
I'm the TV guy.
											""Hey, how you doing everybody? Great.""
											At home without the makeup,
											I'd take it off
and it was like being a leper.
											The stares, constantly staring at me,
											the comments under their breath.
											Some people refused to shake my hand.
											Some people moved
to the other side of the sidewalk,
											moved to the other side of the elevator.
											I felt like they were moving
to the other side of life.
											It was tough,
											and those were some tough years.
											And honestly,
											sometimes I just had to shelter in place.
											You know what I mean?
											Kind of just stay at home
till I get my mind right.
											But then I'd put my blinders back on,
											I'd get back out there,
											do my thing,
											but in the process of doing that,
											I developed this —
											angry, grumpy demeanor.
											Anger is an easy go-to,
											and people would leave me alone,
											but it just wasn't me.
											It wasn't me.
											I was allowing this disease to turn me
into this angry, grumpy, spotted guy.
											It just wasn't me.
									","
											Evet.
											Sonra, biraz da yardımla
											pigmentlerin bazıları geri geliyor
											ama bu süreçleri yaşamak
											madalyonun iki yüzü gibiydi.
											İşte olduğum zaman, makyaj yapıyorum
											ya da dışarıda makyaj yapıyorum, 
TV adamıyım.
											""Selam, nasıl gidiyor millet? Süper""
											Evde makyajsız,
											makyajı çıkardığımda
cüzzamlı olmak gibiydi.
											Sabit bakışlar,
sürekli olarak bana bakılması,
											fısıltılı yorumlar.
											Bazıları benimle tokalaşmayı reddetti.
											Bazı insanlar 
kaldırımın diğer tarafına geçti,
											asansörün diğer tarafına geçtiler.
											Sanki onların hayatın
diğer tarafına gittiğini hissettim.
											Zordu
											ve bunlar zor yıllardı.
											Dürüst olmak gerekirse
											bazen bir yere sığınmak zorundaydım.
											Ne dediğimi anladınız?
											Sanki zihnimi düzeltene kadar 
evde kalmaktı.
											Ama sonra at gözlüğümü takıyordum.
											Oraya geri dönüyor,
											işlerimi yapıyordum
											ama bunu yaparken
											bunu geliştirdim —
											öfkeli, huysuz davranış biçimi.
											Öfke kolay bir kurtarıcı
											ve insanlar beni yalnız bırakacaktı
											ama o ben değildim.
											O ben değildim.
											Beni öfkeli, huysuz ve lekeli 
bir adama dönüştürmesine izin veriyordum.
											O ben değildim.
									","
											Sim.
											E depois, com alguma ajuda,
											parte dos pigmentos voltaram,
											mas viver com este processo
											foi como dois lados da mesma moeda.
											Quando estou a trabalhar
e a usar maquilhagem,
											ou a usá-la fora do trabalho,
sou o homem da TV.
											""Olá! Como estão todos? Ótimo.""
											Em casa, sem maquilhagem,
											eu tirava-a e era como
se fosse um leproso.
											Os olhares constantes,
											os comentários a meia voz.
											Algumas pessoas recusavam
apertar-me a mão.
											Outras passavam
para o outro lado do passeio,
											passavam para o outro lado do elevador.
											Sentia que eles estavam a passar
para o outro lado da vida.
											Foi duro,
											e aqueles foram anos difíceis.
											E, honestamente,
											eu às vezes precisava de me refugiar
em algum lugar.
											Percebem o que quero dizer?
											Ficar apenas em casa
até acalmar a minha mente.
											Mas depois eu punha as palas de novo,
											voltava a sair
											e fazia o meu trabalho,
											mas durante esse processo,
											eu desenvolvi
											um comportamento irritado
e mal-humorado.
											A raiva é um escape fácil,
											e as pessoas deixavam-me em paz,
											mas esse não era eu.
											Não era eu.
											Eu estava a deixar que esta doença
me tornasse nesta pessoa zangada.
											Não era eu.
									","
											Sí.
											Y luego, con un poco de ayuda,
											parte del pigmento se regeneró.
											Pero atravesar ese proceso
											fue como dos caras de la misma moneda.
											Cuando estoy con el maquillaje,
ya bien en el trabajo o en la calle,
											soy el de la tele.
											Todos me saludan. Genial.
											Pero en casa, sin el maquillaje,
											cuando me lo que quitaba,
era como ser un leproso.
											Las miradas, esas miradas permanentes,
											los comentarios por lo bajo.
											Algunos no querían estrecharme la mano.
											Otros se cruzaban de acera,
											se alejaban en el ascensor.
											Para mí, era como si se cruzaran
al otro lado de la vida.
											Era muy duro,
											y fueron años muy difíciles.
											Y, a decir verdad,
											a veces tenía que refugiarme en mí mismo.
											Me refiero a que tenía 
que quedarme en casa
											para acomodar mis pensamientos.
											Pero luego, me volvía 
a poner las anteojeras,
											salía al mundo de nuevo,
											hacía mis actividades,
											pero en ese proceso, fui construyendo
											un personalidad malhumorada,
con actitudes de enojo.
											La ira es un lugar común,
											y la gente me dejaba solo,
											pero es que ese no era yo.
											No era yo.
											Estaba dando lugar 
a que la enfermedad me transforme
											en un gruñón malhumorado,
lleno de manchas.
											Ese no era yo.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											So I had to change.
											I knew I could not change other people.
											People are going to react
and do what they gonna do.
											But there was a cold hard reality as well.
											I was the one
											that was showing anger, sadness
											and isolating myself.
											It was actually a choice.
											I was walking out the door every day
											expecting the world
to react with negativity,
											so I just gave them that mean face first.
											If I wanted change,
the change had to start with me.
									","
											Yani, değişmek zorundaydım.
											Diğerlerini 
değiştiremeyeceğimi biliyordum.
											İnsanlar tepki gösterecekler
ve istediklerini yapacaklar.
											Ama soğuk zor bir gerçeklik de vardı.
											Ben...
											öfke, üzüntü gösteren
											ve kendimi izole eden kişiydim.
											Gerçekten de o bir seçimdi.
											Her gün kapıdan,
											dünyanın negatif tepki göstermesini 
bekleyerek çıkıyordum,
											yani önce onlara bu yüzü gösteriyordum.
											Değişiklik istediysem,
değişim önce benimle başlamalıydı.
									","
											Por isso, eu tive de mudar.
											Eu sabia que não podia mudar os outros.
											As pessoas vão reagir e fazer
o que tiverem de fazer.
											Mas também havia
uma realidade dura e crua.
											Eu era aquele que mostrava raiva, tristeza
											e que se isolava.
											Foi, na verdade, uma escolha.
											Eu caminhava na rua todos os dias
											à espera que o mundo reagisse
negativamente,
											portanto, acabei por lhes dar
primeiro aquela cara zangada.
											Se eu queria uma mudança,
a mudança tinha de começar comigo.
									","
											Y tuve que cambiar.
											Sabía que no podía cambiar a los demás.
											Los demás reaccionarían y 
actuarían como les viniera en gana.
											Pero había también 
una realidad dura, fría.
											Ero tan solo yo
											quien mostraba su ira, su tristeza,
											quien se aislaba del resto.
											Era algo que yo mismo había elegido.
											Salía al mundo todos los días
											esperando a que los demás
reaccionaran de manera negativa,
											pero yo me adelantaba y les mostraba
mi lado negativo, antes que ellos.
											Si quería un cambio, el cambio
debía empezar por mí mismo.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											So I came up with a plan.
											Two-parter, not that deep.
									","
											Bundan dolayı, bir plan yaptım.
											İki parçalı, o kadar da derin değil.
									","
											Por isso, eu desenvolvi um plano.
											De duas partes, não muito profundo.
									","
											Se me ocurrió entonces un plan.
											Un plan de dos partes, nada complicado.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											Number one: I would just let people stare,
											drink it in, stare all you want,
											and not react.
											Because the truth is
when I got this disease,
											I was all up in the mirror
staring at every new spot
											trying to figure out what is going on.
											So I needed to let other people
have that same opportunity
											to get that visual understanding.
									","
											Birincisi: gözlerini dikip bakmalarına
izin verecektim,
											tadını çıkar, istediği kadar baksın
											ve tepki gösterme.
											Çünkü gerçek şu ki 
hastalığa yakalandığımda
											yeni nokta oluşunca aynaya bakıyordum
											neler olduğunu çözmeye çalışıyordum.
											Bundan dolayı diğer insanların da
											bunu anlamalarına izin vermeliydim.
									","
											Número um: eu ia deixar
as pessoas olharem,
											absorverem, olharem o quanto quisessem,
											e não ia reagir.
											Porque a verdade é que,
quando a doença se instalou,
											eu estava sempre ao espelho
a olhar para cada nova mancha
											a tentar perceber
o que se estava a passar.
											Portanto, eu tinha de deixar
os outros terem a mesma oportunidade
											de obter essa compreensão visual.
									","
											Número uno: dejaría 
que la gente me observara,
											cuanto quisiera, el tiempo que fuera,
											y yo no reaccionaría.
											Porque, en realidad, cuando
contraje esta enfermedad,
											me la pasaba frente al espejo
observando cada nueva mancha
											y tratando de entender qué me pasaba.
											Y necesitaba permitir que los demás
tuvieran la misma oportunidad
											de comprenderlo visualmente.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											Number two:
											I would react with positivity,
											and that was simply a smile,
											or, at the very least,
											a nonjudgmental, kind face.
									","
											İkincisi:
											Olumlu tepki verecektim
											ve bu sadece basit bir gülümsemeydi
											ya da en azından,
											eleştirel olmayan bir yüz ifadesiyle.
									","
											Número dois:
											Eu iria reagir positivamente,
											com um simples sorriso,
											ou, no mínimo,
											com um rosto gentil, sem julgamento.
									","
											Número dos:
											reaccionaría de manera positiva
											y eso implicaba una simple sonrisa
											o, al menos,
											una expresión amable, 
libre de todo prejuicio.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											Simple plan.
											But it turned out to be
more difficult than I thought.
											But over time,
											things started to go OK.
											Like this one time, I'm at the store
and this dude is like staring at me,
											like burning a hole
in the side of my head.
											I'm shopping, he's staring at me,
											I'm going to the checkout,
he's staring at me,
											I'm checking out, he's on the other line
checking out, he's staring at me,
											we go to the exit,
he's still staring at me,
											so I see he's staring
											and finally I turn to him
and I go, ""Hey buddy, what's up!""
											And he goes ...
									","
											Basit bir plan.
											Ama düşündüğümden de zordu.
											Ama zamanla
											bir şeyler yolunda gitmeye başladı.
											Bir seferinde olduğu gibi,
											marketteydim ve biri başımda 
yanan bir delik var gibi bana bakıyordu.
											Ben alışveriş yapıyorum 
o da bana bakıyor.
											Hesabı ödeyeceğim,
bana bakıyor.
											Hesabı ödüyorum,
o diğer tarafta bana bakıyor,
											çıkışa gidiyoruz, hâlâ bana bakıyor,
											böylece, onun bana baktığını görüyorum
											sonunda yanına gittim 
""Hey arkadaş, naber!""
											ve şöyle yapıyor...
									","
											Um plano simples.
											Mas acabou por ser mais difícil
do que eu esperava.
											Mas com o tempo,
											as coisas começaram a melhorar.
											Uma vez, eu estava numa loja
e um homem não parava de olhar,
											o seu olhar atravessava a minha cabeça.
											Eu nas compras e ele a olhar para mim,
											Vou para a caixa e ele a olhar para mim,
											Eu na caixa, e ele na outra caixa,
e está a olhar para mim,
											dirijo-me para a saída,
e ele continua a olhar.
											Então, eu vejo que ele está a olhar,
											viro-me para ele e digo:
""Olá amigo, o que se passa?""
											E ele...
									","
											Un plan muy simple.
											Pero terminó siendo más difícil
de lo que pensaba.
											Pero con el tiempo,
											las cosas empezaron a funcionar.
											Como la vez que fui a una tienda
y un tipo empezó a mirarme,
											con una mirada que 
me atravesaba de lado a lado
											mientras hacía las compras.
											Fui a la caja a pagar y seguía mirándome.
											Mientras pagaba, me seguía mirando
desde la fila de al lado.
											Nos encontramos en la salida
y seguía mirándome.
											No dejaba de mirarme,
											finalmente me acerco y le digo:
""¡Oye, amigo, qué pasa!"".
											Y me contesta...
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											(Mumbles nervously) ""Hi!""
									","
											(Mırıldanmalar) ""Selam!""
									","
											(Murmura nervoso) ""Olá!""
									","
											(Balbucea con nerviosismo) ""¡Hola!"".
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Risas)
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											Awkward.
									","
											Garip.
									","
											Constrangedor.
									","
											Incómodo, por cierto.
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											So to relieve the tension, I say,
											""It's just a skin disorder.
											It's not contagious,
it's not life-threatening,
											it just makes me look a little different.""
											I end up talking to that guy
for like five minutes.
											It was kind of cool, right?
											And at the end
of our conversation, he says,
											""You know, if you
didn't have 'vitilargo'"" —
											it's actually vitiligo,
but he was trying, so —
									","
											Böylece gerginliği azaltmak için
											""sadece bir cilt hastalığı"" diyorum.
											''Bulaşıcı değil, 
hayati tehlikesi yok,
											sadece beni birazcık farklı gösteriyor.""
											Bu adamla konuşmayı 
yaklaşık beş dakikada bitirdim.
											İyi gibiydi, değil mi?
											Ve konuşmanın sonunda,
											""Senin de bildiğin gibi,
vitilargon olmasaydı"" dedi—
											aslında vitiligo, 
ama o söylemeyi deniyordu —
									","
											Para aliviar a tensão, eu disse:
											""É apenas uma doença cutânea.
											""Não é contagiosa, não é fatal,
											""apenas me faz parecer diferente.""
											Acabei por falar com o homem
durante uns cinco minutos.
											Até foi engraçado.
											No final da conversa, ele disse:
											""Sabe, se não tivesse 'vitilargo'
											— na verdade é vitiligo,
mas ele estava a tentar —
									","
											Y para distender un poco, le digo:
											""Es tan solo un trastorno de la piel.
											No es contagioso, no es mortal,
tan solo me hace un poco diferente"".
											Al final, hablamos como cinco minutos.
											Genial, ¿o no?
											Y sobre el final 
de la conversación, me dice:
											""Sabes, si no tuvieras viti... eso"" ...
											Lo correcto es ""vitiligo"", pero,
en fin, su intención era buena...
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Risas)
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											""if you didn't have vitilargo,
you'd look just like that guy on TV.""
									","
											""Vitilargon olmasaydı
TV'deki o adama çok benzerdin.""
									","
											""se não tivesse 'vitilargo',
até parecia aquele homem da TV.""
									","
											""Si no tuvieras viti... eso,
te parecerías al tipo del la tele"".
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
","
","
","
",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Risas)
									",How I help people understand vitiligo,Lee Thomas,15:44,"social change,society,disease,humanity,communication,motivation,human body,television"
