en,fr,pt,es,tr,title,speaker,duration,tags
"
											As eyes flicker open,
											a night of chaos commences that includes
broken hearts, mistaken identity,
											and transformations.
											Out of all the characters, Bottom probably
fares the best –
											when the bewitched Titania 
lays eyes on him,
											she calls on her fairies to lavish him 
with wine and treasures
											and sweeps the transfigured donkeyman 
off his feet:
											“pluck the wings from painted butterflies/
											To fan the moonbeams 
from his sleeping eyes.
											Nod to him, elves, 
and do him courtesies.”
									","
											Lorsque leurs yeux s'ouvrent,
											commence une nuit de chaos qui inclut
des cœurs brisés, de fausses identités
											et des transformations.
											Parmi tous les personnages, Bottom
s'en sort sans doute le mieux.
											Quand Titania, ensorcelée,
pose ses yeux sur lui,
											elle appelle ses fées pour le couvrir
de vin et de trésors
											et séduit l'homme-âne métamorphosé :
											« Arrachez les ailes des papillons diaprés
											pour écarter de ses yeux
endormis les rayons de lune.
											Inclinez-vous devant lui, sylphes,
et faites-lui vos courtoisies. »
									","
											Quando os olhos se abrem,
											começa uma noite de caos,
											que inclui corações partidos,
confusão de identidades,
											e transformações.
											De todas as personagens,
provavelmente é Bottom quem se sai melhor.
											Quando Titânia, enfeitiçada,
lhe põe os olhos em cima.
											chama as suas fadas para o encherem
de vinho e de tesouros
											e afasta o homem-asno
transfigurado a seus pés:
											""Amarrem as asas das borboletas pintadas
											""para afastar os raios da lua
dos seus olhos sonolentos.
											""Acenem-lhe, duendes,
e cumprimentem-no"".
									","
											Cuando los personajes despiertan,
la noche se convierte en un caos
											de desilusiones amorosas,
identidades cambiadas
											y transformaciones.
											De los personajes involucrados,
Bottom es quizá el más favorecido,
											pues Titania, bajo efecto 
del hechizo, posa sus ojos en él,
											y ordena a sus hadas que
le prodiguen vinos y riquezas
											para seducir al hombre
transformado en burro:
											""Y tomad las alas
de las pintadas mariposas
											para defender de los rayos de la luna
sus párpados somnolientos.
											¡Duendes! Saludadlo
y presentadle vuestros respetos"".
									","
											Gözler açılırken, geceyi
											kırık kalpler, kimlik karışıklıkları
ve birtakım dönüşümler içeren
											bir kaos ele geçirir.
											Karakterlerden muhtemelen en iyi
durumda olanıdır Bottom;
											gözleri büyülenmiş Titania
onu görür görmez,
											Bottom'u şarap ve hediyelere
boğmaları için perilerini çağırır
											ve eşekadamın ayaklarını yerden keser.
											""Yolun en renkli
kelebeklerin kanatlarını/
											Yelpaze yapın ki sakının
ay ışığından uykulu gözlerini.
											Eğilin, ey periler, selam verin ona.""
									","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
											While magic is the catalyst to the action,
											the play reflects the real drama 
of the things we do for love –
											and the nonsensical behavior 
of the people under its spell.
											The moon overlooks the action 
“like a silver bow,”
											signifying erratic behavior, 
the dark side of love,
											and the bewitching allure of a world 
where the usual rules don’t apply.
									","
											Bien que la magie soit
le catalyseur de l'action,
											la pièce reflète le vrai drame
des choses qu'on fait par amour
											et le comportement incompréhensible
des gens qui en sont ensorcelés.
											La lune regarde l'action
« telle qu'un arc d'argent, »
											signifiant un comportement imprévisible,
le côté obscur de l'amour,
											et l'allure enchanteresse d'un monde
											où les règles habituelles
ne s'appliquent pas.
									","
											Embora a magia seja o catalisador da ação,
											a peça reflete o drama real
das coisas que fazemos por amor
											e o comportamento disparatado
das pessoas sob o seu feitiço.
											A lua observa a ação
""como uma tijela de prata"",
											significando um comportamento errático,
o lado sombrio do amor
											e a atitude enfeitiçada de um mundo
em que as regras habituais não se aplicam.
									","
											Si bien la acción está
dominada por la magia,
											la obra refleja el verdadero drama
de lo que somos capaces de hacer por amor
											y expone las absurdas conductas 
de quienes caen bajo su influjo.
											La luna contempla la acción
""cual arco de plata"",
											y representa el comportamiento 
errático, el lado oscuro del amor,
											y el cautivante embrujo de un mundo 
que no sabe de reglas convencionales.
									","
											Sihir olayları hızlandıradururken,
											oyun, aşk adına yaptığımız
şeylerin gerçek dramına
											ve âşıkken yapılan anlamsız
davranışlara ayna tutuyor.
											""Gümüş bir yay"" gibi duran Ay,
olan biteni tepeden izliyor.
											Düzensiz davranışları, aşkın
karanlık yüzünü ve sıradan
											kuralların geçmediği bir dünyanın
büyüleyici cazibesini temsil ediyor.
									","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
											Although the characters eventually 
come to their senses,
											""A Midsummer Night's Dream"" 
raises the question
											of how much agency we have 
over our own daily lives.
											But it’s not the more realistically
rendered lovers, rulers or workers
											who have the last word,
											but the impish Puck who queries whether we
can ever truly trust what we see:
									","
											Même si, finalement, les personnages
retrouvent la raison,
											« Le Songe d’une Nuit d’Été »
soulève un problème
											concernant le pouvoir que nous avons
sur notre vie quotidienne.
											Dépeints de manière réaliste, ce ne sont
pas les amoureux, chefs ou travailleurs,
											qui ont le dernier mot,
											mais le taquin Puck qui se demande
											si nous pouvons vraiment croire
ce que nous voyons :
									","
											Embora as personagens
acabem por recuperar a compostura,
											o ""Sonho de uma Noite de Verão""
levanta a questão
											de até que ponto dominamos 
a nossa vida diária.
											Mas não são os amantes
realistamente apresentados,
											nem os governantes ou os trabalhadores
											que têm a última palavra
											mas o endiabrado Puck
											que questiona se podemos confiar
naquilo que vemos:
									","
											Aunque los personajes 
recobran la sensatez sobre el final,
											""El sueño de una noche de verano""
nos lleva a cuestionar
											si en realidad ejercemos control
sobre nuestra vida cotidiana.
											Pero quienes tienen la última palabra
no son los personajes más realistas,
											como los amantes,
los gobernantes o los actores,
											sino el pícaro Puck, 
que pone en tela de juicio
											si verdaderamente podemos 
confiar en lo que vemos:
									","
											Sonunda karakterler kendilerine gelse de,
											""Bir Yaz Gecesi Rüyası"" kendi
hayatlarımızın üzerinde
											ne kadar kontrol sahibi
olduğumuzu sorguluyor.
											Ancak daha gerçekçi tasvir edilen
âşıklar, hükümdarlar ya da işçiler
											son sözü söyleyenler değil.
											Aksine söz, bize şahit olduğumuz olayların
gerçekliğini sorgulatan haylaz Puck'a ait:
									","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
											If we shadows have offended,
											Think but this and all is mended:
											That you have but slumbered here
											While these visions did appear. 

									","
											« Ombres que nous sommes,
si nous avons déplu,
											figurez-vous seulement
et tout sera réparé :
											que vous n’avez fait qu’un somme,
											pendant que ces visions
vous apparaissaient. »
									","
											""Se nós, sombras, ofendemos,
											""pensem nisto e tudo se comporá:
											""Estivemos sempre aqui adormecidos
											""enquanto estas visões apareceram"".
									","
											""Si nosotros, sombras, os hemos ofendido
											pensad esto, y todo queda arreglado:
											que no habéis sino soñado
											mientras estas visiones surgieron"".
									","
											Biz gölgeler, kusur işlediysek eğer,
											Şöyle düşünün ve hoş görün bizi;
											Buracıkta uyuyakaldınız,
											bu hayaller görünürken size.
									","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
											And in so doing,
											he evokes the effect of entering into the 
magical world of great theatre
											that plays with the boundary between 
illusion and reality –
											and dramatizes the possibility 
that life is but a dream.
									","
											Et ce faisant,
											il évoque l'effet d'entrer
dans le monde magique du grand théâtre
											qui joue avec la limite
entre illusion et réalité
											et met sur scène la possibilité
que la vie ne soit qu'un rêve.
									","
											Com isso,
											ele evoca o efeito de entrar
no mundo mágico do grande teatro
											que joga com a fronteira
entre a ilusão e a realidade
											e dramatiza a possibilidade
de a vida não passar de um sonho.
									","
											Y de este modo,
											evoca el efecto de adentrarse 
en el mágico mundo del gran teatro
											que juega con los límites
entre la realidad y la ilusión,
											y pone en escena la posibilidad
de que la vida...
											no sea más que un sueño.
									","
											Bu şekilde, Puck, bize
											hayal ile gerçeğin arasındaki
sınırla oynayan muhteşem tiyatronun
											sihirli dünyasına girmişiz
izlenimini veriyor
											ve hayatın sadece bir rüyadan ibaret
olma olasılığını sahneliyor.
									","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
"
","
","
","
","
","Why should you read ""A Midsummer Night's Dream?""",Iseult Gillespie,4:26,"TED-Ed,literature,poetry,theater,play,culture,world cultures,animation,writing,magic,book,novel,books"
