de,en,es,title,speaker,duration,tags
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											Das bringt mich
zu meiner zweiten Botschaft.
											Wie wunderbar wäre es,
											wenn das Wachstum der Wissenschaft
und technologische Innovation
											mit mehr Gleichheit und sozialer
Integration einhergehen würden.
											Wie wunderbar wäre es, während
wir weit entfernte Planeten entdecken,
											die Bedürfnisse unserer Brüder und
Schwestern um uns herum wiederzuentdecken.
											Wie wunderbar wäre es,
wenn Brüderlichkeit,
											dieses schöne und manchmal unbequeme Wort,
											nicht nur auf Sozialarbeit begrenzt wäre,
											sondern stattdessen zur Standardhaltung
											in Politik, Wirtschaft und bei
wissenschaftlichen Entscheidungen,
											genauso wie in Beziehungen zwischen
Menschen und Ländern werden würde.
											Nur indem wir Menschen
wahre Brüderlichkeit vermitteln,
											echte Solidarität,
											werden wir die ""Kultur der
Verschwendung"" überwinden können.
											Was nicht nur Nahrung und Güter betrifft,
											sondern vor allem die Menschen,
											die von unserem techno-ökonomischen
System beiseite geschoben werden,
											das, ohne es überhaupt zu merken,
											Produkte statt Menschen
ins Zentrum stellt.
									","
											And this brings me to my second message.
											How wonderful would it be
											if the growth of scientific
and technological innovation
											would come along with more equality
and social inclusion.
											How wonderful would it be,
while we discover faraway planets,
											to rediscover the needs of the brothers
and sisters orbiting around us.
											How wonderful would it be if solidarity,
											this beautiful and, at times,
inconvenient word,
											were not simply reduced to social work,
											and became, instead, the default attitude
											in political, economic
and scientific choices,
											as well as in the relationships
among individuals, peoples and countries.
											Only by educating people
to a true solidarity
											will we be able to overcome
											the ""culture of waste,""
											which doesn't concern only food and goods
											but, first and foremost, the people
											who are cast aside
by our techno-economic systems
											which, without even realizing it,
											are now putting products
at their core, instead of people.
									","
											Esto me lleva a mi segundo mensaje.
											Qué maravilloso sería
											si el aumento de las innovaciones
científicas y tecnológicas
											correspondiese también con una mayor
equidad e inclusión social.
											Qué maravilloso sería si,
mientras descubrimos nuevos planetas,
											descubriésemos las necesidades del hermano
y la hermana que orbitan a mi alrededor.
											Qué maravilloso sería que la fraternidad,
											esta palabra tan bonita
y a veces incómoda,
											no se redujese solo
a la asistencia social,
											sino que se convirtiese
en la actitud básica
											en las decisiones a nivel político,
económico, científico,
											y en las relaciones entre personas,
entre pueblos, y países.
											Solo la educación en fraternidad,
en una solidaridad concreta,
											puede superar la ""cultura del descarte"",
											que no trata solo de alimentos y bienes,
											sino ante todo de personas
											marginadas de sistemas tecno-económicos,
											en cuyo centro, sin percatarse,
											a menudo ya no está más el hombre,
sino los productos del hombre.
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											Solidarität ist ein Begriff,
											den viele gern aus
den Wörterbüchern streichen würden.
											Solidarität ist kein
automatischer Mechanismus;
											sie kann nicht programmiert
oder gesteuert werden.
											Es ist eine freiwillige Reaktion,
die im Herzen jedes einzelnen entsteht.
											Ja, eine freiwillige Reaktion!
											Wenn man erkennt,
											dass das Leben, sogar inmitten
so vieler Widersprüche, ein Geschenk ist,
											dass Liebe die Quelle
und die Bedeutung von Leben ist,
											wie können Sie dann
den Drang zurückhalten,
											einem Mitmenschen etwas Gutes zu tun?
									","
											Solidarity is a term that many wish
to erase from the dictionary.
											Solidarity, however,
is not an automatic mechanism.
											It cannot be programmed or controlled.
											It is a free response born
from the heart of each and everyone.
											Yes, a free response!
											When one realizes
											that life, even in the middle
of so many contradictions, is a gift,
											that love is the source
and the meaning of life,
											how can they withhold their urge
to do good to another fellow being?
									","
											La solidaridad es una palabra
											que muchos quieren quitar del diccionario.
											Sin embargo, la solidaridad
no es un mecanismo automático,
											no se puede planificar o controlar:
											es una respuesta libre
que nace del corazón de cada uno.
											Sí, ¡una respuesta libre!
											Si uno entiende que su vida
											aunque en medio de tantas contradicciones,
											es un don,
											que el amor es la fuente
y el sentido de la vida,
											¿cómo puede contener el deseo
de hacer el bien a los otros?
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											Um Gutes zu tun,
											brauchen wir Erinnerung,
Mut und Kreativität,
											und ich weiß, dass TED
viele kreative Köpfe versammelt.
											Ja, Liebe braucht eine kreative, konkrete
											und erfinderische Haltung.
											Gute Absichten und gängige Formeln,
											so oft zur Beruhigung unseres
Gewissens genutzt, reichen nicht aus.
											Helfen wir uns alle gemeinsam
dabei, uns zu erinnern,
											das der Andere keine Statistik
oder Nummer ist.
											Der Andere hat ein Gesicht.
											Das ""Du"" ist immer eine echte Präsenz,
											eine Person, um die man
sich kümmern sollte.
									","
											In order to do good,
											we need memory, we need courage
and we need creativity.
											And I know that TED
gathers many creative minds.
											Yes, love does require
a creative, concrete
											and ingenious attitude.
											Good intentions and conventional formulas,
											so often used to appease
our conscience, are not enough.
											Let us help each other,
all together, to remember
											that the other is not
a statistic or a number.
											The other has a face.
											The ""you"" is always a real presence,
											a person to take care of.
									","
											Para participar activamente en el bien
											hace falta memoria, hace falta coraje,
y también creatividad.
											Me han dicho que en TED
											se reúne mucha gente muy creativa.
											Sí,
											el amor pide una respuesta
creativa, concreta, ingeniosa.
											No bastan los buenos propósitos
y las fórmulas ya consagradas,
											que a menudo solo sirven
para tranquilizar conciencias.
											Juntos, ayudémonos a recordar
											que el otro no es una estadísticas o un número:
											el otro tiene un rostro,
											el ""tú"" es siempre un rostro concreto,
											un hermano al que cuidar.
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											Jesus erzählte ein Gleichnis,
											das uns den Unterschied
zwischen denen verständlich macht,
											die nicht behelligt werden wollen,
und denen, die sich kümmern.
											Sicher haben Sie es schon gehört.
											Es ist das Gleichnis des guten Samariters.
											Als Jesus gefragt wurde:
""Wer ist mein Nächster?"" —
											also eigentlich: ""Um wen
sollte ich mich kümmern?"" —
											erzählte er die Geschichte eines Mannes,
											der angegriffen, überfallen, geschlagen
											und auf dem Feldweg
zurückgelassen worden war.
											Ein Priester und ein Levit,
damals sehr einflussreiche Personen,
											gingen einfach vorbei, ohne ihm zu helfen.
											Etwas später kam ein Samariter vorbei,
eine damals sehr verachtete Ethnie.
											Als er den Verletzten am Boden liegen sah,
											ignorierte er ihn nicht,
so als wäre er gar nicht anwesend.
											Stattdessen hatte er
Mitleid mit diesem Mann,
											was ihn dazu brachte,
ganz konkret zu handeln.
											Er träufelte Öl und Wein
auf die Wunden des hilflosen Mannes,
											brachte ihn zu einer Herberge
											und bezahlte selbst dafür,
damit ihm geholfen wurde.
									","
											There is a parable Jesus told
to help us understand the difference
											between those who'd rather not be bothered
and those who take care of the other.
											I am sure you have heard it before.
It is the Parable of the Good Samaritan.
											When Jesus was asked:
""Who is my neighbor?"" -
											namely, ""Who should I take care of?"" -
											he told this story, the story of a man
											who had been assaulted, robbed,
beaten and abandoned along a dirt road.
											Upon seeing him, a priest and a Levite,
two very influential people of the time,
											walked past him without stopping to help.
											After a while, a Samaritan, a very much
despised ethnicity at the time, walked by.
											Seeing the injured man
lying on the ground,
											he did not ignore him
as if he weren't even there.
											Instead, he felt compassion for this man,
											which compelled him to act
in a very concrete manner.
											He poured oil and wine
on the wounds of the helpless man,
											brought him to a hostel
											and paid out of his pocket
for him to be assisted.
									","
											Hay una historia que contó Jesús
											para explicar la diferencia
											entre quien no se preocupa
											y quien cuida del otro.
											Probablemente la conozcan,
es la parábola del Buen Samaritano.
											Cuando preguntaron a Jesús:
""¿quién es mi prójimo?""
											- es decir, ¿a quién debo cuidar? -
											Jesús contó esta historia,
											la historia de un hombre
al que los ladrones habían asaltado,
											robado, golpeado
y abandonado en el camino.
											Dos personas muy respetables de la época,
un sacerdote y un levita
											lo vieron,
											pero pasaron de largo sin pararse.
											Después llegó un samaritano,
que pertenecía a una etnia despreciada,
											y este samaritano
al ver a ese hombre herido en el suelo,
											no pasó de largo como los demás,
como si no pasara nada,
											sino que tuvo compasión.
											Se conmovió y esta compasión
											lo llevó a actuar de manera muy concreta:
											vertió aceite y vino
sobre las heridas de aquel hombre,
											lo llevó a un albergue
											y pagó de su bolsillo
los cuidados necesarios.
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											Die Geschichte vom guten Samariter
ist die der heutigen Menschheit.
											Die Wege der Menschen
sind mit Wunden versehen,
											da sich alles um Geld und Dinge dreht,
statt um Menschen.
											Häufig gibt es die Angewohnheit,
											von selbsternannten ""respektablen"" Leuten,
											sich nicht um andere zu kümmern,
											wodurch sie tausende
Menschen oder ganze Völker
											am Straßenrand zurücklassen.
											Glücklicherweise gibt es auch jene,
die eine neue Welt erschaffen,
											indem sie sich um andere kümmern
und selbst dafür zahlen.
											Mutter Teresa sagte sogar:
											""Man kann nicht lieben, bevor es
nicht auf eigene Kosten geht.""
									","
											The story of the Good Samaritan
is the story of today’s humanity.
											People's paths are riddled with suffering,
											as everything is centered around money,
and things, instead of people.
											And often there is this habit, by people
who call themselves ""respectable,""
											of not taking care of the others,
											thus leaving behind thousands
of human beings, or entire populations,
											on the side of the road.
											Fortunately, there are also those
who are creating a new world
											by taking care of the other,
even out of their own pockets.
											Mother Teresa actually said:
											""One cannot love,
unless it is at their own expense.""
									","
											La historia del Buen Samaritano
es la historia de la humanidad de hoy.
											En el camino de los pueblos
hay heridas provocadas por el hecho
											de que en el centro está el dinero,
están las cosas.
											No las personas.
											A menudo es costumbre
de quienes se creen respetables
											no cuidar de los otros,
											dejando a tantos seres humanos,
											pueblos enteros, atrás,
tirados por el camino.
											Existe sin embargo
quien da vida a un mundo nuevo,
											cuidando de los otros,
incluso asumiendo los costos.
											De hecho, decía
la Madre Teresa de Calcuta,
											no se puede amar si no es a costo propio.
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											Es gibt so viel zu tun
und wir müssen es gemeinsam tun.
											Aber wie können wir das, bei all dem Übel,
das wir täglich einatmen?
											Gott sei Dank
											kann kein System unseren Wunsch
beseitigen, uns dem Guten,
											dem Mitgefühl, und unserer Fähigkeit,
das Böse zu bekämpfen, zu öffnen.
											All das kommt tief aus unseren Herzen.
											Sie können mir jetzt sagen:
											""Sicher, das sind alles schöne Worte,
											aber ich bin weder der gute Samariter
noch Mutter Theresa aus Kalkutta.""
											Vielmehr ist jeder einzelne
von uns wertvoll.
											Jeder von uns ist in den Augen
Gottes unersetzlich.
											In der Finsternis der aktuellen Konflikte
											kann jeder von uns
eine leuchtende Kerze werden,
											eine Mahnung, dass Licht
die Finsternis überwinden wird,
											und niemals andersherum.
									","
											We have so much to do,
and we must do it together.
											But how can we do that
with all the evil we breathe every day?
											Thank God,
											no system can nullify our desire
to open up to the good,
											to compassion and to our capacity
to react against evil,
											all of which stem
from deep within our hearts.
											Now you might tell me,
											""Sure, these are beautiful words,
											but I am not the Good Samaritan,
nor Mother Teresa of Calcutta.""
											On the contrary: we are precious,
each and every one of us.
											Each and every one of us
is irreplaceable in the eyes of God.
											Through the darkness of today's conflicts,
											each and every one of us
can become a bright candle,
											a reminder that light
will overcome darkness,
											and never the other way around.
									","
											Tenemos mucho que hacer,
y debemos hacerlo juntos.
											Pero, ¿cómo hacer
con todo el mal que respiramos?
											Gracias a Dios,
											ningún sistema puede prohibir
que nos abramos al bien, a la compasión,
											a la capacidad de reaccionar al mal
											que nace del corazón del hombre.
											Ahora me dirán:
											""Sí, bellas palabras,
											pero yo no soy el Buen Samaritano
y mucho menos la Madre Teresa de Calcuta"".
											Sin embargo,
cada uno de nosotros es precioso;
											cada uno de nosotros es irremplazable
ante los ojos de Dios.
											En esta noche de conflictos
que estamos atravesando
											cada uno de nosotros puede ser
una vela iluminada
											que nos recuerda que la luz
prevalece sobre las tinieblas,
											y no al contrario.
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											Für uns Christen hat
die Zukunft einen Namen,
											und dieser Name ist Hoffnung.
											Hoffnungsvoll zu sein, meint nicht,
naiv-optimistisch zu sein
											und die Tragik zu ignorieren,
der die Menschheit gegenüber steht.
											Hoffnung ist die Tugend eines Herzens,
											das sich nicht selbst in Finsternis
verschließt und in der Vergangenheit lebt,
											das in der Gegenwart nicht einfach
klarkommt, sondern die Zukunft sehen kann.
											Hoffnung ist die Tür,
die sich zur Zukunft öffnet.
											Hoffnung ist ein demütig,
verborgener Samen des Lebens,
											der sich mit der Zeit in einen
großen Baum verwandeln wird.
											Er ist wie unsichtbare Hefe,
die den Teig zum Wachsen bringt,
											die allen Lebensbereichen
Geschmack verleiht.
											Sie kann so viel erreichen,
											denn ein winziger Lichtschimmer,
der sich von Hoffnung ernährt,
											ist genug, um das Schutzschild
der Finsternis zu durchbrechen.
											Es reicht ein einzelnes Individuum,
damit es Hoffnung gibt,
											und dieses Individuum kannst ""du"" sein.
											Dann gibt es ein weiteres ""Du""
und ein weiteres ""Du"",
											und es wird zu einem ""Wir"".
											Beginnt Hoffnung also,
wenn es ein ""Wir"" gibt?
											Nein.
											Hoffnung beginnt mit einem ""Du"".
											Wenn es ein ""Wir"" gibt,
beginnt eine Revolution.
									","
											To Christians,
the future does have a name,
											and its name is Hope.
											Feeling hopeful does not mean
to be optimistically naïve
											and ignore the tragedy humanity is facing.
											Hope is the virtue of a heart
											that doesn't lock itself into darkness,
that doesn't dwell on the past,
											does not simply get by in the present,
but is able to see a tomorrow.
											Hope is the door
that opens onto the future.
											Hope is a humble, hidden seed of life
											that, with time,
will develop into a large tree.
											It is like some invisible yeast
that allows the whole dough to grow,
											that brings flavor to all aspects of life.
											And it can do so much,
											because a tiny flicker of light
that feeds on hope
											is enough to shatter
the shield of darkness.
											A single individual
is enough for hope to exist,
											and that individual can be you.
											And then there will be another ""you,""
and another ""you,""
											and it turns into an ""us.""
											And so, does hope begin
when we have an ""us?""
											No.
											Hope began with one ""you.""
											When there is an ""us,""
there begins a revolution.
									","
											Para nosotros cristianos
el futuro tiene nombre,
											y este nombre es esperanza.
											Tener esperanza no significa
ser optimistas, ingenuos,
											ignorantes del drama
de los males de la humanidad.
											La esperanza es la virtud de un corazón
											que no se aferra a las sombras,
que no se refugia en el pasado,
											que no vive a duras penas el presente,
											sino que sabe ver el mañana.
											La esperanza es la puerta abierta
al porvenir.
											Es una semilla de vida, humilde y oculta,
											que con el tiempo se transforma
en un gran árbol;
											es como una levadura invisible
que hace levar la pasta,
											que da sabor a toda la vida.
											Es capaz de mucho,
											porque basta solo una pequeña luz
que se alimente de esperanza,
											y la oscuridad ya no estará completa.
											Basta un solo hombre
para que haya esperanza,
											y este hombre puedes ser tú.
											Después otro ""tú"", y otro ""tú"",
											y entonces somos ""nosotros"".
											Y cuando hay un ""nosotros"",
											¿comienza la esperanza?
											No, ya ha comenzado con el ""tú"".
											Cuando hay un nosotros,
comienza una revolución.
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
