en,pt,fr,es,title,speaker,duration,tags
"
											So why is that?
											Well, for many years,
											robots have been designed
to emphasize speed and precision,
											and this translates
into a very specific architecture.
											If you take a robot arm,
											it's a very well-defined
set of rigid links
											and motors, what we call actuators,
											they move the links about the joints.
											In this robotic structure,
											you have to perfectly
measure your environment,
											so what is around,
											and you have to perfectly
program every movement
											of the robot joints,
											because a small error
can generate a very large fault,
											so you can damage something
or you can get your robot damaged
											if something is harder.
									","
											Porque é que é assim?
											Bem, durante muitos anos,
											os robôs têm sido concebidos
para realçar a rapidez e a precisão,
											e isso traduz-se numa arquitetura
muito específica.
											O braço de um robô
											é uma estrutura bem definida 
de ligações rígidas
											e motores, a que chamamos atuadores,
											que movem as ligações entre articulações.
											Nesta estrutura robótica,
											temos que medir perfeitamente o ambiente,
											o que está em volta,
											e temos que programar
perfeitamente cada movimento
											das articulações do robô,
											porque um pequeno erro
pode gerar uma grande falha,
											e podemos estragar alguma
coisa ou até mesmo o robô
											se alguma coisa for mais rija.
									","
											Comment cela se fait-il ?
											En fait, depuis de nombreuses années,
											les robots ont été conçus pour allier
vitesse et précision ;
											ils sont donc créés sur la base
d'une architecture très précise.
											Prenez un bras robot,
											il s'agit d'un ensemble bien défini
de liens rigides
											et de moteurs, appelé actionneurs,
											déplaçant les liens sur ces articulations.
											Dans ce type de structure,
											il faut parfaitement évaluer
l'environnement,
											c'est-à-dire les alentours,
											et programmer parfaitement 
chaque mouvement
											des articulations du robot,
											car une simple erreur peut engendrer
un problème important,
											qui pourrait endommager quelque chose,
voire même votre robot
											s'il rencontre un obstacle très dur.
									","
											¿Por qué pasa esto?
											Bueno, desde hace muchos años
											el diseño de robots hace hincapié
en la velocidad y la precisión,
											dando como resultado
una arquitectura muy específica.
											Un brazo robótico es un conjunto
muy bien definido de elementos rígidos
											y de motores llamados ""actuadores"",
que hacen mover las articulaciones.
											Esta estructura requiere
una medición precisa del entorno,
											es decir, de lo que está alrededor,
											y una perfecta programación
de cada movimiento
											de las articulaciones del robot,
											porque un error pequeño
puede generar una falla muy grande,
											con lo que se puede dañar algo
o se puede dañar el robot,
											si se golpea contra algo más duro.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											So let's talk about them a moment.
											And don't think
about the brains of these robots
											or how carefully we program them,
											but rather look at their bodies.
											There is obviously
something wrong with it,
											because what makes a robot
precise and strong
											also makes them ridiculously dangerous
and ineffective in the real world,
											because their body cannot deform
											or better adjust to the interaction
with the real world.
											So think about the opposite approach,
											being softer than
anything else around you.
											Well, maybe you think that you're not
really able to do anything if you're soft,
											probably.
											Well, nature teaches us the opposite.
											For example, at the bottom of the ocean,
											under thousands of pounds
of hydrostatic pressure,
											a completely soft animal
											can move and interact
with a much stiffer object than him.
											He walks by carrying around
this coconut shell
											thanks to the flexibility
of his tentacles,
											which serve as both his feet and hands.
											And apparently,
an octopus can also open a jar.
											It's pretty impressive, right?
									","
											Vamos falar deles um bocado.
											Não pensem nos cérebros destes robôs
											nem como os programamos cuidadosamente,
											olhem apenas para os seus corpos.
											Há obviamente algo de errado com eles,
											porque o que torna um robô preciso e forte
											também o torna ridiculamente perigoso
e ineficaz no mundo real,
											porque o corpo não se pode deformar
											nem ajustar-se para uma interação
com o mundo real.
											Por isso, pensem na abordagem contrária,
											ser mais mole que tudo à nossa volta.
											Podem pensar que não conseguimos
fazer nada se formos moles,
											provavelmente.
											Mas a natureza ensinou-nos o contrário.
											Por exemplo, no fundo do oceano,
											sob uma carga de milhares de quilos
de pressão hidrostática,
											um animal totalmente mole
											pode mover-se e interagir
com coisas muito mais rijas que ele.
											Consegue transportar
esta casca de coco
											graças à flexibilidade
dos seus tentáculos,
											que servem tanto de pés como mãos.
											E parece que um polvo também
consegue abrir um boião.
											É impressionante, não é?
									","
											Parlons un peu de ces robots.
											Oubliez leurs cerveaux,
											ou comment ils sont soigneusement
programmés,
											mais regardez plutôt leur corps.
											C'est clairement un problème,
											car ce qui rend un robot précis et fort
											le rend aussi ridiculement dangereux
et inefficace dans le monde réel,
											car leur corps ne peut pas se plier
											ou s'adapter à l'interaction
avec le monde réel.
											Maintenant imaginez l'inverse,
											comment être plus souple
que ce qui vous entoure.
											Vous pensez peut-être qu'être souple
ne vous permet pas de faire grand chose,
											probablement.

											Eh bien, la nature nous apprend l'inverse.
											Par exemple, au fond de l'océan,
											soumis à une intense
pression hydrostatique,
											un animal totalement souple
											bouge et interagit avec des objets
bien plus rigides que lui.
											Il se déplace en transportant
cette coque de noix de coco
											grâce à la souplesse de ses tentacules,
											qui lui servent aussi bien
de pieds que de mains.
											Et apparemment, une pieuvre
peut aussi ouvrir un bocal.
											Plutôt impressionnant non ?
									","
											Hablemos de estos robots por un momento.
											Pero no piensen en el cerebro que tienen,
											ni en lo bien programados que están.
											Fíjense más bien en sus cuerpos.
											Es obvio que algo está mal,
											porque lo que hace que un robot
sea preciso y fuerte,
											también lo hace ridículamente peligroso
e inefectivo en el mundo real,
											porque su cuerpo no se deforma
											ni se adapta a la interacción
con el mundo real.
											Pensemos entonces en el enfoque opuesto:
											ser más blando que todo lo que nos rodea.
											Tal vez les parezca
											que ser blando no sirve
prácticamente para nada.
											Bueno, la naturaleza
nos enseña lo contrario.
											En el fondo del océano, por ejemplo,
											sometido a miles de kilos
de presión hidrostática,
											un animal completamente blando
											es capaz de moverse e interactuar
con un objeto mucho más rígido.
											Camina llevando una cáscara de coco
											gracias a sus tentáculos flexibles,
											que le sirven a modo de pies y de manos.
											Y, aparentemente, un pulpo
también es capaz de abrir un frasco.
											Es bastante impresionante, ¿no?
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											But clearly, this is not enabled
just by the brain of this animal,
											but also by his body,
											and it's a clear example,
maybe the clearest example,
											of embodied intelligence,
											which is a kind of intelligence
that all living organisms have.
											We all have that.
											Our body, its shape,
material and structure,
											plays a fundamental role
during a physical task,
											because we can conform to our environment
											so we can succeed in a large
variety of situations
											without much planning
or calculations ahead.
									","
											Obviamente, isto não é possível
graças apenas ao cérebro do animal.
											mas também graças ao seu corpo,
											e é um exemplo claro,
talvez o exemplo mais claro,
											de inteligência incorporada,
											que é um tipo de inteligência
que todos os organismos vivos têm.
											Todos a temos.
											O nosso corpo, a sua forma,
o seu material e a sua estrutura
											têm um papel fundamental
durante uma tarefa física,
											porque podemos adaptar-nos
ao nosso ambiente
											de modo a termos sucesso
em muitas situações
											sem grande planeamento
ou cálculos prévios.
									","
											Mais clairement, son cerveau
n'est pas le seul à jouer un rôle,
											son corps également,
											et c'est un exemple très clair,
peut être le plus clair,
											d'intelligence incarnée,
											une sorte d'intelligence que possèdent
tous les organismes vivants.
											Nous l'avons tous.
											Notre corps, sa forme, sa substance
et sa structure,
											jouent un rôle fondamental
lors d'une tâche physique,
											car nous pouvons nous adapter
à notre milieu
											de façon à venir à bout
de beaucoup de situations
											sans nécessiter beaucoup de planification
ou de calculs préalables.
									","
											Es obvio que esto no es posible
únicamente gracias al cerebro del animal;
											también tiene que ver con su cuerpo.
											Es, tal vez, el ejemplo más claro
											de la inteligencia corporal,
											un tipo de inteligencia
que tienen todos los organismos vivos.
											Todos nosotros la tenemos.
											La forma, el material
y la estructura de nuestro cuerpo
											juegan un papel fundamental
para hacer una tarea física,
											porque nos permiten adaptarnos al entorno
											y resolver con éxito
una variedad de situaciones
											sin mucha planificación
ni cálculos previos.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											So why don't we put
some of this embodied intelligence
											into our robotic machines,
											to release them from relying
on excessive work
											on computation and sensing?
											Well, to do that, we can follow
the strategy of nature,
											because with evolution,
she's done a pretty good job
											in designing machines
for environment interaction.
											And it's easy to notice that nature
uses soft material frequently
											and stiff material sparingly.
											And this is what is done
in this new field of robotics,
											which is called ""soft robotics,""
											in which the main objective
is not to make super-precise machines,
											because we've already got them,
											but to make robots able to face
unexpected situations in the real world,
											so able to go out there.
											And what makes a robot soft
is first of all its compliant body,
											which is made of materials or structures
that can undergo very large deformations,
											so no more rigid links,
											and secondly, to move them,
we use what we call distributed actuation,
											so we have to control continuously
the shape of this very deformable body,
											which has the effect
of having a lot of links and joints,
											but we don't have
any stiff structure at all.
									","
											Por isso, porque não
pôr esta inteligência incorporada
											nas nossas máquinas robóticas,
											para elas não dependerem
de trabalho excessivo
											em cálculos ou sensações?
											Podemos seguir a estratégia da natureza
											porque, com a evolução,
ela fez um excelente trabalho
											em conceber máquinas
para interagir com o ambiente.
											É fácil notar que a natureza usa
material mole com frequência
											e material rijo com frugalidade.
											Isto é o que se faz
nesta nova área ou robótica
											que se chama ""robótica mole"",
											em que o principal objetivo
não é fazer máquinas super precisas,
											porque já as temos,
											mas fazer robôs capazes de enfrentar
situações inesperadas no mundo real,
											capazes de ir lá para fora.
											O que torna um robô mole é,
primeiro que tudo, o seu corpo adequado,
											que é feito de materiais ou estruturas
que podem sofrer grandes deformações,
											por isso não há ligações rígidas.
											Em segundo lugar, para os movermos,
usamos uma atuação distribuída,
											para controlarmos continuamente
a forma deste corpo deformável,
											o que tem o efeito de ter muitas
ligações e articulações,
											mas não temos nenhuma estrutura rígida.
									","
											Pourquoi ne pas tenter de mettre
cette intelligence incarnée
											dans nos robots,
											pour éviter qu'ils ne soient
trop dépendants
											de calculs compliqués
et de capacités de détection ?
											Pour ça, on peut appliquer
la stratégie de la nature,
											en effet elle a fait du bon travail
avec l'évolution,
											en concevant des machines faites
pour interagir avec leur milieu.
											Et on voit bien que la nature 
utilise souvent des matériaux souples
											et les matériaux rigides
avec plus de parcimonie.
											C'est ce qui est réalisé
dans ce nouveau domaine de la robotique,
											appelé ""robotique molle"",
											dont le but n'est pas de créer
des machines extrêmement précises,
											parce que nous en avons déjà,
											mais de faire en sorte qu'elle puissent
faire face à des situations inattendues,
											dans le monde réel,
et donc d'opérer au dehors.
											La première chose qui rend
un robot souple, c'est un corps adapté,
											fait de matériaux ou de structures
qui peuvent subir de grande déformations,
											donc plus de liens rigides,
											la deuxième, pour les faire bouger,
est d'utiliser l'actionnement distribué,
											afin de contrôler en permanence
la forme de ce corps très déformable,
											ce qui a pour effet d'avoir beaucoup
de liens et d'articulations
											mais pas de structure rigide du tout.
									","
											Entonces, ¿por qué no diseñar robots
con un poco de esta inteligencia corporal,
											para que no requieran tanto trabajo,
											tanto cálculo y tantos sensores?
											Para eso, podemos seguir
la estrategia de la naturaleza,
											que, a lo largo de la evolución,
ha diseñado máquinas excelentes
											para interactuar con el medio.
											Es fácil darse cuenta de que la naturaleza
usa materiales blandos frecuentemente
											y materiales rígidos en forma esporádica.
											Y esto es lo que hacemos
en este nuevo campo de la robótica
											que se llama ""robótica blanda"",
											donde el objetivo principal no es
diseñar máquinas súper precisas,
											porque ya las tenemos,
											sino diseñar robots capaces de afrontar
situaciones inesperadas en el mundo real,
											capaces de salir al mundo.
											Para hacer un robot blando, lo primero
que se necesita es un cuerpo maleable,
											hecho de materiales o estructuras
con gran capacidad de deformación,
											así que no más elementos rígidos.
											En segundo lugar, para moverlo,
usamos ""actuación distribuida"".
											Quiere decir que controlamos continuamente
la forma de ese cuerpo tan deformable,
											produciendo el mismo efecto que tener
muchos elementos rígidos y articulaciones,
											pero sin ninguna estructura rígida.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											So you can imagine that building
a soft robot is a very different process
											than stiff robotics,
where you have links, gears, screws
											that you must combine
in a very defined way.
											In soft robots, you just build
your actuator from scratch
											most of the time,
											but you shape your flexible material
											to the form that responds
to a certain input.
											For example, here,
you can just deform a structure
											doing a fairly complex shape
											if you think about doing the same
with rigid links and joints,
											and here, what you use is just one input,
											such as air pressure.
									","
											Podem imaginar que construir um robô mole
é completamente diferente
											de construir um robô rijo,
em que temos engrenagens e parafusos
											que temos que combinar
de uma forma precisa.
											Nos robôs moles, construímos
habitualmente o atuador 

											a partir do zero,
											mas modelamos o material flexível
											na forma que corresponde
a um certo contributo.
											Aqui, por exemplo,
podemos deformar uma estrutura
											fazendo uma forma relativamente complexa
											se pensarmos em fazer o mesmo
com ligações e articulações rígidas,
											e aqui, o que usamos
é apenas um contributo,
											como a pressão do ar.
									","
											Construire un robot souple est donc
un processus très différent
											que pour un robot rigide avec des liens,
des vis, des engrenages
											que l'on combine
d'une manière bien définie.
											Avec des robots souples, vous construisez
votre actionneur à partir de rien
											la plupart du temps,
											mais vous modelez votre matériau élastique
											pour qu'il réponde
à une certaine sollicitation.
											Par exemple, vous pouvez déformer
une structure
											en une forme plutôt complexe,
											ce qui serait difficile avec des liens 
rigides et des articulations,
											en n'ayant besoin
que d'un seul élément en entrée,
											comme la pression de l'air.
									","
											Como pueden imaginar,
											la construcción de un robot blando
es muy distinta a la robótica tradicional,
											donde hay que combinar brazos, engranajes
y tornillos de una forma muy definida.
											En la robótica blanda construimos
el actuador de cero, prácticamente,
											la mayoría de las veces,
											amoldando el material flexible
											para que se deforme
en función de un cierto estímulo.
											Por ejemplo, aquí podemos
deformar una estructura
											y darle una forma
que sería bastante compleja
											si tuviéramos que hacerla
con elementos rígidos y articulaciones.
											Aquí usamos un solo estímulo:
											aire a presión.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											OK, but let's see
some cool examples of soft robots.
											Here is a little cute guy
developed at Harvard University,
											and he walks thanks to waves
of pressure applied along its body,
											and thanks to the flexibility,
he can also sneak under a low bridge,
											keep walking,
											and then keep walking
a little bit different afterwards.
											And it's a very preliminary prototype,
											but they also built a more robust version
with power on board
											that can actually be sent out in the world
and face real-world interactions
											like a car passing it over it ...
											and keep working.
									","
											Mas vamos ver alguns exemplos
giros de robôs moles.
											Este pequeno robô engraçado
desenvolvido na Universidade de Harvard,
											que anda graças a ondas de pressão
aplicadas em todo o corpo,
											e que, devido à sua flexibilidade,
pode esgueirar-se sob uma ponte baixa,
											continuando a andar,
											e depois, continuar a andar
de modo um pouco diferente.
											Este é um protótipo muito preliminar,
											mas também foi construída uma versão
mais robusta com energia incorporada
											que pode ser enviada para o mundo
e enfrentar interações reais
											como um carro a passar por cima dele
											e continuar a funcionar.
									","
											Voyons quelques exemples intéressants
de robots mous.
											Observez ce petit gars qui a été développé
à l'Université de Harvard,
											il se déplace grâce aux vagues de pression
appliquées le long de son corps,
											et grâce à sa souplesse, il peut aussi
se glisser sous un pont bas,
											et continuer de marcher,
											et continuer de se déplacer,
un peu différemment, juste après.
											Et ce n'est qu'un des premiers 
prototypes,
											ils ont aussi conçu une version plus
robuste avec une source d'énergie interne
											qui peut être envoyée sur le terrain
et faire face à des situations réelles
											comme une voiture roulant dessus...
											et continuer à fonctionner.
									","
											Veamos algunos ejemplos
interesantes de robots blandos.
											Aquí tenemos un amiguito simpático
desarrollado en la Universidad de Harvard,
											que camina cuando se le aplican
ondas de presión a lo largo del cuerpo.
											Como es flexible, también es capaz
de arrastrarse debajo de un puente,
											pasar del otro lado, y luego
seguir caminando de otra forma.
											Este es un prototipo muy preliminar,
											pero también construyeron una versión
más robusta con potencia incorporada
											que puede salir y afrontar
las interacciones con el mundo real,
											como ser atropellado por un auto...
											y seguir caminando.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											It's cute.
									","
											É fofo.
									","
											C'est mignon.
									","
											Es lindo.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											Or a robotic fish, which swims
like a real fish does in water
											simply because it has a soft tail
with distributed actuation
											using still air pressure.
											That was from MIT,
											and of course, we have a robotic octopus.
											This was actually one
of the first projects
											developed in this new field
of soft robots.
											Here, you see the artificial tentacle,
											but they actually built an entire machine
with several tentacles
											they could just throw in the water,
											and you see that it can kind of go around
and do submarine exploration
											in a different way
than rigid robots would do.
											But this is very important for delicate
environments, such as coral reefs.
									","
											Ou um peixe robótico, que nada
na água como um peixe real
											simplesmente porque tem
uma cauda mole com atuação distribuída
											que também usa a pressão do ar.
											Aquilo era do MIT,
											e claro, temos um polvo robótico.
											Este foi um dos primeiros projetos
											desenvolvidos nesta nova área
de robôs moles.
											Aqui vemos o tentáculo artificial,
											mas construíram uma máquina
com vários tentáculos
											que podiam atirar para a água.
											Vemos que isto pode andar por aí
e fazer explorações submarinas
											de uma maneira diferente
do que fariam os robôs rígidos.
											Isto é muito importante para ambientes
delicados, como os recifes de corais.
									","
											Ou un robot poisson, qui nage, comme
les vrais poissons le font dans l'eau
											simplement grâce à sa queue souple
avec actionnement distribué
											qui utilise la pression de l'air.
											Celui-là venait du MIT,
											et bien sûr, nous avons
des pieuvres robotiques.
											C'était en fait l'un des premiers projets
											développés dans ce nouveau domaine.
											Voici un tentacule artificiel,
											mais ils ont construit une machine
avec plusieurs tentacules
											qu'il peuvent mettre dans l'eau,

											et vous pouvez voir qu'il se déplace
et fait de l'exploration sous-marine
											d'une manière différente
de ce que ferait un robot rigide.
											C'est très important pour des milieux
délicats, tel que les récifs coralliens.
									","
											O un pez robótico
que nada como un pez real
											simplemente porque tiene una cola blanda
											con actuación distribuida que funciona
también con aire a presión.
											Ese es del MIT.
											Y, por supuesto, tenemos
el pulpo robótico.
											Fue uno de los primeros proyectos
en el nuevo campo de la robótica blanda.
											Aquí vemos el tentáculo artificial,
											pero en realidad construyeron
una máquina entera, con varios tentáculos,
											que se puede tirar directamente al agua
											y, como ven, puede desplazarse 
y hacer exploraciones submarinas
											de una forma diferente
a la de los robots rígidos.
											Esto es muy importante en ambientes
delicados, como los arrecifes de coral.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											Let's go back to the ground.
											Here, you see the view
											from a growing robot developed
by my colleagues in Stanford.
											You see the camera fixed on top.
											And this robot is particular,
											because using air pressure,
it grows from the tip,
											while the rest of the body stays
in firm contact with the environment.
											And this is inspired
by plants, not animals,
											which grows via the material
in a similar manner
											so it can face a pretty large
variety of situations.
									","
											Vamos voltar para a terra.
											Aqui podem ver a vista
											a partir de um robô desenvolvido
pelos meus colegas em Stanford.
											Vemos a câmara fixa no topo.
											Este robô é especial,
											porque, usando a pressão do ar, 
cresce a partir da ponta,
											enquanto o resto do corpo permanece
em contacto firme com o ambiente.
											Isto foi inspirado por plantas
- e não por animais -
											que crescem através do material
de uma forma semelhante
											para poderem enfrentar
uma grande variedade de situações.
									","
											Revenons sur la terre ferme.
											Voici le point de vue
											d'un robot développé
par mes collègues de Stanford.
											Voici la caméra fixée sur le dessus.
											Ce robot est particulier,
											car grâce à la pression de l'air,
il s'allonge
											tandis que le reste de son corps reste
en contact avec son milieu.
											Il s'inspire des plantes,
et non des animaux,
											car elles grandissent à travers
leur matériaux d'une manière similaire
											de façon à faire face
à un grand nombre de situations.
									","
											Volviendo a la superficie,
											aquí tenemos una vista
tomada desde un robot que crece,
											desarrollado por mis colegas en Stanford.
											Vemos la cámara adosada arriba.
											Lo particular es que crece por la punta
cuando se le inyecta aire a presión,
											mientras el resto del cuerpo
permanece en contacto con el entorno.
											Está inspirado en las plantas,
no en los animales,
											porque las plantas crecen
de una forma parecida
											y así pueden afrontar
gran variedad de situaciones.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											But I'm a biomedical engineer,
											and perhaps the application
I like the most
											is in the medical field,
											and it's very difficult to imagine
a closer interaction with the human body
											than actually going inside the body,
											for example, to perform
a minimally invasive procedure.
											And here, robots can be
very helpful with the surgeon,
											because they must enter the body
											using small holes
and straight instruments,
											and these instruments must interact
with very delicate structures
											in a very uncertain environment,
											and this must be done safely.
											Also bringing the camera inside the body,
											so bringing the eyes of the surgeon
inside the surgical field
											can be very challenging
if you use a rigid stick,
											like a classic endoscope.
									","
											Eu sou engenheira biomédica,
											e a especialidade que prefiro
											é talvez a área médica.
											É muito difícil imaginar uma interação
mais próxima com o corpo humano
											do que entrar dentro do corpo,
											por exemplo, para um procedimento
minimamente invasivo.
											Aqui, os robôs podem ser
muito úteis para o cirurgião,
											porque têm que entrar no corpo
											através de pequenos buracos
e instrumentos retilíneos.
											Estes instrumentos têm que
interagir com estruturas delicadas
											num ambiente muito incerto.
											Isto tem que ser feito com segurança.
											Ao introduzirem a câmara no corpo,
											levam também os olhos do cirurgião
para a área cirúrgica
											o que pode ser problemático
com uma haste dura,
											como um endoscópio clássico.
									","
											Mais en tant qu'ingénieur biomédical,
											l'utilisation que je préfère
											est l'utilisation médicale,

											difficile d'imaginer une interaction
plus proche avec le corps humain
											que d'aller dans ce corps,
											par exemple, exécuter
une procédure peu invasive.
											Les robots peuvent s'avérer très utiles
aux chirurgiens,
											car ils doivent pénétrer les corps
											au moyen de petits trous
et d'instruments droits,
											et ces instruments doivent interagir
avec des structures très délicates
											dans un environnement très incertain,
											et cela doit être fait sans danger.
											Faire rentrer une caméra dans le corps,
											donc faire entrer la vision
du chirurgien dans le corps,
											est assez complexe
si l'on utilise un tube rigide,
											comme dans une endoscopie.
									","
											Pero yo soy ingeniera biomédica,
											y las aplicaciones en el campo médico
son, tal vez, las que más me gustan.
											Es difícil imaginar una interacción
con el cuerpo humano más cercana
											que directamente ""entrar"" en el cuerpo,
											como cuando se realiza un procedimiento
mínimamente invasivo, por ejemplo.
											Aquí, los robots pueden
ayudar mucho al cirujano,
											porque tienen que acceder al cuerpo
por orificios pequeños
											y con instrumentos rígidos.
											Estos instrumentos deben interactuar
con estructuras muy delicadas,
											en un entorno muy incierto
y de forma segura.
											Además, poner la cámara dentro del cuerpo,
											es decir, los ojos del cirujano
dentro del campo quirúrgico,
											puede ser muy difícil
con un elemento rígido,
											como un endoscopio tradicional.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
