tr,en,de,title,speaker,duration,tags
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
											(Gülüşmeler)
									","
											(Laughter)
									","
											(Lachen)
									",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
											Ama gerçekten gelirlerinin çoğunu evleri için veriyorlar
											ve eve yapılan yatırımdan
											yerel ekonomiye daha katkıda bulunan bir yatırım yoktur.
											Ama Portland'ın bu hesaplamanın dışında olan
											tamamen ayrı bir hikayesi var;
											genç, eğitimli insanlar
											Portland'a akın ediyorlar
											o kadar ki, en son iki sayım arasında
											üniversite eğitimi olan genç insanlarda
											%50 artış görüldü.
											Amerika'nın başka her yerindeki, daha doğrusu,
											milli ortalamadaki artışın 5 katı.
									","
											But actually, they're spending most of it in their homes,
											and home investment is about as local
											an investment as you can get.
											But there's a whole other Portland story,
											which isn't part of this calculus,
											which is that young, educated people
											have been moving to Portland in droves,
											so that between the last two censuses,
											they had a 50-percent increase
											in college-educated millennials,
											which is five times what you saw anywhere else
											in the country, or, I should say, of the national average.
									","
											Tatsächlich geben sie 
das meiste Geld für ihr Heim aus,
											und lokaler als Geld in sein Haus zu investieren
											kann eine Investition nicht werden.
											Aber es gibt noch eine andere Seite an Portland,
											die nicht Teil dieser Rechnung ist.
											Junge, gebildete Menschen
											ziehen in Scharen nach Portland,
											sodass sich zwischen den 
letzten zwei Volkszählungen
											junge Menschen mit Uni-Ausbildung
											um 50 Prozent erhöht hatten,
											was der fünffachen Menge 
von allen anderen Orten
											im Lande entsprach, oder 
besser dem Nationaldurchschnitt.
									",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
											Bir yandan şehirler, yürünebilir ve bisiklete dost olarak
											sakinlerinin masraflarını azaltıyor
											ve diğer yandan, son zamanlarda
											insanların yaşamak istedikleri şehirler de oluyorlar.
											Bu yüzden bir şehir için
											en iyi ekonomik strateji,
											eskisi gibi büyük firmaları çekmek,
											ve bir bioteknoloji plaza
											veya medikal park,
											veya bilim-araştırma plazaları oluşturmak değil,
											Aksine insanların yaşamak istedikleri yer olmaktır.
											Ve yeni neslin, yani girişimci nesil,
											%64'u ilk olarak
											nerede yaşayacaklarına karar veriyorlar.
											Ondan sonra oraya taşınıyor ve iş arıyorlar.
											Sizin şehrinize de gelecekler.
									","
											So on the one hand, a city saves money for its residents
											by being more walkable and more bikeable,
											but on the other hand, it also is the cool kind of city
											that people want to be in these days.
											So the best economic strategy
											you can have as a city
											is not the old way of trying to attract corporations
											and trying to have a biotech cluster
											or a medical cluster,
											or an aerospace cluster,
											but to become a place where people want to be.
											And millennials, certainly, these engines of entrepreneurship,
											64 percent of whom decide first
											where they want to live,
											then they move there, then they look for a job,
											they will come to your city.
									","
											Auf der einen Seite also spart 
eine Stadt Geld für ihre Bewohner,
											indem man sie besser zu Fuß 
und per Rad durchqueren kann,
											aber auf der anderen Seite
ist es auch eine coole Art von Stadt,
											in der die Leute heute gern leben möchten.
											Die beste wirtschaftliche Strategie,
											die man als Stadt also haben kann,
											ist nicht die alte Methode, 
Unternehmen herbeizulocken,
											ein Biotech-Knotenpunkt zu sein
											oder ein medizinischer,
											oder einer für die Luftfahrt.
											Stattdessen sollte man ein Ort werden,
wo die Leute gern sein möchten.
											Und die jungen Erwachsenen heute,
diese untermüdlichen Entrepreneure –
											64 % von ihnen entscheiden erst,
											wo sie leben möchten,
											dann ziehen sie dorthin und 
dann suchen sie nach einem Job,
											sie kommen dann in Ihre Stadt.
									",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
											Sağlık konusu ise tedirgin edici,
											ve muhtemelen bu tartışmanın bir kısmını daha önceden duymuşsunuzdur.
											70'li yıllardan bu yana bir çok şey değişti,
											70'li yıllarda, Amerika'lıların 10'da biri obezdi.
											Artık 3'te biri obez,
											ve nüfusun diğer 3'te ikisi de fazla kilolu.
											Genç erkeklerin %25'i
											ve genç kadınların %40'u
											askere alınamayacak kadar fazla kilolu.
											Hastalık Kontrol Merkezi'ne göre
											2000 yılından sonra doğan çocukların
											3'te birinin şeker hastalığı olacak.
											İlk defa Amerika'da doğan yeni nesil
											önceki nesilden daha az yaşayacak.
									","
											The health argument is a scary one,
											and you've probably heard part of this argument before.
											Again, back in the '70s, a lot's changed since then,
											back in the '70s, one in 10 Americans was obese.
											Now one out of three Americans is obese,
											and a second third of the population is overweight.
											Twenty-five percent of young men
											and 40 percent of young women are too heavy
											to enlist in our own military forces.
											According to the Center for Disease Control,
											fully one third of all children born after 2000
											will get diabetes.
											We have the first generation of children in America
											who are predicted to live shorter lives than their parents.
									","
											Das Gesundheitsargument ist etwas gruselig,
											und wahrscheinlich kennen Sie 
einen Teil des Arguments schon.
											Wiederum in den 70ern – 
seitdem hat sich viel verändert –
											damals in den 70ern war einer
von zehn Amerikanern extrem übergewichtig.
											Heute ist es einer von dreien.
											Und ein zweites Drittel 
der Bevölkerung ist übergewichtig.
											25 % der jungen Männer
											und 40 % der jungen Frauen sind zu schwer,
											um vom Militär rekrutiert zu werden.
											Laut der öffentlichen Gesundheitsbehörde
											wird ein volles Drittel aller 
nach 2000 geborenen Kinder
											an Diabetes erkranken.
											Wir haben die erste Generation 
von Kindern in den USA,
											deren Lebensspanne als kürzer 
als die ihrer Eltern vorhergesagt wird.
									",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
											Ve hepimizin duyduğu
											bu sağlık krizi
											aslında bir şehirli krizi
											ve çaresi şehirlerimizin tasarımında bulunuyor
											Çünkü uzun zamandır beslenme hakkında konuşuyoruz
											ve kilo üzerindeki etkilerini,
											ve kilo tabi ki sağlığı etkiliyor.
											Ama hareketsizlik konusuna daha yeni değiniyoruz,
											ve çevremizin yüzünden oluşan hareketsizliğe,
											yürümenin gerekli olmadığı bir ortamda
											yaşadığımız için meydana gelen hareketsizlik
											kilomuzu arttırıyor.
											Ve nihayet bilimsel araştırmalar var,
											mesela İngiltere'de 'Oburluk mu? Üşengeçlik mi?' adında bir araştırma,
											kilo ile beslenme
											ve kilo ile hareketsizliğin ilişkilerini izledi.
											Ve kilo ile hareketsizliğin arasında
											çok daha güçlü bir bağ buldu.
											Mayo Klinik'teki Doktor James Levine ise
											deneklerine elektronik
											iç çamaşırları giydirdi,
											ve beslenmelerini sabit tutarak,
											vücutlarına kalori pompalamaya başladı.
											Bazı insanlar kilo alırken,
											bazıları almadı.
											Kalıtsal veya metabolizmaya bağlı bazı faktörler umarken,
											aradaki farkın sadece
											hareketlilik olduğunu
											görünce şok oldular
											Ve kilo alanlar,
											kilo almayanlardan
											günde ortalama iki saat fazla oturmustu.
									","
											I believe that this American healthcare crisis
											that we've all heard about
											is an urban design crisis,
											and that the design of our cities lies at the cure.
											Because we've talked a long time about diet,
											and we know that diet impacts weight,
											and weight of course impacts health.
											But we've only started talking about inactivity,
											and how inactivity born of our landscape,
											inactivity that comes from the fact that we live
											in a place where there is no longer any such thing
											as a useful walk, is driving our weight up.
											And we finally have the studies,
											one in Britain called ""Gluttony versus sloth""
											that tracked weight against diet
											and tracked weight against inactivity,
											and found a much higher, stronger correlation
											between the latter two.
											Dr. James Levine at, in this case,
											the aptly-named Mayo Clinic
											put his test subjects in electronic underwear,
											held their diet steady,
											and then started pumping the calories in.
											Some people gained weight,
											some people didn't gain weight.
											Expecting some metabolic or DNA factor at work,
											they were shocked to learn that the only difference
											between the subjects that they could figure out
											was the amount they were moving,
											and that in fact those who gained weight
											were sitting, on average, two hours more per day
											than those who didn't.
									","
											Ich halte diese US-amerikanische 
Gesundheitskrise,
											von der wir alle gehört haben,
											für eine stadtplanerische Krise,
											und denke, dass die Gestaltung unserer Städte
auch die Therapie ist.
											Wir haben lange über Ernährung geredet
											und wissen, dass sie sich auf Gewicht auswirkt,
											und dass Gewicht natürlich Gesundheit beeinflusst.
											Aber wir sprechen erst seit Kurzem 
über Inaktivität
											und wie diese durch unsere 
Landschaften begründet ist.
											Inaktivität, die daher stammt, dass wir nicht länger
											an einem Ort leben, wo es nicht länger so etwas wie
											einen sinnvollen Fußweg gibt, 
lässt unser Gewicht emporschießen.
											Und wir haben endlich die Studien,
											eine in Großbritannien namens
""Völlerei gegen Faulheit"",
											die Gewicht und Ernährung verglich
											und Gewicht und Inaktivität verglich.
											Es wurde eine bedeutend stärkere Verbindung
											zwischen dem zweiten Paar festgestellt.
											Dr. James Levine an der in diesem Fall
											sehr passend benannten Mayo-Klinik
											steckte seine Testsubjekte 
in elektronische Unterwäsche,
											sorgte für eine stabile Ernährung
											und pumpte dann Kalorien in sie hinein.
											Einige Leute nahmen zu,
											andere taten es nicht.
											Einen Stoffwechsel- oder 
DNA-Faktor erwartend,
											waren sie überrascht zu erfahren, 
dass der einzige
											feststellbare Unterschied 
zwischen den Testpersonen
											die Menge ihrer Bewegung war
											und dass diejenigen, die zugenommen hatten,
											im Durchschnitt zwei Stunden mehr pro Tag saßen
											als die mit stabilem Gewicht.
									",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
											Şimdi kilo ile hareketsizliği birbirine bağlayan
											bu araştırmalar var, ayrıca artık
											kilo ile yaşadığımız yerleri ilişkilendiren araştırmalar da var.
											Daha yürünebilir bir şehirde mi yaşıyorsun?
											Veya pek yürünemeyen bir şehirde mi yaşıyorsun?
											Veya şehrinin neresinde yaşıyorsun?
											San Diego'da 'Yürüme Skoru' adında bir puan sistemi kullandılar—
											Yürüme Skoru, Amerika'daki
											ve yakında dünyadaki
											her adrese yürünebilirliğine göre puan veriyor.
											Yürüme Skorunu kullanarak daha yürünebilir mahalleleri
											ve az yürünebilir mahalleri tespit ettiler.
											Ve ne çıktı, biliyor musunuz? Daha yürünebilir bir yerde yaşıyorsanız,
											fazla kilolu olma ihtimaliniz %35,
											Daha az yürünebilir bir yerde yaşıyorsanız,
											fazla kilolu olma ihtimaliniz %60.
											Yani şimdi, yaşadığımız yeri, sağlığımıza bağlayan
											birçok araştırma var
											özellikle Amerika'da
											en büyük sağlık krizimiz
											çevreden kaynaklanan hareketsizlik.
											Ve geçen hafta yeni bir kelime öğrendim.
											Böyle mahallelere 'obezyapıcı' diyorlar.
											Belki kelime tam öyle değil, ama siz anlamışsınızdır.
									","
											So we have these studies that tie
											weight to inactivity, but even more,
											we now have studies that tie weight to where you live.
											Do you live in a more walkable city
											or do you live in a less walkable city,
											or where in your city do you live?
											In San Diego, they used Walk Score —
											Walk Score rates every address in America
											and soon the world
											in terms of how walkable it is —
											they used Walk Score to designate more walkable neighborhoods
											and less walkable neighborhoods.
											Well guess what? If you lived in a more walkable neighborhood,
											you were 35 percent likely to be overweight.
											If you lived in a less walkable neighborhood,
											you were 60 percent likely to be overweight.
											So we have study after study now
											that's tying where you live
											to your health, particularly as in America,
											the biggest health crisis we have is this one
											that's stemming from environmental-induced inactivity.
											And I learned a new word last week.
											They call these neighborhoods ""obesageneric.""
											I may have that wrong, but you get the idea.
									","
											Wir haben hier also Studien,
											die Gewicht mit Inaktivität verbinden, 
und mehr noch,
											wir haben Studien, die Gewicht 
mit dem Wohnort korrelieren.
											Leben Sie in einer erlaufbareren Stadt
											oder in einer weniger erlaufbaren Stadt,
											oder wo in Ihrer Stadt leben Sie?
											In San Diego wurde ""Walk Score"" verwendet –
											eine Firma, die jede Adresse in den USA
											und bald weltweit
											auf ihre Erlaufbarkeit prüft –
											dort wurde Walk Score verwendet, 
um erlaufbarere Wohngebiete
											und weniger erlaufbare Wohngebiete zu bestimmen.
											Und raten Sie mal? 
In einer erlaufbareren Gegend
											war man zu 35 % übergewichtig,
											In einer weniger erlaufbaren Gegend
											war man zu 60 % Wahrscheinlichkeit übergewichtig.
											Es gibt nun also Studien um Studien,
											die den Wohnort
											mit der Gesundheit in Verbindung bringen,
											besonders da die größte US-Gesundheitskrise
											von durch die Umgebung 
verursachter Inaktivität stammt.
											Letzte Woche lernte ich, 
dass sie diese Wohngebiete
											""obesogeneric"" (""fett-durchschnittlich"") nennen.
											Oder so ähnlich, aber Sie verstehen.
									",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
"
","
","
",The walkable city,Jeff Speck,16:56,"cities,culture,design,transportation"
