en,pt,tr,es,de,fr,title,speaker,duration,tags
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											Over 80 percent
of our planet's land surface
											is now experiencing
measurable human impact:
											habitat destruction
											and illegal wildlife trade are decimating
global wildlife populations.
											We urgently need to create
safe space for these wild animals.
											So in late 2014,
											we launched an ambitious
project to do just that:
											explore and protect.
											By mid-May 2015,
											we had pioneered access
through active minefields
											to the undocumented source lake
of the Cuito River —
											this otherworldly place;
											an ancient, untouched wilderness.
											By the 21st of May,
											we had launched
the Okavango megatransect ...
											in seven dugout canoes;
											1,500 miles, 121 days later,
											all of the poling, paddling
and intensive research
											got us across the entire river basin
to Lake Xau in the Kalahari Desert,
											480 kilometers past the Okavango Delta.
									","
											Mais de 80% da superfície
terrestre do nosso planeta
											está a sofrer o desmesurado
impacto humano,
											a destruição de ""habitats"".
											O comércio ilegal de animais selvagens
											dizima populações selvagens
em todo o mundo.
											Precisamos urgentemente de criar
um espaço seguro
											para estes animais selvagens.
											Por isso, no final de 2004, lançámos
um projeto ambicioso para isto:
											para explorar e proteger.
											Em meados de maio de 2015,
											fomos os primeiros a chegar,
através de campos minados,
											ao lago inexplorado,
onde nasce o Rio Cuíto
											- um local do outro mundo,
											uma natureza selvagem antiga, intocada.
											Em 21 de maio,
											lançámos o megatransecto
Okavango
											- em sete canoas escavadas.
											Ao fim de 121 dias, 2500 km depois, 

											toda a pesquisa, o remo
e uma investigação intensiva
											levaram-nos pela bacia hidrográfica
ao Lago Xau, no deserto do Calaári,
											a 480 km do Delta de Okavango.
									","
											Toprak örtüsünün yüzde sekseni
											ölçülebilen insan etkisiyle yüzleşiyor:
											yaşam alanlarının yok edilmesi
											ve yasa dışı vahşi doğa ticareti 
global vahşi doğa nüfusunun önünü kesiyor.
											Biz bu vahşi hayvanlar için 
acilen güvenli yerler yaratmalıyız.
											2014 yılında,
											sadece bir şey için büyük
bir proje başlattık:
											keşfet ve koru.
											2015 yılında, Mayıs'ın ortalarında,
											aktif mayın tarlaları üzerinden
											kimsenin farketmediği
Cuito nehrinin kaynak gölüne —
											bu dünya dışı yere geçit sağladık;
											çok eski, el değmemiş vahşi doğaya.
											21 Mayısa kadar,
											yedi kütükten yapılmış kanoyla,
											Okavango projesini başlattık;
											2400 kilometre ve 121 gün boyunca,
											yorucu ve gergin araştırmadan sonra
											Kalahari Çölü'nde tüm Xau Gölü'nün
çay yatakları üzerinden geçit yaptık,
											Okavango Deltası'ndan 
480 kilometre uzakta.
									","
											Más del 80 % de la superficie del planeta
											sufre actualmente el impacto
de la actividad humana:
											la destrucción del hábitat
y el comercio ilegal de animales
											están diezmando las poblaciones
silvestres del mundo.
											Necesitamos urgentemente 
crear espacios seguros
											para estos animales silvestres.
											Para ello, a fines de 2014
											lanzamos un ambicioso proyecto
de exploración y protección.
											Para mediados de mayo de 2015,
habíamos abierto el acceso
											a través de campos de minas activas,
											al lago donde nace el río Cuito,
nunca antes documentado;
											un lugar mágico,
											con su naturaleza intacta y ancestral.
											El 21 de mayo, comenzamos 
el megatransecto del Okavango
											en siete canoas.
											Al cabo de más de 2400 km y 121 días
											de remar y avanzar,
y de muchas investigaciones,
											cruzamos la cuenca completa
del río hasta llegar al lago Xau
											en el desierto del Kalahari,
a 480 km del delta del Okavango.
									","
											durch das Okavangodelta,
um 18 Tage lang zu recherchieren.
											Warum riskiere ich jedes Jahr mein Leben?
											Weil wir diese Information brauchen,
um diese reine Wildnis zu vermessen,
											bevor flussaufwärts gebaut wird.
											Hier sind die Buschmänner
des Flusses Wayeyi,
											die Einwohner des Okavangodeltas.
											Sie brachten mir alles bei,
was ich über die Mutter Okavango weiß —
									","
											Plus de 80 % de la surface
de notre planète
											est, aujourd'hui, victime
d'un impact humain quantifiable :
											la destruction de l'habitat et le
commerce illégal d'espèces sauvages
											déciment la faune sauvage mondialement.
											Il est urgent de créer un endroit
sûr pour ces animaux sauvages.
											Donc, fin 2014,
											pour y parvenir, nous avons
lancé un projet ambitieux :
											explorer et protéger.
											Dès le milieu du mois de mai 2015,
											nous avions ouvert un accès
dans les terrains minés,
											vers le lac d'origine du fleuve Cuito,
											un endroit surnaturel, une nature
sauvage millénaire, inchangée.
											Dès le 21 mai, nous avions lancé
le méga-transect de l'Okavango
											dans sept pirogues creusées dans le bois.
											Après 2 414 km et 121 jours
											passés en coups de rames, de perches,
et en recherche intensive,
											nous avons parcouru tout le bassin fluvial
											jusqu'au lac Xau dans le désert Kalahari,
480 km au-delà du delta de l'Okavango.
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											My entire world became the water:
											every ripple, eddy,
lily pad and current ...
											any sign of danger,
											every sign of life.
											Now imagine millions of sweat bees
choking the air around you,
											flesh-eating bacteria,
											the constant threat
of a landmine going off
											or an unseen hippo capsizing your mokoro.
											These are the scenes
moments after a hippo did just that —
											thrusting its tusks
through the hull of my boat.
											You can see the two holes —
											puncture wounds in the base of the hull —
											absolutely terrifying
											and completely my fault.
									","
											Todo o meu mundo
passou a ser a água:
											cada ondulação, cada remoinho,
cada nenúfar, cada corrente,
											qualquer sinal de perigo,
											todos os sinais de vida.
											Imaginem milhões de abelhas
sufocantes à vossa volta,

											bactérias carnívoras,
											a permanente ameaça
de explosão duma mina
											ou um hipopótamo invisível
a virar a nossa ""mokoro"".
											Estas são as imagens
depois de um hipopótamo ter feito isso,
											enfiando as presas
pelo casco do meu barco.
											Vemos aqui os dois furos
											- feridas perfuradas na base do casco -
											totalmente aterrorizador
											e totalmente por culpa minha.
									","
											Tüm hayatım sudan ibaretti:
											her dalga, anafor, yüzen nilüfer yaprağı
ve akıntı...
											Her bir tehlike işareti,
											her bir hayat simgesi.
											Şimdi etrafınızdaki havayı boğan
milyonlarca arı hayal edin,
											et yiyen bakteriler,
											sürekli bir kara mayınının 
patlaması tehdidi
											veya mokoroyu kaplayan 
görünmeyen su aygırı.
											Bunlar bir su aygırının yaptığı şeyler —
											uzun dişlerini teknemin gövdesine 
sokup durdu.
											İki delik görebilirsiniz —
											gövdenin temelindeki delinme yarası —
											kesinlikle korkutucu
											ve tamamen benim hatam.
									","
											El agua se convirtió en mi mundo:
											cada onda del río, cada remolino,
cada nenúfar, cada corriente,
											cada señal de peligro,
											cada manifestación de vida.
											Imaginen millones de abejas del sudor
revoloteando alrededor,
											bacterias antropófagas,
											el peligro permanente
de que explote una mina
											o un hipopótamo que dé vuelta el mokoro.
											Aquí vemos el momento
posterior a ese ataque:
											un hipopótamo clavó
los colmillos en el bote.
											Allí se ven las dos perforaciones,
en la base del casco.
											Absolutamente aterrador,
											y todo por culpa mía.
									","
											über die Gegenwart in der Wildnis.
											Unsere jährliche gemeinsame Reise 
durch das Okavangodelta
											in unseren Mokoros und Kanus
											erinnert an tausend Jahre in der Wildnis.
											Vor zehntausend Jahren
war unsere ganze Erde Wildnis.
											Heute ist die Wildnis das Einzige,
											was uns aus jener vergangenen Welt bleibt.
											Vor zehntausend Jahren
waren wir wie heute:
											Eine moderne, träumende Intelligenz
											wie man sie noch nie gesehen hatte.
											Das Leben in der Wildnis
lehrte uns das Sprechen,
											das Nutzen von Technologien
wie Feuer und Stein,
											Pfeil und Bogen und Medizin und Gift;
											wie man Pflanzen und Tiere zähmt
											und dass wir uns aufeinander
verlassen müssen.
											Wir sind diese letzte Wildnis —
											jeder von uns.
											Über 80 % der Erdoberfläche
hat der Mensch schon verändert:
									","
											Mon monde tout entier était devenu l'eau,
											chaque ondulation et tourbillon,
chaque feuille de nénuphar, le courant,
											chaque signe de danger,
											chaque signe de vie.
											Imaginez des millions d'abeilles
de sueur obstruant l'air alentour,
											des bactéries carnivores, la menace
constante d'une mine qui explose
											ou d'un hippopotame invisible
qui chavire votre mokoro.
											Là, ce sont des images prises juste
après qu'un hippo ait fait ça,
											en plantant ses défenses
dans la coque.
											Vous pouvez voir les deux 
perforations à la base de la coque.
											Absolument terrifiant !
Et complètement de ma faute...
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											(Laughter)
									","
											(Risos)
									","
											(Kahkaha)
									","
											(Risas)
									","
											Lebensraumzerstörung
und illegaler Wildtierhandel
											dezimieren Wildtierpopulationen.
											Wir müssen dringend sichere Orte 
für diese Tiere schaffen.
											Ende 2014 starteten wir deshalb
ein anspruchsvolles Projekt:
											erkunden und beschützen.
											Mitte Mai 2015 schafften wir es erstmals,
											die unerkundete Quelle des Cuito
durch aktive Minenfelder zu erreichen:
											ein Ort nicht von dieser Welt,
eine uralte, unberührte Wildnis.
											Am 21. Mai begannen wir
das Okavango-Megatransekt,
											eine riesige Felduntersuchung
mit sieben Kanus.
											2400 Kilometer und 121 Tage später
											hatten wir schließlich
das ganze Flussbecken durchpaddelt
											und kamen am See Xau
in der Kalahariwüste an,
											480 Kilometer hinter dem Okavangodelta.
											Das Wasser wurde meine ganze Welt:
											jede Welle, jeder Strudel,
jedes Seerosenblatt und jede Strömung;
											jedes Zeichen der Gefahr und des Lebens.
											Stellen Sie sich Millionen
von Bienen in der Luft vor,
											fleischfressende Bakterien
und die ständige Gefahr von Landminen
									","
											(Rires)
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											Many, many portages,
											tree blockages
and capsizes in rocky rapids.
											You're living on rice and beans,
											bathing in a bucket of cold water
											and paddling a marathon
six to eight hours every single day.
											After 121 days of this,
											I'd forgotten the PIN numbers
to my bank accounts
											and logins for social media —
											a complete systems reboot.
											You ask me now if I miss it,
											and I will tell you I am still there.
									","
											Muitos transportes de cargas,
											três bloqueios e barcos virados
nos rápidos rochosos.
											Vivíamos de arroz e feijão,
											lavávamo-nos num balde
de água fria,
											remávamos numa maratona
de 6 a 8 horas por dia, todos os dias.
											Ao fim de 121 dias nisto,
											eu já esquecera o PIN
da minha conta bancária
											e os ""logins"" das redes sociais,
											um total reinício do sistema.
											Agora perguntem-me
se tenho saudades disso
											e eu digo-vos que ainda lá estou.
									","
											Çok fazla, bir dolu yük,
											ağaçların nehri tıkaması, 
sert ve hızlı akıntılarda alabora olmak.
											Pirinç ve fasulye yiyerek 
hayatta kalıyorsun,
											soğuk suda duş alıyorsun
											ve her gün sekiz saat 
maraton yürüşü yapıyorsun.
											121 gün sonra,
											banka hesaplarımın PIN kodlarını, 
sosyal medya hesaplarımı
											tamamen unutmuştum —
											tüm sistem yeniden başlatılacaktı.
											Eğer özlüyorum diye sorarsanız,
											size hâlâ orada olduğumu söylerim.
									","
											Mucho transporte de carga por tierra,
											árboles que bloquean el camino y botes
que vuelcan en los rápidos rocosos.
											Nos alimentábamos de arroz y frijoles,
											nos bañábamos en un balde de agua fría
											y remábamos una maratón
de seis a ocho horas por día.
											Luego de 121 días,
											había olvidado las claves de acceso
a mis cuentas bancarias y redes sociales;
											un verdadero reseteo del sistema.
											Pregúntenme ahora si extraño aquello,
											les diré que todavía estoy allí.
									","
											oder von einem Nilpferd
unter dem Mokoro.
											In diesem Video hat gerade
ein Nilpferd unser Boot gekentert.
											Man kann die zwei Löcher 
von den Stoßzähnen sehen —
											total furchteinflößend
und ganz meine Schuld.
											(Gelächter)
											Sehr viel Kanutragen,
durch Bäume versperrte Wege
											und ständiges Kentern in Stromschnellen.
											Man isst nur Reis und Bohnen,
									","
											Il y a eu aussi de nombreux
portages, de blocages d'arbres,
											et de chavirages
dans les rapides rocheux.
											Vous vivez de riz et de haricots, et
vous lavez dans un seau d'eau froide,
											et pagayez dans un marathon
de six à huit heures, chaque jour.
											Après 121 jours à ce train,
											j'ai oublié les codes
de mes comptes bancaires
											et les mots de passe aux médias sociaux :
complète réinitialisation du système !
											Si vous me demandiez,
maintenant, si ça me manque,
											je vous dirai que je suis encore là-bas.
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											Now why do we need to save
places we hardly ever go?
											Why do we need to save places
											where you have to risk
your life to be there?
											Now, I'm not a religious
or particularly spiritual person,
											but in the wild,
											I believe I've experienced
the birthplace of religion.
											Standing in front of an elephant
far away from anywhere
											is the closest I will ever get to God.
											Moses, Buddha, Muhammad, Jesus,
											the Hindu teachers, prophets and mystics,
											all went into the wilderness —
											up into the mountains, into the desert,
											to sit quietly and listen
for those secrets
											that were to guide
their societies for millennia.
											I go into the Okavango on my mokoro.
											You must join me one day.
									","
											Porque é preciso salvar
locais onde raras vezes vamos?
											Porque é que precisamos de salvar
locais onde arriscamos a vida?
											Eu não sou uma pessoa religiosa
nem especialmente espiritual
											mas, na natureza selvagem,
											acredito que estive
no local do nascimento da religião.
											Estar em frente de um elefante,
muito longe de tudo o resto,
											é a forma que eu tive
de estar mais próximo de Deus,
											de Moisés, de Buda,
de Maomé, de Jesus,
											dos mestres hindus, 
dos profetas e dos místicos.
											Todos estiveram na natureza
											- no cimo de montanhas, no deserto,
											sentados, calados e escutando
aqueles segredos
											que iriam guiar
as sociedades durante milénios.
											Vou ao Okavango na minha ""mokoro"".
											Têm que vir comigo um dia.
									","
											Peki neden hiç gitmediğimiz
bu yerleri korumalıyız?
											Neden oraya gitmenin bile 

											hayatımızı riske atmak olduğu 
o yerleri korumalıyız?
											Ben dindar veya 
özellikle spiritüel biri değilim,
											ama vahşi doğada,
											dinin doğduğu yeri gördüğüme inanıyorum.
											Her yerden uzakta,
bir filin karşısında ayakta durduğumda,
											Tanrıya hiçbir zaman hissetmediğim kadar
yakın hissetmiştim.
											Musa, Budda, Muhammed, İsa,
											Hindu hocalar, peygamberler ve sufiler;
											onlar vahşi doğaya tutuldular—
											dağlara doğru, çöllere doğru,
											huzur içinde gizemleri dinlemek,
											onları binyıllar boyunca yaşatan buydu.
											Kendi mokoromda Okavango'ya gidiyorum.
											Bir gün bana katılmalısınız.
									","
											Pero ¿por qué salvar lugares
que casi no visitamos?
											¿Por qué salvar lugares
donde uno arriesga su vida?
											No soy particularmente
religioso ni espiritual,
											pero en la naturaleza,
											creo haber encontrado
el lugar de origen de la religión.
											Estar frente a un elefante,
lejos de todo lo demás,
											es lo más cercano a Dios
que encontraré jamás.
											Moisés, Buda, Mahoma, Jesús,
											los maestros, profetas y místicos hindúes
											fueron todos a la naturaleza,
											a las montañas, al desierto,
											para contemplar en silencio 
y escuchar los secretos
											que guiarían sus sociedades
durante miles de años.
											Yo voy al Okavango en mi mokoro.
											Deben venir conmigo algún día.
									","
											badet in eiskaltem Wasser
									","
											Mais, pourquoi sauver des lieux
où nous n'allons presque jamais ?
											Pourquoi sauvegarder des lieux où
l'on doit risquer sa vie pour survivre ?
											Je ne suis pas particulièrement
religieux, ni spirituel,
											mais je pense que dans la Nature sauvage,
j'ai vécu dans le berceau de la religion.
											Là, debout, loin de tout,
devant un éléphant,
											jamais je ne serais aussi près de Dieu.
											Moïse, Bouddha, Mohammed, Jésus,
											les maîtres hindous,
les prophètes, les mystiques,
											tous ont été dans la Nature sauvage,
les montagnes, le désert,
											et se sont assis en silence
pour écouter les secrets
											qui guideront les sociétés
pendant des millénaires.
											Je vais dans l'Okavango 
dans mon mokoro.
											Venez m'y rejoindre, un jour.
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											Over 50 percent of the remaining
wilderness is unprotected.
											A huge opportunity —
											a chance for us all.
											We need to act with great urgency.
											Since the 2015 megatransect,
											we have explored all major rivers
of the Okavango River basin,
											covering a life-changing 4,000 miles
of detailed research transects
											on our dugout canoes
											and our fat-tire mountain bikes.
											We now have 57 top scientists
											rediscovering what we call
the Okavango-Zambezi water tower —
											this vast, post-war wilderness
with undocumented source lakes,
											unnamed waterfalls in what is Africa's
largest remaining Miombo woodland.
											We've now discovered
24 new species to science
											and hundreds of species
not known to be there.
									","
											Mais de 50% da natureza selvagem
restante não está protegida.
											Uma enorme oportunidade
											uma oportunidade para todos nós.
											Temos que agir com grande urgência.
											Desde o megatransecto de 2015,
											explorámos todos os principais rios
da bacia do rio Okavango,
											espraiando-se por 6500 km
de transectos de investigação,
											nas nossas canoas escavadas
											e nas nossas bicicletas de montanha.
											Temos hoje 57 cientistas de topo
											a redescobrir o que chamamos
a torre de água Okavango-Zambeze,
											esta enorme natureza selvagem pós-guerra
com lagos inexplorados,
											bacias hidrográficas sem nome,
na maior floresta restante de África.
											Já descobrimos 24 novas espécies
											e centenas de espécies
que não sabíamos que existiam ali.
									","
											Vahşi doğanın yaklaşık yüzde ellisi 
koruma altında değil.
											Bu büyük bir fırsat —
											hepimiz için bir şans.
											Acele etmeliyiz.
											2015 projesinden beri,
											Okavango Nehir havzasının 
tüm önemli nehirlerini bulduk:
											6,400 kilometre boyunca araştırarak,
											kütükten oyulmuş kanolarda
											ve dayanıklı dağ bisikletlerinde gezerek.
											Şimdi 57 bilim adamımız var,
											Okavango-Zambezi sularını —
											bu muazzam, savaş sonrası vahşi doğayı
kaynak gölleri ile birlikte,
											adsız şelâlelerini, Afrika'nın kalan
en büyük Miombo ormanını araştırıyoruz.
											Bilime 24 yeni tür keşfedip bağışladık
											ve bilinmeyen yüzlerce tür var.
									","
											Más del 50 % de los terrenos vírgenes
que quedan está desprotegidos.
											Una enorme oportunidad,
											para todos nosotros.
											Es necesario actuar de manera urgente.
											Desde el megatransecto en 2015,
hemos explorado todos los ríos principales
											de la cuenca del río Okavango,
											cubriendo 6430 km de transectos
de investigación detallada
											en nuestras canoas
											y nuestras bicicletas de montaña.
											En este momento hay
57 científicos de primera línea
											que están redescubriendo lo que llamamos
la torre de agua del Okavango-Zambezi,
											esta inmensa naturaleza virgen 
de posguerra con lagos no documentados,
											cascadas sin nombre enclavadas 
en el mayor bosque de miombo
											que queda en África.
											Hemos descubierto
24 nuevas especies para la ciencia
											y cientos de especies
que se desconocían en la zona.
									","
											und paddelt täglich
einen Marathon von 6 bis 8 Stunden.
											Nach 121 Tagen vergaß ich
die PIN-Nummern meiner Bankkonten
											und meine Passwörter
zu den sozialen Medien —
											ein kompletter Neustart.
											Fragen Sie mich jetzt, ob ich es vermisse,
											dann sage ich, dass ich 
immer noch dort bin.
											Warum müssen wir Orte retten,
die wir kaum besuchen?
											Warum müssen wir diese Orte retten,
											wenn man sein Leben 
riskieren muss, um dort zu sein?
											Ich bin nicht gerade religiös
oder spirituell,
									","
											Plus de 50 % de la Nature sauvage 
qui reste n'est pas protégée.
											C'est une grande opportunité,
une chance pour nous tous !
											Nous devons agir de toute urgence.
											Depuis le mega-transect de 2015,
											nous avons exploré toutes les rivières 
majeures du bassin de l'Okavango,
											et couvert les formidables 6 437 km 
de transects de recherche,
											dans nos pirogues et sur nos vélos
tous terrains à gros pneus.
											Nous avons maintenant
57 scientifiques reconnus
											qui redécouvrent ce que nous appelons
« le château d'eau de l'Okavango-Zambèze »
											cette vaste étendue
sauvage d'après-guerre,
											avec ses petits lacs sans pareils,
ses cascades sans noms,
											dans la partie restante la plus large
des terres boisées africaines de Miombo.
											Nous avons découvert 
24 espèces inconnues de la science,
											et une centaine d'espèces
jamais constatées à cet endroit.
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											This year, we start the process,
with the Angolan government,
											to establish one of the largest systems
of protected areas in the world
											to preserve the
Okavango-Zambezi water tower
											we have been exploring.
											Downstream, this represents
water security for millions of people
											and more than half of the elephants
remaining on this planet.
											There is no doubt this is the biggest
conservation opportunity in Africa
											in decades.
											Over the next 10 to 15 years,
											we need to make
an unprecedented investment
											in the preservation
of wilderness around the world.
											To me,
											preserving wilderness is far more
than simply protecting ecosystems
											that clean the water we drink
and create the air we breathe.
											Preserving wilderness protects
our basic human right to be wild —
											our basic human rights to explore.
									","
											Este ano, começamos o processo
com o governo angolano
											para instituir um dos maiores sistemas
de áreas protegidas do mundo,
											para preservar a torre de água
Okavango-Zambeze que temos explorado.
											A jusante, isso representa a segurança
de água para milhões de pessoas
											e para mais de metade
dos elefantes que restam no planeta.
											Não há dúvida que esta é a maior
oportunidade de conservação em África
											desde há décadas.
											Durante os próximos 10 a 15 anos,
											precisamos de fazer
um investimento sem precedentes
											na preservação da natureza selvagem
em todo o mundo.
											Para mim, a preservação
da natureza selvagem
											é muito mais do que proteger ecossistemas,
											do que manter potável a água que bebemos
e criar o ar que respiramos.
											Preservar a natureza selvagem é proteger
o direito humano básico de ser selvagem,
											o nosso direito humano básico de explorar.
									","
											Bu yıl, Angola hükûmetiyle birlikte
bir proje başlatıyoruz,
											araştırılmakta olan Okavango-Zambezi
sularını kaybetmemek için
											dünyadaki en büyük 
koruma sistemlerinden biri
											ya da birincisi olacak.
											Akıntı yönünde yaşayan 
milyonlarca insanın
											ve gezegenimizdeki fillerin yarısından 
fazlasının su güvencesini sağlayacağız.
											Şüphe yok ki, bu, on yıllar boyunca 
Afrika'da yapılan
											en büyük muhafaza projesidir.
											Yaklaşık 10 veya 15 yıl sonra
											dünyadaki vahşi doğanın korunmasına
											eşsiz bir yatırım yapmalıyız.
											Düşünüyorum ki,
											vahşi doğayı korumak sadece 
ekosistemi güvenceye almak değil,
											bununla birlikte içtiğimiz suyu
ve aldığımız havayı temizliyoruz.
											Vahşi doğayı korumak 
bizim doğamızdaki vahşiliği —
											temel bir insan hakkı olan
keşfetme hakkını koruyor.
									","
											Este año iniciamos el proceso
con el gobierno de Angola
											para establecer uno de los sistemas
más grandes de áreas protegidas del mundo,
											a fin de preservar la torre
de agua del Okavango-Zambezi
											que venimos explorando.
											Río abajo, esto significa agua
segura para millones de personas
											y para más de la mitad de los elefantes
que quedan en el planeta.
											Sin duda esta es la mayor oportunidad
para impulsar la conservación
											que África haya tenido en décadas.
											En los próximos 10 a 15 años,
											necesitamos una inversión sin precedentes
											para preservar la naturaleza virgen
en todo el mundo.
											Para mí,
											preservar la naturaleza va más allá
de la simple protección de los ecosistemas
											que limpian el agua que bebemos
y crean el aire que respiramos.
											Preservar la naturaleza virgen
											protege nuestro derecho humano
a ser silvestres,
											nuestro derecho humano a explorar.
									","
											aber in der Wildnis erfuhr ich
den Geburtsort der Religion.
											Gegenüber einem Elefanten
und weit weg von allem
											fühlte ich mich Gott am nächsten.
											Moses, Buddha, Mohammed, Jesus,
											die hinduistischen Gurus, 
Propheten und Mystiker
											gingen alle in die Wildnis —
in die Berge und in die Wüste,
											um ruhig zu sitzen
und den Geheimnissen zu lauschen,
											die ihre Gesellschaften
Jahrtausende leiten würden.
											Ich gehe in meinem Mokoro
ins Okavangodelta.
											Eines Tages müssen Sie mir folgen.
											Über 50 % der überlebenden Wildnis
ist nicht geschützt.
											Es ist eine große Gelegenheit —
											eine Chance für uns alle.
											Wir müssen dringend handeln.
											Seit dem Megatransekt von 2015
									","
											Cette année, nous commençons,
avec le gouvernement d'Angola,
											à établir un des plus grands systèmes
de zone protégée du monde
											pour préserver le Château d'Eau
d'Okavango que nous avons exploré.
											En aval, cela représente une source sûre
d'approvisionnement en eau
											pour des millions de gens
											et plus de la moitié des éléphants
restants sur la planète.
											Sans aucun doute, c'est la plus grande
opportunité de conservation
											en Afrique, depuis des décennies.
											Les dix à quinze ans qui viennent, nous
devons faire un investissement inégalé
											pour préserver
la vie sauvage dans le monde.
											Pour moi, préserver la vie sauvage,
											c'est beaucoup plus que
protéger des écosystèmes
											qui purifient l'eau que nous buvons
et crée l'air que nous respirons.
											Préserver la vie sauvage protège notre
droit humain fondamental d'être naturels,
											et notre droit humain
fondamental d'explorer.
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											Thank you.
									","
											Obrigado.
									","
											Teşekkürler.
									","
											Gracias.
									","
											haben wir alle großen Flüsse
des Okavangodeltas erkundet:
											6400 Kilometer detaillierter Forschung
											in unseren Kanus
und auf unseren Mountainbikes.
											57 Forscher entdecken gerade
den Okavango-Sambesi-Wasserturm wieder,
											eine gewaltige Nachkriegswildnis
											mit undokumentierten Quellseen
und namenlosen Wasserfällen
											in Afrikas letzter überlebenden
Miombo-Waldsavanne.
											Bisher entdeckten wir 24 völlig neue Arten
											und Hunderte Arten,
deren Ansiedlung dort unbekannt war.
											Dieses Jahr beginnen wir
mit der Regierung Angolas,
											eines der größten Schutzgebiete
der Welt zu erschaffen,
									","
											Merci.
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											um den Okavango-Sambesi-Wasserturm,
den wir erkundet hatten, zu bewahren.
											Das heißt Wasserversorgungssicherheit
flussabwärts für Millionen von Menschen
											und für über die Hälfte
der Elefanten weltweit.
											Dies ist zweifellos die größte Chance
											für den Artenschutz in Afrika
seit Jahrzehnten.
											Über die nächsten 10 bis 15 Jahre
											müssen wir in weltweit
in den Schutz der Wildnis investieren.
											Für mich ist Naturschutz mehr
als nur der Schutz unserer Ökosysteme,
											die uns Luft liefern
und unser Wasser reinigen.
											Durch den Erhalt der Natur
bewahren wir unser Menschenrecht,
											wild zu sein und auf Erkundung zu gehen.
											Vielen Dank.
											(Applaus)
									","
											(Applaudissements)
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
