en,fr,pt,de,es,title,speaker,duration,tags
"
											So I'm not saying that
agenda art isn't important;
											I'm the chairperson of a charity
											that deals with films and theaters
that write about HIV and radicalization
											and female genital mutilation.
											It's vital and important art,
											but it cannot be the only art
that comes out of the continent.
											We have to tell more stories
											that are vibrant.
											The danger of the single story
is still being realized.
											And maybe it's because of the funding.
											A lot of art is still dependent
on developmental aid.
											So art becomes a tool for agenda.
											Or maybe it's because we've only seen
one image of ourselves for so long
											that that's all we know how to create.
											Whatever the reason, we need a new way,
											and AfroBubbleGum is one approach.
											It's the advocacy of art for art's sake.
											It's the advocacy of art
that is not policy-driven
											or agenda-driven
											or based on education,
											just for the sake of imagination:
											AfroBubbleGum art.
									","
											Je ne dis pas que l'art engagé
n'est pas important ;
											je suis présidente d'une ONG
											distribuant des films et pièces de théâtre
à propos du VIH, de la radicalisation
											et de l'excision.
											C'est un art vital et important,
											mais ce ne peut pas être le seul art
provenant du continent.
											Nous devons raconter plus d'histoires
											qui soient animées.
											Le danger de l'histoire unique
est toujours à l'œuvre.
											Peut-être à cause du financement.
											La majorité de l'art dépend encore
des aides au développement.
											Alors l'art est utilisé
pour certains objectifs.
											Ou peut-être est-ce car si longtemps
nous n'avons vu qu'une image de nous-mêmes
											et c'est notre seule façon de créer.
											Quelle que soit la raison,
il nous faut une nouvelle méthode
											et ChewingGumAfro est une approche.
											C'est la défense de l'art
pour l'art lui-même.
											C'est la défense d'un art
n'étant pas engagé politiquement,
											ne suivant pas un programme,
											n'étant pas basé sur l'éducation
											juste au nom de l'imagination :
											de l'art ChewingGumAfro.
									","
											Não estou a dizer que a arte com objetivos
não é importante;
											sou presidente
de uma associação de caridade
											que lida com filmes e teatros
que escrevem sobre a SIDA, a radicalização
											e a mutilação genital feminina.
											É uma arte importante e vital,
											mas não pode ser a única arte
a vir do continente.
											Temos de contar mais histórias
											que sejam vibrantes.
											O perigo da história única
ainda está a ser compreendido.
											E, se calhar, por causa dos patrocínios,
											muita da arte ainda está dependente
da ajuda para o desenvolvimento.
											Por isso, a arte torna-se uma ferramenta
para cumprir objetivos.
											Ou, se calhar, é por só vermos uma imagem
de nós mesmos há tanto tempo,
											que se torna tudo o que sabemos criar.
											Seja qual for a razão,
precisamos de uma nova via,
											e a AfroBubbleGum é uma abordagem.
											Defende a causa da arte pela arte.
											Defende a causa da arte
sem motivações políticas
											ou outros objetivos
											ou baseada na educação,
											e sim, apenas, pela imaginação:
											arte AfroBubbleGum.
									","
											Ich sage nicht, programmatische
ist Kunst unwichtig;
											ich bin Vorsitzende einer Stiftung,
											die mit Filmen und Theatern arbeitet,
die über HIV und Radikalisierung schreiben
											und über weibliche Genitalverstümmelung.
											Es ist unverzichtbare und wichtige Kunst,
											aber es darf nicht die einzige Kunst
sein, die aus Afrika kommt.
											Wir müssen mehr Geschichten erzählen,
											die lebendig sind.
											Die Gefahr der einseitigen Geschichte 
besteht immer noch. 

											Das liegt vielleicht an der Förderung.
											So viel Kunst hängt immer noch 
von Entwicklungshilfe ab.
											Kunst wird also zum Werkzeug einer Agenda.
											Vielleicht haben wir zu lange
nur ein Bild von uns selbst gesehen,
											sodass wir jetzt nur dieses
eine erschaffen können.
											Wie auch immer,
wir brauchen einen neuen Weg
											und AfroBubbleGum ist ein Ansatz.
											Es ist die Befürwortung
von Kunst um der Kunst willen.
											Es ist die Befürwortung von Kunst
ohne politischen Hintergrund,
											ohne Hintergedanken,
											die nicht auf Bildung basiert,
											es geht nur um Fantasie:
											AfroBubbleGum-Kunst.
									","
											Así que, no digo que
la agenda del arte no sea importante.
											Soy la presidenta
de una organización benéfica
											que se encarga de películas y obras
que tratan sobre VIH y radicalización,
											y mutilación genital femenina.
											Es un arte vital e importante,
											pero no puede ser el único tipo de arte
que sale del continente.
											Tenemos que contar
más historias apasionantes.
											El peligro de contar una única historia
todavía sigue ocurriendo.
											Y, quizás, se deba a la financiación.
											Gran parte del arte todavía depende
de la ayuda para el desarrollo.
											El arte se convierte en
una herramienta para la agenda.
											O quizás se deba a que solo hemos tenido
una única imagen de nosotros mismos
											tanto tiempo que es la única
que sabemos reflejar.
											Sea cual sea el motivo,
necesitamos un nuevo método,
											y AfroBubbleGum es un enfoque.
											Es la defensa del arte por amor al arte.
											Es la defensa del arte que no responde
a ninguna política
											o a ninguna agenda
											y que no se basa en la educación,
											solo es por el bien de la imaginación:
											el arte de AfroBubbleGum.
											Y no todos podemos ser
parte de AfroBubbleGum.
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											And we can't all be AfroBubbleGumists.
											We have to judge our work
for its potential poverty porn pitfalls.
											We have to have tests
that are similar to the Bechdel test,
											and ask questions like:
											Are two or more Africans
in this piece of fiction healthy?
											Are those same Africans financially stable
and not in need of saving?
											Are they having fun and enjoying life?
											And if we can answer yes
to two or more of these questions,
											then surely we're AfroBubbleGumists.
									","
											Tout le monde ne fait pas partie
de ChewingGumAfro.
											Nous devons juger les potentiels écueils
envers la pauvreté de notre œuvre.
											Il nous faut des tests
similaires au test de Bechdel
											et poser des questions comme :
											Y a-t-il au moins deux Africains
en bonne santé dans cette fiction ?
											Ces Africains sont-ils
financièrement stables
											et n'ont-ils pas besoin d'être sauvés ?
											S'amusent-ils et profitent-ils de la vie ?
											Si nous pouvons répondre positivement
à plus de deux questions,
											alors nous faisons du ChewingGumAfro.
									","
											E não podemos ser todos
afrobublegumistas.
											Temos de avaliar o nosso trabalho
pelas suas potenciais armadilhas
											de pobreza pornográfica.
											Nós temos de aplicar testes
semelhantes ao teste Bechdel,
											e fazer perguntas como:
											Há dois ou mais africanos saudáveis,
nesta peça de ficção?
											Esses africanos estão financeiramente
estáveis e sem necessidade de ajuda?
											Eles estão a divertir-se e a gozar a vida?
											E se conseguirmos responder ""sim""
a duas ou mais destas perguntas
											então, somos de certeza,
afrobublegumistas.
									","
											Wir können nicht alle
AfroBubbleGumisten sein.
											Wir müssen unsere Arbeit nach
möglichen Armuts-Porno-Fallen prüfen.
											Wir brauchen einen Test,
der dem Bechdel-Test ähnelt
											und der Fragen stellt wie:
											Sind zwei oder mehr Afrikaner
in diesem Werk gesund?
											Sind diese Afrikaner finanziell stabil
und brauchen nicht gerettet werden?
											Haben sie Spaß und genießen sie ihr Leben?
											Wenn wir zwei oder mehr
dieser Fragen bejahen können,
											sind wir sicher AfroBubbleGumisten.
									","
											Debemos juzgar nuestro trabajo teniendo
en cuenta el peligro de la pornomiseria.
											Debemos tener pruebas
parecidas al test de Bechdel,
											y hacer preguntas como:
											¿Hay dos o más africanos sanos 
en esta obra de ficción?
											¿Están bien económicamente 
y no necesitan que alguien los salve?
											¿Se divierten y disfrutan de la vida?
											Y si podemos contestar con un sí
a dos o más de esas preguntas,
											seguro somos parte de AfroBubbleGum.
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									","
											(Risas)
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Aplausos)
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											And fun is political,
											because imagine if we have
images of Africans who were vibrant
											and loving and thriving
											and living a beautiful, vibrant life.
											What would we think of ourselves then?
											Would we think that maybe
we're worthy of more happiness?
											Would we think of our shared humanity
through our shared joy?
											I think of these things when I create.
											I think of the people and the places
that give me immeasurable joy,
											and I work to represent them.
											And that's why I write stories
											about futuristic girls that risk
everything to save plants
											or to race camels
											or even just to dance,
											to honor fun,
											because my world is mostly happy.
									","
											S'amuser, c'est politique.
											Imaginez si nous avions des images
d'Africains qui soient dynamiques,
											aimants, qui réussissent,
											qui vivent une vie belle et dynamique.
											Que penserions-nous à notre égard ?
											Penserions-nous que nous méritons
plus de bonheur ?
											Penserions-nous à notre humanité partagée
à travers notre joie partagée ?
											Je pense à cela quand je crée.
											Je pense aux gens et aux endroits
m'offrant une joie incommensurable
											et je travaille pour les représenter.
											Alors j'écris des histoires
											sur des filles futuristes
qui risquent tout pour sauver des plantes,
											pour faire la course avec des chameaux
											ou simplement danser,
											pour honorer l'amusement,
											car mon monde est majoritairement heureux.
									","
											E o divertimento é político.
											Imaginem se tivéssemos
imagens de africanos vibrantes
											cheios de amor e prósperos,
											a viver uma vida linda e vibrante.
											O que é que pensaríamos de nós, então?
											Pensaríamos que, se calhar,
somos merecedores de mais felicidade?
											Pensaríamos na nossa humanidade comum
através da nossa alegria comum?
											Penso nestas coisas quando crio.
											Penso nas pessoas e nos lugares
que me dão uma alegria imensurável,
											e trabalho para as representar.
											É por isso que escrevo histórias
											sobre raparigas futurísticas
que arriscam tudo para salvarem plantas,
											ou para corridas de camelos,
											e até apenas para dançarem,
											para honrarem o divertimento,
											porque o meu mundo
é, essencialmente, feliz.
									","
											Und Spaß ist politisch.
											Stellt euch vor, wir haben Bilder
von lebenssprühenden Afrikanern,
											die lieben und aufblühen
											und ein schönes, lebendiges Leben führen.
											Was würden wir dann über uns denken?
											Würden wir denken, dass wir
mehr Freude verdient haben?
											Würden wir durch unsere geteilte Freude
an unser gemeinsames Menschsein denken?
											Daran denke ich, wenn ich arbeite.
											Ich denke an die Leute und Orte,
die mich extrem glücklich machen,
											und versuche, sie darzustellen.
											Deswegen schreibe ich Geschichten
											über futuristische Mädchen, die alles
riskieren, um Pflanzen zu retten,
											oder um mit Kamelen zu rennen,
											oder einfach um zu tanzen,
											um Spaß zu ehren,
											denn meine Welt ist
hauptsächlich glücklich.
									","
											La diversión es algo político,
											porque imaginen si tuviéramos
imágenes de africanos alegres
											y encantadores y triunfadores
											y con una vida hermosa y emocionante.
											Entonces, ¿qué pensaríamos
de nosotros mismos?
											¿Pensaríamos que quizás
nos merecemos más felicidad?
											¿Pensaríamos en la humanidad compartida
a través de la alegría compartida?
											Pienso en esas cosas
cuando estoy creando.
											Pienso en las personas y lugares
que me transmiten mucha alegría
											y trabajo para representarlos.
											Y por eso escribo historias
											sobre chicas del futuro que
lo arriesgan todo por salvar plantas
											o por correr una carreras de camellos
											o solo por bailar,
											en honor a la diversión,
											porque mi mundo es prácticamente feliz.
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											And I know happiness is a privilege
in this current splintered world
											where remaining hopeful
requires diligence.
											But maybe, if you join me
in creating, curating and commissioning
											more AfroBubbleGum art,
											there might be hope
for a different view of the world,
											a happy Africa view
											where children are strangely traumatized
											by their mother's dark sense of humor,
									","
											Je sais que le bonheur est un privilège
dans ce monde actuellement scindé
											où l'espoir qui reste
requiert de la diligence.
											Peut-être que si vous vous joignez à moi
pour créer, développer ou acheter
											plus d'art ChewingGumAfro,
											il y aurait de l'espoir
pour une nouvelle vision du monde,
											celle d'une Afrique joyeuse
											où les enfants sont
étrangement traumatisés
											par le sombre
sens de l'humour de leur mère
									","
											Eu sei que a felicidade é um privilégio
neste mundo atualmente estilhaçado
											em que manter a esperança
requer diligência.
											Mas, se calhar, se vocês se juntarem a mim
para criarmos, curarmos e encomendarmos
											mais arte AfroBubbleGum,
											pode ser que haja esperança
para uma nova visão do mundo,
											a visão de uma África feliz,
											onde as crianças são estranhamente
traumatizadas
											pelo sentido de humor negro das mães...
									","
											Ich weiß, Freude ist ein Privileg
in der heutigen, gespaltenen Welt,
											wo man daran arbeiten muss,
seine Hoffnung zu bewahren.
											Aber vielleicht, wenn wir gemeinsam
mehr AfroBubbleGum-Kunst
											erschaffen, kuratieren und beauftragen,
											gibt es Hoffnung für eine neue Weltsicht,
											ein fröhliches Afrika-Bild,
											wo Kinder zwar von dem dunklen Humor
der Mütter leicht traumatisiert werden,
									","
											Y sé que la felicidad es un privilegio
en este mundo actual tan dividido
											en el que tener esperanza
exige mucho esfuerzo.
											Pero quizás, si se unen a mí
creando, conservando y poniendo en marcha
											más arte AfroBubbleGum,
											habría esperanza de que existiera
otra forma de ver el mundo,
											una visión feliz de África
											donde los niños son traumados
en una forma extraña
											por culpa del humor negro de su madre
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									","
											(Risas)
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											but also they're claiming fun,
fierce and frivolous art
											in the name of all things
unseriously African.
											Because we're AfroBubbleGumists
											and there's so many more of us
than you can imagine.
									","
											mais réclament de l'art
amusant, farouche et frivole
											au nom de toutes les choses
non sérieusement africaines.
											Nous faisons partie de ChewingGumAfro
											et nous sommes plus nombreux
que vous ne pouvez l'imaginer.
									","
											Mas também onde estão a pedir uma arte
divertida, impulsiva e frívola
											em nome de todas as coisas
africanas nada sérias.
											Porque somos afrobublegumistas
											e há muitos mais de nós
do que podem imaginar.
									","
											sie aber auch nach lustiger, wilder
und alberner Kunst schreien —
											im Namen aller Dinge,
die unernst afrikanisch sind.
											Denn wir sind AfroBubbleGumisten
											und es gibt viel mehr
von uns, als ihr denkt.
									","
											Pero que también reclaman un arte
divertido, salvaje y fantástico
											en nombre de todo lo que es africano
y que no tiene nada de serio.
											Porque somos parte
de AfroBubbleGum
											y somos muchos más
de los que creen.
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											Thank you so much.
									","
											Merci beaucoup.
									","
											Muito obrigada.
									","
											Vielen Dank.
									","
											Muchas gracias.
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Aplausos)
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
