en,pt,tr,es,title,speaker,duration,tags
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											The hottest 20 years on record
occurred within the last 22.
											The UN expects that two-thirds
of the global population
											may face water shortages
only six years from now.
											The World Bank predicts that by 2050,
											there's going to be
140 million climate refugees
											in sub-Saharan Africa,
Latin America and South Asia.
											And other estimates put that number
at over one billion.
											Mass migrations and resource scarcity
											increase the risk for violence,
war and political instability.
											The UN just reported that we are pushing
up to a million species to extinction,
											many within decades,
											and our emissions are still increasing,
even after the Paris Agreement.
									","
											Os 20 anos mais quentes registados
ocorreram nos últimos 22 anos.
											A ONU prevê que dois terços
da população global
											podem vir a enfrentar escassez de água
dentro de seis anos.
											O Banco Mundial prevê que, até 2050,
											vai haver 140 milhões
de refugiados do clima
											na África subsaariana,
na América Latina e no sul da Ásia.
											Outras estimativas colocam este número
em mais de mil milhões.
											As migrações em massa
e a escassez de recursos
											aumentam o risco de violência,
de guerra e de instabilidade política.
											A ONU relatou que estamos
a empurrar para a extinção,
											quase um milhão de espécies
											muitas delas dentro de décadas,
											e as nossas emissões continuam a aumentar
mesmo depois do Acordo de Paris.
									","
											Dünya Bankası, 2050'ye kadar
											Sahra Altı Afrika'da, 
Latin Amerika'da ve Güney Asya'da
											140 milyon iklim mültecilerinin 
olacağını tahmin ediyor.
											Diğer tahminler ise bu rakamı
bir milyarı aşkın olarak belirliyor.
											Kitlesel göçler ve kaynak kıtlığı
											şiddet, savaş ve siyasi
istikrarsızlık riskini arttırıyor.
											Birleşmiş Milletler, 1 milyon kadar
türün neslinin tükenmesine
											neden olduğumuzu aktarıyor
											ve Paris İklim Anlaşması'ndan 
sonra bile emisyonlar hala artıyor.
											Son 1 buçuk yıldır
											iklim krizi eğitimi hakkında
yüzlerce insanla birlikte
											seminerler ve röportajlar 
gerçekleştiriyorum
									","
											Los últimos 20 años más calurosos
registrados ocurrieron en los últimos 22.
											La ONU predice que dos tercios
de población mundial
											pueden enfrentarse a la escasez
de agua en tan solo seis años.
											El Banco Mundial predice que hasta 2050
habrá 140 millones refugiados climáticos
											en el África subsahariana,
en Latinoamérica y Asia Meridional.
											Otros estiman que el número
sobrepasará mil millones.
											La inmigración masiva
y la escasez de recursos
											aumentan el riesgo de violencia,
guerra e inestabilidad política.
											La ONU informa que hasta 1 millón
de especies se extinguirán,
											muchas de ellas en décadas,
y las emisiones de gases siguen creciendo,
											aun después del Acuerdo de París.
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											Over the last year and a half,
											I've been conducting
workshops and interviews
											with hundreds of people
											about parenting in the climate crisis.
											And I can tell you
											that people who are worried about
having kids because of climate change
											are not motivated by an ascetic pride.
											They're nerve-racked.
									","
											Durante o último ano e meio,
											tenho vindo a realizar
""workshops"" e entrevistas
											com centenas de pessoas
											sobre os problemas paternais
na crise climática.
											E posso dizer-vos
											que as pessoas preocupadas em ter filhos,
por causa da alteração climática,
											não são motivadas por um orgulho ascético.
											Estão extremamente nervosas.
									","
											ve size şunu söyleyebilirim ki
											iklim değişikliği yüzünden çocuk sahibi 
olmak konusunda endişeli olan insanlar
											sofu gururundan etkilenmiyorlar.
											Sinirleri bozulmuş.
											BirthStrike adında bir hareket bile var,
											üyeleri ekolojik kriz durumundan
											ve devletlerin bu varoluşsal tehdite
karşı eylemsizliklerinden dolayı
									","
											En los últimos 18 meses,
											he realizado seminarios y entrevistas
a cientos de personas
											sobre criar a los hijos
en la crisis climática.
											Y les puedo decir
											que la preocupación por no tener
hijos a causa del cambio climático
											no es por orgullo ascético.
											La gente está angustiada.
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											There's even a movement
called BirthStrike,
											whose members have declared
they're not going to have kids
											because of the state
of the ecological crisis
											and inaction from governments
to address this existential threat.
											And yes, other generations have also
faced their own apocalyptic dangers,
											but that is no reason to disregard
the very real threat to our survival now.
											Some feel that it's better
to adopt children.
											Or that it's unethical
to have more than one,
											especially three, four or more,
											because kids increase
greenhouse gas emissions.
									","
											Até há um movimento chamado BirthStrike,
											cujos membros declararam
que não vão ter filhos
											por causa da crise ecológica
											e da inação dos governos
quanto a resolver esta ameaça existencial.
											Sim, outras gerações também enfrentaram
perigos apocalípticos próprios,
											mas isso não é razão
para ignorar a atual ameaça real
											para a nossa sobrevivência.
											Alguns sentem
que é melhor adotar crianças.
											Ou que não é ético
ter mais do que um filho,
											especialmente três, quatro ou mais,
											porque as crianças aumentam
a emissão de gases com efeito de estufa.
									","
											çocuk sahibi olmayacaklarını söylüyor.
											Tabii ki, diğer nesiller de kendi 
kıyamet tehlikeleriyle yüzleştiler
											ancak şimdi oldukça 
gerçek olan bir tehdidi
											umursamamak için hiçbir sebep yok.
											Bazıları evlat edinmenin 
daha iyi olduğunu
											veya birden fazla çocuk sahibi olmanın
etik dışı olduğunu düşünüyor,
											özellikle de üç, dört 
veya daha fazla çocuksa,
											çünkü çocuklar sera gazını arttırıyor.
											Çocuk sahibi olmak isteyen insanların
bu haklarından ödün vermesi
											gerçekten kötü bir gidişat
											çünkü bir şekilde yaşam tarzı 
tercihlerinin suç olduğu söylenmiş,
									","
											Hay un movimiento llamado
""Huelga de partos"",
											cuyos miembros dicen
que no van a tener hijos
											a causa de la situación
de la crisis ecológica
											y de la inercia de los gobiernos
en aceptar esta amenaza real.
											Otras generaciones se enfrentaron
a sus propios peligros apocalípticos,
											pero no es razón para ignorar la gran
amenaza a nuestra supervivencia ahora.
											A algunos les parece mejor adoptar.
											O piensan que no es ético
tener más que uno,
											sobre todo no es ético tener
tres, cuatro o más,
											porque los niños aumentan la emisión
de gases de efecto invernadero.
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											Now, it is a really unfortunate
state of affairs
											when people who want kids
sacrifice their right to
											because, somehow, they have been told
that their lifestyle choices are to blame
											when the fault is far more systemic,
											but let's just unpack the logic here.
									","
											Na verdade, isto é
um estado de coisas muito infeliz
											quando pessoas que querem ter filhos
renunciam a esse direito
											porque lhes dizem que essas escolhas
são condenáveis
											quando a culpa é sobretudo do sistema.
											Mas analisemos essa lógica.
									","
											hâlbuki hata daha çok sistemik iken,
											ancak şimdilik bu mantığın 
ayrıntılarına inelim.
											Hep alıntılanan bir çalışma gösteriyor ki
											ortalama olarak endüstrileşmiş
bir millette bir çocuk daha az yapmak
											yılda yaklaşık 59 ton 
karbon dioksitten kurtarabilir.
									","
											Es una situación lamentable
											cuando personas que desean
tener hijos se sacrifican,
											porque les han dicho que la culpa
es de su estilo de vida,
											cuando el problema es mucho más
sistémico, pero analicemos la lógica aquí.
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											So an oft-cited study
shows that, on average,
											having one less child
in an industrialized nation
											can save about 59 tons
of carbon dioxide per year.
											While in comparison,
											living car-free saves nearly 2.5 tons,
											avoiding a transatlantic flight —
and this is just one —
											saves about 1.5 tons,
											and eating a plant-based diet
can save almost one ton per year.
											And consider that a Bangladeshi child
											only adds 56 metric tons of carbon
to their parents' carbon legacy
											over their lifetime,
											while an American child, in comparison,
adds 9,441 to theirs.
											So this is why some people argue
											that it's parents from nations
with huge carbon footprints
											who should think the hardest
about how many kids they have.
									","
											Um estudo frequentemente citado
mostra que, em média,
											um filho a menos.
numa nação industrializada
											pode economizar 59 toneladas
de dióxido de carbono por ano.
											Enquanto, em comparação,
											viver sem automóvel
economiza quase 2,5 toneladas;
											abdicar de um voo transatlântico
— apenas um —
											economiza cerca de 1,5 tonelada;
											comer uma dieta baseada em vegetais
pode poupar quase 1 tonelada por ano.
											Considerem que uma criança do Bangladesh
											só adiciona 56 toneladas de carbono
ao legado carbono dos seus pais
											durante toda a vida,
											enquanto uma criança norte-americana,
em comparação, adiciona 9441 toneladas.
											Assim, algumas pessoas argumentam
											que são os pais, nas nações
com pegadas de carbono enormes,
											que deviam pensar mais
em quantos filhos têm.
									","
											Ancak karşılaştırıldığında
											arabasız yaşamak 
neredeyse 2,5 tonu kurtarır,
											transatlantik bir uçuşu önler
											ve sadece bu, yaklaşık 
olarak 1,5 tonu kurtarır
											ve bitki bazlı bir diyet yapmak ise 
yılda neredeyse 1 tonu kurtarabilir.
											Bangladeşli bir çocuğun tüm hayatı boyunca
ebeveynlerinin karbon mirasına 

											sadece 56 ton karbon eklediğini
göz önünde bulundurun.
											Oysa Amerikalı bir çocuk 
9,441 ton ekliyor.
											İşte bu yüzden bazı insanlar
											kaç çocuk sahip olacaklarını
iyice düşünmesi gerekenlerin
											geniş karbon alanlı milletlerden gelen
ebeveynler olması gerektiğini tartışıyor.
											Ancak çocuk sahibi olma kararı
ve birinin gelecekle ilgili duyguları
											oldukça kişisel ve her tür 
kültürel norm, dini inanç,
											sosyoekonomik durum, eğitim seviyesi
ve daha fazla şeyden etkilenmekte.
									","
											Un estudio muy citado
muestra que, de promedio,
											tener menos hijos
en un país industrializado
											puede ahorrar cerca de 59 toneladas
de dióxido de carbono al año.
											Mientras que en contraste,
											no usar autos ahorra casi 2,5 toneladas,
											y evitar tan solo un vuelo transatlántico,

											ahora casi 1,5 toneladas,
											además de una dieta basada en vegetales
que puede ahorrar casi 1 tonelada al año.
											Consideren que un niño de Bangladesh
											solo añade 56 toneladas métricas
de carbono al legado de sus padres
											durante toda su vida,
											mientras un niño norteamericano,
											añade 9441 toneladas al suyo.
											Por ello algunos sostienen que familias
de países con grandes huellas de carbono
											deberían reconsiderar
el número de hijos tienen.
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											But the decision to have a child
and one's feelings about the future
											are deeply personal,
											and wrapped up
in all sorts of cultural norms,
											religious beliefs, socioeconomic status,
education levels and more.
											And so to some, this debate
about kids in the climate crisis
											can seem like it came from another planet.
											Many have more immediate threats
to their survival to think about,
											like, how they're going to put
food on the table,
											when they're a single mom
working three jobs,
											or they're HIV positive
or on the move in a migrant caravan.
											Tragically, though, climate change
is really great at intersectionality.
											It multiplies the stresses
marginalized communities already face.
									","
											Mas a decisão de ter um filho
e os sentimentos sobre o futuro
											são profundamente pessoais,
											e estão envolvidos em todo o tipo
de normas culturais,
											de crenças religiosas,
de estatuto socioeconómico,
											de níveis de educação, etc.
											Para alguns, este debate
sobre filhos, na crise climática,
											pode parecer que veio de outro planeta.
											Muitos enfrentam ameaças
mais imediatas para a sua sobrevivência,
											por exemplo, como pôr comida na mesa,
											se são uma mãe solteira com três empregos,
											se são HIV positivos, ou se fazem parte
de uma caravana de migração.
											Mas, tragicamente, a alteração climática
abrange todo o tipo de pessoas.
											Multiplica as tensões que as comunidades
marginalizadas já enfrentam.
									","
											Ayrıca bazılarına göre iklim krizinde
çocuklar hakkındaki bu tartışma
											başka bir gezegenden gibi görünebilir.
											Birçok kişinin düşünmesi gereken
daha acil tehditler var;
											üç işte çalışan bekar bir annenin,
											HIV pozitif birinin veya 
göçmen konvoyundakilerin
											masaya nasıl yiyecek koyacakları gibi.
											Üzücü bir şekilde, iklim değişikliği
kesişimsellikte gerçekten iyi.
											Dışlanan toplumların zaten karşı 
karşıya kaldığı stresi arttırıyor.
											Bir siyaset bilimci bana bir keresinde
											iklim değişikliğinin psikolojik olarak
etkilemeye başladığının baş göstergesinin
											çocuk sahibi olmamaya karan veren
									","
											Pero la decisión de tener hijos
y el sentimiento sobre el futuro
											son muy personales y envueltos en todos
los tipos de normas culturales,
											creencias religiosas, nivel educativo
y socioeconómico, y otros.
											Y a algunas personas,
											el tema de niños en relación a la crisis 
climática quizá les parezca raro.
											Muchas padecen aún más amenazas
inmediatas a su supervivencia,
											como poner comida en la mesa si se es
madre soltera y tiene tres trabajos;
											si se es seropositivo o es parte de 
una caravana de migrantes.
											Sin embargo, el cambio climático
es óptimo para la interseccionalidad;
											ya que multiplica el estrés que los grupos
marginados ya enfrentan.
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											A political scientist once said to me
that a leading indicator
											that climate change is starting
to hit home, psychologically,
											would be an increase
in the rate of informed women
											deciding to not have children.
											Interesting.
											Is it hitting home with you,
psychologically?
									","
											Um cientista político disse-me
que um indicador importante
											de que a alteração climática
está a entrar em casa, psicologicamente,
											seria o aumento na taxa
de mulheres informadas
											que decidem não ter filhos.
											É interessante.
											Está a entrar em vossa casa,
psicologicamente?
									","
											bilinçli kadın sayısındaki
artış olacağını söylemişti.
											İlginç.
											Sizi de psikolojik olarak etkiliyor mu?
											Belki de siz de iklime bağlı travma 
öncesi stresi olan birisiniz?
											Bir iklim psikiyatristi bu terimi türetti
ve, yeri gelmişken, bu bir meslek.
											İklimden dertli olanlara bakıyor.
									","
											Un científico político me ha dicho
que un indicador principal
											de que el cambio climático empieza
a afectar psicológicamente
											sería el aumento de la tasa
de mujeres informadas
											que deciden no tener hijos.
											Es interesante.
											¿Esto afecta a Uds. psicológicamente?
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
											Are you perhaps someone
with climate-linked pre-traumatic stress?
											A climate psychiatrist coined that term,
											and that's a profession now, by the way,
shrinks for climate woes.
											They're getting work at a time
when some high schoolers
											don't want to apply
to university any longer,
											because they can't foresee
a future for themselves.
											And this brings me back to my main point.
									","
											Vocês já estarão
com ""stress"" pré-traumático
											relacionado com o clima?
											Um psiquiatra do clima
inventou este termo.
											Esta é uma profissão nova:
psiquiatras para problemas climáticos.
											Estão a ter trabalho
quando estudantes do secundário
											já não querem ir para a universidade,
											porque não conseguem prever
um futuro para si mesmos.
											Isso leva-me de novo
ao meu ponto principal.
									","
											Bazı liseliler artık üniversiteye 
başvurmak istemediklerinde çalışıyorlar
											çünkü kendileri için 
bir gelecek göremiyorlar
											ve bu da beni ana fikrime geri getiriyor.
											İklim krizinde çocuk sahibi olma
konusundaki artan endişe
											insanların ne kadar baskı altında
hissettiğinin önemli bir göstergesi.
											Şu anda tüm dünyadaki öğrenciler
									","
											¿Quizás Uds. padezcan estrés
pretraumático vinculado al clima?
											Un psiquiatra climático acuñó el término
											y, a propósito, es una profesión:
psiquiatras para problemas climáticos.
											Son tiempos en los que algunos
alumnos de la secundaria
											ya no quieren ir a la universidad, pues 
no vislumbran un futuro para sí mismos.
											Esto me remite al punto principal:
									",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
"
","
","
","
",How climate change affects your mental health,Britt Wray,7:31,"mental health,climate change,science,social change,psychology,Anthropocene,environment,society"
