en,pt,es,fr,de,title,speaker,duration,tags
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
											And she told me,
											""Because I'm proud to defend my country.""
									","
											E ela disse-me: ""Porque me orgulho 
de defender o meu país.""
									","
											Y ella me dijo:
											""Porque estoy orgullosa 
de defender a mi país"".
									","
											Et elle m'a dit :
											« Car je suis fière
de défendre mon pays. »
									","
											Sie sagte: ""Es macht mich stolz,
mein Land zu schützen.""
											Ich bohrte weiter:
									",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
											But I pressed to know —
											""Really, when you're on base,
											and you hear bombs
exploding in the distance,
											and you see soldiers coming back
who are gravely injured,
											in that moment,
when you know you could be next,
											what does 'my country' mean?""
									","
											Mas eu exigi saber mais:
											""A sério, quando estás na base,
											""e ouves bombas a explodir à distância,
											""e vês soldados a regressar 
gravemente feridos,
											""nesse momento, quando 
sabes que podes ser a próxima,
											"" 'o meu país' significa o quê?""
									","
											Pero presioné para saber más.
											""Realmente, cuando estás en la base,
											y oyes las bombas explotar,
											y ves soldados que vuelven 
gravemente heridos,
											en ese momento sabes 
que podrías ser el siguiente,
											¿Qué significa 'mi país'?""
									","
											Mais j'ai insisté :
											« Quand vous êtes à la base,
											que vous entendez
des bombes exploser au loin
											et voyez des soldats
gravement blessés revenir,
											à ce moment-là, quand vous savez
que vous pourriez être la prochaine,
											que signifie « mon pays » ? »
									","
											""Wenn Sie in Ihrer Basis in der Ferne
Bomben explodieren hören
											und schwer verletzte Soldaten
zurückkommen sehen,
											wenn Sie erkennen,
Sie könnten die Nächste sein —
											was bedeutet in dem Moment
""mein Land"" für Sie?
									",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
											She looked at me.
											""My country is my wife,
											my family,
											my friends, my soldiers.""
											What she was telling me
											is that ""my country"" is a collection
of these strong relationships;
											these social circles.
									","
											Ela olhou para mim.
											""O meu país é a minha esposa,
											""a minha família,
os meus amigos, os meus soldados.""
											O que ela me estava a dizer,
											é que ""o meu país"" é uma coleção de todos
estes relacionamentos fortes;
											estes círculos sociais.
									","
											Ella me miró:
											""Mi país es mi esposa,
											mi familia,
											mis amigos, mis soldados.
											Lo que ella me estaba diciendo
											es que ""mi país"" es una colección 
de estas fuertes relaciones;
											estos círculos sociales.
									","
											Elle m'a regardé :
											« Mon pays, c'est ma femme,
											ma famille,
											mes amis, mes soldats. »
											Ce qu'elle me disait,
											c'était que « mon pays » est
une collection de ces relations fortes ;
											de ces cercles sociaux.
									","
											Sie schaute mich an.
											""Mein Land ist meine Frau,
											meine Familie, meine Freunde,
meine Soldaten.""
											Sie erklärte mir also,
											dass ""mein Land"" aus einer Anzahl
enger Beziehungen besteht,
											aus sozialen Netzwerken.
									",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
											When the social circles are weakened,
											a country itself is weaker.
											We're missing a crucial aspect
in the debate about immigration policy.
											Rather than focusing on individuals,
											we should focus
on the circles around them,
											because these are the people
who are left behind:
											the voters, the taxpayers,
											the ones who are suffering that loss.
											And it's not just the children
of the deported
											who are impacted.
											You have brothers and sisters
who are separated by borders.
											You have classmates, teachers,
law enforcement officers,
											technologists, scientists, doctors,
											who are all scrambling
to make sense of new realities
											when their social circles are broken.
											These are the real lives
behind all these statistics
											that dominate discussions
about immigration policy.
											But we don't often think about them.
											And I'm trying to change that.
									","
											Quando estes círculos sociais enfraquecem,
											o país em si, fica mais fraco.
											Estamos a esquecer-nos de algo crucial 
no debate sobre a imigração.
											Em vez de nos concentrarmos
em indivíduos,
											dever-nos-íamos concentrar 
nos círculos que os rodeiam,
											porque são essas pessoas 
que são deixadas para trás:
											os eleitores, os contribuintes,
											os que estão a sofrer com a sua falta.
											Não são apenas os filhos dos deportados
											que são afetados.
											Há irmãos e irmãs 
separados por fronteiras.
											Há colegas, professores, polícias,
											tecnólogos, cientistas, médicos,
											que tentam lidar com esta nova realidade
											quando os seus círculos sociais 
são quebrados.
											Estas são as vidas reais por detrás 
de todas estas estatísticas
											que dominam as discussões
sobre a política imigratória.
											Não temos o hábito de pensar muito nelas.
											E eu estou a tentar mudar isso.
									","
											Cuando los círculos sociales se debilitan,
											un país es más débil.
											Falta un aspecto crucial en el debate 
sobre la política de inmigración.
											En lugar de centrarse en los individuos,
											debemos centrarnos en 
los círculos que los rodean,
											porque estas son las personas 
que se quedan atrás:
											los votantes, los contribuyentes,
											los que están sufriendo esa pérdida.
											Y no solo los hijos de los deportados
											se ven afectados.
											Uds. tienen hermanos y hermanas 
separados por fronteras.
											Compañeros de clase, maestros, 
oficiales de policía,
											técnicos, científicos, médicos,
											que están luchando para dar sentido 
a las nuevas realidades
											cuando sus círculos sociales están rotos.
											Son las vidas reales que hay 
detrás de todas estas estadísticas
											las que dominan las discusiones 
sobre la política de inmigración.
											Pero a menudo no pensamos en ellos.
											Y estoy tratando de cambiar eso.
									","
											Quand les cercles sociaux sont fragilisés,
											un pays lui-même est plus faible.
											Nous oublions un aspect crucial
dans le débat sur la politique migratoire.
											Au lieu de nous concentrer
sur les individus,
											nous devrions nous concentrer
sur les cercles autour d'eux
											car ce sont les gens qui sont restent :
											les électeurs, les contribuables,
											ceux qui souffrent de cette perte.
											Ce ne sont pas que
les enfants des déportés
											qui sont affectés.
											Il y a des frères et sœurs
séparés par des frontières.
											Il y a des camarades, des professeurs,
des agents de police,
											des technologistes,
des scientifiques, des médecins
											qui luttent pour donner un sens
à de nouvelles réalités
											quand leurs cercles sociaux sont brisés.
											Ce sont les vraies vies
derrière ces statistiques
											qui dominent les discussions
sur la politique migratoire.
											Mais souvent, nous ne pensons pas à eux.
											J'essaye de changer ça.
									","
											Wenn das soziale Umfeld geschwächt wird,
											wird das Land selber schwächer.
											Wir vergessen einen wesentlichen Aspekt
in unserer Einwanderungspolitik.
											Statt uns auf Einzelne zu fokussieren,
											sollten wir uns mit ihrem
sozialen Umfeld beschäftigen,
											denn das sind die Menschen,
die zurückgelassen werden:
											die Wähler, die Steuerzahler,
											die, die diese Verluste erleiden.
											Nicht nur die Kinder
der Abgeschobenen leiden darunter.
											Brüder und Schwestern
werden durch Grenzen geteilt.
											Klassenkameraden, Lehrer, Polizisten,
											Techniker, Wissenschaftler
und Ärzte ringen alle damit,
											die neuen Realitäten zu verstehen,
											wenn ihre sozialen Beziehungen zerbrechen.
											Das sind die wirklichen Leben
hinter all den Statistiken,
											die die Diskussionen über
Migrationspolitik bestimmen.
											Doch wir denken kaum darüber nach.
											Ich versuche das zu ändern.
									",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
											Here's just one of the real-life stories
that I've collected.
											And it still haunts me.
											I met Ramon and his son in 2016,
											the same year both of them
were being ordered out of the country.
											Ramon was being deported to Latin America,
											while his son, who was a sergeant
in the US military,
											was being deployed.
											Deported ...
											deployed.
											If you just look at Ramon's case,
											it wouldn't be clear how deeply
connected to the country he is.
											But consider his son:
											a US citizen defending a country
that's banished his father.
											The social circle is what's key here.
									","
											Aqui está apenas uma 
das histórias que eu recolhi.
											E ainda me atormenta.
											Eu conheci o Ramon e o seu filho em 2016,
											no mesmo ano em que ambos 
foram mandados sair do país.
											Ramon estava a ser deportado 
para a América Latina,
											enquanto o seu filho, que era 
um sargento no exército norte-americano,
											estava a ser mobilizado para combater.
											Deportado...
											mobilizado.
											Se olharmos para o caso do Ramon,
											a profundidade da sua ligação
com o país não é explícita.
											Mas pensem no filho dele:
											um cidadão norte-americano
a defender um país que baniu o seu pai.
											O importante aqui é o círculo social.
									","
											Esta es solo una de las historias 
de la vida real que he recopilado.
											Y todavía me persigue.
											Conocí a Ramón y a su hijo en 2016,
											el mismo año que se ordenó 
a ambos salir del país.
											Ramón fue deportado a Latinoamérica,
											mientras que su hijo, que era sargento 
en el Ejército estadounidense,
											fue destinado.
											Deportado,
											destinado.
											Si observan el caso de Ramón,
											no estaría claro cuán profundamente 
conectado al país está.
											Pero piensen en su hijo:
											un ciudadano estadounidense que defiende 
un país que destierra a su padre.
											El círculo social es la clave aquí.
									","
											Voici l'une des histoires vraies
que j'ai recueillies.
											Elle me hante toujours.
											J'ai rencontré Ramon et son fils en 2016.
											La même année, on leur a ordonné
à tous les deux de sortir du pays.
											Ramon était déporté en Amérique latine
											alors que son fils, qui était sergent
dans l'armée américaine,
											était déployé.
											Déporté...
											déployé.
											Si vous considérez uniquement
la situation de Ramon,
											la profondeur de son lien
avec le pays ne serait pas clair.
											Mais considérez son fils :
											un citoyen américain défendant
un pays qui a banni son père.
											Ici, le cercle social est crucial.
									","
											Hier nur eine der Lebensgeschichten,
die ich gesammelt habe.
											Sie verfolgt mich noch immer.
											Ich traf Ramon und seinen Sohn 2016,
											in dem Jahr, wo beide
das Land verlassen sollten.
											Ramon wurde nach
Lateinamerika ausgewiesen,
											während sein Sohn,
ein Sergeant der US-Armee,
											einen Einsatz hatte.
											Ausgewiesen ...
											Eingesetzt.
											Wenn Sie sich nur Ramons Fall anschauen,
											sehen Sie nicht sogleich,
wie tief er mit dem Land verbunden ist.
											Bedenken Sie aber seinen Sohn:
											ein US-Bürger, der ein Land verteidigt,
das seinen Vater ausweist.

											Das soziale Netz ist hier entscheidend.
									",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
											Here's another example
that illustrates those critical bonds.
											A group of citizens in Philadelphia
were concerned about their jobs,
											because the legal owner
of the restaurant where they worked
											was an undocumented immigrant,
											and immigration officials
had picked him up.
											They rallied behind him.
											An immigration lawyer argued
											he was too important
to the local community
											to be deported.
											At the hearing, they even submitted
restaurant reviews —
											restaurant reviews!
											In the end, a judge exercised
what's called ""judicial discretion""
											and allowed him to stay in the country,
											but only because they considered
the social circle.
									","
											Aqui está outro exemplo 
que ilustra essas ligações cruciais:
											Um grupo de cidadãos em Filadélfia
estava preocupado com os seus empregos,
											porque o proprietário 
do restaurante onde trabalhavam
											era um imigrante sem documentos,
											e os agentes da imigração apanharam-no.
											Eles manifestaram-se em sua defesa.
											Um advogado argumentou 
que ele era demasiado importante
											para a comunidade local
para ser deportado.
											Na audiência, eles até chegaram 
a apresentar avaliações do restaurante,
											avaliações do restaurante!
											No final, o juiz exerceu 
o que é chamado de ""discrição judicial""
											e permitiu que ele permanecesse no país,
											mas só porque levou em conta 
o seu círculo social.
									","
											Aquí hay otro ejemplo que 
ilustra esos vínculos críticos.
											Un grupo de ciudadanos de Filadelfia 
estaban preocupados por sus trabajos,
											porque el propietario legal 
del restaurante donde trabajaban
											era un inmigrante indocumentado,
											y unos funcionarios de inmigración 
lo habían ido a buscar.
											Se organizaron en su apoyo.
											Un abogado de inmigración argumentó
											que era demasiado importante 
para la comunidad local
											como para ser deportado.
											En la audiencia, incluso presentaron
reseñas del restaurante.
											¡Reseñas del restaurante!
											Al final, un juez ejerció lo que 
se llama ""discreción judicial""
											y le permitió permanecer en el país,
											pero solo por haber tenido en cuenta 
el círculo social.
									","
											Voici un autre exemple
qui illustre ces liens cruciaux.
											Un groupe de citoyens de Philadelphie
étaient inquiets pour leur emploi
											car le propriétaire légal
du restaurant où ils travaillaient
											était un immigrant sans papiers
											et les agents de l'immigration
l'avaient arrêté.
											Ils l'ont soutenu.
											Un avocat de l'immigration a avancé
											son importance
pour la communauté locale
											pour qu'il ne soit pas déporté.
											À l'audience, ils ont même soumis
des avis sur le restaurant —
											des avis sur le restaurant !
											À la fin, un juge a fait usage de
ce qu'on appelle « discrétion judiciaire »
											et l'a autorisé à rester dans le pays,
											mais seulement parce qu'ils ont
considéré le cercle social.
									","
											Ich gebe Ihnen noch ein Beispiel
dieser kritischen Bindungen.
											Bürger aus Philadelphia
waren um ihre Jobs besorgt,
											denn der Eigentümer des Restaurants,
in dem sie arbeiteten,
											war ein Migrant ohne Papiere.
											Beamte der Einwanderungsbehörde
hatten ihn gefasst.
											Sie standen hinter ihm.
											Der Anwalt argumentierte,
er sei für seine Gemeinschaft zu wichtig,
											um abgeschoben zu werden.
											Bei der Anhörung wurden sogar
Restaurantkritiken vorgelegt —
											Restaurantkritiken!
											Schlussendlich ging es
nach richterlichem Ermessen
											und er durfte im Land bleiben,
											aber nur, weil das soziale Umfeld
berücksichtigt wurden.
									",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
"
","
","
","
","
",What we're missing in the debate about immigration,Duarte Geraldino,7:56,"immigration,journalism,United States,TED Residency,community,family,society,social change"
