en,fr,pt,de,tr,title,speaker,duration,tags
"
","
","
","
","
",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
											But that’s not all that’s going on.
											The brain still has another 
important task to fulfill:
											identifying where a sound is coming from.
											For that, it compares the sounds 
coming into the two ears
											to locate the source in space.
									","
											Mais ce n'est pas tout.
											Le cerveau doit encore remplir une tâche :
											identifier la source du son.
											Pour cela, il compare les sons
qui arrivent aux deux oreilles
											pour localiser la source dans l'espace.
									","
											Mas não é só isso que acontece.
											O cérebro ainda tem outra
tarefa importante a desempenhar:
											identificar de onde provém um som.
											Para isso, compara os sons
que entram pelos dois ouvidos
											para localizar a origem no espaço.
									","
											Aber das ist nicht alles.
											Das Gehirn hat noch eine andere
wichtige Aufgabe zu erfüllen:
											identifizieren, woher ein Geräusch kommt.
											Dazu vergleicht es die Geräusche,
die durch die Ohren kommen,
											um die Quelle im Raum zu verorten.
									","
											Fakat olan biten sadece bu değildir.
											Beynin gerçekleştirmesi gereken
bir tane daha önemli görevi vardır:
											Sesin nereden geldiğini tanımlamak.
											Bunun için, kaynağı boşlukta bulmak için
											iki kulağa gelen sesleri karşılaştırır.
									",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
","
","
","
","
",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
											A sound from directly in front of you will
reach both your ears at the same time.
											You’ll also hear it at the same intensity 
in each ear.
											However, a low-frequency sound 
coming from one side
											will reach the near ear microseconds 
before the far one.
											And high-frequency sounds will sound
more intense to the near ear
											because they’re blocked 
from the far ear by your head.
									","
											Un son qui vient d'en face va atteindre
les deux oreilles en même temps.
											Et il aura la même intensité
dans chaque oreille.
											Mais un son à basse fréquence
qui arrive d'un côté
											atteindra l'oreille plus proche quelques
microsecondes avant l'autre oreille.
											Et les sons à haute fréquence seront plus
intenses dans l'oreille plus proche
											parce que la tête les bloque.
									","
											Um som com origem mesmo à nossa frente
atingem os dois ouvidos ao mesmo tempo.
											Também o ouvimos com a mesma
intensidade em cada ouvido.
											Mas, um som de baixa frequência
que provém de um dos lados
											atinge o ouvido mais próximo
microssegundos antes do outro.
											Os sons de alta frequência soarão
mais intensos no ouvido mais próximo
											porque estão bloqueados pela cabeça
para o ouvido mais distante.
									","
											Ein Geräusch direkt vor uns erreicht 
beide Ohren zur gleichen Zeit.
											Man hört es auch mit der gleichen 
Intensität in jedem Ohr.
											Ein Geräusch mit niedriger Frequenz, 
das von einer Seite kommt,
											erreicht das nähere Ohr jedoch 
Mikrosekunden vor dem ferneren.
											Und Hochfrequenz-Geräusche klingen
intensiver für das nähere Ohr,
											weil sie für das fernere Ohr
durch den Kopf blockiert werden.
									","
											Doğrudan önünüzden gelen bir ses,
aynı anda iki kulağınıza da ulaşacaktır.
											Ayrıca her kulağınızda aynı
yoğunlukta duyarsınız.
											Bununla birlikte, bir taraftan
gelen düşük frekanslı ses,
											uzak olandan mikrosaniyeler önce 
yakındaki kulağa ulaşacaktır.
											Yüksek frekanslı sesler,
kafanız tarafından uzak kulaktan
											bloke oldukları için yakın
kulağa daha yoğun gelir.
									",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
","
","
","
","
",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
											These strands of information 
reach special parts of the brainstem
											that analyze time and
intensity differences between your ears.
											They send the results of their 
analysis up to the auditory cortex.
											Now, the brain has 
all the information it needs:
											the patterns of activity 
that tell us what the sound is,
											and information about 
where it is in space.
									","
											Ces infos arrivent à des parties
spécifiques du tronc cérébral
											qui analysent les différences de temps
et d'intensité entre les oreilles.
											Elles envoient les résultats de leur
analyse au cortex auditif.
											Maintenant, la cerveau a toutes
les informations dont il a besoin :
											les modèles d'activité
qui nous disent quel est le son
											et les informations pour le localiser.
									","
											Estes pormenores de informação atingem
partes especiais do tronco cerebral
											que analisam as diferenças de tempo 
e de intensidade entre os dois ouvidos.
											Enviam os resultados dessa análise
ao córtex auditivo.
											Agora, o cérebro dispõe de todas
as informações de que precisa:
											os padrões de atividade
que nos dizem que som é aquele
											e informações sobre onde
ele se situa no espaço.
									","
											Diese Informationstränge erreichen
spezielle Teile des Hirnstamms,
											die Zeit- und Intensitätsunterschiede 
zwischen den Ohren analysieren.
											Sie senden die Resultate ihrer Analyse 
hoch zum Hörzentrum.
											Jetzt hat das Gehirn alles, 
was es braucht:
											die Aktivitätsmuster, die uns sagen, 
was das Geräusch ist,
											und die Information, wo es herkommt.
									","
											Bu bilgi dizileri, kulaklarınız arasındaki
zaman ve yoğunluk farklılıklarını
											analiz eden beyin sapının
özel kısımlarına ulaşır.
											Analiz sonuçlarını
işitme korteksine gönderirler.
											Beyin ihtiyacı olan bilgilere sahiptir:
											Aktivitenin düzeni sesin
ne olduğunun söyler
											ve sesin boşlukta nerede
olduğunun bilgisini verir.
									",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
","
","
","
","
",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
											Not everyone has normal hearing.
											Hearing loss is the third most common 
chronic disease in the world.
											Exposure to loud noises 
and some drugs can kill hair cells,
											preventing signals from traveling 
from the ear to the brain.
											Diseases like osteosclerosis freeze 
the tiny bones in the ear
											so they no longer vibrate.
											And with tinnitus,
											the brain does strange things
											to make us think there’s a sound 
when there isn’t one.
									","
											Tout le monde n'a pas
une audition normale.
											La perte auditive est la troisième maladie
chronique la plus commune au monde.
											L'exposition à des bruits intenses
et certaines drogues
											peut tuer les cellules ciliées,
											empêchant aux signaux de voyager
de l'oreille au cerveau.
											Des maladies comme l'ostéosclérose
bloquent les osselets dans l'oreille
											qui ne peuvent plus vibrer.
											Dans le cas de l'acouphène,
											le cerveau fait des choses bizarres
											pour nous faire croire qu'il y a
un son quand il n'y en a pas.
									","
											Nem toda a gente tem uma audição normal.
											A perda de audição é a terceira doença
crónica mais comum a nível mundial.
											A exposição a ruídos fortes
e algumas drogas
											podem matar as células ciliosas,
											impedindo os sinais de viajar
do ouvido até ao cérebro.
											Doenças como a osteosclerose
imobilizam os ossículos do ouvido,
											que deixam de vibrar.
											Em relação aos zumbidos,
											o cérebro faz coisas esquisitas,
											fazendo-nos pensar que há um som
quando não existe nenhum.
									","
											Nicht jeder hat ein normales Gehör.
											Hörverlust ist die dritthäufigste
chronische Krankheit der Welt.
											Laute Geräusche und manche Drogen
können Haarzellen abtöten,
											was Signale davon abhält,
vom Gehör ins Gehirn zu wandern.
											Krankheiten wie Osteosklerose lassen
die kleinen Knochen im Ohr erstarren,
											sodass sie nicht länger vibrieren.
											Auch beim Tinnitus
macht das Gehirn seltsame Dinge,
											sodass wir Geräusche hören, wo keine sind.
									","
											Herkes normal duymaya sahip değildir.
											İşitme kaybı dünyadaki en
yaygın üçüncü kronik hastalıktır.
											Yüksek ses maruz kalmak ve bazı 
ilaçlar işitme kıllarını öldürebilir,
											bu da sinyallerin kulaktan 
beyne gitmesini önler.
											Osteoskleroz gibi hastalıklar,
kulaktaki minik kemikleri dondurur,
											böylece titreşmezler.
											Kulak çınlaması ile
											beyin ses olmadığı zaman
											bir ses olduğunu düşünmemizi
sağlayan garip şeyler yapar.
									",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
","
","
","
","
",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
											But when it does work,
											our hearing is an incredible, 
elegant system.
											Our ears enclose a fine-tuned piece 
of biological machinery
											that converts the cacophony of vibrations 
in the air around us
											into precisely tuned electrical impulses
											that distinguish claps, taps, 
sighs, and flies.
									","
											Mais, quand il fonctionne,
											notre ouïe est un système
incroyable et élégant.
											Nos oreilles englobent une pièce affinée
de machinerie biologique
											qui transforme la cacophonie
des vibrations dans l'air autour de nous
											en impulsions électriques
parfaitement accordées
											qui distinguent applaudissements, coups,
soupirs et mouches.
									","
											Mas quando funciona bem,
											a nossa audição é um sistema
incrível e elegante.
											Os nossos ouvidos são uma peça
bem afinada de um maquinismo biológico
											que transforma a cacofonia das vibrações
no ar que nos rodeia
											em impulsos elétricos
perfeitamente afinados
											que distinguem palmas, pingos,
suspiros e zumbidos.
									","
											Aber wenn es funktioniert,
											ist unser Gehör ein unglaublich
elegantes System.
											Unsere Ohren umfassen ein ausgefeiltes
Stück biologischer Maschinerie,
											das die Kakophonie von Vibrationen
in der Luft um uns herum
											in genau abgestimmte
elektrische Impulse verwandelt,
											die zwischen Klatschen, Wassertropfen,
											Seufzen und Fliegen unterscheiden können.
									","
											Ama işini yaptığı zaman,
											işitmemiz inanılmaz,
çok iyi bir sistemdir.
											Kulaklarımız, etrafımızdaki
havadaki titreşimlerin kakofonisini,
											alkışları, muslukları, iç çekmeleri
ve sinekleri birbirinden ayıran
											hassas şekilde ayarlanmış
elektriksel impulslara dönüştüren
											ince ayarlı bir biyolojik
makine parçasını içine alır.
									",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
","
","
","
","
",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
