en,pt,fr,es,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											I am the author of ""The Dictionary
of Obscure Sorrows,""
											which I've been writing
for the last seven years.
											And the whole mission of the project
											is to find holes
in the language of emotion
											and try to fill them
											so that we have a way of talking
about all those human peccadilloes
											and quirks of the human condition
											that we all feel
but may not think to talk about
											because we don't have the words to do it.
									","
											Eu sou o autor do ""Dicionário 
das Tristezas Obscuras"",
											que tenho escrito ao longo 
dos últimos sete anos.
											E a missão deste projeto
											é encontrar buracos 
na linguagem das emoções
											e tentar preenchê-los
											de modo a termos uma maneira de falar
sobre todos os pecadilhos humanos
											e peculiaridades da condição humana
											que todos sentimos mas 
em que não pensamos falar,
											porque não temos as palavras para o fazer.
									","
											Je suis l'auteur du « Dictionnaire
des Peines Obscures »
											que j'écris depuis 7 ans.
											La mission du projet
											est de trouver des trous
dans le langage des émotions
											et d'essayer de les combler
											afin d'avoir une façon de parler
de toutes ces peccadilles humaines
											et de ces excentricités
de la condition humaine
											que nous ressentons tous
mais dont nous ne pensons pas à parler
											car nous n'avons pas
de mots pour le faire.
									","
											Soy autor del 
""Diccionario de Penas Oscuras"",
											que he estado escribiendo
durante los últimos 7 años.
											Y toda la meta del proyecto
											es encontrar vacíos 
en el lenguaje de las emociones
											y procurar llenarlos
											para tener una forma de hablar
sobre todos los pecadillos humanos
											y extravaganzas 
de la condiciòn humana
											que creemos sentir,
pero no pensamos discutir
											porque no tenemos 
las palabras apropiadas.
									","
											Son 7 senedir üzerinde çalıştığım
											""Meçhul Istıraplar Sözlüğü""nün yazarıyım.
											Projenin tek amacı,

											duyguların dilindeki eksiklikleri bulmak
											ve onları gidermeye çalışmak.
											Böylelikle, tüm bu insan kusurları ve

											insani durumların gariplikleri hakkında
											hepimizin hissettiği ama karşıladığı 
kelime olmadığı için dile getiremediği
											şeyleri konuşma yolumuz oldu.
									","
											Ich bin der Autor von
											""The Dictionary of Obscure Sorrows""
[Wörterbuch der seltsamen Leiden],
											an dem ich in den letzten
sieben Jahren geschrieben habe.
											Das Ziel dieses Projekts ist es,
											Lücken in der Sprache
der Gefühle zu finden
											und sie zu füllen,
											damit wir über all die kleinen Sünden
											und menschlichen Eigenheiten
reden zu können,
											die wir zwar fühlen,
aber nicht ausdrücken können,
											weil uns die Wörter dafür fehlen.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											And about halfway through this project,
											I defined ""sonder,""
											the idea that we all think of ourselves
as the main character
											and everyone else is just extras.
											But in reality,
we're all the main character,
											and you yourself are an extra
in someone else's story.
											And so as soon as I published that,
											I got a lot of response from people
											saying, ""Thank you for giving voice
to something I had felt all my life
											but there was no word for that.""
											So it made them feel less alone.
											That's the power of words,
											to make us feel less alone.
									","
											A meio deste projeto,
											defini ""sonder"",
											a ideia de pensarmos em nós mesmos
como a personagem principal
											e o resto das pessoas como extras.
											Mas, na realidade, todos somos 
a personagem principal,
											e vocês são um extra na história 
de outra pessoa.
											E assim que publiquei isto,
											tive muitas respostas de pessoas
que diziam:
											""Obrigado por dar voz a algo 
que senti toda a minha vida
											""mas que não havia palavra para isso.""
											Isso fê-los sentirem-se menos sozinhos.
											É este o poder das palavras,
											fazer-nos sentir menos sozinhos.
									","
											Au milieu de ce projet,
											j'ai défini le mot « perveille »,
											l'idée que nous nous voyons tous
comme le personnage principal
											et les autres comme
des personnages secondaires.
											En réalité, nous sommes tous
le personnage principal
											et vous êtes secondaire
dans l'histoire de quelqu'un d'autre.
											Dès que j'ai publié cela,
											j'ai reçu beaucoup de réponses
											disant : « Merci d'avoir formulé
une chose que j'ai toujours ressentie
											mais pour laquelle
il n'y avait pas de mot. »
											Je les ai fait se sentir moins seuls.
											C'est le pouvoir des mots,
											nous faire nous sentir moins seuls.
									","
											A la mitad del proyecto,
											definí ""sonder"",
											la idea en la que todos 
nos consideramos protagonistas
											y los demás son extras.
											Pero en realidad,
todos somos los protagonistas
											y tú mismo eres un extra
en la historia de otro.
											Tan pronto lo publiqué,
											tuve muchas respuestas del público
											diciendo ""Gracias por nombrar 
algo que sentí toda mi vida,
											pero no sabìa como llamarlo"".
											Los hizo menos solitarios.
											Es el poder de las palabras
											para sentirnos menos solos.
									","
											Çalışmanın ortalarında
											""sonder""ı tanımladım.
											Herkesin kendisini ana karakter,
											diğer herkesi ise sadece figüranlar 
olarak görmesi düşüncesi.
											Fakat aslında hepimiz ana karakteriz
											ve başka birinin hikâyesinde 
figüranızdır.
											Çalışmayı yayınlar yayınlamaz
											insanlardan şöyle karşılıklar aldım:
											""Hayatım boyunca hissettiğim ama 
karşılığı olmayan bir şeye
											ses verdiğin için teşekkürler.""
											Bu kelimeler, onların daha az yalnız 
hissetmelerini sağladı.
											Kelimelerin gücü budur;
											bizi daha az yalnız hissettirmek.
									","
											Mitten im Projekt
											habe ich ""Sonder"" definiert —
											das Konzept, dass wir uns alle selbst
als Hauptdarsteller sehen
											und alle anderen nur Statisten sind.
											Aber in Wirklichkeit
sind wir alle Hauptdarsteller
											und man selbst ist ein Statist
in der Geschichte eines Anderen.
											Als ich das dann veröffentlichte,
											bekam ich Reaktionen von Menschen,
											die sagten: ""Danke, du hast etwas
benannt, dass ich immer gefühlt habe,
											wofür es jedoch kein Wort gab.""
											Sie fühlten sich jetzt weniger allein.
											Das ist die Macht von Wörtern,
											wodurch wir uns weniger allein fühlen.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											And it was not long after that
											that I started to notice sonder
											being used earnestly
in conversations online,
											and not long after I actually noticed it,
											I caught it next to me
in an actual conversation in person.
											There is no stranger feeling
than making up a word
											and then seeing it
take on a mind of its own.
											I don't have a word
for that yet, but I will.
									","
											Não foi muito depois disso
											que comecei a notar que ""sonder""
											estava a ser utilizado
em conversas online,
											e pouco depois de ter reparado nisso,
											ouvi-a numa conversa,
mesmo a meu lado
											Não há sentimento mais estranho
do que inventar uma palavra
											e depois vê-la assumir 
uma identidade própria.
											Ainda não tenho uma palavra para isto, 
mas hei de arranjar.
									","
											C'était peu de temps après cela
											que j'ai remarqué que « perveille »
											était utilisé sérieusement
dans des conversations en ligne
											et, peu après l'avoir remarqué,
											je l'ai entendu dans une conversation
juste à côté de moi.
											Rien n'est plus étrange
que d'inventer un mot
											puis de le voir prendre vie.
											Je n'ai pas encore de mot
pour cela, mais ça viendra.
									","
											Y al poco tiempo después
empecé a notar que ""sonder""
											se estaba usando en
conversaciones en línea,
											y no mucho después de notarlo,
											lo escuché en una conversación real.
											No hay sentimiento más raro
que inventar una palabra
											y luego verla asumir una mente propia.
											No tengo palabra 
para esto aún, pero la tendré
									","
											Bunun üstünden çok zaman geçmeden
											sonder'ın çevrimiçi konuşmalarda
											ciddi manada kullanıldığını fark ettim.
											Yine çok geçmeden,
											hemen yanımda geçen bir konuşmada
kullanıldığına şahit oldum.
											Bir kelime uydurup daha sonra
kendi benliğini kazanmasını
											izlemekten daha tuhaf bir duygu yok.
											Bunun için henüz bir şey bulmadım
ama bulacağım.
									","
											Etwas später bemerkte ich,
											dass ""Sonder""
											ernsthaft in Online-Gesprächen
benutzt wurde.
											Und nicht lange, nachdem
ich das bemerkt hatte,
											schnappte ich es selbst in einem
richtigen Gespräch neben mir auf.
											Es gibt kein eigenartigeres Gefühl,
als ein Wort zu erfinden
											und dann zu sehen,
wie es ein Eigenleben entwickelt.
											Dafür habe ich noch kein Wort,
aber ich werde eins finden.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Gelächter)
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											I'm working on it.
									","
											Estou a trabalhar nisso.
									","
											J'y travaille.
									","
											Estoy en ello.
									","
											Üzerinde çalışıyorum.
									","
											Ich arbeite daran.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											I started to think
about what makes words real,
											because a lot of people ask me,
											the most common thing
I got from people is,
											""Well, are these words made up?
I don't really understand.""
											And I didn't really know what to tell them
											because once sonder started to take off,
											who am I to say what words
are real and what aren't.
											And so I sort of felt like Steve Jobs,
who described his epiphany
											as when he realized that most of us,
as we go through the day,
											we just try to avoid
bouncing against the walls too much
											and just sort of get on with things.
											But once you realize that people —
											that this world was built
by people no smarter than you,
											then you can reach out
and touch those walls
											and even put your hand through them
											and realize that you have
the power to change it.
									","
											Comecei a pensar
no que torna as palavras reais,
											porque muitas pessoas perguntam-me,
											a pergunta mais comum é,
											""Estas palavras são inventadas?
Eu não percebo.""
											E eu não sabia o que lhes dizer
											porque ""sonder"" começou a ser usada,
											quem sou eu para dizer quais
as palavras reais e quais não o são.
											Eu senti-me quase como o Steve Jobs, 
que descreveu a sua revelação
											quando se apercebeu que muitos 
de nós, durante o dia,
											apenas tentamos evitar
ir demasiado contra as paredes
											e continuar com as coisas.
											Mas quando nos apercebemos 
que as pessoas...
											que este mundo foi construído por 
pessoas não mais inteligentes que nós,
											então podemos tentar 
tocar nessas paredes
											e até atravessá-las com a mão
											e perceber que temos o poder de o mudar.
									","
											J'ai commencé à réfléchir
à ce qui rend les mots réels,
											car nombre de gens me demandent,
											c'est la question la plus fréquente :
											« Ces mots sont-ils inventés ?
Je ne comprends pas. »
											Je ne sais pas quoi leur dire
											car une fois que perveille est parti,
											qui suis-je pour dire
quels mots sont réels ou non ?
											J'avais l'impression d'être Steve Jobs
décrivant son épiphanie
											en réalisant que la plupart d'entre nous,
durant la journée,
											essayons simplement d'éviter
de se prendre trop de murs
											et de faire avancer les choses.
											Quand vous réalisez que les gens —
											que ce monde a été bâti par des gens
pas plus intelligents que vous,
											vous pouvez tendre la main,
toucher ces murs
											même les traverser,
											et réaliser que vous avez
le pouvoir de les changer.
									","
											Empecé a pensar sobre
qué hace real a las palabras
											porque muchos me preguntan,
											lo más comùn que me dicen es:
											""Bueno, ¿estas palabras son inventadas?
De hecho no entiendo"".
											Y no supe qué decirles
porque cuando ""sonder"" despegó
											no podìa decir qué palabras 
son o no reales.
											Así me sentí como Steve Jobs
describiendo su epifanía,
											cuando vio que muchos de 
nosotros en nuestro día a día
											tratamos de evitar golpearnos 
con las paredes a menudo
											y completamos nuestros deberes.
											Pero cuando te das cuenta que la gente,
											que este mundo fue hecho por personas 
no más inteligentes que tú,
											puedes estirar tu mano
y tocar esas paredes
											y aun atraversarlas con tus manos
											y ver que tienes el poder
de lograr cambios.
									","
											Kelimeleri gerçek kılan şeyin
ne olduğunu düşünmeye başladım.
											Çünkü birçok insan bunu soruyordu,
											en çok söyledikleri şey şuydu:
											""Nasıl yani, bu kelimeler uydurma mı?
Gerçekten anlamıyorım.""
											Onlara tam olarak
ne diyeceğimi bilmiyordum.
											Çünkü sonder popülerleşmeye başlamışken
											kim olarak hangi kelimeler gerçek,
hangileri uydurma diyecektim.
											Böylece bir bakıma, Steve Jobs'un
											çoğumuzun gün boyu yaptığı şeyi
duvarlara karşı zıplamaya,
											sadece işleyişe uyum sağlamaya 
çalışmak gibi bir şey olarak tanımladığı
											durumdaymışım gibi hissettim.
											Ama dünyayı şekillendiren insanların
											sizden daha akıllı olmadığını 
fark ederseniz
											artık o duvarlara ulaşabileceğinizi
											hatta onları da aşıp
											değiştirme gücünüzün 
olduğunu fark edersiniz.
									","
											Ich begann zu überlegen, was Wörter
zu richtigen Wörtern macht,
											weil mich viele Leute fragen.
											Am häufigsten höre ich:
											""Sind diese Wörter ausgedacht?
Ich verstehe das nicht.""
											Ich wusste nicht, was ich sagen sollte,
											denn als ""Sonder"" anfing
abzuheben, dachte ich:
											Wer bin ich, um zu bestimmen,
											welche richtige Wörter sind
und welche nicht.
											Ich fühlte mich irgendwie wie Steve Jobs,
der seine Eingebung beschrieb,
											wie er erkannte, dass die meisten
von uns durch den Tag gehen
											und versuchen nicht
gegen die Wände zu laufen,
											um irgendwie voran zu kommen.
											Aber wenn man erstmal erkennt,
											dass diese Welt nicht von klügeren
Leuten als man selbst errichtet wurde,
											kann man rausgehen
und diese Wände berühren,
											sogar seine Hand durchstecken
											und erkennen, dass man
die Kraft hat, sie zu verändern.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											And when people ask me,
""Are these words real?""
											I had a variety of answers
that I tried out.
											Some of them made sense.
Some of them didn't.
											But one of them I tried out was,
											""Well, a word is real
if you want it to be real.""
											The way that this path is real
because people wanted it to be there.
									","
											E quando as pessoas me perguntam,
""Estas palavras são reais?""
											eu tinha uma série
de respostas que tentei dar.
											Algumas faziam sentido,
outras não.
											Mas uma das que tentei foi:
											""Uma palavra é real
se quisermos que ela seja real.""
											Da mesma forma que este caminho 
é real porque as pessoas o quiseram.
									","
											Quand les gens me demandent :
« Ces mots sont-ils réels ? »,
											j'ai essayé un éventail de réponses.
											Certaines sont sensées, d'autres non.
											J'ai essayé :
											« Un mot est réel
si vous voulez qu'il le soit. »
											Tout comme ce chemin est réel
car les gens voulaient qu'il le soit.
									","
											Cuando me preguntan,
""¿Son reales estas palabras?""
											Tenía varias respuestas que ensayé.
											Algunas con sentido. Otras no.
											Pero una que probé fue:
											""Bueno, es real si quieres que lo sea"".
											Como este camino es real porque
la gente desea que esté ahí.
									","
											İnsanlar bana bu kelimeler 
gerçek mi diye sorduğunda
											verdiğim birkaç farklı cevabım vardı.
											Bazıları mantıklı, bazıları değildi. 

											Ama denediklerimden biri şuydu:
											""Bir kelime, eğer gerçek 
olmasını istersen gerçektir.""
											Bu patika gerçek, çünkü 
insanlar orada olmasını istiyor.
									","
											Wenn Leute mich fragten,
ob dies richtige Wörter sind,
											probierte ich mehrere Antworten aus.
											Manche waren sinnvoll, andere nicht.
											Eine Antwort war:
											""Ein Wort gibt es, wenn Sie
wollen, dass es existiert.""
											So wie dies ein Weg ist, weil Menschen
wollten, dass es ihn gibt.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Gelächter)
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											It happens on college
campuses all the time.
											It's called a ""desire path.""
									","
											Há disto em todos
os campus universitários.
											Chama-se um ""caminho desejado"".
									","
											Cela se produit
sur les campus universitaires :
											un « chemin désiré ».
									","
											Sucede en universidades
todo el tiempo.
											Se llama ""camino de deseo"".
									","
											Bu üniversite kampüslerinde
her zaman olan bir şeydir.
											Buna ""istek yolu"" denir.
									","
											Das passiert ständig auf dem Uni Campus.
											Man nennt ihn ""Trampelpfad"".
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Gelächter)
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
