fr,en,es,tr,title,speaker,duration,tags
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											Nous sommes au milieu
d'une épidémie de troubles d'humeurs
											tels que la dépression et le trouble
de stress post-traumatique, ou TSPT.
											Un adulte sur quatre aux États-Unis
											souffre d'une maladie mentale,
											ce qui veut dire que
si vous ne l'avez pas vécu personnellement
											ou bien quelqu'un dans votre famille,
											c'est très probablement le cas
pour quelqu'un que vous connaissez,
											même s'il n'en parle pas.
											La dépression a maintenant dépassé
											le SIDA, le palu, le diabète et la guerre
											comme principale cause
de handicap dans le monde.
											Et de même que la tuberculose
dans les années 50,
											on n'en connaît pas la cause.
											Une fois développée, elle est chronique,
											dure la vie entière
											et il n'existe aucun remède connu.
									","
											We are in the middle
of an epidemic of mood disorders
											like depression and post-traumatic
stress disorder, or PTSD.
											One in four of all adults
in the United States
											suffers from mental illness,
											which means that if you haven't
experienced it personally
											or someone in your family hasn't,
											it's still very likely
that someone you know has,
											though they may not talk about it.
											Depression has actually now surpassed
											HIV/AIDS, malaria, diabetes and war
											as the leading cause
of disability worldwide.
											And also, like tuberculosis in the 1950s,
											we don't know what causes it.
											Once it's developed, it's chronic,
											lasts a lifetime,
											and there are no known cures.
									","
											Lo que se creía a principios del siglo XX
											sobre las enfermedades infecciosas,

											se puede aplicar en la actualidad
a los trastornos psiquiátricos.
											Hoy existe una epidemia 
de trastornos emocionales,
											como la depresión y el trastorno 
de estrés postraumático, TEPT.
											Uno de cada cuatro de todos
los adultos en EE. UU.
											sufre una enfermedad mental,
											lo que significa 
que si no lo has experimentado
											o nadie en tu familia,
											es muy probable que alguien
que conozcas lo sufra,
											aunque no se hable de ello.
											En la actualidad, la depresión superó
											al VIH/SIDA, a la malaria, 
a la diabetes y a la guerra,
											y es la principal causa 
de discapacidad a nivel mundial.
									","
											Depresyon, travma sonrası
stres bozukluğu ya da TSSB gibi
											duygu bozuklarının bir salgına
dönüştüğü zamanın tam ortasındayız.
											Amerika'da her dört yetişkinden birisi
											ruhsal bozukluktan muzdarip,
											yani kişisel olarak tecrübe
etmemiş olsanız bile veya ailenizde
											birisinin başına gelmemiş olsa bile,
											tanıdığınız birisinin başına
gelmiş olma ihtimali oldukça yüksek ve
											size bahsetmemiş olabilirler.
											Depresyon artık dünya çapında
											maluliyetin başlıca nedeni olarak
HIV/AIDS, sıtma, diyabet
											ve savaşı geride bıraktı.
											Ayrıca, tıpkı 1950'lerin tüberkülozu gibi,
											nedenini bilmiyoruz.
											Bir kez gelişince kronik bir hâl alıyor,
											yaşam boyu sürüyor
											ve bilinen bir tedavisi yok.
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											Le second antidépresseur
que l'on a découvert,
											aussi par accident, dans les années 50,
											d'un antihistaminique
qui provoquait des épisodes maniaques,
											est l'imipramine.
											Et dans les deux cas, celui du sanatorium
et de l'antihistaminique,
											quelqu'un devait pouvoir remarquer
											qu'un médicament conçu
pour faire une chose —
											traiter la tuberculose
ou guérir les allergies —
											pouvait être utilisé
pour une chose très différente —
											traiter la dépression.
											Et cette sorte de réutilisation
est en fait plutôt complexe.
											Quand les médecins ont remarqué
l'effet de l'iproniazide sur l'humeur,
											ils n'ont pas reconnu ce qu'ils ont vu.
											Ils étaient si habitués à y penser
											dans le cadre
d'un traitement pour la tuberculose
											qu'ils l'ont même simplement listé
											comme effet secondaire,
un effet secondaire négatif.
									","
											The second antidepressant we discovered,
											also by accident, in the 1950s,
											from an antihistamine
that was making people manic,
											imipramine.
											And in both the case of the tuberculosis
ward and the antihistamine,
											someone had to be able to recognize
											that a drug that was designed
to do one thing —
											treat tuberculosis
or suppress allergies —
											could be used to do
something very different —
											treat depression.
											And this sort of repurposing
is actually quite challenging.
											When doctors first saw
this mood-enhancing effect of iproniazid,
											they didn't really recognize
what they saw.
											They were so used to thinking about it
											from the framework
of being a tuberculosis drug
											that they actually just listed it
											as a side effect, an adverse side effect.
									","
											Como con la tuberculosis en los cincuenta,
											no sabemos cuáles son sus causas.
											Una vez que se desarrolla es crónico,
											dura toda la vida y no hay cura conocida.
											El segundo antidepresivo se descubrió

											también por accidente, en los cincuentas,
											de un antihistamínico que volvía
maníacos a los pacientes,
											fue la imipramina.
											Tanto en los pabellones de tuberculosis 
como con el antihistamínico,
											alguien fue capaz de reconocer
											que una medicina desarrollada para un fin,
											tratar la tuberculosis 
o combatir alergias,
											podría utilizarse para algo
completamente diferente:
											tratar la depresión.
									","
											1950'lerde kazara keşfettiğimiz
											ikinci antidepresan ise,
											bir antihistaminden üretilen ve
insanları manikleştiren
											imipramin idi.
											Hem tüberküloz koğuşu,
hem de antihistamin durumlarında,
											birisinin, bir şey yapmak için
											tasarlanan bu ilacın —
tüberkülozu tedavi etmek
											veya alerjiyi yok etmek —
aynı zamanda çok farklı bir
											şey için kullanılabileceğini
bilmesi gerekiyordu —
											depresyonu tedavi etmek.
											Bu tür bir değişiklik
aslında oldukça zorludur.
											Doktorlar iproniazitin
ruhsal durum geliştirici etkisini
											gördüklerinde,
gördükleri şeyin farkına varmadılar.
											İlacın bir tüberküloz ilacı olduğunu
											düşünmeye alıştıkları için,
											diğer etkiyi
											bir yan etki, ters etki
olarak kaydettiler.
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											Comme on le voit ici,
											beaucoup de ces patients en 1954 ont fait
l'expérience d'une euphorie intense.
											Et ils s’inquiétaient que cela interfère
d'une quelconque manière
											avec leur guérison de la tuberculose.
											Ils ont donc recommandé que l'iproniazide
ne soit utilisé qu'en cas de TB extrême
											et chez des patients
qui étaient très stables émotionnellement,
											ce qui est l'exact opposé de la façon dont
nous l'utilisons comme antidépresseur.
											Ils étaient tellement habitués à le voir
du point de vue de cette maladie,
											qu'ils n'ont pas vu les implications
que cela avait pour une autre maladie.
									","
											As you can see here,
											a lot of these patients in 1954
are experiencing severe euphoria.
											And they were worried
that this might somehow interfere
											with their recovering from tuberculosis.
											So they recommended that iproniazid
only be used in cases of extreme TB
											and in patients that were
highly emotionally stable,
											which is of course the exact opposite
of how we use it as an antidepressant.
											They were so used to looking at it
from the perspective of this one disease,
											they could not see the larger implications
for another disease.
									","
											Este tipo de readaptación
es bastante desafiante.
											Cuando los doctores notaron el efecto de
la iproniazida en el estado de ánimo,
											al principio no lograron reconocerlo.
											Pensaban que ese medicamento
											solo servía para tratar la tuberculosis,
											y solo lo catalogaron 
como un efecto secundario adverso.
											Como pueden ver aquí,
											muchos de estos pacientes en 1954
experimentaban una euforia severa
									","
											Gördüğünüz gibi,
											1954'te bu hastaların çoğu
şiddetli mutluluk yaşıyorlardı.
											Bunun bir şekilde
tüberküloz tedavisine engel olacağı
											endişesi duyuyorlardı.
											Dolayısıyla iproniazitin
yalnızca aşırı tüberküloz durumlarında
											ve antidepresan kullanımının
tam tersi olarak, duygusal açıdan
											oldukça durağan hastalarda
kullanılabileceğini öne sürdüler.
											İlaca tek bir hastalık
açısından bakmaya öyle alışkınlardı ki,
											başka bir hastalık için
var olan içeriğini göremediler.
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											Et pour être honnête,
ce n'est pas entièrement leur faute.
											La fixité fonctionnelle
nous influence tous.
											Il s'agit de la tendance
à ne penser à un objet
											que par rapport
à son utilisation traditionnelle.
											Et il y a aussi la prédisposition mentale.
											C'est avec cette sorte de cadre préconçu
											que nous abordons les problèmes.
											Et cela rend l'idée de la réutilisation
plutôt complexe pour nous,
											ce qui est sûrement la raison pour
laquelle une série TV présente un type
											vraiment doué en réutilisation.
									","
											And to be fair,
it's not entirely their fault.
											Functional fixedness
is a bias that affects all of us.
											It's a tendency to only
be able to think of an object
											in terms of its traditional
use or function.
											And mental set is another thing. Right?
											That's sort of this preconceived framework
											with which we approach problems.
											And that actually makes repurposing
pretty hard for all of us,
											which is, I guess, why they gave
a TV show to the guy who was,
											like, really great at repurposing.
									","
											y les preocupaba que eso pudiera 
interferir de algún modo
											con su recuperación de la tuberculosis.
											Solo recomendaban el uso de la iproniazida
en casos extremos de TB,
											y en pacientes que fueran 
muy estables emocionalmente,
											lo cual es exactamente lo contrario
de su uso como antidepresivo
											Veían al medicamento desde 
la perspectiva de esta enfermedad,
											que no pudieron ver su relación 
con la otra enfermedad.
									","
											Adil olmak gerekirse,
bu tamamen onların hatası değildi.
											İşlevsel sabitlik,
hepimizi etkileyen bir eğilimdir.
											Yani bir objeyi,
geleneksel kullanımı veya işlevi
											bağlamında düşünme eğilimidir.
											Zihinsel set de başka bir şey.
											Bu, sorunlara yaklaşımımıza dair önceden
											edinilmiş bir çerçeve biçimidir.
											Bu da değişimi bizler için
oldukça zorlaştırır ve sanırım
											değişim konusunda oldukça iyi
olan adama dair bir dizi çekmelerinin
											nedeni de bu.
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											(Rires)
									","
											(Laughter)
									","
											Siendo justos, no fue del todo culpa suya.
									","
											(Gülüşmeler)
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											Les effets de l'iproniazide
et l'imipramine, dans les deux cas,
											étaient si puissants —
											des phases de frénésie
ou des gens qui dansent.
											Ce n'est pas surprenant
que l'on s'en soit aperçu.
											Mais on se demande ensuite
ce qu'ils ont pu aussi manquer.
											L'iproniazide et l'imipramine
											sont plus qu'une étude de cas
pour la réutilisation.
											Ils avaient deux autres choses
très importantes en commun.
											D'abord, ils avaient
de terribles effets secondaires.
											Dont la toxicité hépatique,
											des prises de poids de plus de 25 kilos
											et des tendances suicidaires.
											Ensuite, ils augmentent tous les deux
le taux de sérotonine,
											qui est un signal chimique
dans le cerveau,
											appelé neurotransmetteur.
											Et prendre ces médicaments séparément
											aurait pu ne pas être si important.
											Mais les deux ensemble obligeaient
à développer des médicaments plus sûrs
											et la sérotonine semblait être
un bon point de départ.
									","
											So the effects in both the case
of iproniazid and imipramine,
											they were so strong —
											there was mania,
or people dancing in the halls.
											It's actually not that surprising
they were caught.
											But it does make you wonder
what else we've missed.
											So iproniazid and imipramine,
											they're more than just
a case study in repurposing.
											They have two other things in common
that are really important.
											One, they have terrible side effects.
											That includes liver toxicity,
											weight gain of over 50 pounds,
											suicidality.
											And two, they both
increase levels of serotonin,
											which is a chemical signal in the brain,
											or a neurotransmitter.
											And those two things together,
right, one or the two,
											may not have been that important,
											but the two together meant
that we had to develop safer drugs,
											and that serotonin seemed
like a pretty good place to start.
									","
											La inflexibilidad funcional 
nos afecta a todos.
											Es la tendencia a pensar en un objeto
											solo en términos de su uso 
o función tradicional.
											Los patrones mentales son distintos,
											son una estructura preconcebida
											para enfrentar los problemas.
											Y eso hace que readaptar
sea bastante difícil
											por eso le dieron un programa de TV
											al tipo que era muy bueno
para la readaptación.
											(Risas)
											Los efectos en los dos casos:
en la iproniazida como el la imipramina,
											eran muy fuertes,
											había manía o gente
bailando en los pasillos.
											No es de sorprenderse 
que se les descubriera.
											Pero lo hace pensar a uno en 
qué más hemos pasado por alto.
									","
											Yani hem iproniazit,
hem de imipramin durumunda
											etkiler çok güçlü —
											maniklik ya da
koridorlarda dans eden insanlar.
											Yakalandıkları şey
aslında çok da şaşırtıcı değil.
											Başka neyi kaçırdığınızı
merak etmenizi sağlıyor bu durum.
											Yani iproniazit ve imipramin,
											değişime dair çalışma
alanı olmaktan daha fazlası.
											İkisinin de çok
önemli iki ortak özelliği var.
											Birincisi, korkunç yan etkileri var.
											Karaciğer zehirlenmesi,
											20 kilo üzerinde kilo alımı
ve intihar eğilimi
											bunlardan birkaçı.
											İkincisi, ikisi de serotonin
düzeyini yükseltiyor, serotonin de
											beyindeki kimyasal bir sinyal veya
											sinir ileticidir.
											Bu ikisi, evet, birincisi veya ikincisi,
											o kadar da önemli olmayabilir,
											ama ikisi birden, daha güvenli
ilaçlar üretmemiz gerektiğini ifade eder
											ve serotonin güzel
bir başlangıç noktası olabilir.
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											On a développé des médicaments
											qui se concentraient
surtout sur la sérotonine,
											comme les inhibiteurs sélectifs
de la recapture de la sérotonine, ISRS,
											dont le plus connu est le Prozac.
											C'était il y a trente ans,
											et depuis, on a surtout travaillé
à optimiser ces médicaments.
											Et les ISRS sont meilleurs
que les médicaments d'avant,
											mais ont encore
un tas d'effets secondaires,
											comme la prise de poids, l'insomnie,
											les tendances suicidaires —
											et ils ont besoin de beaucoup
de temps pour agir,
											environ 4 à 6 semaines
chez la plupart des patients.
											Quand ils fonctionnent
chez les patients.
											Beaucoup de patients
ne réagissent pas à ces médicaments.
									","
											So we developed drugs
to more specifically focus on serotonin,
											the selective serotonin
reuptake inhibitors, so the SSRIs,
											the most famous of which is Prozac.
											And that was 30 years ago,
											and since then we have mostly
just worked on optimizing those drugs.
											And the SSRIs, they are better
than the drugs that came before them,
											but they still have a lot of side effects,
											including weight gain, insomnia,
											suicidality —
											and they take a really long time to work,
											something like four to six weeks
in a lot of patients.
											And that's in the patients
where they do work.
											There are a lot of patients
where these drugs don't work.
									","
											Entonces, la iproniazida y la imipramina,
											son más que un caso práctico
de readaptación.
											Tienen dos cosas más en común
que son muy importantes.
											Una, tienen efectos secundarios terribles.
											Estos incluyen toxicidad hepática,
											aumento de peso de más de 20 kg,
											tendencias suicidas.
											Y dos, ambos aumentan 
los niveles de serotonina,
											que es una señal química en el cerebro,
											o un neurotransmisor.
											Y esas dos cosas juntas,

											la primera o la segunda pueden 
no ser tan importantes,
									","
											Böylece spesifik olarak
serotonine, selektif seretonin geri alım
											engelleyiciye, yani SSRI'ye
odaklanan ilaçlar ürettik,
											bunlardan en bilineni ise Prozac.
											Bu 30 yıl önceydi ve o zamandan beri
											en çok, bu ilaçları en
iyi hâle getirme üzerine çalıştık.
											Ve SSRI'ler, kendisinden
önceki ilaçlardan daha iyiler, fakat
											yine de çok fazla yan etkileri var;
											kilo alımı, uykusuzluk,
											intihar eğilimi —
											ve işe yaraması uzun zaman alıyor,
											çoğu hastada dört ila
altı hafta arası gibi bir süre.
											İşlev gösterdikleri yer, bu hastalar.
											Bu ilaçların işe
yaramadığı birçok hasta var.
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
