en,tr,es,pt,fr,title,speaker,duration,tags
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											(Video) Zero (sings
to the tune of ""Day-O""): Zero!
											Zero!
											Zero is the number
that's different from the others.
											Seagulls: Zero is a big, round ""O.""
											Zero: It's not like one,
I'm sure you'll discover.
											Seagulls: Zero is a big, round ""O.""
									","
											""Sıfır!""
											""Sıfır!""
											""Sıfır diğerlerinden farklı bir sayı.""
											""Sıfır büyük, yuvarlak bir O.""
											""Bir gibi değil, eminim ki
fark edeceksiniz.""
											""Sıfır büyük, yuvarlak bir O.""
									","
											(Video) (Cantan una melodía)
♪ Cero ♪
											♪ Cero ♪
											♪ Cero es un número
diferente a los demás ♪
											♪ El cero es una ""O"" grande y redonda ♪
											♪ No se parece al uno, seguro lo notarás ♪
											♪ El cero es una ""O"" grande y redonda ♪
									","
											Este é um exemplo.
											(Vídeo)
♪ Zero.
											♪ Zero!
											♪ Zero é o número
que é diferente dos outros.
											♪ Zero é um grande ""O"", redondo.
											♪ Zero: Não é como 1,
certamente já descobriram.
									","
											(Vidéo) Zéro (chante) : Zéro !
											Zéro !
											Zéro est le nombre
qui est différent des autres.
											Mouettes : Zéro, c'est un grand « O ».
											Zéro : Ce n'est pas comme un,
tu le découvriras certainement.
											Mouettes : Zéro, c'est un grand « O ».
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											♪ Zero é um grande ""O"", redondo.
									","
											(Rires)
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											Claudia Miner: That is ""The Zero Song.""
									","
											Bu, Sıfır Şarkısı.
									","
											Esa es la canción del cero.
									","
											(Risos)
									","
											Claudia Miner : C'est
« La chanson du zéro ».
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											Claudia Miner: É ""A Canção do Zero""
									","
											(Rires)
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											And here are Odd Todd and Even Steven
to teach you some things about numbers.
											And here are the Word Birds,
											and they're going to show you
when you blend letter sounds together,
											you can form words.
											You can see that instruction
is short, colorful and catchy,
											designed to capture a child's attention.
											But there's another piece to UPSTART
											that makes it different
and more effective.
											UPSTART puts parents in charge
of their children's education.
											We believe, with the right support,
											all parents can get their children
ready for school.
									","
											Ve burada, size sayılarla ilgili bilgi
vermek için Odd Todd ve Even Steven.
											Ve burada Kelime Kuşları,
											size, harflerin seslerini birleştirerek
kelime oluşturabileceğinizi gösterecekler.
											Bu yönergenin kısa, renkli
ve akılda kalıcı olduğunu,
											çocukların dikkatini çekmek
için tasarlandığını görebilirsiniz.
											Ama UPSTART'ın onu farklı ve daha etkili
yapan başka bir yönü daha var.
											UPSTART, ebeveynlerin kendi çocuklarının
eğitiminden sorumlu olmalarını sağlıyor.
											İnanıyoruz ki doğru bir destekle her
ebeveyn çocuklarını okula hazırlayabilir.
									","
											Y aquí tenemos a los chicos Par e Impar
para enseñarnos los números.
											Y ""Las aves de las letras""
											nos mostrarán que
al mezclar el sonido de las letras
											formamos palabras.
											Como pueden ver, la lección
es corta, colorida, pegadiza
											y diseñada para llamar 
la atención de un niño.
											Pero UPSTART tiene algo más
											que lo diferencia y lo hace más efectivo.
											UPSTART pone a los padres
a cargo de la educación de sus hijos.
											Creemos que, con el apoyo adecuado,
											todos los padres pueden
preparar a sus hijos para la escuela.
									","
											(Risos)
											Estes são o Todd Par e o Steven Ímpar
que ensinam coisas sobre os números.
											E estes são os Pássaros Palavras.
											Vão mostrar que,
quando misturamos sons de letras
											podemos formar palavras.
											Vemos que as instruções
são curtas, coloridas e atraentes,
											destinadas a atrair a atenção da criança.
											Mas há outra parte do UPSTART
											que o torna diferente e mais eficaz.
											O UPSTART encarrega os pais
do ensino dos filhos.
											Achamos que, com o devido apoio,
									","
											Voici Pierre l'impair et Hubert le pair
											pour vous enseigner quelques trucs
au sujet des nombres.
											Voici les oiseaux des mots
											et ils vont vous montrer comment,
quand vous mêlez des sons de lettres,
											vous pouvez former des mots.
											Vous pouvez voir que l'instruction
est courte, colorée et entraînante,
											conçue pour capter
l'attention d'un enfant.
											Mais il y a un autre élément d'UPSTART
											qui le rend différent et plus efficace.
											UPSTART met les parents aux commandes
de l'éducation de leurs enfants.
											Nous croyons qu'avec le soutien adéquat,
											tous les parents peuvent
préparer leurs enfants à l'école.
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											Here's how it works.
											This is the kindergarten readiness
checklist from a state.
											And almost every state has one.
											We go to parents wherever they are,
											and we conduct a key
in-person group training.
											And we tell them the software can check
every reading, math and science box,
											but they're going to be responsible
for motor skills and self-help skills,
											and together, we're going to work
on social emotional learning.
									","
											Bu şöyle çalışıyor.
											Bu bir eyaletin anaokuluna
hazırlık listesi.
											Neredeyse her eyalette
böyle bir liste var.
											Ebeveynler neredeyse oraya gidiyoruz
											ve yüz yüze grup çalışması yapıyoruz.
											Onlara, yazılımın okuma, matematik
ve fen alanlarını yapacağını,
											ama çocuğun motor ve kendine bakma
becerilerinden sorumlu olduklarını
											ve birlikte sosyal duygusal beceriler
üzerinde çalışacağımızı söylüyoruz.
									","
											Les diré cómo funciona.
											Esta es la lista de requisitos 
de ingreso de uno de los estados.
											Casi todos los estados tienen una.
											Contactamos a los padres,
donde sea que estén,
											y les damos una capacitación
básica y presencial en grupo.
											Les contamos que el software evalúa
lectura, matemáticas y ciencia,
											pero que ellos serán responsables
de la motricidad y el desarrollo personal,
											y que trabajaremos en conjunto
con el aprendizaje social y emocional.
									","
											todos os pais podem preparar
os filhos para a escola.
											Funciona deste modo.
											Esta é a lista da preparação
do pré-escolar de um estado.
											Quase todos os estados têm uma.
											Vamos ter com os pais,
onde quer que eles estejam
											e fazemos uma sessão de formação em grupo
											Dizemos-lhes que o ""software""
											pode verificar toda a leitura.
a matemática e as ciências,
											mas eles vão ser os responsáveis
pelas competências motoras e de autoajuda
									","
											Voici comment cela fonctionne.
											Voici la liste d'un État
de préparation à la grande section.
											Presque tous les États en ont une.
											Nous allons voir les parents
											et nous conduisons une formation clé
en groupe et en présentiel.
											Nous leur disons que le logiciel
peut cocher toutes les cases
											pour la lecture, les maths
et les sciences,
											mais ils vont être responsables
des capacités motrices et d'autonomie
											et ensemble, nous allons travailler
sur l'apprentissage social et émotionnel.
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											Now, we know this is working
											because we have a 90-percent
completion rate for the program.
											Last year, that translated
into 13,500 children
											""graduating,"" with diplomas, from UPSTART.
											And the results have been amazing.
											We have an external evaluation
											that shows our children
have two to three times the learning gains
											as children who don't
participate in the program.
											We have a random control trial that shows
strong evidence of effectiveness,
											and we even have a longitudinal study
											that shows our children's gains
last into third and fourth grade,
											the highest grades the children
had achieved at the time.
											Those are academic gains.
											But another study has shown
that our children's social emotional gains
											are equal to those of children
attending public and private preschool.
									","
											Bunun çalıştığını biliyoruz çünkü
programın tamamlanma yüzdesi %90.
											Bu sayı, geçen yıl 13,500 çocuğun
											UPSTART'dan diplomayla mezun olması demek.
											Ve sonuçlar harika.
											Dış değerlendirmeler, öğrencilerimizin,
programa katılmayanlardan
											2-3 kat daha çok öğrenme
kazancının olduğunu gösteriyor.
											Rastgele kontrollü bir çalışma, etkili
olduğumuzu güçlü kanıtlarla gösteriyor.
											Çocuklarımızın kazançlarının üç
ve dördüncü sınıfa kadar akılda kaldığını
											ve çocukların aldıkları en yüksek notları
gösteren boylamsal bir çalışmamız da var.
											Bunlar akademik kazançlar.
											Başka bir çalışma, çocuklarımızın
sosyal duygusal kazançlarının,
											devlet ve özel anaokullarına giden
çocuklarla eşit olduğunu gösteriyor.
									","
											Sabemos que funciona
											porque el 90 % de los usuarios
han completado el programa.
											El año pasado tuvimos 13 500 niños
											que se ""graduaron""
con diplomas de UPSTART.
											Y los resultados han sido asombrosos.
											Tenemos una evaluación externa
											que muestra que nuestros niños
tienen un nivel de 2 o 3 veces superior
											al de los niños que no
participan en el programa.
											Realizamos una prueba de control aleatoria
que demuestra la efectividad
											e incluso hicimos un estudio longitudinal
											que muestra que nuestros niños recuerdan
lo aprendido hasta tercer o cuarto grado
											en nuestros mejores casos hasta hoy.
											Eso es en lo académico.
											Pero otro estudio muestra
que su aprendizaje emocional
											es igual al de los niños que van
a escuelas públicas o privadas.
									","
											e, em conjunto, vamos trabalhar
na aprendizagem emocional e social.
											Sabemos que isto funciona
											porque temos uma taxa de êxito
de 90% para o programa.
											No ano passado, isso traduziu-se
em 13 500 crianças
											que se ""formaram"" com diplomas do UPSTART.
											Os resultados têm sido espantosos.
											Temos uma avaliação exterior
											que mostra que as nossas crianças
aprendem duas ou três vezes mais
											do que as crianças
que não participam no programa.
											Temos um teste de controlo aleatório
que mostra fortes indícios de eficácia
											e até temos um estudo longitudinal
											que mostra que as competências
das nossas crianças
											duram até ao 3.º e 4.º anos,
											as avaliações mais altas
que as crianças atingiram na época.
											São conquistas académicas.
											Mas outro estudo mostrou
que as conquistas emocionais das crianças
									","
											Nous savons que cela fonctionne
											car nous avons un taux de réussite
du programme de 90%.
											L'année dernière, cela a signifié
que 13 500 enfants
											ont été « diplômés » par UPSTART.
											Les résultats sont fantastiques.
											Nous avons une évaluation extérieure
											qui montre que nos enfants
ont une progression
											deux ou trois fois supérieure aux enfants
qui ne participent pas au programme.
											Nous avons un essai randomisé contrôlé
											apportant des preuves solides
de l'efficacité
											et nous avons même une étude longitudinale
											qui montre que les progrès de nos enfants
se poursuivent jusqu'en CE2 et CM1,
											les classes les plus élevées
que les enfants avaient alors atteintes.
											Ce sont des progrès académiques.
											Mais une autre étude a montré
											que les progrès sociaux
et émotionnels de nos enfants
											sont équivalents à ceux d'enfants allant
dans des maternelles publiques ou privées.
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
											The majority of the 60,000 children
who have participated in UPSTART to date
											have been from Utah.
											But we have replicated our results
											with African-American
children in Mississippi —
											this is Kingston and his mother;
											with English language
learners in Arizona —
											this is Daisy and her family;
											with refugee children in Philadelphia —
this is my favorite graduation photo;
											and with Native American children
											from some of the most remote
parts of the United States.
											This is Cherise, and this is
where she lives in Monument Valley.
									","
											Şimdiye dek UPSTART'a katılan
60 bin öğrencinin çoğunluğu Utah'tan.
											Fakat başka bölgelerde de
sonuçlarımızı tekrarladık:
											Mississippi'deki Afrika kökenli
Amerikalı çocuklarla;
											Bu Kingston ve annesi.
											Arizona'daki İngilizce öğrenen çocuklarla;
											Bu Daisy ve ailesi.
											Philadelphia'daki mülteci çocuklarla; bu,
benim en sevdiğim mezuniyet fotoğrafı.
											Ve ABD'nin bazı en uzak
bölgelerindeki yerli Amerikalı çocuklarla;
											Bu Cherise ve bu da Monument
Vadisinde yaşadığı yer.
									","
											La mayoría de los 60 000 niños
que han participado en UPSTART hasta hoy
											son de Utah.
											Pero hemos tenido los mismos resultados
											con niños afroestadounidenses de Misisipi.
											Ellos son Kingston y su mamá.
											Con estudiantes de inglés en Arizona.
Ellos son Daisy y su familia.
											Con niños refugiados en Filadelfia.
Esta es mi foto de graduación favorita.
											Y con niños de pueblos nativos de EE. UU.
											de algunas de las zonas
más remotas del país.
											Ella es Cherise, y aquí es donde vive,
en el Valle de los Monumentos.
									","
											são iguais às das crianças que frequentam
o pré-escolar público e privado.
											A maioria das 60 000 crianças
que participaram no UPSTART até à data
											eram do Utah.
											Mas reproduzimos os resultados
											com crianças afro-americanas
no Mississippi
											— este é Kingston e a sua mãe —
											com crianças de língua inglesa
no Arizona
											— esta é Daisy e a sua família;
											com crianças refugiadas em Filadélfia
											— esta é a minha foto
de graduação preferida;
											e com crianças nativas americanas
											de algumas partes mais distantes dos EUA.
											Esta é Cherise, e isto é onde ela vive
em Monument Valley.
									","
											La majorité des 60 000 enfants
qui ont participé à UPSTART jusqu'ici
											venaient de l'Utah.
											Mais nous avons reproduit nos résultats
											avec des enfants afro-américains
dans le Mississippi,
											Voici Kingston et sa mère ;
											avec des élèves
apprenant l'anglais en Arizona,
											voici Daisy et sa famille ;
											avec des enfants réfugiés à Philadelphie,
											voici ma photo de remise
de diplôme préférée ;
											avec des enfants amérindiens
											dans certains des endroits
les plus reculés des États-Unis.
											Voici Cherise et voici l'endroit
où elle vit à Monument Valley.
									",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
"
","
","
","
","
",A new way to get every child ready for kindergarten,Claudia Miner,9:36,"Audacious Project,education,children,teaching,technology,parenting"
