en,fr,pt,es,tr,title,speaker,duration,tags
"
","
","
","
","
","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
											And in libraries all over,
including museums,
											you can still find the groundbreaking
1982 anthology, entitled
											""All the Women Are White,
											All the Blacks Are Men,
											But Some of Us Are Brave.""
									","
											Dans beaucoup de bibliothèques
et de musées,
											vous pouvez toujours trouver
l'anthologie révolutionnaire de 1982 :
											« Toutes les femmes sont blanches,
											tous les Noirs sont des hommes,
											mais certains d'entre nous
sont courageux. »
									","
											Nas bibliotecas de todo o lado,
incluindo museus,
											ainda se encontra a antologia inovadora
de 1982, intitulada:
											""Todas as Mulheres são Brancas,
											""Todos os Negros são Homens,
											""mas Alguns de Nós são Corajosos.""
									","
											Y en muchas bibliotecas,
incluyendo museos,
											aún pueden encontrar la innovadora
antología de 1982, titulada
											""Todas las mujeres son blancas,
											todos los negros son hombres,
											pero algunos somos valientes"".
									","
											Ve her yerdeki kütüphanelerde,
müzeler dahil,
											hala çığır açan
											""Bütün kadınlar beyazdır,
											Bütün siyahlar erkektir,
											Ama bazılarımız cesurdur."" isimli 
1982 antolojisini bulabilirsiniz.
									","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
","
","
","
","
","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
											Demands for the increase
of women's representation
											does not automatically include
Afro-Latinas like me ...
											or immigrant women,
or Asian women, or Native women,
											or trans women, or undocumented women,
											or women over 65, or girls —
											the list can go on and on and on.
									","
											Les revendications
de représentation des femmes
											n'incluent pas automatiquement
les Afro-Latinas comme moi ...
											ou les femmes immigrantes,
les femmes asiatiques,
											les femmes indigènes,
											les femmes transgenres,
les femmes sans papiers,
											les femmes de plus de 65 ans
ou les filles —
											la liste continue encore et encore.
									","
											As exigências para o aumento
da representação feminina
											não incluem automaticamente
mulheres afro-latinas como eu...
											ou mulheres imigrantes, mulheres asiáticas
ou mulheres indígenas,
											ou mulheres transexuais, 
ou mulheres sem documentos,
											ou mulheres com mais de 65 anos, 
ou raparigas
											— e a lista continua e continua.
									","
											Los reclamos por mayor
representación femenina
											no incluyen automáticamente
afrolatinas como yo,
											ni mujeres inmigrantes, ni mujeres
asiáticas, ni mujeres nativas,
											ni mujeres trans, ni mujeres
indocumentadas,
											ni mujeres de más de 65 años, ni niñas...
											Y la lista puede continuar.
									","
											Kadınların temsilinin 
yükseliş talebi
											benim gibi Afrika-Latin kökenlileri
otomatik olarak kapsamaz
											ya da göçmen kadınları, Asyalı kadınları,
											yerli kadınları, cinsiyet değiştirmiş
kadınları ya da kayıtsız kadınları,
											65 yaş üstü kadınları 
ya da kız çocuklarını
											bu sıralama uzar, uzar da uzar.
									","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
","
","
","
","
","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
											So what do we do?
											Targeted initiatives
have helped incorporate perspectives
											that should have always been included.
											I arrived at the Smithsonian
through a Latino curatorial initiative
											whose hiring of Latinx curators,
											mostly women, by the way,
											has raised the profile for Latinx
narratives across our institution.
											And it served as a model
											for our much larger Smithsonian
American Women's History Initiative,
											which seeks to amplify diverse
representations of women
											in every possible way,
											so that women show up,
											not only in the imagery
of our contemporary realities,
											but in our historical representations,
											because we've always been here.
											Right now though, in 2018,
I can still walk into professional spaces
											and be the only —
											the only person under 40,
the only black person,
											the only black woman, the only Latina,
											sometimes, the only woman.
									","
											Que faisons-nous ?
											Des initiatives ciblées ont aidé
à incorporer des points de vue
											qui auraient toujours dû être inclus.
											Je suis arrivée au Smithsonian
via une initiative latine de conservation
											dont l'embauche de conservateurs latins,
											surtout de femmes,
											a accru la visibilité des récits latins
dans notre institution.
											Elle a servi de modèle
											pour notre initiative sur l'histoire
des femmes américaines au Smithsonian
											qui a pour objectif d'accroître
les représentations diverses des femmes
											de toutes les façons possibles
											afin que les femmes apparaissent,
											non seulement dans l'imagerie
de nos réalités contemporaines,
											mais dans nos représentations historiques,
											car nous avons toujours été là.
											Actuellement, en 2018, je peux encore
aller dans des espaces professionnels
											et être la seule...
											personne de moins de 40 ans,
personne noire,
											femme noire, femme latine,
											parfois, la seule femme.
									","
											Então o que podemos fazer?
											Iniciativas específicas
ajudaram a incorporar perspectivas
											que deveriam ter sido sempre incluidas.
											Cheguei ao Smithsonian numa iniciativa
para curadores latinos
											cuja contratação de curadores latinos
											— já agora, na maioria mulheres —
											elevou a visibilidade de histórias latinas
por toda a instituição.
											E serviu de modelo
											para a nossa maior iniciativa Smithsonian 
da História das Mulheres Americanas
											que procura ampliar a diversidade
das representações das mulheres
											de todas as maneiras,
											para que as mulheres apareçam,
											não só nas imagens
da nossa realidade contemporânea,
											mas nas nossas representações históricas,
											pois sempre estivemos aqui.
											No entanto, em 2018, 
ainda ando em áreas profissionais
											e ainda sou a única
											a única pessoa abaixo de 40 anos,
a única pessoa negra,
											a única mulher negra, a única latina,
											às vezes, a única mulher.
									","
											Entonces ¿qué hacemos?
											Algunas iniciativas han ayudado
a incorporar perspectivas
											que siempre deberían haber sido incluidas.
											Llegué al Smithsoniano a través
de una iniciativa de conservación latina
											cuya contratación de curadores latinos,
											principalmente mujeres, por cierto,
											ha elevado el perfil de las narrativas
latinas en toda nuestra institución.
											Y eso sirvió como modelo
											para la iniciativa del Smithsoniano
de la historia de la mujer estadounidense,
											que busca difundir las diversas
representaciones de las mujeres
											en todos los modos posibles,
											para mostrar a esa mujer,
											no solo en las imágenes 
de nuestra realidad contemporánea,
											sino también en nuestras
representaciones históricas,
											porque siempre hemos estado aquí.
											Sin embargo, aún ahora, en 2018, puede
ocurrir que en espacios profesionales
											yo sea la única...
											la única menor de 40 años,
la única persona negra,
											la única mujer negra, 
la única latina,
											a veces, la única mujer.
									","
											Peki ne yapıyoruz?
											Hedeflenen girişimler zaten dahil
olması gereken bakış açılarını
											birleştirmeye yardım etti.
											Bir Latin küratöryal girişimiyle
Smithsonian'a geldim,
											Latin bir müze müdürünü
işe alanlara,
											çoğunlukla kadınlar, bu arada,
											kurumumuz genelinde Latin 
anlatılarının görünüşü yükseldi.
											Ve bu bir kalıp olarak görev yaptı.
											Smithsonian Amerikalı
Kadınlar Tarihi Girişimi'nden daha çok,
											kadın temsilciliğinde çeşitliliğin
büyümesini arzulayarak,
											olası her şekilde,
											sadece çağdaş gerçeklerdeki 
bir görüntü olarak değil,
											tarihsel bir sunumla da,
											kadınlar ortaya çıksın.
											çünkü biz her zaman buradaydık.
											Şu anda 2018 de olmamıza rağmen
ben bu mesleki alanda
											40 yaşının altındaki tek insan,
tek siyahi insan,
											tek siyahi kadın ve tek 
Latin kökenli,
											bazen, tek kadın olarak
											tek başıma yürüyorum,
									","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
","
","
","
","
","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
											My mother is African-American
and my father is Afro-Panamanian.
											I am so proudly and inextricably both.
											As an Afro-Latina, I'm one of millions.
											As an Afro-Latina curator,
I'm one of very few.
											And bringing my whole self
into the professional realm
											can feel like an act of bravery,
											and I'll admit to you that I was
not always up for that challenge,
											whether from fear of rejection
or self-preservation.
											In meetings, I would only speak up
											when I had a fully developed
comment to share.
											No audible brainstorming
or riffing off of colleagues.
											For a long time,
											I denied myself the joy of wearing
my beloved hoop earrings
											or nameplate necklace to work,
											thinking that they were too loud
or unscholarly or unprofessional.
									","
											Ma mère est afro-américaine
et mon père est afro-panaméen.
											Je suis fièrement
et inextricablement les deux.
											Les Afro-Latinas se comptent en millions.
											Les conservatrices afro-latinas
ne sont qu'une poignée.
											Venir entière dans le monde professionnel
											peut sembler être un acte de bravoure
											et j'admets que je n'ai pas toujours
été à la hauteur du défi,
											que ce soit par peur du rejet
ou par instinct de conservation.
											Dans les réunions, je ne m'exprimais
											que pour partager un commentaire
entièrement développé.
											Pas de réflexion audible
ou d'échange d'idées avec mes collègues.
											Pendant longtemps,
											je me suis refusé la joie de porter
mes créoles adorées
											ou mon collier au travail
											en pensant qu'ils étaient trop bruyants,
peu universitaires ou peu professionnels.
									","
											A minha mãe é afro-americana
e o meu pai é afro-panamiano.
											Sinto muito orgulho em ser
indissociavelmente as duas coisas.
											Como afro-latina sou uma em milhões.
											Como curadora afro-latina, 
sou uma em muito poucas.
											E trazer todo o meu ser
para o campo profissional
											é como um acto de bravura.
											Confesso que nem sempre estive
à altura do desafio,
											fosse por medo da rejeição 
ou por auto-preservação.
											Nas reuniões, eu só falava
											quando tinha um comentário
totalmente desenvolvido para partilhar.
											Nenhum ""brainstorming"" audível 
nem repetir algo dito pelos colegas.
											Durante muito tempo,
											neguei a mim própria a alegria
de usar as minhas queridas argolas
											nem o colar com o meu nome, no trabalho,
											pensando que seriam demasiado berrantes,
pouco académicos ou pouco profissionais.
									","
											Mi madre es afroestadounidense
y mi padre es afropanameño.
											Yo soy, orgullosa e
inextricablemente, ambas cosas.
											Como afrolatina, soy una de millones.
											Como curadora de museos 
afrolatina, soy una de muy pocas.
											E integrarme de manera total
al campo profesional
											puede parecer un acto de valentía,
											y admitiré que no siempre 
estuve preparada para ese reto,
											ya sea por miedo al rechazo
o por instinto de conservación.
											En las reuniones, solo hablaba
											cuando tenía un comentario 
ya desarrollado para compartir.
											Nada de pensar en voz alta
o de improvisar con colegas.
											Por mucho tiempo,
											me negué la alegría de usar 
pendientes de aro en el trabajo
											ni un collar con mi nombre,
											pensando que eran muy llamativos,
poco intelectuales o poco profesionales.
									","
											Annem Afrika-Amerika kökenli ve
babam Afrika-Panama kökenli.
											Ben çok gururlu ve ayrılmaz şekilde
her ikisindenim.
											Bir Afrikalı Latin olarak, 
milyonlarca insandan bir tanesiyim.
											Bir Afrikalı Latin müze müdürü 
olarak birkaç taneden birisiyim.
											Ve kendimi bütünüyle mesleki 
alanıma adamak,
											bir cesaret eylemi gibi hissedilebilir.
											Ayrıca itiraf ediyorum ki her zaman meydan
okumaya hazır değildim,
											reddedilme korkusu ya da
kendini koruma sebebiyle.
											Toplantılarda, sadece tamamıyla
hakim olduğum konularda
											yorum yapmak için konuşurdum.
											Sesli bir beyin fırtınası yok ya da iş
arkadaşlarına sataşmak yok.
											Uzun bir zaman için,
											kendime sevdiğim halka küpeleri 
takmanın verdiği zevki reddettim
											ya da çalışmak için isim levhası,
											çok gürültülü, cahilce ya da profesyonelce
olmadığını düşünerek.
									","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
","
","
","
","
","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
","
","
","
","
","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
