en,tr,fr,es,pt,title,speaker,duration,tags
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											Audience: Yeah, you know me!
									","
											Seyirci: Evet, beni bilirsin!
									","
											Public : Oui, tu me connais !
									","
											Público: ¡Sí, claro!
									","
											Público: Sim, sabes como sou!
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											DNL: You down with OPP?
									","
											DNL: OPP'ye hasta mısın?
									","
											DNL : Ça te dit de la CAP ?
									","
											DNL: ¿Están con OPP?
									","
											DNL: Conhecem o OPP?
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											Audience: Yeah, you know me!
									","
											Seyirci: Evet, beni bilirsin!
									","
											Public : Oui, tu me connais !
									","
											Público: ¡Sí, claro!
									","
											Público: Sim, sabes como sou!
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											DNL: That was perfect.
											Thank you.
									","
											DNL: Bu mükemmeldi.
											Teşekkür ederim.
									","
											DNL : C'était parfait.
											Merci.
									","
											DNL: Eso fue perfecto.
											Gracias.
									","
											DNL: Foi perfeito.
											Obrigada.
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											""OPP, how can I explain it?
									","
											''OPP, nasıl açıklayabilirim?
									","
											« CAP, comment l'expliquer ?
									","
											""OPP, ¿cómo puedo explicarlo?
									","
											""OPP, como posso explicar?
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											I'll take it frame by frame it.
									","
											Tek resimle ele alacağım.
									","
											Je vais y aller image par image.
									","
											Voy a ir paso a paso
									","
											""Vai ser passo a passo
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											To have y'all jumping shout and singing it
									","
											Hepinizi zıplatıp bağırtıcam
ve söyleticem.
									","
											Pour que vous sautiez et le chantiez tous
									","
											para que todos salten, griten y la canten
									","
											""Para que todos saltem, gritem e cantem.
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											O is for other, P is for people.
scratch your temple.
									","
											O diğeri için, P insanlar için, 
şakağını kaşı.
									","
											A c'est pour autres, P pour personnes.
Grattez-vous la tempe.
									","
											O es para otros,
P es para personas. rasca tu sien
									","
											""O é para outras, P é para pessoas.
Coça a têmpora.
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											The last P, well, that's not that simple.""
									","
											Son P, pekala, 
o kadar basit değil.''
									","
											Le C, eh bien, ce n'est pas si simple. »
									","
											La última P, bueno, 
eso no es tan simple"".
									","
											""O último P, bem, não é tão simples.""
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											Now, in the song, the MC hints
that it's a five-letter word,
											but to keep it rated PG,
											he simply refers to it as ""property.""
									","
											Şimdi, MC şarkıda beş harfli bir kelime
olduğunu ima ediyor
											ama yaş sınırını korumak için,
											basitçe ''mülkiyet'' olarak bahsediyor.
									","
											Dans la chanson, le rappeur insinue
que c'est un mot en six lettres,
											mais pour que ce soit tous publics,
											il préfère se référer
à une « caractéristique ».
									","
											Ahora, en la canción, el MC insinúa.
que es una palabra de cinco letras,
											pero, para mantenerlo familiar,
											él simplemente se refiere a
esa palabra como ""propiedad"".
									","
											Na canção, o MC sugere
que é uma palavra de cinco letras,
											mas para se manter
para maiores de 12 anos,
											ele refere-se a isso
como a ""propriedade"".
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Risos)
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											The song is about cheating
on your significant other.
											Now, around the time that this song
was in heavy rotation,
											biologists were in deep discussion
about whether bird species,
											notably songbirds and waterfowl
were actually monogamous or not.
											See, for decades,
generations of science students
											were taught that well over 90 percent
of the bird species were monogamous.
											A male and female
mating faithfully for life.
									","
											Şarkı ruh eşinizi aldatmakla ilgili.
											Şimdi, şarkı zamanla fazlasıyla dönüştü,
											biyologlar kuş türlerinin, 
bilhassa ötücü kuşların ve su kuşlarının,
											tek eşli olup olmadıkları konusunda
derin tartışmalara girdiler.
											Yani, on yıllar boyunca, 
fen öğrencileri nesillerine
											kuş türlerinin yüzde doksandan fazlasının
tek eşli olduğu öğretildi.
											Bir erkek ve bir dişi
hayatı boyunca sadık olmak için eşleşir.
									","
											C'est une chanson parlant
de tromper votre partenaire.
											A l'époque où cette chanson
passait beaucoup à la radio,
											les biologistes tenaient une discussion
sur le fait que les espèces d'oiseaux,
											en particulier les Passeriformes
et les Anseriformes,
											étaient monogames ou pas.
											Durant des décennies,
des générations d'étudiants en science
											ont appris que plus de 90%
des espèces d'oiseaux étaient monogames.
											Un mâle et une femelle s'accouplant à vie.
									","
											La música habla de traicionar 
a la persona que amas.
											Durante el tiempo que 
esta canción estaba de moda,
											los biólogos discutían 
sobre si las especies de aves,
											notablemente aves cantoras y acuáticas
en realidad, eran monógamas o no.
											Durante décadas,
a generaciones de estudiantes de ciencias
											se les enseñó que más del 90 %
de las especies de aves eran monógamas.
											Un macho y una hembra que se
aparean fielmente de por vida.
									","
											A música é sobre trair
o nosso Outro especial.
											Na altura em que esta canção
estava a bombar,
											os biólogos estavam em discussão
sobre se as espécies de pássaros,
											nomeadamente aves canoras e aquáticas,
seriam ou não monogâmicos.
											Durante décadas,
gerações de estudantes de ciências
											foram ensinados que mais de 90%
das espécies de aves eram monogâmicas.
											Uma fêmea e um macho,
a acasalar fielmente toda a vida.
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											That was until the late 1980s,
											when a new laboratory technique
came on the scene,
											which could copy DNA
from a small tissue or fluid sample
											and decode the genetics of individuals.
											Now, before that technique,
											we were never ever certain about,
											100 percent, who the parents
of baby birds were.
											All we had were our field notes.
											And we would know
which adults lived in a nest
											and which ones fed the baby birds.
											Well, come to find out,
study after study kept coming in
											and we found so much
evidence of infidelity —
									","
											Bu geç 1980'lere kadardı,
											küçük bir doku ya da sıvı örneğinden 
DNA kopyalayabilen
											ve canlının genetiğini deşifre edebilen 
yeni bir laboratuvar tekniği
											
ortaya çıkana kadar.
											Bu teknikten önce,
											bebek kuşların ebeveynleri hakkında
											hiçbir zaman yüzde yüz emin değildik.
											Sadece alanımızdaki notlar vardı.
											Ve hangi yetişkinlerin 
yuvada yaşayıp hangilerinin
											bebekleri beslediğini bilebilirdik.
											Anlaşılan o ki, 
çalışma üzerine çalışma yapıldı
											ve sadakatsizliğin birçok 
kanıtını bulduk.
									","
											Ce fut ainsi jusqu'à la fin des années 80,
											quand une nouvelle technique
de laboratoire est apparue.
											Elle pouvait copier l'ADN
d'un petit tissu ou échantillon de fluide
											et décoder le génome d'un individu.
											Avant cette technique,
											nous n'étions jamais certains à 100%
											des parents de bébés oiseaux.
											Nous n'avions que nos notes de terrain.
											Nous savions quels adultes
vivaient dans un nid
											et lesquels nourrissaient les bébés.
											Il s'est avéré que, étude après étude,
											nous avons découvert
de nombreuses preuves d'infidélité —
									","
											Eso fue hasta finales de los 80,
											cuando una nueva técnica 
de laboratorio entró en escena,
											que podría copiar el ADN
de una pequeña muestra de tejido o fluido
											y decodificar la genética 
de los individuos.
											Ahora, antes de esa técnica,
											nunca estábamos seguros al 100 %
											de quienes eran los padres
de los pajaritos.
											Solo estaban nuestras notas de campo.
											Y así sabíamos 
qué adultos vivían en un nido
											y cuáles alimentaban a los pajaritos.
											Bueno, descubrimos, 
después de varios estudios,
											una gran prueba de infidelidad...
									","
											Isso foi até finais da década de 80,
											quando uma nova
técnica laboratorial apareceu,
											que conseguia copiar ADN
de uma amostra de pele ou fluido
											e descodificar a genética de um individuo.
											Antes dessa técnica,
											nunca tínhamos a certeza absoluta,
											a 100%, quem eram
os pais dos pássaros bebés.
											Tínhamos apenas
as nossas notas de pesquisa
											E sabíamos que adultos
viviam num ninho
											e quais alimentavam as crias.
											Bem, ficámos a saber,
estudo após estudo
											encontrámos tanta prova de infidelidade...
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Risos)
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											among bird species,
											particularly these songbirds
											that we thought
were the pinnacle of monogamy.
											It would have made Maury Povich
jealous for the ratings.
									","
											Kuş türleri içinde,
											özellilke tek eşliliğin
											zirvesi olarak düşündüğümüz
ötücü kuşlarda.
											Oranlar Maury Povich'i kıskandırırdı.
									","
											chez les espèces d'oiseaux,
											en particulier les Anseriformes
											que nous pensions être
le paroxysme de la monogamie.
											La côte aurait rendu jaloux
Christophe Dechavanne.
									","
											entre las especies de aves,
											en especial las aves cantoras
											que considerábamos el 
auge de la monogamia.
											Le envidiaría a Maury Povich.
									","
											entre espécies de pássaros,
											especialmente as canoras
											que pensávamos ser
o pináculo da monogamia.
											Faria corar de inveja o Maury Povich.
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Risos)
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											It rocked biology and ornithology so hard,
											we had to modify and expand
the entire definition of monogamy.
											Now, it was so bad
that this was the headline
											of the ""New York Times"" science section,
											August, 1990.
											""Mating for Life?
It's not for the Birds or the Bees.""
									","
											Bu biyoloji ve kuş bilimini
o kadar sarstı ki,
											tek eşliliğin tanımını değiştirmek
ve genişletmek zorunda kaldık.
											O kadar kötüydü ki, 
New York Times'ın
											bilim bölümünde 1990'da
											manşet olmuştu.
											''Hayat boyu eşleşmek? 
Kuşlara ve arılara göre değil.''
									","
											Cela a tellement ébranlé
la biologie et l'ornithologie
											que nous avons dû modifier et étendre
la définition de la monogamie.
											Ce fut si terrible que voici le gros titre
											de la section science
du « New York Times »
											en août 1990 :
											« S'accoupler pour la vie ?
Par pour les oiseaux ni les abeilles. »
									","
											Tuvo un impacto tan grande 
en la biología y la ornitología,
											que tuvimos que modificar y expandir
toda la definición de monogamia.
											Fue tan malo que este fue el titular
											de la sección de ciencia 
del ""New York Times"",
											agosto de 1990.
											""¿Apareamiento de por vida?
No para las aves y las abejas""
									","
											Abalou tanto o mundo da biologia
e da ornitologia,
											que tivemos de modificar e expandir
a própria definição de monogamia.
											Foi tão mau
que esta foi a manchete
											da secção de ciências do
""New York Times""
											Agosto, 1990.
											""Acasalar para a vida?
Não é coisa para pássaros e abelhas.""
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Risos)
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											We had to come up with new definitions.
											The situation where an individual
would change partners,
											either between breeding seasons
											or just simply because
they didn't like their partner anymore?
											We now call this ""serial monogamy.""
									","
											Yeni tanımlamalar yapmak zorunda kaldık.
											Canlının eş değiştirme durumu,
											yavrulama dönemleri arasında mı
											veya sadece eşlerini artık 
beğenmedikleri için mi?
											Buna artık ''sıralı tek eşlilik'' diyoruz.
									","
											Nous avons dû trouver
de nouvelles définitions.
											La situation où un individu
pouvait changer de partenaire,
											soit entre deux périodes de reproduction
											ou parce qu'ils n'aimaient plus
leur partenaire ?
											Nous appelons cela
la « monogamie sérielle ».
									","
											Tuvimos que llegar a nuevas definiciones.
											La situación en la que 
un individuo cambia de pareja,
											ya sea entre épocas de reproducción
											o simplemente porque
ya no les gusta su pareja,
											ahora lo denominamos ""monogamia serial"".
									","
											Tivemos de encontrar novas definições.
											A situação de quando indivíduos
mudavam de parceiros,
											ou entre épocas de acasalamento,
											ou porque já não gostavam
do seu parceiro?
											Agora chamamos de ""monogamia em série"".
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Risos)
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											I didn't know it was
going to be this funny.
									","
											Bu kadar eğlenceli
olacağını bilmiyordum.
									","
											J'ignorais que cela serait si drôle.
									","
											No sabía que iba a ser tan divertido
									","
											Não sabia que seria
tão engraçado.
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Risos)
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											The situation where we know
the male and female pair together
											and all the babies
belong to both partners?
											We call that ""genetic monogamy.""
											And we now recognize
that it only holds true
											for about 14 percent
of the songbird species,
											which we were very certain
were truly monogamous.
									","
											Dişi ve erkeğin eş olduğu
ve bütün bebeklerin
											bu çifte ait olduğunu bildiğimiz durum?
											Buna ''genetik tek eşlilik'' diyoruz.
											Ve tamamen tek eşli olduklarından 
emin olduğumuz
											ötücü kuşların yaklaşık yüzde 14'ünün
											gerçekten öyle olduklarını fark ediyoruz.
									","
											La situation où nous savons
que le mâle et la femelle s'accouplent
											et que tous les bébés
sont des deux partenaires ?
											Nous appelons cela
la « monogamie génétique ».
											Nous reconnaissons que cela ne tient
											que pour seulement environ 14%
des espèces Anseriformes,
											dont nous étions sûrs
qu'elles étaient de vrais monogames.
									","
											¿La situación en la que sabemos
que el macho y la hembra forman pareja,
											y todos las crías pertenecen a ambos?
											A eso lo llamamos ""monogamia genética"".
											Y ahora reconocemos que solo es verdad
											para cerca del 14 % 
de las especies de aves cantoras,
											que teníamos mucha certeza de que eran
verdaderamente monógamas.
									","
											A situação em que sabemos
que o macho e fêmea formam par
											e que todas as crias pertenciam
a ambos os parceiros?
											Chamamos de ""monogamia genética"".
											Reconhecemos agora que é verdade
											apenas para cerca de 14%
das aves canoras,
											que tínhamos a certeza
de serem monogâmicas.
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											And with this reclassification,
											we realized that in a lot
of those field observations
											where we saw a male and female
sharing a nest,
											comaintaining a territory,
even provisioning offspring together,
											often included a few baby birds
that did not belong to the male partner.
											We call this ""social monogamy.""
									","
											Ve bu yeniden sınıflandırmayla,
											alan çalışmalarında gözlemlediğimiz
											erkek ve dişinin yuvayı paylaşmasında,
											bölgelerini korumasında, hatta
yavrularla birlikte ilgilenmelerinde;
											bebeklerin çoğu zaman aynı erkeğe 
ait olmadığını fark ettik.
											Buna ''sosyal tek eşlilik'' diyoruz.
									","
											Avec cette reclassification,
											nous avons réalisé que beaucoup
des observations de terrain
											où nous voyions un mâle
et une femelle partager un nid,
											entretenant ensemble un territoire,
ravitaillant ensemble leur progéniture,
											incluait souvent quelques bébés
non issus du partenaire mâle.
											Nous appelons cela
la « monogamie sociale ».
									","
											Y con esta reclasificación,
											percibimos que, en muchas
de estas observaciones de campo,
											donde veíamos un macho y una hembra
compartiendo un nido,
											manteniendo un territorio
y alimentando a las crías juntas,
											muchas veces había crías
que no pertenecían al macho.
											A esto lo llamamos ""monogamia social"".
									","
											E com esta requalificação,
											percebemos que
em muitas das observações no campo,
											onde víamos um macho e fêmea
a partilhar um ninho,
											mantendo juntos um território,
até alimentando as crias juntos,
											por vezes, havia crias
que não pertenciam ao macho.
											Chamamos de ""monogamia social"".
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Risos)
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											And the mechanism responsible?
											Extra-pair copulation.
											""It's OPP, time for other people's
what you get it
											there's no room for relationship,
there's just room to ...""
									","
											Ve bundan sorumlu olan mekanizma?
											Çok eşli cinsel münasebet.
											''Bu OPP, başka insanların
'ne anlarsan o' vakti
											ilişkiye yer yok,
sadece...''
									","
											Le mécanisme responsable ?
											La copulation hors couple.
											« C'est la CAP, c'est l'heure
du truc des autres personnes
											pas de place pour une relation,
juste de la place pour ... »
									","
											¿Y el mecanismo responsable?
											Cópula extraconyugal.
											""Es OPP, la gente otro momento 
es lo que tú consigues
											no hay lugar para
una relación, solo para... ""
									","
											E o mecanismo responsável?
											Copulação Extra-Par.
											""É o OPP, está na altura para ir a...
o que percebeste,
											""não há espaço para relações,
só há para...""
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											Audience: ""Hit it!""
									","
											Seyirci: ''Vurmaya var!
									","
											Public : « Tirer un coup ! »
									","
											Público: ""¡Dale!"".
									","
											Público: ""Ir lá!""
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
											""How many brothers out there
know just what I'm getting at?
									","
											''Neye varmaya çalıştığımı bilen
kaç kardeş var?
									","
											« Combien de frères savent où je vais ?
									","
											DNL: ""¿Cuántos manos por ahí
saben a dónde quiero llegar?
									","
											""Quantos irmãos por aí
sabe aonde quero chegar?
									",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
"
","
","
","
","
",How hip-hop helps us understand science,Danielle N. Lee,8:16,"education,TED Fellows,science,biology,life,race,sex"
