en,fr,de,tr,title,speaker,duration,tags
"
											I'm convinced that the road
to climate progress in the United States
											runs through the Republican Party
											and the business community.
											So in launching
the Climate Leadership Council,
											I started by reaching out to a who's who
of Republican elder statesmen
											and business leaders,
											including James Baker and George Schultz,
											the two most respected Republican
elder statesmen in America;
											Martin Feldstein and Greg Mankiw,
											the two most respected
conservative economists in the country;
											and Henry Paulson and Rob Walton,
											two of the most successful
and admired business leaders.
											Together, we co-authored
											""The Conservative Case
For Carbon Dividends.""
											This represents the first time
											that Republican leaders put forth
											a concrete market-based climate solution.
									","
											Je suis convaincu que le chemin
vers le progrès climatique aux États-Unis
											passe par le Parti républicain
											et le monde des entreprises.
											Donc en lançant le conseil
de direction climatique,
											j'ai commencé par consulter un Who's Who
											des plus anciens politiciens
et chefs d'entreprises républicains,
											dont James Baker and George Schultz,
											les deux politiciens
les plus respectés en Amérique ;
											Martin Feldstein et Greg Mankiw,
											les deux économistes conservateurs 
les plus respectés dans le pays ;
											Henry Paulson et Rob Walton,
											deux des chefs d'entreprise
les plus performants et admirés.
											Ensemble, nous avons co-rédigé
											« Les arguments conservateurs
pour les dividendes carbone ».
											C'est la première fois
											que des leaders républicains présentent
											une solution concrète pour le climat 
basée sur le marché.
									","
											Ich bin davon überzeugt, dass der Weg
zum Klimafortschritt in den USA
											über die Republikanische Partei
											und die Wirtschaft führt.
											Als ich das Climate Leadership Council
angestoßen habe,
											habe ich zunächst Kontakt mit
hochkarätigen republikanischen Politikern
											und Wirtschaftsführern aufgenommen,
											darunter James Baker und George Shultz,
											die beiden angesehensten und erfahrensten
republikanischen Politiker in den USA;
											Martin Feldstein und Greg Mankiw,
											die beiden angesehensten konservativen
Volkswirte in unserem Land,
											und Henry Paulson und Rob Walton,
											zwei der erfolgreichsten und
meistbewunderten Wirtschaftsführer.
											Gemeinsam haben wir
											""The Conservative Case
For Carbon Dividends""
											[Die konservative Vorschlag:
CO2-Dividenden] geschrieben.
											Damit wird zum ersten Mal
											von republikanischen
Führungspersönlichkeiten
											eine konkrete, marktbasierte
Klimalösung vorgelegt.
									","
											ABD'de iklim konusunda ilerleyebilmenin
											yolunun Cumhuriyetçi Parti ve
											iş dünyasından geçtiğine ikna oldum.
											İklim Liderlik Konseyi'ni kurarken,
											işe aralarında Amerika'da en çok saygı
duyulan kadim devlet adamlarından
											James Baker ve
											George Schultz'un, en saygın
muhafazakâr ekonomistlerden
											Martin Feldstein ve Greg Mankiw'in
											ve en başarılı ve takdir edilen
											iş adamlarından Henry Paulson
ve Rob Walton'un bulunduğu
											Cumhuriyetçi devlet adamlarına
											ve iş adamlarına erişerek başladım.
											Birlikte,
											""Karbon Temettüleri için
Muhafazakâr Sorunu""nu yazdık.
											Bununla Cumhuriyetçi liderler ilk kez
											ortaya somut bir pazar-odaklı
											iklim çözümü koymuş oldular.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Alkışlar)
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Thank you.
									","
											Merci.
									","
											Danke.
									","
											Teşekkürler.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Alkışlar)
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											We presented our plan at the White House
											two weeks after President Trump moved in.
											Almost every leading
editorial board in the country
											has since endorsed our plan,
											and Fortune 100 companies
from a wide range of industries
											are now getting behind it.
											So by now you're probably wondering,
											what exactly is this plan?
									","
											Nous avons présenté notre plan 
à la Maison Blanche
											deux semaines après l'arrivée
du président Trump.
											Presque toutes les commissions
éditoriales du pays
											ont depuis approuvé notre plan,
											des entreprises du classement
Fortune 100 de divers secteurs
											nous soutiennent désormais.
											Donc maintenant,
vous devez vous demander :
											que contient ce plan exactement ?
									","
											Wir haben unseren Plan
im Weißen Haus vorgestellt,
											zwei Wochen nach dem Amtsantritt 
von Präsident Trump.
											Seither haben fast alle bedeutenden
Redaktionsleitungen in unserem Land
											unseren Plan befürwortet,
											und Fortune-100-Unternehmen
aus vielen verschiedenen Branchen
											unterstützen ihn nun ebenfalls.
											Sie fragen sich nun wahrscheinlich:
											Was genau ist dieser Plan?
									","
											Planımızı Beyaz Saray'da, Başkan Trump'ın
											taşınmasından iki hafta sonra sunduk.
											Ülkedeki önde gelen
hemen hemen tüm yayın kurulları
											planımızı destekledi
											ve geniş bir endüstri yelpazesinden
Fortune 100 şirketleri
											yavaş yavaş desteklemeye başlıyor.
											Büyük bir ihtimalle merak ediyorsunuz,
											tam olarak bu plan nedir?
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Well, our carbon dividends solution
is based on four pillars.
											The first is a gradually
rising carbon tax.
											Although capitalism is a wonderful system,
											like many operating systems,
it's prone to bugs,
											which, in this case, are called
""market failures.""
											By far the largest is that
market prices fail to take
											social and environmental
costs into account.
											That means every market transaction
is based on incorrect information.
											This fundamental bug of capitalism,
more than any other single factor,
											is to blame for our climate predicament.
									","
											Notre solution basée sur les dividendes 
sur le carbone repose sur quatre piliers.
											Le premier est une taxe carbone
qui augmente graduellement. 

											Bien que le capitalisme
soit un système merveilleux,
											comme beaucoup de systèmes opératoires,
il est sujet aux bugs,
											qui, dans ce cas, s'appellent 
des « défaillances du marché ».
											La plus grande défaillance est
que les prix du marché n'incluent pas
											les coûts sociaux et environnementaux.
											Cela signifie que chaque transaction 
est basée sur une information incorrecte.
											Ce bug fondamental du capitalisme,
plus que n'importe quel autre facteur,
											est la cause de notre impasse climatique.
									","
											Unsere CO2-Dividendenlösung
ruht auf vier Säulen.
											Die erste ist eine schrittweise
ansteigende CO2-Steuer.
											Obwohl der Kapitalismus 
ein wunderbares System ist,
											ist er, wie viele Betriebssysteme,
anfällig für Störungen,
											die in diesem Fall ""Marktversagen""
genannt werden.
											Das bei weitem größte besteht
darin, dass Marktpreise
											soziale und ökologische Kosten
nicht berücksichtigen.
											Das bedeutet, dass jede Markttransaktion
auf fehlerhaften Informationen basiert.
											Dieser elementare Defekt des Kapitalismus
ist mehr als jeder andere einzelne Faktor
											Schuld an unserem Klima-Dilemma.
									","
											Karbon temettüleri çözümümüzün
dört temel bileşeni var.
											İlki, karbon vergisini kademeli
olarak arttırmak.
											Her ne kadar kapitalizm
muhteşem bir sistem olsa da,
											birçok işletim sistemi gibi,
hatalara açıktır,
											bizim durumumuzda, bu hatalara
""piyasa başarısızlığı"" diyoruz.
											Bunların açık ara en büyüğü
piyasa fiyatlarının
											sosyal ve çevre maliyetlerini
hesaba katmamasıdır.
											Bu piyasadaki tüm hareketin yanlış
bilgiyi temel alması anlamına geliyor.
											Kapitalizmin bu temel hatası,
iklim çıkmazımızın
											en büyük nedenidir.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Now in theory, this should be
an easy problem to fix.
											Economists agree
											that the best solution is to put a price
on the carbon content of fossil fuels,
											otherwise known as a carbon tax.
											This would discourage carbon emissions
											in every single economic transaction,
											every day of the year.
											However, a carbon tax by itself
has proven to be unpopular
											and a political dead end.
											The answer is to return
all the money raised
											directly to citizens,
											in the form of equal monthly dividends.
											This would transform
an unpopular carbon tax
											into a popular and populist solution,
											and it would also solve
											the underlying psychological barrier
that we discussed,
											by giving everyone a concrete benefit
in the here and now.
									","
											En théorie, cela devrait être 
un problème simple à régler.
											Les économistes s'accordent à dire
											que la meilleure solution 
est de mettre un prix
											sur le contenu carbone 
des énergies fossiles
											aussi connu sous le nom
de « taxe carbone ».
											Cela dissuaderait les émissions de carbone
											dans chaque transaction économique,
											chaque jour de l'année.
											Cependant, une taxe carbone en soi
s'est révélée être impopulaire
											et une impasse politique.
											La solution est de rendre l'argent récolté
											directement aux citoyens,
											sous forme de dividendes mensuels.
											Cela transformerait 
une taxe carbone impopulaire
											en solution populaire et populiste
											et cela serait aussi une solution
											à la barrière psychologique
dont nous avons discuté,
											en offrant à tous un bénéfice concret
ici et maintenant.
									","
											Theoretisch sollte dies 
ein einfach zu lösendes Problem sein.
											Ökonomen sind sich einig,
											dass die beste Lösung ein Preis für den
CO2-Gehalt fossiler Brennstoffe ist,
											auch bekannt als CO2-Steuer.
											Dies würde bei jeder einzelnen
wirtschaftlichen Transaktion
											vom CO2-Ausstoß abschrecken,
											tagtäglich.
											Jedoch hat sich eine CO2-Steuer
als solche als unpopulär
											und politische Sackgasse erwiesen.
											Die Lösung liegt darin,
das gesamte eingenommene Geld
											direkt den Bürgern zurückzugeben,
											in Form von gleichmäßigen
monatlichen Dividenden.
											Das würde eine unpopuläre CO2-Steuer
											in eine populäre und populistische 
Lösung verwandeln,
											und es würde zudem
											die besprochenen tieferliegenden
psychologischen Hürden beseitigen,
											da jeder Einzelne konkret
im Hier und Jetzt profitieren würde.
									","
											Teoride, bu kolaylıkla çözülebilecek
bir problem olmalı.
											Ekonomistler,
											en iyi çözümün fosil yakıtların karbon
içeriğine bir fiyat belirlenmesi,
											diğer bir deyişle,
karbon vergisinde hemfikir.
											Bu, yılın her günü,
											her bir ekonomik işlemde,
											karbon emisyonuna engel olacaktır.
											Ancak, karbon vergisinin kendisi de
popüler olmadığını ve politik bir
											çıkmaz olduğunu kanıtladı.
											Bunun çözümü de karbon vergisinden
elde edilen tüm gelirin,
											vatandaşlara direkt olarak
											ve eşit aylık temettü olarak
dağıtılmasıdır.
											Bu popüler olmayan karbon vergisini
											popüler ve popülist bir çözüme
dönüştürecek
											ve daha önce bahsini ettiğimiz,
											psikolojik bariyeri de herkese
somut bir fayda sağlayarak
											aşmamızı sağlayacaktır.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											And these benefits would be significant.
											Assuming a carbon tax rate
that starts at 40 dollars per ton,
											a family of four would receive
2,000 dollars per year
											from the get-go.
											According to the US Treasury Department,
											the bottom 70 percent of Americans
would receive more in dividends
											than they would pay
in increased energy prices.
											That means 223 million Americans
would win economically
											from solving climate change.
											And that —
									","
											Et ces bénéfices seraient significatifs.
											En prenant une taxe carbone
qui commencerait à 40 dollars par tonne,
											une famille de quatre personnes 
recevrait 2 000 dollars par an
											dès le départ.
											Selon le département du Trésor américain,
											70 % des Américains
recevraient plus en dividendes
											que ce qu'ils paieraient
en augmentation du prix de l'énergie.
											Cela signifie que 223 millions
d'Américains gagneraient économiquement
											à résoudre les problèmes 
liés au changement climatique.
											Et c'est...
									","
											Und der Nutzen wäre beträchtlich.
											Geht man von einem bei 40 Dollar pro Tonne
beginnenden CO2-Steuersatz aus,
											würde eine vierköpfige Familie
2.000 Dollar im Jahr erhalten,
											von Anfang an.
											Laut dem US-Finanzministerium würden
											die unteren 70 % der Amerikaner
mehr Dividendeneinnahmen
											als zusätzliche Energieausgaben haben.
											Das bedeutet, dass 223 Millionen
Amerikaner wirtschaftliche Vorteile
											von der Lösung des Klimaproblems hätten.
											Und das —
									","
											Ve bu faydalar anlamlı olacaktır.
											Karbon vergi oranının ton başına
40 dolar olduğunu varsayarsak,
											dört kişilik bir aile daha
en başından yılda
											2.000 dolar alacaktır.
											ABD Hazinesi'ne göre,
											en düşük %70'lik dilimdeki
Amerikalılar, artan enerji fiyatlarına
											ödeyecekleri tutardan daha fazlasını
temettü olarak geri alacaklar.
											Bu, 223 milyon Amerikalının iklim
değişimini çözerek ekonomik olarak
											kazançlı çıkacakları anlamına gelmekte.
											Ve bu —
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Alkışlar)
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											is revolutionary,
											and could fundamentally
alter climate politics.
									","
											révolutionnaire
											et cela pourrait changer fondamentalement
les politiques climatiques.
									","
											ist revolutionär
											und könnte die Klimapolitik
grundlegend verändern.
									","
											devrimseldir
											ve iklim politikasını
kökten değiştirebilir.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											But there's another
revolutionary element here.
											The amount of the dividend would grow
											as the carbon tax rate increases.
											The more we protect our climate,
											the more our citizens benefit.
											This creates a positive feedback loop,
											which is crucial,
											because the only way we will reach
our long-term emission-reduction goals
											is if the carbon tax rate
goes up every year.
									","
											Mais il y a un autre
élément révolutionnaire.
											La somme des dividendes augmenterait
											à mesure que la taxe carbone augmente.
											Plus nous protégeons notre climat,
											plus les citoyens en bénéficient.
											Cela crée un cercle vertueux,
											ce qui est crucial
											car la seule façon d'atteindre
nos objectifs à long terme
											de réduction des émissions
											est si la taxe carbone
augmente chaque année.
									","
											Aber es gibt hier ein weiteres
revolutionäres Element.
											Die Höhe der Dividende würde
											mit dem Ansteigen
des CO2-Steuersatzes zunehmen.
											Je mehr wir das Klima schützen,
											desto mehr profitieren unsere Bürger.
											Dies führt zu einer positiven
Feedback-Schleife,
											was entscheidend ist,
											denn wir werden unsere langfristigen
Emissionsreduktionsziele nur erreichen,
											wenn der CO2-Steuersatz
jedes Jahr ansteigt.
									","
											Ancak burada devrimsel bir öge daha var.
											Temettü miktarı, karbon
vergisi oranı arrtıkça
											büyüyecektir.
											İklimimizi ne kadar çok korursak,
											halka o kadar çok fayda sağlayacaktır.
											Bu pozitif bir geri besleme
döngüsü yaratır,
											ki bu çok önemli,
											çünkü uzun-dönemli emisyon-azaltma
hedeflerimize ulaşabilmenin tek yolu,
											karbon vergi oranının her sene artmasıdır.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
