de,en,tr,fr,title,speaker,duration,tags
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											Also müssen wir
die sanitären Anlagen überdenken
											und die Infrastruktur neu erfinden.
											Und daher muss man es,
meiner Meinung nach,
											systematisch angehen.
											Wir müssen die ganze
Abwasserkette berücksichtigen.
											Wir beginnen mit einer Einrichtung.
											Dann müssen wir überlegen, wie Fäkalien
											gesammelt und gelagert,
											transportiert, aufbereitet 
und wiederverwertet werden —
											nicht nur entsorgt, 
sondern wiederverwertet.
									","
											So we've got to rethink sanitation,
											and we've got to reinvent the sanitation infrastructure,
											and I'm going to argue that to do this,
											you have to employ systems thinking.
											We have to look at the whole sanitation chain.
											We start with a human interface,
											and then we have to think about how feces
											are collected and stored,
											transported, treated and reused —
											and not just disposal but reuse.
									","
											temizlik altyapısını baştan yapmamız gerek.
											ve bunu yapmak için sistem düşünmeyi
											kullanmanız gerektiğini savunuyorum.
											Tüm hijyen çemberine bakmamız lazım.
											İnsan arayüzü ile başlıyoruz
											ve sonra dışkının nasıl toplandığını ve
											saklandını, taşındığını, işlendiğini ve
											-sadece yok edildiğini değil- yeniden
											nasıl kullanıldığını düşünmemiz gerek.
											O zaman kullanıcı insan ara 
yüzüyle başlayalım.
									","
											Nous devons repenser l'hygiène sanitaire
											et inventer de nouvelles
infrastructures sanitaires,
											et je soutiens que pour ça,
											nous devons réfléchir
en termes de systèmes.
											Nous devons considérer la chaîne sanitaire
dans son ensemble.
											On part avec une interface humaine,
											puis on doit réfléchir a la façon
dont les selles
											sont collectées et stockées,
											transportées, traitées et recyclées...
											Ce n'est pas seulement du traitement,
mais du recyclage.
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											Beginnen wir also 
mit der Benutzeroberfläche.
											Ich sage, es ist egal,
ob Spüler oder Wischer,
											Sitzer oder Hocker —
											die Oberfläche sollte sauber
											und einfach zu nutzen sein,
denn schließlich
											sollte ""einen Haufen machen""
angenehm sein.
											(Gelächter)
											Und wenn wir es ermöglichen,
											dass der sanitäre Abfallprozess 
verstanden wird,
											dann sollte die Back-End-Technologie,
											das Sammeln und Wiederverwerten
nicht mehr so wichtig sein.
											Dann können wir
											lokal aufgreifbare und der Umgebung
angepasste Lösungen einführen.
											Das eröffnet uns Möglichkeiten,
											wie zum Beispiel diese geteilte Toilette.
											Es gibt zwei Löcher in dieser Toilette.
											Eines vorne und eines hinten,
											und das vordere sammelt den Urin,
											und das hintere die Fäkalien.
											So trennt man also den Urin,
											welcher 80 % Stickstoff
											und 50 % Phosphor enthält,
											was dann verarbeitet
											und ausgefällt werden kann,
um zum Beispiel Struvit,
											einen hochwertigen Dünger, zu formen.
											Das Fäkalmaterial kann dann desinfiziert
											und auch zu hochwertigen
Endprodukten verarbeitet werden.
											Oder wie in einem Teil unserer Forschung
											kann Wasser wiederverwendet werden,
											indem es vor Ort in
Sanitäranlagen wie Pflanzgefäßen
											oder Pflanzkläranlagen behandelt wird.
											Wir eröffnen uns all diese Möglichkeiten,
											wenn wir uns vom Modell der Spültoilette
											und den Kläranlagen verabschieden.
									","
											So let's start with the human user interface.
											I say, it doesn't matter if you're a washer or a wiper,
											a sitter or a squatter,
											the human user interface should be clean
											and easy to use, because after all,
											taking a dump should be pleasurable.
											(Laughter)
											And when we open the possibilities
											to understanding this sanitation chain,
											then the back-end technology,
											the collection to the reuse, should not really matter,
											and then we can apply
											locally adoptable and context-sensitive solutions.
											So we can open ourselves to possibilities like,
											for example, this urine-diverting toilet,
											and there's two holes in this toilet.
											There's the front and the back,
											and the front collects the urine,
											and the back collects the fecal material.
											And so what you're doing is
you're separating the urine,
											which has 80 percent of the nitrogen
											and 50 percent of the phosphorus,
											and then that can then be treated
											and precipitated to form things like struvite,
											which is a high-value fertilizer,
											and then the fecal material can then be disinfected
											and again converted to high-value end products.
											Or, for example, in some of our research,
											you can reuse the water by treating it
											in on-site sanitation systems
											like planter boxes or constructed wetlands.
											So we can open up all these possibilities
											if we take away the old paradigm of flush toilets
											and treatment plants.
									","
											Bence, yıkamanız veya silmeniz,
											oturmanız veya çömelmeniz fark etmez,
											kullanıcı insan arayüzü temiz ve 
kolay kullanılabilir olmalı
											çünkü her şeyden önce,
											tuvalete gitmek zevkli olmalı.
											(Gülüşmeler)
											Hijyen çemberini anlamak için
											olasılıkları açtığımızda,
											arka uçlu teknoloji
											tekrar kullanım için toplananlar
bakımından çok da önemli değil.
											Bölgesel uyarlanabilen ve duruma uygun
											çözümleri uygulayabiliriz.
											Böylece kendimizi olasılıklara açabiliriz,
											örneğin bu idrar-dönüştürücü tuvalet gibi.
											Bu tuvalette biri önde biri arkada
											iki delik var.
											Öndeki idrarı,
											arkadaki ise dışkıyı topluyor.
											Burada, yüzde 80 nitrojen ve
											yüzde 50 fosfor
											içeren idrarı ayırıyorsunuz,
											ki sonradan işlenip ve çökeltilip
											struvit gibi
											yüksek değerli gübre yapılabilsin,
											atıl madde de dezenfekte edilip
											yine yüksek değerli bir son ürüne 
dönüştürülebilsin.
											Veya, örneğin, bazı çalışmalarımızda,
											suyu sahadaki ekici kutusu ya da
oluşturulmuş ıslak alanlar gibi
											atık su arıtma sistemi gibi temizlik 
sistemlerinde
											işleyerek yeniden kullanabildik.
											Yani, eğer sifonlu tuvalet ve
											artıma tesisi paradigmasını 
ortadan kaldırabilirsek,
											bütün bu olasılıkları açabiliriz.
									","
											Commençons avec
l'interface humaine.
											Je dis que peu importe
qu'on se lave ou qu'on s'essuie,
											qu'on s'asseye ou qu'on s'accroupisse,
											l'interface humaine doit être propre
											et simple à utiliser,
parce qu'après tout,
											chier devrait être agréable.
											(Rires)
											Et quand nous envisageons les possibilités
											offertes par cette chaîne sanitaire,
											la technologie sous-jacente
											de la collecte jusqu'au recyclage
n'importe pas vraiment,
											et nous pouvons alors
											utiliser des solutions qui s'adaptent
au contexte local.
											Il faut alors s'ouvrir à des possibilités
telles que,
											par exemple,
ces toilettes à séparation d'urine,
											avec deux trous a l'intérieur.
											L'urine est collectée
à l'avant,
											tandis que les matières fécales
											sont collectées à l'arrière.
											On sépare ainsi l'urine,
											qui contient 80% de l'azote
											et 50% du phosphore,
											et on peut ainsi la traiter
											et la précipiter sous forme de struvite,
											qui est un engrais de grande valeur,
											et puis les matières fécales
peuvent être désinfectées
											et transformées aussi
en produits finis utiles.
											Par exemple,
dans certaines de nos recherches,
											on peut recycler l'eau
en la traitant
											dans des systèmes sanitaires locaux
											comme des bacs à fleur
ou des marécages artificiels.
											On peut envisager toutes ces possibilités
											si on oublie le vieux concept
de chasse d'eau
											et de station d'épuration.
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											Sie fragen jetzt wahrscheinlich:
Wer bezahlt das alles?
											Ich würde mal sagen,
											dass Regierungen Abwassersysteme
finanzieren sollten.
											NGOs und Spendenorganisationen
											können ihr Bestes tun,
aber es wird nicht genug sein.
											Regierungen sollten
Abwassersysteme finanzieren,
											genau wie Straßen,
											Schulen, Krankenhäuser
											und andere Infrastrukturen wie Brücken.
											Denn die WHO zeigt in einer Studie:
											Für jeden Dollar,
											der in Abwasserinfrastruktur
investiert wird,
											bekommen wir zwischen drei
und 34 Dollar zurück.
									","
											So you might be asking, who's going to pay?
											Well, I'm going to argue that governments
											should fund sanitation infrastructure.
											NGOs and donor organizations,
											they can do their best, but it's not going to be enough.
											Governments should fund sanitation
											the same way they fund roads
											and schools and hospitals
											and other infrastructure like bridges,
											because we know, and the WHO has done this study,
											that for every dollar that we invest
											in sanitation infrastructure,
											we get something like three to 34 dollars back.
									","
											Şimdi soruyor olabilirsiniz,
bunları kim ödeyecek?
											Ben, devletlerin temizlik altyapısını
											fonlaması gerektiğini savunuyorum.
											NGO'lar ve bağış organizasyonları,
											ellerinden geleni yapabilirler
ama bu yeterli olmayacaktır.
											Devletler; yolları, okulları,
											hastaneleri ve köprü gibi
											diğer altyapıları fonladığı gibi,
											temizliği de fonlamalıdır.
											çünkü biliyoruz ve DSÖ de
bu araştırmayı yaptı.
											Temizlik altyapısına yatırdığımız
											her dolar için
											34 dolar geri alıyoruz.
									","
											Vous vous demandez peut-être :
« Qui va payer ? »
											Eh bien, je soutiens
que c'est aux gouvernements
											de financer
les infrastructures sanitaires.
											Les ONG et les associations caritatives
											font de leur mieux,
mais ça ne sera pas suffisant.
											C'est aux gouvernements
d'assurer le financement des sanitaires,
											au même titre que les routes,
											les écoles, les hôpitaux,
											ou d'autres infrastructures,
comme les ponts,
											parce que nous savons,
et c'est l'OMS qui a mené cette étude,
											que pour chaque dollar investi
											dans les infrastructures sanitaires,
											nous récupérons entre 3 et 34 dollars.
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											Kommen wir auf das Problem
Grubenentleerung zurück.
											An der North Carolina State University
											sollten Studenten 
eine einfache Lösung entwickeln,
											und das kam dabei heraus:
											ein einfacher, umgebauter Schraubbohrer,
											der den Abfall aus der Grube
											in eine Sammeltrommel
nach oben befördern kann.
											Jetzt muss der Grubenarbeiter
											nicht mehr in die Grube steigen.
											Getestet in Südafrika,
und es funktioniert.
											Es muss stabiler werden.
											Nächstes Jahr gibt es
											in Malawi und Südafrika weitere Tests.
											Die Idee dahinter ist, dass dies
											zu einem professionellen 
Grubenleerungs-Service wird,
											um Kleinunternehmen zu gründen,
											für Gewinne und Jobs zu sorgen,
											und wir hoffen dass,
											wenn wir Abwassersysteme überdenken,
											die Gruben länger bestehen können,
											damit wir nicht auf schnelle Lösungen

											zurückgreifen müssen,
											die keinen Sinn ergeben.
									","
											Let's go back to the problem of pit emptying.
											So at North Carolina State University,
											we challenged our students to
come up with a simple solution,
											and this is what they came up with:
											a simple, modified screw auger
											that can move the waste up
											from the pit and into a collecting drum,
											and now the pit worker
											doesn't have to go down into the pit.
											We tested it in South Africa, and it works.
											We need to make it more robust,
											and we're going to do more testing
											in Malawi and South Africa this coming year.
											And our idea is to make this
											a professionalized pit-emptying service
											so that we can create a small business out of it,
											create profits and jobs,
											and the hope is that,
											as we are rethinking sanitation,
											we are extending the life of these pits
											so that we don't have to resort
											to quick solutions
											that don't really make sense.
									","
											Çukur boşaltma problemine geri dönelim.
											North Carolina Üniversitesi'nde
											öğrencilerimizi basit bir çözüm bulmaya
davet ettik,
											ve ortaya attıkları şey bu oldu:
											atığı çukurdan çıkarıp
											toplama bidonuna götüren
											basit modifiye bir vida burgusu,
											ve şimdi çalışanın
											çukura inmesine gerek kalmadı.
											Bunu Güney Afrika'da test ettik,
işe yaradı.
											Burguyu daha sağlam yapmamız gerek
											Gelecek yılda Malawi ve
											Güney Afrika'da daha çok test yapacağız.
											Amacımız bunu profesyonel
											bir çukur boşaltma sistemine dönüştürmek,
											böylece bundan küçük bir sektör yaratıp,
											kâr ve iş sağlayabiliriz.
											Umuyoruz ki,
											hijyeni yeniden düşünürken
											bu çukurların ömürünü de uzatıp
											sonradan hiç anlam ifade etmeyen
											çözümlere başvurmak
											zorunda kalmayalım.
									","
											Revenons sur le problème 
de la vidange des fosses.
											À l'Université d’État
de Caroline du Nord,
											nous avons mis au défi nos étudiants
de trouver une solution simple,
											et voilà ce qu'ils ont trouvé :
											une simple vis sans fin modifiée
											qui peut remonter les déchets
											de la fosse jusque
dans un bidon collecteur,
											et maintenant
il n'est plus nécessaire
											de descendre dans la fosse.
											On l'a testé en Afrique du Sud,
et ça marche.
											Il faut encore consolider le système,
											et on va faire d'autres tests
											au Malawi et en Afrique du Sud
l'année prochaine.
											Notre idée est d'en faire
											un service professionnel
de vidange de fosse,
											de façon à créer ainsi
une petite activité,
											avec des emplois
et des bénéfices,
											et nous espérons
											qu'en repensant l'hygiène sanitaire,
											nous augmenterons la durée de vie
de ces fosses,
											sans avoir recours
											à des solutions d'urgence
											qui n'auraient pas de sens.
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											Der Zugang zu angemessenen Sanitäranlagen
											ist ein Grundrecht des Menschen.
											Wir müssen aufhören,
											Leute aus niedrigeren Kasten 
oder von niedrigerem Status
											zu verdammen, in Gruben zu steigen,
um sie zu reinigen.
											Es ist unsere moralische,
gesellschaftliche
											und umweltverantwortliche Verpflichtung.
									","
											I believe that access to adequate sanitation
											is a basic human right.
											We need to stop the practice
											of lower castes and lower-status people
											going down and being condemned to empty pits.
											It is our moral, it is our social
											and our environmental obligation.
									","
											Ben yeterli hijyene erişimin
											temel bir insan hakkı olduğuna inanıyorum.
											Düşük sınıf ve seviyeden insanları
											aşağı indirip çukuru temizletme
											uygulamasını durdurmamız gerek.
											Bu bizim ahlaki, sosyal ve
											çevresel yükümlülüğümüz.
									","
											Je pense que l'accès
à des sanitaires adaptés
											est un droit humain fondamental.
											Il faut arrêter de condamner
											ces personnes de caste
et de statut social inférieurs
											à descendre dans ces fosses
et à les vider.
											Nous en avons le devoir moral,
											social et environnemental.
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											Vielen Dank.
									","
											Thank you.
									","
											Teşekkür ederim.
									","
											Je vous remercie.
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											(Applaus)
									","
											(Applause)
									","
											(Alkışlar)
									","
											(Applaudissements)
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
