en,pt,fr,es,title,speaker,duration,tags
"
											So what that means
											is that there's a huge amount in the world
											that kind of defies forecasting now.
											It's why the Bank of England will say
yes, there will be another crash,
											but we don't know why or when.
											We know that climate change is real,
											but we can't predict
where forest fires will break out,
											and we don't know which factories
are going to flood.
											It's why companies are blindsided
											when plastic straws
and bags and bottled water
											go from staples to rejects overnight,
											and baffled when a change in social mores
											turns stars into pariahs
and colleagues into outcasts:
											ineradicable uncertainty.
											In an environment that defies
so much forecasting,
											efficiency won't just not help us,
											it specifically undermines and erodes
our capacity to adapt and respond.
									","
											Então, isso significa
											que, no mundo, há
uma enorme quantidade de coisas
											que, hoje, desafiam as previsões.
											É por isso que o Banco de Inglaterra
diz que vai haver outro colapso,
											mas não sabemos porquê nem quando.
											Sabemos que a alteração climática é real,
											mas não podemos prever
onde surgirão os fogos florestais,
											e não sabemos quais as fábricas
que irão ser inundadas.
											É por isso que as empresas
são apanhadas de surpresa
											quando as palhinhas,
os sacos e as garrafas de plástico
											passam de coisas básicas
a intoleráveis, de um dia para o outro,
											e ficam perplexas quando
uma mudança na moral social
											transforma estrelas em intocáveis
e colegas em proscritos,
											uma incerteza impossível de eliminar.
											Num ambiente que desafia
tanto as previsões,
											a eficiência não só não nos ajuda,
											como especificamente mina e corrói
a capacidade de adaptação e resposta.
									","
											Ça signifie donc
											qu'il y a dans le monde
un volume incroyable
											d'événements qui défient toute prévision.
											C'est pour ça que la Banque d'Angleterre
affirme qu'il y aura une nouvelle crise
											mais qu'elle ne sait
ni ce qui la causera, ni quand.
											Le changement climatique est une certitude
											mais nous ne pouvons pas prédire
quand des incendies de forêts surviendront
											ni quand des inondations
mettront des usines à l'arrêt.
											C'est pour ça que les entreprises
sont prises de court
											quand les pailles, les sacs
et les bouteilles en plastique
											passent d'incontournables
à intolérables du jour au lendemain
											et qu'elles sont déroutées
quand les changements moraux de la société
											transforment les stars de hier en parias
et des collègues en intouchables :
											l'incertitude inextirpable.
											Dans un environnement
qui défie toute prédiction,
											l'efficience ne va
non seulement pas nous aider,
											elle sabote et érode notre capacité
à nous adapter et à réagir.
									","
											Esto significa
											que hay muchas cosas en el mundo
											que desafían los pronósticos 
en la actualidad.
											Es por eso que el Banco de Inglaterra 
dirá que sí, que habrá otro colapso,
											pero no sabemos por qué ni cuándo.
											Sabemos que el cambio climático es real,
											pero no podemos predecir
dónde estallarán los incendios forestales,
											y no sabemos qué fábricas se inundarán.
											Por eso las empresas dan palos de ciego,
											cuando las pajitas de plástico, 
las bolsas y el agua embotellada
											pasan de los productos básicos
a ser rechazados de la noche a la mañana,
											y se desconciertan ante un cambio 
en las costumbres sociales
											que convierten a las estrellas 
en parias y a colegas en marginados:
											incertidumbre inerradicable.
											En un entorno que 
desafía tantos pronósticos,
											la eficiencia no solo no nos ayudará,
											específicamente socava y erosiona nuestra 
capacidad de adaptación y respuesta.
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											So if efficiency is no longer
our guiding principle,
											how should we address the future?
											What kind of thinking
is really going to help us?
											What sort of talents
must we be sure to defend?
											I think that, where in the past we used to
think a lot about just in time management,
											now we have to start thinking
about just in case,
											preparing for events
that are generally certain
											but specifically remain ambiguous.
									","
											Então, se a eficiência deixa de ser
o nosso princípio orientador,
											como poderemos encarar o futuro?
											Que tipo de pensamento
nos irá realmente ajudar?
											Que tipo de talentos
será seguro defender?
											Penso que, enquanto no passado
pensávamos muito na gestão ""just-in-time"",
											agora temos de começar a pensar
na gestão ""just-in-case"",
											e prepararmo-nos para acontecimentos
que, certamente, ocorrerão
											mas que se mantêm 
especificamente ambíguos.
									","
											Si l'efficience ne peut plus nous guider,
											comment devrions-nous
envisager l'avenir ?
											Quel genre de pensée pourra nous aider ?
											Quels genres de talents
devons-nous protéger ?
											Dans le passé, nous nous concentrions
sur la gestion à flux tendu.
											Mais aujourd'hui, nous devons
penser en terme de « au cas où »,
											nous préparer à des événements
qui surviendront certainement
											mais qui restent ambigus
quant à leur occurrence.
									","
											Y, si la eficiencia ya no es 
nuestro principio rector,
											¿cómo debemos abordar el futuro?
											¿Qué tipo de pensamiento 
realmente nos va a ayudar?
											¿Qué tipo de talentos debemos 
estar seguros de defender?
											Creo que, donde en el pasado solíamos 
pensar mucho en la gestión del tiempo,
											ahora tenemos que empezar 
a pensar en el por si acaso,
											y prepararnos para eventos 
que generalmente son ciertos
											pero específicamente 
siguen siendo ambiguos.
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											One example of this is the Coalition
for Epidemic Preparedness, CEPI.
											We know there will be
more epidemics in future,
											but we don't know where or when or what.
											So we can't plan.
											But we can prepare.
											So CEPI's developing multiple vaccines
for multiple diseases,
											knowing that they can't predict
which vaccines are going to work
											or which diseases will break out.
											So some of those vaccines
will never be used.
											That's inefficient.
											But it's robust,
											because it provides more options,
											and it means that we don't depend
on a single technological solution.
											Epidemic responsiveness
also depends hugely
											on people who know and trust each other.
											But those relationships
take time to develop,
											time that is always in short supply
when an epidemic breaks out.
											So CEPI is developing relationships,
friendships, alliances now
											knowing that some of those
may never be used.
											That's inefficient,
a waste of time, perhaps,
											but it's robust.
									","
											Um exemplo disto é a CEPI — Coalition
for Epidemic Preparedness Innovations.
											Sabemos que vai haver
mais epidemias no futuro,
											mas não sabemos onde,
quando ou de que tipo.
											Então, não podemos planear.

											Mas podemos preparar-nos.
											A CEPI está a desenvolver múltiplas 
vacinas para múltiplas doenças,
											sabendo que não podem prever
quais as vacinas que vão funcionar
											ou quais as doenças que surgirão.
											Algumas dessas vacinas
nunca serão usadas.
											Isso é ineficiência.
											Mas é algo forte,
											porque proporciona mais opções,
											e significa que não dependemos
de uma só solução tecnológica.
											A capacidade de resposta a epidemias
também depende enormemente
											das pessoas que se conhecem
e confiam umas nas outras.
											Mas essas relações levam
tempo a desenvolverem-se,
											tempo que é sempre curto
quando surge uma epidemia.
											Então, a CEPI já está a desenvolver
relações, amizades, alianças,
											sabendo que algumas delas
poderão nunca ser usadas.
											Isso é ineficiência,
uma perda de tempo, talvez,
											mas é algo forte.
									","
											Prenons la Coalition pour les innovations
en préparation aux épidémies (CEPI).
											Nous savons que l'avenir
nous réserve des épidémies,
											mais nous ignorons où,
quand et lesquelles.
											Impossible de planifier.
											Mais nous pouvons nous préparer.
											CEPI développe donc des vaccins multiples
pour des maladies multiples,
											sachant qu'il n'est pas possible
de prévoir quel vaccin sera efficace
											ou quelle maladie va se déclarer.
											Certains de ces vaccins
ne seront jamais utilisés.
											Ce n'est pas efficient.
											Mais c'est robuste
											car cela offre davantage de choix
											et parce que nous ne dépendons pas
d'une seule solution technologique.
											De plus, la réaction aux épidémies
dépend énormément
											de la qualité de la confiance
entre les personnes.
											Or de telles relations prennent
du temps pour se développer.
											Et quand une épidémie se déclare,
le temps manque cruellement.
											CEPI développe donc ces relations,
ces amitiés et alliances
											tout en sachant que certaines
ne seront jamais activées.
											Ce n'est certes pas efficient
et peut-être un gaspillage en temps,
											mais c'est robuste.
									","
											Un ejemplo de esto es la Coalición 
para la Preparación de Epidemias, CEPI.
											Sabemos que habrá 
más epidemias en el futuro,
											pero no sabemos dónde ni cuándo ni qué.
											Y no podemos planificar.
											Pero podemos prepararnos.
											La CEPI está desarrollando múltiples 
vacunas para múltiples enfermedades,
											sabiendo que no pueden predecir 
qué vacunas funcionarán
											o qué enfermedades estallarán.
											Algunas de esas vacunas nunca se usarán.
											Eso es ineficiente.
											Pero es robusto
											porque ofrece más opciones,
											y significa que no dependemos 
de una sola solución tecnológica.
											La capacidad de respuesta epidémica 
también depende enormemente
											de personas que se conocen 
y confían las unas en las otras.
											Pero desarrollar esas relaciones
lleva tiempo,
											tiempo que siempre es escaso 
cuando estalla una epidemia.
											Entonces la CEPI está desarrollando 
relaciones, amistades, alianzas
											sabiendo que algo de eso 
nunca será utilizado.
											Eso es ineficiente, 
una pérdida de tiempo, tal vez,
											pero es robusto.
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											You can see robust thinking
in financial services, too.
											In the past, banks used to hold
much less capital
											than they're required to today,
											because holding so little capital,
being too efficient with it,
											is what made the banks
so fragile in the first place.
											Now, holding more capital
looks and is inefficient.
											But it's robust, because it protects
the financial system against surprises.
									","
											Também podemos ver coisas fortes
nos serviços financeiros.
											No passado, os bancos costumavam
assegurar muito menos capital
											do que é actualmente requerido,
											porque assegurar pouco capital,
sendo demasiado eficiente com ele,
											é o que torna os bancos
tão frágeis em primeiro lugar.
											Assegurar mais capital
parece ser ineficiente, e é.
											Mas é algo forte, porque protege
o sistema financeiro contra surpresas.
									","
											On trouve le principe de robustesse
dans les services financiers aussi.
											Avant, les banques possédaient
nettement moins de capital
											qu'elles ne sont obligées
d'avoir aujourd'hui.
											Il est évidemment efficient
d'avoir peu de capital
											mais c'est cela qui a rendu
les banques fragiles.
											Conserver davantage de capital
ne semble pas et n'est pas efficient.
											Mais c'est robuste car il protège
le système financier des surprises.
									","
											También se puede ver un pensamiento sólido
en los servicios financieros.
											En el pasado los bancos 
solían tener mucho menos capital
											de lo que se les exige hoy,
											porque tener tan poco capital, 
ser demasiado eficiente con él,
											es lo que en primer lugar
hizo a los bancos tan frágiles.
											Ahora tener más capital 
parece y es ineficiente.
											Pero es robusto, porque protege 
al sistema financiero contra sorpresas.
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											Countries that are really serious
about climate change
											know that they have to adopt
multiple solutions,
											multiple forms of renewable energy,
											not just one.
											The countries that are most advanced
have been working for years now,
											changing their water and food supply
and healthcare systems,
											because they recognize that by the time
they have certain prediction,
											that information may very well
come too late.
									","
											Os países realmente preocupados
com a alteração climática
											sabem que têm de adoptar
múltiplas soluções,
											múltiplas formas de energias renováveis,
											não apenas uma.
											Os países que estão mais avançados
têm estado a trabalhar há anos,
											mudando o abastecimento de água
e de comida e os sistemas de saúde,
											porque reconhecem que,
quando tiverem alguma previsão,
											essas informações poderão
chegar tarde demais.
									","
											Les pays qui prennent au sérieux
le changement climatique
											savent qu'ils doivent adopter
des solutions multiples,
											des formes multiples
d'énergie renouvelable,
											sans tabler sur une seule.
											Les pays les plus en avance
y travaillent depuis des années,
											modifiant les systèmes
de fourniture en eau et alimentation,
											leurs soins de santé
											sur base de leur compréhension que,
dès qu'une prédiction s'avérera certaine,
											il sera peut-être déjà trop tard.
									","
											Países que realmente 
toman en serio el cambio climático
											saben que tienen que adoptar 
múltiples soluciones,
											múltiples formas de energía renovable,
											no solo una.
											Los países más avanzados 
llevan años trabajando,
											cambiando su suministro de agua 
y alimentos y sus sistemas de salud,
											porque reconocen que cuando
les llegue alguna predicción,
											esa información puede que 
llegue demasiado tarde.
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											You can take the same approach
to trade wars, and many countries do.
											Instead of depending on a single
huge trading partner,
											they try to be everybody's friends,
											because they know they can't predict
											which markets might
suddenly become unstable.
											It's time-consuming and expensive,
negotiating all these deals,
											but it's robust
											because it makes their whole economy
better defended against shocks.
											It's particularly a strategy
adopted by small countries
											that know they'll never have
the market muscle to call the shots,
											so it's just better to have
too many friends.
											But if you're stuck
in one of these organizations
											that's still kind of captured
by the efficiency myth,
											how do you start to change it?
											Try some experiments.
									","
											Podemos adoptar a mesma abordagem
nas guerras comerciais,
											e muitos países fazem-no.
											Em vez de depender de um único
grande parceiro comercial,
											tentam ser amigos de todos
											porque sabem que não podem prever
											qual o mercado que poderá
repentinamente ficar instável.
											Consome tempo e é caro,
negociar todos estes acordos,
											mas é algo forte,
											porque torna toda a sua economia
mais bem protegida contra choques.
											É uma estratégia particularmente
adoptada por pequenos países
											que sabem que nunca terão capacidade
de mercado para ditar as regras,
											por isso, é melhor ter muitos amigos.
											Mas, se ficarmos bloqueados
numa dessas organizações
											que ainda estão presas
ao mito da eficiência,
											como começamos a mudá-la?
											Tentem algumas experiências.
									","
											La même approche est valide
pour les conflits commerciaux
											et de nombreux pays l'adoptent.
											Au lieu de dépendre d'un seul
partenaire commercial important,
											on devient l'ami de tout le monde,
											car on ne peut pas prédire
											quels marchés vont
brusquement devenir instables.
											Négocier tous ces traités
prend du temps et coûte cher
											mais c'est robuste
											car cela protège mieux l'économie
du pays contre les chocs.
											C'est une stratégie privilégiée
par les petits pays
											car ils savent que leur économie
ne pourra jamais mener la danse
											et qu'il est préférable
d'être ami avec tout le monde.
											Mais quand on est coincé
dans une de ces organisations
											emprisonnées
dans le mythe de l'efficience,
											comment faire pour changer ?
											Tentez des expériences.
									","
											Se adopta el mismo enfoque para guerras 
comerciales y muchos países así lo hacen.
											En lugar de depender de 
un único gran socio comercial,
											intentan ser amigos de todos,
											porque saben que no pueden predecir
											qué mercados podrían 
de repente volverse inestables.
											Es lento y costoso
negociar todos estos tratados,
											pero es robusto
											porque hace que toda su economía 
se defienda mejor contra los embates.
											Es una estrategia adoptada 
particularmente por países pequeños
											que saben que nunca tendrán 
el poder del mercado para decidir;
											así que es mejor tener muchos amigos.
											Pero si uno está atrapado 
en una de estas organizaciones
											supone estar todavía atrapado 
en el mito de la eficiencia.
											Y ¿cómo se empieza a cambiar esto?
											Intenten algunos experimentos.
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											In the Netherlands,
											home care nursing used to be run
pretty much like the supermarket:
											standardized and prescribed work
											to the minute:
											nine minutes on Monday,
seven minutes on Wednesday,
											eight minutes on Friday.
											The nurses hated it.
											So one of them, Jos de Blok,
											proposed an experiment.
											Since every patient is different,
											and we don't quite know
exactly what they'll need,
											why don't we just leave it
to the nurses to decide?
									","
											Na Holanda,
											a enfermagem ao domicílio era realizada
um pouco como no supermercado:
											trabalho padronizado
e prescrito ao minuto:
											nove minutos à segunda-feira,
sete minutos à quarta-feira,
											oito minutos à sexta-feira.
											Os enfermeiros detestavam.
											Então, um deles, Jos de Blok,
											propôs uma experiência.
											""Sendo cada paciente diferente,
											""e nós não sabemos exactamente
do que eles necessitarão,
											""porque não deixamos a decisão
a cada enfermeiro?""
									","
											Aux Pays-Bas,
											les soins de santé étaient gérés
un peu comme un supermarché :
											du travail normatif et déterminé
											à la minute près :
											neuf minutes le lundi,
sept minutes le mercredi,
											huit minutes le vendredi.
											Les infirmiers détestaient ce système.
											Alors, un infirmier, Jos de Blok,
											a proposé de faire une expérience.
											Comme tous les patients sont différents,
											nous ignorons ce dont ils auront besoin,
											alors pourquoi ne pas confier
la décision aux infirmiers ?
									","
											En los Países Bajos,
											la enfermería domiciliaria solía
hacerse casi como el supermercado:
											trabajo estandarizado y prescrito
											al minuto:
											nueve minutos el lunes, 
siete minutos el miércoles
											y ocho minutos el viernes.
											Las enfermeras lo odiaban.
											Entonces uno de ellos, Jos de Blok,
											propuso un experimento.
											Como cada paciente es diferente,
											y no sabemos exactamente qué necesitarán,
											¿por qué no dejamos 
que las enfermeras lo decidan?
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											Sound reckless?
									","
											Parece imprudente?
									","
											Cela paraît-il imprudent ?
									","
											¿Suena imprudente?
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Aplausos)
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
