en,fr,tr,es,de,title,speaker,duration,tags
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											I very quickly realized I had to keep
my teaching and my cartooning separate.
											It seemed like my instincts
in fifth grade were correct.
											Comic books didn't belong
in the classroom.
									","
											J'ai vite compris que je devais garder
mon enseignement et mes dessins séparés.
											Apparemment, mon intuition
à l'école primaire était correcte.
											La BD n'avait pas sa place à l'école.
									","
											Öğretimimi ve çizimlerimi ayrı tutmak 
zorunda olduğumun hemen farkına vardım.
											Görünen o ki beşinci sınıftaki 
içgüdülerim doğruydu.
											Çizgi romanlar sınıflara ait değillerdi.
									","
											Rápidamente me di cuenta de que debía
separar mi enseñanza y mis caricaturas.
											Parecía que mis instintos 
en quinto grado eran correctos.
											Los libros de cómics
no pertenecían al aula.
									","
											Ich musste meinen Unterricht
und Comics getrennt halten.
											Scheinbar waren meine Instinkte
in der 5. Klasse richtig.
											Comics gehören nicht in das Klassenzimmer.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											But again, I was wrong.
											A few years into my teaching career,
											I learned firsthand
the educational potential of comics.
											One semester, I was asked to sub
for this Algebra 2 class.
											I was asked to long-term sub it,
and I said yes, but there was a problem.
											At the time, I was also
the school's educational technologist,
											which meant every couple of weeks
											I had to miss one or two periods
of this Algebra 2 class
											because I was in another classroom
helping another teacher
											with a computer-related activity.
											For these Algebra 2 students,
that was terrible.
											I mean, having a long-term
sub is bad enough,
											but having a sub for your sub?
That's the worst.
											In an effort to provide some sort
of consistency for my students,
											I began videotaping
myself giving lectures.
											I'd then give these videos to my sub
to play for my students.
											I tried to make these videos
as engaging as possible.
											I even included
these little special effects.
											For instance, after I finished
a problem on the board,
											I'd clap my hands,
											and the board would magically erase.
									","
											Mais là encore, j'avais tort.
											Quelques années plus tard,
											j'ai appris par expérience directe
le pouvoir pédagogique potentiel des BD.
											Un semestre, on m'a demandé
de reprendre un cours d'algèbre.
											Ce serait pour un long terme
et j'ai accepté. Mais il y avait un os.
											À l'époque, j'étais aussi
le technologue en éducation de l'école,
											ce qui signifiait que toutes
les deux semaines,
											je devais manquer deux
ou trois périodes de ce cours d'algèbre
											pour apporter mon soutien
à un autre professeur
											dans une activité liée à l'informatique.
											Pour mes étudiants en algèbre,
c'était une catastrophe.
											Avoir un long remplaçant
est déjà une mauvaise nouvelle,
											mais un remplaçant du remplaçant?
Çà ne pouvait pas être pire.
											Cherchant à fournir une certaine
cohérence à mes étudiants,
											j'ai commencé à me filmer
donnant un cours.
											Je me proposais de remettre ces vidéos
à mon remplaçant.
											J'ai essayé de rendre ces vidéos
les plus intéressantes possible.
											J'ai même ajouté
des petits effets spéciaux.
											Par exemple, après avoir terminé
un problème au tableau,
											je tapais dans mes mains
et le tableau s'effaçait comme par magie.
									","
											Ama yine, yanılmıştım.
											Öğretim kariyerimde birkaç yılın ardından,
											çizgi romanların eğitim potansiyelini 
doğrudan kavramıştım.
											Bir sömestr, benden Cebir 2 sınıfına
vekil öğretmen olmam istendi.
											Uzun süreliğine vekalet edecektim ve 
kabul etmiştim, ama bir problem vardı.
											O zamanlar, okulun ayrıca eğitim 
teknolojileri uzmanıydım,
											bu da her iki haftada bir Cebir 2 
sınıfının bir ya da iki dersini
											kaçırmak zorunda olduğum
anlamına geliyordu
											çünkü başka bir sınıfta başka bir 
öğretmene bilgisayarla ilgili işlerde
											yardım ediyordum.
											Bu Cebir 2 sınıfı öğrencileri için 
korkunç bir şeydi.
											Yani, uzun süreliğine vekil öğretmenden
ders almak yeterince kötüyken,
											peki vekil öğretmenin yerine başka
bir vekil öğretmen ? Bu en kötüsüdür.
											Öğrencilerim için bir çeşit tutarlılık 
sağlamak için,
											dersler verdiğim videolar 
hazırlamaya başladım.
											Daha sonra bu videoları öğrencilerime 
izletmesi için vekil öğretmene verdim.
											Mümkün olduğunca dikkat çekici videolar 
hazırlamaya çalıştım.
											Bu küçük özel efektleri bile ekledim.
											Örneğin, tahtada bir problemi 
çözdükten sonra,
											alkışlıyordum
											ve tahta sihirli bir şekilde siliniyordu.
									","
											Pero de nuevo, estaba errado.
											Luego de unos años
en mi carrera como profesor
											aprendí de primera mano
el potencial educativo de los cómics.
											Un semestre, me pidieron sustituir
en una clase de Álgebra 2.
											Me pidieron que sustituyera a largo plazo,
y dije que sí, pero había un problema.
											En ese tiempo también era
el tecnólogo de la escuela,
											por lo que cada par de semanas
											tenía que perder uno o dos períodos
de esta clase de Álgebra 2
											porque estaba en otra clase
ayudando a otro profesor
											con una actividad
ligada a las computadoras.
											Para los estudiantes de Álgebra 2
esto era terrible.
											Una sustitución a largo plazo
ya era terrible,
											pero tener un suplente para
el profesor sustituto era peor.
											En un esfuerzo de dar un poco
de consistencia a mis estudiantes,
											comencé a grabarme dando mis clases.
											Luego le daba los vídeos a mi suplente
para que los mostrara a mis estudiantes.
											Traté de hacer estos vídeos
lo más atractivos posible.
											Hasta incluí algunos efectos especiales.
											Por ejemplo, después de terminar 
un problema en la pizarra,
											aplaudía con mis manos,
											y la pizarra automáticamente se borraba.
									","
											Ich lag wieder falsch.
											Nach ein paar Jahren als Lehrer
											habe ich das Bildungspotential
von Comics selbst erlebt.
											In einem Semester sollte ich
für die Algebra 2-Klasse einspringen.
											Ich sollte langfristig einspringen
und ich sagte ja.
											Doch zu der Zeit war ich auch zuständig
für die Bildungstechnologie in der Schule.
											Das heißt, alle paar Wochen
											verpasste ich ein oder zwei Schulstunden
dieser Algebra 2-Klasse,
											weil ich in einem anderen Klassenzimmer
Lehrern bei Computerarbeiten half.
											Für die Schüler von Algebra 2
war das schrecklich.
											Einen Ersatzlehrer länger zu haben
ist schlimm genug.
											Das Schlimmste ist jedoch
ein Ersatz für den Ersatzleher.
											Um irgendeine Durchgängigkeit
für meine Schüler zu haben,
											filmte ich meine Vorträge.
											Ich gab diese Videos meinem Ersatz,
damit er sie meinen Schülern vorspielt.
											Ich versuchte die Videos
so unterhaltsam wie möglich zu machen.
											Ich fügte auch
kleine Spezialeffekte hinzu.
											Wenn ich z.B einen Fall
an der Tafel gelöst hatte,
											dann klatschte ich in meine Hände
											und die Tafel war wieder sauber.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Lachen)
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											I thought it was pretty awesome.
											I was pretty certain
that my students would love it,
											but I was wrong.
									","
											Je trouvais ça super.
											J'étais persuadé que mes étudiants
allaient adorer ça.
											Mais j'avais tort.
									","
											Çok muhteşem olduğunu düşünüyordum,
											öğrencilerimin de buna 
bayılacaklarına emindim,
											ama yanılmıştım.
									","
											Para mí era realmente increíble.
											Estaba muy seguro de que 
a mis estudiantes les encantaría,
											pero me equivoqué.
									","
											Ich dachte, es war genial
											und meine Schüler würden es lieben.
											Aber ich lag falsch.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Lachen)
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											These video lectures were a disaster.
											I had students coming up to me
and saying things like,
											""Mr. Yang, we thought
you were boring in person,
											but on video, you are just unbearable.""
									","
											Ces présentations vidéo
ont été un désastre.
											Certains de mes étudiants
sont venus me dire :
											« M. Yang, on vous trouvait
ennuyeux en chair et en os,
											mais en vidéo, vous êtes insoutenable. »
									","
											Bu ders videoları tam bir facia olmuştu.
											Öğrencilerim yanıma gelip
şöyle diyorlardı,
											""Bay Yang, çok sıkıcı biri olduğunuzu 
düşünüyorduk,
											ama videolarda daha da çekilmezsiniz.""
									","
											Las lecciones en vídeos
fueron un desastre.
											Los estudiantes se acercaban
y me decían cosas como:
											""Sr. Yang, pensábamos 
que era aburrido en persona,
											pero en vídeo es
simplemente insoportable"".
									","
											Diese Videovorträge
waren eine Katastrophe.
											Schüler kamen zu mir und sagten Dinge wie,
											„Herr Yang, wir dachten,
Sie wären langweilig,
											aber auf Video sind Sie
einfach unerträglich.“
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Lachen)
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											So as a desperate second attempt,
I began drawing these lectures as comics.
											I'd do these very quickly
with very little planning.
											I'd just take a sharpie,
draw one panel after the other,
											figuring out what I wanted
to say as I went.
											These comics lectures would come out
											to anywhere between
four and six pages long,
											I'd xerox these, give them to my sub
to hand to my students.
											And much to my surprise,
											these comics lectures were a hit.
											My students would ask me
to make these for them
											even when I could be there in person.
											It was like they liked cartoon me
more than actual me.
									","
											Donc, j'ai fait une deuxième tentative
désespérée mais sous forme de BD.
											Je les ai faites très rapidement,
sans planification.
											J'ai pris un crayon et dessiné
une planche après l'autre,
											en imaginant ce que je voulais
dire au fur et à mesure.
											Ces BD de présentation
avaient quatre à six pages.
											Je les ai photocopiées et remises
à mon remplaçant pour mes étudiants.
											À ma grande surprise,
ces BD ont été un succès.
											Mes étudiants me demandaient d'en faire
											même quand j'étais là pour le cours.
											Il semble qu'ils me préféraient
en BD plutôt qu'en personne.
									","
											Böylece umutsuz bir ikinci girişim olarak,
											bu dersleri çizgi romanlardaki 
gibi çizmeye başlamıştım.
											Çok az bir planlamayla bunları 
hızlıca yapıyordum.
											Gittiğimde anlatmak istediğim konuları
anlamaları için
											birbiri ardına karelerde çizimler
hazırlıyordum.
											Bu çizgi roman dersleri
											dört ila altı sayfa arasında değişiyordu.
											Bunların fotokopisini çekiyordum, 
fotokopileri vekil öğretmene
											öğrencilerime dağıtması için veriyordum.
											Ve çok şaşırmıştım,
											bu çizgi roman dersleri çok beğenilmişti.
											Öğrencilerim kendileri için bu videolardan
hazırlamamı istediler
											şahsen orada olmama rağmen.
											Çizilmiş beni, gerçek benden daha çok 
beğenmiş gibiydiler.
									","
											Así que como segundo intento desesperado
dibujé las lecciones como cómics.
											Los hacía muy rápido
y con muy poca planificación.
											Tomaba un marcador
y dibujaba una viñeta tras otra,
											pensando qué quería decir 
mientras avanzaba.
											Estas lecciones en forma de cómics
saldrían de cuatro a seis páginas,
											las copiaba y se las daba a mi suplente
para que las entregara a mis estudiantes.
											Y para mi gran sorpresa,
											esta lecciones fueron un éxito.
											Mis estudiantes me pedían
que las hiciera para ellos,
											inclusive cuando estaba allí en persona.
											Era como si yo les gustara más 
en forma de caricatura que en persona.
									","
											Als verzweifelten zweiten Versuch
zeichnete ich die Vorträge als Comics.
											Das schaffe ich sehr schnell
mit ein wenig Planung.
											Ich nahm meinen Edding,
zeichnte Einzelbilder,
											und überlegte in der Zeit,
was ich damit lehren wollte.
											Meine Vorträge als Comics
waren vier bis sechs Seiten lang.
											Ich kopierte sie, gab sie meinem Ersatz
und er gab sie meinen Schülern.
											Und zu meiner Überraschung
											waren die Vorträge als Comics ein Hit.
											Meine Schüler baten mich,
Comics für sie zu machen,
											auch wenn ich in der Klasse anwesend war.
											Sie mochten meine Comics
mehr als mich selbst.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Lachen)
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
