de,en,es,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											Vorsicht beim Umgang mit der Mikrowelle:
											Auf der Packung steht 3 bis 3,5 Minuten.
											Damit kommen wir der ganzen
Sache auf den Grund.
											Und mein Favorit, der zu
einem gewissen Grad Sinn ergibt:
											die Lieblingssendungen aufzunehmen, 
um die Werbung vorzuspulen.
											So lassen sich jede halbe Stunde
8 Minuten sparen.
											Das macht bei zwei Stunden Fernsehen
											32 Minuten für Sport.
									","
											Being extremely judicious
in microwave usage:
											it says three to three-and-a-half
minutes on the package,
											we're totally getting in on
the bottom side of that.
											And my personal favorite,
which makes sense on some level,
											is to DVR your favorite shows so you can
fast-forward through the commercials.
											That way, you save
eight minutes every half hour,
											so in the course of two hours
of watching TV,
											you find 32 minutes to exercise.
									","
											Ser muy cuidadoso
en el uso de microondas:
											si dice tres a tres minutos y medio
en el paquete,
											debemos estar por debajo de eso.
											Y el favorito para mí,
que tiene algo de sentido,
											es grabar sus programas favoritos para 
avanzar rápido durante los comerciales.
											Ahorrando ocho minutos cada media hora,
											en dos horas de televisión,
											se ahorran 32 minutos para ejercitarse.
									","
											Être judicieux avec l'usage
du micro-ondes :
											l'emballage indique 3
à 3 minutes et demie,
											on va carrément faire le plus rapide.
											Et celui que je préfère,
qui d'un côté a du sens,
											est d'enregistrer nos émissions favorites
pour sauter les publicités.
											Ainsi, on gagne 8 minutes
pour chaque demi-heure,
											donc en regardant la télé
pendant 2 heures,
											on a 32 minutes
pour faire du sport.
									","
											Ser extremamente criterioso
com o uso do micro-ondas:
											se diz na embalagem
três a três minutos e meio,
											vamos pôr menos do que isso.
											E o meu favorito,
que até faz algum sentido,
											é gravar os nossos programas preferidos
para poder passar por cima dos anúncios.
											Assim, poupamos 8 minutos
em cada meia hora,
											portanto, ao longo
de duas horas a ver TV,
											ganhamos 32 minutos
para fazer exercício.
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											Das stimmt.
											Wissen Sie, wie Sie noch 
32 Minuten Zeit für Sport finden?
											Einfach keine zwei Stunden
am Tag fernsehen!
									","
											Which is true.
											You know another way to find
32 minutes to exercise?
											Don't watch two hours of TV a day, right?
									","
											Lo que es verdad.
											¿Saben otro modo de encontrar
32 minutos para ejercitarse?
											No ver dos horas de televisión
al día, ¿verdad?
									","
											Ce qui est vrai.
											Une autre manière de trouver 32 minutes ?
											Ne pas regarder 2 heures
de télé par jour, non ?
									","
											O que é verdade.
											Conhecem outra forma de ganhar
32 minutos para exercício?
											Não vejam duas horas
de TV por dia, certo?
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)

									","
											(Rires)
									","
											(Risos)
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											Die Idee ist hier und da Zeit zu sparen, 
diese dann zu addieren,
											um endlich das tun zu können,
was wir möchten.
											Nachdem ich untersucht habe, wie 
erfolgreiche Menschen mit Zeit umgehen
											und ich mir ihren Zeitplan 
genau angesehen habe,
											glaube ich, dass uns diese Idee 
in die Irre führt.
											Wir erschaffen nicht das Leben,
das wir möchten, indem wir Zeit sparen.
											Wir erschaffen das Leben, das wir möchten,
											und die Zeit spart sich von selbst.
									","
											Anyway, the idea is we'll save bits
of time here and there, add it up,
											we will finally get
to everything we want to do.
											But after studying how successful
people spend their time
											and looking at their
schedules hour by hour,
											I think this idea
has it completely backward.
											We don't build the lives
we want by saving time.
											We build the lives we want,
											and then time saves itself.
									","
											En todo caso, la idea es ahorrar 
algo de tiempo, lo suman,
											al final conseguiremos
todo lo que queremos hacer.
											Pero después de estudiar cómo
la gente exitosa gasta su tiempo
											y mirando sus horarios hora por hora,
											creo que esa idea es primitiva.
											No construimos las vidas que queremos
al ahorrar tiempo.
											Construimos las vidas que queremos,
											y luego, el tiempo se ahorra por sí mismo.
									","
											L'idée est de gagner un peu de temps
ici et là, en faire la somme,
											on aura enfin le temps
de faire ce que l'on veut.
											Mais en étudiant comment les gens
prospères passent leur temps
											et en regardant leur emploi du temps
heure par heure,
											je trouve que cette idée
est à l'envers.
											On ne construit pas la vie
que l'on veut en gagnant du temps.
											On construit la vie que l'on veut
											et puis le temps s'économise lui-même.
									","
											Seja como for, a ideia é poupar tempo
aqui e ali, somar tudo,
											e vamos finalmente ter tempo
para o que queremos.
											Mas depois de estudar como
as pessoas de sucesso gastam o seu tempo
											e ver os seus horários hora a hora,
											penso que esta ideia é
completamente retrógrada.
											Não construímos a vida
que queremos a poupar tempo.
											Construímos a vida que queremos,
											e o tempo poupa-se a si mesmo.
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											Ich meine das so:
											Kürzlich habe ich an einem 
Zeitlogbuchprojekt gearbeitet.
											Ich habe 1001 Tage des Lebens
viel beschäftigter Frauen untersucht —
											mit fordernden Jobs,
eigenen Unternehmen,
											Kinder oder Eltern,
um die sie sich kümmerten,
											Verpflichtungen in der Gemeinde —
											extrem beschäftigte Frauen.
											Sie haben eine Woche lang 
Zeitlogbuch geführt,
											so dass ich sah, wieviel sie gearbeitet
und geschlafen hatten,
											und ich befragte sie zu ihren 
Strategien für mein Buch.
									","
											Here's what I mean.
											I recently did a time diary project
											looking at 1,001 days in the lives
of extremely busy women.
											They had demanding jobs,
sometimes their own businesses,
											kids to care for,
maybe parents to care for,
											community commitments —
											busy, busy people.
											I had them keep track
of their time for a week
											so I could add up how much
they worked and slept,
											and I interviewed them
about their strategies, for my book.
									","
											Esto es lo que quiero decir.
											Hice un proyecto de registro del tiempo
											observando 1001 días las vidas
de mujeres muy ocupadas.
											Tenían trabajos exigentes,
a veces sus propios negocios,
											niños que cuidar,
quizás padres que cuidar,
											compromisos de la comunidad,
											gente muy ocupada.

											Yo tenía que controlar su tiempo
por una semana
											así que podría sumar
cuánto trabajaban y dormían,
											y las entrevisté por sus estrategias, 
para mi libro.
									","
											Voici mon propos.
											J'ai lancé un projet
de journal de temps
											étudiant 1 001 jours dans la vie
de femmes extrêmement occupées.
											Elles ont des emplois exigeants,
parfois leur entreprise,
											des enfants,
peut-être des parents à charge,
											engagements communautaires,
											des gens très occupés.
											Elles ont noté leur temps
sur une semaine
											pour voir leur temps
de travail et de sommeil,
											et je les ai questionnées
sur leurs stratégies, pour mon livre.
									","
											Eis o que quero dizer.
											Fiz recentemente
um projeto de diário de tempo
											em que vi 1001 dias na vida
de mulheres extremamente ocupadas.
											Elas tinham empregos exigentes,
algumas vezes negócios próprios,
											filhos para cuidar,
talvez pais para cuidar,
											compromissos com a comunidade
											— pessoas muito ocupadas.
											Pedi-lhes para anotarem
os seus tempos durante uma semana
											para eu somar quanto tempo
trabalharam e dormiram,
											e entrevistei-as sobre
as suas estratégias, para o meu livro.
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											Eine der Frauen, dessen Zeit
ich untersucht habe,
											geht am Mittwoch Abend weg.
											Als sie zurück kommt sieht sie,
dass ihr Boiler kaputt ist
											und ihr ganzer Keller unter Wasser steht.
											Wenn Ihnen das auch schon mal
passiert ist, wissen Sie,
											dass das ein furchtbares, 
beängstigendes, nasses Chaos ist.
											Am selben Abend kümmert
sie sich um das Gröbste.
											Am nächsten Tag kommen die Klempner.
											Am Tag darauf Gebäudereiniger
für den ruinierten Teppich.
											All das hält sie in ihrem Logbuch fest.
											Am Ende nimmt es
7 Stunden ihrer Woche ein.
											Sieben Stunden.
											Das ist so, als würden Sie täglich 
eine extra Stunde finden.
									","
											One of the women whose time log I studied
											goes out on a Wednesday night
for something.
											She comes home to find
that her water heater has broken,
											and there is now water
all over her basement.
											If you've ever had anything
like this happen to you,
											you know it is a hugely damaging,
frightening, sopping mess.
											So she's dealing with the immediate
aftermath that night,
											next day she's got plumbers coming in,
											day after that, professional cleaning
crew dealing with the ruined carpet.
											All this is being recorded
on her time log.
											Winds up taking seven hours of her week.
											Seven hours.
											That's like finding
an extra hour in the day.
									","
											Una de las mujeres que analicé
											sale un miércoles por la noche para algo.
											Llega a casa y encuentra 
el calentador de agua roto,
											y hay agua en todo el sótano.
											Si alguna vez les ha sucedido
algo así a Uds.,
											saben que es 
un desastre perjudicial y aterrador.
											Ella está lidiando con 
las consecuencias inmediatas esa noche,
											al día siguiente, llegan los fontaneros,
											un día después, el equipo de limpieza
se ocupa de la alfombra arruinada.
											Todo se graba en su registro de tiempo.
											Termina tomando 
siete horas de su semana.
											Siete horas.
											Eso es como encontrar 
una hora extra en el día.
									","
											Une des femmes
dont j'ai étudié le journal
											sort le mercredi soir pour quelque chose.
											Elle rentre et découvre que
son chauffe-eau a cassé,
											et il y a de l'eau
partout dans son sous-sol.
											Si ceci vous est déjà arrivé,
											vous savez que c'est énormément
endommageant et effrayant.
											Elle s'occupe donc des contrecoups
immédiats le soir même,
											le lendemain, les plombiers viennent,
											le jour suivant, une équipe de nettoyage
s'occupe du tapis.
											Tout ceci est enregistré
dans son journal.
											Ça a pris sept heures de sa semaine.
											Sept heures.
											C'est comme si on trouvait
une heure en plus dans sa journée.
									","
											Uma das mulheres que estudei
											sai numa noite de quarta-feira
para fazer algo.
											Chega a casa e descobre
que o esquentador avariou-se.
											e tem a cave toda alagada.
											Se alguma vez vos aconteceu
algo do género,
											sabem que é um caos prejudicial,
assustador e ensopado.
											Então ela tem de lidar
com as consequências nessa noite,
											no dia seguinte chega o canalizador,
											e no dia seguinte, são os profissionais
de limpeza a tratar da carpete arruinada.
											Tudo isto está registado
no seu diário de tempo.
											Tudo isto custou-lhe sete horas
da sua semana.
											Sete horas.
											É como encontrar
uma hora extra por dia.
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											Ich bin sicher, hätte man sie 
Anfang der Woche gefragt:
											""Haben Sie 7 Stunden
für ein Triathlon-Training übrig?""
											""Haben Sie 7 Stunden, um sich als Mentor 
für 7 talentierte Menschen zu engagieren?""
											Ich bin sicher Sie hätte gesagt, was die 
meisten gesagt hätten, nämlich: ""Nein.""
											""Sehen Sie nicht, 
wie beschäftigt ich bin?""
											Als sie jedoch die 7 Stunden 
Zeit finden musste,
											weil ihr Keller unter Wasser stand,
											hat sie die sieben Stunden gefunden.
											Dies zeigt uns, wie elastisch Zeit ist.
											Wir können nicht mehr Zeit schaffen,
											aber die Zeit wird sich
den Inhalten anpassen,
											mit denen wir sie zu füllen beschließen.
									","
											But I'm sure if you had asked her
at the start of the week,
											""Could you find seven hours
to train for a triathlon?""
											""Could you find seven hours
to mentor seven worthy people?""
											I'm sure she would've said
what most of us would've said,
											which is, ""No — can't you see
how busy I am?""
											Yet when she had to find seven hours
											because there is water
all over her basement,
											she found seven hours.
											And what this shows us
is that time is highly elastic.
											We cannot make more time,
											but time will stretch to accommodate
what we choose to put into it.
									","
											Estoy segura de que si se le preguntaba
al comienzo de la semana,
											""¿Podría encontrar siete horas
para entrenar para un triatlón? ""
											""¿Podría encontrar siete horas
para educar a siete personas dignas? ""
											Estoy seguro de que ella habría dicho
como la mayoría,
											que es, ""No, ¿no puedes ver
cuán ocupada estoy?
											Pero cuando tuvo que hallar siete horas
											porque había agua por todo su sótano,
											encontró siete horas.
											Y lo que esto nos muestra es 
que el tiempo es altamente elástico.
											No podemos hacer más tiempo,
											pero el tiempo se estirará para acomodar
lo que elegimos poner en ella.
									","
											Mais si on lui avait
demandé en début de semaine :
											« Trouverez-vous 7 heures
pour vous entraîner pour un triathlon ? »
											« Trouverez-vous 7 heures
pour mentorer 7 personnes méritantes ? »
											Elle aurait dit pareil
que la plupart d'entre nous, qui est :
											« Non, vous ne voyez pas
que je suis trop occupée ? »
											Or quand elle a dû trouver 7 heures
											parce qu'il y avait de l'eau
partout dans son sous-sol,
											elle a trouvé sept heures.
											Ça nous montre
que le temps est très élastique.
											On ne peut pas fabriquer du temps en plus,
											mais le temps s'étire pour accueillir
ce que l'on choisit d'y mettre.
									","
											Mas tenho a certeza que se lhe
perguntassem no inicio da semana,
											""Gastaria sete horas
para treinar para um triatlo?""
											""Gastaria sete horas para
ajudar sete pessoas com potencial?""
											Tenho a certeza que responderia
o mesmo que muitos de nós:
											""Não, não vê como estou ocupada?
											Mas quando teve de despender 7 horas
											porque tinha a cave inundada,
											ela arranjou essas sete horas.
											O que isto nos mostra
é que o tempo é altamente elástico.
											Não podemos criar mais tempo,
											mas o tempo estica-se para acomodar
o que escolhemos fazer.
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											Der Schlüssel zum
Zeitmanagement liegt darin,
											unsere Prioritäten genau so zu behandeln
											wie diesen kaputten Boiler.
											Als Beispiel möchte ich einen
der beschäftigtsten Menschen zitieren.
											Mit „beschäftigt"" meine ich,
dass sie ein kleines Unternehmen
											mit 12 Angestellten leitete
											und sechs Kinder hatte.
											Ich kontaktierte sie, um einen
Termin zu vereinbaren,
											um zu verstehen,
wie sie ""das alles packt"".
											Ich erinnere mich, es war 
Donnerstag Morgen.
											Aber sie hatte keine Zeit für mich.
											Logisch, stimmt's?
									","
											And so the key to time management
											is treating our priorities
											as the equivalent
of that broken water heater.
											To get at this,
											I like to use language from one
of the busiest people I ever interviewed.
											By busy, I mean she was running
a small business
											with 12 people on the payroll,
											she had six children in her spare time.
											I was getting in touch with her
to set up an interview
											on how she ""had it all"" — that phrase.
											I remember it was a Thursday morning,
											and she was not available
to speak with me.
											Of course, right?
									","
											Y así, la clave para la gestión del tiempo

											es tratar nuestras prioridades

											al igual que ese calentador de agua roto.
											Para llegar a esto,
											me gusta usar el lenguaje de una de 
las personas más ocupadas que entrevisté.
											Por ocupado, significa que
dirige una pequeña empresa
											con 12 personas en nómina,
											con 6 niños en su tiempo libre.
											Me contacté con ella
para establecer una entrevista
											en cómo ella ""lo tenía todo"", esa frase.
											Recuerdo que era un jueves
por la mañana,
											y ella no podía hablar conmigo.
											Por supuesto, ¿verdad?
									","
											Donc, la clé pour la gestion du temps
											est de traiter nos priorités
											comme l'équivalent
de ce chauffe-eau cassé.
											Pour comprendre ceci,
											j'utilise le langage d'une femme
des plus occupées que j'ai interviewée.
											Très occupée,
elle gérait une entreprise
											avec 12 salariés,
											et a six enfants dans son temps libre.
											Je l'ai appelée pour
convenir d'un rendez-vous
											sur comment elle « avait tout »
- cette phrase.
											C'était un jeudi matin,
											et elle n'était pas disponible.
											Bien sûr, n'est-ce pas ?
									","
											Então, a chave para a gestão do tempo
											é tratar as nossas prioridades
											como se o esquentador
estivesse avariado.
											Para alcançar isto,
											gosto de usar a linguagem de uma pessoas
das mais ocupadas que entrevistei.
											Por ocupada, quero dizer
que ela geria uma pequena empresa
											com 12 funcionários,
											e tinha seis filhos pequenos
no seu tempo livre.
											Eu estava a contactá-la
para marcar a entrevista
											sobre como ""conseguia tudo""
— esta frase.
											Lembro-me que era
uma quinta-feira de manhã,
											e ela não estava disponível
para falar comigo.
											Claro, não é?
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											Aber sie hatte keine Zeit für mich,
											weil sie Wandern war.
											Denn es war ein wunderschöner
Frühlingsmorgen
											und sie hatte Lust, wandern zu gehen.
											Das hat mich natürlich
noch neugieriger gemacht.
											Als ich dann endlich mit ihr sprechen 
konnte, erklärte sie es so:
											""Hör mal, Laura. Alles was ich tue,
wie ich jede einzelne Minute verbringe,
											ist meine Entscheidung.""
											Anstatt zu sagen:
											""Ich habe keine Zeit, A, B oder C zu tun"",
											sagt sie: ""Ich mache A, B oder C nicht, 
weil sie für mich keine Prioritäten sind.""
											""Ich habe keine Zeit"" heißt oft: 
""Das ist für mich keine Priorität"".
											Wenn man mal darüber nachdenkt, 
ist das viel treffender.
											Ich könnte behaupten, keine Zeit
zu haben, um meine Jalousien zu säubern,
											stimmt aber nicht.
											Würden Sie mir
100 000 Dollar dafür zahlen,
											wäre ich ruck-zuck dabei.
									","
											But the reason she was
unavailable to speak with me
											is that she was out for a hike,
											because it was a beautiful spring morning,
											and she wanted to go for a hike.
											So of course this makes me
even more intrigued,
											and when I finally do catch up with her,
she explains it like this.
											She says, ""Listen Laura, everything I do,
											every minute I spend, is my choice.""
											And rather than say,
											""I don't have time to do x, y or z,""
											she'd say, ""I don't do x, y or z
because it's not a priority.""
											""I don't have time,"" often means
""It's not a priority.""
											If you think about it,
that's really more accurate language.
											I could tell you I don't have time
to dust my blinds,
											but that's not true.
											If you offered to pay me $100,000
to dust my blinds,
											I would get to it pretty quickly.
									","
											Pero la razón por la que ella no podía
											es que ella había agendado una caminata,

											porque era una hermosa mañana
de primavera,
											y ella quería ir a una caminata.

											Por supuesto esto me intriga aún más,
											y cuando finalmente nos encontramos,
ella lo explica así.
											Ella dice: 
""Escucha Laura, todo lo que hago,
											cada minuto que paso, es mi elección"".
											Y en lugar de decir,
											""No tengo tiempo para hacer x, y o z,""
											Ella diría: ""Yo no hago x, y o z
porque no es una prioridad "".
											""No tengo tiempo"", a menudo significa
""No es una prioridad.""
											Si lo piensan, es un lenguaje más preciso.
											Puedo decir que no tengo tiempo
para limpiar mis persianas,
											pero eso no es verdad.
											Si me pagaran USD 100 000
para limpiar mis persianas,
											lo haría rápidamente.
									","
											Mais la raison pour laquelle
elle ne l'était pas,
											c'est qu'elle était partie en randonnée,
											car c'était une belle matinée,
											et elle voulait se promener.
											Et bien sûr ceci m'intrigua davantage,
											et quand je réussis enfin à l'avoir,
elle me l'expliqua ainsi :
											« Écoute Laura, tout ce que je fais,
											chaque minute passée, est mon choix. »
											Au lieu de dire :
											« Je n'ai pas le temps pour x, y ou z, »
											elle dira : « Je ne fais pas x, y ou z
parce que ce n'est pas une priorité. »
											« Je n'ai pas le temps » signifie souvent
« Ce n'est pas une priorité ».
											Quand on y pense,
c'est un langage plus précis.
											Je peux dire que je n'ai pas le temps
pour dépoussiérer,
											mais ce n'est pas vrai.
											Si on proposait $100 000 pour le faire,
											je le ferais assez rapidement.
									","
											Mas a razão por que
ela não estava disponível
											era porque tinha ido dar um passeio,
											porque estava
uma bela manhã de primavera,
											e apetecia-lhe dar um passeio.
											Claro que isto ainda
me deixou mais intrigada.
											Quando finalmente consegui
falar com ela, explicou-me assim:
											""Escute Laura, tudo o que eu faço,
											""cada minuto que eu gasto,
é uma escolha minha.""
											E ao invés de dizer:
											""Não tenho tempo para fazer x, y ou z,""
											ela diz: ""Eu não faço x, y ou z
porque não é uma prioridade.""
											""Eu não tenho tempo,"" muitas vezes
significa ""Não é uma prioridade.""
											Se pensarmos nisso,
é uma linguagem mais precisa.
											Podia dizer que não tenho tempo
para limpar o pó às persianas,
											mas isso não é verdade.
											Se me oferecerem 100 000 dólares,
para as limpar,
											fazia-o num instante.
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)

									","
											(Rires)
									","
											(Risos)
									",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
"
","
","
","
","
",How to gain control of your free time,Laura Vanderkam,11:54,"choice,goal-setting,happiness,personal growth,work,work-life balance,time"
