en,tr,fr,es,title,speaker,duration,tags
"
											(Banjo)
									","
											(Banjo)
									","
											(Banjo)
									","
											(Banyo)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Don't that road
											look rough and rocky?
									","
											Bu yol çok taşlı
											ve zorlu görünmüyor mu?
									","
											Ce chemin
											n'a-t-il pas l'air
difficile et cahoteux ?
									","
											¿Ese camino
											no parece áspero y rocoso?
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Don't that sea look wide and deep?
									","
											Bu deniz çok geniş ve derin görünmüyor mu?
									","
											Cette mer n'a-t-elle pas l'air
vaste et profonde ?
									","
											¿Ese mar no parece amplio y profundo?
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Don't my darlin'
											look
											the sweetest ...
									","
											Peki ya sevgilim
											en güzel şey
											görünmüyor mu?
									","
											Ma bien-aimée
											n'a-t-elle pas l'air
											d'être la plus jolie...
									","
											¿Mi tesoro
											no parece
											el más dulce
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											When she's in my arms asleep?
									","
											Kollarımda uyurken?
									","
											Quand elle dort dans mes bras ?
									","
											cuando se duerme en mis brazos?
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Banjo)
									","
											(Banjo)
									","
											(Banjo)
									","
											(Banyo)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Her hair
											was a dark-brown curly.
									","
											Saçları...
											koyu kahverengi ve kıvırcıktı.
									","
											Ses cheveux
											étaient brun foncé et bouclés.
									","
											Su cabello
											era rizado y castaño oscuro.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Her cheeks were chestnut red.
									","
											Yanakları fındık kabuğu kızılı.
									","
											Ses joues étaient hâlées.
									","
											Sus mejillas, rojo castaño.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											On her breast
											she wore a white lilly.
									","
											Gögsünde ise
											beyaz bir zambak.
									","
											Sur sa poitrine,
											elle portait un lys blanc.
									","
											En su pecho
											llevaba puesta una azucena.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Through the night, the tears she shed.
									","
											Gece boyunca gözyaşı döktü.
									","
											Tout au long de la nuit,
elle a versé des larmes.
									","
											A la noche, lágrimas derramaba.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Banjo)
									","
											(Banjo)
									","
											(Banjo)
									","
											(Banyo)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Captain,
											Captain, I am dyin'.
									","
											Kaptan,
											Kaptan, ben ölüyorum.
									","
											Capitaine,
											Capitaine, je suis mourant.
									","
											Capitán,
											Capitán, me estoy muriendo.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Won't you take these words for me?
									","
											Bu sözlerimi alır mısınız?
									","
											Ramèneriez-vous ces mots pour moi ?
									","
											¿Tomarías estas palabras mías?
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Take them back
											to old East Virginia.
									","
											Sözlerimi alın
											eski Doğu Virjinya'ya götürün.
									","
											Ramenez-les
											dans l'ancienne Virginie de l'est.
									","
											Llévalas
											a la vieja Virginia del Este.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Tell my darlin' she is free.
									","
											Sevgilime özgür olduğunu söyleyin.
									","
											Dites à ma bien-aimée qu'elle est libre.
									","
											Dile a mi tesoro que es libre.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Banjo)
									","
											(Banjo)
									","
											(Banjo)
									","
											(Banyo)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Music ends)
									","
											(Müzik sonu)
									","
											(Fin de la musique)
									","
											(La música se acaba)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Applause and cheers)
									","
											(Alkış ve tezahüratlar)
									","
											(Applaudissements et acclamations)
									","
											(Aplausos)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											That was a song called ""East Virginia""
											I learned from a man named Clifton Hicks
											who lives down in Georgia.
											The next song ...
											I have for you
											is called ""John Brown's Dream.""
											It's an old dance tune.
											And you may notice that the banjo
that I'm holding looks a little different
											than banjos you might be used to seeing
											or the one I just played, for example.
											And this banjo
is sort of an earlier model.
											Banjos kind of evolved like a human has.
											And I like to say that the sound
that comes out of this banjo
											is a sound that was
just a little closer to the source,
											which is Africa,
											and some people forget that,
											so, yeah ...
									","
											Bu şarkının adı ''East Virginia''ydı.
											Clifton Hicks adında birinden öğrendim,
											kendisi Georgia'da yaşıyor.
											Sıradaki şarkı ise...
											Sizin için söyleyeceğim,
											adı ''John Brown's Dream.''
											Eski bir dans melodisi.
											Şu an elimdeki banjonun
görmeye alışık olduğunuz banjolardan
											biraz farklı olduğunu fark edebilirsiniz
											veya mesela az önce kullandığımdan.
											Bu banjo biraz daha eski bir model.
											Bu enstrümanlar da insanlar gibi evrildi.
											Söylemeliyim ki bu banjodan çıkan ses
											kaynağına biraz daha yakın,
											Afrika yani,
											bazı insanlar bunu unutuyor,
											durum böyle.
									","
											Cette chanson s'appelle « East Virginia ».
											Je l'ai apprise avec Clifton Hicks,
											qui vit en Géorgie.
											La prochaine chanson...
											que je vais vous chanter
											s'appelle « John Brown's Dream ».
											C'est une ancienne mélodie dansante.
											Vous remarquez peut-être que le banjo
que je tiens a l'air un peu différent
											des banjos que vous avez
l'habitude de voir
											ou de celui avec lequel
je viens de jouer, par exemple.
											Ce banjo est un modèle plus ancien.
											Le banjo a évolué comme l'être humain.
											J'aime dire que le son
qui sort de ce banjo
											est un peu plus proche de son origine,
											qui est l'Afrique,
											et certains l'oublient,
											alors...
									","
											Esta canción fue ""East Virginia"",
											que aprendí de un hombre 
llamado Clifton Hicks
											que vive en Georgia.
											La siguiente canción
											que tengo para Uds.
											se llama ""John Brown's Dream"".
											Es una vieja melodía de baile.
											Y podrán notar que el banyo que llevo
entre mis manos es un poquito diferente
											de los que están acostumbrados a ver
											o del banyo con el que recién toqué.
											Este banyo es un modelo anterior.
											Los banyos evolucionaron 
como los seres humanos
											y me gusta decir que su sonido
											es más cercano a su origen,
											que es África, y hay gente
que se olvida de eso,
											así, que aquí va...
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Banjo tuning)
									","
											(Banjo melodisi)
									","
											(Accorde le banjo)
									","
											(Afina el banyo)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Music: ""John Brown's Dream"")
									","
											(Müzik: ""John Brown's Dream"")
									","
											(Musique : « John Brown's Dream »)
									","
											(Musica: ""John Brown's Dream"")
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Banjo)
									","
											(Banjo)
									","
											(Banjo)
									","
											(Banyo)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Banjo continues)
									","
											(Banjo devam ediyor)
									","
											(Le banjo continue)
									","
											(Banyo)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Singing) John Brown's dream,
									","
											(Şarkı) John Brown'ın hayali,
									","
											(Chant) Le rêve de John Brown,
									","
											(Cantando) El sueño de John Brown,
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											John Brown's dream the devil was dead.
									","
											şeytanın ölmüş olmasıydı.
									","
											dans son rêve, le diable était mort.
									","
											el sueño de John Brown,
el diablo estaba muerto.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											I'm gonna get that, get that, get that,
									","
											Onu yakalayacağım, yakalayacağım...
									","
											Je vais l'avoir, l'avoir, l'avoir,
									","
											La conseguiré, conseguiré, conseguiré,
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											I'm gonna get that pretty little girl.
									","
											O güzel, küçük kızı yakalayacağım.
									","
											je vais avoir cette jolie fille.
									","
											conseguiré esa niña pequeña y bella.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Banjo)
									","
											(Banjo)
									","
											(Banjo)
									","
											(Banyo)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											John Brown's dream,
									","
											John Brown'ın hayali,
									","
											Le rêve de John Brown,
									","
											El sueño de John Brown,
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											John Brown's dream the devil was dead.
									","
											şeytanın ölmüş olmasıydı.
									","
											dans son rêve, le diable était mort.
									","
											el sueño de John Brown,
el diablo estaba muerto.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Banjo)
									","
											(Banjo)
									","
											(Banjo)
									","
											(Banyo)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Come on, Liza, Liza, Liza.
									","
											Hadi Liza, Liza, Liza.
									","
											Allez, Liza, Liza, Liza.
									","
											Vamos, Liza, Liza, Liza,
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Come on, Liza we'll be pickin' it again.
									","
											Hadi Liza, bunu yine yapacağız.
									","
											Allez, Liza, nous recommencerons.
									","
											Vamos, lo agarraremos otra vez.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											I'm gonna get that, get that, get that,
									","
											Onu yakalayacağım, yakalayacağım...
									","
											Je vais l'avoir, l'avoir, l'avoir,
									","
											La conseguiré, conseguiré, conseguiré,
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											I'm gonna get that pretty little girl.
									","
											O güzel, küçük kızı yakalayacağım.
									","
											je vais avoir cette jolie fille.
									","
											conseguiré esa niña pequeña y bella.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Banjo)
									","
											(Banjo)
									","
											(Banjo)
									","
											(Banyo)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Music ends)
									","
											(Müzik sonu)
									","
											(Fin de la musique)
									","
											(La música se acaba)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Applause and cheers)
									","
											(Alkış ve tezahüratlar)
									","
											(Applaudissements et acclamations)
									","
											(Aplausos)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Thank you very much.
									","
											Çok teşekkürler.
									","
											Merci beaucoup.
									","
											Muchas gracias.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
